row_id,Facility Name,Area,Type,Contact Phone,Managed by,Cost,Apply hours,Apply Location,Eligibility,Other,Address Line1,Address Line2,City,Postal Code,Province,country
Canada-BC-31-BC-SeniorsServicesSoc-output-25,ABERDEEN HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-370-5678,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Island Health or your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1450 Hillside Ave.,,Victoria,V8T 2B7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-26,BEACON HILL VILLA,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-383-5447,Retirement Concepts,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,635 Superior St.,,Victoria,V8V 1V1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-27,BECKLEY FARM LODGE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-381-4421,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Island Health or your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,530 Simcoe St.,,Victoria,V8V 4W4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-28,LODGE AT BROADMEAD,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-658-0311,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,4579 Chatterton Way,,Victoria,V8X 4Y7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-29,CAMELOT,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-384-3336,Society for the Christian Care of the Elderly,Market Rate,Regular office hours,Directly to building manager,Age Requirement: 55+,Wheelchair Accessible,455 Kingston St.,,Victoria,V8V 3E6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-30,CENTRAL CARE HOME,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-384-1313,Baptist Housing Society,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,844 Johnson St.,,Victoria,V8W 1N3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-31,CRAIGDARROCH CARE HOME,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-595-3813,Trillium Care Communities,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Smoking Allowed; Pets Allowed; Wheelchair Accessible,1048 Craigdarroch Rd.,,Victoria,V8S 2A4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-32,DOUGLAS CARE RESIDENCE & VALENCIA,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-383-9011,Douglas Care Community Society,Market RateSAFER,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,657-660 Niagara St.,,Victoria,V8V 2P9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-33,GLENSHIEL RETIREMENT RESIDENCE,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-383-4164,Glenshiel Housing Society,Market RateSAFER,Regular office hours,Directly to building,Age Requirement: 55+,N/A,606 Douglas St.,,Victoria,V8V 2P8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-34,ISLAND VIEW PLACE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility),250-652-0891,No Manager provided,"Residential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building,No Age Requirement,Pets Allowed; Wheelchair Accessible,7013 E. Saanich Rd.,,Victoria,V8M 1Y3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-35,THE KENSINGTON,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-477-1232,Retirement Residence REIT,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Pets Allowed; Wheelchair Accessible; Smoking Allowed,3965 Shelbourne St.,,Victoria,V8N 5J4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-36,LUTHER COURT APARTMENTS,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-477-7241,Luther Court Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,Age Requirement: 55+; Age Requirement: under 55 with disability,Wheelchair Accessible,1525 Cedar Hill Cross Rd.,,Victoria,V8P 5M1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-37,MOUNT EDWARDS COURT,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-385-2241,Baptist Housing Society,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1002 Vancouver St.,,Victoria,V8V 3V8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-38,MOUNT ST. MARY HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-480-3100,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,861 Fairfield Rd.,,Victoria,V8V 5A9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-39,MOUNT TOLMIE HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-370-5626,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,3960 Richmond Rd.,,Victoria,V8P 4S6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-40,OAK BAY LODGE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-370-6600,Vancouver Island Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,2251 Cadboro Rd.,,Victoria,V8R 5H3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-41,PARKWOOD PLACE,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-598-1565,Revera Inc.,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Pets Allowed; Wheelchair Accessible,3051 Shelbourne St.,,Victoria,V8R 6T2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-42,PRIORY HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-595-4321,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,567 Goldstream Ave.,,Victoria,V9B 2W4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-43,THE RENAISSANCE,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-386-1188,Victoria Apartment Properties Ltd,Market Rate,Regular office hours,Directly to building,No Age Requirement,Pets Allowed; Wheelchair Accessible,1188 Esquimalt Rd.,,Victoria,V9A 3N9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-44,SANDRINGHAM HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-595-2313,CPL REIT,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,1650 Fort St.,,Victoria,V8R 1H9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-45,SHELMARIE REST HOME,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-598-3212,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,630 Foul Bay Rd.,,Victoria,V8S 4H3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-46,AMICA AT SOMERSET HOUSE,VANCOUVER ISLAND SOUTH,"SUPPORTIVE HOUSING - RETIREMENT HOMES
ASSISTED LIVING - PRIVATE (apply directly to facility)",250-380-9121,Amica Mature Lifestyles Inc.,"Assisted Living Private: approx. $1,500-7,000/monthMarket Rate",Regular office hours,Directly to building manager; or visit: www.amica.ca,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,540 Dallas Rd.,,Victoria,V8V 4X9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-47,SUNSET LODGE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-385-3422,Salvation Army,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,952 Arm St.,,Victoria,V9A 4G7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-48,VICTORIA CHINATOWN CARE CENTRE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-381-4322,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,555 Herald St.,,Victoria,V8W 1S5,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-49,VICTORIAN,VANCOUVER ISLAND SOUTH,SUPPORTIVE HOUSING - RETIREMENT HOMES,250-477-1912,Holiday Retirement Corporation,Market Rate,Regular office hours,Directly to building,Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,1773 Feltham Rd.,,Victoria,V8N 6E8,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-50,NORMANNA REST HOME,BURNABY SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),604-522-5812,Fraser Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,7725 4th St.,,Burnaby,V3N 5B6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-51,LEGION MANOR VICTORIA,VANCOUVER ISLAND SOUTH,"SUBSIDIZED HOUSING
SUPPORTIVE HOUSING - RETIREMENT HOMES",250-652-3261,South Vancouver Island Zone Hsg. Soc.,30% of monthly gross incomeMarket Rate,Regular office hours,Directly to building,BC Residency; Age Requirement: 55+,Wheelchair Accessible,7601 E. Saanich Rd.,,Saanich,V8M 1Z3,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-52,MARRION VILLAGE,VANCOUVER ISLAND SOUTH,ASSISTED LIVING - PUBLIC (apply through health authority),250-592-2231,Baptist Housing Society,Assisted Living Public: 70% of net income,Regular office hours,Your local health authority,BC Residency; Age Requirement: under 55 with disability; Age Requirement: 55+,Wheelchair Accessible; Pets Allowed,1968 Bee St.,,Victoria,V8R 6P6,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-53,CRYSTAL RIDGE MANOR,CHILLIWACK,SUPPORTIVE HOUSING - RETIREMENT HOMES,604-858-0955,A Braun Development,Market RateSAFER,Regular office hours,"Directly to manager; 5872 Carter Rd.; Chilliwack, BC; V2P 7L1",Age Requirement: under 55 with disability; Age Requirement: 55+,Wheelchair Accessible,45665 McIntosh Dr.,,Chilliwack,V2P 7L1,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-54,MILL SITE LODGE,THOMPSON CARIBOO,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-395-7690,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,555 Cedar Ave. S.,,100 Mile House,V0K 2E0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-55,PLEASANT VALLEY MANOR,OKANAGAN NORTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-546-4707,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,3800 Patten Dr.,,Armstrong,V0E 1B2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-56,STEEPLEVIEW CARE CENTRE,EAST KOOTENAY,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-426-5281,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,13 24th Ave. N.,,Cranbrook,V1C 3H9,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-57,HENRY M. DURAND MANOR,EAST KOOTENAY,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-344-3042,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,803 9th Ave. S.,,Golden,V0A 1H0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-58,HARDY VIEW LODGE AT BOUNDARY HOSPITAL,KOOTENAY BOUNDARY,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-443-2100,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,7649 - 22nd St RR#2,,Grand Forks,V0H 1H0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-59,SLOCAN COMMUNITY HOSPITAL PAVILLION WING,KOOTENAY BOUNDARY,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-358-7911,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,401 Galena Ave.,,New Denver,V0G 1S0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-60,COLUMBIA VIEW LODGE,KOOTENAY BOUNDARY,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-364-1271,Interior Health Authority,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,2920 Laburnum Dr.,,Trail,V1R 4N2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-61,PINE ACRES HOME,OKANAGAN CENTRE,"RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority)
RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility)",250-768-7676,Interior Health Authority,"Residential Care Private: approx. $2,500-10,000/monthResidential Care Public: 80% of net income",Regular office hours,Directly to building or your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1902 Pheasant Ln.,,Kelowna,V4T 2H4,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-62,BULKLEY LODGE,NORTHWEST BC,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-847-4443,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,3668 11th Ave.,,Smithers,V0J 2N0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-63,SHORNCLIFFE INTERMEDIATE CARE FACILITY,COAST GARIBALDI,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-885-5126,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,5847 Medusa St.,,Sechelt,V0N 3A0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-64,SUMAC PLACE,COAST GARIBALDI,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),604-886-1860,Powell River Kiwanis Housing Society,Residential Care Public: 80% of net income,Regular office hours,Your local mental health authority,BC Residency; No Age Requirement,Wheelchair Accessible,841 Kiwanis Way,,Gibsons,V0N 1V0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-65,TOTEM LODGE,COAST GARIBALDI,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-885-8602,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,5544 Sunshine Coast Hwy.,,Sechelt,V0N 3A0,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-66,HARMONY COURT CARE CENTRE,BURNABY SOUTH,"RESIDENTIAL CARE & HOSPICES - PRIVATE (apply directly to facility)
RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority)",604-527-3300,AgeCare,"Residential Care Public: 80% of net incomeResidential Care Private: approx. $2,500-10,000/month",Regular office hours,Directly to building or your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,7195 Canada Way,,Burnaby,V5E 3R7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-67,GLENGARRY HOSPITAL,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-370-5736,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1780 Fairfield Rd.,,Victoria,V8S 1G7,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-68,MEMORIAL PAVILLION/VICTORIA HOSPICE,VANCOUVER ISLAND SOUTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-370-8715,Victoria Hospice Society,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,No Age Requirement; BC Residency,Wheelchair Accessible,1952 Bay St.,,Victoria,V9A 1L2,BC,Canada
Canada-BC-31-BC-SeniorsServicesSoc-output-69,EAGLE RIDGE MANOR,VANCOUVER ISLAND NORTH,RESIDENTIAL CARE & HOSPICES - PUBLIC (apply through health authority),250-902-6043,No Manager provided,Residential Care Public: 80% of net income,Regular office hours,Your local health authority,BC Residency; No Age Requirement,Wheelchair Accessible,9120 Granville Place,,Port Hardy,V0N 2P0,BC,Canada
