row_id,Facility Name,Address,City,Postal Code,Province,Country,Community,Licensee,Contact Phone,Total Unresolved Infractions,Approx Start Rate per Month,Beds (AC),Attributes,Link to Inspection Details,facility_type
Canada-SK-24-SK-PersonalCareHome-output-36,Lyn's Personal Care Home,5624 5 Ave,Regina ,S4T 0M5,SK,Canada,Regina,Marilyn Vargo,(306) 545-7874,0,$1500 to $1799,2,Can only admit and care for residents who can climb and descend steps independently; Cannot admit or care for residents at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/571c134a-9969-434b-b272-488b86cbb1d,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-37,Simona's Home Ltd.,3319 Fairlight Dr,Saskatoon ,S7M 4N1,SK,Canada,Saskatoon,Simona's Home Ltd.,(306) 683-8629,0,$2200 to $2799,10,Can only admit residents to main level who are able to climb/descend stairs independently; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5b40c417-d3db-4f0b-b097-9b3887af89a,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-38,Courtesy Care Home,2928 Wascana St,Regina ,S4S 2G8,SK,Canada,Regina,Angelita Ibon,(306) 586-9888,0,$1200 to $1499,10,Residents on the lower floor must be able to climb and descend stairs independently; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/09db99ee-f3a3-4b3f-aee5-cfaa0922463; http://personalcarehomes.saskatchewan.ca/Inspection/Details/4762aa63-8f3a-4aa4-b118-02fd73200cc,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-39,Keedwell Assisted Living Centre Inc.,110 Keedwell St,Saskatoon ,S7W 1B4,SK,Canada,Saskatoon,Keedwell Assisted Living Centre  Inc.,(306) 384-9355,0,$2800 to $3499,15,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a74b226b-34b6-4863-8eb3-3e6dd62907f,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-40,Borden Care Home Inc.,301 Second Ave,Borden ,S0K 0N0,SK,Canada,Borden,Borden Care Home  Inc. ,(306) 997-2266,0,$2200 to $2799,20,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/ce0303e7-2c3d-4020-8ebd-a1354959430,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-41,Walsh Acres Manor Ltd.,3 Dunsmore Dr,Regina ,S4R 7E9,SK,Canada,Regina,Walsh Acres Manor Ltd.,(306) 775-1334,0,$1800 to $2199,7,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/639e3704-4095-4cac-a8e3-f98c0153af0,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-42,It's Home At Kathy's,330 Black Dr,Regina ,S4X 2V7,SK,Canada,Regina,Kathleen Bute,(306) 789-3710,0,$1500 to $1799,4,Initial Licence Date: 1994 05 03; Approx Monthly Range: $1500 to $1799; Cannot admit or care for residents who are at risk of wandering; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e9bf89a2-1167-4a15-9f2d-e183bc47bae,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-43,Almost Home Care Home,114 4 Ave,Biggar ,S0K 0M0,SK,Canada,Biggar,101208269 Saskatchewan  Ltd. ,(306) 948-3615,4,$1800 to $2199,10,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/7ca62b64-65fa-429a-b187-f1cdf8cfa2a; http://personalcarehomes.saskatchewan.ca/Inspection/Details/fb299391-8184-4f3c-ae23-d52f6a6d5f6; http://personalcarehomes.saskatchewan.ca/Inspection/Details/9f776cdb-40e1-4fee-8ef5-ca41ed66b59,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-44,Genevieve Fleuter,205 Railway Ave,Beechy ,S0L 0C0,SK,Canada,Beechy,Genevieve Fleuter,(306) 859-4470,2,$1800 to $2199,10,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/878f82ea-e803-4a6c-adff-29ea5788246; http://personalcarehomes.saskatchewan.ca/Inspection/Details/816f8541-91c8-45c3-9b52-1b2c1ed12be,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-45,Esther Wilk,10106 Ross Crescent,North Battleford ,S9A 3R6,SK,Canada,North Battleford,Esther Wilk,(306) 445-5032,0,$1500 to $1799,9,Can only admit and care for residents on the lower level who can climb and descend steps independently; Cannot admit or care for residents at risk of wandering; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a4d2fffd-14ee-4ff3-950a-43980fe8b06; http://personalcarehomes.saskatchewan.ca/Inspection/Details/9bcf1464-2e2a-4eb9-96b6-fa547e715a4,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-46,Westhill Manor,8030 Sherwood Place,Regina ,S4Y 1A7,SK,Canada,Regina,Jerome Pasloski,(306) 522-2373,0,$2800 to $3499,10,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/f6de5224-7cf8-4750-85e5-92519a902bd,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-47,Cedar Gardens Personal Care Home Inc.,102 Fairbrother Crescent,Saskatoon ,S7S 1G5,SK,Canada,Saskatoon,Cedar Gardens Personal Care Home Inc. ,(306) 290-4151,2,$2800 to $3499,10,Must ensure a nurse (R.N.  R.P.N. or L.P.N. is working a minimum of four hours in each home (i.e. minimum of 16 hours per week collectively) each week; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/ed3b60da-7669-4ea9-89d4-d1af4f8491e; http://personalcarehomes.saskatchewan.ca/Inspection/Details/31fed893-effd-415d-a08a-8b1a716d1f3,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-48,Vilma Cayabyab,2915 37 St W,Saskatoon ,S7L 7H8,SK,Canada,Saskatoon,Vilma Cayabyab,(306) 979-5771,0,$1800 to $2199,9,Can only admit residents who are capable of climbing and descending stairs independently; Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/37ec1d15-b8be-406c-bd11-544a9a68ffa; http://personalcarehomes.saskatchewan.ca/Inspection/Details/184ff486-8ebb-4f0a-87e1-fdb26a2f032; http://personalcarehomes.saskatchewan.ca/Inspection/Details/202a71a6-2d00-4cf0-aac7-a64efd39822; http://personalcarehomes.saskatchewan.ca/Inspection/Details/de46ca1f-0812-4381-ae48-8916dfb2bc6,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-49,Meadow Edge House,5 James Bay,Lumsden ,S2V 1B5,SK,Canada,Lumsden,Lorinda Johns,(306) 731-2544,0,$2800 to $3499,10,On the second floor can only admit and care for residents who can climb and descend stairs independently; Single rooms,,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-50,Diamond House Ltd,700 Ballesteros Cres,Warman ,S0K 4S4,SK,Canada,Warman,Diamond House Ltd.,(306) 955-1300,2,$3500 to $3999,120,Only Houses 1 and 2 may admit and care for residents who are at risk of wandering.  A Health Care Professional (as defined in the personal care home regulations) must complete a holistic assessment of each residentÕs strengths and limitations upon admission; when care needs change and at least every two years.  Double Rooms.,http://personalcarehomes.saskatchewan.ca/Inspection/Details/47c27658-c454-45f0-a60f-23b7b384c16; http://personalcarehomes.saskatchewan.ca/Inspection/Details/96d60762-2ad7-4608-abd6-9661cb9199c,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-51,West Haven Care Home,104 Carl Ave W,Langenburg ,S0A 2A0,SK,Canada,Langenburg,Jenny Rumancik,(306) 743-8048,5,$1500 to $1799,9,Cannot admit or care for residents who are at risk of wandering.  Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/904663f3-7f9f-4561-9bf9-a735506244e; http://personalcarehomes.saskatchewan.ca/Inspection/Details/14003695-f69c-4ea7-ad73-b403f908b31,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-52,Iftikhar Ahmed,1138 Evergreen Blvd,Saskatoon ,S7W 0B0,SK,Canada,Saskatoon,Iftikhar Ahmed,(306) 880-9786,0,$2200 to $2799,15,¥ Cannot admit or care for residents who are at risk of wandering,http://personalcarehomes.saskatchewan.ca/Inspection/Details/a3d746c1-11a0-41f9-a5e5-3cc53285a4a; http://personalcarehomes.saskatchewan.ca/Inspection/Details/7e7b4f63-9ee7-426f-965d-b041e236e30,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-53,Jeannine Mercier,SW1/4 -21-44-26-W2,RM of St. Louis #431 ,S0K 1G0,SK,Canada,RM 431 - Rural (SktnHR),Jeannine Mercier,(306) 423-6279,0,$1500 to $1799,5,Initial Licence Date: 1992 07 20; Approx Monthly Range: $1500 to $1799; Can only admit and care for residents who can climb and descend stairs independently; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/0e079314-233f-40ea-902d-6ae22a6f6b5,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-54,Star Treatment Services Inc.,17/19 Walden Crescent,Regina ,S4N 1L1,SK,Canada,Regina,Star Treatment Services Inc.,(306) 569-0885,3,$2800 to $3499,8,Cannot admit or care for residents at risk of wandering; Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/c1d0689e-e41a-4c5f-9466-c73a67daa97; http://personalcarehomes.saskatchewan.ca/Inspection/Details/d0d7d452-a8e4-42b3-9c7f-a9b033b1882,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-55,Hayes Haven Personal Care Home  Inc.,920 McKay St,Indian Head ,S0G 2K0,SK,Canada,Indian Head,Hayes Haven Personal Care Home  Inc. ,(306) 695-2049,0,$2200 to $2799,21,Single rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/3b96435f-fb3e-4488-bfbd-5fc9cb7fc83,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-56,Newzie Nalus,325 Simon Fraser Crescent,Saskatoon ,S7H 3T5,SK,Canada,Saskatoon,Newzie Nalus,(306) 974-0427,0,$700 to $999,2,Initial Licence Date: 2017 02 23; Approx Monthly Starting Range: $700 to $999; Can only admit and care for residents to main level of home who are able to climb and descend stairs independently; Cannot admit residents at risk of wandering,http://personalcarehomes.saskatchewan.ca/Inspection/Details/f04076fd-a8e0-48f0-a9b4-1d5006b7dc6,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-57,Northern Light Care Homes Inc.,218 Lochrie Crescent,Saskatoon ,S7M 5E4,SK,Canada,Saskatoon,Northern Light Care Homes  Inc.,(306) 934-5554,0,$1800 to $2199,8,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/e3077677-39f1-4487-aa07-d4b62700047; http://personalcarehomes.saskatchewan.ca/Inspection/Details/05c206b7-04f7-46ee-af08-e6380312c8c; http://personalcarehomes.saskatchewan.ca/Inspection/Details/ad8b8294-4c51-4213-a614-2545ee4438b,Assisted Living
Canada-SK-24-SK-PersonalCareHome-output-58,Bernadette Leslie,72 28 St,Battleford ,S0M 0E0,SK,Canada,Battleford,Bernadette Leslie,(306) 937-7652,0,$1800 to $2199,4,Single rooms; Double rooms,http://personalcarehomes.saskatchewan.ca/Inspection/Details/5034bf2d-e23e-4dbe-99b1-d2115aca9dd,Assisted Living
