row_id,Facility Name,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Phone,Country
USA-KS-91-KS-All-output-32,BROOKDALE JUNCTION CITY,N031004,Assisted Living Facility,1022 CAROLINE AVENUE,JUNCTION CITY,GEARY,KS,66441-5206,CHRISTINE MARIE POWERS,785-762-3123,US
USA-KS-91-KS-All-output-33,BROOKDALE LIBERAL SPRINGS,N088003,Assisted Living Facility,1500 TERRACE AVENUE,LIBERAL,SEWARD,KS,67901,SANDRA MONTES,620-624-8000,US
USA-KS-91-KS-All-output-34,BROOKDALE MCPHERSON,N059016,Assisted Living Facility,1460 N. MAIN STREET,MCPHERSON,MCPHERSON,KS,67460-1902,MELISSA HOLCOM,620-241-6600,US
USA-KS-91-KS-All-output-35,BROOKDALE OVERLAND PARK,N046079,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,12000 LAMAR,OVERLAND PARK,JOHNSON,KS,66209,JAYNE MACDONALD,913-663-2888,US
USA-KS-91-KS-All-output-36,BROOKDALE OVERLAND PARK GLENWOOD,N046048,Assisted Living Facility,9201 FOSTER,OVERLAND PARK,JOHNSON,KS,66212-,JOHN CONNER,913-385-2052,US
USA-KS-91-KS-All-output-37,BROOKDALE ROSEHILL,N046063,Nursing Facility; Assisted Living Facility,12802 JOHNSON DR,SHAWNEE,JOHNSON,KS,66216-,SUZIE SEXTON,913-962-7600,US
USA-KS-91-KS-All-output-38,BROOKDALE SALINA FAIRDALE,N085010,Assisted Living Facility,2251 E. CRAWFORD STREET,SALINA,SALINE,KS,67401,MELISSA HOLCOM,785-823-8600,US
USA-KS-91-KS-All-output-39,BROOKDALE SALINA KIRWIN,N085009,Assisted Living Facility,1200 E KIRWIN AVE,SALINA,SALINE,KS,67401-6300,JOYE R ACKER-GFELLER,785-825-8200,US
USA-KS-91-KS-All-output-40,BROOKDALE TALLGRASS,N087037,Assisted Living Facility,8600 E 21ST N,WICHITA,SEDGWICK,KS,67206-2931,KATIE GLEICHMAN,316-684-3100,US
USA-KS-91-KS-All-output-41,BROOKDALE WELLINGTON,N096009,Assisted Living Facility,500 N PLUM ST,WELLINGTON,SUMNER,KS,67152-3556,ROBIN DERINGER,620-326-3031,US
USA-KS-91-KS-All-output-42,BROOKSIDE RETIREMENT COMMUNITY ASSISTED LIVING,N070008,Assisted Living Facility,702 W 7TH PO BOX 308,OVERBROOK,OSAGE,KS,66524-308,TRACY DUNNAWAY,785-665-3246,US
USA-KS-91-KS-All-output-43,BUHLER SUNSHINE HOME,N078009,Nursing Facility; Assisted Living Facility,400 S BUHLER RD,BUHLER,RENO,KS,67522-,KEITH R. PANKRATZ,620-543-2251,US
USA-KS-91-KS-All-output-44,CARRINGTON AT CHERRY CREEK,N087043,Assisted Living Facility,8200 E PAWNEE ST,WICHITA,SEDGWICK,KS,67207-3448,DENNIS BUSH,316-684-0905,US
USA-KS-91-KS-All-output-45,CATHOLIC CARE CENTER INC,N087001,Nursing Facility; Assisted Living Facility; Residential Health Care Facility,6700 E 45TH ST N,BELAIRE,SEDGWICK,KS,67226-9970,KATE PENTZ,316-744-2020,US
USA-KS-91-KS-All-output-46,CEDAR LAKE VILLAGE,N046059,Assisted Living Facility,15325 S. LONE ELM ROAD,OLATHE,JOHNSON,KS,66061-5331,LAUREN WHEELER,913-780-9916,US
USA-KS-91-KS-All-output-47,CEDARVIEW ASSISTED LIVING,N026010,Assisted Living Facility,2929 STERNBERG DRIVE,HAYS,ELLIS,KS,67601,TREVA BENOIT,785-628-3200,US
USA-KS-91-KS-All-output-48,"CHAUCER ESTATES, LLC",N087048,Assisted Living Facility,10550 E. 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67206-3509,DEANN MOST,316-630-6100,US
USA-KS-91-KS-All-output-49,CLEARWATER VILLAGE,N087053,Assisted Living Facility,440 N. 4TH STREET,CLEARWATER,SEDGWICK,KS,67026,NOREEN STONEHOCKER,620-584-4257,US
USA-KS-91-KS-All-output-50,COLWICH GARDENS LLC,N087081,Assisted Living Facility,300 E CHICAGO,COLWICH,SEDGWICK,KS,67030,HOPE BUESSING,316-260-1034,US
USA-KS-91-KS-All-output-51,CORNERSTONE ASSISTED LIVING INC,N087041,Assisted Living Facility,1240 N BROADMOOR AVENUE,WICHITA,SEDGWICK,KS,67206-3869,DANIELLE JEFFRIES,316-636-5101,US
USA-KS-91-KS-All-output-52,COUNCIL GROVE ASSISTED LIVING,N064002,Assisted Living Facility,554 COUNTRY LANE,COUNCIL GROVE,MORRIS,KS,66846,BONNIE SUE SAWYER,620-767-5600,US
USA-KS-91-KS-All-output-53,COUNTRY LIVING INC,N039004,Assisted Living Facility,420 N 5TH,ANTHONY,HARPER,KS,67003,CINDY ASH,620-842-5858,US
USA-KS-91-KS-All-output-54,COUNTRY LIVING OF LARNED,N073002,Assisted Living Facility,714 W. 9TH STREET,LARNED,PAWNEE,KS,67550,LAURA SMITH,620-285-6900,US
USA-KS-91-KS-All-output-55,COUNTRY LIVING OF LYONS,N080004,Assisted Living Facility,502 SOUTH MILES,LYONS,RICE,KS,67554,LAURA SMITH,620-257-5012,US
USA-KS-91-KS-All-output-56,COUNTRY PLACE SENIOR LIVING OF BASEHOR,N052009,Assisted Living Facility,15707 PINEHURST DRIVE,BASEHOR,LEAVENWORTH,KS,66007,CHRISTI RUTH,913-662-7330,US
USA-KS-91-KS-All-output-57,COUNTRY PLACE SENIOR LIVING OF BELLEVILLE,N079003,Assisted Living Facility,530 23RD STREET,BELLEVILLE,REPUBLIC,KS,66935,JANET JONES,785-527-5300,US
USA-KS-91-KS-All-output-58,COUNTRY PLACE SENIOR LIVING OF CHANUTE,N067010,Assisted Living Facility,701 OSA MARTIN BLVD,CHANUTE,NEOSHO,KS,66720,ANGELA DECOSTER,620-431-0599,US
USA-KS-91-KS-All-output-59,COUNTRY PLACE SENIOR LIVING OF CLAY CENTER,N014005,Assisted Living Facility,722 LIBERTY STREET,CLAY CENTER,CLAY,KS,67432,RAY FRIGON,785-632-5052,US
USA-KS-91-KS-All-output-60,COUNTRY PLACE SENIOR LIVING OF FORT SCOTT,N006008,Assisted Living Facility,820 S. HORTON STREET,FORT SCOTT,BOURBON,KS,66701,AMANDA DOWNING,620-223-1822,US
USA-KS-91-KS-All-output-61,COUNTRY PLACE SENIOR LIVING OF HOISINGTON,N005007,Assisted Living Facility,259 W. 6TH STREET,HOISINGTON,BARTON,KS,67544-2014,MALISSIA PFLUGHOEFT,620-653-4121,US
USA-KS-91-KS-All-output-62,COUNTRY PLACE SENIOR LIVING OF MARYSVILLE,N058007,Assisted Living Facility,1149 COUNTRY PLACE DRIVE,MARYSVILLE,MARSHALL,KS,66508,MELVA SANNER,785-562-4001,US
USA-KS-91-KS-All-output-63,COUNTRY PLACE SENIOR LIVING OF SENECA,N066008,Assisted Living Facility,1700 COMMUNITY DRIVE,SENECA,NEMAHA,KS,66538,DEBRA RETHMAN,785-336-6868,US
USA-KS-91-KS-All-output-64,COVENANT PLACE OF LENEXA INC,N046085,Nursing Facility; Assisted Living Facility,8505 PFLUMM ROAD,LENEXA,JOHNSON,KS,66215-2461,COURTNEY MICHELLE O'CONNOR,913-307-2000,US
USA-KS-91-KS-All-output-65,DELAWARE HIGHLANDS ASSISTED LIVING,N105014,Assisted Living Facility,12600 DELAWARE PARKWAY,KANSAS CITY,WYANDOTTE,KS,66106,THOMAS A. WALKER,913-721-1400,US
USA-KS-91-KS-All-output-66,DOVE ESTATES SENIOR LIVING COMMUNITY,N087082,Assisted Living Facility,1400 S. 183RD WEST,GODDARD,SEDGWICK,KS,67052,JACQUELINE JADIDIAN,316-550-6343,US
USA-KS-91-KS-All-output-67,EAGLECREST RETIREMENT COMMUNITY,N085012,Assisted Living Facility,1501 E. MAGNOLIA ROAD,SALINA,SALINE,KS,67401,JACQUE DAWN BACKHUS,785-309-1501,US
USA-KS-91-KS-All-output-68,EMPORIA PLACE,N056012,Assisted Living Facility,1200 W. 12TH AVENUE,EMPORIA,LYON,KS,66801-2557,LISA A. JOHNSON,620-342-1000,US
USA-KS-91-KS-All-output-69,EMPORIA PRESBYTERIAN MANOR,N056006,Nursing Facility; Assisted Living Facility,2300 INDUSTRIAL ROAD,EMPORIA,LYON,KS,66801-6636,SUSAN K SIEPELMEIER,620-343-2613,US
USA-KS-91-KS-All-output-70,F W HUSTON MEDICAL CENTER DBA JEFFERSON SUITES,N044007,Assisted Living Facility,408 DELAWARE STREET,WINCHESTER,JEFFERSON,KS,66097-4003,LAMONT COOK,913-774-4340,US
USA-KS-91-KS-All-output-71,FAIRVIEW ESTATES RETIREMENT COMMUNITY INC,N097003,Assisted Living Facility,1630 SEWELL AVENUE,COLBY,THOMAS,KS,67701,ELIZABETH J. BENJAMIN,785-462-2154,US
USA-KS-91-KS-All-output-72,FORT SCOTT PRESBYTERIAN VILLAGE,N006005,Assisted Living Facility,2401 S. HORTON STREET,FORT SCOTT,BOURBON,KS,66701-3196,GINGER NANCE,620-223-5550,US
USA-KS-91-KS-All-output-73,FOUNTAINVIEW NURSING & REHABILITATION CENTER,N008004,Nursing Facility; Assisted Living Facility,601 N. ROSE HILL ROAD,ROSE HILL,BUTLER,KS,67133-9336,SUSAN K. BILLINGER,316-776-2194,US
USA-KS-91-KS-All-output-74,GARDEN VILLAS OF LENEXA,N046078,Assisted Living Facility,9705 MONROVIA STREET,LENEXA,JOHNSON,KS,66215-1564,DANIELLE N. GRANIEWSKI,913-492-1133,US
USA-KS-91-KS-All-output-75,GOLDEN OAKS HEALTHCARE INC,N105019,Nursing Facility; Assisted Living Facility,8900 PARALLEL PARKWAY,KANSAS CITY,WYANDOTTE,KS,66112,JOSHUA H. EVERY,913-788-2100,US
USA-KS-91-KS-All-output-76,GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE,N027001,Nursing Facility; Assisted Living Facility,1156 HIGHWAY 14,ELLSWORTH,ELLSWORTH,KS,67439,CRYSTAL PACKARD,785-472-3167,US
USA-KS-91-KS-All-output-77,GOOD SAMARITAN SOCIETY - HUTCHINSON VILLAGE,N078004,Nursing Facility; Assisted Living Facility,810 E. 30TH AVENUE,HUTCHINSON,RENO,KS,67502-4398,BRENDA JANDA,620-663-1189,US
USA-KS-91-KS-All-output-78,GRACE GARDENS ASSISTED LIVING,N046065,Assisted Living Facility; Residential Health Care Facility,5201 W. 143RD STREET,LEAWOOD,JOHNSON,KS,66224,ELAINE MCDANIEL,913-685-4800,US
USA-KS-91-KS-All-output-79,GRAN VILLAS ATCHISON,N003004,Assisted Living Facility,1635 RILEY STREET,ATCHISON,ATCHISON,KS,66002-1514,BRENDA NORRIS,913-367-2077,US
USA-KS-91-KS-All-output-80,GRAN VILLAS PITTSBURG,N019009,Assisted Living Facility,1004 E. CENTENNIAL STREET,PITTSBURG,CRAWFORD,KS,66762-6603,LORI WARD,620-231-4554,US
USA-KS-91-KS-All-output-81,HERINGTON OPCO LLC DBA LEGACY AT HERINGTON,N021004,Nursing Facility; Assisted Living Facility,2 E ASH SREET,HERINGTON,DICKINSON,KS,67449-1662,KATHRYN WALMSLEY,785-258-2283,US
USA-KS-91-KS-All-output-82,HERITAGE ESTATES ASSISTED LIVING,N039005,Assisted Living Facility,1212 HICKORY STREET,HARPER,HARPER,KS,67058-1455,CAROL MCKEE,620-896-2646,US
USA-KS-91-KS-All-output-83,HILL TOP HOUSE,N029004,Nursing Facility; Assisted Living Facility,"505 W. ELM, PO BOX 248",BUCKLIN,FORD,KS,67834-248,JUDITH K. KREGAR,620-826-3202,US
USA-KS-91-KS-All-output-84,HILLSIDE VILLAGE OF DESOTO,N046064,Nursing Facility; Assisted Living Facility,33600 W. 85TH STREET,DESOTO,JOHNSON,KS,66018,TODD SIMPSON,913-583-1260,US
USA-KS-91-KS-All-output-85,HILLTOP LODGE NURSING HOME,N062001,Nursing Facility; Assisted Living Facility,815 N. INDEPENDENCE AVENUE,BELOIT,MITCHELL,KS,67420-1639,CARL L. NOYES,785-738-3516,US
USA-KS-91-KS-All-output-86,HOMESTEAD OF AUGUSTA,N008008,Assisted Living Facility; Residential Health Care Facility,1611 FAIRWAY STREET,AUGUSTA,BUTLER,KS,67010-2246,MARGARET FENNESSY,316-775-1000,US
USA-KS-91-KS-All-output-87,HOMESTEAD OF CRESTVIEW,N087059,Assisted Living Facility,600 N. 127TH STREET EAST,WICHITA,SEDGWICK,KS,67206-2830,SANDRA PRESTON,316-733-8100,US
USA-KS-91-KS-All-output-88,HOMESTEAD OF DERBY,N087036,Assisted Living Facility,1701 WALNUT GROVE ROAD,DERBY,SEDGWICK,KS,67037,DENISE RUTENBECK,316-788-9600,US
USA-KS-91-KS-All-output-89,HOMESTEAD OF RUSSELL,N084007,Assisted Living Facility,1070 E. WICHITA AVENUE,RUSSELL,RUSSELL,KS,67665-2452,ERICA KEENER,785-483-5882,US
USA-KS-91-KS-All-output-90,IRON HORSE HEALTHCARE INC,N046096,Nursing Facility; Assisted Living Facility,5401 W 143RD STREET,LEAWOOD,JOHNSON,KS,66224,JUSTIN VAUGHN,913-249-3600,US
USA-KS-91-KS-All-output-91,KANSAS VETERANS HOME,N018011,Nursing Facility; Assisted Living Facility,1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,COWLEY,KS,67156-9801,DANIEL LAFFERY,620-221-9479,US
USA-KS-91-KS-All-output-92,KEARNY COUNTY HOSPITAL ASSISTED LIVING,N047002,Assisted Living Facility,607 COURT PLACE,LAKIN,KEARNY,KS,67860,MARY CHIPLEY,620-355-8600,US
USA-KS-91-KS-All-output-93,KENNETH L CALDWELL ASSISTED LIVING MANOR,N087055,Assisted Living Facility,400 S MARTINSON STREET,WICHITA,SEDGWICK,KS,67213-5514,NISHA JACKSON WEEMS,316-269-7500,US
USA-KS-91-KS-All-output-94,KENWOOD PLAZA INC,N093004,Residential Health Care Facility; Assisted Living Facility,607 E 1ST AVENUE,ST JOHN,STAFFORD,KS,67576-2223,MISTY NEWELL,620-549-6133,US
USA-KS-91-KS-All-output-95,LAKEPOINT AUGUSTA LLC,N008005,Nursing Facility; Assisted Living Facility,901 LAKEPOINT DRIVE,AUGUSTA,BUTLER,KS,67010,ALEJANDRO NIETO,316-775-6333,US
USA-KS-91-KS-All-output-96,LAKEPOINT EL DORADO LLC,N008002,Nursing Facility; Assisted Living Facility,1313 S HIGH STREET,EL DORADO,BUTLER,KS,67042-3751,CHRISTIE A UNDERWOOD,316-321-4140,US
USA-KS-91-KS-All-output-97,LAKEVIEW VILLAGE,N046007,Nursing Facility; Assisted Living Facility,13840 W 91ST TERR,LENEXA,JOHNSON,KS,66215-3374,JANICE K PEARSON,913-888-1900,US
USA-KS-91-KS-All-output-98,LAMAR COURT ASSISTED LIVING COMMUNITY,N046051,Assisted Living Facility,11909 LAMAR,OVERLAND PARK,JOHNSON,KS,66209-,AMANDA PROCTOR,913-906-9696,US
USA-KS-91-KS-All-output-99,LARKSFIELD PLACE ASSISTED LIVING,N087077,Assisted Living Facility,2727 N ROCK RD,WICHITA,SEDGWICK,KS,67226,NICOLE NOETZEL,316-361-2800,US
USA-KS-91-KS-All-output-100,LEGEND AT CAPITAL RIDGE,N089045,Assisted Living Facility,1931 SW ARVONIA PLACE,TOPEKA,SHAWNEE,KS,66615,CASEY KARNES,785-272-9400,US
USA-KS-91-KS-All-output-101,LEISURE OPERATIONS LLC,N046031,Nursing Facility; Assisted Living Facility,5211 W 103RD STREEET,OVERLAND PARK,JOHNSON,KS,66207,DEANNA SHAFFER,913-383-2659,US
USA-KS-91-KS-All-output-102,LEXINGTON PARK ASSISTED LIVING,N089041,Assisted Living Facility,1021 SW FLEMING COURT,TOPEKA,SHAWNEE,KS,66604-1851,BEN RIGDON,785-440-0399,US
USA-KS-91-KS-All-output-103,LINCOLN PARK MANOR,N053001,Nursing Facility; Assisted Living Facility,922 N 5TH ST PO BOX 466,LINCOLN,LINCOLN,KS,67455-466,CHRISTEN ROBINSON,785-524-4428,US
USA-KS-91-KS-All-output-104,LOCUST GROVE VILLAGE,N083001,Nursing Facility; Assisted Living Facility,701 W. 6TH STREET,LA CROSSE,RUSH,KS,67548,CHARLOTTE RATHKE,785-222-2574,US
USA-KS-91-KS-All-output-105,LOGAN MANOR COMMUNITY HEALTH SERVICES,N074001,Nursing Facility; Assisted Living Facility,"108 S. ADAMS, PO BOX 308",LOGAN,PHILLIPS,KS,67646-308,TERESA M. MCCOMB,785-689-4201,US
USA-KS-91-KS-All-output-106,MANOR OF THE PLAINS,N029005,Nursing Facility; Assisted Living Facility,200 CAMPUS DR,DODGE CITY,FORD,KS,67801-2706,JERRY L KORBE,620-225-1928,US
USA-KS-91-KS-All-output-107,"MAPLE HILLS HEALTHCARE, INC DBA THE HEALTHCARE RESORT OF SHAWNEE",N046093,Nursing Facility; Assisted Living Facility,7600 ANTIOCH ROAD,OVERLAND PARK,JOHNSON,KS,66204,MICHAEL BROOKS,913-383-2001,US
USA-KS-91-KS-All-output-108,MARIA COURT,N096011,Assisted Living Facility,633 E. MAIN STREET,MULVANE,SUMNER,KS,67110,"PAM DARNALL 633 E MAIN STREET, MULVANE KS 67110",316-777-9917,US
USA-KS-91-KS-All-output-109,"MARION ASSISTED LIVING, LLC",N057007,Assisted Living Facility,200 N. EISENHOWER ROAD,MARION,MARION,KS,66861,BONNIE SUE SAWYER,620-382-3000,US
USA-KS-91-KS-All-output-110,MARQUIS PLACE,N015008,Assisted Living Facility,205 W. 21ST STREET,CONCORDIA,CLOUD,KS,66901,SONIA DERUSSEAU,785-243-2255,US
USA-KS-91-KS-All-output-111,MCCRITE RETIREMENT ASSISTED LIVING,N089047,Assisted Living Facility,1608 SW 37TH STREET,TOPEKA,SHAWNEE,KS,66611-2564,PATRICK I MCCRITE,785-267-2960,US
USA-KS-91-KS-All-output-112,MEADOWLARK HILLS,N081004,Nursing Facility; Assisted Living Facility,2121 MEADOWLARK ROAD,MANHATTAN,RILEY,KS,66502-4569,ANNA LEE PEACE BOWYER,785-537-4610,US
USA-KS-91-KS-All-output-113,MEMORIAL LIVING CENTER,N094001,Assisted Living Facility,102 E LANE DR,JOHNSON,STANTON,KS,67855,LORI AMERIN,620-492-2356,US
USA-KS-91-KS-All-output-114,MENNONITE FRIENDSHIP COMMUNITIES INC,N078005,Nursing Facility; Assisted Living Facility,600 W BLANCHARD AVE,SOUTH HUTCHINSON,RENO,KS,67505-1526,LEIGH PECK,620-663-7175,US
USA-KS-91-KS-All-output-115,MIDLAND CARE AT LINNWOOD PARK,N044005,Assisted Living FacilityHome Plus,1509 LINN ST,VALLEY FALLS,JEFFERSON,KS,66088-1185,KRISTI LEONARD,785-945-3634,US
USA-KS-91-KS-All-output-116,MONTEREY VILLAGE,N023022,Assisted Living Facility,3901 PETERSON ROAD,LAWRENCE,DOUGLAS,KS,66049,KATIE WILCOX,573-471-1113,US
USA-KS-91-KS-All-output-117,MORNINGSTAR CARE HOMES OF FREDONIA,N103004,Assisted Living Facility,2111 E. WASHINGTON STREET,FREDONIA,WILSON,KS,66736-1759,SCOTT D. SCHULTZ,785-594-2603,US
USA-KS-91-KS-All-output-118,MORNINGSTAR CARE HOMES OF NEODESHA,N103005,Assisted Living Facility,400 FIR STREET,NEODESHA,WILSON,KS,66757-1298,SUSAN APOLLO,785-594-2603,US
USA-KS-91-KS-All-output-119,NEUVANT HOUSE OF LAWRENCE,N023020,Assisted Living Facility,1216 BILTMORE DRIVE,LAWRENCE,DOUGLAS,KS,66049,EMILY HILDING,785-856-7900,US
USA-KS-91-KS-All-output-120,NEWTON PRESBYTERIAN MANOR,N040005,Nursing Facility; Assisted Living Facility,1200 E. 7TH STREET,NEWTON,HARVEY,KS,67114-2862,MARC KESSINGER,316-283-5400,US
USA-KS-91-KS-All-output-121,OTTAWA RETIREMENT PLAZA,N030006,Assisted Living Facility,1042 W. 15TH STREET,OTTAWA,FRANKLIN,KS,66067,VALERIE BREWER,785-242-1127,US
USA-KS-91-KS-All-output-122,PARK MEADOWS SENIOR LIVING,N046077,Assisted Living Facility,5901 W. 107TH STREET,OVERLAND PARK,JOHNSON,KS,66207-3851,BARBARA OVERMANN,913-901-8200,US
USA-KS-91-KS-All-output-123,PARK WEST PLAZA,N087046,Nursing Facility; STATE ONLY Assisted Living Facility,505 N. MAIZE ROAD,WICHITA,SEDGWICK,KS,67212,KELLY THOMAS,316-729-4114,US
USA-KS-91-KS-All-output-124,PARKSIDE HOMES,N057004,Nursing Facility; Assisted Living Facility,200 WILLOW ROAD,HILLSBORO,MARION,KS,67063-1904,VALERIE MCGHEE,620-947-2301,US
USA-KS-91-KS-All-output-125,PARKWOOD VILLAGE,N076003,Assisted Living Facility,401 ROCHESTER,PRATT,PRATT,KS,67124-2900,SHARON WILL,620-672-5541,US
USA-KS-91-KS-All-output-126,PARSONS PRESBYTERIAN MANOR,N050005,Nursing Facility; Assisted Living Facility,3501 DIRR AVENUE,PARSONS,LABETTE,KS,67357-2298,MAEGEN PEGUES (RETURN FROM LOA),620-421-1450,US
