row_id,﻿Facility Name,Address1,City,Zip,State,Phone,State Licensed Beds,Licsening Information,Country,facility_type
USA-DE-77-DE-NursingHomes-output-11,Country Rest Home,12046 Sunset Lane,Greenwood,19950-9408,DE,302-349-4114,56,State-Licensed Only,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-12,Courtland Manor Inc.,889 S. Little Creek Rd.,Dover,19901-4721,DE,302-674-0566,70,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-13,Delaware Hospital for the Chronically Ill,100 Sunnyside Road,Smyrna,19977-1752,DE,302-223-1000,205,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-14,Delaware Veterans Home,100 Delaware Veterans Blvd.,Milford,19963-5395,DE,302-424-6000,150,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-15,Delmar Nursing and Rehabilitation Center,101 E. Delaware Ave.,Delmar,19940-1110,DE,302-846-3077,109,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-16,Exceptional Care for Children,11 Independence Way,Newark,19713-1159,DE,302-894-1001,38,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-17,"Five Star Foulk Manor North LLC, Nursing Home",1212 Foulk Road,Wilmington,19803-2741,DE,302-478-4296,46,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-18,Forwood Manor Nursing Home,1912 Marsh Road,Wilmington,19810-3954,DE,302-529-1600,72,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-19,Foulk Manor South Nursing Home,407 Foulk Road,Wilmington,19803-3809,DE,302-655-6249,46,State-Licensed Only,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-20,Gilpin Hall Nursing Home,1101 Gilpin Ave.,Wilmington,19806-3214,DE,302-654-4486,96,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-21,Governor Bacon Health Center,Tilton Bldg. PO Box 559,Delaware City,19706-0559,DE,302-836-2550,78,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-22,Harbor Health Care,301 Oceanview Blvd.,Lewes,19958-1269,DE,302-645-4664,179,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-23,Harrison Senior Living of Georgetown,110 W. North Street,Georgetown,19947-2137,DE,302-856-4574,139,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-24,Hillside Center,810 S. Broom St.,Wilmington,19805-4245,DE,302-652-1181,106,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-25,Jeanne Jugan Residence Nursing Home,185 Salem Church Rd.,Newark,19713-2942,DE,302-368-5886,40,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-26,Kentmere Rehabilitation and Healthcare Center,1900 Lovering Ave.,Wilmington,19806-2123,DE,302-652-3311,104,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-27,Lofland Park Center,715 E. King Street,Seaford,19973-3505,DE,302-628-3000,110,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-28,ManorCare Health Services - Pike Creek,5651 Limestone Rd.,Wilmington,19808-1217,DE,302-239-8583,177,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-29,ManorCare Health Services - Wilmington,700 Foulk Road,Wilmington,19803-3708,DE,302-764-0181,138,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-30,Milford Center,700 Marvel Road,Milford,19963-1740,DE,302-422-3303,136,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-31,Millcroft Nursing Home,255 Possum Park Rd.,Newark,19711-3877,DE,302-366-0160,110,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-32,New Castle Health and Rehabilitation Center,32 Buena Vista Dr.,New Castle,19720-4660,DE,302-328-2580,120,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-33,Newark Manor Nursing Home,254 W. Main St.,Newark,19711-3235,DE,302-731-5576,67,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-34,Parkview Nursing & Rehab Center,2801 W. 6th St.,Wilmington,19805-1828,DE,302-655-6135,150,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-35,Pinnacle Rehabilitation & Health Center,3034 S. Dupont Hwy,Smyrna,19977-1898,DE,302-653-5085,151,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-36,"Regal Heights Healthcare & Rehab Center, LLC",6525 Lancaster Pike,Hockessin,19707-9582,DE,302-998-0181,172,,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-37,Regency Healthcare and Rehab Center,801 N. Broom Street,Wilmington,19806-4624,DE,302-652-3861,100,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-38,Seaford Center Nursing Home,1100 Norman Eskridge Hwy,Seaford,19973-1724,DE,302-629-3575,124,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-39,Shipley Manor Health Care Nursing Home,2723 Shipley Road,Wilmington,19810-3251,DE,302-477-8800,82,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-40,Silver Lake Center Nursing Home,1080 Silver Lake Blvd,Dover,19904-2410,DE,302-734-5990,120,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-41,Stockley Center ICF/ID,26351 Patriots Way,Georgetown,19947-2575,DE,302-933-3000,60,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-42,Stonegates,4031 Kennett Pike,Greenville,19807-2047,DE,302-658-6200,49,Medicare Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-43,The Mary Campbell Center,4641 Weldin Rd.,Wilmington,19803-4829,DE,302-762-6025,70,Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-44,The Milton & Hattie Kutz Home,704 River Road,Wilmington,19809-2746,DE,302-764-7000,90,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-45,Westminster Village Health Center Nursing Home,1175 McKee Road,Dover,19904-2268,DE,302-744-3600,67,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-46,Weston Senior Living Center at Highfield,4800 Lancaster Pike,Wilmington,19807-2559,DE,302-994-4434,19,Medicare & Medicaid Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-47,WillowBrooke Court at Cokesbury Viillage,"726 Loveville Road,",Hockessin,19707-1536,DE,302-235-6000,45,Medicare Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-48,WillowBrooke Court at Country House,4830 Kennett Pike,Wilmington,19807-1899,DE,302-654-5101,60,Medicare Certified,US,Nursing Home
USA-DE-77-DE-NursingHomes-output-49,WillowBrooke Court at Manor House,1001 Middleford Road,Seaford,19973-3638,DE,302-629-4593,60,Medicare & Medicaid Certified,US,Nursing Home
