row_id,Facility Name,Address1,Address2,City,Zip,State,Country,Contact Phone,Website,Link to details,facility_type
USA-NY-47-NY-HealthProfiles-output-18,Affinity Skilled Living and Rehabilitation Center,305 Locust Avenue,,Oakdale,11769,NY,US,(631) 218-5900,http://affinityskilled.com/,https://profiles.health.ny.gov/nursing_home/view/150910,Residential Health Care; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-19,Albany County Nursing Home,Albany-shaker Road,,Albany,12211,NY,US,(518) 869-2231,http://www.albanycounty.com/Government/Departments/NursingHomeResidentialHealthCareFacilities.aspx,https://profiles.health.ny.gov/nursing_home/view/150304,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-20,Alice Hyde Medical Center,45 Sixth Street,,Malone,12953,NY,US,(518) 481-8000,http://alicehyde.com/Services/NursingHome.asp,https://profiles.health.ny.gov/nursing_home/view/150385,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-21,Alpine Rehabilitation and Nursing Center,755 East Monroe Street,,Little Falls,13365,NY,US,(315) 823-1001,http://www.alpinerehab.net/,https://profiles.health.ny.gov/nursing_home/view/150396,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-22,Amsterdam Nursing Home Corp (1992),1060 Amsterdam Avenue,,New York,10025,NY,US,(212) 678-2600,http://www.amsterdamcares.com/,https://profiles.health.ny.gov/nursing_home/view/150727,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-23,Andrus On Hudson,185 Old Broadway,,Hastings-on-hudson,10706,NY,US,(914) 478-3700,http://www.andrusonhudson.org/,https://profiles.health.ny.gov/nursing_home/view/150631,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-24,Apex Rehabilitation & Care Center,78 Birchwood Dr,,Huntington Station,11746,NY,US,(631) 423-3200,http://www.apexrehabcare.com/,https://profiles.health.ny.gov/nursing_home/view/150571,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-25,Atrium Center for Rehabilitation and Nursing,630 E 104th Street,,Brooklyn,11236,NY,US,(718) 240-3100,,https://profiles.health.ny.gov/nursing_home/view/150714,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-26,Auburn Rehabilitation & Nursing Center,85 Thornton Avenue,,Auburn,13021,NY,US,(315) 253-7351,http://www.auburnagt.com/,https://profiles.health.ny.gov/nursing_home/view/150321,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-27,Aurelia Osborn Fox Memorial Hospital,One Norton Avenue,,Oneonta,13820,NY,US,(607) 431-5980,http://www.bassett.org/ao-fox-hospital/,https://profiles.health.ny.gov/nursing_home/view/150518,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-28,"Autumn View Health Care Facility, LLC",S 4650 Southwestern Blvd,,Hamburg,14075,NY,US,(716) 648-2450,http://www.mcguiregroup.com/autumn%20view%20page.html,https://profiles.health.ny.gov/nursing_home/view/150792,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-29,"Avon Nursing Home, LLC",215 Clinton Street,,Avon,14414,NY,US,(585) 226-2225,http://www.hurlbutcare.com/our-communities/avon-nursing-facility,https://profiles.health.ny.gov/nursing_home/view/150403,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-30,Bainbridge Nursing & Rehabilitation Center,3518 Bainbridge Avenue,,Bronx,10467,NY,US,(718) 655-1991,,https://profiles.health.ny.gov/nursing_home/view/150654,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-31,Baird Nursing Home LLC,2150 St Paul Street,,Rochester,14621,NY,US,(585) 342-5540,http://www.bairdnursinghome.com/,https://profiles.health.ny.gov/nursing_home/view/150410,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-32,"Baptist Health Nursing and Rehabilitation Center, Inc",297 N Ballston Ave,,Scotia,12302,NY,US,(518) 370-4700,http://www.bapthealth.com/nursing_rehab_center.htm,https://profiles.health.ny.gov/nursing_home/view/150549,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-33,Barnwell Nursing & Rehabilitation Center,3230 Church Street,,Valatie,12184,NY,US,(518) 758-6222,http://www.barnwellnrc.com/,https://profiles.health.ny.gov/nursing_home/view/150343,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-34,"Batavia Health Care Center, LLC",257 State St,,Batavia,14020,NY,US,(585) 343-1300,http://batavianursinghome.com/,https://profiles.health.ny.gov/nursing_home/view/150390,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-35,"Bay Park Center for Nursing and Rehabilitation, LLC",801 Co-op City Blvd,,Bronx,10475,NY,US,(718) 239-6500,,https://profiles.health.ny.gov/nursing_home/view/150679,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-36,Bayberry Nursing Home,40 Keogh Lane,,New Rochelle,10805,NY,US,(914) 636-3947,http://www.bayberrycarecenter.com/,https://profiles.health.ny.gov/nursing_home/view/150613,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-37,Beach Gardens Rehab and Nursing Center,17-11 Brookhaven Avenue,,Far Rockaway,11691,NY,US,(718) 869-8000,http://www.ehs.org/Bishop-Charles-Waldo-MacLean-Episcopal-Nursing-H.aspx,https://profiles.health.ny.gov/nursing_home/view/150816,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-38,Beach Terrace Care Center,640 West Broadway,,Long Beach,11561,NY,US,(516) 431-4400,http://www.beach-terrace.com/,https://profiles.health.ny.gov/nursing_home/view/150444,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-39,Beacon Rehabilitation and Nursing Center,140 Beach 113th Street,,Rockaway Park,11694,NY,US,(718) 945-6350,,https://profiles.health.ny.gov/nursing_home/view/150772,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-40,Bedford Center for Nursing and Rehabilitation,40 Heyward Street,,Brooklyn,11249,NY,US,(718) 858-6200,http://www.bedfordcenterrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150713,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-41,Beechtree Center for Rehabilitation and Nursing,318 South Albany Street,,Ithaca,14850,NY,US,(607) 273-4166,http://www.beechtreecarecenter.org/,https://profiles.health.ny.gov/nursing_home/view/150588,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-42,Beechwood Homes,2235 Millersport Highway,,Getzville,14068,NY,US,(716) 688-8822,http://www.beechwoodcare.org/,https://profiles.health.ny.gov/nursing_home/view/150375,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-43,Belair Care Center Inc,2478 Jerusalem Ave,,No Bellmore,11710,NY,US,(516) 826-1160,http://www.belaircarecenter.com/,https://profiles.health.ny.gov/nursing_home/view/150455,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-44,Bellhaven Center for Rehabilitation and Nursing Care,110 Beaver Dam Road,,Brookhaven,11719,NY,US,(631) 286-8100,http://bellhavencenter.com/,https://profiles.health.ny.gov/nursing_home/view/150820,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-45,Bensonhurst Center for Rehabilitation and Healthcare,1740 84th Street,,Brooklyn,11214,NY,US,(718) 232-6700,http://www.center84.com/,https://profiles.health.ny.gov/nursing_home/view/150710,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-46,Berkshire Nursing & Rehabilitation Center,10 Berkshire Road,,W Babylon,11704,NY,US,(631) 587-0600,,https://profiles.health.ny.gov/nursing_home/view/150559,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-47,Beth Abraham Center for Rehabilitation and Nursing,612 Allerton Avenue,,Bronx,10467,NY,US,(718) 881-3000,http://www.bethabrahamhealthservices.org/,https://profiles.health.ny.gov/nursing_home/view/150646,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-48,Bethany Gardens Skilled Living Center,800 West Chestnut Street,,Rome,13440,NY,US,(315) 339-3210,http://www.bethanynursing.com/,https://profiles.health.ny.gov/nursing_home/view/150479,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-49,Bethany Nursing Home & Health Related Facility Inc,3005 Watkins Road,,Horseheads,14845,NY,US,(607) 739-8711,http://www.bethany-village.org/,https://profiles.health.ny.gov/nursing_home/view/150676,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-50,Bethel Nursing & Rehabilitation Center,67 Springvale Road,,Croton-on-hudson,10520,NY,US,(914) 739-6700,http://www.bethelwell.com/croton,https://profiles.health.ny.gov/nursing_home/view/150921,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-51,Bethel Nursing Home Company Inc,17 Narragansett Avenue,,Ossining,10562,NY,US,(914) 941-7300,http://www.bethelwell.com/,https://profiles.health.ny.gov/nursing_home/view/150619,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-52,Bethlehem Commons Care Center,125 Rockefeller Road,,Delmar,12054,NY,US,(518) 621-1200,http://www.goodsamvillage.org/,https://profiles.health.ny.gov/nursing_home/view/150302,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-53,"Betsy Ross Rehabilitation Center, Inc",1 Elsie Street,,Rome,13440,NY,US,(315) 339-2220,,https://profiles.health.ny.gov/nursing_home/view/150480,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-54,Bezalel Rehabilitation and Nursing Center,29-38 Far Rockaway Blvd,,Far Rockaway,11691,NY,US,(718) 471-2600,,https://profiles.health.ny.gov/nursing_home/view/150799,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-55,Boro Park Center for Rehabilitation and Healthcare,4915 10th Ave,,Brooklyn,11219,NY,US,(718) 851-3700,http://boroparkcenter.net/,https://profiles.health.ny.gov/nursing_home/view/150707,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-56,Briarcliff Manor Center for Rehabilitation and Nursing Care,620 Sleepy Hollow Road,,Briarcliff Manor,10510,NY,US,(914) 941-5100,,https://profiles.health.ny.gov/nursing_home/view/150632,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-57,Bridge View Nursing Home,143-10 20th Ave,,Whitestone,11357,NY,US,(718) 961-1212,,https://profiles.health.ny.gov/nursing_home/view/150737,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-58,"Bridgewater Center for Rehabilitation & Nursing, LLC",159-163 Front Street,,Binghamton,13905,NY,US,(607) 722-7225,http://www.bwrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150311,Residential Health Care; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-59,Brighton Manor,989 Blossom Road,,Rochester,14610,NY,US,(585) 482-3500,http://www.blossomhealthcare.com/,https://profiles.health.ny.gov/nursing_home/view/150415,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-60,Briody Rehab & Residential Health Care Center,909 Lincoln Ave,,Lockport,14094,NY,US,(716) 434-6361,http://www.briody.org/,https://profiles.health.ny.gov/nursing_home/view/150468,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-61,Broadlawn Manor Nursing & Rehab Center,399 County Line Rd,,Amityville,11701,NY,US,(631) 264-0222,http://www.broadlawn.org/,https://profiles.health.ny.gov/nursing_home/view/150561,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-62,Bronx Center for Rehabilitation & Health Care,1010 Underhill Ave,,Bronx,10472,NY,US,(718) 863-6700,http://bronxcenter.net/,https://profiles.health.ny.gov/nursing_home/view/150672,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-63,Bronx Gardens Rehabilitation and Nursing Center,2175 Quarry Rd,,Bronx,10457,NY,US,(718) 960-3910,http://stbarnabasnursinghome.org/,https://profiles.health.ny.gov/nursing_home/view/150873,Residential Health Care; AIDS; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-64,Bronx Lebanon Special Care Center,1265 Fulton Avenue,,Bronx,10456,NY,US,(718) 579-7000,http://www.bronxcare.org/SpecialCareCenter.html,https://profiles.health.ny.gov/nursing_home/view/150855,Residential Health Care; AIDS
USA-NY-47-NY-HealthProfiles-output-65,Bronx Park Rehabilitation & Nursing Center,3845 Carpenter Ave,,Bronx,10467,NY,US,(718) 798-1100,http://www.bronxparkcenter.com/,https://profiles.health.ny.gov/nursing_home/view/150667,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-66,"Brookhaven Health Care Facility, LLC",801 Gazzola Blvd,,Patchogue,11772,NY,US,(631) 447-8800,http://www.mcguiregroup.com/brookhaven%20page.html,https://profiles.health.ny.gov/nursing_home/view/150832,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-67,Brookhaven Rehabilitation & Health Care Center LLC,250 Beach 17th Street,,Far Rockaway,11691,NY,US,(718) 471-7500,http://www.brookhavenrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150759,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-68,Brooklyn Center for Rehabilitation and Residential Health Care,1455 Coney Island Avenue,,Brooklyn,11230,NY,US,(718) 252-9800,http://brooklynrehab.net/,https://profiles.health.ny.gov/nursing_home/view/150702,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-69,Brooklyn Gardens Nursing & Rehabilitation Center,835 Herkimer Street,,Brooklyn,11233,NY,US,(718) 221-2600,http://www.ehs.org/Bishop-Henry-B-Hucles-Episcopal-Nursing-Home.aspx,https://profiles.health.ny.gov/nursing_home/view/150919,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-70,Brooklyn United Methodist Church Home,1485 Dumont Avenue,,Brooklyn,11208,NY,US,(718) 827-4500,http://www.bumch.org/,https://profiles.health.ny.gov/nursing_home/view/150686,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-71,Brooklyn-Queens Nursing Home,2749 Linden Blvd,,Brooklyn,11208,NY,US,(718) 277-5100,,https://profiles.health.ny.gov/nursing_home/view/150370,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-72,Brookside Multicare Nursing Center,7 Route 25a,,Smithtown,11787,NY,US,(631) 724-2200,http://www.brooksidenursing.org,https://profiles.health.ny.gov/nursing_home/view/150578,Residential Health Care; Pediatric Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-73,Brothers of Mercy Nursing & Rehabilitation Center,10570 Bergtold Road,,Clarence,14031,NY,US,(716) 759-6985,http://brothersofmercy.org/,https://profiles.health.ny.gov/nursing_home/view/150378,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-74,Buena Vida Continuing Care & Rehab Center,48 Cedar Street,,Brooklyn,11221,NY,US,(718) 455-6200,http://buenavidacenter.org/,https://profiles.health.ny.gov/nursing_home/view/150901,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-75,Buffalo Center for Rehabilitation and Nursing,1014 Delaware Ave,,Buffalo,14209,NY,US,(716) 883-6782,http://www.delnrc.com/,https://profiles.health.ny.gov/nursing_home/view/150794,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-76,Bushwick Center for Rehabilitation and Health Care,50 Sheffield Avenue,,Brooklyn,11207,NY,US,(718) 345-2273,http://bushwickcenter.net/,https://profiles.health.ny.gov/nursing_home/view/150838,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-77,Campbell Hall Rehabilitation Center Inc,23 Kiernan Rd,,Campbell Hall,10916,NY,US,(845) 294-8154,http://www.campbellhallrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150785,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-78,Canterbury Woods,725 Renaissance Drive,,Williamsville,14221,NY,US,(716) 929-5800,http://canterburywoods.org/,https://profiles.health.ny.gov/nursing_home/view/150932,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-79,Capstone Center for Rehabilitation and Nursing,302 Swart Hill Road,,Amsterdam,12010,NY,US,(518) 842-6790,http://www.capstonecenterrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150439,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-80,Carillon Nursing and Rehabilitation Center,830 Park Avenue,,Huntington,11743,NY,US,(631) 271-5800,http://www.carillonnursing.com/,https://profiles.health.ny.gov/nursing_home/view/150572,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-81,Carmel Richmond Healthcare and Rehabilitation Center,88 Old Town Road,,Staten Island,10304,NY,US,(718) 979-5000,http://www.archcare.org/carmel-richmond.html,https://profiles.health.ny.gov/nursing_home/view/150780,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-82,Carthage Area Hospital,1001 West Street Road,,Carthage,13619,NY,US,(315) 493-1000,http://www.carthagehospital.com/,https://profiles.health.ny.gov/nursing_home/view/150400,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-83,Casa Promesa,308 East 175 Street,,Bronx,10457,NY,US,(718) 960-7604,http://www.acacianetwork.org/long_term_care,https://profiles.health.ny.gov/nursing_home/view/150877,AIDS
USA-NY-47-NY-HealthProfiles-output-84,"Caton Park Rehabilitation and Nursing Center, LLC",1312 Caton Avenue,,Brooklyn,11226,NY,US,(718) 693-7000,,https://profiles.health.ny.gov/nursing_home/view/150696,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-85,Catskill Regional Medical Center,68 Bushville Road,P.o. Box 515,Harris,12742,NY,US,(845) 794-3300,http://www.crmcny.org/,https://profiles.health.ny.gov/nursing_home/view/150547,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-86,Cayuga Ridge Extened Care,1229 Trumansburg Road,,Ithaca,14850,NY,US,(607) 273-8072,http://www.cayugaridge.org/,https://profiles.health.ny.gov/nursing_home/view/150589,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-87,Cedar Manor Nursing & Rehabilitation Center,Cedar Lane,P.o. Box 928,Ossining,10562,NY,US,(914) 762-1600,http://www.cedarmanornursing.com/home.php,https://profiles.health.ny.gov/nursing_home/view/150618,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-88,Center for Nursing & Rehabilitation Inc,520 Prospect Place,,Brooklyn,11238,NY,US,(718) 636-1000,http://www.cnrny.org/,https://profiles.health.ny.gov/nursing_home/view/150712,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-89,Central Island Healthcare,825 Old Country Rd,,Plainview,11803,NY,US,(516) 433-0600,http://www.centralislandhealthcare.com/,https://profiles.health.ny.gov/nursing_home/view/150466,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-90,Central Park Rehabilitation and Nursing Center,116 East Castle Street,,Syracuse,13205,NY,US,(315) 475-1641,http://www.centralparkrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150497,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-91,Champlain Valley Physicians Hospital Medical Center SNF,75 Beekman Street,,Plattsburg,12901,NY,US,(518) 561-2000,http://www.cvph.org/services/skilled-nursing/,https://profiles.health.ny.gov/nursing_home/view/150337,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-92,Chapin Home for the Aging,165-01 Chapin Parkway,,Jamaica,11432,NY,US,(718) 739-2523,http://www.chapinhome.org/,https://profiles.health.ny.gov/nursing_home/view/150769,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-93,Charles T Sitrin Health Care Center Inc,2050 Tilden Avenue,,New Hartford,13413,NY,US,(315) 797-3114,http://www.sitrin.com/,https://profiles.health.ny.gov/nursing_home/view/150488,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-94,Chasehealth Rehab and Residential Care,One Terrace Heights,P.o. Box 250,New Berlin,13411,NY,US,(607) 847-7000,,https://profiles.health.ny.gov/nursing_home/view/150333,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-95,Chautauqua Nursing and Rehabilitation Center,10836 Temple Road,,Dunkirk,14048,NY,US,(716) 366-6400,http://www.co.chautauqua.ny.us/departments/CountyHome/,https://profiles.health.ny.gov/nursing_home/view/150324,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-96,Chemung County Health Center-Nursing Facility,103 Washington Street,,Elmira,14901,NY,US,(607) 737-2001,http://www.chemungcounty.com/index.asp?pageId=530,https://profiles.health.ny.gov/nursing_home/view/150331,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-97,Chenango Memorial Hospital Inc SNF,179 North Broad Street,,Norwich,13815,NY,US,(607) 337-4111,http://www.uhs.net/?id=188&sid=1,https://profiles.health.ny.gov/nursing_home/view/150334,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-98,Chestnut Park Rehabilitation and Nursing Center,330 Chestnut Street,,Oneonta,13820,NY,US,(607) 432-8501,http://chestnutparkrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150519,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-99,Church Home of the Protestant Episcopal Church,505 Mt Hope Avenue,,Rochester,14620,NY,US,(585) 546-8400,http://episcopalseniorlife.org/church_home.asp,https://profiles.health.ny.gov/nursing_home/view/150414,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-100,Cliffside Rehabilitation & Residential Health Care Center,119-19 Graham Court,,Flushing,11354,NY,US,(718) 886-0700,http://www.cliffsiderehab.com/,https://profiles.health.ny.gov/nursing_home/view/150739,Residential Health Care; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-101,Clifton Springs Hospital and Clinic Extended Care,2 Coulter Road,,Clifton Springs,14432,NY,US,(315) 462-9561,http://www.cliftonspringshospital.org/,https://profiles.health.ny.gov/nursing_home/view/150502,Residential Health Care; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-102,Clinton County Nursing Home,16 Flynn Avenue,,Plattsburgh,12901,NY,US,(518) 563-0950,http://www.clintoncountygov.com/Departments/NursingHome/NursingHomeHomePage.html,https://profiles.health.ny.gov/nursing_home/view/150340,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-103,"Clove Lakes Health Care and Rehabilitation Center, Inc",25 Fanning Street,,Staten Island,10314,NY,US,(718) 289-7900,http://www.clovelakes.com/,https://profiles.health.ny.gov/nursing_home/view/150775,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-104,"Cobble Hill Health Center, Inc",380 Henry Street,,Brooklyn,11201,NY,US,(718) 855-6789,http://www.cobblehill.org/,https://profiles.health.ny.gov/nursing_home/view/150697,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-105,Cold Spring Hills Center for Nursing and Rehabilitation,378 Syosset-woodbury Road,,Woodbury,11797,NY,US,(516) 921-3900,http://www.coldspringhills.net/,https://profiles.health.ny.gov/nursing_home/view/150464,Residential Health Care; Ventilator Dependent
USA-NY-47-NY-HealthProfiles-output-106,Coler Rehabilitation and Nursing Care Center,900 Main Street,,Roosevelt Island,10044,NY,US,(212) 848-6300,http://www.nyc.gov/html/hhc/coler-goldwater/home.html,https://profiles.health.ny.gov/nursing_home/view/150292,Residential Health Care; Pediatric
USA-NY-47-NY-HealthProfiles-output-107,Colonial Park Rehabilitation and Nursing Center,950 Floyd Avenue,,Rome,13440,NY,US,(315) 336-5400,http://www.colonialparkrehab.com/,https://profiles.health.ny.gov/nursing_home/view/150477,Residential Health Care
USA-NY-47-NY-HealthProfiles-output-108,Comprehensive Rehabilitation and Nursing Center at Williamsville,147 Reist Street,,Williamsville,14221,NY,US,(716) 633-5400,http://www.chsbuffalo.org/Facilities/NursingHomes/StFrancis,https://profiles.health.ny.gov/nursing_home/view/150369,Residential Health Care
