row_id,name,license_num,website,contact,phone,cell,fax,email,management_company_name,management_company_phone,rents,subsidized_rent,included_utilities,safety_features,resident_parking,visitor_parking,shuttle_bus,bus_stop,year_built,number_of_floors,building_features,laundry_type,flooring_type,street_address,po_box,city,province,postal_code,country,facility_type
Canada-MB-22-SeniorHousing-22-SeniorHousing-11,Shelard Manor,,,,204 633-0716,,,shelard@globegeneral.ca,Globe General Agencies,204 956-2233,One Bedroom - $1029 +   / with den $1179 +; Two Bedroom - $1200 + up,FALSE,Heat; Hydro; Water,On-Site Personnel,$42 covered parking; $36 surface parking,FALSE,No,Route 17 & 77,,,Air Conditioning; Balcony/Patio; Elevator; Pool; Sauna; In suite storage;  dishwasher;  sunken living room,Smart Card,Carpet; Vinyl,200 Adsum Dr,,Winnipeg,MB,R2P 0W7,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-12,Appleton Estates 1,,http://www.EdisonProperties.ca,,204 940-3482,,,133niawka@edisonproperties.ca,Edison Properties,401 - 10 Fort Street,One Bedroom - starting at $697 - $850; Two Bedroom - starting at $826 - $1005,FALSE,Water,Alarm System; Cameras; Enterphone System; Locked Building; Night Security; On-Site Personnel,Underground pkg $36/month,TRUE,To grocer three times per week,On Niakwa Rd at Chemin Seagrim (eastbound & westbound) route 16,1983,17,Air Conditioning; Balcony/Patio; Elevator; Recycling Program; Sauna; Whirl Pool,", laundry card system",Carpet,133 Niakwa Rd,,Winnipeg,MB,R2M 5J5,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-13,Rosh Pina Housing Co,,,,204 338-4671,,,,Astroid Management Ltd.,204 338-4671,One Bedroom - $900    plus $1000 co - op fee; Two Bedroom - $1000   plus $1000 co - op fee,TRUE,Heat; Hydro; Water,Emergency Pull Cord; Enterphone System; Key-Card Entry; Locked Building; On-Site Personnel,Aboveground $31/month,TRUE,No,On Matheson Ave at St Cross St (eastbound & westbound) route 88,1990,5,Balcony/Patio; Elevator; Multi-purpose Room,Coin Operated,Carpet; Vinyl,op 133 Matheson Ave,,Winnipeg,MB,R2W 5M7,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-14,Riverbend Terrace,,http://www.broadstreet.ca,,204 942-2122,,,,Broadstreet Properties Ltd,204 415-3004,Two Bedroom - $1198- $1228 (920 - 995 sq ft),FALSE,Water,Alarm System; Cameras; Enterphone System; Locked Building; On-Site Personnel,1 parking stall included in rent /additional parking $50/mth,FALSE,No,Route 18 & 32 on Riverbend,2008,4,Air Conditioning; Balcony/Patio; Elevator; Recycling Program; Dishwasher;  family and adult buildings;  month to month leasing available,"En Suite, In suite washer & dryer",Carpet; Vinyl,2471 Main St,,Winnipeg,MB,R2V 2X6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-15,River Ridge Retirement Residence (Assisted Living),,,,204 589-2273,,,,All Seniors Care Living Centres,,One Bedroom - call for price; Two Bedroom - call for price,FALSE,Cable; Heat; Hydro; Water,Alarm System; Emergency Pull Cord; On-Site Personnel; nurse on staff;  live in managers,surface lot,FALSE,"Yes, call for more information","Ridgecrest Route 32, Chief Peguis & Main Route 77",2012,5 floors,Air Conditioning; Balcony/Patio; Elevator; Exercise Facilities; Party Room,", Call for more information",Carpet,50 Ridgecrest Ave,,Winnipeg,MB,R2P 2X5,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-16,The Villagio,,,,204 956-5284,,,,Weidner Apartment Home,204 956-5284,One Bedroom - $1090; Two Bedroom - $1200,FALSE,Heat; Water,Enterphone System; Locked Building,1 stall included in rent,FALSE,No,Route 18 on Leila Ave,2007,4,Air Conditioning; Balcony/Patio; Elevator; Near Seven Oaks Hosp.,"Included In Rent, In suite washer dryer",Carpet; Vinyl,1175 Leila Ave,,Winnipeg,MB,R2P 2Y1,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-17,Wellington Arms,,http://www.rentcanada.com,,,,,,Rivard Apartments,204 452-7388,"Bachelor/Studio - $923 + (550 sq/ft); One Bedroom - $1275 +(770 & 755 sq/ft); Two Bedroom - $1450-1700 (800, 910, 915, 945 & 1100 sq/ft)",FALSE,Heat; Hydro; Water,Alarm System; Cameras; Enterphone System; Key-Card Entry; Locked Building; Night Security; On-Site Personnel,Underground $60/month,TRUE,None,On Wellington Cres at Cockburn St N (eastbound & westbound) route 68,1978,19,Air Conditioning; Balcony/Patio; Elevator; Exercise Facilities; Pool; Recycling Program; Sauna; Storage Locker/Room; Car Wash;  Whirl Pool,Included In Rent,Carpet; Ceramic Tile,277,,Winnipeg,MB,R3M 3V7,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-18,Villa Cabrini,,http://www.lifelease.ca,,204 982-2000,,,,Murdoch Management,204 982-2000,One Bedroom - $740  (554 - 572 sq/ft)  plus  $30 activity fee,FALSE,Heat; Hydro; Water,Cameras; Enterphone System; Locked Building,$55 / month,FALSE,For special outings,"On Osborne routes 16, 18, 58, 60, 61, 63, 64",,8,Balcony/Patio; Exercise Facilities; Party Room; Storage Locker/Room; 2nd floor garden terrace;  access to computers,Coin Operated,Carpet; Vinyl,433 River Ave,,Winnipeg,MB,R3L 2V1,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-19,Times Square Patio Apartments,,,,204 488-8463,,,,Sussex Realty,204 488-4444,Bachelor/Studio - $450 + up; One Bedroom - None; Two Bedroom - $1065 +; Three Bedroom - $1200 + up,FALSE,,Enterphone System; Locked Building; On-Site Personnel,Call for pricing,FALSE,No,On Taylor Ave route # 95,,2,Air Conditioning; Balcony/Patio; Exercise Facilities; Recycling Program; Storage Locker/Room; 1 block from Grant Park Mall;  many suites have street access,Smart Card,Carpet; Hardwood,1061 1137 Taylor Ave,,Winnipeg,MB,R3M 2K4,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-20,The Boulton (Assisted Living),,,,204 475-4500,,,lsawatzky@theboulton.ca,Marwest Management Canada Ltd.,204 947-1200,One Bedroom - $2250 - $2390    *extra person add $350; Two Bedroom - $2890                *extra person add $350,FALSE,Heat; Hydro; Water,Cameras; Enterphone System; On-Site Security,abovegrund $35 / month,FALSE,"To grocer, appointments and planned outings",On Kenaston at Buldton Bay route 78,2005,4,Air Conditioning; Balcony/Patio; Exercise Facilities; Party Room; Recycling Program,"En Suite, in suite laundry",Carpet; Vinyl,100,,Winnipeg,MB,R3N 2C3,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-21,St John's Haven Inc.,,,,204 284-2422,,,sjhaven@mymts.net,,,One Bedroom - $745 (580 sq/ft); Two Bedroom - $907 (750 sq/ft),FALSE,Heat; Hydro; Water,Cameras; Enterphone System; Locked Building,Aboveground $35/mth (limited number of stalls available),,To grocer six times per month,"On Grant Ave at Harrow St (eastbound & westbound) routes 64, 66, 84 & 86",1986,6,Balcony/Patio; Elevator; Exercise Facilities,Included In Rent,Carpet; Vinyl,1015 Grant Ave,,Winnipeg,MB,R3M 1Y3,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-22,The Canoe Club (Assisted Living),,,,204 231-5777,,,,Cupola Investments,,One Bedroom - $3200 + (664 sq.ft) all inclusive,FALSE,Heat; Hydro; Water,Alarm System; Key-Card Entry; Night Security; On-Site Personnel; On-Site Security; personal pendant,Underground $100,FALSE,To Grocery Store on Tuesday / to medical appts. Mon - Fri,On Dunkirk,2008,4,Air Conditioning; Balcony/Patio; Elevator; Exercise Facilities; Party Room,"Included In Rent, insuite washer & dryer",Carpet; laminate floor in livingroom and kitchen,40 Dunkirk Dr,,Winnipeg,MB,R2M 5R4,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-23,South Osborne Housing Co,,http://www.sam.mb.ca,,204 942-0991,,,,S.A.M. Management Inc.,200 - 1080 Portage Avenue   R3G 3M3,One Bedroom - $783 +  co-op share $1000; Two Bedroom - 1 bath starting at  $871  +  co-op share $1000,TRUE,Heat; Hydro; Water,Alarm System; Cameras; Enterphone System; Key-Card Entry; On-Site Personnel,Aboveground $35 per month,TRUE,to grocery store 2 X per week,On Osborne St at Mulvey (northbound & southbound) route 16,,7,Air Conditioning; Balcony/Patio; Elevator; Party Room; Hairdresser;  tuck shop,Smart Card,Carpet,op 360 Osborne St,,Winnipeg,MB,R3L 2V6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-24,Shalom Gardens Housing Co,,,,204 452-1924,,,,,,One Bedroom - $779 (617 sq/ft) $844 (680 sq/ft)+$1000 coop share; Two Bedroom - $890 (840 sq/ft) $956 (920 sq/ft)+$1000 coop share,TRUE,Cable; Heat; Hydro; Water,Cameras; Emergency Pull Cord; Enterphone System; Locked Building,Aboveground $35/month; Underground $45/month,FALSE,To grocer two times per week,"On Grant Ave at Wilton St (eastbound & westbound) 64, 66, 84 & 86",1988,7,Air Conditioning; Balcony/Patio; Elevator; Party Room; Recycling Program,Smart Card,Carpet; Vinyl,op Ltd 360 Wilton St,,Winnipeg,MB,R3M 3X6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-25,Riverview Towers,,http://www.rentcanada.com,,204  452-0110,,,,Quality Management Ltd,204 452-0110,One Bedroom - $970+ (800+ sq/ft); Two Bedroom - $1138+ (908 sq/ft),FALSE,Heat; Hydro; Water,Cameras; Enterphone System; On-Site Personnel; On-Site Security,Indoor Parkade $77 / month,TRUE,,On Stradbrook Ave at Donald St (eastbound) & at Harkness Ave (westbound) route 68,1977,18,Air Conditioning; Balcony/Patio; Elevator; Recycling Program; Sauna; 12 channels of satelite TV;  fitness centre,Smart Card,Carpet; Vinyl,3 Donald Ave,,Winnipeg,MB,R3L 2P6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-26,Riverborne Seniors Place,,http://www.whrc.ca,,204 949-2880,,,,Winnipeg Housing Rehabilitation Corporation,204 949-2880,One Bedroom - Rent geared to income,TRUE,Heat; Hydro; Water,Cameras; Enterphone System; Key-Card Entry; Locked Building,Aboveground $12/month,FALSE,No,"On Stradbrook Ave at Donald St (northbound & southbound) routes 62, 65, 66 & 70",1991,3,Balcony/Patio; Elevator; Party Room,Smart Card,Vinyl; Tile,324 Stradbrook Ave,,Winnipeg,MB,R3L 0J6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-27,River Crescent Gardens,,http://www.globegeneral.ca,,204 452-4047,,,,Globe General Agencies,204 956-2233,One Bedroom - $925+; Two Bedroom - $1397+,FALSE,Heat; Water,Enterphone System; Locked Building; On-Site Personnel,surface lot $33,FALSE,No,Route 68 on River Ave.,,11,Air Conditioning; Balcony/Patio; Elevator; Pool; Recycling Program; Storage Locker/Room; Seasonal pool;  window coverings,"Smart Card, On every floor",Carpet; Hardwood; Tile,595 River Ave,,Winnipeg,MB,R3L 0E6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-28,Legion Crest Apartments,,,,,,,,Canadian Legion Memorial Housing Foundation,47 Cascade Bay,Bachelor/Studio - $285+; One Bedroom - $555+,FALSE,Heat; Hydro; Water,Enterphone System; On-Site Personnel,Aboveground $20/month,FALSE,to grocery store,On Grant Ave at Lilac St (eastbound & westbound) route 66,,2,Air Conditioning,Coin Operated,,819 Grant Ave,,Winnipeg,MB,R3M 1Y1,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-29,Korean Canadian Housing Co,,,,204 982-2004,,,,Murdoch Management Inc.,204 982-2004,One Bedroom - 28% of gross income; Two Bedroom - 28% o gross income,TRUE,Heat; Hydro; Water,; call for more information,surface lot,FALSE,no,"Osborne & River Routes 16,18,39,60 68",,6,Elevator; Party Room,,,Op 160 River Ave,,Winnipeg,MB,R3L 0A9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-30,Harewood House,,,,204 284-4434,,,,Sussex Realty,204 488-4444,One Bedroom - $1000+ (780 sq/ft); Two Bedroom - $1320 + (1030 sq/ft),FALSE,Heat; Hydro; Water,Alarm System; Cameras; Enterphone System; Locked Building; On-Site Personnel,Underground $74/month,TRUE,To grocer once per week,On River Ave at Nassau St (westbound) route 68,1969,18,Air Conditioning; Balcony/Patio; Exercise Facilities; Recycling Program; Sauna; Storage Locker/Room; Sunken living room,Coin Operated,Hardwood,605 River Ave,,Winnipeg,MB,R3L 0E7,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-31,Hampton House,,,,204 475-5169,,,,Akman Management,204 944-9721,One Bedroom -  $980 + (700 - 900 sq ft); Two Bedroom - $1446 +  (1200 sq ft),FALSE,Heat; Water,Enterphone System; Locked Building; On-Site Personnel,$38 inside; $25 surface lot,FALSE,No,Route #18 on Corydon Ave,1953,6,Elevator; Storage Locker/Room; some dishwashers;  in suite storage;  ramp for walkers in back,Smart Card,Hardwood,333,,Winnipeg,MB,R3M 0A1,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-32,Grant Wilton,,,,204 417-9515,,,,The Smith Agency,204 287-2872,One Bedroom - $875 + up; Two Bedroom - $996 + up,FALSE,Heat; Water,Enterphone System; Locked Building; On-Site Personnel; No party policy,Covered $33; surface lot $27,FALSE,No,Route 66 on Grant Ave,,5,Air Conditioning; Balcony/Patio; Elevator; Storage Locker/Room; Includes blinds;  in suite storage;  across from Grant Park Mall,Smart Card,Carpet; Hardwood; Vinyl,1055 Grant Ave,,Winnipeg,MB,R3M 1Y5,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-33,General Grant,,,,204 284-1144,,,,W.R.E. Development Ltd.,204 889-5409,Bachelor/Studio - $715 + (250 sq/ft); One Bedroom - $891 + (650 sq/ft); Two Bedroom - $1084+ (850 sq/ft),FALSE,Heat; Hydro; Water,Enterphone System; Locked Building; On-Site Personnel,Aboveground & covered $36/month,FALSE,None,"On Grant Ave at Heath St (eastbound & westbound) routes 64, 66, 84, 86 & 95",1966,5,Air Conditioning; Balcony/Patio; Elevator; Pool; Recycling Program; Storage Locker/Room; internet access,Smart Card,Carpet; Vinyl,1281 Grant Ave,,Winnipeg,MB,R3M 1Z6,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-34,Fred Tipping Place,,,,204 945-8477,,,,Manitoba Housing,945-4663,Bachelor/Studio - 28% of gross income; One Bedroom - 28% of gross income,TRUE,Heat; Hydro; Water,Cameras; Emergency Pull Cord; Key-Card Entry; Locked Building,Aboveground $24/month,TRUE,No,On Osborne St at Morley Ave (northbound & southbound) routes 16 & 58,,19,Air Conditioning; Elevator; Exercise Facilities; Lounge Area;  Kitchen,Included In Rent,Vinyl,601 Osborne St,,Winnipeg,MB,R3L 2P9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-35,Fort Rouge Ecumenical Apartments Inc.,,,,204 284-5801,,,,Ash Management,,Bachelor/Studio - 28% of gross income (380 sq/ft) + $11/mth hydro; One Bedroom - 28% of gross income (450 sq/ft) + $12/mth hydro,FALSE,,Alarm System; Cameras; Enterphone System; Locked Building; On-Site Personnel; key fob entry,very limited surface parking available,FALSE,To grocer twice per month,"On Osborne St at Stradbrook Ave (northbound & southbound) routes 16, 18, 58, 60, 61, 63, 64, 80 & 81",1973,14,Balcony/Patio; Elevator; Exercise Facilities; Party Room; Recycling Program,Included In Rent,Vinyl,400 Stradbrook Ave,,Winnipeg,MB,R3L 2P8,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-36,Canterbury House,,http://www.globegeneralagencies.ca,,204 452-6481,,,,Globe General Agencies,204  956-2233,One Bedroom - $1066+; Two Bedroom - $1179+,FALSE,Heat; Hydro; Water,Enterphone System; Locked Building; On-Site Personnel,Surface lot $34 / month; indoor parking $44 / month,FALSE,No,,,12,Balcony/Patio; Exercise Facilities; Storage Locker/Room; Central Air;  window coverings;  in suite storage,"Smart Card, On every floor",Hardwood,270 Roslyn Rd,,Winnipeg,MB,R3L 0H3,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-37,Cambridge Gardens,,http://www.homebase.ca,,204 475-0232,,,,Crystal Properties Ltd.,101-90 Garry St,One Bedroom - $935 + (742-757 sq/ft); Two Bedroom - $1152 + (896-913 sq/ft); Three Bedroom - Call for prices,FALSE,Water,Alarm System; Cameras; Enterphone System; Locked Building; On-Site Personnel,Aboveground included in rent     (extra stall $25 outdoor),TRUE,To grocer weekly,"On Cambridge St at Ebby Ave (northbound) and at Mathers Ave (southbound) routes 64, 78, 84 & 86",1984,10,Air Conditioning; Balcony/Patio; Elevator; Recycling Program; Storage Locker/Room,Coin Operated,Carpet; Vinyl,850 Cambridge St,,Winnipeg,MB,R3M 3W8,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-38,Bethel Place,,http://www.bethelplace.ca,,204 284-3762,,,bethelplace@shaw.ca,Bethel Mennonite Care Services Inc.,,One Bedroom - $777 max (650 sq/ft); Two Bedroom - $917 max (828 sq/ft),TRUE,Cable; Heat; Hydro; Water,Alarm System; Cameras; Enterphone System; Locked Building; On-Site Security,Aboveground $42 /month    with car warmer $57 / month,FALSE,To grocer,On Stafford St at Grant Ave (northbound & southbound) routes 29 & 36,1980,5,Air Conditioning; Balcony/Patio; Elevator; Exercise Facilities; Party Room,Coin Operated,Carpet; Vinyl,445 Stafford St,,Winnipeg,MB,R3M 2V9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-39,64 Nassau St. N.,,,,204  982-2000,,,,Murdoch Management Inc.,,One Bedroom - $738   (598 sq ft); Two Bedroom - $871   (690 sq ft),FALSE,Heat; Hydro; Water,Alarm System; Cameras; Enterphone System; On-Site Personnel,$40 / month ( limited parking available),FALSE,To grocer weekly,On River Ave. Route 68,,16,Air Conditioning; Balcony/Patio; Party Room; Storage Locker/Room; Grab bars;  garden with gazebo,Included In Rent,Carpet; Vinyl,64 Nassau St,,Winnipeg,MB,R3L 2T2,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-40,285 Pembina Inc. Deaf Centre Manitoba,,,,204 284-0802,,,,,,Bachelor/Studio - 28% of gross income; One Bedroom - 28% of gross income,TRUE,Heat; Hydro; Water,Alarm System; Locked Building; Night Security; On-Site Security,Aboveground $24 / month,FALSE,To grocer once per week,"On Pembina Hwy at Osborne St (northbound) routes 37, 62, 65, 66 &70 and at Warsaw Ave (southbound) routes 60, 66 & 70",1975,6,Balcony/Patio; Elevator; Party Room; Recycling Program,Smart Card,Carpet; Linolium,285 Pembina Hwy,,Winnipeg,MB,R3L 2E1,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-41,Westwood Estates,,http://www.wredevelopment.ca,,204  832-0981,,,,W.R.E. Development Ltd.,204  889-5409,Bachelor/Studio - $765 +; One Bedroom - $853 +  with den $953 + up; Two Bedroom - $953 +,FALSE,Water,Alarm System; Cameras; Enterphone System; Key-Card Entry; Locked Building; On-Site Personnel,Aboveground $36/month,TRUE,To grocer weekly,On Westwood Dr at Byrd Ave (northbound) and at Amundsen Bay (southbound) route 82,1983,15,Air Conditioning; Balcony/Patio; Elevator; Party Room; Recycling Program,Coin Operated,Carpet; Vinyl,429 Westwood Dr,,Winnipeg,MB,R3K 2B9,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-42,Village Square,,,,204  837-8948,,,,A.S.H. Management,204  982-7973,One Bedroom - $880 - $940 (718 - 733 sq ft); Two Bedroom - $1000 - $1100  (968 sq ft),FALSE,Heat; Hydro; Water,Enterphone System,Surface lot included in rent,FALSE,To grocer 1x per week,"On Rouge Rd. route 11, 21, & 22",,1 stairs,Air Conditioning; Storage Locker/Room,Smart Card,Carpet,505 Rouge Rd,,Winnipeg,MB,R3K 1Y3,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-43,Victoria Arms,,,,204  888-8490,,,,Globe General Agencies,204  956-2233,Bachelor/Studio - $832 +; One Bedroom - $940 +; Two Bedroom - $1215 +,FALSE,Heat; Hydro; Water,Cameras; Enterphone System; Key-Card Entry; Locked Building; On-Site Personnel,1 parking stall included in rent,FALSE,To Grocer 3x / week,"On Sturgeon Rd route 83, on Portage route 11",,14,Air Conditioning; Balcony/Patio; Elevator; Party Room; Pool; Sauna; Storage Locker/Room; Indoor pool & carwash,Smart Card,Hardwood,700 Setter St,,Winnipeg,MB,R2Y 0L5,Canada,Senior Housing
Canada-MB-22-SeniorHousing-22-SeniorHousing-44,Towers of Polo Park,,,,204  786-3376,,,,W.R.E. Development,204  889-5409,Bachelor/Studio - $856 +; One Bedroom - $972 +; Two Bedroom - $1165 +; Three Bedroom - $1542 +,FALSE,Heat; Hydro; Water,,Heated indoor parking $50/month,FALSE,Call for info,"On Portage routes 11,12,20,24,26,66,67,77,78,79, $ 95",,16,Air Conditioning; Balcony/Patio; Elevator; Party Room; Pool; Storage Locker/Room; A/C incl in rent;  2 elevators;  insuite storage,Coin Operated,Carpet; & Parquet floors,666 St James St,,Winnipeg,MB,R3G 3J6,Canada,Senior Housing
