name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Rosh Pina Housing Co,,,,,,,,,,,,,,,,,,204 338-4671,,,,,,,,,,,,,,,,,Senior Housing,,,,op 133 Matheson Ave,,,Winnipeg,,,MB,,R2W 5M7,Canada,49.92849340000001,-97.1180849,Seven Oaks
Riverbend Terrace,,,,,,,,,,,,,,,,,,204 942-2122,,,http://www.broadstreet.ca,,,,,,,,,,,,,,Senior Housing,,,,2471 Main St,,,Winnipeg,,,MB,,R2V 2X6,Canada,49.9561955,-97.09543529999999,Rivergrove
River Ridge Retirement Residence (Assisted Living),,,,,,,,,,,,,,,,,,204 589-2273,,,,,,,,,,,,,,,,,Senior Housing,,,,50 Ridgecrest Ave,,,Winnipeg,,,MB,,R2P 2X5,Canada,49.9526947,-97.0931683,Rivergrove
The Villagio,,,,,,,,,,,,,,,,,,204 956-5284,,,,,,,,,,,,,,,,,Senior Housing,,,,1175 Leila Ave,,,Winnipeg,,,MB,,R2P 2Y1,Canada,49.9570138,-97.1558574,Leila North
Wellington Arms,,,,,,,,,,,,,,,,,,,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,277,,,Winnipeg,,,MB,,R3M 3V7,Canada,49.9143495,-97.134598,William Whyte
Villa Cabrini,,,,,,,,,,,,,,,,,,204 982-2000,,,http://www.lifelease.ca,,,,,,,,,,,,,,Senior Housing,,,,433 River Ave,,,Winnipeg,,,MB,,R3L 2V1,Canada,49.87990000000001,-97.1452643,River - Osborne
Times Square Patio Apartments,,,,,,,,,,,,,,,,,,204 488-8463,,,,,,,,,,,,,,,,,Senior Housing,,,,1061 1137 Taylor Ave,,,Winnipeg,,,MB,,R3M 2K4,Canada,49.85422549999999,-97.1652399,Grant Park
The Boulton (Assisted Living),,,,lsawatzky@theboulton.ca,,,,,,,,,,,,,,204 475-4500,,,,,,,,,,,,,,,,,Senior Housing,,,,100,,,Winnipeg,,,MB,,R3N 2C3,Canada,49.8086328,-97.0672027,
St John's Haven Inc.,,,,sjhaven@mymts.net,,,,,,,,,,,,,,204 284-2422,,,,,,,,,,,,,,,,,Senior Housing,,,,1015 Grant Ave,,,Winnipeg,,,MB,,R3M 1Y3,Canada,49.861327,-97.160434,Rockwood
The Canoe Club (Assisted Living),,,,,,,,,,,,,,,,,,204 231-5777,,,,,,,,,,,,,,,,,Senior Housing,,,,40 Dunkirk Dr,,,Winnipeg,,,MB,,R2M 5R4,Canada,49.8525181,-97.126176,Kingston Crescent
South Osborne Housing Co,,,,,,,,,,,,,,,,,,204 942-0991,,,http://www.sam.mb.ca,,,,,,,,,,,,,,Senior Housing,,,,op 360 Osborne St,,,Winnipeg,,,MB,,R3L 2V6,Canada,49.8718643,-97.1396005,Riverview
Shalom Gardens Housing Co,,,,,,,,,,,,,,,,,,204 452-1924,,,,,,,,,,,,,,,,,Senior Housing,,,,op Ltd 360 Wilton St,,,Winnipeg,,,MB,,R3M 3X6,Canada,49.8604212,-97.1635742,Rockwood
Riverview Towers,,,,,,,,,,,,,,,,,,204  452-0110,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,3 Donald Ave,,,Winnipeg,,,MB,,R3L 2P6,Canada,49.87980160000001,-97.1372109,River - Osborne
Riverborne Seniors Place,,,,,,,,,,,,,,,,,,204 949-2880,,,http://www.whrc.ca,,,,,,,,,,,,,,Senior Housing,,,,324 Stradbrook Ave,,,Winnipeg,,,MB,,R3L 0J6,Canada,49.8791473,-97.1401355,River - Osborne
River Crescent Gardens,,,,,,,,,,,,,,,,,,204 452-4047,,,http://www.globegeneral.ca,,,,,,,,,,,,,,Senior Housing,,,,595 River Ave,,,Winnipeg,,,MB,,R3L 0E6,Canada,49.8781293,-97.15242239999999,Roslyn
Legion Crest Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,819 Grant Ave,,,Winnipeg,,,MB,,R3M 1Y1,Canada,49.8637507,-97.1531887,Earl Grey
Korean Canadian Housing Co,,,,,,,,,,,,,,,,,,204 982-2004,,,,,,,,,,,,,,,,,Senior Housing,,,,Op 160 River Ave,,,Winnipeg,,,MB,,R3L 0A9,Canada,ERROR,ERROR,ERROR
Harewood House,,,,,,,,,,,,,,,,,,204 284-4434,,,,,,,,,,,,,,,,,Senior Housing,,,,605 River Ave,,,Winnipeg,,,MB,,R3L 0E7,Canada,49.8776418,-97.15203919999999,Roslyn
Hampton House,,,,,,,,,,,,,,,,,,204 475-5169,,,,,,,,,,,,,,,,,Senior Housing,,,,333,,,Winnipeg,,,MB,,R3M 0A1,Canada,49.91505709999999,-97.1368687,William Whyte
Grant Wilton,,,,,,,,,,,,,,,,,,204 417-9515,,,,,,,,,,,,,,,,,Senior Housing,,,,1055 Grant Ave,,,Winnipeg,,,MB,,R3M 1Y5,Canada,49.860599,-97.162607,Rockwood
General Grant,,,,,,,,,,,,,,,,,,204 284-1144,,,,,,,,,,,,,,,,,Senior Housing,,,,1281 Grant Ave,,,Winnipeg,,,MB,,R3M 1Z6,Canada,49.85693370000001,-97.17361299999999,Rockwood
Fred Tipping Place,,,,,,,,,,,,,,,,,,204 945-8477,,,,,,,,,,,,,,,,,Senior Housing,,,,601 Osborne St,,,Winnipeg,,,MB,,R3L 2P9,Canada,49.8646195,-97.1344161,Lord Roberts
Fort Rouge Ecumenical Apartments Inc.,,,,,,,,,,,,,,,,,,204 284-5801,,,,,,,,,,,,,,,,,Senior Housing,,,,400 Stradbrook Ave,,,Winnipeg,,,MB,,R3L 2P8,Canada,49.8782523,-97.1426891,River - Osborne
Canterbury House,,,,,,,,,,,,,,,,,,204 452-6481,,,http://www.globegeneralagencies.ca,,,,,,,,,,,,,,Senior Housing,,,,270 Roslyn Rd,,,Winnipeg,,,MB,,R3L 0H3,Canada,49.8791579,-97.1533675,Roslyn
Cambridge Gardens,,,,,,,,,,,,,,,,,,204 475-0232,,,http://www.homebase.ca,,,,,,,,,,,,,,Senior Housing,,,,850 Cambridge St,,,Winnipeg,,,MB,,R3M 3W8,Canada,49.85349739999999,-97.1752883,Grant Park
Bethel Place,,,,bethelplace@shaw.ca,,,,,,,,,,,,,,204 284-3762,,,http://www.bethelplace.ca,,,,,,,,,,,,,,Senior Housing,,,,445 Stafford St,,,Winnipeg,,,MB,,R3M 2V9,Canada,49.86076399999999,-97.15613599999999,Grant Park
64 Nassau St. N.,,,,,,,,,,,,,,,,,,204  982-2000,,,,,,,,,,,,,,,,,Senior Housing,,,,64 Nassau St,,,Winnipeg,,,MB,,R3L 2T2,Canada,49.87898879999999,-97.1493619,Roslyn
285 Pembina Inc. Deaf Centre Manitoba,,,,,,,,,,,,,,,,,,204 284-0802,,,,,,,,,,,,,,,,,Senior Housing,,,,285 Pembina Hwy,,,Winnipeg,,,MB,,R3L 2E1,Canada,49.87238499999999,-97.1443032,Earl Grey
Westwood Estates,,,,,,,,,,,,,,,,,,204  832-0981,,,http://www.wredevelopment.ca,,,,,,,,,,,,,,Senior Housing,,,,429 Westwood Dr,,,Winnipeg,,,MB,,R3K 2B9,Canada,49.8791252,-97.2929449,Kirkfield
Village Square,,,,,,,,,,,,,,,,,,204  837-8948,,,,,,,,,,,,,,,,,Senior Housing,,,,505 Rouge Rd,,,Winnipeg,,,MB,,R3K 1Y3,Canada,49.8810398,-97.298248,Westwood
Victoria Arms,,,,,,,,,,,,,,,,,,204  888-8490,,,,,,,,,,,,,,,,,Senior Housing,,,,700 Setter St,,,Winnipeg,,,MB,,R2Y 0L5,Canada,49.8834731,-97.2814252,Heritage Park
Towers of Polo Park,,,,,,,,,,,,,,,,,,204  786-3376,,,,,,,,,,,,,,,,,Senior Housing,,,,666 St James St,,,Winnipeg,,,MB,,R3G 3J6,Canada,49.8828703,-97.2020647,Polo Park
The Westhaven (Assisted Living),,,,william.dubreuil@atriaretirement.ca,,,,,,,,,,,,,,204  831-6742,,,http://www.atriaretirement.ca,,,,,,,,,,,,,,Senior Housing,,,,3033 Portage Ave,,,Winnipeg,,,MB,,R3K 2E3,Canada,49.8809836,-97.2810466,Sturgeon Creek
The New Mount Royal Apts,,,,,,,,,,,,,,,,,,204  918-1200,,,,,,,,,,,,,,,,,Senior Housing,,,,2265 Portage Ave,,,Winnipeg,,,MB,,R3J 0M1,Canada,49.8764054,-97.2444197,Silver Heights
Sturgeon Park House,,,,,,,,,,,,,,,,,,204  832-6776,,,,,,,,,,,,,,,,,Senior Housing,,,,3063 Portage Ave,,,Winnipeg,,,MB,,R3K 1Z2,Canada,49.88126519999999,-97.28168679999999,Sturgeon Creek
Sturgeon Creek 2 Retirement Residence (Assisted Living),,,,,,,,,,,,,,,,,,,,,http://www.allseniorscare.com,,,,,,,,,,,,,,Senior Housing,,,,707 Setter St,,,Winnipeg,,,MB,,R2Y 0A4,Canada,49.8833043,-97.2796675,Heritage Park
Sturgeon Creek 1 Retirement Residence (Assisted Living),,,,,,,,,,,,,,,,,,,,,http://www.allseniorscare.com,,,,,,,,,,,,,,Senior Housing,,,,10 Hallonquist Dr,,,Winnipeg,,,MB,,R2Y 2M5,Canada,49.882291,-97.27968,Heritage Park
St. James Kiwanis The Terrace ( assisted living),,,,stjadmin@shaw.ca,,,,,,,,,,,,,,204 837-22305,,,http://www.stjameskiwanisvillage.ca,,,,,,,,,,,,,,Senior Housing,,,,90,,,Winnipeg,,,MB,,R3J 2Z4,Canada,49.90024680000001,-97.2072407,
St. James Kiwanis Courts East,,,,stjadmin@shaw.ca,,,,,,,,,,,,,,204 837-2305,,,http://www.stjameskiwanisvillage.ca,,,,,,,,,,,,,,Senior Housing,,,,75,,,Winnipeg,,,MB,,R3J 1Y3,Canada,49.7776361,-97.15676099999999,
St James Legion Lodge,,,,,,,,,,,,,,,,,,,,,http://www.sam.mb.ca,,,,,,,,,,,,,,Senior Housing,,,,2730 Ness Ave,,,Winnipeg,,,MB,,R3J 1A7,Canada,49.8866515,-97.27077179999999,Booth
St James Kiwanis Villa,,,,stjadmin@shaw.ca,,,,,,,,,,,,,,204  837-2305,,,http://www.stjameskiwanisvillage.ca,,,,,,,,,,,,,,Senior Housing,,,,155,,,Winnipeg,,,MB,,R3J 0H5,Canada,49.8262264,-97.1870666,
St James Kiwanis Manor,,,,stjadmin@shaw.ca,,,,,,,,,,,,,,204  837-2305,,,http://www.stjameskiwanisvillage.ca,,,,,,,,,,,,,,Senior Housing,,,,135,,,Winnipeg,,,MB,,R3J 4A2,Canada,49.8559099,-97.07402429999999,
St James Kiwanis Courts West,,,,stjadmin@shaw.ca,,,,,,,,,,,,,,204  837-2305,,,http://www.stjameskiwanisvillage.ca,,,,,,,,,,,,,,Senior Housing,,,,101,,,Winnipeg,,,MB,,R3J 2Z3,Canada,49.9665804,-97.0614586,
St James Kiwanis Lodge,,,,stjadmin@shaw.ca,,,,,,,,,,,,,,204  837-2305,,,http://www.stjameskiwanisvillage.ca,,,,,,,,,,,,,,Senior Housing,,,,100,,,Winnipeg,,,MB,,R3J 2Z4,Canada,49.8086328,-97.0672027,
Pinewood Place,,,,,,,,,,,,,,,,,,204  832-4159,,,http://www.globegeneral.ca,,,,,,,,,,,,,,Senior Housing,,,,2510 Portage Ave,,,Winnipeg,,,MB,,R3J 0N9,Canada,49.8746203,-97.2578408,Birchwood
Westlands Housing Co,,,,,,,,,,,,,,,,,,204 982-2000,,,http://www.lifelease.ca,,,,,,,,,,,,,,Senior Housing,,,,op 50 Oddy St,,,Winnipeg,,,MB,,R2R 0L2,Canada,ERROR,ERROR,ERROR
Villa Heidelberg Inc.,,,,villaheidelberg@shaw.ca,,,,,,,,,,,,,,204 942-7633,,,,,,,,,,,,,,,,,Senior Housing,,,,33 Edmonton St,,,Winnipeg,,,MB,,R3C 1P8,Canada,49.88441280000001,-97.142516,Downtown
Park Towers,,,,,,,,,,,,,,,,,,204  896-0216,,,,,,,,,,,,,,,,,Senior Housing,,,,2300 Portage Ave,,,Winnipeg,,,MB,,R3J 0M4,Canada,49.8757192,-97.2468021,Birchwood
Metropolitan Kiwanis Courts (Assisted Living),,,,shunter@kiwaniscourts.ca,,,,,,,,,,,,,,204  885-7700,,,,,,,,,,,,,,,,,Senior Housing,,,,2300 Ness Ave,,,Winnipeg,,,MB,,R3J 1A2,Canada,49.8851229,-97.2586123,Silver Heights
Mandeville Towers,,,,info@globegeneral.ca,,,,,,,,,,,,,,204 889-9158,,,,,,,,,,,,,,,,,Senior Housing,,,,2075 Portage Ave,,,Winnipeg,,,MB,,R3J 0L1,Canada,49.8774962,-97.23258829999999,Deer Lodge
Hillsboro House,,,,,,,,,,,,,,,,,,204  786-3301,,,,,,,,,,,,,,,,,Senior Housing,,,,616 Strathcona St,,,Winnipeg,,,MB,,R3G 3E8,Canada,49.88383,-97.19283899999999,Minto
Hamilton House,,,,,,,,,,,,,,,,,,204  942-0991,,,,,,,,,,,,,,,,,Senior Housing,,,,475 Hamilton Ave,,,Winnipeg,,,MB,,R2Y 2G5,Canada,49.89179970000001,-97.3140999,Crestview
David Estates,,,,,,,,,,,,,,,,,,204  837-5440,,,http://www.wredevelopment.ca,,,,,,,,,,,,,,Senior Housing,,,,3563/3567 Portage Ave,,,Winnipeg,,,MB,,R3K 2E1,Canada,49.88289149999999,-97.3081351,Crestview
Carillon Towers,,,,,,,,,,,,,,,,,,204 898-6973,,,http://www.towersrealty.ca,,,,,,,,,,,,,,Senior Housing,,,,1790 Portage Ave,,,Winnipeg,,,MB,,R3J 0E9,Canada,49.87851149999999,-97.21135939999999,Bruce Park
Birchwood Terrace,,,,,,,,,,,,,,,,,,204  837-6911,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,2440 Portage Ave,,,Winnipeg,,,MB,,R3J 0N5,Canada,49.8748769,-97.2549157,Birchwood
Courts of St. James,,,,,,,,,,,,,,,,,,888-3747 xt 305,,,,,,,,,,,,,,,,,Senior Housing,,,,2727 Portage Ave,,,Winnipeg,,,MB,,R3J 0R2,Canada,49.8786535,-97.2727714,Booth
Billingsley Manor,,,,,,,,,,,,,,,,,,204  889-7012,,,,,,,,,,,,,,,,,Senior Housing,,,,2515 Portage Ave,,,Winnipeg,,,MB,,R3J 0P2,Canada,49.8753512,-97.2581661,Silver Heights
Quail Ridge Estates,,,,,,,,,,,,,,,,,,204  885-0769,,,,,,,,,,,,,,,,,Senior Housing,,,,210 Quail Ridge Rd,,,Winnipeg,,,MB,,R2Y 2N1,Canada,49.90029999999999,-97.279665,Heritage Park
Ashbury Place,,,,info@marwest.ca,,,,,,,,,,,,,,204  832-5847,,,,,,,,,,,,,,,,,Senior Housing,,,,299 Queen St,,,Winnipeg,,,MB,,R3J 3V5,Canada,49.8827228,-97.2069772,King Edward
529 Country Club Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,529 Country Club Blvd,,,Winnipeg,,,MB,,R3K 1Z8,Canada,49.8792352,-97.282364,Kirkfield
455 Westwood Drive,,,,westwood455@hotmail.com,,,,,,,,,,,,,,204 889-6073,,,,,,,,,,,,,,,,,Senior Housing,,,,455 Westwood Drive,,,Winnipeg,,,MB,,R3K 1W6,Canada,49.87994080000001,-97.29282959999999,Kirkfield
2600/2610 Portage Ave,,,,,,,,,,,,,,,,,,204 832-3693,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,2600/2610 Portage Ave,,,Winnipeg,,,MB,,R3J 3R2,Canada,49.876428,-97.26769050000001,Birchwood
22 Strauss Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,22 Struass Dr,,,Winnipeg,,,MB,,R3J 3V2,Canada,49.8877274,-97.26277239999999,Booth
Willowlake Gardens,,,,propertymgmt@ladcocompany.com,,,,,,,,,,,,,,204 253-9753,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,321,,,Winnipeg,,,MB,,R2J 3E6,Canada,49.9148875,-97.136342,William Whyte
Wickham Park,,,,wickhamprk@ladcocompay.com,,,,,,,,,,,,,,204 254-7143,,,http://www.rentcanada.com,,,,,,,,,,,,,,Senior Housing,,,,100 Wickham Rd,,,Winnipeg,,,MB,,R2J 2L4,Canada,49.8731769,-97.0832872,Maginot
Villa Aulneau (Assisted Living),,,,glambert@despinscharities.ca,,,,,,,,,,,,,,204 594-6300,,,http://www.villaaulneau.ca,,,,,,,,,,,,,,Senior Housing,,,,601 Aulneau Street,,,Winnipeg,,,MB,,R2H 2V5,Canada,49.8903439,-97.1203657,Central St. Boniface
Residence Despins (Assisted Living),,,,afoidart@despinscharities.ca,,,,,,,,,,,,,,204 480-2900,,,http://www.resdespins.ca,,,,,,,,,,,,,,Senior Housing,,,,151,,,Winnipeg,,,MB,,R2H 0L7,Canada,49.9131513,-97.1304717,North Point Douglas
Place St. Boniface,,,,,,,,,,,,,,,,,,204 231-1050,,,,,,,,,,,,,,,,,Senior Housing,,,,325,,,Winnipeg,,,MB,,R2H 1C3,Canada,49.91499400000001,-97.136488,William Whyte
Place Rennes,,,,,,,,,,,,,,,,,,204 235-0568,,,,,,,,,,,,,,,,,Senior Housing,,,,344,,,Winnipeg,,,MB,,R2H 1C5,Canada,49.914823,-97.1373708,William Whyte
Manoir de la Cathedrale Manor (Assisted Living),,,,rhonda@cathedralemanor.ca,,,,,,,,,,,,,,204 231-2277,,,http://www.calebgroup.ca,,,,,,,,,,,,,,Senior Housing,,,,321,,,Winnipeg,,,MB,,R2H 0A3,Canada,49.9148875,-97.136342,William Whyte
Maison Dorchester,,,,,,,,,,,,,,,,,,204 990-1253,,,,,,,,,,,,,,,,,Senior Housing,,,,300 Marion St,,,Winnipeg,,,MB,,R2H 0T9,Canada,49.881634,-97.11383020000001,Norwood East
Legion Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,270 Kenny St,,,Winnipeg,,,MB,,R2H 2E5,Canada,49.88032399999999,-97.1199,Norwood East
Laval Apts,,,,,,,,,,,,,,,,,,204 898-7264,,,,,,,,,,,,,,,,,Senior Housing,,,,932 Archibald St,,,Winnipeg,,,MB,,R2J 0Z1,Canada,49.8703991,-97.09228949999999,Windsor Park
Holy Cross Manor,,,,,,,,,,,,,,,,,,204 237 -6177,,,,,,,,,,,,,,,,,Senior Housing,,,,266,,,Winnipeg,,,MB,,R2H 1B7,Canada,49.9138512,-97.13440840000001,William Whyte
Villa Fel Rodriguez Housing Co,,,,,,,,,,,,,,,,,,204  982-2000,,,,,,,,,,,,,,,,,Senior Housing,,,,op 442 William Ave,,,Winnipeg,,,MB,,R3A 0J6,Canada,49.9014827,-97.1476398,West Alexander
Sunset House,,,,,,,,,,,,,,,,,,204 772-0508,,,,,,,,,,,,,,,,,Senior Housing,,,,888 Arlington St,,,Winnipeg,,,MB,,R3E 2E4,Canada,49.9040124,-97.1683959,Daniel Mcintyre
St Andrews Place,,,,,,,,,,,,,,,,,,204 942-0991,,,http://www.sam.mb.ca,,,,,,,,,,,,,,Senior Housing,,,,425 Elgin Ave,,,Winnipeg,,,MB,,R3A 1P2,Canada,49.9023055,-97.1453952,Centennial
Sek On Toi,,,,,,,,,,,,,,,,,,204 - 947-1705,,,,,,,,,,,,,,,,,Senior Housing,,,,289 Pacific Ave,,,Winnipeg,,,MB,,R3B 3B7,Canada,49.9020773,-97.1392126,Downtown
Roney Plaza,,,,,,,,,,,,,,,,,,204 944-8776,,,,,,,,,,,,,,,,,Senior Housing,,,,10 Edmonton St,,,Winnipeg,,,MB,,R3C 1P7,Canada,49.88384199999999,-97.143008,Downtown
Rideau Towers,,,,,,,,,,,,,,,,,,204 947-9732,,,http://www.crystalproperties.ca,,,,,,,,,,,,,,Senior Housing,,,,90 Garry St,,,Winnipeg,,,MB,,R3C 4J4,Canada,49.887417,-97.13760909999999,Downtown
Place Promenade,,,,,,,,,,,,,,,,,,204 988-6880,,,,,,,,,,,,,,,,,Senior Housing,,,,"400, 410 420 Webb Pl",,,Winnipeg,,,MB,,R3B 3J3,Canada,49.89309000000001,-97.14906119999999,Downtown
Pamela Apts,,,,,,,,,,,,,,,,,,204 416-5552,,,,,,,,,,,,,,,,,Senior Housing,,,,761 Wolseley Ave,,,Winnipeg,,,MB,,R3G 1C5,Canada,49.88057500000001,-97.163074,Wolseley
McClure Place Inc.,,,,,,,,,,,,,,,,,,,,,http://www.sam.mb.ca,,,,,,,,,,,,,,Senior Housing,,,,533 Greenwood Pl,,,Winnipeg,,,MB,,R3G 3M1,Canada,49.883138,-97.179457,Wolseley
Lions Place,,,,,,,,,,,,,,,,,,204 784-1273,,,http://www.lhc.ca,,,,,,,,,,,,,,Senior Housing,,,,610 Portage Ave,,,Winnipeg,,,MB,,R3C 0G5,Canada,49.8885219,-97.15695079999999,West Broadway
Lions Manor,,,,,,,,,,,,,,,,,,204 784-1239,,,http://www.lhc.ca,,,,,,,,,,,,,,Senior Housing,,,,320 Sherbrook St,,,Winnipeg,,,MB,,R3B 2W6,Canada,49.88897060000001,-97.1596464,St. Matthews
Le Chateau York,,,,leasing@lechateauyork.com,,,,,,,,,,,,,,204 942-7784,,,,,,,,,,,,,,,,,Senior Housing,,,,134 Smith St,,,Winnipeg,,,MB,,R3C 3W2,Canada,49.889346,-97.14009,Downtown
Lar Santa Isabel,,,,,,,,,,,,,,,,,,204 982-2000,,,,,,,,,,,,,,,,,Senior Housing,,,,857 Wall St,,,Winnipeg,,,MB,,R3G 2T9,Canada,49.89096039999999,-97.18208410000001,Minto
Madison Memorial Lodge,,,,,,,,,,,,,,,,,,204 956-4344,,,,,,,,,,,,,,,,,Senior Housing,,,,210 Evanson St,,,Winnipeg,,,MB,,R3G 3K9,Canada,49.8836193,-97.17081879999999,Wolseley
Kirby Terrace,,,,,,,,,,,,,,,,,,204 942-2554,,,,,,,,,,,,,,,,,Senior Housing,,,,393 Kennedy St,,,Winnipeg,,,MB,,R3B 3H2,Canada,49.895494,-97.149948,Downtown
Keystone Senior Citizens Housing,,,,,,,,,,,,,,,,,,204 489-9510,,,,,,,,,,,,,,,,,Senior Housing,,,,224 Colony St,,,Winnipeg,,,MB,,R3C 3X9,Canada,49.8874518,-97.1514548,West Broadway
Kelly House,,,,,,,,,,,,,,,,,,204 956-1221,,,,,,,,,,,,,,,,,Senior Housing,,,,15 Carlton St,,,Winnipeg,,,MB,,R3C 1N8,Canada,49.8847287,-97.1412339,Downtown
Fort Garry Place I,,,,55garry@edisonproperties.ca,,,,,,,,,,,,,,204 940-3478,,,http://www.edisonpropertis.ca,,,,,,,,,,,,,,Senior Housing,,,,55 Garry St,,,Winnipeg,,,MB,,R3C 4H4,Canada,49.8865762,-97.1364334,Downtown
Fort Garry Place III,,,,20fort@edisonproperties.ca,,,,,,,,,,,,,,240  940-3475,,,http://www.edisonproperties.ca,,,,,,,,,,,,,,Senior Housing,,,,20 Fort St,,,Winnipeg,,,MB,,R3C 4L3,Canada,49.8869254,-97.1356759,Downtown
Ellice Place (Assisted Living),,,,Ellice.SHAL@gov.mb.ca,,,,,,,,,,,,,,204-948-2328,,,,,,,,,,,,,,,,,Senior Housing,,,,555 Ellice Ave,,,Winnipeg,,,MB,,R3B 3C4,Canada,49.89299889999999,-97.1564468,Spence
Eastry House,,,,,,,,,,,,,,,,,,204 956-5548,,,,,,,,,,,,,,,,,Senior Housing,,,,61 Edmonton St,,,Winnipeg,,,MB,,R3C 1P9,Canada,49.885305,-97.14296499999999,Downtown
