row_id,Facility Name,Address1,Address2,City,Zip,State,Phone,Website,Country,facility_type
USA-CT-75-CT-AL-output-42,The Gardens,8 Glen Hill Road,,Danbury,6811,CT,(203) 748-0506,http://www.thegardensct.com,US,Assisted Living
USA-CT-75-CT-AL-output-43,Geer Village,99 South Canaan Road,,Canaan,6018,CT,(860) 824-8133,http://www.geercares.org,US,Assisted Living
USA-CT-75-CT-AL-output-44,Greens at Cannondale,435 Danbury Road,,Wilton,6897,CT,(203) 761-1191,http://www.thegreensatcannondale.com,US,Assisted Living
USA-CT-75-CT-AL-output-45,Greens at Greenwich,1155 King Street,,Greenwich,6831,CT,(203) 531-5500,http://www.thegreensatgreenwich.com,US,Assisted Living
USA-CT-75-CT-AL-output-46,The Hearth at Gardenside,173 Alps Road,,Branford,6405,CT,(203) 483 7260,http://gardenside.thehearth.net/,US,Assisted Living
USA-CT-75-CT-AL-output-47,Health at Home/Chester Village West,317 Main Street,,Chester,6412,CT,(860) 526 6800,https://www.chestervillagewestlcs.com/,US,Assisted Living
USA-CT-75-CT-AL-output-48,The Hearth at Glastonbury,281 Western Blvd.,,Glastonbury,6033,CT,(860) 430 9938,http://glastonbury.thehearth.net/,US,Assisted Living
USA-CT-75-CT-AL-output-49,The Hearth at Southbury,655 Main Street South,,Southbury,6488,CT,203 267 7100,http://southbury.thehearth.net/,US,Assisted Living
USA-CT-75-CT-AL-output-50,The Hearth at Tuxis Pond,100 Bradley Road,,Madison,6443,CT,203 245 3311,http://tuxispond.thehearth.net/,US,Assisted Living
USA-CT-75-CT-AL-output-51,Herbert T. Clark House,43 Canione Road,,Glastonbury,6033,CT,(860) 652 7623,http://www.glastha.org,US,Assisted Living
USA-CT-75-CT-AL-output-52,Hoffman SummerWood Community,160 Simsbury Road,,West Hartford,6117,CT,(860) 523-3808,http://www.hoffmansummerwood.org,US,Assisted Living
USA-CT-75-CT-AL-output-53,Immanuel House,15 Woodland Street,,Hartford,6105,CT,(860) 525-4228,,US,Assisted Living
USA-CT-75-CT-AL-output-54,"Interim Healthcare of Hartford, Inc.",231 Farmington Avenue,,Farmington,6032,CT,(860) 677-0005,,US,Assisted Living
USA-CT-75-CT-AL-output-55,Jewish Senior Services  – Roz & Les Goldstein Assisted Living (,175 Jefferson Street,,Fairfield,,CT,203) 396-1094,,US,Assisted Living
USA-CT-75-CT-AL-output-56,Juniper Hill Village,1 Silo Circle,,Storrs,6268,CT,(860) 429-9933,,US,Assisted Living
USA-CT-75-CT-AL-output-57,Kensington Green of Southbury,655 Main Street,,South Southbury,6488,CT,,http://www.kensingtongreen.net,US,Assisted Living
USA-CT-75-CT-AL-output-58,Lockwood Lodge at Ashlar of Newtown,Toddy Hill Road,,Newtown,6470,CT,(203) 364-3179,,US,Assisted Living
USA-CT-75-CT-AL-output-59,"Luther Ridge at Middletown, Inc",628 Congdon Street West,,Middletown,6457,CT,(860) 347-7144 Fax: (860) 347-3942,http://www.lutherridge.org,US,Assisted Living
USA-CT-75-CT-AL-output-60,Magnolia Management/Arbors Assisted Living,North Main Street,Suite 204,East Longmeadow,1028,MA,(413) 525 4585,http://www.arborsassistedliving.com,US,Assisted Living
USA-CT-75-CT-AL-output-61,Maple Woods at Hamden,35 Hamden Hills Drive,,Hamden,6518,CT,(203) 248-1864,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-62,Maplewood at Danbury,22 Hospital Avenue,,Danbury,6810,CT,(203) 744-8444,http://www.maplewoodseniorliving.com,US,Assisted Living
USA-CT-75-CT-AL-output-63,Maplewood at Newtown,166 Mount Pleasant Road,,Newtown,6470,CT,(203) 426-8118,http://www.maplewoodseniorliving.com,US,Assisted Living
USA-CT-75-CT-AL-output-64,Maplewood at Orange,245 Indian River Road,,Orange,6477,CT,(203) 795 3117,http://www.maplewoodseniorliving.com,US,Assisted Living
USA-CT-75-CT-AL-output-65,Masonicare at Mystic,23 Clara Drive,,Mystic,6355,CT,(860) 415 2500,http://www.masonicare-mystic.org/,US,Assisted Living
USA-CT-75-CT-AL-output-66,The McAuley,207 Steele Road,,West Hartford,6117,CT,(860) 920-6300,,US,Assisted Living
USA-CT-75-CT-AL-output-67,McLean Visiting Nurse & Community Care,75 Great Pond Road,,Simsbury,6070,CT,(860) 658-3786,http://www.McLeanCare.org,US,Assisted Living
USA-CT-75-CT-AL-output-68,The Mews,1/2 Bolling Place,,Greenwich,6830,CT,(203) 869-9448,http://www.themewsingreenwich.org,US,Assisted Living
USA-CT-75-CT-AL-output-69,Middlebrook Farms at Trumbull,2750 Reservoir Avenue,,Trumbull,6611,CT,(203) 268-2400,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-70,Middlewoods of Farmington,509 Middle Road,,Farmington,6032,CT,(860) 284-5700,www.MiddlewoodsofFarmington.com,US,Assisted Living
USA-CT-75-CT-AL-output-71,Middlewoods of Newington,2125 Main Street,,Newington,6111,CT,(860) 667-1336,http://www.MiddlewoodsofNewington.com,US,Assisted Living
USA-CT-75-CT-AL-output-72,Meadow Ridge,100 Redding Road,,Redding,6896,CT,(203) 544-1000,,US,Assisted Living
USA-CT-75-CT-AL-output-73,Mohegan Tribe Retirement Community,100 Fort Hill Drive,,Uncasville,6382,CT,(860) 848-3381,,US,Assisted Living
USA-CT-75-CT-AL-output-74,Mulberry Gardens,58 Mulberry Street,,Plantsville,6479,CT,(860) 276-1020,,US,Assisted Living
USA-CT-75-CT-AL-output-75,One MacDonough Place,1 MacDonough Place,,Middletown,6457,CT,(860) 358-5800,http://middlesexhospital.org/our-services/hospital-services/assisted-living,US,Assisted Living
USA-CT-75-CT-AL-output-76,Orchards at Southington,34 Hobart Street,,Southington,6489,CT,(860) 628-5656,http://www.southingtonorchards.org,US,Assisted Living
USA-CT-75-CT-AL-output-77,Pond Ridge at Ashlar Village,Cheshire Road,,Wallingford,6492,CT,(203) 679-6401,,US,Assisted Living
USA-CT-75-CT-AL-output-78,Ridgefield Crossings,640 Danbury Road (Route 7),,Ridgefield,6877,CT,(203) 431-2255,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-79,River Ridge at Avon,101 Bickford Extension,,Avon,6001,CT,(860) 677-2155,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-80,The Saybrook at Haddam,1556 Saybrook Road,,Haddam,6438,CT,(860) 345-3779,http://www.thesaybrookathaddam.com,US,Assisted Living
USA-CT-75-CT-AL-output-81,"Shady Oaks Assisted Living, LLC",344 Stevens Street,,Bristol,6010,CT,(860) 583-1526,http://www.shadyoaksassistedliving.com,US,Assisted Living
USA-CT-75-CT-AL-output-82,The Shoreline at Clinton,91 East Main Street,,Clinton,6413,CT,(860) 669-9300,,US,Assisted Living
USA-CT-75-CT-AL-output-83,Spring Meadows of Trumbull,6949 Main Street,,Trumbull,6611,CT,(203) 261-0006,http://www.springmeadowstrumbull.com,US,Assisted Living
USA-CT-75-CT-AL-output-84,Stonebrook Village at Windsor Locks,550 Old County Road,,Windsor Locks,6096,CT,860 690 7660,http://www.stonebrookvillage.com,US,Assisted Living
USA-CT-75-CT-AL-output-85,StoneRidge,186 Jerry Brown Road,,Windsor Locks,6096,CT,860 536 9700,,US,Assisted Living
USA-CT-75-CT-AL-output-86,Suffield by the River,7 Canal Road,,Suffield,6078,CT,(860) 668-6672,http://www.suffieldbytheriver.com,US,Assisted Living
USA-CT-75-CT-AL-output-87,Tower One/Tower East,18 Tower Lane,,New Haven,6519,CT,(203) 772-1816,http://www.towerone.org,US,Assisted Living
USA-CT-75-CT-AL-output-88,United Methodist Homes,580 Long Hill Avenue,,Shelton,6484,CT,(203) 225-5000,http://www.umh.org,US,Assisted Living
USA-CT-75-CT-AL-output-89,Utopia Assisted Living Services,665 Foxon Road,,East Haven,6512,CT,(203) 466-3050,,US,Assisted Living
USA-CT-75-CT-AL-output-90,Village at Brookfield Common,246A Federal Road,,Brookfield,6804,CT,(203) 775-8696,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-91,Village at Buckland Court,432 Buckland Road,,South Windsor,6074,CT,(860) 644-7366,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-92,Village at East Farms,180 Scott Road,,Waterbury,6705,CT,(203) 757-7660,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-93,Village at Kensington Place,511 Kensington Avenue,,Meriden,6451,CT,(203) 235-0181,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-94,Village at Mariner’s Point,111 South Shore Drive,,East Haven,6512,CT,(203) 467-0067,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-95,Village at South Farms,645 Saybrook Road,,Middetown,6457,CT,(860) 344-8788,http://www.benchmarkquality.com,US,Assisted Living
USA-CT-75-CT-AL-output-96,Village at Waveny Care Center ,3 Farm Road,,New Canaan,6840,CT,203 594 5302,http://www.waveny.org,US,Assisted Living
USA-CT-75-CT-AL-output-97,The Watermark at 3030 Park,3030 Park Avenue,,Bridgeport,6604,CT,(203) 373-6161,,US,Assisted Living
USA-CT-75-CT-AL-output-98,Whitney Center,200 Leeder Hill Drive,,Hamden,6517,CT,(203) 281-6745,,US,Assisted Living
