row_id,Facility Name,Address,City,Postal Code,Phone,Province,Country,Company Name / Name of operators,Number of rental units,Number of rental units in private residence for seniors,Type of residence,Year of opening,Date of possession,Updated on,Member of an association,Certification Date of issue,Offered services,Complete residence information,facility_type
Canada-QC-18-AssistedLiving(Assoc)-output-21,Villa Mille Soleils inc. (1056),"189, rue Principale",Saint-Boniface,G0X 2L0,819-535-3522,QC,Canada,Villa Mille Soleils inc.,43,43,Résidence à but lucratif,1995,1/1/1995,4/24/2017,Aucune,5/1/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1056,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-22,Résidence LeCaxton (1058),"22, rue Saint-Denis",Saint-Élie-de-Caxton,G0X 2N0,819-221-4313,QC,Canada,Lalime France,23,23,Résidence à but lucratif,2001,7/15/2013,6/2/2017,RQRA- Regroupement québecois des résidences pour aînés,3/18/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1058,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-23,La Maison la Petite Plaisance (1074),"9015, boulevard des Forges",Trois-Rivières,G8Y 6R4,819-378-1770,QC,Canada,Girard Françoise,20,5,Organisme à but non lucratif (OBNL ou OSBL),1986,5/1/1987,5/11/2017,Aucune,2/7/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1074,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-24,Résidence Ste-Julie (1079),"904, rue Sainte-Julie",Trois-Rivières,G9A 1Y2,819-371-2346,QC,Canada,Beaudry Denis,27,27,Résidence à but lucratif,1985,1/5/1985,5/19/2017,RQRA- Regroupement québecois des résidences pour aînés,4/10/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1079,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-25,Le Carrefour de la Paix de la Mauricie inc. (1081),"200, rue Lavérendrye",Trois-Rivières,G9A 5W3,819-373-8996,QC,Canada,Le Carrefour de la Paix de la Mauricie inc.,35,35,Résidence à but lucratif,1984,2/18/2002,4/11/2017,RQRA- Regroupement québecois des résidences pour aînés,3/19/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1081,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-26,Villa Champêtre (1082),"480, chemin de la Pointe-du-Lac",Trois-Rivières,G9B 7M4,819-377-0941,QC,Canada,9322-8039 Québec inc.,39,39,Résidence à but lucratif,1994,8/1/2015,5/11/2017,Aucune,2/7/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1082,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-27,Résidence La Belle Époque (1083),"600, rue Brunet",Trois-Rivières,G9A 5W2,819-374-7010,QC,Canada,9277-6434 Québec inc.,37,37,Résidence à but lucratif,1989,4/1/1989,4/24/2017,Aucune,2/6/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1083,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-28,Résidence le Jardin (SHCCQ) (1084),"897, rue Saint-Pierre",Trois-Rivières,G9A 4W5,819-374-0825,QC,Canada,Société d'habitation communautaire du Centre du Québec,55,53,Organisme à but non lucratif (OBNL ou OSBL),1995,6/1/1995,4/24/2017,RQOH-Réseau québécois des osbl díhabitation,5/15/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1084,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-29,Résidence Albert Guimond (1085),"664, rue Bonaventure",Trois-Rivières,G9A 6L2,819-371-2346,QC,Canada,Gestion R.A. Guimond inc.,72,72,Résidence à but lucratif,1995,4/1/1995,4/24/2017,RQRA- Regroupement québecois des résidences pour aînés,1/16/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1085,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-30,Résidence Richelieu (1086),"800, côte Richelieu",Trois-Rivières,G9A 6N3,819-376-2114,QC,Canada,9071-6069 Québec inc.,237,237,Résidence à but lucratif,1999,1/10/1999,4/24/2017,RQRA- Regroupement québecois des résidences pour aînés,2/12/2017,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1086,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-31,Résidence de Sienne (2013) inc. (1087),"5110, rue Audet",Trois-Rivières,G9A 6H2,819-379-5046,QC,Canada,Résidence de Sienne (2013) inc.,56,56,Résidence à but lucratif,1991,7/1/1991,4/21/2017,RQRA- Regroupement québecois des résidences pour aînés,11/26/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1087,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-32,Résidence Valeo Jean XXIII (1088),"2850, rue Brodeur",Trois-Rivières,G8Z 4T8,819-371-1413,QC,Canada,Groupe Santé Valeo inc.,103,103,Résidence à but lucratif,1992,8/18/2008,6/29/2017,RQRA- Regroupement québecois des résidences pour aînés,3/18/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1088,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-33,Les Jardins Laviolette (1089),"2975, boulevard Laviolette",Trois-Rivières,G8Z 1E8,819-379-5960,QC,Canada,CSH-HCN Lessee (Laviolette) LP,308,308,Résidence à but lucratif,1990,5/1/2012,4/24/2017,RQRA- Regroupement québecois des résidences pour aînés,2/28/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1089,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-34,La Sittelle sur Saint-Laurent inc. (1090),"1700, rue Notre-Dame Centre",Trois-Rivières,G9A 6G5,819-376-0352,QC,Canada,La Sittelle sur Saint-Laurent inc.,99,99,Résidence à but lucratif,1991,12/1/2015,12/12/2016,RQRA- Regroupement québecois des résidences pour aînés,6/20/2016,Repas; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1090,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-35,Les Marronniers Trois-Rivières (1091),"1350, rue Aubuchon",Trois-Rivières,G8Y 6A8,819-379-1064,QC,Canada,Société en commandite Jacques de Labadie,136,128,Résidence à but lucratif,1986,1/8/1986,5/24/2016,RQRA- Regroupement québecois des résidences pour aînés,2/6/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1091,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-36,La Villa Jardin Fleuri (1092),"7331, rue Notre-Dame Ouest",Trois-Rivières,G9B 1L7,819-377-0277,QC,Canada,9312-6621 Québec inc.,80,80,Résidence à but lucratif,1993,3/1/2011,9/7/2017,RQRA- Regroupement québecois des résidences pour aînés,2/28/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1092,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-37,Résidence du Couvent (1097),"131, rue Notre-Dame Ouest",Victoriaville,G6P 1R8,819-795-3244,QC,Canada,9075-6446 Québec inc.,98,98,Résidence à but lucratif,1997,11/1/1997,4/13/2017,Aucune,4/29/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1097,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-38,Manoir Victoria inc. (1101),"19, rue Notre-Dame Ouest",Victoriaville,G6P 1R4,819-752-4576,QC,Canada,Manoir Victoria inc.,52,52,Résidence à but lucratif,1981,1/1/1981,4/13/2017,Aucune,4/10/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1101,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-39,"Chartwell Notre-Dame Victoriaville, résidence pour retraités (1110)","222, rue Notre-Dame Ouest",Victoriaville,G6P 1R9,819-758-3131,QC,Canada,CSH-HCN Lessee (Notre-Dame) LP,213,213,Résidence à but lucratif,1989,5/1/2012,4/26/2016,RQRA- Regroupement québecois des résidences pour aînés,4/11/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1110,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-40,Résidence des Bois-Francs (1112),"35, rue Perreault",Victoriaville,G6P 5C9,819-758-9594,QC,Canada,Gestion PFM inc.,49,49,Résidence à but lucratif,1990,7/1/1990,4/11/2017,Aucune,12/10/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1112,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-41,Le Centre L'Assomption (St-Léonard-d'Aston) (1115),"585, rue de la Station",Saint-Léonard-d'Aston,J0C 1M0,819-399-2973,QC,Canada,Le Centre L'Assomption (St-Léonard-d'Aston),41,41,Organisme à but non lucratif (OBNL ou OSBL),1985,5/25/1985,4/24/2017,RQRA- Regroupement québecois des résidences pour aînés; RQOH-Réseau québécois des osbl díhabitation,11/21/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1115,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-42,La Villa du Papillon Bleu SENC (1117),"110, rue de la Fabrique",Sainte-Anne-de-la-Pérade,G0X 2J0,418-325-2301,QC,Canada,La Villa du Papillon Bleu SENC,19,19,Résidence à but lucratif,1986,5/1/2004,5/19/2017,Aucune,5/15/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1117,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-43,Les Résidences Chambertin (1124),"242, boul. Louis-Fréchette",Nicolet,J3T 1V5,819-293-4369,QC,Canada,Mercier Sylvain,17,17,Résidence à but lucratif,1980,1/1/1980,5/26/2017,Aucune,6/5/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1124,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-44,Centre d'hébergement de Nicolet (1125),"631, rue du Bocage",Nicolet,J3T 1Z7,819-293-5494,QC,Canada,Gestion Pierre Pelletier inc.,97,97,Résidence à but lucratif,1997,7/1/1997,4/13/2017,RQRA- Regroupement québecois des résidences pour aînés,4/25/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1125,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-45,Résidence Marie-Victorin (1129),"1320, route Marie-Victorin",Deschaillons-sur-Saint-Laurent,G0S 1G0,819-292-3082,QC,Canada,9197-6720 Québec inc.,10,10,Résidence à but lucratif,1990,1/1/1990,4/24/2017,Aucune,5/2/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1129,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-46,Villa Domaine St-Grégoire S.E.N.C. (1132),"4890, avenue Bouvet",Bécancour,G9H 1X4,819-233-3232,QC,Canada,Villa Domaine St-Grégoire S.E.N.C.,239,233,Résidence à but lucratif,1988,1/11/1988,4/10/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,1/16/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1132,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-47,Résidence Gentilly (1133),"1950, boul. Bécancour",Bécancour,G9H 3V3,819-298-3081,QC,Canada,Résidence Gentilly inc.,50,50,Résidence à but lucratif,1986,1/1/1986,1/31/2017,Programme Qualité Logi-être,5/15/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1133,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-48,La Villa Les Cygnes (1134),"2015, avenue Mgr Moreau",Bécancour,G9H 2W8,819-294-1834,QC,Canada,9007-2349 Québec inc.,23,21,Résidence à but lucratif,1995,1/1/1995,5/9/2017,Aucune,3/18/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1134,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-49,Résidence de Manseau (1139),"260, rue Saint-Alphonse",Manseau,G0X 1V0,819-356-2780,QC,Canada,Vidéo La Pêche inc.,17,17,Résidence à but lucratif,1990,1/12/1999,12/14/2015,Aucune,11/26/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1139,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-50,Résidence Au Soleil Levant (1140),"11000, chemin St-Laurent",Bécancour,G9H 3E9,819-294-1161,QC,Canada,9101-2658 Québec inc.,66,57,Résidence à but lucratif,1985,1/1/1985,4/24/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,3/18/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1140,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-51,Résidences Vivendi (1146),"10, rue Saint-Pierre",Montréal,H9C 2N4,514-624-0188,QC,Canada,9031-2570 Québec inc.,50,50,Résidence à but lucratif,1989,11/1/1989,3/2/2017,RQRA- Regroupement québecois des résidences pour aînés,3/4/2011,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1146,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-52,Résidence Saint-Raphaël (1155),"2323, Saint-Jean Baptiste",Saguenay,G8A 1W6,418-695-4999,QC,Canada,Société en commandite résidence Saint-Raphaël,50,50,Résidence à but lucratif,1998,1/7/1998,3/14/2017,Aucune,3/13/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1155,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-53,Neveh Ora (1156),"5317, avenue Saint-Ignatius",Montréal,H4V 2C5,514-481-2988,QC,Canada,Gozlan Aida; Eckstein Il,10,10,Résidence à but lucratif,1978,1/1/1978,9/6/2017,Aucune,8/7/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1156,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-54,Résidence Saint-Philippe (1158),"2165, rue Saint-Régis",Saguenay,G7S 2W4,418-542-5252,QC,Canada,Résidence Saint-Philippe (9089-1920 Qc inc.),80,54,Résidence à but lucratif,2000,7/1/2000,5/11/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,11/6/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1158,Assisted Living
Canada-QC-18-AssistedLiving(Assoc)-output-55,Résidence Lamy (1162),"45, rue de la Plaine",Chambord,G0W 1G0,418-342-8469,QC,Canada,9275-3987 Québec inc.,26,26,Résidence à but lucratif,1990,3/1/2017,5/26/2017,Aucune,5/22/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=1162,Assisted Living
