row_id,Facility Name,License Number,License Exp.,Facility Type,Type,Address,County,City,Zip,State,Contact Phone,Mailing Address,Administrator,Admin Phone,Mailing City,Mailing Zip,Mailing State,Facility Email,Licensee,Fac. Contact Email,Country
USA-SC-56-SC-HealthCareFacilities-output-11,ANOINTED RESIDENTIAL CARE #2,CRC-1502,3/31/2018,Residential Care,,511 S SUMTER ST,Sumter,SUMTER,29150-5754,SC,803-883-4032,511 S SUMTER ST,,,SUMTER,29150-5754,SC,DAISY78BRADLEY@OUTLOOK.COM,COREY T WRIGHT & DAISY BRADLEY,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-12,ANTONIO-STAPLES RESIDENTIAL CARE FACILITY,CRC-0706,3/31/2018,Residential Care,Corporation,10745 HWY 78 E,Dorchester,SUMMERVILLE,29483-8710,SC,843-821-8912,10745 HWY 78 E,STAPLES ERMELINDA M,843-821-8912,SUMMERVILLE,29483-8710,SC,Z4TINKERBELL@AOL.COM,ANTONIO-STAPLES RESIDENTIAL CARE FACILITY INC,ANTINIOSTAPLESRCF@COMCAST.NET,US
USA-SC-56-SC-HealthCareFacilities-output-13,ARBORETUM AT THE WOODLANDS AT FURMAN,CRC-1492,5/31/2018,Residential Care,Non-Profit Corporation,50 ARBORETUM LN,Greenville,GREENVILLE,29617-6227,SC,864-371-3100,1500 TRAILHEAD CT,BABBITT CAROL S,864-371-3100,GREENVILLE,29617-6226,SC,CBABBITT@THEWOODLANDSATFURMAN.ORG,UPSTATE SENIOR LIVING INC,CBABBITT@THEWOODLANDSATFURMAN.ORG,US
USA-SC-56-SC-HealthCareFacilities-output-14,ASHLAN VILLAGE,CRC-1483,10/31/2017,Residential Care,Limited Liability,415 BRENDA WAY,Spartanburg,LYMAN,29365-9264,SC,864-949-7825,415 BRENDA WAY,AHO ROBERT M,864-949-7825,LYMAN,29365-9264,SC,BAHO@ASHLANVILLAGE.COM,ASHLAN PROPERTIES LLC,BAHO@ASHLANVILLAGE.COM,US
USA-SC-56-SC-HealthCareFacilities-output-15,ASHLEY GARDENS ALZHEIMER'S SPECIAL CARE CENTER,CRC-1595,6/30/2018,Residential Care,Limited Liability,2290 HENRY TECKLENBURG DR,Charleston,CHARLESTON,29414,SC,843-556-4100,PO BOX 820528,CARLETON KELLY JEAN,843-556-4100,VANCOUVER,98682-0011,WA,KELLYCARLETON@JEASENIORLIVING.COM,CHARLESTON CARE GROUP LLC,KELLYCARLETON@JEASENIORLIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-16,ASHLEY LANDING ASSISTED LIVING,CRC-1288,2/28/2018,Residential Care,Ltd. Liability,4550 GREAT OAK DR,Charleston,NORTH CHARLESTON,29418-5001,SC,843-760-0831,4550 GREAT OAK DR,BAKER GEORGE M,843-760-0831,NORTH CHARLESTON,29418-5001,SC,GMBAKER@AGAPESENIOR.COM,AGAPE ASSISTED LIVING OF NORTH CHARLESTON LLC,GMBAKER@AGAPESENIOR.COM,US
USA-SC-56-SC-HealthCareFacilities-output-17,ASHLEY PLACE,CRC-1404,11/30/2017,Residential Care,Corporation,526 HALTIWANGER RD,Greenwood,GREENWOOD,29649-1799,SC,864-943-1933,330 N WABASH AVE STE 3700,MOORE BRENT,864-943-1933,CHICAGO,60611-7605,IL,ALCLICENSE@ENLIVANT.COM,ASHLEY AID OPCO LLC,ALCLICENSE@ENLIVANT.COM,US
USA-SC-56-SC-HealthCareFacilities-output-18,ASHLEY RIVER PLANTATION,CRC-1376,6/30/2018,Residential Care,Limited Liability,2333 ASHLEY RIVER RD,Charleston,CHARLESTON,29414-4755,SC,843-766-9898,400 CENTRE ST,DAVIS SEAN C,843-766-9898,NEWTON,02458-2094,MA,LICENSING@5SSL.COM,SNH SE ASHLEY RIVER TENANT LLC,LICENSING@5SSL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-19,ATRIA FOREST LAKE,CRC-1143,5/31/2018,Residential Care,Limited Liability,4405 FOREST DR,Richland,COLUMBIA,29206-3103,SC,803-790-9800,300 E MARKET ST STE 100,ELLROTT FAYE ESTES,803-790-9800,LOUISVILLE,40202,KY,FAYE.ELLROTT@ATRIASENIORLIVING.COM,WG FOREST LAKE SH LLC,FAYE.ELLROTT@ATRIASENIORLIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-20,AUTUMN HOUSE,CRC-1529,12/31/2017,Residential Care,Sole Proprietorship,121 MOORE ST,Colleton,WALTERBORO,29488-4463,SC,843-782-3789,,COLLINS SEBRINA,803-860-2042,,,,AUTUMNHOUSEWALTERBORO@GMAIL.COM,AUTUMN HOUSE LLC,AUTUMNHOUSEWALTERBORO@GMAIL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-21,AUTUMN LEAVES OF FORT MILL,CRC-1948,4/30/2018,Residential Care,,1061 GOLD HILL RD,York,FORT MILL,29708,SC,000-000-0000,545 E JOHN CARPENTER FWY STE 500,MCCUIN KRISTI,,IRVING,75062-8144,TX,SHERLIHY@LASALLEGROUP.COM,FORT MILL MEMORY CARE LLC,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-22,AUTUMN LEAVES OF GREENVILLE,CRC-1947,4/30/2018,Residential Care,Limited Liability,352 PELHAM RD,Greenville,GREENVILLE,29615-3110,SC,864-558-0383,,HESS HEATHER,864-558-0383,,,,SHERLIHY@LASALLEGROUP.COM,GREENVILLE MEMORY CARE LLC,SHERLIHY@LASALLEGROUP.COM,US
USA-SC-56-SC-HealthCareFacilities-output-23,B & B ASSISTED LIVING,CRC-0528,12/31/2017,Residential Care,Limited Liability,412 PEE DEE CHURCH RD,Dillon,DILLON,29536-7429,SC,843-774-0623,412 PEE DEE CHURCH RD,MAYNOR BEVERLY,843-774-0623,DILLON,29536-7429,SC,BEVMAYNOR@AOL.COM,B & B ASSISTED LIVING II LLC,BEVMAYNOR@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-24,B & J RESIDENTIAL CARE FACILITY,CRC-1461,12/31/2017,Residential Care,Corporation,528 ATTERBURY DR,Richland,COLUMBIA,29203-3002,SC,803-786-0011,213 LINGSTROM LN,DAVIS-EARGLE EUGENIA M,803-786-1047,COLUMBIA,29212-3234,SC,EMARIEEARGLE@YAHOO.COM,B & J RESIDENTIAL CARE FACILITY LLC,EMARIEEARGLE@YAHOO.COM,US
USA-SC-56-SC-HealthCareFacilities-output-25,BACKHOME CARE FACILITY,CRC-0567,1/31/2018,Residential Care,Corporation,140 CHECKERBERRY LN,Orangeburg,EUTAWVILLE,29048,SC,843-753-3899,1547 ADDIDAS ST,LEE NEOMIA C,843-753-3899,EUTAWVILLE,29048-9256,SC,NCCBUTLERLEE@AOL.COM,BACKHOME CARE FACILITY INC,NCCBUTLERLEE@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-26,BAILEY MANOR,CRC-0732,8/31/2018,Residential Care,Non-Profit Corporation,300 JACOBS HWY,Laurens,CLINTON,29325-9401,SC,864-833-3425,300 JACOBS HWY,STANLEY RITA G,864-833-3425,CLINTON,29325-9400,SC,R.STANLEY@BAILEYMANOR.ORG,CAROLINA CHRISTIAN MINISTRIES INC,R.STANLEY@BAILEYMANOR.ORG,US
USA-SC-56-SC-HealthCareFacilities-output-27,BAYBERRY OF GREENWOOD,CRC-0589,5/31/2018,Residential Care,Limited Liability Limited Partnership,116 ABBEY DR,Greenwood,GREENWOOD,29649-8536,SC,864-223-6510,116 ABBEY DR,GAMBRELL CATHY B,864-223-6510,GREENWOOD,29649-8536,SC,THEBAYBERRY@NCTV.COM,EVERGREEN VILLAGES LIMITED PARTNERSHIP,THEBAYBERRY@NCTV.COM,US
USA-SC-56-SC-HealthCareFacilities-output-28,BAYBERRY OF GREER,CRC-0595,7/31/2018,Residential Care,Limited Liability Limited Partnership,309 NORTHVIEW DR,Greenville,GREER,29651-1340,SC,864-848-1935,309 NORTHVIEW DR,PRITCHETT NATASHA J,864-848-1935,GREER,29651-1340,SC,GREER@THEBAYBERRYINN.COM,EVERGREEN VILLAGES LIMITED PARTNERSHIP,GREER@THEBAYBERRYINN.COM,US
USA-SC-56-SC-HealthCareFacilities-output-29,BAYSHORE ON HILTON HEAD ISLAND,CRC-1963,6/30/2018,Residential Care,,421 SQUIRE POPE RD,Beaufort,HILTON HEAD ISLAND,29926,SC,843-342-2222,421 SQUIRE POPE RD,JOHNSON STEPHANI,843-342-2222,HILTON HEAD ISLAND,29926,SC,JOHNSONSTEPHANI@LCSNET.COM,BAYSHORE HILTON HEAD LLC,JOHNSONSTEPHANI@LCSNET.COM,US
USA-SC-56-SC-HealthCareFacilities-output-30,BEARD RESIDENTIAL CARE FACILITY #1,CRC-0140,4/30/2018,Residential Care,Sole Proprietorship,123 N WARREN ST,Florence,TIMMONSVILLE,29161-1443,SC,843-346-5272,123 N WARREN ST,BEARD CATHERINE H,843-346-5272,TIMMONSVILLE,29161-1443,SC,BEARDSRCF@YAHOO.COM,CATHERINE H BEARD,BEARDSRCF@YAHOO.COM,US
USA-SC-56-SC-HealthCareFacilities-output-31,BEARD RESIDENTIAL CARE FACILITY #2,CRC-0082,4/30/2018,Residential Care,Sole Proprietorship,301 N ORANGE ST,Florence,TIMMONSVILLE,29161-1435,SC,843-346-5272,123 N WARREN ST,BEARD CATHERINE H,843-346-5272,TIMMONSVILLE,29161-1443,SC,BEARDSRCF@YAHOO.COM,CATHERINE H BEARD,BEARDSRCF@YAHOO.COM,US
USA-SC-56-SC-HealthCareFacilities-output-32,BEARD'S RESIDENTIAL CARE FACILITY #3,CRC-0331,12/31/2017,Residential Care,Sole Proprietorship,201 N BROCKINGTON ST,Florence,TIMMONSVILLE,29161-1503,SC,843-346-2287,123 N WARREN ST,BEARD JR JAMES,843-346-5272,TIMMONSVILLE,29161-1443,SC,BEARDSRCF@YAHOO.COM,CATHERINE H BEARD,BEARDSRCF@YAHOO.COM,US
USA-SC-56-SC-HealthCareFacilities-output-33,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE,CRC-1209,5/31/2018,Residential Care,Ltd. Liability,1910 DALTON ST,Charleston,CHARLESTON,29406-3961,SC,843-744-1765,PO BOX 72034,BELL TROY A,843-744-1765,NORTH CHARLESTON,29415-2034,SC,BELLTRY7@AOL.COM,BELL'S PROFESSIONAL RESIDENTIAL HOME CARE LLC,BELLTRY7@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-34,BELVEDERE COMMONS OF SENECA,CRC-1466,11/30/2017,Residential Care,Ltd. Liability,515 BENTON ST,Oconee,SENECA,29672-6883,SC,864-888-4114,515 BENTON ST,MEDLIN ANTHONY,864-888-4114,SENECA,29672-6883,SC,SCARTER@BELVEDERECOMMONSSENECA.COM,FKP SENECA SENIOR LIVING TENANT LLC,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-35,BENCHMARK HOMES - SPARTANBURG,CRC-1509,9/30/2018,Residential Care,State,450 W HENRY ST,Spartanburg,SPARTANBURG,29306-6037,SC,864-562-2470,195 BURDETTE ST,MASON SUZAN B,864-562-2470,SPARTANBURG,29307-1003,SC,RVISE@CHARLESLEA.ORG,CHARLES LEA CENTER,RVISE@CHARLESLEA.ORG,US
USA-SC-56-SC-HealthCareFacilities-output-36,BENTON HOUSE OF BLUFFTON,CRC-1585,3/31/2018,Residential Care,Limited Liability,8 HAMPTON LAKE DR,Beaufort,BLUFFTON,29910-9568,SC,843-757-3111,11175 CICERO DR STE 500,KETCHUM VALORIE,843-757-3111,ALPHARETTA,30022-0004,GA,BLUFFTONDIRECTOR@BENTONHOUSE.COM,BLUFFTON SLP LLC,DWINTERS@PRINCIPALSENIORLIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-37,BETHEA BAPTIST ASSISTED LIVING,CRC-1533,8/31/2018,Residential Care,Non-Profit Corporation,157 HOME AVE,Darlington,DARLINGTON,29532-7625,SC,843-393-2867,157 HOME AVE,SPURLING BENJAMIN S,843-393-2867,DARLINGTON,29532-7625,SC,BSPURLING@SCBMA.COM,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,BSPURLING@SCBMA.COM,US
USA-SC-56-SC-HealthCareFacilities-output-38,BIRD STREET I COMMUNITY RESIDENTIAL CARE FACILITY,CRC-1357,6/30/2018,Residential Care,,1705 BIRD ST,York,ROCK HILL,29730-3830,SC,803-628-5999,PO BOX 549,HOLMES PRIVETTE CYNTHIA D,803-628-5999,YORK,29745-0549,SC,MPOOLE@YORKDSNB.ORG,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,MPOOLE@YORKDSNB.ORG,US
USA-SC-56-SC-HealthCareFacilities-output-39,BIRD STREET II COMMUNITY RESIDENTIAL CARE FACILITY,CRC-1358,6/30/2018,Residential Care,,1711 BIRD ST,York,ROCK HILL,29730-3830,SC,803-628-5999,"PO BOX 549, YORK CO DSNB",HOLMES PRIVETTE CYNTHIA D,803-628-5999,YORK,29745-0549,SC,MPOOLE@YORKDSNB.ORG,YORK COUNTY DISIBILITIES AND SPECIAL NEEDS BOARD,MPOOLE@YORKDSNB.ORG,US
USA-SC-56-SC-HealthCareFacilities-output-40,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,CRC-0451,11/30/2017,Residential Care,Non-Profit Corporation,1 BISHOP GADSDEN WAY,Charleston,CHARLESTON,29412-3500,SC,843-762-3300,1 GADSDEN WAY,TRAWICK WILLIAM C,843-762-3300,CHARLESTON,29412,SC,BILL.TRAWICK@BISHOPGADSDEN.ORG,BISHOP GADSDEN EPISCOPAL RETIREMENT COMMUNITY,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-41,BISHOPVILLE MANOR,CRC-1108,6/30/2018,Residential Care,Corporation,2779 HWY 15 N,Lee,BISHOPVILLE,29010-7101,SC,803-428-2222,PO BOX 312,GOLDEN IDA M,803-428-2222,BISHOPVILLE,29010-0312,SC,BISHOPVILLE.MANOR@AOL.COM,BISHOPVILLE MANOR INC,BISHOPVILLE.MANOR@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-42,BLACK'S DRIVE COMMUNITY RESIDENCE,CRC-1524,8/31/2018,Residential Care,County,160 BLACKS DR,Aiken,WILLISTON,29853-3558,SC,803-266-3211,PO BOX 556 #20 PARK ST,SISK DARRIN W,803-266-3211,BARNWELL,29812,SC,BPARKER@BARNWELLSC.COM,ALLENDALE/BARNWELL COUNTIES DISABILITIES AND SPECIAL NEEDS,BPARKER@BARNWELLSC.COM BOARD,US
USA-SC-56-SC-HealthCareFacilities-output-43,BLAKE AT CARNES CROSSROADS LLC,CRC-1896,7/31/2018,Residential Care,Limited Liability,4015 2ND AVE,Berkeley,SUMMERVILLE,29486,SC,843-376-3996,4015 2ND AVE,DAUGHERTY KATHRYN,843-376-3996,SUMMERVILLE,29486,SC,MICHAEL@CARDINALVENTURES.NET,BLAKE AT CARNES CROSSROADS,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-44,BLAKE AT WOODCREEK FARMS,CRC-1570,2/28/2018,Residential Care,,385 SPEARS CREEK CHURCH RD,Richland,ELGIN,29045-9312,SC,803-828-7370,,CUNNINGHAM REBECCA,803-828-7370,,,,BECKIE.CUNNINGHAM@BLAKELIVING.COM,BLAKE AT WOODCREEK FARMS LLC,BECKIE.CUNNINGHAM@BLAKELIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-45,BLOOM AT BELFAIR,CRC-1510,12/31/2017,Residential Care,Limited Liability,60 OAK FOREST RD,Beaufort,BLUFFTON,29910-5010,SC,843-815-2338,60 OAK FOREST RD,FENNELL ERIC J,843-815-2338,BLUFFTON,29910,SC,ADMIN@BLOOMATBELFAIR.COM,BLOOMFIELD SENIOR LIVING OF BLUFFTON LLC,ADMIN@BLOOMATBELFAIR.COM,US
USA-SC-56-SC-HealthCareFacilities-output-46,BLOOM AT BLUFFTON,CRC-1381,4/30/2018,Residential Care,,800 FORDING ISLAND RD,Beaufort,BLUFFTON,29910-4845,SC,843-815-2555,800 FORDING ISLAND RD,LATHAM K'LEE,843-815-2555,BLUFFTON,29910-4845,SC,ADMIN@BLOOMATBLUFFTON.COM,BLOOMFIELD SENIOR LIVING OF BLUFFTON II LLC,ADMIN@BLOOMATBLUFFTON.COM,US
USA-SC-56-SC-HealthCareFacilities-output-47,BLOOM AT HILTON HEAD,CRC-1382,4/30/2018,Residential Care,,35 BEACH CITY RD,Beaufort,HILTON HEAD ISLAND,29926-4725,SC,843-342-5599,35 BEACH CITY RD,BAZEN TIFFANY R,843-342-5599,HILTON HEAD ISLAND,29926-4725,SC,ADMIN@BLOOMATHILTONHEAD.COM,BLOOMFIELD SENIOR LIVING OF HILTON HEAD LLC,TBAZEN29@YAHOO.COM,US
USA-SC-56-SC-HealthCareFacilities-output-48,BOSTICK'S ADULT RESIDENTIAL CARE FACILITY,CRC-0143,5/31/2018,Residential Care,Sole Proprietorship,1912 DUKE ST,Beaufort,BEAUFORT,29902-4404,SC,843-524-3906,PO BOX 1841,BURNS WANDA BOSTICK,843-524-3906,BEAUFORT,29901-1841,SC,BARCF1@GMAIL.COM,WANDA BOSTICK BURNS,BARCF1@GMAIL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-49,BOWLES COMMUNITY CARE HOME,CRC-0090,9/30/2017,Residential Care,Sole Proprietorship,9270 N HWY 17,Charleston,MC CLELLANVILLE,29458-9422,SC,843-887-4180,9270 N HWY 17,BOWLES BENJAMIN,843-887-4180,MC CLELLANVILLE,29458-9422,SC,BBOWCARE@AOL.COM,BENJAMIN BOWLES,BBOWCARE@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-50,BOWLES COMMUNITY CARE HOME 2,CRC-1497,11/30/2017,Residential Care,Sole Proprietorship,9274 N HWY 17,Charleston,MCCLELLANVILLE,29458-9422,SC,843-887-4180,9270 N HWY 17,BOWLES BENJAMIN,843-887-4180,MC CLELLANVILLE,29458-9422,SC,BBOWCARE@AOL.COM,BOWLES BENJAMIN,BBOWCARE@AOL.COM,US
USA-SC-56-SC-HealthCareFacilities-output-51,BRIAN'S RESIDENTIAL CARE,CRC-0418,2/28/2018,Residential Care,Partnership,1115 WHITMAN ST,Orangeburg,ORANGEBURG,29115-6150,SC,803-533-1588,"1027 BERKELEY DR, BRIANS RESIDEITNAL CARE I",STOKES ALBERT O,803-533-1588,ORANGEBURG,29118-8356,SC,DSTOKES30@SC.RR.COM,ALBERT STOKES AND DELAURA STOKES,DSTOKES30@SC.RR.COM,US
USA-SC-56-SC-HealthCareFacilities-output-52,BRIAN'S RESIDENTIAL CARE II,CRC-0947,9/30/2017,Residential Care,Partnership,4003 CALHOUN ST,Orangeburg,BRANCHVILLE,29432-2243,SC,803-274-8051,1027 BERKELEY DR,STOKES DELAURA,803-274-8051,ORANGEBURG,29118-8356,SC,DSTOKES30@SC.RR.COM,ALBERT STOKES AND DELAURA STOKES,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-53,BRIANA'S RESIDENTIAL CARE FACILITY,CRC-1333,11/30/2017,Residential Care,Sole Proprietorship,252 CHARLESTON AVE N,Allendale,FAIRFAX,29827-4502,SC,803-632-9813,649 HAMPTON AVE N,JENKINS GENORA W,803-632-9813,FAIRFAX,29827-4313,SC,No Facility Email on Record,JOHN W WALKER,VERMELLE_WALKER@YAHOO.COM,US
USA-SC-56-SC-HealthCareFacilities-output-54,BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF CHARLESTON,CRC-1064,10/31/2017,Residential Care,Ltd. Liability,2590 ELMS PLANTATION BLVD,Charleston,NORTH CHARLESTON,29406-8105,SC,843-553-6342,3570 KEITH ST NW,NELSON MICHELLE M,843-553-6342,CLEVELAND,37312-4309,TN,MICHELLE_NELSON@LCCA.COM,CHARLESTON RETIREMENT INVESTORS LLC,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-55,BRIGHTWATER ASSISTED LIVING,CRC-1489,4/30/2018,Residential Care,Limited Liability,201 BRIGHTWATER DR,Horry,MYRTLE BEACH,29579-8298,SC,843-903-8940,201 BRIGHTWATER DR,HAYES ELIZABETH ANN,843-903-8940,MYRTLE BEACH,29579-8298,SC,EHAYES@BRIGHTWATER-LIVING.COM,BRIGHTWATER RETIREMENT LLC,EHAYES@BRIGHTWATER-LIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-56,BROAD CREEK CARE CENTER ASSISTED LIVING,CRC-1036,7/31/2018,Residential Care,Corporation,801 LEMON GRASS CT,Beaufort,HILTON HEAD ISLAND,29928-3022,SC,843-341-7300,700 TIDEPOINTE WAY,JACKSON WILLIAM F,843-341-7300,HILTON HEAD ISLAND,29928-3040,SC,FJACKSON@VILIVING.COM,CC-HILTON HEAD INC,FJACKSON@VILIVING.COM,US
USA-SC-56-SC-HealthCareFacilities-output-57,BROOK PINE COMMUNITY RESIDENTIAL CARE FACILITY,CRC-1302,6/30/2018,Residential Care,State,3961 FISH HATCHERY RD,Lexington,GASTON,29053-9038,SC,803-955-3821,3961 FISH HATCHERY RD,MURPHY LAVERNE,803-955-3821,GASTON,29053-9038,SC,LAVERNE.MURPHY@SCDMH.ORG,LEXINGTON COUNTY COMMUNITY MENTAL HEALTH CENTER (LCCMHC),LAVERNE.MURPHY@SCDMH.ORG,US
USA-SC-56-SC-HealthCareFacilities-output-58,BROOKDALE ANDERSON,CRC-1303,3/31/2018,Residential Care,Corporation,311 SIMPSON RD,Anderson,ANDERSON,29621-2157,SC,864-261-3875,311 SIMPSON RD,JENKINS BRIAN,864-261-3875,ANDERSON,29621-2157,SC,BJENKINS1@BROOKDALE.COM,EMERITUS CORPORATION,BJENKINS1@BROOKDALE.COM,US
USA-SC-56-SC-HealthCareFacilities-output-59,BROOKDALE BRUSHY CREEK,CRC-1306,12/31/2017,Residential Care,Corporation,2010 BRUSHY CREEK RD,Greenville,GREER,29650-2614,SC,864-244-9994,2010 BRUSHY CREEK RD,GROTE EMILY K,864-244-9994,GREER,29650-2614,SC,EGROTE@BROOKDALE.COM,BROOKDALE SENIOR LIVING COMMUNITIES INC,EGROTE@BROOKDALE.COM,US
USA-SC-56-SC-HealthCareFacilities-output-60,BROOKDALE CENTRAL,CRC-1307,12/31/2017,Residential Care,Corporation,131 VICKERY DR,Pickens,CENTRAL,29630-8330,SC,864-653-4676,131 VICKERY DR,HAMMOND ANGELA,864-653-4676,CENTRAL,29630-8330,SC,No Facility Email on Record,BROOKDALE SENIOR LIVING COMMUNITIES INC,No Facility Contact Email on Record,US
USA-SC-56-SC-HealthCareFacilities-output-61,BROOKDALE CHARLESTON,CRC-1291,9/30/2018,Residential Care,Limited Liability,2030 CHARLIE HALL BLVD,Charleston,CHARLESTON,29414-5830,SC,843-763-4055,2030 CHARLIE HALL BLVD,ROBINSON TERRI L,843-763-4055,CHARLESTON,29414-5830,SC,TROBINSON1@BROOKDALE.COM,HBP LEASECO LLC,TROBINSON1@BROOKDALE.COM,US
