row_id,name,license_num,website,contact,phone,fax,street_address,city,province,postal_code,country,facility_type
Canada-PEI-6-PEI-6-PEI-19,The Mount Continuing Care Community,87,http://www.themountcommunity.ca/,The Mount Continuing Care Community,902-370-8888,,141 Mount Edward Rd.,Charlottetown,PE,C1A 5T1,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-20,Tenderwood Lodge,29,,Tenderwood Lodge,902-566-5174,,15 Hawthorne Ave,Charlottetown,PE,C1A 5X8,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-21,South Shore Villa,80,http://southshorevilla.ca/,South Shore Villa,902-658-2228,,159 Sherwood Forest Dr.,Crapaud,PE,C0A 1J0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-22,Smith Lodge,63,,Smith Lodge,902-892-4220,,35 Weymouth St,Charlottetown,PE,C1A 4Y3,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-23,Stamper Residence,56,,Stamper Residence,902-894-3815,,9 Fitzroy,Charlottetown,PE,C1A1R2,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-24,Rev. W. J. Phillips Residence,48,,Rev. W. J. Phillips Residence/Enriched Residential Care Concepts Ltd,902-231-3009,,120 Dufferin Street,Alberton,PE,,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-25,Rosewood Residence Inc.,47,http://www.rosewoodresidence.ca,Tina Wadden,902-964-2436,,4260 Hopedale Road,Hunter River,PE,C0A-1N0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-26,Dr. John M. Gillis Memorial Lodge,26,http://www.gillislodge.ca,Douglas MacKenzie,902-659-2337,,3134 Garfield Road,Belfast,PE,C0A 1A0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-27,Charlotte Residence,57,,Charlotte Residence,902-894-8134,,39 All Souls Ln,Charlottetown,PE,C1A 1P9,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-28,Champion Lodge,55,,Champion Lodge,902-894-8968,,48 Green St,Charlottetown,PE,C1A 2E8,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-29,Corrigan Home,43,,Noreen Corrigan,902-894-9686,,22 Hemlock Court,Charlottetown,PE,C1A 8E3,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-30,Burnside Community Care,86,https://burnsidecommunitycare.com/,Burnside Community Care,902-675-2393,,,Clyde River,PE,,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-31,Bayview Lodge,53,,Bayview Lodge,902-687-3122,,22 Washington St,Souris,PE,C0A 2B0,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-32,Andrews of Summerside,74,http://andrewsofpei.com,Alana DesRoche,902-436-0859,,317 Pope Rd.,Summerside,PE,C1N 6G4,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-33,Bevan Lodge,84,http://peicommunitycare.ca/facilities/bevan-lodge/,Bevan Lodge,902-894-5858,,8 Ellis Rd,Charlottetown,PE,C1A 6G7,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-34,Andrews of Stratford,75,http://andrewsofpei.com,Andrews of Stratford,(902) 367-4100,,355 Shakespeare Drive,Stratford,PE,C1B 2Y2,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-35,Andrews of ParkHill Place,69,http://parkhillplace.ca/,Andrews of ParkHill Place,902-888-2273,,216 Schurman Ave.,Summerside,PE,C1N 6W2,Canada,Assisted Living
Canada-PEI-6-PEI-6-PEI-36,MacEwen Mews Seniors Residence,96,,MacEwen Mews Seniors Residence,902-836-4678,,Thompson Point Rd,Kensington,PE,C0B 1M0,Canada,Assisted Living
