row_id,Sort Name,Mailing Name,License Number,Profession,Status,Address Line 1,Address Line 2,City,State,Zip,County FIPS,County,Country,Phone,Fax,Address Directions,Expiration Date,Authorities,Department,Agency,Board,type
USA-ME-97-AssistedLiving-output-11,222 NORTHERN AVE.,222 NORTHERN AVE.,RCC2158,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,222 NORTHERN AVE,,FARMINGDALE,ME,04344-4635,23011,KENNEBEC,US,+1 (207) 588-6617,+1 (207) 582-2457,,7/8/2019,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-12,247 DINGLEY SPRINGS,247 DINGLEY SPRINGS,RCC2365,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,247 DINGLEY SPRING RD,,GORHAM,ME,04038-2169,23005,CUMBERLAND,US,+1 (207) 828-0048,+1 (207) 772-3743,,7/8/2018,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-13,249 LIBBY AVENUE,249 LIBBY AVENUE,RCC1639,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,249 LIBBY AVE,,GORHAM,ME,04038-2617,23005,CUMBERLAND,US,+1 (207) 839-6085,+1 (207) 772-3743,,10/3/2017,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-14,28 PUTNAM DRIVE,28 PUTNAM DRIVE,RCC1535,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,28 PUTNAM DR,,FARMINGDALE,ME,04344-2818,23011,KENNEBEC,US,+1 (207) 582-4692,+1 (207) 582-2457,,5/14/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-15,286 HIGHLAND AVENUE,286 HIGHLAND AVENUE,RCC2154,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,286 HIGHLAND AVE,,GARDINER,ME,04345-6005,23011,KENNEBEC,US,+1 (207) 582-8021,+1 (207) 582-2457,,5/27/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-16,306 PINE STREET GROUP HOME,306 PINE STREET GROUP HOME,PNC1600,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,306 PINE ST,,LEWISTON,ME,04240-6309,23001,ANDROSCOGGIN,US,+1 (207) 783-4658,+1 (207) 786-7426,,10/19/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-17,45 ESSEX STREET,45 ESSEX STREET,RCC1676,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,45 ESSEX ST,,SANFORD,ME,04073-3229,23031,YORK,US,+1 (207) 324-2426,+1 (207) 324-6050,,8/7/2019,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-18,47 SUMMER STREET,47 SUMMER STREET,RCC2100,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,47 SUMMER ST,,GARDINER,ME,04345-1902,23011,KENNEBEC,US,+1 (207) 588-6394,+1 (207) 582-1438,,7/21/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-19,5 COLBY LANE,5 COLBY LANE,RCC2379,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,5 COLBY LN,,KENNEBUNK,ME,04043-6116,23031,YORK,US,+1 (207) 985-0916,+1 (207) 324-6050,,9/29/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-20,55 PALM STREET,55 PALM STREET,RCC1575,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 PALM ST,,BANGOR,ME,04401-5403,23019,PENOBSCOT,US,+1 (207) 942-5271,+1 (207) 945-9997,,7/16/2018,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-21,56 ELM STREET,56 ELM STREET,RCC1610,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,56 ELM ST,,TOPSHAM,ME,04086-1417,23023,SAGADAHOC,US,+1 (207) 725-1134,+1 (866) 531-8540,,9/3/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-22,58 HIGHLAND AVENUE,58 HIGHLAND AVENUE,RCC1695,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,58 HIGHLAND AVE,,SCARBOROUGH,ME,04074-7104,23005,CUMBERLAND,US,+1 (207) 883-5126,+1 (207) 883-5126,,3/17/2018,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-23,6 ROOSEVELT,6 ROOSEVELT,RCD2183,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,6 ROOSEVELT AVE,,BREWER,ME,04412-2510,23019,PENOBSCOT,US,+1 (207) 460-9303,+1 (888) 460-3866,,8/26/2018,Adult Family Care Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-24,66 WINTHROP STREET PROGRAM,66 WINTHROP STREET PROGRAM,PNC38632,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,66 WINTHROP ST,,AUGUSTA,ME,04330-5506,23011,KENNEBEC,US,+1 (207) 626-3466,+1 (207) 213-2068,,9/20/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-25,7 RIVERVIEW STREET,7 RIVERVIEW STREET,RCC2107,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 RIVERVIEW ST,,SANFORD,ME,04073-2844,23031,YORK,US,+1 (207) 324-7955,+1 (207) 324-6050,,11/19/2017,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-26,73 BAILEY AVENUE,73 BAILEY AVENUE,RCC2084,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,73 BAILEY AVE,,LEWISTON,ME,04240-3304,23001,ANDROSCOGGIN,US,+1 (207) 689-3424,,,7/31/2018,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-27,79 CARRIER COURT,79 CARRIER COURT,RCC2136,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,79 CARRIER CT,,AUBURN,ME,04210-8216,23001,ANDROSCOGGIN,US,+1 (207) 376-4845,+1 (207) 782-1734,,8/10/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-28,8 BLANCHETTE STREET,8 BLANCHETTE STREET,RCC2083,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,8 BLANCHETTE ST,,LEWISTON,ME,04240-4730,23001,ANDROSCOGGIN,US,+1 (207) 689-3224,+1 (207) 782-1734,,3/12/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-29,93 RIDLEY ROAD,93 RIDLEY ROAD,RCC2366,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,93 RIDLEY RD,,SANFORD,ME,04073-6215,23031,YORK,US,+1 (207) 590-9128,+1 (207) 324-6050,,7/13/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-30,ABBOT HOUSE,ABBOT HOUSE,RCC15,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,76 WEST RD,,ABBOT,ME,04406-3022,23021,PISCATAQUIS,US,+1 (207) 876-3703,+1 (207) 876-2945,,6/29/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-31,ACHIEVEMENT HOUSE,ACHIEVEMENT HOUSE,RCC16,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,54 BARROWS DR,,TOPSHAM,ME,04086-1324,23023,SAGADAHOC,US,+1 (207) 725-9330,+1 (207) 737-2443,,1/15/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-32,ADDISON HOUSE,ADDISON HOUSE,RCC17,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,2 RIVERVIEW LANE,,ADDISON,ME,4606,23029,WASHINGTON,US,+1 (207) 483-4341,+1 (207) 483-2817,,7/5/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-33,ALBANY STREET,ALBANY STREET,RCC1301,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,49 ALBANY STREET EXT,,SOUTH PORTLAND,ME,04106-6007,23005,CUMBERLAND,US,+1 (207) 828-9469,+1 (207) 699-2155,,1/6/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-34,ALLISON AVENUE,ALLISON AVENUE,RCC2241,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,56 ALLISON AVE,,PORTLAND,ME,04103-1655,23005,CUMBERLAND,US,+1 (207) 774-7911,+1 (207) 879-1146,,1/9/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-35,ALORA STREET,ALORA STREET,RCC2127,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,19 ALORA ST,,LISBON FALLS,ME,04252-1442,23001,ANDROSCOGGIN,US,+1 (207) 353-8295,+1 (207) 795-6722,,1/4/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-36,ALWAYS ONE,ALWAYS ONE,RCC1331,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,172 GROVE ST,,BANGOR,ME,04401-4008,23019,PENOBSCOT,US,+1 (207) 945-9998,+1 (207) 945-9997,,10/18/2018,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-37,ALZHEIMERS CARE CENTER,ALZHEIMERS CARE CENTER,PND24,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,154 DRESDEN AVE,,GARDINER,ME,04345-2615,23011,KENNEBEC,US,+1 (207) 626-1770,+1 (207) 626-1814,,4/22/2018,Dementia/Alzheimer's,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-38,ALZHEIMER'S CARE CENTER ADULT DAY SERVICES,ALZHEIMER'S CARE CENTER ADULT DAY SERVICES,ADS23,ADULT DAY SERVICES PROGRAM,ACTIVE,154 DRESDEN AVE,,GARDINER,ME,04345-2615,23011,KENNEBEC,US,+1 (207) 626-1834,+1 (207) 626-1814,,10/28/2018,"Dementia/Alzheimer's, Health",HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-39,AMHERST HOUSE,AMHERST HOUSE,RCC38689,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,25 AMHERST ST,,BIDDEFORD,ME,04005-2966,23031,YORK,US,+1 (207) 622-7566,+1 (866) 249-1047,,6/30/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-40,ANCHOR SENIOR CARE RESIDENCE,ANCHOR SENIOR CARE RESIDENCE,RCD2244,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,25 OAK ST,,SPRINGVALE,ME,04083-1927,23031,YORK,US,+1 (207) 324-4046,+1 (207) 324-8849,,10/29/2018,Adult Family Care Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-41,ANDERSON LANE WAIVER-ALW,ANDERSON LANE WAIVER-ALW,RCC2041,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 ANDERSON LN,,CANAAN,ME,04924-3720,23025,SOMERSET,US,+1 (207) 612-0024,+1 (207) 612-0042,,12/15/2017,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-42,ANDY'S PLACE,ANDY'S PLACE,PNC2385,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,409 MAPLE ST,,RUMFORD,ME,04276-2115,23017,OXFORD,US,+1 (207) 364-3549,+1 (207) 364-2143,,11/15/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-43,ANGEL HAVEN ASSISTED LIVING,ANGEL HAVEN ASSISTED LIVING,RCC2066,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,532 UNION ST,,BANGOR,ME,04401-3751,23019,PENOBSCOT,US,+1 (207) 460-9303,+1 (888) 460-3866,,7/28/2018,Adult Family Care Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-44,ANNETTE OVERLOCK HOME,ANNETTE OVERLOCK HOME,RCC28,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,22 CANNS BEACH RD,,OWLS HEAD,ME,04854-3627,23013,KNOX,US,+1 (207) 594-2537,+1 (207) 236-0690,,9/15/2017,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-45,ANSON STREET,ANSON STREET,RCC1634,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,118 ANSON ST,,FARMINGTON,ME,04938-5735,23007,FRANKLIN,US,+1 (207) 860-4055,+1 (207) 860-4035,,8/8/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-46,APPLE RIDGE,APPLE RIDGE,RCC34,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,27 STODDARD POND RD,,BOWDOIN,ME,04287-7745,23023,SAGADAHOC,US,+1 (207) 666-8130,+1 (207) 273-3355,,8/4/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-47,ARBOR TERRACE,ARBOR TERRACE,PND38678,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,13 PLAISTED ST,,GARDINER,ME,04345-1821,23011,KENNEBEC,US,+1 (207) 582-1878,+1 (844) 445-5254,,6/30/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-48,ARBOR VIEW,ARBOR VIEW,RCC1993,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,9 ARBOR VIEW LN,,SCARBOROUGH,ME,04074-8389,23005,CUMBERLAND,US,+1 (207) 883-0381,+1 (207) 879-1146,,2/19/2018,"Dementia/Alzheimer's, Waiver Home",HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-49,AROOSTOOK AREA AGENCY ON AGING-ADULT DAY CARE,AROOSTOOK AREA AGENCY ON AGING-ADULT DAY CARE,ADS38643,ADULT DAY SERVICES PROGRAM,ACTIVE,33 DAVIS ST,,PRESQUE ISLE,ME,04769-2218,23003,AROOSTOOK,US,+1 (207) 764-6185,+1 (207) 764-6182,,12/18/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-50,ARUNDEL A,ARUNDEL A,RCC2156,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,84 S SKILLINGS RD,,ARUNDEL,ME,04046-8517,23031,YORK,US,+1 (207) 282-1930,+1 (207) 777-1109,,6/1/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-51,ARUNDEL B,ARUNDEL B,RCC1960,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,81 S SKILLINGS RD,,ARUNDEL,ME,04046-8516,23031,YORK,US,+1 (207) 795-0672,+1 (207) 777-1109,,6/2/2017,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-52,ASI-FAIRFIELD,ASI-FAIRFIELD,RCC37,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,24 SUMMIT ST,,FAIRFIELD,ME,04937-1212,23025,SOMERSET,US,+1 (207) 453-9845,+1 (207) 453-9845,,12/4/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-53,ATHENS HOUSE,ATHENS HOUSE,PNC1753,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,21 NORTH RD,,ATHENS,ME,04912-4001,23025,SOMERSET,US,+1 (207) 654-2204,+1 (207) 654-2204,,8/14/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-54,ATRIA KENNEBUNK,ATRIA KENNEBUNK,ALP40,ASSISTED LIVING PROGRAM,ACTIVE,1 PENNY LN,,KENNEBUNK,ME,04043-6635,23031,YORK,US,+1 (207) 883-3889,+1 (207) 467-9121,,9/17/2017,"Dementia/Alzheimer's, Type II - Medication and Nursing",HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-55,ATRIA SCARBOROUGH,ATRIA SCARBOROUGH,RCD38667,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,18 BLACK POINT RD,,SCARBOROUGH,ME,04074-9816,23005,CUMBERLAND,US,+1 (207) 883-3889,+1 (207) 883-1068,,5/3/2018,Dementia/Alzheimer's,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-56,ATWOOD LANE,ATWOOD LANE,RCA41,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,25 OXBOW LANE,,WHITEFIELD,ME,4353,23015,LINCOLN,US,+1 (207) 549-3542,+1 (207) 549-7197,,3/18/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-57,AUBURN,AUBURN,PNC38605,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,30 SACRED HEART PL,,AUBURN,ME,04210-4938,23001,ANDROSCOGGIN,US,+1 (207) 312-5726,+1 (207) 453-9845,,8/15/2017,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-58,AUBURN GROUP HOME,AUBURN GROUP HOME,PND38682,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,109 DAVIS AVE,,AUBURN,ME,04210-4767,23001,ANDROSCOGGIN,US,+1 (207) 783-8671,+1 (844) 468-9584,,6/30/2019,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-59,AUBURN RESIDENTIAL CARE CENTER,AUBURN RESIDENTIAL CARE CENTER,PND1551,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,185 SUMMER ST,,AUBURN,ME,04210-5125,23001,ANDROSCOGGIN,US,+1 (207) 786-0676,+1 (207) 784-5685,,8/15/2018,,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-60,AUGUSTA ONE,AUGUSTA ONE,RCC38619,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,26 CREATIVE WAY,,AUGUSTA,ME,04330-8329,23011,KENNEBEC,US,+1 (207) 423-0531,+1 (207) 621-2913,Intersection 735 Riverside Drive,5/2/2019,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-61,AUGUSTA TWO,AUGUSTA TWO,RCC38618,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,33 CREATIVE WAY,,AUGUSTA,ME,04330-8329,23011,KENNEBEC,US,+1 (207) 423-0531,+1 (207) 621-9864,,5/9/2019,Waiver Home,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-62,AVITA OF BRUNSWICK,AVITA OF BRUNSWICK,PND38647,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,89 ADMIRAL FITCH AVE,,BRUNSWICK,ME,04011-2700,23005,CUMBERLAND,US,+1 (207) 729-6222,+1 (207) 729-0222,,11/29/2017,Dementia/Alzheimer's,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
USA-ME-97-AssistedLiving-output-63,AVITA OF STROUDWATER,AVITA OF STROUDWATER,PND2240,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,320 SPRING ST,,WESTBROOK,ME,04092-3915,23005,CUMBERLAND,US,+1 (207) 857-9007,+1 (207) 857-9017,,9/25/2018,Dementia/Alzheimer's,HEALTH AND HUMAN SERVICES,DIV OF LICENSING AND REG.,ASSISTED HOUSING,Assisted Living
