row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Toll-Free Phone,Fax,Email,Services Hours,Wheelchair accessible,Parking Notes,Country,type
Canada-BC-30-BC-AssistedLiving-output-35,Fleetwood Place,16011 83 Avenue,Surrey,V4N 0N2,BC,604.590.6860,,, ,"Mon - Sun, 24 hours daily",,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-36,Glenwood Care Centre,1458 Glenwood Drive,Agassiz,V0M 1A2,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-37,Sherwood Crescent Manor,32073 Sherwood Crescent,Abbotsford,V2T 1C1,BC,,,, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-38,Rosemary Heights Seniors Village,15240 34 Avenue,Surrey,V3S 2J9,BC,,,, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-39,Cartier House,1419 Cartier Avenue,Coquitlam,V3K 2C6,BC,604.939.4654,,604.939.6442, ,"Mon - Sun, 24 hours",,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-40,Eden Care Centre,9100 Charles Street,Chilliwack,V2P 5K6,BC,604.792.8166,,604.792.1111, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-41,Dufferin Care Centre,1131 Dufferin Street,Coquitlam,V3B 7X5,BC,604.552.1166,,604.552.3116, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-42,Evergreen Hamlets,15660 84 Avenue,Surrey,V4N 0W3,BC,604.597.7906,,604.597.9025, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-43,Menno Hospital,32945 Marshall Road,Abbotsford,V2S 1K1,BC,604.859.7631,,604.859.6931, ,"Mon - Fri, 8 a.m. - 4 p.m.",,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-44,Finnish Manor,3460 Kalyk Avenue,Burnaby,V5G 3B2,BC,604.434.2666,,604.439.7448, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-45,Langley Lodge,5451 204 Street,Langley,V3A 5M9,BC,604.530.2305,,604.532.4205, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-46,Guildford Seniors' Village,14568 104A Avenue,Surrey,V3R 1R3,BC,604.582.0808,,604.582.7011, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-47,Hilton Villa Care Centre,13525 Hilton Road,Surrey,V3R 5J3,BC,604.588.3424,,604.588.3433, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-48,New Vista Care Centre,7550 Rosewood Street,Burnaby,V5E 3Z3,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-49,Delta View Life Enrichment Centre,9341 Burns Drive,Delta,V4K 3N3,BC,604.596.8842,,604.596.7613, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-50,Harmony Court,7195 Canada Way,Burnaby,V5E 3R7,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-51,Jackman Manor,27477 28 Avenue,Langley,V4W 3L9,BC,604.856.4161,,604.856.2562, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-52,Crescent Gardens,1222 King George Boulevard,Surrey,V4A 9W6,BC,604.541.8861,,604.541.8871, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-53,Burquitlam Lions Care Centre,560 Sydney Avenue,Coquitlam,V3K 6A4,BC,604.939.6485,,604.939.4728, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-54,Tabor Home,31944 Sunrise Crescent,Abbotsford,V2T 1N5,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-55,Lakeshore Care Centre,657 Gatensbury Street,Coquitlam,V3J 5G9,BC,604.939.9277,,604.939.6518, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-56,Normanna Rest Home,7725 4th Street,Burnaby,V3N 5B6,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-57,George Derby Centre,7550 Cumberland Street,Burnaby,V3N 3X5,BC,604.521.2676,,604.521.0220, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-58,Evergreen Baptist Care Home,1550 Oxford Street,White Rock,V4B 3R5,BC,604.536.3344,,604.541.3803, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-59,Maplewood House,1919 Jackson Street,Abbotsford,V2S 2Z8,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-60,Menno Home,32910 Brundige Avenue,Abbotsford,V2S 1N2,BC,604.853.2411,,604.859.0751, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-61,Dania Home,4175 Norland Avenue,Burnaby,V5G 3S7,BC,,,, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-62,Fair Haven United Church Homes,7557 Sussex Avenue,Burnaby,V5J 3V6,BC,604.435.0525,,604.435.7031, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-63,Delta View Habilitation Centre,9341 Burns Drive,Delta,V4K 3N3,BC,604.596.8842,,604.596.8858, ,24-Jul,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-64,KinVillage Care Home,5410 10 Avenue,Delta,V4M 3X8,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-65,Courtyard Terrace,3730 Burke Street,Burnaby,V5G 4H7,BC,,,, ,,,,Canada,Assisted Living
Canada-BC-30-BC-AssistedLiving-output-66,"St. Vincent's Hospital, Langara",255 62nd Avenue W,Vancouver,V5X 4V4,BC,,,, ,,,,Canada,Assisted Living
