row_id,name,license_num,licensure_status,care_level,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,provides_nursing,country,facility_type
Canada-PEI-5-AssistedLiving-5-AssistedLiving-21,Emerson Lodge,,,,,,(902) 892-0791,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-22,Old Rose Lodge,,,,,,(902) 368-8313,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-23,Smith Lodge,,,,,,(902) 892-4220,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-24,Stamper Residence,,,,,,(902) 894-3815,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-25,Tenderwood Lodge,,,,,,(902) 566-5174,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-26,The Mount Continuing Care Community,,,,,,(902) 370-8888,,,,,,Wellington,PEI,,TRUE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-27,Valley House,,,,,,(902) 628-8268,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-28,Whisperwood Villa,,,,,,(902) 566-5556,,,,,,Wellington,PEI,,TRUE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-29,South Shore Villa,,,,,,(902) 658-2228,,,,,,Wellington,PEI,,TRUE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-30,Rosewood Residence,,,,,,(902) 964-2436,,,,,,Wellington,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-31,Villa Marguerite,,,,,,(902) 963-3962,,,,,,North Rustico,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-32,Andrews of Stratford,,,,,,(902) 367-4100,,,,,,Stratford,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-33,MacKinnon Pines,,,,,,(902) 838-2656,,,,,,Montague,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-34,Perrins Marina Villa,,,,,,(902) 838-4075,,,,,,Montague,PEI,,FALSE,Canada,Assisted Living
Canada-PEI-5-AssistedLiving-5-AssistedLiving-35,Bayview Lodge,,,,,,(902) 687-3122,,,,,,Souris,PEI,,FALSE,Canada,Assisted Living
