row_id,Facility Name,Address1,Address2,City,Zip,State,Phone,Email,Website,Country,facility_type
USA-IN-83-IN-AssistedLiving-output-42,Riverbend Assisted Living and Memory Care,2715 Charlestown Pike,,Jeffersonville,47130,IN,(812) 280-0965,,www.riverbend-living.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-43,Rosegate Commons,7525 Rosegate Drive,,Indianapolis,46237,IN,317-889-0100,info@americanSRcommunities.com,http://www.ascseniorcare.com/location/rosegate-assisted-living/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-44,Rosewalk at Lutherwoods Assisted Living,1301 N Ritter Ave,,Indianapolis,46219,IN,317-402-1721,info@ascseniorcare.com,www.ascseniorcare.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-45,Silver Birch of Hammond,5620 Sohl Avenue,,Hammond,46320,IN,219-937-9085,administrator@silverbirch-hammond.com,www.gardant.com/silverbirchhammond/index.aspx,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-46,Sugar Grove Senior Living,5865 Sugar Lane,,Plainfield,46168,IN,317-839-7900,,www.capitalsenior.com/sugargrove,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-47,The Hearth at Stones Crossing,2339 South State Road 135,,Greenwood,46143,IN,317-535-0422,ddickey@thehearthllc.net,http://stonescrossing.thehearth.net/,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-48,The Hearth at Tudor Gardens,11755 N. Michigan Road,,Zionsville,46077,IN,317-873-6300,adkeller@gmail.com,tudorgardens.thehearth.net,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-49,The Hearth at Windermere,9745 Olympia Drive,,Fishers,46037,IN,317-913-7400,hmyers@capitalseniorliving.net,http://www.capitalsenior.com/thehearthatwindermere/?gclid=CLrrk4yswckCFQuLaQodtoMGlg,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-50,The Leland Legacy,900 South A Street,,Richmond,47374,IN,765-939-6500,amarquis@TheLelandLegacy.com,www.TheLelandLegacy.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-51,The Stratford,2460 Glebe St,,Carmel,46032,IN,(317) 733-9560,AButtery@Stratford-Living.com,Stratford-Living.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-52,The Wellington at Kokomo,2800 South Dixon Road,,Kokomo,46902,IN,765-455-2828,,www.wellingtonatkokomo.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-53,Transitions at North Willow,1703 W 86th Street,,Indianapolis,46163,IN,317-876-2916,shellymcfall@traditionsmgmt.net,www.traditionsatnorthwillow.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-54,Vannoni Living Center,500 Lincoln Way East,,Mishawaka,46544,IN,574-855-3937,stacyj@mishha.org,,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-55,Westside Garden Plaza & The Bridge,8616 West 10th St.,,Indianapolis,46234,IN,317-271-1020,tcornforth@thecenturypa.com,www.westsideretirement.com,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-56,Woodview Assisted Living,3320 E State Blvd,,Fort Wayne,46805,IN,260-483-4343,jmharris@capitalseniorliving.net,www:capitalsenior.com/woodview,US,Assisted Living
USA-IN-83-IN-AssistedLiving-output-57,Wynnfield Crossing Senior Living,1729 Wabash Avenue,,Rochester,46975,IN,574-224-2400,kcox@capitalseniorliving.net,www.WynnfieldCrossing.com,US,Assisted Living
