row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,mailing_street_address,mailing_po_box,mailing_city,mailing_province,mailing_postal_code,mailing_country,street_address,city,province,postal_code,country
USA-LA-96-All-96-All-11,Allen Oaks Nursing and Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11911/catid/173,Ms Amy D Tolleson,(318)335-1469,,(318)335-9573,Amytolleson75@gmail.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 683,Oakdale,LA,71463,,909 E. 6th Avenue,Oakdale,LA,71463,USA
USA-LA-96-All-96-All-12,Bayou Vista Community Care Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11925/catid/173,Megan D Williams,(318)346-2080,,(318)346-7879,mdwilliams@commcare.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P O Box 270,Bunkie,LA,71322,,323 Evergreen Hwy,Bunkie,LA,71322,USA
USA-LA-96-All-96-All-13,Bayou Chateau Nursing Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11924/catid/173,Mrs Jill  Devillier,(318)941-2294,,(318)941-2957,bcncadm@centurytel.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16232 Hwy. 1,,Simmesport,LA,71369,,16232 Hwy. 1,Simmesport,LA,71369,USA
USA-LA-96-All-96-All-14,Amelia Manor Nursing Home,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11912/catid/173,Mr Gregory M Sarver,(337)234-7331,,(337)235-9734,administrator@ameliamanor.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903 Center Street,,Lafayette,LA,70501,,903 Center Street,Lafayette,LA,70501,USA
USA-LA-96-All-96-All-15,"Baton Rouge General Medical Center, SNF",,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11921/catid/173,Edgardo Tenreiro,(225)387-7161,,(225)387-7093,edgardo.tenreiro@brgeneral.org,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600 Florida Blvd.,,Baton Rouge,LA,70806,,3600 Florida Blvd.,Baton Rouge,LA,70806,USA
USA-LA-96-All-96-All-16,Baton Rouge Health Care Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11922/catid/173,"Charles R Barber, Jr",(225)774-2141,,(225)774-2143,cbarberjr@commcare.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5550 Thomas Road,,Baton Rouge,LA,70811,,5550 Thomas Road,Baton Rouge,LA,70811,USA
USA-LA-96-All-96-All-17,Avoyelles Manor Nursing Home,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11919/catid/173,"Mr Phillip B Pepiton, Jr",(318)922-3404,,(318)922-3680,amnhome@yahoo.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P O Box 370,Dupont,LA,71329,,"5682 Hwy. 107, South",Dupont,LA,71329,USA
USA-LA-96-All-96-All-18,Basile Care Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11920/catid/173,Mr Freddie  Arceneaux,(337)432-6663,,(337)432-6664,basilecare@yahoo.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907 E. Schambers,,Basile,LA,70515,,2907 E. Schambers,Basile,LA,70515,USA
USA-LA-96-All-96-All-19,Assumption Healthcare and Rehabilitation,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11915/catid/173,Ms. Christy Larose,(985)369-6011,,(985)369-2473,clarose@dhcgrp.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252 Hwy. 402,,Napoleonville,LA,70390,,252 Hwy. 402,Napoleonville,LA,70390,USA
USA-LA-96-All-96-All-20,Camelot Leisure Living,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11935/catid/173,Robin  Mears,(318)757-7557,,(318)757-7918,clladmin@paramounthcla.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6818 Hwy. 84,,Ferriday,LA,71334,,6818 Hwy. 84,Ferriday,LA,71334,USA
USA-LA-96-All-96-All-21,Capitol House Nursing & Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11938/catid/173,James P Rambin,(225)275-0474,,(225)272-4930,prambin@capitolhouse.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11546 Florida Blvd.,,Baton Rouge,LA,70815,,11546 Florida Blvd.,Baton Rouge,LA,70815,USA
USA-LA-96-All-96-All-22,Camelot Place,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11937/catid/173,Ms James  Richardson,(337)783-8101,,(888)641-3781,jrichardson@cci.la,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Rayne-Crowley Highway,,Rayne,LA,70578,,2021 Rayne-Crowley Highway,Rayne,LA,70578,USA
USA-LA-96-All-96-All-23,Camelot of Broussard,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11936/catid/173,William Youmg,(337)839-9005,,(337)839-2671,byoung@cci.la,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418 Albertson Parkway,,Broussard,LA,70518,,418 Albertson Parkway,Broussard,LA,70518,USA
USA-LA-96-All-96-All-24,Broadway Nursing and Rehabilitation Ctr. (The),,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11933/catid/173,Blake  Lipari,(985)532-1011,,(985)532-1015,blipari@elderoutreach.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7534 Highway 1,,Lockport,LA,70374,,7534 Highway 1,Lockport,LA,70374,USA
USA-LA-96-All-96-All-25,Bradford Rehabilitation Center (The),,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11932/catid/173,Marty D. Brunson,(318)688-1010,,(318)688-1099,mbrunson@seniorcarecentersltc.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050 Baird Rd.,,Shreveport,LA,71118,,3050 Baird Road,Shreveport,LA,71118,USA
USA-LA-96-All-96-All-26,Bethany MHS Health Care Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11931/catid/173,Mr Dan  Jarvis,(337)234-2459,,(337)234-9483,djarvis@cox-internet.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406 St. Julien Street,,Lafayette,LA,70506,,406 St. Julien Street,Lafayette,LA,70506,USA
USA-LA-96-All-96-All-27,"Bernice Nursing and Rehabilitation Center, LLC",,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11930/catid/173,Casy  Spatafora,(318)285-7600,,(318)285-0105,82cspatafora@tarahc.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P O Box 596,Bernice,LA,71222,,101 Reeves Street,Bernice,LA,71222,USA
USA-LA-96-All-96-All-28,Belle Vie Living Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11929/catid/173,Christina  Green,(504)393-9595,,(504)392-8899,CGreen@bellevieliving.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535 Commerce Street,,Gretna,LA,70056,,535 Commerce Street,Gretna,LA,70056,USA
USA-LA-96-All-96-All-29,Baton Rouge Heritage House II,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11923/catid/173,Paige D Mclean,(225)924-2851,,(225)924-2975,pmclean@asimgt.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335 Wooddale Blvd.,,Baton Rouge,LA,70806,,1335 Wooddale Blvd.,Baton Rouge,LA,70806,USA
USA-LA-96-All-96-All-30,Carrington Place of Springhill,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11943/catid/173,Gary  Mize,(318)539-3527,,(318)539-3588,EDSpringhill@Carringtonplaces.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Po Box 813,,Springhill,LA,71075,,215 1st Street N.E.,Springhill,LA,71075,USA
USA-LA-96-All-96-All-31,Carrington Place of Baton Rouge,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11941/catid/173,Ronald  Albin,(225)766-0130,,(225)766-0145,EDBatonrouge@Carringtonplaces.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8225 Summa Avenue,,Baton Rouge,LA,70809,,8225 Summa Avenue,Baton Rouge,LA,70809,USA
USA-LA-96-All-96-All-32,Carroll Nursing Home,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11944/catid/173,Ms Lisa C Reardon,(318)428-3249,,(318)428-7547,CNHCOX@YAHOO.COM,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 788,Oak Grove,LA,71263,,307 N. Castleman Street,Oak Grove,LA,71263,USA
USA-LA-96-All-96-All-33,Charlyn Rehab & Nursing Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11945/catid/173,Joseph  Purvis,(318)435-6116,,(318)435-3993,charlyn@charlynrehab.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804 Polk Street,,Winnsboro,LA,71295,,804 Polk Street,Winnsboro,LA,71295,USA
USA-LA-96-All-96-All-34,Chateau Living Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11948/catid/173,Mr Matthew  Bourque,(504)464-0604,,(504)464-0808,mbourque@plantationmgt.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716 Village Road,,Kenner,LA,70065,,716 Village Road,Kenner,LA,70065,USA
USA-LA-96-All-96-All-35,Care Center (The),,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11939/catid/173,Keri T Chilton,(225)275-7570,,(225)275-0723,KTChilton@plantationmgt.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11188 Florida Blvd.,,Baton Rouge,LA,70815,,11188 Florida Blvd.,Baton Rouge,LA,70815,USA
USA-LA-96-All-96-All-36,Carrington Place of New Orleans,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11942/catid/173,Henry A Cooley Jr,(504)394-5807,,(504)394-5980,EDNeworleans@Carringtonplaces.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5301 Tullis Drive,,New Orleans,LA,70131,,5301 Tullis Drive,New Orleans,LA,70131,USA
USA-LA-96-All-96-All-37,Care Center of DeQuincy (The),,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11940/catid/173,L. Todd  Sonnier,(337)786-2466,,(337)786-2472,dequincyadmin@managementseven.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. O. Box 1219,Dequincy,LA,70633,,602 N. Division Street,Dequincy,LA,70633,USA
USA-LA-96-All-96-All-38,Colonial Manor Nursing & Rehab Ctr,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11958/catid/173,Mr Robert D Landry,(318)728-3251,,(318)728-6552,colonialadmin@cgdsl.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. O. Box 874,Rayville,LA,71269,,307 Foster Street,Rayville,LA,71269,USA
USA-LA-96-All-96-All-39,Chateau De Notre Dame,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11947/catid/173,Mr Ronnie  Barrera,(504)866-2741,,(504)866-2861,rbarrera@arch-no.org,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2832 Burdette Street,,New Orleans,LA,70125,,2832 Burdette Street,New Orleans,LA,70125,USA
USA-LA-96-All-96-All-40,Chateau D'Ville Rehab and Retirement,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11946/catid/173,Casey  Kennedy,(225)473-8614,,(225)473-4331,ckennedy@chateaudville.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401 Vatican Drive,,Donaldsonville,LA,70346,,401 Vatican Drive,Donaldsonville,LA,70346,USA
USA-LA-96-All-96-All-41,Colfax Reunion Nursing & Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11956/catid/173,Mr David B Elias,(318)627-3207,,(318)627-3220,belias@CRNR.us,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366 Webb Smith Drive,,Colfax,LA,71417,,366 Webb Smith Drive,Colfax,LA,71417,USA
USA-LA-96-All-96-All-42,Claiborne Rehabilitation,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11955/catid/173,Stephanie Bryant,(318)927-3586,,(318)927-4656,sbryant@paramounthcla.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 1030,Homer,LA,71040,,6942 HWY. 79,Homer,LA,71040,USA
USA-LA-96-All-96-All-43,Camelot Brookside,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11934/catid/173,Mr Lauren E Lopez,(337)824-2466,,(337)824-2465,lgranier@cci.la,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330 Frontage Road,,Jennings,LA,70546,,3330 Frontage Road,Jennings,LA,70546,USA
USA-LA-96-All-96-All-44,Colonial Care Retirement Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11957/catid/173,Torrel  Bridges,(225)272-9339,,(225)272-4171,EDColonial@colonialretirementcenter.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14686 Old Hammond Hwy.,,Baton Rouge,LA,70816,,14686 Old Hammond Hwy.,Baton Rouge,LA,70816,USA
USA-LA-96-All-96-All-45,Claiborne Healthcare Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11954/catid/173,Ms Julie  Cash,(318)631-3426,,(318)638-6630,claiborne.adm@nexion-health.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536 Claiborne Ave.,,Shreveport,LA,71103,,1536 Claiborne Ave.,Shreveport,LA,71103,USA
USA-LA-96-All-96-All-46,Chateau St. James Rehab and Retirement,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11949/catid/173,Chris Delrie,(225)869-5725,,(225)869-9428,cdelrie@chateaustjames.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 Jefferson Hwy.,,Lutcher,LA,70071,,1980 Jefferson Hwy.,Lutcher,LA,70071,USA
USA-LA-96-All-96-All-47,Chateau Terrebonne Health Care-SNF,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11950/catid/173,Charlie  Pearce,(985)872-4553,,(985)872-1803,cpearce@cthealthcare.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386 W.Tunnel Blvd.,,Houma,LA,70360,,1386 W.Tunnel Blvd.,Houma,LA,70360,USA
USA-LA-96-All-96-All-48,Cherry Ridge,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11951/catid/173,Kathy  Bowers,(318)281-6933,,(318)281-1734,kbowers@cherryridgeofbastrop.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P O Box 941,Bastrop,LA,71220,,5980 Cherry Ridge Rd.,Bastrop,LA,71220,USA
USA-LA-96-All-96-All-49,Courtyard of Natchitoches,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11965/catid/173,Ms Nanette S Bienvenu,(318)214-4361,,(318)214-4484,Nanette.bienvenu@nrmchospital.org,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708 Keyser Avenue,,Natchitoches,LA,71457,,708 Keyser Avenue,Natchitoches,LA,71457,USA
USA-LA-96-All-96-All-50,Courtyard Manor Nurse Care Ctr & Assisted Living,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11964/catid/173,Elizabeth D Miller,(337)237-3940,,(337)769-1113,edawnmiller@cox.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306 Sidney Martin Rd.,,Lafayette,LA,70507,,306 Sidney Martin Rd.,Lafayette,LA,70507,USA
USA-LA-96-All-96-All-51,Covenant Home,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11966/catid/173,Ms. Margaret E. Hoffmann,(504)897-6216,,(504)897-6226,covenanthome@aol.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5919 Magazine Street,,New Orleans,LA,70115,,5919 Magazine Street,New Orleans,LA,70115,USA
USA-LA-96-All-96-All-52,Columns Community Care Center(The),,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11961/catid/173,Luke  Brouillette,(318)339-4344,,(318)339-4348,lbrouillette@commcare.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025 Fourth St.,,Jonesville,LA,71343,,3025 Fourth St.,Jonesville,LA,71343,USA
USA-LA-96-All-96-All-53,Cypress Point Nursing and Rehabilitation Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11967/catid/173,Larry  Tucker,(318)747-2700,,(318)747-5947,cypresspointadmin@centralmanagement.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2901 Douglas Street,,Bossier City,LA,71111,,2901 Douglas Street,Bossier City,LA,71111,USA
USA-LA-96-All-96-All-54,Colonial Oaks Living Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11960/catid/173,Mr David  Hargrave,(504)887-6414,,(504)455-2964,dhargrave@colonialoaksliving.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312 Ithaca Street,,Metairie,LA,70006,,4312 Ithaca Street,Metairie,LA,70006,USA
USA-LA-96-All-96-All-55,Consolata Home,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11962/catid/173,"Mr Charles  Delahoussaye, Jr",(337)365-8226,,(337)365-8626,chasdel@cox.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2319 E. Main Street,,New Iberia,LA,70560,,2319 E. Main Street,New Iberia,LA,70560,USA
USA-LA-96-All-96-All-56,Deerfield Nursing & Rehab Center,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11968/catid/173,Mr Delbert  Wilbanks,(318)878-2417,,(318)878-8408,delbertwilbanks@gmail.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 307,Delhi,LA,71232,,522 Main St.,Delhi,LA,71232,USA
USA-LA-96-All-96-All-57,Christwood,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11953/catid/173,Nikki  Gee,(985)898-0515,,(985)259-8802,ngee@christwoodrc.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 Christwood Blvd.,,Covington,LA,70433,,100 Christwood Blvd.,Covington,LA,70433,USA
USA-LA-96-All-96-All-58,"Cornerstone Village South, Inc.",,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11963/catid/173,Nandi  Linscombe,(337)981-5335,,(337)981-0775,Nandi@cornerstonevillage.com,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103 W. Martial Avenue,,Lafayette,LA,70508,,103 W. Martial Avenue,Lafayette,LA,70508,USA
USA-LA-96-All-96-All-59,Colonial Nursing Home Inc.,,,,,,,,,,,http://new.dhh.louisiana.gov/index.cfm/directory/detail/11959/catid/173,Ms Pamela  Firmin,(318)253-4556,,(318)253-4550,cnh@kricket.net,,,,,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426 N. Washington Street,,Marksville,LA,71351,,426 N. Washington Street,Marksville,LA,71351,USA
