Facility Name,Facility Type,Address1,Address2,City,Zip,State,Country,Phone,Latitude,Longitude
Fountain View Assisted Living,ALP/D,5501 Gordon Dr,,Sioux City,51106,IA, USA,Woodbury (97),42.4772293,-96.3372811
Fountains Assisted Living,ALP/D,3752 Thunder Ridge Rd,,Bettendorf,52722,IA, USA,Scott (82),41.580997,-90.48038199999999
Friesland AL and Zeeland Memory Support,ALP/D,1742 Main St,,Pella,50219,IA, USA,Marion (63),41.42844499999999,-92.91569899999999
Garden View Senior Community,ALP/D,800 Darby Dr,,Monona,52159,IA, USA,Clayton (22),43.05006539999999,-91.400571
Gardens at Luther Park,ALP/D,2910 E 16th St,,Des Moines,50316,IA, USA,Polk (77),41.621728,-93.5950685
Gardens of Cedar Rapids,ALP/D,5710 Dean Rd SW,,Cedar Rapids,52404,IA, USA,Linn (57),41.94495469999999,-91.748358
Glenwood Place,ALP/D,2907 S 6th St,,Marshalltown,50158,IA, USA,Marshall (64),42.01106910000001,-92.92337769999999
Grand Haven,ALP/D,201 E Franklin St,,Eldridge,52748,IA, USA,Scott (82),41.656576,-90.5807449
Grand Meadows,ALP/D,5300 Grand Meadow Dr,,Asbury,52002,IA, USA,Dubuque (31),42.5130116,-90.7545344
Hansen House,ALP/D,2331 Nash Blvd,,Council Bluffs,51501,IA, USA,Pottawattamie (78),41.2743645,-95.8786688
Heritage at Northern Hills,ALP/D,4002 Teton Trace,,Sioux City,51104,IA, USA,Woodbury (97),42.5386473,-96.3855882
Holy Spirit,ALP/D,1701 W 25th St,,Sioux City,51103,IA, USA,Woodbury (97),42.5171268,-96.4330986
Homestead of Centerville,ALP/D,19999 Old Hwy 5,,Centerville,52544,IA, USA,Appanoose (04),40.7533117,-92.8597174
Homestead of Creston Operations LLC,ALP/D,1709 W Prairie St,,Creston,50801,IA, USA,Union (88),41.06798999999999,-94.382137
Homestead of Knoxville Memory Care Center,ALP/D,711 Willetts Dr,,Knoxville,50138,IA, USA,Marion (63),41.31297300000001,-93.1184746
Homestead of Osceola,ALP/D,334 N W View Dr,,Osceola,50213,IA, USA,Clarke (20),41.0375467,-93.78650050000002
Homestead of Oskaloosa,ALP/D,2102 S Market St,,Oskaloosa,52577,IA, USA,Mahaska (62),41.276363,-92.643993
Jersey Ridge Place,ALP/D,5605 Jersey Ridge Rd,,Davenport,52807,IA, USA,Scott (82),41.5777434,-90.5408446
John's Harbor Memory Loss Center,ALP/D,3520 Grand Ave,,Des Moines,50312,IA, USA,Polk (77),41.58339549999999,-93.66457609999999
Journey Senior Living of Ankeny,ALP/D,3602 NW 5th St,,Ankeny,50023,IA, USA,Polk (77),41.7362072,-93.64666919999999
"Kensington, The",ALP/D,2210 Ave H,,Fort Madison,52627,IA, USA,Lee (56),40.63206630000001,-91.3373817
Keystone Cedars,ALP/D,6325 Rockwell Dr NE,,Cedar Rapids,52402,IA, USA,Linn (57),42.040856,-91.64957199999999
Keystone Place at Forevergreen,ALP/D,1275 W Forevergreen Rd,,North Liberty,52317,IA, USA,Johnson (52),41.72316410000001,-91.6193285
Lakeside Village,ALP/D,2067 IA-4,,Panora,50216,IA, USA,Guthrie (39),41.7087871,-94.3633973
Lakeview Lodge,ALP/D,312 Southbrooke Dr,,Waterloo,50702,IA, USA,Blackhawk (07),42.45831409999999,-92.35043309999999
Legacy Gardens,ALP/D,15 Silvercrest Pl,,Iowa City,52240,IA, USA,Johnson (52),41.64778099999999,-91.481759
Legacy Pointe,ALP/D,1020 S Scott Blvd,,Iowa City,52240,IA, USA,Johnson (52),41.64925419999999,-91.4816555
Maple Memory Lane,ALP/D,100 Bolger Dr,,Fayette,52142,IA, USA,Fayette (33),42.84185199999999,-91.809242
MeadowView Memory Care Village,ALP/D,3005 F Ave NW,,Cedar Rapids,52405,IA, USA,Linn (57),41.9791468,-91.71192549999999
"Newton Village, Inc.",ALP/D,122 N 5th Ave W,,Newton,50208,IA, USA,Jasper (50),41.703235,-93.0539108
Oak Park Place,ALP/D,1381 Oak Park Pl,,Dubuque,52002,IA, USA,Dubuque (31),42.4968672,-90.73457570000001
Oaknoll AL,ALP/D,1 Oaknoll Dr,,Iowa City,52246,IA, USA,Johnson (52),41.6512374,-91.5555969
Oakwood Place AL,ALP/D,4126 Northwest Blvd,,Davenport,52806,IA, USA,Scott (82),41.56350219999999,-90.5812098
Parker Place Retirement,ALP/D,707 IA-57,,Parkersburg,50665,IA, USA,Butler (12),42.5704867,-92.7853274
Pioneer Place AL,ALP/D,415 E Pioneer Rd,,Lone Tree,52755,IA, USA,Johnson (52),41.48150770000001,-91.4173079
Prairie Hills at Clinton,ALP/D,1791-1625 13th Ave N,,Clinton,52732,IA, USA,Clinton (23),41.8592817,-90.22555969999999
Prairie Hills at Des Moines,ALP/D,5815 SE 27th St,,Des Moines,50320,IA, USA,Polk (77),41.53170470000001,-93.5646938
Prairie Hills at Independence,ALP/D,505 Enterprise Dr,,Independence,50644,IA, USA,Buchanan (10),42.4501854,-91.898026
Prairie Hills at Ottumwa,ALP/D,173 E Rochester Rd,,Ottumwa,52501,IA, USA,Wapello (90),41.0601505,-92.40559859999999
Prairie Hills at Penn Place,ALP/D,2 Pennsylvania Pl,,Ottumwa,52501,IA, USA,Wapello (90),41.0275238,-92.3852826
Prairie Hills at Tipton,ALP/D,219 S Cedar St,,Tipton,52772,IA, USA,Cedar (16),41.7623144,-91.1295303
Promise House,ALP/D,1320 Litchfield Dr,,Hiawatha,52233,IA, USA,Linn (57),42.042489,-91.690934
QHC Madison Square LLC,ALP/D,209 W Jefferson St,,Winterset,50273,IA, USA,Madison (61),41.335511,-94.01587699999999
QHC Villa Cottages,ALP/D,925 Martin Luther King Dr,,Fort Dodge,50501,IA, USA,Webster (94),42.5138253,-94.16030839999999
Reflections Assisted Living,ALP/D,512 13th St,,Wellman,52356,IA, USA,Washington (92),41.474849,-91.83476449999999
Risen Son Christian Village,ALP/D,3000 Risen Son Blvd,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.23059140000001,-95.8011642
River Ridge & Gardens at Friendship Haven,ALP/D,420 Kenyon Rd,,Fort Dodge,50501,IA, USA,Webster (94),42.4888372,-94.195821
Riverview Terrace,ALP/D,1501 St Luke Dr,,Spencer,51301,IA, USA,Clay (21),43.1261079,-95.1257603
Rowley Masonic AL Community,ALP/D,1300 28th St,,Perry,50220,IA, USA,Dallas (25),41.8398111,-94.0757395
Senior Star at Elmore Place ALPD,ALP/D,4504 Elmore Avenue,,Davenport,52807,IA, USA,Scott (82),41.5670464,-90.5246226
Shores at Pleasant Hill,ALP/D,1500 Edgewater Dr,,Pleasant Hill,50327,IA, USA,Polk (77),41.6034051,-93.52525279999999
Silvercrest at Woodlands Creek,ALP/D,12605 Woodlands Pkwy,,Clive,50325,IA, USA,Polk (77),41.6101068,-93.7903616
Silvercrest Garner Farms,ALP/D,1575 W 53rd St,,Davenport,52806,IA, USA,Scott (82),41.5735041,-90.5965717
Sitler Center for Helpful Living,ALP/D,1015 S Iowa Ave,,Washington,52353,IA, USA,Washington (92),41.289216,-91.692049
Spring Valley Senior AL,ALP/D,501 12th St,,Perry,50220,IA, USA,Dallas (25),41.8330558,-94.0919993
Summit Pointe Senior Living Community,ALP/D,3505 English Glen Ave,,Marion,52302,IA, USA,Linn (57),42.052418,-91.57305040000001
SunnyBrook of Burlington,ALP/D,5175 West Ave,,Burlington,52601,IA, USA,Des Moines (29),40.79665620000001,-91.1691967
SunnyBrook of Carroll,ALP/D,1214 E 18th St,,Carroll,51401,IA, USA,Carroll (14),42.077684,-94.849417
SunnyBrook of Fort Madison,ALP/D,5025 River Valley Rd,,Fort Madison,52627,IA, USA,Lee (56),40.63248799999999,-91.37807099999999
SunnyBrook of Mt. Pleasant,ALP/D,1406 E Linden Dr,,Mt Pleasant,52641,IA, USA,Henry (44),40.9484025,-91.53087599999999
SunnyBrook of Muscatine,ALP/D,3515 Diana Queen Dr,,Muscatine,52761,IA, USA,Muscatine (70),41.44837,-91.077815
Sunset Park Place Company LLC,ALP/D,3730 Pennsylvania Ave,,Dubuque,52002,IA, USA,Dubuque (31),42.500194,-90.7333661
Traditions at West Union,ALP/D,609 IA-150,,West Union,52175,IA, USA,Fayette (33),42.96943900000001,-91.816031
Village Ridge,ALP/D,365 Marion Blvd,,Marion,52302,IA, USA,Linn (57),42.0286628,-91.6143032
Vintage Hills at Prairie Trail,ALP/D,1275 SW State St,,Ankeny,50023,IA, USA,Polk (77),41.7175709,-93.61764459999999
Vintage Hills Retirement Community,ALP/D,604 E Hillcrest Ave,,Indianola,50125,IA, USA,Warren (91),41.38120949999999,-93.55271909999999
Vista Prairie at Fieldcrest AL,ALP/D,2501 E 6th St,,Sheldon,51201,IA, USA,O'Brien (71),43.1823607,-95.82219719999999
Vista Prairie at Keelson Harbour,ALP/D,2810 Aurora Ave,,Spirit Lake,51360,IA, USA,Dickinson (30),43.4135946,-95.1250298
Vriendschap Village ALP,ALP/D,2604 Fifield Rd,,Pella,50219,IA, USA,Marion (63),41.40739,-92.9493693
Walnut Ridge Senior Community,ALP/D,1701 Campus Dr,,Clive,50325,IA, USA,Polk (77),41.6061014,-93.77175249999999
"Waukee Memory Care, LLC",ALP/D,1505 SE Laurel St,,Waukee,50263,IA, USA,Dallas (25),41.6123456,-93.8425757
Whispering Creek,ALP/D,2607 Nicklaus Blvd,,Sioux City,51106,IA, USA,Woodbury (97),42.4635297,-96.3143094
Whispering Willow AL,ALP/D,601 Dawn Avenue,,Fredericksburg,50630,IA, USA,Chickasaw (19),42.958582,-92.1951496
Willows (The),ALP/D,710 E Arbor Ln,,Mt Pleasant,52641,IA, USA,Henry (44),40.9750206,-91.5445019
Windhaven Assisted Living Center,ALP/D,5500 S Main St,,Cedar Falls,50613,IA, USA,Blackhawk (07),42.4884289,-92.44453299999999
Windsor Manor AL,ALP/D,2015 3rd Ave N,,Estherville,51334,IA, USA,Emmet (32),43.4046153,-94.81519639999999
Windsor Manor Algona,ALP/D,512 N Finn Dr,,Algona,50511,IA, USA,Kossuth (55),43.0735309,-94.2062803
Windsor Manor Grinnell,ALP/D,229 Pearl St,,Grinnell,50112,IA, USA,Poweshiek (79),41.7343532,-92.7304355
Windsor Manor Indianola,ALP/D,608 S 15th St,,Indianola,50125,IA, USA,Warren (91),41.35374789999999,-93.53853900000001
Windsor Manor Nevada,ALP/D,1642 S G Ave,,Nevada,50201,IA, USA,Story (85),42.00473,-93.4389779
Windsor Manor Shenandoah,ALP/D,601 Harrison St,,Shenandoah,51601,IA, USA,Page (73),40.7603099,-95.35774719999999
Windsor Manor Vinton,ALP/D,1807 W 5th St,,Vinton,52349,IA, USA,Benton (06),42.166705,-92.04519599999999
Aase Haugen AL,ALP,8 Ohio St,,Decorah,52101,IA, USA,Winneshiek (96),43.30305600000001,-91.8028341
Accura Healthcare of Cherokee,ALP,921 Riverview Dr,,Cherokee,51012,IA, USA,Cherokee (18),42.75948,-95.536039
Accura Healthcare of Pomeroy,ALP,713 S Scuyler St,,Pomeroy,50575,IA, USA,Calhoun (13),42.5434163,-94.6813298
Adel Assisted Living Apartments,ALP,504 Van Fossen Ln,,Adel,50003,IA, USA,Dallas (25),41.6107025,-94.03439399999999
Afton Oaks AL,ALP,405 9th St,,Elma,50628,IA, USA,Howard (45),43.2441182,-92.4465979
Allen Place,ALP,1406 E 19th St,,Atlantic,50022,IA, USA,Cass (15),41.392293,-94.9929616
Amelia Place,ALP,57 W Ferndale Dr,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.2598279,-95.7977305
Apple Valley AL,ALP,405 27 Ave S,,Clear Lake,50428,IA, USA,Cerro Gordo (17),43.1104048,-93.3869898
Apple Valley Assisted Living,ALP,300 Lyndale Ave,,Osage,50461,IA, USA,Mitchell (66),43.2704206,-92.8181824
Apple Valley Assisted Living Charles City,ALP,801 Blunt St #39,,Charles City,50616,IA, USA,Floyd (34),43.06853090000001,-92.67573680000001
Apple Valley Hampton,ALP,1724 Central Ave E,,Hampton,50441,IA, USA,Franklin (35),42.7434547,-93.18361589999999
Arbor Heights at University,ALP,233 University Ave,,Des Moines,50314,IA, USA,Polk (77),41.6008029,-93.6210502
Arlin Falck AL,ALP,911 Ridgewood Dr,,Decorah,52101,IA, USA,Winneshiek (96),43.294223,-91.777214
Arlington Place of Grundy Center,ALP,95 D Ave,,Grundy Center,50638,IA, USA,Grundy (38),42.3643271,-92.76143760000001
Ashbrook Assisted Living,ALP,1121 N Fremont St,,Iowa Falls,50126,IA, USA,Hardin (42),42.52697269999999,-93.26147259999999
Aspen Heights Assisted Living,ALP,1410 Aspen St,,Hull,51239,IA, USA,Sioux (84),43.1935116,-96.1237991
Assisi Village Assisted Living,ALP,1001 Assisi Dr,,Dubuque,52001,IA, USA,Dubuque (31),42.5328737,-90.6707496
Avoca Lodge AL,ALP,612 York Rd,,Avoca,51521,IA, USA,Pottawattamie (78),41.5058679,-95.3860383
Ballard Creek Community,ALP,908 US-69,,Huxley,50124,IA, USA,Story (85),41.9026725,-93.6081955
Bavarian Meadows,ALP,632 L14,,Remsen,51050,IA, USA,Plymouth (75),42.8088922,-95.9586211
Belle Haven Independent and Assisted Living,ALP,815 Luick's Ln N,,Belmond,50421,IA, USA,Wright (99),42.8537383,-93.60300029999999
Bethany Heights Assisted Living,ALP,11 Elliott St,,Council Bluffs,51503,IA, USA,Pottawattamie (78),41.278721,-95.837435
Bickford Cottage Ames,ALP,2418 Kent Ave,,Ames,50010,IA, USA,Story (85),42.0463225,-93.6393003
Bickford Cottage Cedar Falls,ALP,5101 University Ave,,Cedar Falls,50613,IA, USA,Blackhawk (07),42.5082347,-92.4187456
Bickford Cottage I Sioux City,ALP,4020 Indian Hills Dr,,Sioux City,51108,IA, USA,Woodbury (97),42.5394644,-96.37333869999999
Brown Deer Place,ALP,1500 1st Ave,,Coralville,52241,IA, USA,Johnson (52),41.69339299999999,-91.567447
Bryhl Assisted Living,ALP,7511 University Ave,,Cedar Falls,50613,IA, USA,Blackhawk (07),42.51163500000001,-92.449517
Cardinal Grove,ALP,1355 Division St,,Garner,50438,IA, USA,Hancock (41),43.0920308,-93.6090133
Carlisle Center for AL,ALP,685 Cole St,,Carlisle,50047,IA, USA,Warren (91),41.49578200000001,-93.4939594
Cedar Place Assisted Living,ALP,812 Cedar St,,Story City,50248,IA, USA,Story (85),42.18285849999999,-93.5918748
Cedar Vale,ALP,100 Poppe Ln,,Nashua,50658,IA, USA,Chickasaw (19),42.95591950000001,-92.532514
Char Mac AL of Lawton,ALP,200 E Char-Mac Dr,,Lawton,51030,IA, USA,Woodbury (97),42.4751649,-96.1838398
CHAR-MAC AL OF HOLSTEIN/THE RIDGE,ALP,1500 S Kiel St,,Holstein,51025,IA, USA,Ida (47),42.4762521,-95.5372551
Char-Mac of Manning,ALP,203 11th St,,Manning,51455,IA, United States,Carroll (14),41.902601,-95.05693
Cherry Ridge,ALP,217 US-30,,Mt Vernon,52314,IA, USA,Linn (57),41.916029,-91.41961959999999
Circle Terrace Lodge,ALP,155 Circle Terrace,,Manly,50456,IA, USA,Worth (98),43.282906,-93.19641
Clarence Assisted Living,ALP,408 2nd Ave,,Clarence,52216,IA, USA,Cedar (16),41.8855427,-91.06304899999999
Clearview Estates AL,ALP,500 W Columbus St,,Mt Ayr,50854,IA, USA,Ringgold (80),40.718177,-94.2424956
Cobble Creek AL of Sheldon,ALP,980 Oak St,,Sheldon,51201,IA, USA,O'Brien (71),43.1874911,-95.84396199999999
Cobble Creek AL of Spencer,ALP,2116 1st Ave E,,Spencer,51301,IA, USA,Clay (21),43.1598316,-95.14359329999999
Cobblestone Court Assisted Living,ALP,3187 140th St,,Sumner,50674,IA, USA,Bremer (09),42.8474026,-92.12350049999999
Colonial Estates,ALP,815 Colonial Ave,,Columbus Junction,52738,IA, USA,Louisa (58),41.2730367,-91.37061179999999
Community Memorial AL,ALP,233 N 8th Ave W,,Hartley,51346,IA, USA,O'Brien (71),43.1839643,-95.4868508
Cornerstone AL,ALP,302 2nd St NE,,Mason City,50401,IA, USA,Cerro Gordo (17),43.153959,-93.19577799999999
Courtyard A.L.,ALP,401 W 10th Ave N,,Clear Lake,50428,IA, USA,Cerro Gordo (17),43.1444273,-93.3896368
Courtyard Estates of Walcott,ALP,510 N Main St,,Walcott,52773,IA, USA,Scott (82),41.5903374,-90.7755923
Courtyard Terrace,ALP,717 W 3rd St,,Boone,50036,IA, USA,Boone (08),42.05950070000001,-93.9000059
Cresco Assisted Living,ALP,1004 N Elm St,,Cresco,52136,IA, USA,Howard (45),43.383429,-92.113879
Crown Pointe,ALP,1400 7th Ave SE,,Sioux Center,51250,IA, USA,Sioux (84),43.0609498,-96.16334160000001
Custom Care,ALP,1224 13th St NW,,Cedar Rapids,52405,IA, USA,Linn (57),41.9860967,-91.6932319
Davenport Lutheran AL,ALP,1128 W 53rd St,,Davenport,52806,IA, USA,Scott (82),41.57464170000001,-90.589261
Deer View Manor,ALP,1212 S Stuart St,,Sigourney,52591,IA, USA,Keokuk (54),41.3233932,-92.20701679999999
Deerfield Place,ALP,505 E Gilman St,,Sheffield,50475,IA, USA,Franklin (35),42.89317279999999,-93.2178902
"Deerfield Retirement Community, Inc.",ALP,13731 Hickman Rd,,Urbandale,50323,IA, USA,Polk (77),41.61689399999999,-93.808145
Dunlap Assisted Living,ALP,1405 Harrison Rd,,Dunlap,51529,IA, USA,Harrison (43),41.8487653,-95.58856809999999
Dutchman's Oaks Assisted LIving,ALP,921 3rd St,,Dumont,50625,IA, USA,Butler (12),42.75032019999999,-92.976849
Eagle Pointe Place,ALP,2700 Matthew John Dr,,Dubuque,52002,IA, USA,Dubuque (31),42.5214772,-90.73188569999999
Eagle Ridge Independent and Assisted Living,ALP,1329 Acre St,,Guttenberg,52052,IA, USA,Clayton (22),42.78022259999999,-91.1060699
Eiler Place,ALP,920 W Garfield St,,Clarinda,51632,IA, USA,Page (73),40.7341365,-95.0502113
Ellen Kennedy Living Center,ALP,1177 7th St SW,,Dyersville,52040,IA, USA,Dubuque (31),42.4756642,-91.1334115
Elm Crest Retirement Comm,ALP,2108 12th St,,Harlan,51537,IA, USA,Shelby (83),41.6477076,-95.3248208
Elm Springs AL Apts,ALP,900 7th St,,Allison,50602,IA, USA,Butler (12),42.75583659999999,-92.8043838
Elms,ALP,1007 3rd St,,Reinbeck,50669,IA, USA,Grundy (38),42.3239816,-92.60637179999999
"Elmwood PE, LLC",ALP,190 15th St,,Onawa,51040,IA, USA,Monona (67),42.0375476,-96.1048661
Emerald Oaks,ALP,2603 17th St,,Emmetsburg,50536,IA, USA,Palo Alto (74),43.10475729999999,-94.68458389999999
