row_id,LICENSE #,Facility Name,Facility Type,Address Line 1,City,Zip Code,County,OWNER,Adm First,Adm Last,Telephone,Certified Beds,Licensure Effective,Licensure Expiration,Region,Country
USA-KY-92-KY-NursingHome-long_term_care-11,100492,BLUEGRASS CARE & REHABILITATION CENTER,Long-Term Care,3576 PIMLICO PARKWAY,LEXINGTON,40517,FAYETTE,"LP LEXINGTON PIMLICO, LLC",TRINA,MANUEL-JAGOE,(859) 272-0608,124,11/1/2016,10/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-12,100024,BOURBON HEIGHTS NURSING HOME,Long-Term Care,2000 SOUTH MAIN STREET,PARIS,40361,BOURBON,BOURBON HEIGHTS,CHARLOTTE,ROBERTS,(606) 987-5750,99,10/1/2016,9/30/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-13,100409,BOWLING GREEN NURSING AND REHABILITATION CENTER,Long-Term Care,1561 NEWTON AVE.,BOWLING GREEN ,42104,WARREN,"BOWLING GREEN HEALTH FACILITIES, L.P.",TRACIE,SHERFEY,(270) 842-1611,66,1/1/2017,12/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-14,100689,BOYD NURSING & REHABILITATION CENTER,Long-Term Care,12800 PRINCELAND DRIVE,ASHLAND,41102,BOYD,DIVERSICARE LEASING CORPORATION,CINDY,SALYERS,(606) 928-2963,60,10/1/2016,9/30/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-15,100039,BRACKEN COUNTY NURSING & REHABILITATION CENTER,Long-Term Care,5269 ASBURY ROAD,AUGUSTA,41002,BRACKEN,"LP AUGUSTA, LLC",HILARY,SLONE,(606) 756-2156,32,5/1/2017,4/30/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-16,100070,"BRADFORD HEIGHTS HEALTH & REHAB CENTER, INC",Long-Term Care,950 HIGHPOINT DRIVE,HOPKINSVILLE,42240,CHRISTIAN,"BRADFORD HEIGHTS HEALTH & REHAB CENTER, INC",KERI,GARRETT,(270) 885-1151,100,2/1/2017,1/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-17,100542,BRADFORD SQUARE GENESIS HEALTHCARE,Long-Term Care,1040 US 127 SOUTH,FRANKFORT,40601,FRANKLIN,GENESIS HEALTHCARE,JANIE,CUNNINGHAM,(502) 875-5600,100,10/1/2017,9/30/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-18,100334,BRANDENBURG NURSING AND REHABILITATION CENTER,Long-Term Care,814 OLD EKRON RD,BRANDENBURG,40108,MEADE,"BRANDENBURG HEALTH FACILITIES, LP",Angela,Decker,(270) 422-2148,57,8/1/2017,8/31/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-19,100738,BRECKINRIDGE MEMORIAL NURSING FACILITY,Long-Term Care,1011 OLD HIGHWAY 60,HARDINSBURG,40143,BRECKINRIDGE,"BRECKINRIDGE MEMORIAL HOSPITAL, INC.",ANGELA,PORTMAN,(270) 756-7000,18,7/1/2017,6/30/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-20,101101,BRECKINRIDGE PLACE,Long-Term Care,170 SYKES BOULEVARD,MORGANFIELD,42437,UNION,"BRECKINRIDGE SERVICES, INC.",KATHY,POGUE,(270) 389-1133,22,6/1/2017,5/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-21,100022,BRIDGE POINT CENTER,Long-Term Care,7300 WOODSPOINT DRIVE,FLORENCE,41042,BOONE,"WOODSPOINT, LLC",SHANNON,SPENCER,(859) 371-5731,151,3/1/2017,2/28/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-22,100183,"BRIGHTON CORNERSTONE GROUP, LLC",Long-Term Care,55 EAST NORTH STREET,MADISONVILLE,42431,HOPKINS,"BRIGHTON CORNERSTONE GROUP, LLC",LAINIE,BRINKLEY,(270) 821-1492,66,8/1/2017,7/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-23,100572,BROOKDALE RICHMOND PLACE SNF,Long-Term Care,2770 PALUMBO DRIVE,LEXINGTON,40509,FAYETTE,"BLC LEXINGTON SNF, LLC",RANDALL,CONFORTI,(859) 269-6308,120,3/1/2017,2/27/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-24,100197,BROWNSBORO HILLS HEALTH  CARE AND REHABILITATION C,Long-Term Care,2141 SYCAMORE AVENUE,LOUISVILLE,40206,JEFFERSON,BROWNSBORO HILLS HEALTHCARE LLC,LISA,DAVIS,(502) 895-5417,96,11/1/2016,10/31/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-25,100006,CAL TURNER REHAB AND SPECIALTY CARE,Long-Term Care,456 BURNLEY RD.,SCOTTSVILLE,42164,ALLEN,BOWLING GREEN WARREN CO. COMM. HOSP. CORP.,JACQUELINE,WOODWARD,(270) 622-2800,110,3/1/2017,2/28/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-26,100329,CALVERT CITY CONVALESCENT CENTER,Long-Term Care,1201 FIFTH AVE,CALVERT CITY,42029,MARSHALL,"CALVERT CITY CONVALESCENT CENTER, INC.",LYNN,JONES,(270) 395-4124,95,11/1/2016,10/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-27,100461,CAMBRIDGE PLACE,Long-Term Care,2020 CAMBRIDGE DRIVE,LEXINGTON,40504,FAYETTE,"CAMBRIDGE PLACE GROUP, LLC",CARA,CLARK,(859) 252-6747,118,12/1/2016,11/30/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-28,100392,CAMPBELLSVILLE NURSING AND REHABILITATION CENTER,Long-Term Care,1980 OLD GREENSBURG ROAD,CAMPBELLSVILLE,42718,TAYLOR,"CAMPBELLSVILLE HEALTH FACILITIES, L.P.",NELDA,BEARD,(270) 465-3506,67,4/1/2017,3/31/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-29,101154,CARDINAL HILL SKILLED REHABILITATION UNIT,Long-Term Care,2050 VERSAILLES ROAD,LEXINGTON,40504,FAYETTE,"HEALTHSOUTH CARDINAL HILL REHABILITATION HOSPITAL,",JASON,COOK,(859) 254-5701,74,12/1/2016,11/30/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-30,100082,CARMEL HOME,Long-Term Care,2501 OLD HARTFORD RD.,OWENSBORO,42303,DAVIESS,CARMELITE SRS. OF THE DIVINE HEART OF JESUS OF KY,FRANCIS,SCULLY,(270) 683-0227,18,9/1/2017,8/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-31,100056,CARMEL MANOR,Long-Term Care,100 CARMEL MANOR ROAD,FORT THOMAS,41075,CAMPBELL,CARMEL MANOR,DIANE,MACK,(859) 781-5111,95,1/1/2017,12/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-32,100571,CARTER NURSING & REHABILITATION CENTER,Long-Term Care,250 MCDAVID BLVD,GRAYSON,41143,CARTER,DIVERSICARE LEASING CORPORATION,JOE,BRAINARD,(606) 474-7835,120,3/1/2017,2/28/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-33,100450,CEDAR LAKE LODGE,Long-Term Care,3301 JERICHO ROAD,LA GRANGE,40031,OLDHAM,"CEDAR LAKE LODGE, INC.",NATHANIAL,MEADE,(502) 222-7157,63,12/1/2016,11/30/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-34,101119,CEDAR LAKE LODGE - PARK PLACE I,Long-Term Care,325 PARK ROAD,NEW CASTLE,40050,HENRY,"CEDAR LAKE LODGE, INC.",JEFF,MINIARD,(502) 845-8996,8,11/1/2016,10/31/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-35,101120,CEDAR LAKE LODGE - PARK PLACE II,Long-Term Care,327 PARK ROAD,NEW CASTLE,40050,HENRY,"CEDAR LAKE LODGE, INC.",JEFF,MINIARD,(502) 845-8996,8,11/1/2016,10/31/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-36,101246,CEDAR LAKE LODGE SYCAMORE RUN I,Long-Term Care,4804 SYCAMORE RIDGE LN,LA GRANGE,40031,OLDHAM,"CEDAR LAKE, INC.",JEFF,MINIARD,(502)225-0671,4,8/29/2017,7/31/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-37,101247,CEDAR LAKE LODGE SYCAMORE RUN II,Long-Term Care,4804 SYCAMORE RIDGE LN,LA GRANGE,40031,OLDHAM,"CEDAR LAKE, INC.",JEFF,MINIARD,(502)225-0671,4,8/29/2017,7/31/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-38,100751,CEDAR RIDGE HEALTH CAMPUS,Long-Term Care,1217 US HIGHWAY 62 E,CYNTHIANA,41031,HARRISON,"TRILOGY HEALTHCARE OF CYNTHIANA, LLC",SOMER,HURSTON,(859) 234-2702,53,11/1/2016,10/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-39,100325,CEDARS OF LEBANON NURSING CENTER,Long-Term Care,337 SOUTH HARRISON STREET,LEBANON,40033,MARION,"THE VILLAGE OF LEBANON, LLC",DEBORAH,GIBSON,(270) 692-3121,81,6/1/2017,5/31/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-40,100037,CHARLESTON HEALTH CARE CENTER,Long-Term Care,203 BRUCE COURT,DANVILLE,40423,BOYLE,"MARLIN K. SPARKS MANAGEMENT COMPANY, INC.",MARLIN,SPARKS,(859) 236-9292,90,5/1/2017,4/30/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-41,100300,"CHRISTIAN CARE CENTER OF KUTTAWA, LLC",Long-Term Care,1253 LAKE BARKLEY DRIVE,KUTTAWA,42055,LYON,"CHRISTIAN CARE CENTER OF KUTTAWA, LLC",HUGHES,ASH,(270) 388-2291,65,9/1/2016,Renewal Pending,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-42,100719,Christian Care Center of Lancaster,Long-Term Care,308 WEST MAPLE AVENUE,LANCASTER,40444,GARRARD,"Landmark of Lancaster Rehabilitation and Nursing Center, LLC",TEVIS,TUGGLE,(859) 792-6844,96,7/1/2017,6/30/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-43,100200,CHRISTIAN HEALTH CENTER,Long-Term Care,920 SOUTH FOURTH STREET,LOUISVILLE,40203,JEFFERSON,"CHRISTIAN CARE COMMUNITIES, INC.",John,Keaton,(502) 583-6533,122,10/1/2016,9/30/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-44,100691,CHRISTIAN HEALTH CENTER,Long-Term Care,1800 WESTEN AVENUE,BOWLING GREEN,42104,WARREN,"CHRISTIAN CARE COMMUNITIES, INC.",HEATHER,OBANION,(270) 796-6643,39,12/1/2016,11/30/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-45,100540,CHRISTIAN HEALTH CENTER,Long-Term Care,116 SOUTH COMMONWEALTH AVENUE,CORBIN,40702,KNOX,"CHRISTIAN CARE COMMUNITIES, INC.",WILLIAM,COLLINS,(606) 258-2500,104,1/1/2017,12/31/2017,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-46,100486,CHRISTIAN HEALTH CENTER,Long-Term Care,200 STERLING DRIVE,HOPKINSVILLE,42240,CHRISTIAN,"CHRISTIAN CARE COMMUNITIES, INC.",CAROL,BRITT,(270) 885-1166,114,3/1/2017,2/28/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-47,100536,"CHRISTIAN HEALTH CENTER - WEST, INC",Long-Term Care,1015 WEST MAGAZINE STREET,LOUISVILLE,40203,JEFFERSON,CHRISTIAN HEALTH CENTER - WEST,REGINA,LYONS,(502) 815-6460,92,10/1/2016,9/30/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-48,100069,CHRISTIAN HEIGHTS NURSING AND REHABILITATION CENTE,Long-Term Care,124 WEST NASHVILLE ST,PEMBROKE,42266,CHRISTIAN,"PEMBROKE HEALTH FACILITIES, L.P.",TAMMY,WORKMAN,(270) 475-4227,60,6/1/2017,5/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-49,100740,CLARK REGIONAL MEDICAL CENTER,Long-Term Care,175 HOSPITAL DRIVE,WINCHESTER,40391,CLARK,"KENTUCKY HOSPITAL, LLC",DEBORAH,BARNETT,(859) 737-8559,25,3/1/2017,2/28/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-50,100231,CLIFTON OAKS CARE CENTER ,Long-Term Care,446 MT. HOLLY AVE,LOUISVILLE,40206,JEFFERSON," MT.HOLLY LEASING, LLC",KATHY,HOLDERMAN,(502) 897-1646,110,7/1/2017,6/30/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-51,100555,CLINTON COUNTY CARE & REHABILITATION CENTER,Long-Term Care,404 NORTH WASHINGTON STREET,ALBANY,42602,CLINTON,"LP ALBANY, LLC",DONNA,LEE,(606) 387-6623,52,11/1/2016,10/31/2017,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-52,100181,CLINTON PLACE,Long-Term Care,106 PADGETT DRIVE,CLINTON,42031,HICKMAN,"DIVERSICARE CLINTON, LLC",TRELLA,WILSON,(270) 653-5558,88,1/1/2017,12/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-53,100180,CLINTON-HICKMAN COUNTY NURSING FACILITY,Long-Term Care,366 S. WASHINGTON ST.,CLINTON,42031,HICKMAN,"CLINTON HICKMAN COUNTY HOSPITAL, INC.",ROLLIE,BUSHOR,(270) 653-2461,46,10/1/2017,9/30/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-54,101099,"COLDSPRING TRANSITIONAL CARE CENTER, LLC",Long-Term Care,300 PLAZA DRIVE,COLD SPRING,41076,CAMPBELL,"COLDSPRING TRANSITIONAL CARE CENTER, LLC",JOHN,MULLER,(859) 441-4600,143,12/1/2016,11/30/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-55,100405,COLONIAL CENTER,Long-Term Care,2365 NASHVILLE ROAD,BOWLING GREEN,42101,WARREN,"HBR BOWLING GREEN, LLC",JESSICA,LOPEZ,(270) 842-1641,48,11/1/2016,10/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-56,100481,CONCORDIA HEALTHCARE CENTER-HERITAGE MANOR,Long-Term Care,401 INDIANA AVE,MAYFIELD,42066,GRAVES,"EAGLE ACQUISITION III,LLC",CYNTHIA,PORTER,(270) 247-0200,100,5/1/2017,4/30/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-57,100343,CONCORDIA NURSING AND REHABILITATION-MAPLE,Long-Term Care,515 GREENE DRIVE,GREENVILLE,42345,MUHLENBERG,"EAGLE ACQUISITION II,LLC",Marcella,Hodges,(270) 338-5400,97,8/1/2017,7/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-58,100416,CORBIN HEALTH & REHABILITATION CENTER,Long-Term Care,270 BACON CREEK ROAD,CORBIN,40702,WHITLEY,"CORBIN NURSING HOME, INC.",REBECCA,HILL,(606) 528-8822,100,1/1/2017,12/31/2017,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-59,100663,COUNTRYSIDE CENTER,Long-Term Care,47 MARGO AVENUE,BARDWELL,42023,CARLISLE,"HBR BARDWELL, LLC",Marilyn   ,Ingram,(270) 628-5424,53,8/1/2017,7/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-60,100067,COVINGTON'S CONVALESCENT CENTER,Long-Term Care,115 CAYCE ST,HOPKINSVILLE,42240,CHRISTIAN,"COVINGTON CONVALESCENT CENTER, INC.",WILLIAM,COVINGTON,(270) 886-4403,72,5/1/2017,4/30/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-61,100299,"CREEKWOOD PLACE NURSING & REHAB CENTER, INC",Long-Term Care,107 BOYLES DRIVE,RUSSELLVILLE,42276,LOGAN,"CREEKWOOD PLACE NURSING & REHAB CENTER, INC.",ELIZABETH,GETTINGS,(270) 726-9049,104,1/1/2017,12/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-62,100383,CRESTVIEW CENTER,Long-Term Care,1871 MIDLAND TRAIL,SHELBYVILLE,40065,SHELBY,"CRESTVIEW NURSING, LLC",STEVE,MCKINLEY,(502) 633-2454,58,12/1/2016,11/30/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-63,100079,CRITTENDEN COUNTY HEALTH & REHABILITATION CENTER,Long-Term Care,201 WATSON STREET,MARION,42064,CRITTENDEN,"ORION MARION, LLC",Jill,MCCONNELL,(270) 965-2218,101,5/1/2017,4/30/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-64,100373,CUMBERLAND NURSING AND REHABILITATION CENTER,Long-Term Care,200 NORFLEET DRIVE,SOMERSET,42501,PULASKI,"SOMERSET HEALTH FACILITIES, L.P.",JILL,SPURGEON,(606) 678-5104,93,1/1/2017,12/31/2017,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-65,100471,CUMBERLAND VALLEY MANOR,Long-Term Care,301 SOUTH MAIN STREET,BURKESVILLE,42717,CUMBERLAND,CUMBERLAND VALLEY MANOR,PAUL,SHEPARD,(270) 864-4315,84,6/1/2017,5/31/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-66,100036,DANVILLE CENTRE FOR HEALTH AND REHABILITATION,Long-Term Care,642 NORTH THIRD STREET,DANVILLE,40422,BOYLE,"LP DANVILLE, LLC",THOMAS,DAVIS,(859) 236-3972,106,2/1/2017,1/31/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-67,100188,DAWSON SPRINGS HEALTH AND REHABILITATION CENTER,Long-Term Care,213 WATER STREET,DAWSON SPRINGS,42408,HOPKINS,"DAWSON POINTE, LLC",MARGARET,CURTIS,(270) 797-2025,59,8/1/2017,7/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-68,100694,DEL MARIA ICF/IID,Long-Term Care,5512 DEL MARIA WAY,LOUISVILLE,40291,JEFFERSON,CABINET FOR HEALTH SERVICES,MEREDITH,CRAWFORD,(502) 499-7203,8,1/1/2017,12/31/2017,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-69,100132,DIVERSICARE OF FULTON,Long-Term Care,1004 HOLIDAY LANE,FULTON,42041,FULTON,"FULTON INVESTORS, LLC",LINDSAY,FRAZIER,(270) 472-1971,60,4/1/2017,3/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-70,100509,DIVERSICARE OF GLASGOW,Long-Term Care,300 WESTWOOD STREET,GLASGOW,42141,BARREN,"DIVERSICARE OF GLASGOW, LLC",JASON,GUMM,(270) 651-9131,94,1/1/2017,12/31/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-71,100342,DIVERSICARE OF GREENVILLE,Long-Term Care,521 GREENE DR.,GREENVILLE,42345,MUHLENBERG,"DIVERSICARE OF GREENVILLE, LLC",VICKI,BUTLER,(270) 338-1523,62,12/1/2016,11/30/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-72,100442,DIVERSICARE OF NICHOLASVILLE,Long-Term Care,100 SPARKS AVENUE,NICHOLASVILLE,40356,JESSAMINE,"DIVERSICARE OF NICHOLASVILLE, LLC",THOMAS,DAVIS,(859) 885-4171,73,11/1/2016,10/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-73,100256,DIVERSICARE OF SENECA PLACE,Long-Term Care,3526 DUTCHMANS LANE,LOUISVILLE,40205,JEFFERSON,"DIVERSICARE OF SENECA PLACE, LLC",Herschel,Sedoris,(502) 452-6331,107,8/1/2017,7/31/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-74,100480,DOVER MANOR,Long-Term Care,112 DOVER DRIVE,GEORGETOWN,40324,SCOTT,"DOVER MANOR, INC.",MICHAEL,FIELDEN,(502) 863-9529,85,7/1/2017,6/30/2018,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-75,100205,EASTERN STAR HOME IN KY,Long-Term Care,923 EASTERN STAR COURT,LOUISVILLE,40204,JEFFERSON,"EASTERN STAR HOME IN KENTUCKY, INC.",Robert,Rivera,(502) 451-3535,0,7/1/2017,6/30/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-76,101245,EASTERN STATE HOSPITAL LONG TERM / ACQUIRED BRAIN INJURY,Long-Term Care,1350 BULL LEA ROAD,LEXINGTON,40511,FAYETTE,COMMONWEALTH OF KENTUCKY,SUSAN,GRIFFITH,(859) 246-8000,44,11/1/2016,10/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-77,100166,EDGEMONT HEALTHCARE,Long-Term Care,323 WEBSTER AVENUE,CYNTHIANA,41031,HARRISON,EDGEMONT HEALTHCARE,DEBORAH,ZECH,(859) 234-4595,68,12/1/2016,11/30/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-78,100700,EDGEWOOD ESTATES,Long-Term Care,195 BERRYMAN ROAD,FRENCHBURG,40322,MENIFEE,MENIFEE COUNTY NURSING HOME CORP.,ANNE,WILLS,(606) 768-9001,60,5/1/2017,4/30/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-79,100680,EDMONSON CENTER,Long-Term Care,813 S. MAIN ST.,BROWNSVILLE,42210,EDMONSON,"HBR BROWNSVILLE, LLC",CHRIS,SWIHART,(270) 597-2335,74,10/1/2016,9/30/2017,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-80,100161,ELIZABETHTOWN NURSING AND REHABILITATION CENTER,Long-Term Care,1101 WOODLAND DRIVE,ELIZABETHTOWN,42701,HARDIN,"ELIZABETHTOWN HEALTH FACILITIES, LP",STEPHEN,STOCKSDALE,(270) 765-6106,65,5/1/2017,4/30/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-81,100690,ELLIOTT NURSING AND REHABILITATION CENTER,Long-Term Care,"RT 32  EAST, HOWARD CREEK RD",SANDY HOOK,41171,ELLIOTT,DIVERSICARE LEASING CORPORATION,RACHELLE,STEVENS,(606) 738-9400,75,11/1/2016,10/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-82,101299,EMERALD TRACE,Long-Term Care,3802 TURKEYFOOT RD,ELSMERE,41018,KENTON,"KENTON HOUSING, INC",BRADLEY,STANFORD,859-432-2244,54,12/20/2016,12/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-83,100710,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,Long-Term Care,217 SOUTH THIRD STREET,DANVILLE,40422,BOYLE,"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER, INC.",SUSAN,MATHERLY,(859) 239-2336,25,4/1/2017,3/31/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-84,100518,ESSEX NURSING AND REHABILITATION CENTER,Long-Term Care,9600 LAMBORNE BOULEVARD,LOUISVILLE,40272,JEFFERSON,"HANGING ROCK, LTC, LLC",ROBERT,FLATT,(502) 935-7284,128,3/1/2017,2/28/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-85,100466,"FAIR OAKS HEALTH SYSTEMS, LLC",Long-Term Care,1 SPARKS AVENUE,JAMESTOWN,42629,RUSSELL,"FAIR OAKS HEALTH SYSTEMS, LLC",CHRIS,MINNICH,(270) 343-2101,114,8/1/2017,7/31/2018,SEB,US
USA-KY-92-KY-NursingHome-long_term_care-86,100747,FLAGET MEMORIAL HOSPITAL NF,Long-Term Care,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,40004,NELSON,"FLAGET HEALTHCARE, INC.",DELISA,ARNOLD,(502) 350-5000,12,5/1/2017,4/30/2018,NEB,US
USA-KY-92-KY-NursingHome-long_term_care-87,100547,FLORENCE PARK CARE CENTER,Long-Term Care,6975 BURLINGTON PIKE,FLORENCE,41042,BOONE,"EVAN GRAY, LLC",ALFRED,MOLLOZZI,(859) 525-0007,150,1/1/2017,12/31/2017,EEB,US
USA-KY-92-KY-NursingHome-long_term_care-88,100351,FORDSVILLE NURSING AND REHABILITATION CENTER,Long-Term Care,313 MAIN STREET,FORDSVILLE,42343,OHIO,"FORDSVILLE HEALTH FACILITIES, L.P.",JEFFREY,THOMPSON,(270) 276-3603,67,8/1/2017,7/31/2018,WEB,US
USA-KY-92-KY-NursingHome-long_term_care-89,101222,FOREST SPRINGS HEALTH CAMPUS,Long-Term Care,4120 WOODED ACRE LANE,LOUISVILLE,40245,JEFFERSON,"TRILOGY HEALTHCARE OF LOUISVILLE NORTHEAST, LLC",SEAN,BARNEY-MCCOY,(502) 243-1643,58,5/1/2017,4/30/2018,NEB,US
