row_id,name,license_num,licensure_status,care_level,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,facility_type
Canada-NL-4-NursingHomes-4-NursingHomes-17,Meadow Creek Retirement Centre,,Licensed,"Level I, II and Enhanced Care",,,(709) 782 4242,,,,,,Paradise,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-18,North Pond Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 437 1415,,,,,,Torbay,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-19,Ocean View Guest Home,,Licensed,Level I and II,,,(709) 834 2532,,,,,,Kelligrews,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-20,Pearl House,,Conditional,Level I and II,,,(709) 368 3850,,,,,,Mount Pearl,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-21,Ruby Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 364 4943,,,,,,Mount Pearl,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-22,Murphy's Shade Rest Lodge Bay Robert's Retirement Centre,,Licensed,"Level I and II Level I, II and Enhanced Care",,,(709) 786 6665,,,,,,895  Paradise 8960/8956 Bay Roberts,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-23,Callingwood Downs,,Conditional,"Level I, II and Enhanced Care",,,(709) 786 1850,,,,,,Clarke's Beach,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-24,Woodford's Comfort Manor,,Conditional,Level I and II,,,(709) 229 3213,,,,,,Holyrood,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-25,Beachside Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 227 1110,,,,,,Placentia,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-26,Eason's Personal Care Home,,Licensed,Level I and II,,,(709) 229 4072,,,,,,Holyrood,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-27,Gateway Residence,,Licensed,Level I and II,,,(709) 227 3814,,,,,,Dunville,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-28,Lewis' Personal Care Home,,Licensed,"Level I, II and Enhanced Care",,,(709) 525 2244,,,,,,Riverhead,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-29,Luxury Estates,,Licensed,"Level I, II and Enhanced Care",,,(709) 596 1244,,,,,,Carbonear,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-30,Baccalieu Retirement Living,,Licensed,"Level I, II and Enhanced Care",,,(709) 587 2651,,,,,,Old Perlican,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-31,Shag Rock Manor,,Conditional,"Level I, II and Enhanced Care",,,(709) 588 2884,,,,,,Whiteway,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-32,Tobin's Guest Home,,Licensed,Level I and II,,,(709) 229 7464,,,,,,Holyrood,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-33,Winter Holme Manor,,Conditional,Level I and II,,,(709) 583 2658,,,,,,Winterton,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-34,Miraquinn Hilltop Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 547 2450,,,,,,Hickman's Harbour,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-35,Bonavista Retirement Centre,,Licensed,Level I and II,,,(709) 468 5900,,,,,,Bonavista,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-36,Cozy Quarters Personal Care Home,,Licensed,"Level I, II and Enhanced Care",,,(709) 466 2447,,,,,,Clarenville,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-37,Clarenville Retirement Home,,Licensed,"Level I, II and Enhanced Care",,,(709) 466 6459,,,,,,Clarenville,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-38,Greenwood Rest Home,,Licensed,Level I and II,,,(709) 467 5243,,,,,,Musgravetown,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-39,Hilltop Manor,,Licensed,"Level I, II and Enhanced Care",,,(709) 463 5000,,,,,,Arnold's Cove,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-40,Marystown Retirement Centre,,Licensed,"Level I, II and Enhanced Care",,,(709) 279 2554,,,,,,Marystown,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-41,Mount Margaret Manor,,Licensed,Level I and II,,,(709) 873 3232,,,,,,St. Lawrence,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-42,Grand Bank Retirement Centre,,Conditional,"Level I, II and Enhanced Care",,,(709) 832 3900,,,,,,Grand Bank,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-43,Shirley's Haven,,Licensed,"Level I, II and Enhanced Care",,,(709) 469 3160,,,,,,Catalina,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-44,Baie View Manor,,Closed,,,,(709) 532 4615,,,,,,Baie Verte,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-45,"White,s Family Care Residence",,Licensed,"Level I, II and Enhanced care",,,(709) 654 3171,,,,,,Brown's Arm,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-46,"Oram,s Baywatch Manor",,Licensed,Level I and II,,,(709) 533 6999,,,,,,Glovertown South,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-47,Carmanville Terrace,,Licensed,Level I,,,(709) 534 2244,,,,,,Carmanville,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-48,"Robinson,s Retirement Home",,Licensed,Level I and II,,,(709) 258 6446,,,,,,Bishops Falls,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-49,Golden Years Estates,,Licensed,"Level I, II and Enhanced care",,,(709) 489 7363,,,,,,Grand Falls,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-50,Musgrave Hillcrest Manor,,Licensed,Level I and II,,,(709) 655 2777,,,,,,Harbour,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-51,Islandside Manor,,Licensed,Level I and II,,,(709) 438 2121,,,,,,Leading Tickles,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-52,Killick Retirement Home,,Licensed,"Level I, II and Enhanced care",,,(709) 257 2400,,,,,,Botwood,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-53,Nightingale Manor,,Licensed,Level I and II,,,(709) 256 3711,,,,,,Gander,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-54,Oram's Birchview Manor,,Licensed,Level I and II,,,(709) 533 2600,,,,,,Glovertown,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-55,Oram's Emmanuel Manor,,Licensed,Level I and II,,,(709) 674 4254,,,,,,Gambo,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-56,Otterbury Manor,,Licensed,Level I and II,,,(709) 536 3383,,,,,,Wesleyville,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-57,Twilight Manor,,Licensed,Level I and II,,,(709) 535 6094,,,,,,Embree,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-58,Pleasantview Manor,,Licensed,"Level I, II and Enhanced care",,,(709) 535 0941,,,,,,Lewisporte,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-59,Riverhead Manor,,Licensed,Level I and II,,,(709) 266 2336,,,,,,Fogo,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-60,Gander Bay Retirement Home,,Conditional,Level I and II,,,(709) 676 2773,,,,,,George's Point,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-61,Sunset Manor,,Licensed,Level I,,,(709) 884 5301,,,,,,Twillingate,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-62,Grand Falls  Twin Town Manor,,Licensed,"Level I, II and Enhanced care",,,(709) 489 0988,,,,,,Windsor,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-63,Hollett's Retirement Centre,,Licensed,"Level I, II and Enhanced care",,,(709) 489 5812,,,,,,Grand Falls  Windsor,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-64,Springdale Retirement Centre,,Licensed,"Level I, II and Enhanced care",,,(709) 673 5777,,,,,,Springdale,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-65,Golden Years Estates,,Licensed,"Level I, II and Enhanced care",,,(709) 651 7363,,,,,,Gander,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-66,Acadian Village,,Licensed,"Level I, II and Enhanced care",,,(709) 643 9669,,,,,,Stephenville,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-67,Brake's Personal Care Home,,Licensed,Level I,,,(709) 785 5092,,,,,,Corner Brook,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-68,Crosswinds Seniors Resort,,Licensed,"Level I, II and Enhanced care",,,(709) 274 3001,,,,,,Robinsons,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-69,Deer Lake Manor,,Licensed,Level I and II,,,(709) 635 5967,,,,,,Deer Lake,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-70,Blow Me Down Retirement Centre,,Licensed,Level I and II,,,(709) 681 2288,,,,,,Lark Harbour,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-71,Oceanside Personal Care Home,,Licensed,Level I and II,,,(709) 955 2339,,,,,,Cape Anguille,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-72,Lohnes Personal Care Home,,Licensed,Level I and II,,,(709) 785 1200,,,,,,Corner Brook,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-73,Main River Retirement Home,,Licensed,Level I and II,,,(709) 482 2334,,,,,,Pollard's Point,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-74,Mountain Hope Manor,,Licensed,Level I and II,,,(709) 695 3458,,,,,,Port aux Basques,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-75,Mountain View Estates,,Licensed,Level I and II,,,(709) 637 6900,,,,,,Corner Brook,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-76,Mountain View House,,Licensed,"Level I, II and Enhanced care",,,(709) 783 2019,,,,,,Meadows,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-77,Northern Retirement Home,,Licensed,"Level I, II and Enhanced care",,,(709) 861 4242,,,,,,Port Saunders,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-78,Bayshore Estates,,Licensed,"Level I, II and Enhanced care",,,(709) 783 2141,,,,,,Irishtown,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-79,Silverwood Manor,,Licensed,Level I and II,,,(709) 643 6550,,,,,,Kippens,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-80,Xavier House,,Licensed,Level I,,,(709) 634 2787,,,,,,Corner Brook,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-81,Harbourview Manor,,Licensed,Level I and II,,,(709) 921 6440,,,,,,Mary's Harbour,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-82,Ivy Durley Place,,Licensed,Level I and II,,,(709) 456 2022,,,,,,Flower's Cove,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-83,Roddickton House,,Licensed,Level I and II,,,(709) 457 2166,,,,,,Roddickton,NL,,Nursing Home
Canada-NL-4-NursingHomes-4-NursingHomes-84,Shirley's Haven #2,,Licensed,"Level I, II and Enhanced care",,,(709) 454 1070,,,,,,St. Anthony,NL,,Nursing Home
