row_id,county,Map Indicator,Respite Provider Name,Address1,Contact Phone,City,Zip,State,Country,facility_type
USA-AR-51-AR-AssistedLiving-output-11,Columbia,6,DUDNEYWOOD ASSISTED LIVING,2600 NORTH DUDNEY ROAD,870-234-2800,MAGNOLIA,71753-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-12,Conway,24,THE CROSSING AT MALVERN,720 North Walco Road,501-467-8488,Malvern,72104,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-13,Crawford,14,"HOPE'S CREEK, INC.",2502 FAYETTEVILLE ROAD,479-471-1900,VAN BUREN,72956-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-14,Crawford,30,EMERITUS at CHENAL HEIGHTS,217 LAKEWOOD ROAD,479-471-9797,VAN BUREN,72956-8120,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-15,Crittenden,1,ALF PROPERTIES OF CRITTENDEN COUNTY dba POINTS OF LIGHT,410 S AVALON STREET,870-394-9577,WEST MEMPHIS,72301-4183,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-16,Faulkner,21,PEACHTREE MENA,1803 CORDIE DR,479-394-2600,MENA,71953-9340,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-17,Faulkner,22,SOUTHRIDGE VILLAGE ASSISTED LIVING,1306 S DONAGHEY AVE,501-327-3030,CONWAY,72034-6993,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-18,Faulkner,27,"VILLAGE PARK OF CONWAY, INC.",1622 SCOTT STREET,501-327-6428,CONWAY,72034-5235,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-19,Garland,11,GARRETT MANOR,142 BRIGHTON TERRACE,501-525-1725,HOT SPRINGS,71913-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-20,Grant,5,CROWN POINT RETIREMENT CENTER LLC,510 SOUTH ROSE,870-942-4623,SHERIDAN,72150-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-21,Independence,7,EAGLE MOUNTAIN ASSISTED LIVING,302 WOODMONT CIRCLE,870-612-8700,BATESVILLE,72501-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-22,Jefferson,10,GARDEN POINTE LIVING CENTER,7001 SOUTH HAZEL STREET,870-535-9283,PINE BLUFF,71603-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-23,Jefferson,28,WHISPERING KNOLL,6812 SOUTH HAZEL STREET,870-534-1583,PINE BLUFF,71603-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-24,Jefferson,33,THE GARDENS AT WHISPERING KNOLL,6814 SOUTH HAZEL STREET,870-850-2939,PINE BLUFF,71603-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-25,Madison,4,"COUNTRYSIDE HEALTHCARE, INC. dba  COUNTRYSIDE ASSISTED LIVING FACILITY",722 PHILLIPS PLACE,479-738-1500,HUNTSVILLE,72740-9517,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-26,Montgomery,19,MONTGOMERY COUNTY ASSISTED LIVING,147 SENIOR DRIVE,870-867-2159,MOUNT IDA,71957-1208,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-27,Pike,20,OAK PARK VILLAGE,507 MOUNTAIN VIEW RD,870-356-4426,GLENWOOD,71943-9011,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-28,Pope,31,FOX RIDGE ASSISTED LIVING,P.O. BOX 9178,479-968-7930,RUSSELLVILLE,72811,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-29,Pulaski,3,EMERITUS at CHENAL HEIGHTS,#1 CHENAL HEIGHTS DRIVE,501-821-1555,LITTLE ROCK,72223-3910,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-30,Pulaski,16,MADISON RESIDENTIAL CARE,2821 W DIXON RD,501-888-4200,LITTLE ROCK,72206-4256,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-31,Saline,9,FOX RIDGE ASSISTED LIVING,4216 FOX RIDGE,501-847-3400,BENTON,72018-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-32,Sebastian,18,MERCY CREST RETIREMENT CENTER,1300 STROZIER LANE,479-478-3000,BARLING,72923-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-33,Van Buren,26,VILLAGE GARDENS; WHITE COUNTY MEDICAL CENTER dba,265 DAVE CREEK PARKWAY,501-884-3210,FAIRFIELD BAY,72088-0000,AR,US,Assisted Living
USA-AR-51-AR-AssistedLiving-output-34,White,29,RIVER OAKS VILLAGE ASSISTED LIVING,3014 E MOORE AVENUE,501-268-4169,SEARCY,72143-5069,AR,US,Assisted Living
