row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_city,mail_co_province,mail_co_postal_code,street_address,po_box,city,province,postal_code,country,facility_type
USA-CO-72-AssistedLiving-72-AssistedLiving-13,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,,,,,,,,,,,, Ms CAROL EIBER, (303)478-8174,, (720)210-9878,,Private, PROFIT-CORPORATION,,,ARAPAHOE COUNTY,,8,, (303)480-5624, ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,7781 S GLENCOE COURT,CENTENNIAL,CO,80122,2510 S HOLLY PLACE,,DENVER,CO,80222,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-14,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING-EASTMAN,,,,,,,,,,,, Ms CAROL EIBER, (303)478-8174,, (720)210-9878,,Private, LIMITED LIABILITY,,,ARAPAHOE COUNTY,,8,, (303)480-5624, ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,7781 SOUTH GLENCOE COURT,CENTENNIAL,CO,80122,6461 EAST EASTMAN AVENUE,,DENVER,CO,80222,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-15,ABUNDANT BLESSINGS AND CARE ASST LVG - GEDDES AVE,,,,,,,,,,,, Ms CAROL EIBER, (303)960-6711,, (720)210-9878,,Private, LIMITED LIABILITY,,,ARAPAHOE COUNTY,,8,, (303)480-5624, ABUNDANT BLESSINGS AND CARE ASSISTED LIVING-GEDDES,7781 SOUTH GLENCOE COURT,CENTENNIAL,CO,80122,1137 E GEDDES AVE,,CENTENNIAL,CO,80122,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-16,ABUNDANT BLESSINGS AND CARE -MARION WAY,,,,,,,,,,,, Ms CAROL EIBER, (303)478-8174,, (720)210-9878,,Private, LIMITED LIABILITY,,,ARAPAHOE COUNTY,,8,, (303)480-5624, ABUNDANT BLESSINGS AND CARE-MARION WAY,7781 S. GLENCOE COURT,CENTENNIAL,CO,80122,6203 SOUTH MARION WAY,,CENTENNIAL,CO,80121,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-17,ACACIA ASSISTED LIVING - MEXICO LLC,,,,,,,,,,,, Ms KATHY TOPPING, (720)306-8237,, (720)306-8235,,Medicaid, LIMITED LIABILITY,,,JEFFERSON COUNTY,,10,, (303)480-5624, ACACIA ASSISTED LIVING - MEXICO LLC,"1551 LARIMER ST, # 1905",DENVER,CO,80202,6419 W MEXICO AVENUE,,LAKEWOOD,CO,80232,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-18,"ACACIA ASSISTED LIVING-TELLER, LLC",,,,,,,,,,,, Ms KATHY TOPPING, (720)306-8237,, (720)306-8235,,Medicaid, LIMITED LIABILITY,,,JEFFERSON COUNTY,,10,, (303)480-5624, ACACIA ASSISTED LIVING - TELLER,"1551 LARIMER ST, SUITE 1905",DENVER,CO,80202,1069 S TELLER ST,,LAKEWOOD,CO,80228,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-19,"ACADEMY AT BELLA VISTA, THE",,,,,,,,,,,, Ms LORI SMITH, (303)442-3896,, (720)565-9076,,Private,0,,,BOULDER COUNTY,,10,,LIMITED PARTNERSHIP,,,,,,2762 BELLA VISTA LANE,,BOULDER,CO,80302,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-20,"ACADEMY, THE",,,,,,,,,,,,  LILY SMITH, (303)938-1920,, (303)444-6022,,Private, PARTNERSHIP,,,BOULDER COUNTY,,23,, (303)441-1173,,,,,,970 AURORA AVENUE,,BOULDER,CO,80302,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-21,ACCENT ON ELDER CARE,,,,,,,,,,,, Mr RODNEY KING, (303)456-9246,, (303)456-1737,,Medicaid, PROFIT-CORPORATION,,,JEFFERSON COUNTY,,6,, (303)480-5624, TKC ACCENT ON ELDER CARE,PO BOX 39225,DENVER,CO,80239,6395 W 66TH AVE,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-22,ACORN HOUSE,,,,,,,,,,,, MS REBECCA CARLSON, (303)399-9791,, (303)937-9646,,Medicaid, LIMITED LIABILITY,,,DENVER COUNTY,,8,, (303)480-5624, ACORN HOUSE,1221 S INGALLS ST,LAKEWOOD,CO,80232,919 ELM ST,,DENVER,CO,80220,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-23,ACORN HOUSE C,,,,,,,,,,,, MS REBECCA CARLSON, (720)941-8839,, (303)388-8321,,Medicaid, LIMITED LIABILITY,,,DENVER COUNTY,,8,, (303)480-5624, ACORN HOUSE C,1221 S INGALLS STREET,LAKEWOOD,CO,80232,4949 E 9TH AVENUE,,DENVER,CO,80220,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-24,ACORN HOUSE TOO,,,,,,,,,,,, MS REBECCA CARLSON, (303)316-4984,, (303)937-9646,,Medicaid, LIMITED LIABILITY,,,DENVER COUNTY,,10,, (303)480-5624, ACORN HOUSE TOO,1221 S INGALLS STREET,LAKEWOOD,CO,80232,909 ELM ST,,DENVER,CO,80220,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-25,ALADDIN AT BRUSH THE,,,,,,,,,,,, Ms PATTY LAKE, (970)842-5463,, (970)842-5463,,Medicaid, LIMITED LIABILITY,,,MORGAN COUNTY,,15,, (970)867-9409,,,,,,428 WESTERN AVE,,BRUSH,CO,80723,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-26,ALADDIN AT KEENESBURG THE,,,,,,,,,,,, Ms SANDRA CONNER, (303)732-4856,, (303)732-4864,,Medicaid, LIMITED LIABILITY,,,WELD COUNTY,,16,, (970)353-3800, ALADDIN ASSISTED LIVING RESIDENCE,PO BOX 297,KEENESBURG,CO,80643,15 SOUTH ASH,,KEENESBURG,CO,80643,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-27,ALMOST LIKE HOME,,,,,,,,,,,, MR TIM VANMETER, (303)432-2000,, (303)432-2122,,Private,2,,,JEFFERSON COUNTY,,72,,PROFIT-CORPORATION,,,,,,6761 W 65TH AVENUE,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-28,ALMOST LIKE HOME (1),,,,,,,,,,,,,(303)403-4139,,,,,,,,,ALMOST LIKE HOME,,,,,,,,,6761 W 65TH AVENUE,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-29,ALMOST LIKE HOME (2),,,,,,,,,,,,,(303)456-2784,,,,,,,,,ALMOST LIKE HOME,,,,,,,,,6741 W 65TH,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-30,ALMOST LIKE HOME (3),,,,,,,,,,,,,(303)422-3891,,,,,,,,,ALMOST LIKE HOME,,,,,,,,,6751 W 65TH AVENUE,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-31,ALPINE (A),,,,,,,,,,,,,(303)111-1111,,,,,,,,,NEW DAWN MEMORY CARE-COLORADO SPRINGS,,,,,,,,,4145 BRIARGATE PKWY,,COLORADO SPRINGS,CO,80920,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-32,ALTAVITA ASSISTED LIVING,,,,,,,,,,,, Ms LINDA BERENS, (303)300-3700,, (303)772-9956,,Private, LIMITED LIABILITY,,,BOULDER COUNTY,,73,, (303)441-1173, ALTAVITA ASSISTED LIVING LLC,800 S. FORDHAM STREET,LONGMONT,CO,80503,1001 ALTAVITA COURT,,LONGMONT,CO,80503,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-33,ALTAVITA MEMORY CARE CENTRE,,,,,,,,,,,, Ms LINDA BERENS, (303)300-3700,, (303)772-9956,,Private,6,,,BOULDER COUNTY,,56,,LIMITED LIABILITY,,,,,,800 S FORDHAM STREET,,LONGMONT,CO,80503,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-34,ALTERNATIVE CARE HOMES-MARSHALL,,,,,,,,,,,, Ms REBECCA GRAY, (303)818-6794,, (844)720-7880,,Medicaid, PROFIT-CORPORATION,,,JEFFERSON COUNTY,,6,, (303)480-5624, SCS ASSISTED LIVING INC,2855 ROCK CREEK CIRCLE APT 112,SUPERIOR,CO,80027,8029 S MARSHALL STREET,,LITTLETON,CO,80128,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-35,ANGKOR WAT ALTERNATIVE CARE,,,,,,,,,,,, MR SAM LEM HEAN, (970)434-8240,, (970)523-8066,,Medicaid, INDIVIDUAL,,,MESA COUNTY,,8,, (970)248-2717,,,,,,476 GUNNISON WAY,,GRAND JUNCTION,CO,81504,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-36,ANGKOR WAT EAST ASSISTED LIVING II,,,,,,,,,,,, MR SAM LEM HEAN, (970)434-3888,, (970)523-1082,,Medicaid, PROFIT-CORPORATION,,,MESA COUNTY,,16,, (970)248-2717, ANGKOR WAT EAST ASSISTED LIVING II,207 RIVER RIDGE DRIVE,GRAND JUNCTION,CO,81503,3291 LOMBARDY LANE,,CLIFTON,CO,81520,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-37,APPLELEAF ASSISTED LIVING,,,,,,,,,,,, MR JAMES SEVY, (970)532-2600,, (970)532-2600,,Medicaid, INDIVIDUAL,,,LARIMER COUNTY,,12,, (303)862-3524,,,,,,1328 FIRST STREET,,BERTHOUD,CO,80513,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-38,APPLETREE ASSISTED LIVING,,,,,,,,,,,, Ms ELIZABETH WEST, (719)282-1155,, (719)391-0813,,Medicaid, PROFIT-CORPORATION,,,EL PASO COUNTY,,48,, (719)471-7080,,,,,,1125 BROCKDELL DR,,COLORADO SPRINGS,CO,80911,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-39,APPLETREE ASSISTED LIVING II,,,,,,,,,,,,,(719)282-1155,,,,,,,,,APPLETREE ASSISTED LIVING,,,,,,,,,1125 BROCKDELL DRIVE,,COLORADO SPRINGS,CO,80911,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-40,APPLETREE ASSISTED LIVING II,,,,,,,,,,,,,,,,,,,,,,APPLETREE ASSISTED LIVING,,,,,,,,,1165 BROCKDELL DR,,COLORADO SPRINGS,CO,80911,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-41,APPLETREE ASSISTED LIVING III,,,,,,,,,,,,,(719)282-1155,,,,,,,,,APPLETREE ASSISTED LIVING,,,,,,,,,1145 BROCKDELL DRIVE,,COLORADO SPRINGS,CO,80911,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-42,APPLEWOOD OUR HOUSE 4 LLC,,,,,,,,,,,, Ms SHERYL KYSAR, (720)982-2040,, (303)785-8943,,Private,6,,,JEFFERSON COUNTY,,16,,LIMITED LIABILITY,,,,,,1182 S VAN GORDON CT,,LAKEWOOD,CO,80228,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-43,APPLEWOOD OUR HOUSE ASSISTED LIVING FACILITY III,,,,,,,,,,,, Ms SHERYL KYSAR, (303)424-6435,, (303)459-5551,,Private,6,,,JEFFERSON COUNTY,,16,,LIMITED LIABILITY,,,,,,6435 GARRISON ST,,ARVADA,CO,80003,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-44,APPLEWOOD OUR HOUSE ASSISTED LIVING LLC,,,,,,,,,,,, Ms SHERYL KYSAR, (720)398-9743,, (303)785-8943,,Private,2,,,JEFFERSON COUNTY,,12,,LIMITED LIABILITY,,,,,,1365 YANK STREET,,GOLDEN,CO,80401,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-45,"APPLEWOOD OUR HOUSE ASST LVG FACILITIES II, LLC",,,,,,,,,,,, Ms SHERYL KYSAR, (303)205-1900,, (303)952-7654,,Private,6,,,JEFFERSON COUNTY,,16,,LIMITED LIABILITY,,,,,,1900 UPHAM STREET,,LAKEWOOD,CO,80214,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-46,ARA AT THE PINERY,,,,,,,,,,,, Ms MANDRIA MOUW, (303)877-7965,, (720)328-9793,,Injury, PROFIT-CORPORATION,,,DOUGLAS COUNTY,,8,, (303)480-5624,,,,,,7822 WINDWOOD WAY,,PARKER,CO,80134,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-47,ARBOR VIEW,,,,,,,,,,,, Ms SUSAN BLACK, (303)403-3100,, (303)987-0424,,Private, LIMITED LIABILITY,,,JEFFERSON COUNTY,,36,, (303)480-5624, VIVAGE,12136 W. BAYAUD AVENUE SUITE 200,LAKEWOOD,CO,80228,8001 W 71ST AVENUE,,ARVADA,CO,80004,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-48,ARBORS OF SAN MARINO,,,,,,,,,,,, Ms MARJORIE CARLI (P), (303)426-9090,, (303)429-8896,,Private,0,,,ADAMS COUNTY,,111,,LIMITED PARTNERSHIP,,,,,,7425 XAVIER ST,,WESTMINSTER,CO,80030,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-49,"ARGYLE, THE",,,,,,,,,,,, MS JANIS MUELLER, (303)455-9513,, (303)433-7127,,Private, CORPORATE NON-PROFIT,,,DENVER COUNTY,,140,, (303)480-5624,,,,,,4115 W 38TH AVENUE,,DENVER,CO,80212,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-50,ASH STREET RTF,,,,,,,,,,,, Ms JOANN TONEY, (303)759-2673,, (303)377-1105,,-, CORPORATE NON-PROFIT,,,DENVER COUNTY,,8,, (303)480-5624, MENTAL HEALTH CENTER OF DENVER,4455 EAST 12TH AVE,DENVER,CO,80220,1450 S ASH ST,,DENVER,CO,80222,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-51,ASHLEY MANOR - EVANS 1,,,,,,,,,,,, Ms RENEE PHILPOTT, (970)346-9891,, (970)346-9904,,Private,3,,,WELD COUNTY,,13,,PROFIT-CORPORATION,,,,,,1805 32ND ST,,EVANS,CO,80620,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-52,ASHLEY MANOR - EVANS 2,,,,,,,,,,,, Ms RENEE PHILPOTT, (970)304-9277,, (970)378-0329,,Medicaid, PROFIT-CORPORATION,,,WELD COUNTY,,13,, (970)353-3800," ASHLEY MANOR, LLC",PO BOX 1176,MERIDIAN,ID,83680,1725 32ND ST,,EVANS,CO,80620,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-53,ASHLEY MANOR - EVANS 3,,,,,,,,,,,, Ms RENEE PHILPOTT, (970)336-1966,, (970)378-0329,,Private,6,,,WELD COUNTY,,16,,PROFIT-CORPORATION,,,,,,1715 32ND ST,,EVANS,CO,80620,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-54,ASHLEY MANOR - FT LUPTON 1,,,,,,,,,,,, Ms MARY ELLEN LAROCHE, (303)857-1921,, (303)857-1951,,Private,2,,,WELD COUNTY,,12,,PROFIT-CORPORATION,,,,,,1102 4TH STREET,,FORT LUPTON,CO,80621,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-55,ASHLEY MANOR - FT LUPTON 2,,,,,,,,,,,, Ms MARY ELLEN LAROCHE, (303)857-0116,, (303)857-0117,,Medicaid, PROFIT-CORPORATION,,,WELD COUNTY,,14,, (970)353-3800," ASHLEY MANOR, LLC",PO BOX 1176,MERIDIAN,ID,83680,1150 4TH ST,,FORT LUPTON,CO,80621,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-56,ASHLEY MANOR - SAULSBURY,,,,,,,,,,,, Mr CARRICK MEYERS, (303)233-7900,, (977)209-9403,,Private,6,,,JEFFERSON COUNTY,,16,,LIMITED LIABILITY,,,,,,1370 SAULSBURY ST,,LAKEWOOD,CO,80214,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-57,ASHLEY MANOR AT CARSON,,,,,,,,,,,,  JORGI SPAHN, (303)699-7744,, (303)617-5447,,Private,6,,,ARAPAHOE COUNTY,,16,,PROFIT-CORPORATION,,,,,,4056 S CARSON WAY,,AURORA,CO,80014,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-58,ASHLEY MANOR AT DUDLEY,,,,,,,,,,,,  JORGI SPAHN, (303)467-0210,, (303)423-0319,,Private,6,,,JEFFERSON COUNTY,,16,,LIMITED LIABILITY,,,,,,3555 DUDLEY STREET,,WHEAT RIDGE,CO,80033,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-59,ASHLEY MANOR AT PARFET,,,,,,,,,,,,  JORGI SPAHN, (303)432-7893,, (303)423-1091,,Private,6,,,JEFFERSON COUNTY,,16,,PROFIT-CORPORATION,,,,,,3802 N PARFET ST,,WHEAT RIDGE,CO,80033,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-60,ASHLEY MANOR IRMA 1,,,,,,,,,,,, Ms BRANDY GRIMES, (303)280-7019,, (303)209-4944,,Private,5,,,ADAMS COUNTY,,6,,LIMITED LIABILITY,,,,,,10527 IRMA DRIVE,,NORTHGLENN,CO,80234,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-61,ASHLEY MANOR IRMA 2,,,,,,,,,,,, Ms BRANDY GRIMES, (303)280-1720,, (303)280-1542,,Private,5,,,ADAMS COUNTY,,6,,LIMITED LIABILITY,,,,,,10525 IRMA DRIVE,,NORTHGLENN,CO,80234,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-62,"ASPEN GARDENS ASSISTED LIVING, INC",,,,,,,,,,,, Ms VALLEY JEAN WILLIFORD, (970)564-8600,, (970)564-8600,,Medicaid, PROFIT-CORPORATION,,,MONTEZUMA COUNTY,,6,, (970)259-1967,,,,,,1200 N DOLORES ROAD,,CORTEZ,CO,81321,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-63,ASPEN GLEN,,,,,,,,,,,, Ms DOLORES MACLEOD, (970)254-8403,, (970)254-8403,,Medicaid, PROFIT-CORPORATION,,,MESA COUNTY,,9,, (970)248-2717,,,,,,448 BOOKCLIFF DR,,GRAND JUNCTION,CO,81501,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-64,"ASPEN GROVE ASSISTED LIVING, LLC",,,,,,,,,,,, Ms TRACY FRESHOUR, (303)822-9842,, (303)822-8022,,Medicaid, LIMITED LIABILITY,,,ARAPAHOE COUNTY,,8,, (303)480-5624, ASPEN GROVE ASSISTED LIVING,PO BOX 101,BYERS,CO,80103,108 N SHERMAN,,BYERS,CO,80103,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-65,ASPEN HILLS ASSISTED LIVING LLC,,,,,,,,,,,, Ms VIKTORIA KOVALIS, (303)238-4252,, (303)757-5145,,Medicaid, PROFIT-CORPORATION,,,JEFFERSON COUNTY,,12,, (303)480-5624,,,,,,1030 JAY STREET,,LAKEWOOD,CO,80214,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-66,ASPEN HOUSE ASSISTED LIVING,,,,,,,,,,,, Mr THOMAS DOLLIVER, (970)635-9800,, (970)667-2362,,Private,0,,,LARIMER COUNTY,,40,,PROFIT-CORPORATION,,,,,,2212 EAST 11TH STREET,,LOVELAND,CO,80537,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-67,ASPEN HOUSE II,,,,,,,,,,,, Mr THOMAS DOLLIVER, (970)635-2500,, (970)667-2362,,Private,0,,,LARIMER COUNTY,,40,,LIMITED LIABILITY,,,,,,2224 EAST 11TH STREET,,LOVELAND,CO,80537,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-68,ASPEN LEAF ASSISTED LIVING RESIDENCE,,,,,,,,,,,, Ms KATHY DYER, (719)765-4353,, (888)898-4928,,Medicaid, PROFIT-CORPORATION,,,KIT CARSON COUNTY,,16,, (719)348-5562, ASPEN LEAF ASSISTED LIVING RESIDENCE,P O BOX 426,FLAGLER,CO,80815,419 PAWNEE AVENUE,,FLAGLER,CO,80815,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-69,ASPEN LEAF ASSISTED LIVING RESIDENCE INC-STRATTON,,,,,,,,,,,, Ms KATHY DYER, (719)348-4666,, (888)898-4928,,Medicaid, PROFIT-CORPORATION,,,KIT CARSON COUNTY,,12,, (719)348-5562, ASPEN LEAF ASSISTED LIVING INC - STRATTON,PO BOX 426,FLAGLER,CO,80815,410 MAIN ST,,STRATTON,CO,80836,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-70,ASPEN RIDGE ALZHEIMERS SPECIAL CARE CENTER,,,,,,,,,,,,  TRACY WAITE, (970)254-1233,, (970)254-1263,,Private,6,,,MESA COUNTY,,56,,LIMITED LIABILITY,,,,,,622 28 1/4 ROAD,,GRAND JUNCTION,CO,81506,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-71,"ASPEN VIEW LIVING, LLC",,,,,,,,,,,, Mr DEREK MAIN, (303)695-7777,, (303)695-7777,,Private,,,,ARAPAHOE COUNTY,,8,, (303)480-5624,,,,,,11010 E COLORADO DRIVE,,AURORA,CO,80012,USA,Assisted Living
USA-CO-72-AssistedLiving-72-AssistedLiving-72,ASSISTED LIVING AT EATON SENIOR COMMUNITIES,,,,,,,,,,,, Ms DIANA DELGADO, (303)937-3000,, (303)937-3090,,Medicaid, CORPORATE NON-PROFIT,,,JEFFERSON COUNTY,,74,, (303)480-5624,,,,,,323 S EATON STREET,,LAKEWOOD,CO,80226,USA,Assisted Living
