row_id,Address Line1,Email,Fax,Contact Phone,City,Postal Code,Province,Facility Name,,country,facility_type
Canada-BC-33-BC-AssistedLiving-output-12,1070 Lynn Valley Road,,,(604) 417-5477,North Vancouver,V7J 1Z8,BC,Lynn Valley House,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-13,330 East 36th Avenue ,,,(604) 325-2298,Vancouver,V5W 3Z4,BC,Little Mountain Place,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-14,555 Carrall Street,,(604) 408-6728,(604) 608-8800,Vancouver,V6B 2J8,BC,Simon K.Y. Lee Seniors Home,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-15,3050 Penticton Street,,(604) 434-0985,(604) 434-0995,Vancouver,V5M 4W2,BC,Villa Carital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-16,1025 Elcho Street,,(250) 799-5635,(250) 799-5311,Bella Coola,V0T 1C0,BC,Bella Coola General Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-17,88 Waglisla Street,,(250) 957-2612,(250) 957-2314,Bella Bella,V0T 1Z0,BC,R.W. Large Memorial Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-18,5000 Joyce Avenue,,(604) 983-6839,(604) 485-3310,Powell River,V8A 5R3,BC,Powell River Community Health Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-19,6404 Clarendon Street,,,(604) 324-6230,Vancouver,V5S 4X9,BC,Clarendon Court,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-20,4505 Valley Drive,,(604) 261-7849,(604) 261-4292,Vancouver,V6L 2L1,BC,Arbutus Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-21,7252 Kerr Street,,(604) 438-0262,(604) 438-3367,Vancouver,V5S 3V2,BC,Southview Heights,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-22,1200 Cedar Village Close,,(604) 904-6411,(604) 904-6400,North Vancouver,V7J 3P3,BC,Cedarview Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-23,704 West 69th Avenue,,(604) 321-4543,(604) 321-4405,Vancouver,V6P 2W3,BC,Columbus Residence,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-24,725 Inglewood Avenue,,(604) 922-2709,(604) 922-9394,West Vancouver,V7T 1X5,BC,Inglewood Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-25,3150 Rosemont Drive,admin@kopernik-lodge.bc.ca,(604) 438-5344,(604) 438-2474,Vancouver,V5S 2C9,BC,Kopernik Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-26,1055 West 41st Avenue,info@louisbrier.com,(604) 266-8712,(604) 261-9376,Vancouver,V6M 1W9,BC,The Louis Brier Home & Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-27,1880 Renfrew Street,info@retirementconcepts.com,(604) 255-2045,(604) 255-7723,Vancouver,V5M 3H9,BC,Renfrew Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-28,2455 East Broadway,,(604) 254-5523,(604) 254-5559,Vancouver,V5M 1Y7,BC,Royal Ascot Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-29,5847 Medusa Street,,(604) 885-5140,(604) 885-5126,Sechelt,V0N 3A0,BC,Shorncliffe Intermediate Care Facility,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-30,5544 Sunshine Coast Higway,,(604) 885-8651,(604) 885-8602,Sechelt,V0N 3A0,BC,Totem Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-31,1675 27th Street,,(604) 925-3507,(604) 925-1247,West Vancouver,V7V 4K9,BC,West Vancouver Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-32,8100 Granville Avenue,,(604) 233-3175,(604) 233-3147,Richmond,V6Y 3T6,BC,Richmond Public Health,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-33,900 West 12th Avenue,info@windermerecare.ca,(604) 736-8682,(604) 736-8676,Vancouver,V5Z 1N3,BC,Windermere Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-34,4950 Heather Street,,(604) 261-9047,(604) 261-9371,Vancouver,V5Z 3L9,BC,Youville Residence,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-35,1099 Cambie Street,info@yaletown.org,(604) 662-7954,(604) 689-0022,Vancouver,V6B 5A8,BC,Yaletown House,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-36,2221 Wesbrook Mall,,,(604) 263-7377 - Central intake,Vancouver,V6T 2B5,BC,UBC Hospital - Purdy Pavilion,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-37,4970 Joyce Avenue,,(604) 485-3271,(604) 485-2208,Powell River,V8A 5P2,BC,Evergreen Extended Care,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-38,3080 Prince Edward Street,,(604) 875-8733,(604) 874-1141,Vancouver,V5T 3N4,BC,Mount Saint Joseph Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-39,7801 Argyle Street,,(604) 321-6886,(604) 321-2661,Vancouver,V5P 3L6,BC,Holy Family Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-40,3490 Porter Street,lizmonrad@cplodges.com,(604) 874-2806,(604) 874-2803,Vancouver,V5N 5W4,BC,Lakeview Care Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-41,700 West 57th Avenue,,(604) 321-7833,(604) 321-3231,Vancouver,V6P 1S1,BC,George Pearson Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-42,255 West 62nd Avenue,,(604) 877-3081,(604) 325-4116,Vancouver,V5X 4V4,BC,St. Vincent's Langara,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-43,415 West Pender Street,,(604) 681-5546,(604) 681-9111,Vancouver,V6B 1V2,BC,Central City Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-44,2444 Burr Place,nskcct@vch.ca to book a tour of the facility,(604) 924-8325,(604) 924-8300,North Vancouver,V7H 3A5,BC,Kiwanis Care Centre - North Shore,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-45,585 Shaw Road,,(604) 886-8790,(604) 886-8747,Gibsons,V0N 1V8,BC,Christenson Village,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-46,4650 Oak Street,,(604) 806-9706,(604) 806-9710,Vancouver,V6H 4J4,BC,St. Vincent's Hospital - Brock Fahrni Pavilion,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-47,2720 East 48th Avenue,,(604) 433-4547,(604) 433-2939,Vancouver,V5S 1G7,BC,Fair Haven,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-48,3263 Blenheim Street,,(604) 732-7316,(604) 732-8717,Vancouver,V6L 2X7,BC,Blenheim Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-49,231 East 15th Street,,(604) 984-3784,(604) 984-5811,North Vancouver,V7L 2L7,BC,Evergreen House,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-50,9580 Williams Road,fraserview@qwik.net,(604) 277-1844,(604) 274-3510,Richmond,V7A 1H2,BC,Fraserview Intermediate Care Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-51,9020 Bridgeport Road,,(604) 274-2543,(604) 675-2590,Richmond,V6X 1S1,BC,Richmond Lions Manor,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-52,6260 Blundell Road,,(604) 271-3551,(604) 271-3590,Richmond,V7C 5C4,BC,Rosewood Manor,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-53,970 Union Street,info@villacathay.ca,(604) 254-5230,(604) 254-5621,Vancouver,V6A 3V1,BC,Villa Cathay Care Home,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-54,2450 West 2nd Avenue,pghosp@telus.net,(604) 731-0283,(604) 731-2127,Vancouver,V6K 1J6,BC,Braddan Private Hospital,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-55,500 West 57th Avenue,susan.fong@vch.ca,(604) 324-7226,(604) 324-6882,Vancouver,V6P 6E8,BC,Dogwood Lodge,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-56,2010 Harrison Drive,info@gcch.ca,(604) 713-6548,(604) 713-6500,Vancouver,V5P 2P6,BC,German Canadian Care Home,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-57,2288 Harrison Drive,kharceg@telus.net,(604) 325-2394,(604) 325-8241,Vancouver,V5P 2P6,BC,Finnish Home,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-58,5650 Osler Street,,(604) 261-9644,(604) 261-9622,Vancouver,V6M 2W9,BC,Weinberg Residence,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-59,4875 Heather Street,,,(604) 876-7191,Vancouver,V5Z 0A7,BC,Honoria Conway at St. Vincent's Heather,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-60,5411 Moncton Street,,(604) 277-8834,(604) 277-9819,Richmond,V7E 0A8,BC,Austin Harris Residence,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-61,580 Shanghai Alley,,(604) 648-0056,(604) 648-0012,Vancouver,V6B 1N8,BC,Harmony House,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-62,2020 Harrison Drive,,,(604) 321-3812,Vancouver,V5P 0A1,BC,Icelandic Harbour,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-63,959 21st Street,,(604) 913-9830,(604) 913-9083,West Vancouver,V7J 1P2,BC,Kiwanis Manor,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-64,38225 3rd Avenue,,,1 (877) 345-6788,Squamish,V8B 0S2,BC,Shannon Falls Retirement Residence,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-65,150 West 29th Street,,(604) 904-1191,(604) 904-1199,North Vancouver,V7N 0A1,BC,Churchill House,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-66,4923 Kiwanis Avenue,,(604) 485-5250,(604) 485-5210,Powell River,V8A 5H5,BC,Kiwanis Garden Manor,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-67,1175 Broughton,,(604) 408-9868,(604) 408-9897,Vancouver,V6G 3K9,BC,Millennium Tower,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-68,1233 Haro Street,vclark@haropark.org,(604) 687-0645,(604) 687-5584,Vancouver,V6E 3Y5,BC,Haro Park Centre,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-69,1250 Cedar Village Close,,(604) 904-6440,(604) 904-6409,North Vancouver,V7J 3P3,BC,Cedar Garden,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-70,585 Shaw Road,,(604) 886-8790,(604) 886-8747,Gibsons,V0N 1V8,BC,Christenson Village,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-71,7051 Moffatt Road,,(604) 273-9253,(604) 273-1225,Richmond,V6Y 3W2,BC,Courtyard Gardens,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-72,3355 East 5th Avenue,,(604) 251-4116,(604) 251-4114,Vancouver,V5M 1P4,BC,The Cedars at Beulah Gardens,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-73,38146 Behrner Drive,,(604) 892-6091,(604) 892-9337,Squamish,V8B 0C2,BC,Hilltop House,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-74,7333 Gollner Avenue,,(604) 244-5305,(604) 244-5300,Richmond,V6Y 1Y4,BC,Minoru Residence,,Canada,AssistedLiving
Canada-BC-33-BC-AssistedLiving-output-75,11331 Mellis Drive,,(604) 273-0050,(604) 278-1296,Richmond,V6X 1L8,BC,Pinegrove Place,,Canada,AssistedLiving
