row_id,AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address,type,country
USA-FL-60-FL-HealthFinder-output-30,11966142,10397,5/6/2017,5/5/2019,Assisted Living Facility,HEIDI'S HAVEN LADY LAKE,39106 GRAYS AIRPORT ROAD,,LADY LAKE,FL,32159,Lake,(352) 787-3034,1215 LA SALIDA WAY,,LEESBURG,FL,34748,Lake,LICENSED,LUBIS ENTERPRISE LLC,5/6/2015,LAURA J GILMER,6,For-Profit,heidishaven.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-31,11967163,11255,8/27/2015,5/5/2017,Assisted Living Facility,HEIDIS HAVEN BONAIRE,1205 BONAIRE DRIVE,,LEESBURG,FL,34748,Lake,(352) 787-3034,1215 LA SALIDA WAY,,LEESBURG,FL,34748,Lake,IN REVIEW,LUBIS ENTERPRISE LLC,5/6/2015,KAREN BURCH,6,For-Profit,heidishaven.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-32,11967846,11848,5/6/2017,5/5/2019,Assisted Living Facility,HEIDIS HAVEN LASALIDA,1215 LASALIDA WAY,,LEESBURG,FL,34748,Lake,(352) 787-3034,1215 LASALIDA WAY,,LEESBURG,FL,34748,Lake,LICENSED,LUBIS ENTERPRISE LLC,5/6/2015,KAREN BURCH,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-33,11968012,11978,5/6/2017,5/5/2019,Assisted Living Facility,HEIDIS HAVEN-FRUITLAND PARK,36321 GRAYS AIRPORT RD,,FRUITLAND PK,FL,34731-5418,Lake,(352) 787-3034,1215 LA SALIDA WAY,,LEESBURG,FL,34748-8272,Lake,LICENSED,LUBIS ENTERPRISE LLC,5/6/2015,KAREN BURCH,6,For-Profit,heidishaven.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-34,11966750,10888,9/7/2016,9/6/2018,Assisted Living Facility,HELPING FRIENDS ASSISTED LIVING FACILITY,2504 BUCKHORN TRACE COURT,,VALRICO,FL,33594,Hillsborough,(813) 689-1678,4528 OAK RIVER CIRCLE,,VALRICO,FL,33594,Hillsborough,LICENSED,HELPING FRIENDS HOMES SERVICES INC,7/17/2006,GERRIT BEKO,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-35,11967293,11390,8/8/2016,8/7/2018,Assisted Living Facility,HELPING HAND ASSISTED HOME CARE LLC,4406 SW 129 AVENUE,,MIAMI,FL,33175,Miami-Dade,(305) 978-8439,4406 SW 129 AVENUE,,MIAMI,FL,33175,Miami-Dade,LICENSED,HELPING HAND ASSISTED HOME CARE  LLC,4/14/2008,JANICE MEJIA,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-36,11968560,12449,12/17/2015,12/16/2017,Assisted Living Facility,HELPING HANDS ASSISTED LIVING FACILITY 2,3708 MEADOWBROOK AVE,,ORLANDO,FL,32808,Orange,(407) 970-7592,2548 SUMMER GLEN DR,,ORLANDO,FL,32808,Orange,LICENSED,LEONIE LAFERRIERE,8/30/2013,LEONIE LAFERRIERE,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-37,11967138,11225,2/1/2016,1/31/2018,Assisted Living Facility,HELPING HEART ASSISTED LIVING FACILITY,5317 E 20TH AVENUE,,TAMPA,FL,33619,Hillsborough,(813) 900-7479,5317 E 20TH AVENUE,,TAMPA,FL,33619,Hillsborough,LICENSED,HELPING HEART LLC,2/1/2008,KENESHIA CHRISHAUNA WYATT,5,For-Profit,www.helpingheartllc.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-38,52963350,6906892,1/27/2017,1/26/2019,Adult Family Care Home,HENDERSON  CARLA,5103 19TH CT E,,BRADENTON,FL,34203,Manatee,(941) 345-0974,5103 19TH CT E,,BRADENTON,FL,34203,Manatee,LICENSED,CARLA HENDERSON,12/8/2016,CARLA HENDERSON,2,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-39,52963165,6906749,2/25/2017,2/24/2019,Adult Family Care Home,HENDRICKS  RAYMOND,1306 ANNETTE ST,,PT CHARLOTTE,FL,33980-1915,Charlotte,(941) 875-0139,1306 ANNETTE ST,,PT CHARLOTTE,FL,33980-1915,Charlotte,LICENSED,RAYMOND HENDRICKS,11/13/2014,RAYMOND HENDRICKS,4,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-40,52963303,6906869,7/8/2016,7/7/2018,Adult Family Care Home,HENRY  NADRA,16220 NW 18TH PL,,MIAMI GARDENS,FL,33054,Miami-Dade,(305) 454-2854,16220 NW 18TH PL,,MIAMI GARDENS,FL,33054,Miami-Dade,LICENSED,NADRA MICHELLE HENRY,3/30/2016,NADRA MICHELLE HENRY,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-41,52962448,6906197,3/13/2016,3/12/2018,Adult Family Care Home,HEPBURN  GLORIA R,8616 FISH LAKE RD,,TAMPA,FL,33619-4929,Hillsborough,(813) 758-5393,8616 FISH LAKE RD,,TAMPA,FL,33619-4929,Hillsborough,LICENSED,GLORIDA RICHARDSON HEPBURN,11/7/2007,GLORIDA RICHARDSON HEPBURN,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-42,11964719,9245,10/19/2016,10/18/2018,Assisted Living Facility,HERALD'S RETIREMENT HOME,1249 SUWANEE ROAD,,DAYTONA BEACH,FL,32114,Volusia,(386) 258-9921,1249 SUWANEE ROAD,,DAYTONA BEACH,FL,32114,Volusia,LICENSED,ISABEL C BERBER,10/19/2000,ISABEL C BERBER,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-43,11967820,11779,4/1/2015,3/31/2017,Assisted Living Facility,HERITAGE POINTE  INC,3831 FUNSTON CIR,,MELBOURNE,FL,32940-8583,Brevard,(321) 626-6672,P.O. BOX 541421,,MERRITT ISLAND,FL,32954,Brevard,IN REVIEW,HERITAGE POINTE  INC,10/1/2012,CHARLES GEORGES,6,For-Profit,charisalg.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-44,11968967,12825,7/11/2016,5/2/2018,Assisted Living Facility,HERMANOS VAZQUEZ ALF CORP,15578 SW 10TH ST,,MIAMI,FL,33194,Miami-Dade,(786) 401-7846,15578 SW 10TH ST,,MIAMI,FL,33194,Miami-Dade,LICENSED,Hermanos Vazquez ALF Corp,5/3/2016,JUAN A VAZQUEZ TAMAYO,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-45,11964867,9720,12/2/2015,12/1/2017,Assisted Living Facility,HERNANDEZ & SONS ALF INC,7265 NW 5TH ST,,MIAMI,FL,33126-4217,Miami-Dade,(305) 260-9960,7265 NW 5TH ST,,MIAMI,FL,33126-4217,Miami-Dade,LICENSED,HERNANDEZ & SONS ALF INC,12/2/2013,EDUARDO GONZALEZ,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-46,11967259,11339,6/5/2016,6/4/2018,Assisted Living Facility,HERNANDEZ ALF,6604 N ORLEANS AVE,,TAMPA,FL,33604-6428,Hillsborough,(813) 270-6040,6604 N ORLEANS AVE,,TAMPA,FL,33604-6428,Hillsborough,LICENSED,HERNANDEZ ALF INC,3/14/2008,LISANDRA HERNANDEZ,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-47,11968675,12543,7/23/2016,7/22/2018,Assisted Living Facility,HERNANDEZ ALF II LLC,3010 W HAYA ST,,TAMPA,FL,33614-6735,Hillsborough,(813) 270-6040,3010 W HAYA ST,,TAMPA,FL,33614-6735,Hillsborough,LICENSED,HERNANDEZ ALF II LLC,5/27/2014,LISANDRA HERNANDEZ,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-48,11964910,9498,11/27/2015,11/26/2017,Assisted Living Facility,HIALEAH HOME ALF  INC.,8230 W 16TH AVE,,HIALEAH,FL,33014-3357,Miami-Dade,(305) 512-3693,8230 W 16TH AVE,,HIALEAH,FL,33014-3357,Miami-Dade,LICENSED,HIALEAH HOME ALF  INC,10/31/2006,SANDRA KIRBY,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-49,11969072,12910,8/21/2017,9/29/2018,Assisted Living Facility,HIBISCUS OAKS  LLC,1385 HIBISCUS AVE,,WINTER PARK,FL,32789,Orange,(407) 622-5076,1385 HIBISCUS AVE,,WINTER PARK,FL,32789,Orange,LICENSED,HIBISCUS OAKS  LLC,7/21/2016,JENNIFER BROWN,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-50,11968878,12718,8/26/2015,8/25/2017,Assisted Living Facility,HIBISCUS PALACE ASSISTED LIVING FACILITY  LLC,1755 14TH AVE N,,LAKE WORTH,FL,33460,Palm Beach,(561) 841-6280,7181 VIA LEONARDO,,LAKE WORTH,FL,33467-5236,Palm Beach,IN REVIEW,HIBISCUS PALACE ASSISTED LIVING FACILITY   LLC,7/7/2015,ANDREA MATTIS,6,For-Profit,hibiscuspalacealf.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-51,11969118,12943,12/19/2016,12/18/2018,Assisted Living Facility,HIBISCUS PALACE II ASSISTED LIVING FACILITY,12842 BUCKLAND ST,,WELLINGTON,FL,33414,Palm Beach,(561) 508-6533,7181 VIA LEONARDO,,LAKE WORTH,FL,33467,Palm Beach,LICENSED,HIBISCUS PALACE II ASSISTED LIVING FACILITY,10/18/2016,ANDREA MATTIS,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-52,11966399,10597,2/14/2017,2/13/2019,Assisted Living Facility,HIDDEN GARDEN ASSISTED LIVING RESIDENCE LLC,4373 VENUS AVENUE,,WEST PALM BEACH,FL,33406,Palm Beach,(561) 471-1766,4373 VENUS AVENUE,,WEST PALM BEACH,FL,33406,Palm Beach,LICENSED,HIDDEN GARDEN ASSISTED LIVING RESIDENCE LLC,1/18/2005,DARELYN FRANCO,14,For-Profit,hiddengardenALF.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-53,11966105,10390,1/15/2016,1/14/2018,Assisted Living Facility,HIDDEN PINES ALF INC,16242 SYCAMORE DR E,,LOXAHATCHEE,FL,33470-3704,Palm Beach,(561) 383-8838,16242 SYCAMORE DR E,,LOXAHATCHEE,FL,33470-3704,Palm Beach,LICENSED,HIDDEN PINES ALF INC,11/16/2004,DOROTHY BATES,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-54,25930141,4109096,12/1/2015,11/30/2017,Intermediate Care Facility for the Developmentally Disabled,HIGH DESERT COURT GROUP HOME,11818 HIGH DESERT CT,,JACKSONVILLE,FL,32218-3629,Duval,(904) 751-4722,2837 NW 41ST ST,STE 310,GAINESVILLE,FL,32606-6826,Alachua,LICENSED,SALEM HOMES OF FLORIDA  INC.,12/1/2013,MARY ELIZABETH JOHNSON,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-55,11966282,10505,11/17/2016,8/18/2018,Assisted Living Facility,HIGHER GROUND ASSISTED LIVING FACILITY,10155 SE 110TH STREET ROAD,,CANDLER,FL,32111,Marion,(407) 761-5456,1416 VIVALDI PLACE,,LONGWOOD,FL,32779,Seminole,LICENSED,LUBIS ENTERPRISE LLC,8/19/2016,LAURA J GILMER,10,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-56,11932582,8167,3/12/2016,3/11/2018,Assisted Living Facility,HIGHLANDS HOME CARE CORP,3320 SW 88TH PL,,MIAMI,FL,33165-4230,Miami-Dade,(305) 223-1629,3320 SW 88TH PL,,MIAMI,FL,33165-4230,Miami-Dade,LICENSED,HIGHLANDS HOME CARE  CORP,3/12/2008,YAIMA HERRERA,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-57,52963301,6906864,6/10/2016,6/9/2018,Adult Family Care Home,HILAIRE  EDOUARD SAINT,298 SW CARTER AVE,,PORT SAINT LUCIE,FL,34983,St. Lucie,(772) 301-1132,298 SW CARTER AVE,,PORT SAINT LUCIE,FL,34983,St. Lucie,LICENSED,EDOUARD SAINT HILAIRE,3/28/2016,EDOUARD SAINT HILAIRE,5,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-58,11967542,11631,8/3/2015,8/2/2017,Assisted Living Facility,HILDA BENGOCHEA CORP,335 SW 22ND RD,,MIAMI,FL,33129-1911,Miami-Dade,(305) 854-8744,335 SW 22ND RD,,MIAMI,FL,33129-1911,Miami-Dade,IN REVIEW,HILDA BENGOCHEA CORP,2/23/2009,DELIA ONTIVERO,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-59,11967635,11663,9/24/2015,9/23/2017,Assisted Living Facility,HILDA'S HOME CARE ALF,8812 BAYAUD DRIVE,,TAMPA,FL,33626,Hillsborough,(813) 817-2384,8812 BAYAUD DRIVE,,TAMPA,FL,33626,Hillsborough,LICENSED,HILDA'S HOME CARE ALF LLC,9/28/2009,HILDA CASUSKY,6,For-Profit,,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-60,11967639,11636,8/6/2017,8/5/2019,Assisted Living Facility,HILL VIEW ASSISTED LIVING INC,3854 HWY 2,,GRACEVILLE,FL,32440,Jackson,(850) 263-0500,3854 HIGHWAY 2,,GRACEVILLE,FL,32440,Jackson,LICENSED,HILL VIEW ASSISTED LIVING INC,6/11/2009,SHELIA SHIVER,12,For-Profit,gracevilleassistedliving.com,Assisted Living Facilities,US
USA-FL-60-FL-HealthFinder-output-61,11922348,8007,12/14/2016,12/13/2018,Assisted Living Facility,HILLSIDE GARDENS II,3434 ZARA WAY,,CLEARWATER,FL,33761,Pinellas,(727) 789-0291,1749 MAPLELEAF BLVD,,OLDSMAR,FL,34677-2729,Pinellas,LICENSED,A & J BUSINESS INC,12/2/2004,DORIS DENISE SALVAS,6,For-Profit,,Assisted Living Facilities,US
