row_id,Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location,Country
USA-NY-45-AdultCare-45-AdultCare-11,River View Gardens NY Foundation EHP #8,4-12 49th Avenue,Queens,Long Island City,11101,(718) 361-8442,(718) 361-8534,AF0654A,"New York Foundation for Senior Citizens, Inc.",590-S-303,46,0,0,0,0,EHP,NFP,MARO,"4-12 49th Avenue
Long Island City, NY 11101
(40.74419076700008, -73.95824163799995)",USA
USA-NY-45-AdultCare-45-AdultCare-12,Rosewood on the Sound,59 Bayville Avenue,Nassau,Bayville,11709,(516) 628-1350,(516) 628-2839,AF0284B,"Rosewood on the Sound, LLC",400-F-333,50,0,50,22,0,AH,PPHA,MARO,"59 Bayville Avenue
Bayville, NY 11709
(40.91052407900003, -73.57358917799996)",USA
USA-NY-45-AdultCare-45-AdultCare-13,Danforth Adult Care Center,19 Danforth Street,Rensselaer,Hoosick Falls,12090,(518) 686-5167,(518) 686-4428,AF0035A,"Mazula, Glenn",600-F-244,80,24,0,0,0,AH/ALP,PPHA,CDRO,"19 Danforth Street
Hoosick Falls, NY 12090
(42.90942441400006, -73.34773432499998)",USA
USA-NY-45-AdultCare-45-AdultCare-14,Randolph Manor,40 East Main Street,Cattaraugus,Randolph,14772,(716) 358-4041,(716) 358-4041,AF0546A,"Randolph Manor Home for Adults, LLC",040-F-026,50,0,0,0,0,AH,PPHA,WRO,"40 East Main Street
Randolph, NY 14772
(42.16374396600003, -78.96917804499998)",USA
USA-NY-45-AdultCare-45-AdultCare-15,Gurwin Jewish Fay J. Lindner Residence,50 Hauppauge Road,Suffolk,Commack,11725,(631) 715-6500,(631) 715-8580,AF0259A,"Gurwin Jewish - Fay J. Lindner Residences, Inc.",700-E-288,65,0,65,40,14,AH,NFP,MARO,"50 Hauppauge Road
Commack, NY 11725
(40.82838443500003, -73.29797395299994)",USA
USA-NY-45-AdultCare-45-AdultCare-16,GreenField Terrace,5979 Broadway Street,Erie,Lancaster,14086,(716) 681-4434,(716) 681-6894,AF0526A,"Lutheran Church Home Of Buffalo, Inc.",240-E-013,56,0,56,23,42,AH,NFP,WRO,"5979 Broadway Street
Lancaster, NY 14086
(42.89429970400005, -78.62785729599995)",USA
USA-NY-45-AdultCare-45-AdultCare-17,Hamilton Manor Home for Adults,8196 Green Road,Madison,Hubbardsville,13355,(315) 691-4051,(315) 691-3043,AF0052B,8196 Green Road LLC,360-F-010,38,0,0,0,0,AH,PPHA,CNYRO,"8196 Green Road
Hubbardsville, NY 13355
(42.81533973100005, -75.45679167799995)",USA
USA-NY-45-AdultCare-45-AdultCare-18,St. Nicholas Home,437 Ovington Avenue,Kings,Brooklyn,11209,(718) 238-8141,(718) 680-2035,AF0404A,St. Nicholas Home Inc.,331-E-125,75,0,0,0,0,AH,NFP,MARO,"437 Ovington Avenue
Brooklyn, NY 11209
(40.63329791900003, -74.02288948099994)",USA
USA-NY-45-AdultCare-45-AdultCare-19,Elderwood Assisted Living at Waverly,44 Ball Street,Tioga,Waverly,14892,(607) 565-6216,(607) 565-2114,AF0188C,"44 Ball Street Operating Company, LLC",720-S-004,40,25,0,0,0,EHP/ALP,PPHA,CNYRO,"44 Ball Street
Waverly, NY 14892
(42.012025685000026, -76.52987409699995)",USA
USA-NY-45-AdultCare-45-AdultCare-20,Assisted Living at Northern Riverview,89 South Route 9W,Rockland,Haverstraw,10927,(845) 429-4300,(845) 429-6267,AF0198A,"Assisted Living at Northern Riverview, Inc.",620-E-019,105,100,0,0,0,AH/ALP,NFP,MARO,"89 South Route 9W
Haverstraw, NY 10927
(41.188759203000075, -73.96177857299995)",USA
USA-NY-45-AdultCare-45-AdultCare-21,"Eger Harbor House, Inc.",110 Meisner Avenue,Richmond,Staten Island,10306,(718) 554-8700,(718) 554-8707,AF0625A,"Eger Harbor House, Inc.",610-S-001,75,75,0,0,0,EHP/ALP,NFP,MARO,"110 Meisner Avenue
Staten Island, NY 10306
(40.580340843000045, -74.13135928299994)",USA
USA-NY-45-AdultCare-45-AdultCare-22,Mohawk Homestead,62 East Main Street,Herkimer,Mohawk,13407,(315) 866-1841,(315) 866-0603,AF0085A,"The Mohawk Homestead, Inc.",320-E-005,41,0,0,0,0,AH,NFP,CNYRO,"62 East Main Street
Mohawk, NY 13407
(43.01265918800004, -74.99974539499993)",USA
USA-NY-45-AdultCare-45-AdultCare-23,Sunrise at Sheepshead Bay,2211 Emmons Avenue,Kings,Brooklyn,11235,(718) 616-1850,(718) 616-1841,AF0831A,"GWC-Sheepshead Bay, Inc.",331-S-012,189,0,189,189,41,EHP,PPHA,MARO,"2211 Emmons Avenue
Brooklyn, NY 11235
(40.58382551500006, -73.94600883399994)",USA
USA-NY-45-AdultCare-45-AdultCare-24,Kings Height Rest Home,"136 Corning Street, P.O. Box 280",Dutchess,Rhinecliff,12574,(845) 876-6398,(845) 876-3984,AF0289B,"Beltejar, Rodante M.",230-F-280,21,0,0,0,0,AH,PPHA,MARO,"136 Corning Street, P.O. Box 280
Rhinecliff, NY 12574
(41.91975000000008, -73.95099989999994)",USA
USA-NY-45-AdultCare-45-AdultCare-25,Restmour Home for Adults,61 Seymour Street,Cayuga,Auburn,13021,(315) 253-7621,(315) 258-9187,AF0183B,"Delcorn Liberty, Inc.",050-F-020,24,0,0,0,0,AH,PPHA,CNYRO,"61 Seymour Street
Auburn, NY 13021
(42.937947449000035, -76.56326136699994)",USA
USA-NY-45-AdultCare-45-AdultCare-26,The Gardens by Morningstar,132 Ellen Street,Oswego,Oswego,13126,(315) 343-0880,(315) 207-2500,AF0735A,"The Gardens by Morningstar, LLC",560-F-042,106,77,0,0,0,AH/ALP,PPHA,CNYRO,"132 Ellen Street
Oswego, NY 13126
(43.44411252700007, -76.51255092499997)",USA
USA-NY-45-AdultCare-45-AdultCare-27,Bethany Village,3005 Watkins Road,Chemung,Horseheads,14845,(607) 739-8711,(607) 796-2566,AF0450A,"Bethany Retirement Home, Inc.",070-E-002,144,0,144,84,30,AH,NFP,WRO,"3005 Watkins Road
Horseheads, NY 14845
(42.185554757000034, -76.83335621799995)",USA
USA-NY-45-AdultCare-45-AdultCare-28,The Women's Christian Association,134 Temple Street,Chautauqua,Fredonia,14063,(716) 672-7961,(716) 672-3496,AF0582A,The Women's Christian Association,060-E-014,37,23,,0,0,AH/ALP,NFP,WRO,"134 Temple Street
Fredonia, NY 14063
(42.44410145300003, -79.33703226799997)",USA
USA-NY-45-AdultCare-45-AdultCare-29,Oceanview Manor Home for Adults,3010 West 33rd Street,Kings,Brooklyn,11224,(718) 996-1500,(718) 946-9102,AF0383B,"Oceanview Home for Adults, Inc.",331-F-270,176,160,0,0,0,AH/ALP,PPHA,MARO,"3010 West 33rd Street
Brooklyn, NY 11224
(40.57264829400003, -73.99921311499998)",USA
USA-NY-45-AdultCare-45-AdultCare-30,Clark Meadows at Ferris Hills,One Clark Meadows,Ontario,Canandaigua,14424,(585) 393-4330,(585) 393-0567,AF0470A,"FF Thompson Senior Communities, Inc.",530-S-003,54,0,0,0,0,EHP,PPHA,WRO,"One Clark Meadows
Canandaigua, NY 14424
(42.88144996500006, -77.28207908499996)",USA
USA-NY-45-AdultCare-45-AdultCare-31,The Terrace at the Glen,71 Longview Drive,Warren,Queensbury,12804,(518) 832-7894,(518) 832-7891,AF0127A,The Glen at Hiland Meadows Inc.,750-S-002,52,0,0,0,0,EHP,NFP,CDRO,"71 Longview Drive
Queensbury, NY 12804
(43.35272061200004, -73.64147610599997)",USA
USA-NY-45-AdultCare-45-AdultCare-32,Elderwood Assisted Living at West Seneca,580 Orchard Park Road,Erie,West Seneca,14224,(716) 677-4242,(716) 677-0883,AF0578B,"580 Orchard Park Road Operating Company, LLC",240-S-119,128,14,128,10,0,EHP/ALP,PPHA,WRO,"580 Orchard Park Road
West Seneca, NY 14224
(42.83151347000006, -78.77785676099995)",USA
USA-NY-45-AdultCare-45-AdultCare-33,Surf Manor Home for Adults,2316 Surf Avenue,Kings,Brooklyn,11224,(718) 996-8400,(718) 996-8403,AF0409A,"Lichtschein, Robert",331-F-057,200,0,0,0,0,AH,PPHA,MARO,"2316 Surf Avenue
Brooklyn, NY 11224
(40.57380219200007, -73.99026257299994)",USA
USA-NY-45-AdultCare-45-AdultCare-34,"Hedgewood ALP, LLC",355 Fishkill Avenue,Dutchess,Beacon,12508,(845) 831-6000,(845) 831-4810,AF0263B,"Hedgewood Home for Adults, LLC",230-F-082,192,192,0,0,0,AH/ALP,PPHA,MARO,"355 Fishkill Avenue
Beacon, NY 12508
(41.50800625000005, -73.95580925599995)",USA
USA-NY-45-AdultCare-45-AdultCare-35,Arkell Hall,55 Montgomery Street,Montgomery,Canajoharie,13317,(518) 673-5514,(518) 673-5612,AF0014A,Arkell Hall Foundation,380-E-002,24,0,0,0,0,AH,NFP,CDRO,"55 Montgomery Street
Canajoharie, NY 13317
(42.904294761000074, -74.56915347499995)",USA
USA-NY-45-AdultCare-45-AdultCare-36,The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,(516) 691-0706,(516) 691-7204,AF0647B,"EB CARE at Massapequa, LLC",400-F-315,84,0,0,0,0,AH,PPHA,MARO,"400 County Line Road
Massapequa, NY 11758
(40.679979900000035, -73.47347199999996)",USA
USA-NY-45-AdultCare-45-AdultCare-37,St. Mark's Terrace EHP #2,36 Millard Street,Yates,Dundee,14837,(607) 243-5215,(607) 243-5377,AF0558A,St. Mark's Housing,910-S-006,22,0,0,0,0,EHP,NFP,WRO,"36 Millard Street
Dundee, NY 14837
(42.52629055700004, -76.98301055399997)",USA
USA-NY-45-AdultCare-45-AdultCare-38,Sue's Rest,396 Canisteo Street,Steuben,Hornell,14843,(607) 324-3222,(607) 324-3222,AF0560A,"Coddington, Hubert",690-F-019,14,0,0,0,0,AH,PPHA,WRO,"396 Canisteo Street
Hornell, NY 14843
(42.31506354800007, -77.66047544599996)",USA
USA-NY-45-AdultCare-45-AdultCare-39,The Bristal at North Woodmere,477 Hungry Harbor Road,Nassau,North Woodmere,11581,(516) 336-2600,(516) 792-5402,AF0621A,Hungry Harbor Care LLC,400-S-304,155,0,0,0,0,EHP,PPHA,MARO,"477 Hungry Harbor Road
North Woodmere, NY 11581
(40.644386491000034, -73.72365083699998)",USA
USA-NY-45-AdultCare-45-AdultCare-40,Lutheran Home of Central New York,108 Utica Road,Oneida,Clinton,13323,(315) 853-5515,(315) 853-1977,AF0075A,Lutheran Home of Central NY,510-E-007,68,0,0,0,0,AH,NFP,CNYRO,"108 Utica Road
Clinton, NY 13323
(43.05741929800007, -75.36378738499997)",USA
USA-NY-45-AdultCare-45-AdultCare-41,The Bristal at Lynbrook,8 Freer Street,Nassau,Lynbrook,11563,(516) 593-2424,(516) 599-5594,AF0387D,"Lynbrook Senior Care, LLC",400-F-335,200,0,200,44,33,AH,PPHA,MARO,"8 Freer Street
Lynbrook, NY 11563
(40.655939542000056, -73.68390042199997)",USA
USA-NY-45-AdultCare-45-AdultCare-42,Home of the Good Shepherd Moreau,186-200 Bluebird Road,Saratoga,Moreau,12803,(518) 792-1000,(518) 792-1066,AF0708A,"The Church Aid of the Protestant Episcopal Church in the Town of Saratoga Springs, Inc.",640-E-040,72,0,72,72,0,AH,NFP,CDRO,"186-200 Bluebird Road
Moreau, NY 12803
(43.287072728000055, -73.61568974299996)",USA
USA-NY-45-AdultCare-45-AdultCare-43,Sunrise of West Babylon,580 Montauk Highway,Suffolk,West Babylon,11704,(631) 422-8500,(631) 422-8700,AF0848B,"GWC - West Babylon, Inc.",700-F-924,109,0,109,109,27,AH,PPHA,MARO,"580 Montauk Highway
West Babylon, NY 11704
(40.68726344500004, -73.34190666799998)",USA
USA-NY-45-AdultCare-45-AdultCare-44,Ingersoll Place,3359 Consaul Road,Schenectady,Schenectady,12304,(518) 370-4419,(518) 393-9410,AF0663A,"Ingersoll Adult Home, Inc.",650-E-007,78,0,78,8,17,AH,NFP,CDRO,"3359 Consaul Road
Schenectady, NY 12304
(42.77990531100005, -73.88787589299994)",USA
USA-NY-45-AdultCare-45-AdultCare-45,The Brielle at Seaview,140 Friendship Lane,Richmond,Staten Island,10314,(917) 281-6810,(929) 256-3034,AF0729A,Seaview Senior Living Housing Development Fund Corporation,610-E-012,188,0,188,188,26,AH,NFP,MARO,"140 Friendship Lane
Staten Island, NY 10314
(40.584416100000055, -74.15991989999998)",USA
USA-NY-45-AdultCare-45-AdultCare-46,Queens Adult Care Center,80-08 45th Avenue,Queens,Elmhurst,11373,(718) 639-1800,(718) 899-1917,AF0293B,"Hofgur, LLC",590-F-309,352,200,0,0,0,AH/ALP,PPHA,MARO,"80-08 45th Avenue
Elmhurst, NY 11373
(40.74142859700004, -73.88422800399997)",USA
USA-NY-45-AdultCare-45-AdultCare-47,Brookdale Manlius,100 Flume Road,Onondaga,Manlius,13104,(315) 682-9261,(315) 682-1129,AF0844A,"WW Manlius Operator, Inc.",520-S-137,86,0,86,86,0,EHP,PPHA,CNYRO,"100 Flume Road
Manlius, NY 13104
(43.000750409000034, -75.97820291599999)",USA
USA-NY-45-AdultCare-45-AdultCare-48,Apple Gate Adult Home,400 Ohio Street,Orleans,Medina,14103,(585) 798-3420,(585) 798-5662,AF0443A,"Johnson, Alan R.",550-F-004,28,0,0,0,0,AH,PPHA,WRO,"400 Ohio Street
Medina, NY 14103
(43.22119819100004, -78.39705232499995)",USA
USA-NY-45-AdultCare-45-AdultCare-49,Garden House For Adults,91 Walnut Street,Broome,Binghamton,13905,(607) 724-5763,(607) 724-5763,AF0044A,"Bawas, Imelda",030-F-038,24,0,0,0,0,AH,PPHA,CNYRO,"91 Walnut Street
Binghamton, NY 13905
(42.101465553000025, -75.92299659799994)",USA
USA-NY-45-AdultCare-45-AdultCare-50,Sarah Jane Sanford Home,69 Guy Park Avenue,Montgomery,Amsterdam,12010,(518) 842-3670,(518) 842-6340,AF0111A,The Home for Elderly Women of Montgomery County,380-E-011,40,0,0,0,0,AH,NFP,CDRO,"69 Guy Park Avenue
Amsterdam, NY 12010
(42.941397875000064, -74.19468240899994)",USA
USA-NY-45-AdultCare-45-AdultCare-51,Brookdale Vestal East,505 Clubhouse Road,Broome,Vestal,13850,(607) 722-3422,(607) 722-5841,AF0137C,"Painted Post, LLC",030-F-054,116,0,0,0,0,AH,PPHA,CNYRO,"505 Clubhouse Road
Vestal, NY 13850
(42.08745123700004, -75.95106119299999)",USA
USA-NY-45-AdultCare-45-AdultCare-52,Hilton East Assisted Living,231 East Avenue,Monroe,Hilton,14468,(585) 392-7171,(585) 392-3631,AF0515A,"Wegman, David J.",370-F-208,205,110,0,0,0,AH/ALP,PPHA,WRO,"231 East Avenue
Hilton, NY 14468
(43.28994942300005, -77.78618202699994)",USA
USA-NY-45-AdultCare-45-AdultCare-53,Elmore Home for Adults,330 Elmore Street,Suffolk,Central Islip,11722,(631) 234-6506,(631) 671-9662,AF0244A,"Miranda, Josevito",700-F-300,22,0,0,0,0,AH,PPHA,MARO,"330 Elmore Street
Central Islip, NY 11722
(40.78440183500004, -73.19975609599999)",USA
USA-NY-45-AdultCare-45-AdultCare-54,Westchester Center for Independent and Assisted Living,75 Stratton Street South,Westchester,Yonkers,10701,(914) 787-7400,,AF0692A,"Westchester ALP Management, LLC",800-F-990,195,195,0,0,0,AH/ALP,PPHA,MARO,"75 Stratton Street South
Yonkers, NY 10701
(40.94254479800003, -73.87639524399998)",USA
USA-NY-45-AdultCare-45-AdultCare-55,Fredonia Place,50 Howard Street,Chautauqua,Fredonia,14063,(716) 679-2250,(716) 679-2259,AF0606A,"Water/Howard Associates, LLC",060-S-003,84,0,84,15,24,EHP,PPHA,WRO,"50 Howard Street
Fredonia, NY 14063
(42.43232763100008, -79.32621632699994)",USA
USA-NY-45-AdultCare-45-AdultCare-56,New Haven Manor,1526 New Haven Avenue,Queens,Far Rockaway,11691,(718) 471-7200,(718) 471-7650,AF0328B,"New Haven Manor Home for Adults, LLC",590-F-172,123,0,0,0,0,AH,PPHA,MARO,"1526 New Haven Avenue
Far Rockaway, NY 11691
(40.59934547700004, -73.74955157099998)",USA
USA-NY-45-AdultCare-45-AdultCare-57,Westminster Manor,81 South Street,Cayuga,Auburn,13021,(315) 252-0507,(315) 258-3157,AF0190A,Cayuga-Syracuse Presbyterian Home for the Elderly,050-E-002,37,0,0,0,0,AH,NFP,CNYRO,"81 South Street
Auburn, NY 13021
(42.92525010600008, -76.56566879499997)",USA
USA-NY-45-AdultCare-45-AdultCare-58,Heritage Manor of Lockport,41 Lexington Court,Niagara,Lockport,14094,(716) 433-7626,(716) 433-7769,AF0587A,"Heritage Management Associates, LLC",500-F-093,64,0,0,0,0,AH,PPHA,WRO,"41 Lexington Court
Lockport, NY 14094
(43.162362493000046, -78.66392346999999)",USA
USA-NY-45-AdultCare-45-AdultCare-59,Kenwood Manor,141 Rockefeller Road,Albany,Delmar,12054,(518) 439-8899,(518) 475-1690,AF0048A,"Kenwood Manor, Inc.",000-E-282,67,0,0,0,0,AH,NFP,CDRO,"141 Rockefeller Road
Delmar, NY 12054
(42.62513632300005, -73.80298852999994)",USA
USA-NY-45-AdultCare-45-AdultCare-60,Promenade at Blue Hill,582 Veterans Memorial Drive,Rockland,Pearl River,10965,(845) 735-6846,(845) 735-6855,AF0225B,Promenade Blue Hill LLC,620-F-085,61,0,0,0,0,AH,PPHA,MARO,"582 Veterans Memorial Drive
Pearl River, NY 10965
(41.050132586000075, -74.00631309199997)",USA
USA-NY-45-AdultCare-45-AdultCare-61,St. Louise Manor,861 Front Street,Broome,Binghamton,13905,(607) 724-4000,(607) 724-8300,AF0116C,UMH NY Corp.,030-E-052,52,24,0,0,0,AH/ALP,NFP,CNYRO,"861 Front Street
Binghamton, NY 13905
(42.130032920000076, -75.90603020899994)",USA
USA-NY-45-AdultCare-45-AdultCare-62,"Moffat Gardens ALP, Inc",22 Moffat Street,Kings,Brooklyn,11207,(718) 366-3800,(866) 340-5850,AF0680A,"Ridgewood Bushwick Senior Citizens Council, Inc",331-S-009,30,30,0,0,0,EHP/ALP,NFP,MARO,"22 Moffat Street
Brooklyn, NY 11207
(40.68369461100008, -73.91012069699997)",USA
USA-NY-45-AdultCare-45-AdultCare-63,Adirondack Manor D.B.A. Valehaven HFA,24 East Oneida Street,Oswego,Oswego,13126,(315) 342-3959,(315) 342-2022,AF0144A,"Kane, Sr., James E.",560-F-013,35,0,0,0,0,AH,PPHA,CNYRO,"24 East Oneida Street
Oswego, NY 13126
(43.456718170000045, -76.50559563299998)",USA
USA-NY-45-AdultCare-45-AdultCare-64,The Cloisters,171 North Maple Street,Wyoming,Warsaw,14569,(585) 786-8727,(585) 786-0436,AF0472C,"Sunrise Assets, LLC",900-F-005,48,0,0,0,0,AH,PPHA,WRO,"171 North Maple Street
Warsaw, NY 14569
(42.74590541900005, -78.13912838899995)",USA
USA-NY-45-AdultCare-45-AdultCare-65,Brookdale Niagara Assisted Living,6741 Nash Road,Niagara,North Tonawanda,14120,(716) 731-1634,(716) 731-1823,AF0872A,"SH Niagara Operator, Inc.",500-S-002,53,0,53,53,0,EHP,PPHA,WRO,"6741 Nash Road
North Tonawanda, NY 14120
(43.097385290000034, -78.86640595299997)",USA
USA-NY-45-AdultCare-45-AdultCare-66,Brookdale East Side,7164 East Genesee Street,Onondaga,Fayetteville,13066,(315) 637-5127,(315) 637-1429,AF0156C,"Painted Post, LLC",520-F-164,88,0,0,0,0,AH,PPHA,CNYRO,"7164 East Genesee Street
Fayetteville, NY 13066
(43.028796527000054, -76.02724114399996)",USA
USA-NY-45-AdultCare-45-AdultCare-67,VillageCare at 46 and Ten,510 West 46th Street,New York,New York,10036,(212) 977-4600,(212) 977-4848,AF0423A,Village Housing Development Fund Corporation,420-S-379,89,80,0,0,0,EHP/ALP,NFP,MARO,"510 West 46th Street
New York, NY 10036
(40.76236662900004, -73.99414238299994)",USA
USA-NY-45-AdultCare-45-AdultCare-68,Camillus Ridge Terrace,2453 W. Genesee Turnpike,Onondaga,Camillus,13031,(315) 672-3790,(315) 672-5607,AF0645A,"Santiago, Jason",520-F-157,56,0,0,0,0,AH,PPHA,CNYRO,"2453 W. Genesee Turnpike
Camillus, NY 13031
(43.03601540400007, -76.33872367599997)",USA
USA-NY-45-AdultCare-45-AdultCare-69,Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Suffolk,Melville,11747,(631) 531-0000,(631) 531-0003,AF0589B,Brandywine Senior Living at Huntington Terrace LLC,700-S-299,110,0,110,110,0,EHP,PPHA,MARO,"70 Pinelawn Road
Melville, NY 11747
(40.77959338900007, -73.40580471699997)",USA
USA-NY-45-AdultCare-45-AdultCare-70,Meadowbrook Terrace Assisted Living Facility,21957 Cole Road,Jefferson,Carthage,13619,(315) 519-1246,(315) 519-1339,AF0704A,Meadowbrook Terrace Inc.,330-E-004,60,58,0,0,0,AH/ALP,NFP,CNYRO,"21957 Cole Road
Carthage, NY 13619
(43.985283233000075, -75.64994864199997)",USA
USA-NY-45-AdultCare-45-AdultCare-71,Loudonville Assisted Living Residence,298 Albany Shaker Road,Albany,Loudonville,12211,(518) 463-4398,(518) 463-4409,AF0074B,"Westmere Home for Adults, LLC",000-F-304,105,0,105,27,18,AH,PPHA,CDRO,"298 Albany Shaker Road
Loudonville, NY 12211
(42.68247848200008, -73.75922191399997)",USA
USA-NY-45-AdultCare-45-AdultCare-72,Culinarians' Home Foundation,71 Old Tschirky Road,Ulster,New Paltz,12561,(845) 255-7010,(845) 255-2012,AF0229A,Culinarians' Home Foundation,740-E-002,18,0,0,0,0,AH,NFP,MARO,"71 Old Tschirky Road
New Paltz, NY 12561
(41.80475474200006, -74.06378470499999)",USA
USA-NY-45-AdultCare-45-AdultCare-73,Atria Guilderland,300 Mill Rose Court,Albany,Slingerlands,12159,(518) 218-0506,(518) 218-0164,AF0614C,"ATR New York LH, Inc.",000-F-308,120,0,120,21,21,AH,PPHA,CDRO,"300 Mill Rose Court
Slingerlands, NY 12159
(42.68507270300006, -73.90418744599998)",USA
USA-NY-45-AdultCare-45-AdultCare-74,Legacy at Maiden Park,749 Maiden Lane,Monroe,Rochester,14615,(585) 546-7275,(585) 581-0066,AF0746A,"Traditions Operating Company of NY, LLC",370-F-244,98,0,98,39,26,AH,PPHA,WRO,"749 Maiden Lane
Rochester, NY 14615
(43.22368448700007, -77.66431289099995)",USA
USA-NY-45-AdultCare-45-AdultCare-75,Emeritus at the Landing of Brockport,90 West Avenue,Monroe,Brockport,14420,(585) 637-3140,(585) 637-3145,AF0567B,Wegman Family (Brockport) LLC II,370-S-849,114,0,114,80,34,EHP,PPHA,WRO,"90 West Avenue
Brockport, NY 14420
(43.22010747000007, -77.94188176999995)",USA
USA-NY-45-AdultCare-45-AdultCare-76,Sachem Adult Home,1298 Coates Avenue,Suffolk,Holbrook,11741,(631) 588-4554,(631) 588-4578,AF0378B,Sachem Adult Home and ALP LLC,700-F-935,46,26,0,0,0,AH/ALP,PPHA,MARO,"1298 Coates Avenue
Holbrook, NY 11741
(40.797652611000046, -73.08018803499994)",USA
USA-NY-45-AdultCare-45-AdultCare-77,New Brookhaven Town House for Adults,111 Beaverdam Road,Suffolk,Brookhaven,11719,(631) 286-2500,(631) 286-6488,AF0325A,"Hofman, Leon",700-F-287,182,0,0,0,0,AH,PPHA,MARO,"111 Beaverdam Road
Brookhaven, NY 11719
(40.88568857100006, -73.11112388399994)",USA
USA-NY-45-AdultCare-45-AdultCare-78,Harbor House,150 South Street,Nassau,Oyster Bay,11771,(516) 624-8400,(516) 624-2949,AF0808A,"Oyster Bay Senior Residence, Inc.",400-F-305,136,0,136,0,124,AH,PPHA,MARO,"150 South Street
Oyster Bay, NY 11771
(40.87076369600004, -73.53120597999998)",USA
