row_id,Facility Name,Facility ID,License Exp.,Facility Type,Address1,Address2,City,State,Zip,Owner,Owner Address1,Owner Address2,Owner City,Owner State,Owner Zip,Facility Phone,Facility Fax,Owner Phone,Owner Fax,Capacity,Country
USA-TX-59-TX-AssistedLiving-output-26,GARDEN ESTATES OF TEMPLE ASSISTED LIVING COMMUNITY,030135,01/15/2019,ASSISTED LIVING,5320 LOOP 205,,TEMPLE,TX,76502,LSREF GOLDEN OPS 26 (TX) LLC,3500 LENOX ROAD NE,STE 510,ATLANTA,GA,30326,(254) 770-1017,(254) 770-1101,(770) 754-9660,(770) 754-3085,156,US
USA-TX-59-TX-AssistedLiving-output-27,SODALIS ELDER LIVING TEMPLE I,103040,08/14/2017,ASSISTED LIVING,2728 COTTONWOOD LN,,TEMPLE,TX,76502,ALZCARE I LTD,195 S ACADEMY,,NEW BRAUNFELS,TX,78130,(254) 771-9911,(254) 771-2928,(830) 624-1044,,16,US
USA-TX-59-TX-AssistedLiving-output-28,SODALIS ELDER LIVING TEMPLE II,103473,01/16/2019,ASSISTED LIVING,2728 COTTONWOOD LN BLDG B,,TEMPLE,TX,76502,ALZCARE I LTD,195 S ACADEMY,,NEW BRAUNFELS,TX,78130,(254) 771-9911,(254) 771-2928,(830) 624-1044,,16,US
USA-TX-59-TX-AssistedLiving-output-29,WILDFLOWER PLACE,000973,07/11/2017,ASSISTED LIVING,706 RED COAT DR,,TEMPLE,TX,76504,WILDFLOWER AID OPCO LLC,330 N WABASH,STE 3700,CHICAGO,IL,60611,(254) 742-1581,(254) 742-0425,(312) 725-7000,(312) 332-5300,47,US
USA-TX-59-TX-AssistedLiving-output-30,RIOJAS ASSISTED LIVING HOME,000641,09/12/2017,ASSISTED LIVING,14212 GREENWOOD RD,,ATASCOSA,TX,78002,EDDIE RIOJAS,14212 GREENWOOD RD,,ATASCOSA,TX,78002,(830) 709-3541,(830) 709-3541,(830) 709-4196,(830) 709-3541,16,US
USA-TX-59-TX-AssistedLiving-output-31,TINSLEY HOME CARE,030056,03/13/2019,ASSISTED LIVING,17425 LUCKEY RD,,ATASCOSA,TX,78002,CONSUELO V SALINAS,17425 LUCKEY RD,,ATASCOSA,TX,78002,(210) 622-9033,(210) 622-0208,(210) 885-9011,,9,US
USA-TX-59-TX-AssistedLiving-output-32,NEURORESTORATIVE SAN ANTONIO,105203,08/01/2018,ASSISTED LIVING,124 SOUTH WINSTON LANE,,CASTLE HILLS,TX,78213,"MENTOR ABI, LLC",313 CONGRESS ST,5TH FLR,BOSTON,MA,02210,(210) 979-0830,(210) 979-0842,(617) 790-4800,(617) 790-4271,6,US
USA-TX-59-TX-AssistedLiving-output-33,ESPLANADE GARDENS SENIOR INC,030364,03/17/2019,ASSISTED LIVING,10790 TOEPPERWEIN,,CONVERSE,TX,78109,ESPLANADE GARDENS SENIOR INC,10790 TOPPERWEIN RD,,CONVERSE,TX,78109,(210) 566-7600,(210) 566-7605,(210) 566-7600,(210) 566-7605,120,US
USA-TX-59-TX-AssistedLiving-output-34,ISAIAH'S HOUSE,103742,05/12/2019,ASSISTED LIVING,7118 CLIPPER RIDGE,,CONVERSE,TX,78109,ISAIAH HOME CARE INC,7118 CLIPPER RIDGE,,CONVERSE,TX,78109,(210) 391-9537,(210) 590-1646,(210) 391-9537,(210) 590-1646,8,US
USA-TX-59-TX-AssistedLiving-output-35,MIRAMAR HOME CARE,105159,08/30/2018,ASSISTED LIVING,8662 GAVEL DRIVE,,CONVERSE,TX,78109,LAURA DORCA,8622 GAVEL DRIVE,,CONVERSE,TX,78109,(210) 957-4769,(210) 932-8250,(210) 957-4769,(210) 932-8250,6,US
USA-TX-59-TX-AssistedLiving-output-36,HONEY'S HOUSE OF HELOTES,105882,11/07/2018,ASSISTED LIVING,10410 PARRIGIN RD,,HELOTES,TX,78023,RESIDENTIAL CARE HOMES OF AMERICA LLC,10410 PARRIGIN RD,,HELOTES,TX,78023,(210) 540-8288,,(210) 540-8288,,16,US
USA-TX-59-TX-AssistedLiving-output-37,HONEY'S HOUSE OF HELOTES II,106841,06/16/2019,ASSISTED LIVING,12445 FM 1560 N.,,HELOTES,TX,78023,RESIDENTIAL CARE HOMES OF AMERICA LLC,10410 PARRIGIN RD,,HELOTES,TX,78023,(210) 540-8288,,(210) 540-8288,,16,US
USA-TX-59-TX-AssistedLiving-output-38,BROOKDALE HOLLYWOOD PARK,030200,10/01/2018,ASSISTED LIVING,16911 SAN PEDRO,,HOLLYWOOD PARK,TX,78232,"ESC-NGH, LP",111 WESTWOOD PL,STE 400,BRENTWOOD,TN,37027,(210) 495-9340,(210) 495-3570,(414) 918-5000,(414) 918-5054,101,US
USA-TX-59-TX-AssistedLiving-output-39,TEXAS COMFORT CARE HOME,103436,06/20/2019,ASSISTED LIVING,6206 SETTING SUN ST,,LEON VALLEY,TX,78238,TEXAS COMFORT LLC,6206 SETTING SUN,,LEON VALLEY,TX,78238,(210) 520-4747,(210) 888-2224,(210) 823-9676,(210) 888-2224,6,US
USA-TX-59-TX-AssistedLiving-output-40,COUNTRY LIFE,103167,10/21/2018,ASSISTED LIVING,16680 FM 2790 S,,LYTLE,TX,78052,"CRS HEALTHCARE, LLC",16680 W FM 2790 S,,LYTLE,TX,78052,(830) 709-0163,(888) 398-5945,(830) 569-7510,(888) 398-5945,16,US
USA-TX-59-TX-AssistedLiving-output-41,GOLDEN YEARS ASSISTED LIVING,106299,01/21/2018,ASSISTED LIVING,16860 W. FM 2790 S,,LYTLE,TX,78052,GOLDEN YEARS ASSISTED LIVING,16860 W FM 2790 S,,LYTLE,TX,78052,(830) 772-5888,(830) 772-5888,(830) 772-5888,(830) 772-5888,9,US
USA-TX-59-TX-AssistedLiving-output-42,"A GOLDEN AGE ASSISTED LIVING, LLC",106325,09/22/2017,ASSISTED LIVING,1635 HILLCREST DR,,SAN ANTONIO,TX,78228,"A GOLDEN AGE ASSISTED LIVING, LLC",1635 HILLCREST DR,,SAN ANTONIO,TX,78228,(210) 432-2128,(210) 432-2128,(210) 430-6392,(210) 503-5418,11,US
USA-TX-59-TX-AssistedLiving-output-43,AGAPE HOUSE II,100902,09/18/2018,ASSISTED LIVING,3443 WILLOWWOOD ST,,SAN ANTONIO,TX,78219,JUNE SORRELL,2551 GROVE PARK,,SCHERTZ,TX,78154,(210) 253-9081,,(210) 862-5221,(210) 475-3307,7,US
USA-TX-59-TX-AssistedLiving-output-44,AMAZING PEACE HOME CARE LLC,000881,11/15/2017,ASSISTED LIVING,1202 DONALDSON AVE,,SAN ANTONIO,TX,78228,AMAZING PEACE HOME CARE LLC,2327 FOX MEADOW,,SAN ANTONIO,TX,78251,(210) 736-2305,(210) 736-0226,(210) 858-9585,(210) 736-0226,24,US
USA-TX-59-TX-AssistedLiving-output-45,ANGEL PLACE ASSISTED LIVING HOMES INC #1,100310,01/27/2019,ASSISTED LIVING,3907 SHERRIL BROOK DR,,SAN ANTONIO,TX,78228,ANGEL PLACE ASSISTED LIVING HOMES INC,173 W LIGUSTRUM DR,,SAN ANTONIO,TX,78228,(210) 435-8234,(210) 401-1819,(210) 618-6436,(210) 401-1819,15,US
USA-TX-59-TX-AssistedLiving-output-46,ANGEL PLACE ASSISTED LIVING HOMES INC #2,000660,01/27/2019,ASSISTED LIVING,3911 SHERRIL BROOK DR,,SAN ANTONIO,TX,78228,ANGEL PLACE ASSISTED LIVING HOMES INC,173 W LIGUSTRUM DR,,SAN ANTONIO,TX,78228,(210) 435-8234,(210) 401-1819,(210) 618-6436,(210) 401-1819,13,US
USA-TX-59-TX-AssistedLiving-output-47,ARDEN COURTS OF SAN ANTONIO,100213,04/07/2019,ASSISTED LIVING,15290 HUEBNER RD,,SAN ANTONIO,TX,78231,ARDEN COURTS OF SAN ANTONIO TX LLC,333 NORTH SUMMIT ST,,TOLEDO,OH,43604,(210) 408-9100,(210) 408-9101,(419) 252-5518,(877) 385-9446,64,US
USA-TX-59-TX-AssistedLiving-output-48,"ARDEN PARK ASSISTED LIVING, LLC",105837,02/25/2018,ASSISTED LIVING,7023 WEST HAUSMAN RD,,SAN ANTONIO,TX,78249,"ARDEN PARK ASSISTED LIVING, LLC",7023 WEST HAUSMAN RD,,SAN ANTONIO,TX,78255,(210) 723-6602,(210) 877-5386,(210) 663-3887,(210) 877-5386,16,US
USA-TX-59-TX-AssistedLiving-output-49,ARNOLD HOUSE AT BLUE SKIES OF TEXAS EAST,104902,10/01/2018,ASSISTED LIVING,4917 RAVENSWOOD DRIVE,,SAN ANTONIO,TX,78227,BST HEALTH SERVICES CORP,12455 FREEDOM WAY,,SAN ANTONIO,TX,78245,(210) 568-5061,(210) 568-5155,(210) 838-6332,(210) 838-6315,24,US
USA-TX-59-TX-AssistedLiving-output-50,AUTISM TREATMENT CENTER INC,102947,07/18/2018,ASSISTED LIVING,16511 HUNTING VALLEY,,SAN ANTONIO,TX,78247,AUTISTIC TREATMENT CENTER INC,10503 METRIC DR,,DALLAS,TX,75243,(210) 590-2107,(210) 590-3143,(972) 644-2076,(972) 644-5650,7,US
USA-TX-59-TX-AssistedLiving-output-51,AUTISTIC TREATMENT CENTER,106309,12/15/2017,ASSISTED LIVING,16330 MARTINS FERRY,,SAN ANTONIO,TX,78247,AUTISTIC TREATMENT CENTER INC,10503 METRIC DR,,DALLAS,TX,75243,(210) 590-2107,(210) 590-3143,(972) 644-2076,(972) 644-5650,5,US
USA-TX-59-TX-AssistedLiving-output-52,AUTUMN GROVE - BLANCO,105328,02/26/2019,ASSISTED LIVING,1418 WALKERS WAY,,SAN ANTONIO,TX,78216,GLEN HOPE HARBOR INC,317 MARTINIQUE PASS,,LAKEWAY,TX,78734,(210) 493-1181,(210) 493-1185,(469) 371-0445,(512) 761-3548,16,US
USA-TX-59-TX-AssistedLiving-output-53,AUTUMN LEAVES OF STONE OAK,105829,12/18/2018,ASSISTED LIVING,20271 STONE OAK PARKWAY,,SAN ANTONIO,TX,78258,STONE OAK MEMORY CARE LLC,20271 STONE OAK PARKWAY,,SAN ANTONIO,TX,78258,(210) 497-5200,(210) 497-5502,(210) 497-5200,(210) 497-5502,50,US
USA-TX-59-TX-AssistedLiving-output-54,AUTUMN LEAVES RESIDENTIAL HOME,030361,08/06/2018,ASSISTED LIVING,6411 RIDGE PLACE,,SAN ANTONIO,TX,78250,WILMA J LA CROIX,6411 RIDGE PLACE,,SAN ANTONIO,TX,78250,(210) 680-1343,(210) 681-2901,(210) 681-1343,(210) 681-2901,9,US
USA-TX-59-TX-AssistedLiving-output-55,AUTUMN LEAVS OF WESTOVER HILLS,106414,02/26/2018,ASSISTED LIVING,10107 W MILITARY DR,,SAN ANTONIO,TX,78251,"WESTOVER HILLS MEMORY CARE, LLC",545 E JOHN CARPENTER FRWY,STE 500,IRVING,TX,75062,(210) 608-9302,,(214) 845-4000,(214) 845-4501,54,US
USA-TX-59-TX-AssistedLiving-output-56,AUTUMNGROVE COTTAGE (STONE OAK),105770,02/26/2019,ASSISTED LIVING,20718 STONE OAK PKWY,,SAN ANTONIO,TX,78258,GLEN HOPE HARBOR INC,317 MARTINIQUE PASS,,LAKEWAY,TX,78734,(210) 497-8645,(210) 497-8614,(469) 371-0445,(512) 761-3548,16,US
USA-TX-59-TX-AssistedLiving-output-57,AVALON MEMORY CARE- MYSTIC PARK,106556,10/21/2018,ASSISTED LIVING,8615 MYSTIC PARK,,SAN ANTONIO,TX,78254,O'HARE MANAGEMENT LLC,1625 N STEMMONS FRWY,,DALLAS,TX,75207,(214) 752-7050,(214) 752-7054,(214) 752-7050,(214) 752-7054,25,US
USA-TX-59-TX-AssistedLiving-output-58,BADER HOUSE,106230,09/02/2017,ASSISTED LIVING,3411 PAESANO'S PARKWAY,,SAN ANTONIO,TX,78231,"BADER HOUSE OF SHAVANO PARK I, LTD.",11503 NW MILITARY,SUITE 330,SAN ANTONIO,TX,78231,(210) 408-1002,,(210) 332-8676,,24,US
USA-TX-59-TX-AssistedLiving-output-59,BLOSSOM CARE ASSISTED LIVING,104432,08/26/2018,ASSISTED LIVING,24803 BROAD OAK TRAIL,,SAN ANTONIO,TX,78255,ELIZABETH DAVIS,24803 BROAD OAK TRL,,SAN ANTONIO,TX,78255,(210) 267-9106,(210) 272-0800,(210) 267-9106,(210) 272-0800,10,US
USA-TX-59-TX-AssistedLiving-output-60,BOARDING WITH TENDER CARE INC,100822,09/10/2018,ASSISTED LIVING,1002 GALLATIN DR,,SAN ANTONIO,TX,78245,BOARDING WITH TENDER CARE INC,1002 GALLATIN DR,,SAN ANTONIO,TX,78245,(210) 573-3680,(210) 670-1440,(210) 670-1440,(210) 675-2306,9,US
USA-TX-59-TX-AssistedLiving-output-61,BROOKDALE ALAMO HEIGHTS,000945,01/18/2019,ASSISTED LIVING,855 E BASSE RD,,SAN ANTONIO,TX,78209,S-H OPCO LINCOLN HEIGHTS LLC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 930-1040,(210) 930-1844,(414) 918-5000,(414) 918-6076,97,US
USA-TX-59-TX-AssistedLiving-output-62,BROOKDALE CASTLE HILLS,100252,07/29/2019,ASSISTED LIVING,1207 JACKSON KELLER,,SAN ANTONIO,TX,78213,BROOKDALE CASTLE HILLS LLC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 375-8132,(210) 375-2341,(414) 918-5000,(414) 918-5054,160,US
USA-TX-59-TX-AssistedLiving-output-63,BROOKDALE CASTLE HILLS,100251,08/01/2017,ASSISTED LIVING,1207 JACKSON KELLER,,SAN ANTONIO,TX,78213,BROOKDALE CASTLE HILLS LLC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 375-8132,(210) 375-2341,(414) 918-5000,(414) 918-5054,31,US
USA-TX-59-TX-AssistedLiving-output-64,BROOKDALE HAMILTON WOLFE,030049,09/18/2017,ASSISTED LIVING,5331 HAMILTON WOLFE RD,,SAN ANTONIO,TX,78229,ESC III LP,6737 W WASHINGTON STREET,SUITE 2300,MILWAUKEE,WI,53214,(210) 641-7200,(210) 696-2911,(615) 221-2250,(615) 221-2280,32,US
USA-TX-59-TX-AssistedLiving-output-65,BROOKDALE HAMILTON WOLFE,030050,09/18/2018,ASSISTED LIVING,5331 HAMILTON WOLFE RD,,SAN ANTONIO,TX,78229,ESC III LP,6737 W WASHINGTON STREET,SUITE 2300,MILWAUKEE,WI,53214,(210) 641-7200,(210) 696-2911,(615) 221-2250,(615) 221-2280,96,US
USA-TX-59-TX-AssistedLiving-output-66,BROOKDALE MALTSBERGER,000350,12/01/2018,ASSISTED LIVING,13303 JONES MALTSBERGER RD,,SAN ANTONIO,TX,78247,BROOKDALE SENIOR LIVING COMMUNITIES INC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 402-3800,(210) 402-4047,(414) 918-5441,(414) 918-6076,60,US
USA-TX-59-TX-AssistedLiving-output-67,BROOKDALE MEDICAL CENTER KINGSLEY,030044,01/01/2019,ASSISTED LIVING,9000 FLOYD CURL DR,,SAN ANTONIO,TX,78240,ESC IV LP,111 WESTWOOD PL,STE 400,BRENTWOOD,TN,37027,(210) 697-0772,(210) 697-0653,(414) 918-5441,(414) 918-5054,136,US
USA-TX-59-TX-AssistedLiving-output-68,BROOKDALE MEDICAL CENTER WHITBY,000360,12/01/2018,ASSISTED LIVING,5996 WHITBY RD,,SAN ANTONIO,TX,78240,BROOKDALE SENIOR LIVING COMMUNITIES INC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 561-9500,(210) 561-9546,(414) 918-5441,(414) 918-6076,60,US
USA-TX-59-TX-AssistedLiving-output-69,BROOKDALE N. FREDERICKSBURG ROAD,000731,10/01/2017,ASSISTED LIVING,9505 FREDERICKSBURG RD,,SAN ANTONIO,TX,78240,"ESC-NGH, LP",111 WESTWOOD PL,STE 400,BRENTWOOD,TN,37027,(210) 641-6257,(210) 641-6922,(414) 918-5000,(414) 918-5054,120,US
USA-TX-59-TX-AssistedLiving-output-70,BROOKDALE NACOGDOCHES,000313,12/01/2017,ASSISTED LIVING,14595 NACOGDOCHES RD,,SAN ANTONIO,TX,78247,BROOKDALE SENIOR LIVING COMMUNITIES INC,6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 653-6100,(210) 653-2082,(414) 918-5441,(414) 918-6076,60,US
USA-TX-59-TX-AssistedLiving-output-71,BROOKDALE OAKWELL,030087,01/01/2018,ASSISTED LIVING,3360 OAKWELL COURT,,SAN ANTONIO,TX,78218,ESC IV LP,111 WESTWOOD PL,STE 400,BRENTWOOD,TN,37027,(210) 820-8744,(210) 820-8233,(414) 918-5441,(414) 918-5054,136,US
USA-TX-59-TX-AssistedLiving-output-72,BROOKDALE SAN ANTONIO,030265,04/30/2018,ASSISTED LIVING,9203 CINNAMON HILL,,SAN ANTONIO,TX,78240,"S-H THIRTY-FIVE OPCO - SAN ANTONIO, LLC",6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 641-5046,(210) 641-5048,(414) 918-5000,(414) 918-5054,100,US
USA-TX-59-TX-AssistedLiving-output-73,BROOKDALE SAN ANTONIO,030333,04/30/2018,ASSISTED LIVING,9303 CINNAMON HILL,,SAN ANTONIO,TX,78240,"S-H THIRTY-FIVE OPCO - SAN ANTONIO, LLC",6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 641-5046,(210) 641-5048,(414) 918-5000,(414) 918-5054,14,US
USA-TX-59-TX-AssistedLiving-output-74,BROOKDALE SAN ANTONIO,030324,04/30/2019,ASSISTED LIVING,9303 CINNAMON HILL,,SAN ANTONIO,TX,78240,"S-H THIRTY-FIVE OPCO - SAN ANTONIO, LLC",6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 641-5046,(210) 641-5048,(414) 918-5000,(414) 918-5054,14,US
USA-TX-59-TX-AssistedLiving-output-75,BROOKDALE SAN ANTONIO,104309,08/10/2018,ASSISTED LIVING,9303 CINNAMON HILL COTTAGE C,,SAN ANTONIO,TX,78240,"S-H THIRTY-FIVE OPCO - SAN ANTONIO, LLC",6737 W WASHINGTON ST,STE 2300,MILWAUKEE,WI,53214,(210) 641-5046,(210) 641-5048,(414) 918-5000,(414) 918-5054,14,US
USA-TX-59-TX-AssistedLiving-output-76,BROOKDALE SHAVANO PARK,050670,12/01/2018,ASSISTED LIVING,4096 DEZAVALA,,SAN ANTONIO,TX,78249,S-H OPCO SHAVANO PARK LLC,1920 MAIN ST,STE 1200,IRVINE,CA,92614,(210) 408-7411,(210) 408-6411,(949) 407-0700,(949) 407-8000,120,US
