row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country,facility_type
Canada-MB-23-SeniorHousing-23-SeniorHousing-51,Grandview (Prairie Mountain Health RHA) Valley View Lodge,,,,Grandview Manor Inc,,11,1 1 Bedroom Rental,Stove and cupboards (not a complete kitchen) Building,Social programs,,Ramona Hicks,204-546-2916,,,,444 Mill St,,Grandview,MB,R0L 0Y0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-52,Gretna (Southern Health RHA) Gretna Seniors Home,,,,Manitoba Housing Authority,,17,1 Bachelor; 1 bedroom Rental,Kitchen Building,Social programs; meal delivery,,Caroline Schellenberg,204-324-5308,,,,599 Berlin Ave,,Gretna,MB,R0G 0V0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-53,Grunthal (Southern Health RHA) Grunthal Homes,,,,Manitoba Housing Authority,,12,1 1 Bedroom Rental,Kitchen Building,Social programs; instructional programs; congregate meal service,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,Southside Park Street,,Grunthal,MB,R0A 0R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-54,Hamiota (Prairie Mountain Health RHA) Hamiota Senior Citizens Park Res. Inc,,,,Manitoba Housing Authority (not owned by MHA),,30,1 1 Bedroom Rental,Kitchen Building,,,,,,,,177 Birch,,Hamiota,MB,R0M 0T0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-55,Hartney (Prairie Mountain Health RHA) Cameron Lodge,,,,Town of Hartney,,16,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; cable; carpeting; draperies Building,Emergency call service; social programs; instructional programs; congregate meal service; adult day programs; meals on wheels; handivan,,Dorothy Coe,204-858-2376,,,,404 Spencer St,,Hartney,MB,R0M 0X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-56,Haywood (Southern Health RHA) St. Denis Chalet,,,,Manitoba Housing,,6,1 1 Bedroom Rental,Kitchen; bathroom Building,social programs,,Barb Congram (MH Portage),204-239-3687 toll-free 1-866-440-4663,,,,41 Edward Ave,,Haywood,MB,R0G 0W0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-57,Hodgson (Interlake RHA) Early Settlers Lodge,,,,Manitoba Housing,,14,1 1 Bedroom Rental,Kitchen Building,Emergency call service; congregate meal service; meal delivery,,Maureen Paskaruk (MHA Gimli),204-642-6061,,,,Second Ave.,,Hodgson,MB,R0C 1N0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-58,Holland (Prairie Mountain Health RHA) Victoria Manor,,,,Victoria Manor Inc.,,13,1 1 Bedroom; Bachelor Rental,Kitchen (not all suites); cable; grab bars in bathroom Building,Meal program; bus outings; homecare in building,,President,204-526-2378,,,,110 Steward Ave.,,Holland,MB,R0G 0X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-59,Ile des Chenes (Southern Health RHA) Villa des ChÌ»nes,,,,Manitoba Housing Authority,,12,1 Bachelor; 1 bedroom Rental,Kitchen Building,,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,503 Main Street,,Ile des Chenes,MB,R0A 0T0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-60,Inglis (Prairie Mountain Health RHA) 139 Blighty St. S,,,,Manitoba Housing Authority,,10,1 1 Bedroom Rental,Kitchen; in-suite security Building,,,,204-937-8326,,,,139 Blighty St. S,,Inglis,MB,R0J 0X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-61,Inwood (Interlake RHA) Inwood Manor Addition,,,,Inwood Manor B o D,,12,1 Bachelor; 1 bedroom Rental,Kitchen Building,emergency call service; social programs; congregate meal service; meal delivery,,Sheila Cherid,204-278-3534,,,,,Box 137,Inwood,MB,R0C 1P0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-62,Kelwood (Prairie Mountain Health RHA) Isabel Avenue West,,,,Manitoba Housing Authority,,8,1 Bachelor; 1 bedroom Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,Isabel Avenue West,,Kelwood,MB,R0J 0Y0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-63,Killarney (Prairie Mountain Health RHA) Royal Manor,,,,Barb &amp; Jim Spencer,,21,Rental,Building,,,Barb Spencer,204-736-3756,,,,110 Clark Ave,,Killarney,MB,R0K 1G0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-64,Komarno (Interlake RHA) Second Ave,,,,Manitoba Housing,,4,1 1 Bedroom Rental,Kitchen Building,Emergency call service,,Maureen Paskaruk (MHA Gimli),204-642-6060,,,,66 Second St.,,Komarno,MB,R0C 1R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-65,La Broquerie (Southern Health RHA) Le Chalet de La Broquerie Inc.,,,,Le Chalet de La Broquerie Inc.,,42,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen with fridge and stove (fridge only in assisted living wing); large bathrooms; walk-in showers and grab bars in bathrooms; cable and wireless internet; pull-cord alarm system in bathroom and bedroom; Building,Weekly suite cleaning and linen service; emergency call service; social programs; instructional programs; two meals a day in dining room;,,"Paul Lord, General Manager",204-424-5892,204-371-5738,,,"93, rue Principale, Suite 50",,La Broquerie,MB,R0A 0W0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-66,Lac du Bonnet (Interlake RHA) Bonna Vista Lodge,,,,Manitoba Housing Authority,,38,2 Bachelor; 1 bedroom Rental,Kitchen Building,Emergency call service; social programs,,,204-785-5228,,,,75 Macintosh Avenue,,Lac du Bonnet,MB,R0E 1A0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-67,Landmark (Southern Health RHA) Prairie Rose Apartments,,,,Prairie Rose Apartments Inc.,,12,1 1 Bedroom; 2 bedroom Rental,Kitchen; carpeting Building,Congregate meal service; social programs,,Anne Marie Reimer,204-355-4311,,,,219-1st St W,P.O. Box 28,Landmark,MB,R0A 0X0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-68,La Salle (Interlake RHA) La Salle Senior Citizens Home,,,,Manitoba Housing Authority,,6,1 1 Bedroom Rental,Kitchen Building,Social programs,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,65 Rue Gandry,,La Salle,MB,R0G 1B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-69,Laurier (Prairie Mountain Health RHA) Fasberry Street,,,,Manitoba Housing Authority,,8,1 Rental,Kitchen Building,,,Michael Coombs,204-622-2092,,,,Nammie St.,,Laurier,MB,,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-70,Letellier (Southern Health RHA) Third Avenue East,,,,Manitoba Housing Authority,,4,1 1 Bedroom Rental,Kitchen Building,,,Caroline Schellenberg,204-324-5308,,,,Third Avenue East,,Letellier,MB,R0G 1C0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-71,Lorette (Southern Health RHA) Foyer Notre Dame,,,,Manitoba Housing Authority,,14,1 Bachelor Rental,Kitchen Building,Social programs,,Lynne Goulet (MH Eastman/Interlake),1-800-441-5514,,,,12 St. Amant Ave.,,Lorette,MB,R0A 0Y0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-72,Lowe Farm (Southern Health RHA) Prairie View Apartments,,,,Lowe Farm Housing Corp.,,18,1 Bachelor; 1 bedroom; 2 bedroom Rental,Kitchen; grab bars in bathroom Building,Emergency call service; laundry service; BP clinics; foot clinics; hairdresser visits; lifeline; congregate meal service; social programs,,Randy Schroeder,204-746-8418,,,,22-1st St W,,Lowe Farm,MB,R0G 1E0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-73,Lundar (Interlake RHA) Lundar Senior Citizens Home,,,,Senior Citizens Home Board,,23,1 Bachelor; 1 bedroom Rental,Kitchen; cable Building,,,Harold Bachman,204-762-5437,,,,86 Main St,,Lundar,MB,R0C 1Y0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-74,MacGregor (Southern Health RHA) Lions Manor,,,,Manitoba Housing Authority,,12,1 Bachelor; 1 bedroom Rental,Kitchen; cable; exhaust fans Building,,,Terry Wotton,204-945-7861,,,,", Ross Street, N",Box 516,MacGregor,MB,R0H 0R0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-75,Manitou (Southern Health RHA) Manitou Kinsmen Haven,,,,Manitoba Kinsmen Haven Inc.,,17,1 Bachelor; 1 bedroom Rental,Kitchen; cable Building,Congregate meal services,,Dale Dobson,204-242-2607,,,,561 Souris Avenue,,Manitou,MB,R0G 1G0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-76,Mcauley (Prairie Mountain Health RHA) Mcauley Ave. N.,,,,Manitoba Housing Authority,,2,1 1 Bedroom Rental,Kitchen Building,,,Gail Chescu,204-937-6474,,,,Mcauley Ave. N.,,Mcauley,MB,R0M 1H0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-77,McCreary (Prairie Mountain Health RHA) Mountain View Home,,,,Manitoba Housing Authority,,12,1 Bachelor; 1 bedroom Rental,Kitchen Building,Congregate meal service; meal delivery.,,Michael Coombs,204-622-2092,,,,435 Broderick St.,,McCreary,MB,R0J 1B0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-78,Melita (Prairie Mountain Health RHA) Melita Area Elderly Person Coop,,,,Manitoba Housing Authority,,47,1 Bachelor; 1 bedroom Rental,Kitchen; security systems Building,Emergency call service; meal delivery,,Patricia Downey,522-3493,,,,,Box 207,Melita,MB,R0M 1L0,Canada,Senior Housing
Canada-MB-23-SeniorHousing-23-SeniorHousing-79,Miami (Southern Health RHA) The Collingwood,,,,Miami Senior Citizens Housing Association,,14,1 Bachelor (330 sq. ft.); 1 bedroom (396 sq. ft.); 2 bedroom (620 sq. ft.) Rental,Kitchen; carpeting; grab bars in some bathrooms Building,Meal service (2 times/week); social programs homecare,,Jenifer Lawson,204-435-2257,,,,333 Cameron Ave.,,Miami,MB,R0G 1H0,Canada,Senior Housing
