name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Foxwarren (Prairie Mountain Health RHA) Webster Avenue,,,Gail Chescu,,,,,,,,,,,,,,,204-937-6474,,,,,,,,,,,,,,,,,Senior Housing,,,,Webster Ave.,,,Foxwarren,,,MB,,R0J 0R0,Canada,50.5142816,-101.1522223,
Fraserwood (Interlake RHA) Maplewood Lodge,,,Maureen Paskaruk (MHA Gimli),,,,,,,,,,,,,,,204-642-6060,,,,,,,,,,,,,,,,,Senior Housing,,,,Gov‰Ûªt Road Allowance,,,Fraserwood,,,MB,,R0C 1A0,Canada,ERROR,ERROR,ERROR
Gilbert Plains (Prairie Mountain Health RHA) Burrows Apartments,,,Marnie Beckley,,,,,Box 272,,,,,,,,,,204-548-2959,,,,,,,,,,,,,,,,,Senior Housing,,,,", 18 Buller Ave E",,,Gilbert Plains,,,MB,,R0L 0X0,Canada,51.15322269999999,-100.4867039,
Gimli (Interlake RHA) Water Front Centre,,,Associates,,,,,,,,,,,,,,,204-642-8576,,,,,,,,,,,,,,,,,Senior Housing,,,,94-1st Ave.,,,Gimli,,,MB,,R0C 1B0,Canada,50.6304801,-96.98638950000002,
Gladstone (Southern Health RHA) Crescent Lodge,,,Director of Health Services,,,,,,,,,,,,,,,204-385-2968,,,,,,,,,,,,,,,,,Senior Housing,,,,193 Dennis Street,,,Gladstone,,,MB,,R0J 0T0,Canada,50.2261501,-98.9432564,
Glenboro  (Prairie Mountain Health RHA) Lyall Park Place,,,Elsie Pinkerton,,,,,,,,,,,,,,,204-827-2772,,,,,,,,,,,,,,,,,Senior Housing,,,,307 Lyle St,,,Glenboro,,,MB,,R0K 0X0,Canada,49.5582818,-99.2868299,
Glenella (Prairie Mountain Health RHA) Lokier Street,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,Lokier Street,,,Glenella,,,MB,,R0J 0V0,Canada,50.5556345,-99.1909258,
Grandview (Prairie Mountain Health RHA) Valley View Lodge,,,Ramona Hicks,,,,,,,,,,,,,,,204-546-2916,,,,,,,,,,,,,,,,,Senior Housing,,,,444 Mill St,,,Grandview,,,MB,,R0L 0Y0,Canada,51.17745349999999,-100.7029673,
Gretna (Southern Health RHA) Gretna Seniors Home,,,Caroline Schellenberg,,,,,,,,,,,,,,,204-324-5308,,,,,,,,,,,,,,,,,Senior Housing,,,,599 Berlin Ave,,,Gretna,,,MB,,R0G 0V0,Canada,49.0059563,-97.56441590000001,
Grunthal (Southern Health RHA) Grunthal Homes,,,Lynne Goulet (MH Eastman/Interlake),,,,,,,,,,,,,,,1-800-441-5514,,,,,,,,,,,,,,,,,Senior Housing,,,,Southside Park Street,,,Grunthal,,,MB,,R0A 0R0,Canada,ERROR,ERROR,ERROR
Hamiota (Prairie Mountain Health RHA) Hamiota Senior Citizens Park Res. Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,177 Birch,,,Hamiota,,,MB,,R0M 0T0,Canada,50.1816469,-100.5926304,
Hartney (Prairie Mountain Health RHA) Cameron Lodge,,,Dorothy Coe,,,,,,,,,,,,,,,204-858-2376,,,,,,,,,,,,,,,,,Senior Housing,,,,404 Spencer St,,,Hartney,,,MB,,R0M 0X0,Canada,49.4824373,-100.5192759,
Haywood (Southern Health RHA) St. Denis Chalet,,,Barb Congram (MH Portage),,,,,,,,,,,,,,,204-239-3687 toll-free 1-866-440-4663,,,,,,,,,,,,,,,,,Senior Housing,,,,41 Edward Ave,,,Haywood,,,MB,,R0G 0W0,Canada,49.6674233,-98.1987877,
Hodgson (Interlake RHA) Early Settlers Lodge,,,Maureen Paskaruk (MHA Gimli),,,,,,,,,,,,,,,204-642-6061,,,,,,,,,,,,,,,,,Senior Housing,,,,Second Ave.,,,Hodgson,,,MB,,R0C 1N0,Canada,51.21394400000001,-97.57224959999999,
Holland (Prairie Mountain Health RHA) Victoria Manor,,,President,,,,,,,,,,,,,,,204-526-2378,,,,,,,,,,,,,,,,,Senior Housing,,,,110 Steward Ave.,,,Holland,,,MB,,R0G 0X0,Canada,49.5959503,-98.88053939999999,
Ile des Chenes (Southern Health RHA) Villa des ChÌ»nes,,,Lynne Goulet (MH Eastman/Interlake),,,,,,,,,,,,,,,1-800-441-5514,,,,,,,,,,,,,,,,,Senior Housing,,,,503 Main Street,,,Ile des Chenes,,,MB,,R0A 0T0,Canada,49.7117602,-96.9904044,
Inglis (Prairie Mountain Health RHA) 139 Blighty St. S,,,,,,,,,,,,,,,,,,204-937-8326,,,,,,,,,,,,,,,,,Senior Housing,,,,139 Blighty St. S,,,Inglis,,,MB,,R0J 0X0,Canada,50.9450525,-101.2529693,
Inwood (Interlake RHA) Inwood Manor Addition,,,Sheila Cherid,,,,,Box 137,,,,,,,,,,204-278-3534,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Inwood,,,MB,,R0C 1P0,Canada,50.507025,-97.497511,
Kelwood (Prairie Mountain Health RHA) Isabel Avenue West,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,Isabel Avenue West,,,Kelwood,,,MB,,R0J 0Y0,Canada,50.6245663,-99.4646765,
Killarney (Prairie Mountain Health RHA) Royal Manor,,,Barb Spencer,,,,,,,,,,,,,,,204-736-3756,,,,,,,,,,,,,,,,,Senior Housing,,,,110 Clark Ave,,,Killarney,,,MB,,R0K 1G0,Canada,49.1777414,-99.67052729999999,
Komarno (Interlake RHA) Second Ave,,,Maureen Paskaruk (MHA Gimli),,,,,,,,,,,,,,,204-642-6060,,,,,,,,,,,,,,,,,Senior Housing,,,,66 Second St.,,,Komarno,,,MB,,R0C 1R0,Canada,50.5064666,-97.25054159999999,
La Broquerie (Southern Health RHA) Le Chalet de La Broquerie Inc.,,,"Paul Lord, General Manager",,,,,,,,,,,,,,,204-424-5892,204-371-5738,,,,,,,,,,,,,,,,Senior Housing,,,,"93, rue Principale, Suite 50",,,La Broquerie,,,MB,,R0A 0W0,Canada,49.5256992,-96.5102005,
Lac du Bonnet (Interlake RHA) Bonna Vista Lodge,,,,,,,,,,,,,,,,,,204-785-5228,,,,,,,,,,,,,,,,,Senior Housing,,,,75 Macintosh Avenue,,,Lac du Bonnet,,,MB,,R0E 1A0,Canada,50.2527304,-96.060191,
Landmark (Southern Health RHA) Prairie Rose Apartments,,,Anne Marie Reimer,,,,,P.O. Box 28,,,,,,,,,,204-355-4311,,,,,,,,,,,,,,,,,Senior Housing,,,,219-1st St W,,,Landmark,,,MB,,R0A 0X0,Canada,49.6738046,-96.82347229999999,
La Salle (Interlake RHA) La Salle Senior Citizens Home,,,Lynne Goulet (MH Eastman/Interlake),,,,,,,,,,,,,,,1-800-441-5514,,,,,,,,,,,,,,,,,Senior Housing,,,,65 Rue Gandry,,,La Salle,,,MB,,R0G 1B0,Canada,49.6896393,-97.2651058,
Laurier (Prairie Mountain Health RHA) Fasberry Street,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,Nammie St.,,,Laurier,,,MB,,,Canada,ERROR,ERROR,ERROR
Letellier (Southern Health RHA) Third Avenue East,,,Caroline Schellenberg,,,,,,,,,,,,,,,204-324-5308,,,,,,,,,,,,,,,,,Senior Housing,,,,Third Avenue East,,,Letellier,,,MB,,R0G 1C0,Canada,49.1365518,-97.2970722,
Lorette (Southern Health RHA) Foyer Notre Dame,,,Lynne Goulet (MH Eastman/Interlake),,,,,,,,,,,,,,,1-800-441-5514,,,,,,,,,,,,,,,,,Senior Housing,,,,12 St. Amant Ave.,,,Lorette,,,MB,,R0A 0Y0,Canada,49.73703999999999,-96.87533719999999,
Lowe Farm (Southern Health RHA) Prairie View Apartments,,,Randy Schroeder,,,,,,,,,,,,,,,204-746-8418,,,,,,,,,,,,,,,,,Senior Housing,,,,22-1st St W,,,Lowe Farm,,,MB,,R0G 1E0,Canada,49.356662,-97.5856103,
Lundar (Interlake RHA) Lundar Senior Citizens Home,,,Harold Bachman,,,,,,,,,,,,,,,204-762-5437,,,,,,,,,,,,,,,,,Senior Housing,,,,86 Main St,,,Lundar,,,MB,,R0C 1Y0,Canada,50.69512429999999,-98.0381625,
MacGregor (Southern Health RHA) Lions Manor,,,Terry Wotton,,,,,Box 516,,,,,,,,,,204-945-7861,,,,,,,,,,,,,,,,,Senior Housing,,,,", Ross Street, N",,,MacGregor,,,MB,,R0H 0R0,Canada,49.9692492,-98.77801649999999,
Manitou (Southern Health RHA) Manitou Kinsmen Haven,,,Dale Dobson,,,,,,,,,,,,,,,204-242-2607,,,,,,,,,,,,,,,,,Senior Housing,,,,561 Souris Avenue,,,Manitou,,,MB,,R0G 1G0,Canada,49.2373445,-98.5357774,
Mcauley (Prairie Mountain Health RHA) Mcauley Ave. N.,,,Gail Chescu,,,,,,,,,,,,,,,204-937-6474,,,,,,,,,,,,,,,,,Senior Housing,,,,Mcauley Ave. N.,,,Mcauley,,,MB,,R0M 1H0,Canada,50.263096,-101.386285,
McCreary (Prairie Mountain Health RHA) Mountain View Home,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,435 Broderick St.,,,McCreary,,,MB,,R0J 1B0,Canada,50.77104139999999,-99.4951955,
Melita (Prairie Mountain Health RHA) Melita Area Elderly Person Coop,,,Patricia Downey,,,,,Box 207,,,,,,,,,,522-3493,,,,,,,,,,,,,,,,,Senior Housing,,,,,,,Melita,,,MB,,R0M 1L0,Canada,49.2720603,-100.9930189,
Miami (Southern Health RHA) The Collingwood,,,Jenifer Lawson,,,,,,,,,,,,,,,204-435-2257,,,,,,,,,,,,,,,,,Senior Housing,,,,333 Cameron Ave.,,,Miami,,,MB,,R0G 1H0,Canada,49.37359609999999,-98.2375412,
Middlebro (Southern Health RHA) Railway Ave.,,,Sharon Yatsko (MH),,,,,,,,,,,,,,,1-204-425-5010,,,,,,,,,,,,,,,,,Senior Housing,,,,Railway Ave,,,Middlebro,,,MB,,R0A 1B0,Canada,49.01811410000001,-95.42874909999999,
Miniota (Prairie Mountain Health RHA) Parkissimo Lodge Inc.,,,Olive McKean,,,,,,,,,,,,,,,204-567-3710,,,,,,,,,,,,,,,,,Senior Housing,,,,156 North Railway Ave.,,,Miniota,,,MB,,R0M 1M0,Canada,50.1430065,-101.0325928,
Minitonas (Prairie Mountain Health RHA) The Chalet,,,Marilyn Natyna,,,,,,,,,,,,,,,204-525-4914,,,,,,,,,,,,,,,,,Senior Housing,,,,281 5th Ave.,,,Minitonas,,,MB,,R0L 1G0,Canada,52.08787,-101.0401333,
Minnedosa (Prairie Mountain Health RHA) Minnedosa Legion Gardens,,,,,,,,,,,,,,,,,,204-726-6455 1-800-651-8217,,,,,,,,,,,,,,,,,Senior Housing,,,,169 Main Street,,,Minnedosa,,,MB,,R0J 1E0,Canada,50.2535513,-99.8389634,
Minto (Prairie Mountain Health RHA) Dowland Manor,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,John Street,,,Minto,,,MB,,R0K 1M0,Canada,49.4102325,-100.0238537,
Moosehorn (Interlake RHA) Heritage Villa,,,Phillip Russell,,,,,,,,,,,,,,,1-866-440-4663,,,,,,,,,,,,,,,,,Senior Housing,,,,Lot 1Railway Ave,,,Moosehorn,,,MB,,R0C 2E0,Canada,51.2903983,-98.4222145,
Morden (Southern Health RHA) Morden Elks Park Place,,,Fred Mayor,,,,,,,,,,,,,,,204-822-6596,,,,,,,,,,,,,,,,,Senior Housing,,,,265 North Railway Street,,,Morden,,,MB,,R6M 1W4,Canada,49.18924490000001,-98.0993834,
Morris (Southern Health RHA) Rebecca Cove,,,Caroline Schellenberg,,,,,,,,,,,,,,,204-324-5308,,,,,,,,,,,,,,,,,Senior Housing,,,,153 Montreal St.,,,Morris,,,MB,,R0G 1K0,Canada,49.3512376,-97.3665977,
Neepawa (Prairie Mountain Health RHA) Neepawa Elks Manor,,,Warren Burton,,,,,,,,,,,,,,,204-476-2900,,,,,,,,,,,,,,,,,Senior Housing,,,,299 Davidson St.,,,Neepawa,,,MB,,R0J 1H0,Canada,50.2295767,-99.4644474,
Newdale (Prairie Mountain Health RHA) Harrison House,,,Carol Delgarno,,,,,,,,,,,,,,,204-849-2193,,,,,,,,,,,,,,,,,Senior Housing,,,,212 Firehall St.,,,Newdale,,,MB,,R0J 1J0,Canada,50.35193640000001,-100.2045785,
Niverville (Interlake RHA) Pleasant Plaza,,,Lynne Goulet (MH Eastman/Interlake),,,,,,,,,,,,,,,1-800-441-5514,,,,,,,,,,,,,,,,,Senior Housing,,,,113-3rd Ave,,,Niverville,,,MB,,R0A 1E0,Canada,49.6029049,-97.0433353,
Notre Dame (Southern Health RHA) Ensemble Chez Soi,,,Fernand Gervais,,,,,,,,,,,,,,,204-248-7270,,,,,,,,,,,,,,,,,Senior Housing,,,,33 Rodgers Street,,,Notre Dame,,,MB,,R0G 1M0,Canada,49.53151990000001,-98.5566614,
Oakbank (Interlake RHA) Kinplace-Oakbank,,,Rosemary Chabluk,,,,,,,,,,,,,,,204-444-2821,,,,,,,,,,,,,,,,,Senior Housing,,,,689 Main Street,,,Oakbank,,,MB,,R0E 1J1,Canada,49.9441293,-96.841695,
Oaklake (Prairie Mountain Health RHA) Aspen Place,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,Assiniboine Street,,,Oaklake,,,MB,,R0M 1P0,Canada,49.7680087,-100.6294824,
Oakville (Interlake RHA) Kawende Courts,,,Barb Congram (MH Portage),,,,,,,,,,,,,,,204-239-3687,,,,,,,,,,,,,,,,,Senior Housing,,,,222-Fourth Street,,,Oakville,,,MB,,R0H 0Y0,Canada,49.92999460000001,-98.00030989999999,
Ochre River (Prairie Mountain Health RHA) Sunny Bay Apartments,,,Michael Coombs,,,,,,,,,,,,,,,204-622-2092,,,,,,,,,,,,,,,,,Senior Housing,,,,200 East Ave. S,,,Ochre River,,,MB,,R0L 1K0,Canada,51.0603616,-99.7773764,
Onanole (Prairie Mountain Health RHA) Crestview,,,,,,,,,,,,,,,,,,204-726-6455,,,,,,,,,,,,,,,,,Senior Housing,,,,52-59 Grenant,,,Onanole,,,MB,,R0J 1N0,Canada,ERROR,ERROR,ERROR
Pilot Mound (Southern Health RHA) Prairie View Lodge,,,Lois Lynch,,,,,,,,,,,,,,,204-825-2394,,,,,,,,,,,,,,,,,Senior Housing,,,,Railway &amp; Beverage,,,Pilot Mound,,,MB,,R0G 1P0,Canada,ERROR,ERROR,ERROR
Pinawa (Interlake RHA) 11 McGregor Crescent,,,Bill Ederton,,,,,,,,,,,,,,,204-753-2167,,,,,,,,,,,,,,,,,Senior Housing,,,,11 McGregor Crescent,,,Pinawa,,,MB,,R0E 1L0,Canada,50.1534017,-95.8721369,
Pine Falls (Interlake RHA) Pineview Lodge,,,Shirley Lavalee,,,,,,,,,,,,,,,204-367-8983,,,,,,,,,,,,,,,,,Senior Housing,,,,48 Pine Street,,,Pine Falls,,,MB,,R0E 1M0,Canada,50.56810309999999,-96.21610249999999,Pine Falls
