row_id,Facility Name,Address,City,Postal Code,Province,Terms of Occupancy,Housing Type,Number of Units,Eligibility Criteria,Application Procedure,Additional Criteria,Minimum Rate $,Maximum Rate $,RGI Rent Rate,Service Package Rate,Unit Square Footage Minimum,Unit Square Footage Maximum,Additional Suite Information,Additional Suite Features,Additional Services,Additional Building Information,Booleans (see readme),Site Contact Name,Site Phone,Site Email,Facebook,Twitter,Site Website,Site Description,facility_type,country
Canada-AB-26-AB-HousingDirecotry-output-11,Bethany Meadows - Pine and Spruce Cottage ,4209 - 55 St.,Camrose,T4V 4Y6,AB,Not Specified,Not Specified,30,Not Specified,Not Specified,Not Specified,1460,1460,Not Specified,Not Specified,400,400,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, False, False, False, False, False, False, False, False, False]",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,to follow,Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-12,Prairie Home ,310 - 2 St.W,Oyen,T0J 2J0,AB,Rental/Lease,Public Not-For-Profit,8,"- Canadian Citizen or Landed Immigrant - Residency – has lived in Consort Area for the previous 12 months - or any 10 years of their life, or has primary family members who - have lived in Consort area for the previous 12 months. - Age – must be at least ","Application to the Consort Lodge requires the completion of an application form, and a personal interview. Complete the application form and have your Physician complete the Medical Report.",Not Specified,Not Specified,Not Specified,30%,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Home Care is available,Not Specified,"[True, False, False, False, False, False, False, False, True, True, True, False, False, True, False, False, False, False, False, True, True, False, True, False, False]",Gloria Jorgenson,403-664-3661,gloria.jorgenson@acadiafoundation.com,Not Specified,Not Specified,www.acadiafoundation.com,"Our apartment units are located on a separate wing from the lodge & offer additional space and privacy. They feature a full kitchen, large bedroom & barrier free bathroom. Independent living for a stress free retirement.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-13,Evergreen ,2220 - 162 Avenue SW,Calgary,T2Y 5E3,AB,Rental/Lease,Private For-Profit,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,"Numerous activities and outings

24 hr Bistro, Library and Business Centre

Scheduled transportation

Lounges and activities

Pub and Billiards

Chapel

Theatre

Beauty Salon

Walking distance to local shops, Starbucks, and Shoppers Drug Mart

Outdoor patios with flowers in full bloom during spring and summer","[False, True, False, True, True, False, False, False, False, False, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True]",Lorelei Paul,403-201-3555,Evergreen@reveraliving.com,Not Specified,Not Specified,www.reveraliving.com/retirement-living/locations/evergreen,"Evergreen, a premier retirement residence, nestled in a quiet residental neighbourhood in South West Calgary in Alberta is close to shopping centres, medical facilities and public transport. With 90 Independent Living suites, 24 Assisted Living suites and 40 Memory Care suites, Evergreen offers a full spectrum of care. For that reason, we offer a variety of lifestyle choices - allowing you to choose the perfect fit for you - whether it's independent living or with the benefit of assistance.",Combined Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-14,Inglewood ,10 Inglewood Drive,Red Deer,T4R 0L2,AB,Rental/Lease,Public Not-For-Profit,151,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Private and family dining room, Library, Pub and Billiards, Chapel, Theatre, Beauty Salon, Community Store, Outdoor patios","[False, True, False, True, True, True, False, False, False, False, True, True, False, True, True, True, False, False, False, True, True, True, True, True, True]",Joe Sullivan,403-346-1134,Inglewood@reveraliving.com,Not Specified,Not Specified,www.reveraliving.com/retirement-living/locations/inglewood,"Inglewood, located in Red Deer, Alberta is a retirement residence that combines exceptional services in a warm, vibrant atmosphere. Inglewood has 115 Independent living suites and 36 Assisted Living suites. We have combined every enjoyable aspect of living together in one modern, state of the art location. Let us cook and clean while you relax and enjoy your retirement.",Combined Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-15,Aspen Ridge ,3100 - 22 Street,Red Deer,T4R 3N7,AB,Rental/Lease,Public Not-For-Profit,154,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Assistance with daily living activities: bathing, dressing, nutrition, and mobility

Assistance with lifestyle maintenance: outings, social engagements, care of your pet

Medication Assistance Service

Continence Management Program

Palliative Care Services

24 hr Professional Nursing Staff on Duty","Private family dining room

Numerous activities and outings

24 hr Bistro, Library and Business Centre

Scheduled transportation

Lounges and activities

Pub and Billiards

Chapel

Theatre

Beauty Salon","[False, True, False, True, True, False, False, False, False, False, True, True, False, True, False, True, False, False, False, True, True, True, True, True, True]",Rejean Bernier,403-341-5522,AspenRidge@reveraliving.com,Not Specified,Not Specified,www.reveraliving.com/retirement-living/locations/aspen-ridge,"At Aspen Ridge, you will enjoy a carefree, all-inclusive environment where the word, ""Home"" resonates. With 90 Independent Living suites, 24 Assisted Living suites and 40 Memory Care suites, we offer you the opportunity to live a lifestyle that is the perfect fit for you.",Combined Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-16,Sylvan Manor ,"100, 4620 - 47 Avenue",Sylvan Lake,T4S 1N2,AB,Rental/Lease,Public Not-For-Profit,12,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"[False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True]",,403-887-2555,info@sylvanlakelodgefoundation.com,Not Specified,Not Specified,www.sylvanlakelodgefoundation.com,TO FOLLOW,Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-17,Sylvan Lake Lodge ,4620 - 47 Avenue,Sylvan Lake,T4S 1N2,AB,Rental/Lease,Public Not-For-Profit,59,TO FOLLOW,TO FOLLOW,Not Specified,1320,1485,Not Specified,Not Specified,300,300,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, True, False, False, False, False, False, False, True, True, False, True, True, False, False, True, False, True, True, True, True, False, True]",,403-887-2555,info@sylvanlakelodgefoundation.com,Not Specified,Not Specified,www.sylvanlakelodgefoundation.com,TO FOLLOW,Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-18,Sunrise/Sunset Villas ,4811 - 47 Street,Legal,T0G 1L0,AB,Rental/Lease,Public Not-For-Profit,8,"Applicants must meet residency criteria as per Homeland Housing Policy.

Must be 65 years or older.

Persons under 65 years of age who are appropriate to the housing accommodation being applied for and who demonstrate the circumstances of a “senior” may be considered if vacancies exist and there is no wait list.

Priority is given to low income seniors who currently live within Homeland Housing’s requisitioning area (Bon Accord, Gibbons, Legal, Morinville, Redwater, St. Albert,  Sturgeon County, Westlock County or MD Lesser Slave River No.124). 

Priority is based on a point scoring system which assesses accommodation needs.","Submit an application to the Homeland Housing office in Morinville. The application, and required confidential medical report can be found online at www.homelandhousing.ca.",Not Specified,120,880,30%,Not Specified,Not Specified,621,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, False, True, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, True, False, True]",Not Specified,780-961-3972,Not Specified,Not Specified,Not Specified,www.homelandhousing.ca,"Welcome to Sunrise & Sunset Villas. These single story, four-plex buildings consist of 4 units each (8 total) and feature a private front and back entrance., Each suite offers approximately 621 square feet of living space with a kitchenette, living room, bedroom, full 3-piece bathroom, storage area, and a washer and dryer., Tenants may participate in a multitude of community services and activities provided by Chateau Sturgeon Lodge., Sunset Villa opened in 1987 and Sunrise Villa opened in 1991. They are located in the Town of Legal. The Town of Legal offers a balance between quiet country living and the amenities of city life, while maintaining its bilingualism and pride in their long French Heritage history. Legal offers local fishing, an RV park, restaurants, pubs, a local grocery store, and many other amenities within a small knit community.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-19,Sunridge & Sunset Manors ,5011 - 49 Street,Bon Accord,T0A 2K0,AB,Rental/Lease,Public Not-For-Profit,8,"Applicants must meet residency criteria as per Homeland Housing Policy.

Must be 65 years or older.

Persons under 65 years of age who are appropriate to the housing accommodation being applied for and who demonstrate the circumstances of a “senior” may be considered if vacancies exist and there is no wait list.

Priority is given to low income seniors who currently live within Homeland Housing’s requisitioning area (Bon Accord, Gibbons, Legal, Morinville, Redwater, St. Albert, Sturgeon County, Westlock County or MD Lesser Slave River No.124)). 

Priority is based on a point scoring system which assesses accommodation needs.","Submit an application to the Homeland Housing office in Morinville. The application, and required confidential medical report can be found online at www.homelandhousing.ca.",Not Specified,120,808,30%,Not Specified,Not Specified,600,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, False, True, False, False, False, True, True, True, False, True, False, False, False, False, False, False, True, False, False, True, False, True]",Not Specified,780-923-3330,Not Specified,Not Specified,Not Specified,www.homelandhousing.ca,"Welcome to Sunridge & Sunset Manors. These single story four-plex buildings each consist of 4 units (8 total). They are approximately 600 square feet and consist of a kitchenette, living room, bedroom, storage area, 3-piece bathroom, and a washer and dryer., Each suite features its own private front and back entrances with steps leading to the door., Sunset Manor opened in 1981 and Sunridge Manor opened in 1984. They are located in Bon Accord, a short 15 minute drive from Edmonton, and within minutes of Gibbons.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-20,Spruce View Manor ,4539 - 49 Street,Gibbons,T0A 1N0,AB,Rental/Lease,Public Not-For-Profit,43,"Applicants must meet residency criteria as per Homeland Housing Policy.

Must be 65 years or older.

Persons under 65 years of age who are appropriate to the housing accommodation being applied for and who demonstrate the circumstances of a “senior” may be considered if vacancies exist and there is no wait list.

Must be functionally independent, able to manage personal care, hygiene and daily life activities.

Must be suitable for a community living environment.

Priority is given to low income seniors who currently live within Homeland Housing’s requisitioning area (Bon Accord, Gibbons, Legal, Morinville, Redwater, St. Albert, Sturgeon County, Westlock County or MD Lesser Slave River No. 124). 

Priority is based on a point scoring system which assesses accommodation needs.","Submit an application at this facility or directly to the Homeland Housing office in Morinville. The application, and required confidential medical report can be found online at www.homelandhousing.ca.",Not Specified,Not Specified,"1,540.00",30%,$640.00 ,224,293,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, True, False, False, False, False, True, False, True, True, False, True, True, True, False, True, False, True, True, False, True, False, True]",Not Specified,780-923-3330,Not Specified,Not Specified,Not Specified,www.homelandhousing.ca,"Welcome to Spruce View Manor. Features include 43 rooms consisting of a bed/sitting area and separate full bathroom. Rooms vary from 224-293 square feet and residents may choose to bring their own furniture or use the lodge furniture provided., This lodge offers a spacious common room area with fireplace, games equipment, craft room, recreational area, library, hair salon, laundry room, central dining area, and jacuzzi bath assist tub room. The Dew Drop Inn (a senior's centre) is attached to the lodge, offering additional activities to partiicpate in., The Spruce View Manor opened in 1978 and was renovated in 2000.",Supportive Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-21,Pine Crest Gardens ,4820 - 45 Avenue,Gibbons,T0A 1N0,AB,Rental/Lease,Public Not-For-Profit,18,"Applicants must meet residency criteria as per Homeland Housing Policy.

Must be 65 years or older.

Persons under 65 years of age who are appropriate to the housing accommodation being applied for and who demonstrate the circumstances of a “senior” may be considered if vacancies exist and there is no wait list.

Priority is given to low income seniors who currently live within Homeland Housing's requisitioning area (Bon Accord, Gibbons, Legal, Morinville, Redwater, St. Albert, Sturgeon County, Westlock County or MD Lesser Slave River No.124). 

Priority is based on a point scoring system which assesses accommodation needs.","Submit an application to the Homeland Housing office in Morinville. The application, and required confidential medical report can be found online at www.homelandhousing.ca.",Not Specified,120,815,30%,Not Specified,Not Specified,600,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, False, True, False, False, False, True, True, True, False, False, False, False, False, False, False, False, True, True, False, True, False, True]",Not Specified,780-923-3330,Not Specified,Not Specified,Not Specified,www.homelandhousing.ca,"Welcome to Pine Crest Gardens. This low-rise apartment building contains 18 rooms. Each suite is approximately 600 square feet and features a kitchenette, living room, bedroom, storage area and full 3-piece bathroom., The building offers a main entry with intercom system, a common area, laundry room, public washroom and a kitchen area available for special functions. Tenants may also participate in the community services and activities provided by Spruce View Manor located on the same property., Pine Crest Gardens opened in 1983 and is located in the Town of Gibbons. The Town offers seniors services including: Meals on Wheels, a number of fun activities in June to celebrate Seniors Week (mostly free events for 55+), an annual Christmas Dinner for residents 55+ and a free income tax program through the Town Office.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-22,North Ridge Place ,21 Mont Clare Place,St. Albert,T8N 5Z4,AB,Rental/Lease,Public Not-For-Profit,48,"Applicants must meet residency criteria as per Homeland Housing Policy.

Must be 65 years or older.

Persons under 65 years of age who are appropriate to the housing accommodation being applied for and who demonstrate the circumstances of a “senior” may be considered if vacancies exist and there is no wait list.

Must be functionally independent, able to manage personal care, hygiene and daily life activities.

Must be suitable for a community living environment.

Priority is given to low income seniors who currently live within Homeland Housing's requisitioning area (Bon Accord, Gibbons, Legal, Morinville, Redwater, St. Albert, Sturgeon County, Westlock County or MD Lesser Slave River No. 124). 

Priority is based on a point scoring system which assesses accommodation needs.","Submit an application to the Homeland Housing office in Morinville. The application, and required confidential medical report can be found online at www.homelandhousing.ca.",Not Specified,795.00 One bedroom,$945.00 Two bedroom,Not Specified,Not Specified,583,934,Not Specified,Not Specified,Not Specified,Not Specified,"[True, False, False, False, True, True, False, False, False, True, True, False, False, True, False, False, False, False, False, True, True, True, True, False, True]",Not Specified,780-460-0445,Not Specified,Not Specified,Not Specified,www.homelandhousing.ca,"Welcome to North Ridge Place. This affordable housing, four storey apartment building consists of 48 units (40 one bedroom and 8 two bedroom), ranging from 583-953 square feet., This building has a secure entry intercom system with sitting lounges and laundry facilities on each floor. On the lower level, it features an open area that includes a kitchen facility, washrooms, offices and hair salon. Tenants are also able to utilize secure, individual storage units., North Ridge Place is connected to North Ridge Lodge, which enables tenants to participate in community services and activities provided by the Lodge. Meal contracts for meals in the dining room may be purchased (subject to availability and scheduling)., This building opened in 2010 and is located with easy access to amenities, including the Sturgeon Hospital.",Independent Living Only,Canada
Canada-AB-26-AB-HousingDirecotry-output-23,Neutral Hills Manor ,4530 - 52 Ave.,Consort,T0C 1B0,AB,Rental/Lease,Public Not-For-Profit,5,"- Canadian Citizen or Landed Immigrant - Residency – has lived in Consort Area for the previous 12 months - or any 10 years of their life, or has primary family members who - have lived in Consort area for the previous 12 months. - Age – must be at least ","Application to the Consort Lodge requires the completion of an application form, and a personal interview. Complete the application form and have your Physician complete the Medical Report.",Not Specified,Not Specified,Not Specified,30%,Not Specified,500,Not Specified,Not Specified,Not Specified,Home Care in the building,Not Specified,"[True, False, False, False, True, False, False, False, True, False, True, True, False, True, False, True, False, False, False, True, False, True, True, False, False]",Amanda Wiltse Manager,(403)577-3832,amanda.wiltse@acadiafoundation.com,Not Specified,Not Specified,www.acadiafoundation.com,"Our apartment units are located on a separate wing from the lodge & offer additional space and privacy. They feature a full kitchen, large bedroom & barrier free bathroom. Independent living for a stress free retirement.",Independent Living Only,Canada
