row_id,name,typeofcare,description,primary_phone,primary_phone_extension,secondary_phone,secondary_phone_extension,fax,email,website,low_rate,address_line_1,address_line_2,neighborhood,latitude,longitude,city,province,postal_code,country
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-18,VILLA Cabrini,55+ Community,,(204) 982 2000,,,,,,www.lifelease.ca,,433 River Ave,,River - Osborne,49.8799,-97.1452643,Winnipeg,MB,R3L 2V1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-19,Times Square Patio Apartments,55+ Community,,(204) 488 8463,,,,,,,,1061 1137 Taylor Ave,,Grant Park,49.8542255,-97.1652399,Winnipeg,MB,R3M 2K4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-20,The Boulton (assisted Living),55+ Community,,(204) 475 4500,,,,,lsawatzky@theboulton.ca,,,100 45 Boulton Bay,,Mathers,49.853022,-97.203924,Winnipeg,MB,R3N 2C3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-21,St John's Haven INC.,55+ Community,,(204) 284 2422,,,,,sjhaven@mymts.net,,,1015 Grant Ave,,Rockwood,49.861327,-97.160434,Winnipeg,MB,R3M 1Y3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-22,The Canoe Club (assisted Living),55+ Community,,(204) 231 5777,,,,,,,,40 Dunkirk Dr,,Kingston Crescent,49.8525181,-97.126176,Winnipeg,MB,R2M 5R4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-23,South Osborne Housing Co,55+ Community,,(204) 942 0991,,,,,,www.sam.mb.ca,,360 Osborne St,,Riverview,49.871864,-97.1395553,Winnipeg,MB,R3L 2V6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-24,Shalom Gardens Housing Co,55+ Community,,(204) 452 1924,,,,,,,,Ltd 360 Wilton St,,Rockwood,49.8604212,-97.1635742,Winnipeg,MB,R3M 3X6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-25,Riverview Towers,55+ Community,,(204) 452 0110,,,,,,www.rentcanada.com,,3 Donald Ave,,River - Osborne,49.8798016,-97.1372109,Winnipeg,MB,R3L 2P6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-26,Riverborne Seniors Place,55+ Community,,(204) 949 2880,,,,,,www.whrc.ca,,324 Stradbrook Ave,,River - Osborne,49.8791473,-97.1401355,Winnipeg,MB,R3L 0J6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-27,River Crescent Gardens,55+ Community,,(204) 452 4047,,,,,,www.globegeneral.ca,,595 River Ave,,Roslyn,49.8781293,-97.1524224,Winnipeg,MB,R3L 0E6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-28,Legion Crest Apartments,55+ Community,,,,,,,,,,819 Grant Ave,,Earl Grey,49.8637507,-97.1531887,Winnipeg,MB,R3M 1Y1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-29,Korean Canadian Housing Co,55+ Community,,(204) 982 2004,,,,,,,,160 River Ave,,River - Osborne,49.8826216,-97.1348675,Winnipeg,MB,R3L 0A9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-30,Harewood House,55+ Community,,(204) 284 4434,,,,,,,,605 River Ave,,Roslyn,49.8776418,-97.1520392,Winnipeg,MB,R3L 0E7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-31,Hampton House,55+ Community,,(204) 475 5169,,,,,,,,333 Wellington Cr,,Roslyn,49.873086,-97.1555769,Winnipeg,MB,R3M 0A1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-32,Grant Wilton,55+ Community,,(204) 417 9515,,,,,,,,1055 Grant Ave,,Rockwood,49.860599,-97.162607,Winnipeg,MB,R3M 1Y5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-33,General Grant,55+ Community,,(204) 284 1144,,,,,,,,1281 Grant Ave,,Rockwood,49.8569337,-97.173613,Winnipeg,MB,R3M 1Z6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-34,Fred Tipping Place,55+ Community,,(204) 945 8477,,,,,,,,601 Osborne St,,Lord Roberts,49.8646195,-97.1344161,Winnipeg,MB,R3L 2P9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-35,Fort Rouge Ecumenical Apartments INC.,55+ Community,,(204) 284 5801,,,,,,,,400 Stradbrook Ave,,River - Osborne,49.8782523,-97.1426891,Winnipeg,MB,R3L 2P8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-36,Canterbury House,55+ Community,,(204) 452 6481,,,,,,www.globegeneralagencies.ca,,270 Roslyn Rd,,Roslyn,49.8791579,-97.1533675,Winnipeg,MB,R3L 0H3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-37,Cambridge Gardens,55+ Community,,(204) 475 0232,,,,,,www.homebase.ca,,850 Cambridge St,,Grant Park,49.8534974,-97.1752883,Winnipeg,MB,R3M 3W8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-38,Bethel Place,55+ Community,,(204) 284 3762,,,,,bethelplace@shaw.ca,www.bethelplace.ca,,445 Stafford St,,Grant Park,49.860764,-97.156136,Winnipeg,MB,R3M 2V9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-39,64 Nassau St. N.,55+ Community,,(204) 982 2000,,,,,,,,64 Nassau St,,Roslyn,49.8789888,-97.1493619,Winnipeg,MB,R3L 2T2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-40,285 Pembina INC. Deaf Centre Manitoba,55+ Community,,(204) 284 0802,,,,,,,,285 Pembina Hwy,,Earl Grey,49.872385,-97.1443032,Winnipeg,MB,R3L 2E1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-41,Westwood Estates,55+ Community,,(204) 832 0981,,,,,,www.wredevelopment.ca,,429 Westwood Dr,,Kirkfield,49.8791252,-97.2929449,Winnipeg,MB,R3K 2B9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-42,VILLAGE Square,55+ Community,,(204) 837 8948,,,,,,,,505 Rouge Rd,,Westwood,49.8810398,-97.298248,Winnipeg,MB,R3K 1Y3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-43,VICTORIA Arms,55+ Community,,(204) 888 8490,,,,,,,,700 Setter St,,Heritage Park,49.8834731,-97.2814252,Winnipeg,MB,R2Y 0L5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-44,Towers Of Polo Park,55+ Community,,(204) 786 3376,,,,,,,,666 St James St,,Polo Park,49.8828703,-97.2020647,Winnipeg,MB,R3G 3J6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-45,The Westhaven (assisted Living),55+ Community,,(204) 831 6742,,,,,william.dubreuil@atriaretirement.ca,www.atriaretirement.ca,,3033 Portage Ave,,Sturgeon Creek,49.8809836,-97.2810466,Winnipeg,MB,R3K 2E3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-46,The New Mount Royal Apts,55+ Community,,(204) 918 1200,,,,,,,,2265 Portage Ave,,Silver Heights,49.8764054,-97.2444197,Winnipeg,MB,R3J 0M1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-47,Sturgeon Park House,55+ Community,,(204) 832 6776,,,,,,,,3063 Portage Ave,,Sturgeon Creek,49.8812652,-97.2816868,Winnipeg,MB,R3K 1Z2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-48,Sturgeon Creek 2 Retirement Residence (assisted Living),55+ Community,,,,,,,,www.allseniorscare.com,,707 Setter St,,Heritage Park,49.8833043,-97.2796675,Winnipeg,MB,R2Y 0A4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-49,Sturgeon Creek 1 Retirement Residence (assisted Living),55+ Community,,,,,,,,www.allseniorscare.com,,10 Hallonquist Dr,,Heritage Park,49.882291,-97.27968,Winnipeg,MB,R2Y 2M5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-50,St. James Kiwanis The Terrace ( Assisted Living),55+ Community,,,,,,,stjadmin@shaw.ca,www.stjameskiwanisvillage.ca,,90 Sinawik Bay,,Silver Heights,49.8832522,-97.2590072,Winnipeg,MB,R3J 2Z4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-51,St. James Kiwanis Courts East,55+ Community,,(204) 837 2305,,,,,stjadmin@shaw.ca,www.stjameskiwanisvillage.ca,,75 Sinawik Bay,,Silver Heights,49.8830283,-97.2581954,Winnipeg,MB,R3J 1Y3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-52,St James Legion Lodge,55+ Community,,,,,,,,www.sam.mb.ca,,2730 Ness Ave,,Booth,49.8866515,-97.2707718,Winnipeg,MB,R3J 1A7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-53,St James Kiwanis Villa,55+ Community,,(204) 837 2305,,,,,stjadmin@shaw.ca,www.stjameskiwanisvillage.ca,,155 Sinawik Bay,,Silver Heights,49.884415,-97.2596412,Winnipeg,MB,R3J 0H5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-54,St James Kiwanis Manor,55+ Community,,(204) 837 2305,,,,,stjadmin@shaw.ca,www.stjameskiwanisvillage.ca,,135 Sinawik Bay,,Silver Heights,49.8842992,-97.2583043,Winnipeg,MB,R3J 4A2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-55,St James Kiwanis Courts West,55+ Community,,(204) 837 2305,,,,,stjadmin@shaw.ca,www.stjameskiwanisvillage.ca,,101-122 & 167-188 Sinawik Bay,,,49.895136,-97.1383744,Winnipeg,MB,R3J 2Z3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-56,St James Kiwanis Lodge,55+ Community,,(204) 837 2305,,,,,stjadmin@shaw.ca,www.stjameskiwanisvillage.ca,,100 Sinawik Bay,,Silver Heights,49.8839847,-97.2589263,Winnipeg,MB,R3J 2Z4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-57,Pinewood Place,55+ Community,,(204) 832 4159,,,,,,www.globegeneral.ca,,2510 Portage Ave,,Birchwood,49.8746203,-97.2578408,Winnipeg,MB,R3J 0N9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-58,Westlands Housing Co,55+ Community,,(204) 982 2000,,,,,,www.lifelease.ca,,50 Oddy St,,Brooklands,49.920155,-97.2032717,Winnipeg,MB,R2R 0L2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-59,VILLA Heidelberg INC.,55+ Community,,(204) 942 7633,,,,,villaheidelberg@shaw.ca,,,33 Edmonton St,,Downtown,49.8844128,-97.142516,Winnipeg,MB,R3C 1P8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-60,Park Towers,55+ Community,,(204) 896 0216,,,,,,,,2300 Portage Ave,,Birchwood,49.8757192,-97.2468021,Winnipeg,MB,R3J 0M4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-61,Metropolitan Kiwanis Courts (assisted Living),55+ Community,,(204) 885 7700,,,,,shunter@kiwaniscourts.ca,,,2300 Ness Ave,,Silver Heights,49.8851229,-97.2586123,Winnipeg,MB,R3J 1A2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-62,Mandeville Towers,55+ Community,,(204) 889 9158,,,,,info@globegeneral.ca,,,2075 Portage Ave,,Deer Lodge,49.8774962,-97.2325883,Winnipeg,MB,R3J 0L1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-63,Hillsboro House,55+ Community,,(204) 786 3301,,,,,,,,616 Strathcona St,,Minto,49.88383,-97.192839,Winnipeg,MB,R3G 3E8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-64,Hamilton House,55+ Community,,(204) 942 0991,,,,,,,,475 Hamilton Ave,,Crestview,49.8917997,-97.3140999,Winnipeg,MB,R2Y 2G5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-65,David Estates,55+ Community,,(204) 837 5440,,,,,,www.wredevelopment.ca,,3563/3567 Portage Ave,,Crestview,49.8828915,-97.3081351,Winnipeg,MB,R3K 2E1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-66,Carillon Towers,55+ Community,,(204) 898 6973,,,,,,www.towersrealty.ca,,1790 Portage Ave,,Bruce Park,49.8785115,-97.2113594,Winnipeg,MB,R3J 0E9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-67,Birchwood Terrace,55+ Community,,(204) 837 6911,,,,,,www.rentcanada.com,,2440 Portage Ave,,Birchwood,49.8748769,-97.2549157,Winnipeg,MB,R3J 0N5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-68,Courts Of St. James,55+ Community,,,,,,,,,,2727 Portage Ave,,Booth,49.8786535,-97.2727714,Winnipeg,MB,R3J 0R2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-69,Billingsley Manor,55+ Community,,(204) 889 7012,,,,,,,,2515 Portage Ave,,Silver Heights,49.8753512,-97.2581661,Winnipeg,MB,R3J 0P2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-70,Quail Ridge Estates,55+ Community,,(204) 885 0769,,,,,,,,210 Quail Ridge Rd,,Heritage Park,49.9003,-97.279665,Winnipeg,MB,R2Y 2N1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-71,Ashbury Place,55+ Community,,(204) 832 5847,,,,,info@marwest.ca,,,299 Queen St,,King Edward,49.8827228,-97.2069772,Winnipeg,MB,R3J 3V5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-72,529 Country Club Blvd,55+ Community,,,,,,,,,,529 Country Club Blvd,,Kirkfield,49.8792352,-97.282364,Winnipeg,MB,R3K 1Z8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-73,455 Westwood Drive,55+ Community,,(204) 889 6073,,,,,westwood455@hotmail.com,,,455 Westwood Dr,,Kirkfield,49.8799408,-97.2928296,Winnipeg,MB,R3K 1W6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-74,2600/2610 Portage Ave,55+ Community,,(204) 832 3693,,,,,,www.rentcanada.com,,2600/2610 Portage Ave,,Birchwood,49.876428,-97.2676905,Winnipeg,MB,R3J 3R2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-75,22 Strauss Dr,55+ Community,,,,,,,,,,22 Struass Dr,,Booth,49.8877274,-97.2627724,Winnipeg,MB,R3J 3V2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-76,Willowlake Gardens,55+ Community,,(204) 253 9753,,,,,propertymgmt@ladcocompany.com,www.rentcanada.com,,321-133 Willowlake Cr,,Niakwa Place,49.8466086,-97.0840782,Winnipeg,MB,R2J 3E6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-77,Wickham Park,55+ Community,,(204) 254 7143,,,,,wickhamprk@ladcocompay.com,www.rentcanada.com,,100 Wickham Rd,,Maginot,49.8731769,-97.0832872,Winnipeg,MB,R2J 2L4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-78,VILLA Aulneau (assisted Living),55+ Community,,(204) 594 6300,,,,,glambert@despinscharities.ca,www.villaaulneau.ca,,601 Aulneau St,,Central St. Boniface,49.8903439,-97.1203657,Winnipeg,MB,R2H 2V5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-79,Residence Despins (assisted Living),55+ Community,,(204) 480 2900,,,,,afoidart@despinscharities.ca,www.resdespins.ca,,151 rue Despins,,Central St. Boniface,49.8872774,-97.1224956,Winnipeg,MB,R2H 0L7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-80,Place St. Boniface,55+ Community,,(204) 231 1050,,,,,,,,325 Enfield Cr,,Central St. Boniface,49.8825297,-97.1128377,Winnipeg,MB,R2H 1C3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-81,Place Rennes,55+ Community,,(204) 235 0568,,,,,,,,344 Enfield Cr,,Central St. Boniface,49.883259,-97.1126357,Winnipeg,MB,R2H 1C5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-82,Manoir De La Cathedrale Manor (assisted Living),55+ Community,,(204) 231 2277,,,,,rhonda@cathedralemanor.ca,www.calebgroup.ca,,321 rue de la Cathedrale,,Central St. Boniface,49.8917303,-97.1133883,Winnipeg,MB,R2H 0A3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-83,Maison Dorchester,55+ Community,,(204) 990 1253,,,,,,,,300 Marion St,,Norwood East,49.881634,-97.1138302,Winnipeg,MB,R2H 0T9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-84,Legion Towers,55+ Community,,,,,,,,,,270 Kenny St,,Norwood East,49.880324,-97.1199,Winnipeg,MB,R2H 2E5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-85,Laval Apts,55+ Community,,(204) 898 7264,,,,,,,,932 Archibald St,,Windsor Park,49.8703991,-97.0922895,Winnipeg,MB,R2J 0Z1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-86,Holy Cross Manor,55+ Community,,(204) 237 6177,,,,,,,,266 Enfield Cr,,Norwood East,49.8794619,-97.1124749,Winnipeg,MB,R2H 1B7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-87,VILLA Fel Rodriguez Housing Co,55+ Community,,(204) 982 2000,,,,,,,,442 William Ave,,West Alexander,49.9014827,-97.1476398,Winnipeg,MB,R3A 0J6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-88,Sunset House,55+ Community,,(204) 772 0508,,,,,,,,888 Arlington St,,Daniel Mcintyre,49.9040124,-97.1683959,Winnipeg,MB,R3E 2E4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-89,St Andrews Place,55+ Community,,(204) 942 0991,,,,,,www.sam.mb.ca,,425 Elgin Ave,,Centennial,49.9023055,-97.1453952,Winnipeg,MB,R3A 1P2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-90,Sek On Toi,55+ Community,,(204) 947 1705,,,,,,,,289 Pacific Ave,,Downtown,49.9020773,-97.1392126,Winnipeg,MB,R3B 3B7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-91,Roney Plaza,55+ Community,,(204) 944 8776,,,,,,,,10 Edmonton St,,Downtown,49.883842,-97.143008,Winnipeg,MB,R3C 1P7,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-92,Rideau Towers,55+ Community,,(204) 947 9732,,,,,,www.crystalproperties.ca,,90 Garry St,,Downtown,49.887417,-97.1376091,Winnipeg,MB,R3C 4J4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-93,Place Promenade,55+ Community,,(204) 988 6880,,,,,,,,400 410 420 Webb Pl,,Downtown,49.89309,-97.1490612,Winnipeg,MB,R3B 3J3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-94,Pamela Apts,55+ Community,,(204) 416 5552,,,,,,,,761 Wolseley Ave,,Wolseley,49.880575,-97.163074,Winnipeg,MB,R3G 1C5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-95,McClure Place INC.,55+ Community,,,,,,,,www.sam.mb.ca,,533 Greenwood Pl,,Wolseley,49.883138,-97.179457,Winnipeg,MB,R3G 3M1,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-96,Lions Place,55+ Community,,(204) 784 1273,,,,,,www.lhc.ca,,610 Portage Ave,,West Broadway,49.8885219,-97.1569508,Winnipeg,MB,R3C 0G5,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-97,Lions Manor,55+ Community,,(204) 784 1239,,,,,,www.lhc.ca,,320 Sherbrook St,,St. Matthews,49.8889706,-97.1596464,Winnipeg,MB,R3B 2W6,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-98,Le Chateau York,55+ Community,,(204) 942 7784,,,,,leasing@lechateauyork.com,,,134 Smith St,,Downtown,49.889346,-97.14009,Winnipeg,MB,R3C 3W2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-99,Lar Santa ISABEL,55+ Community,,(204) 982 2000,,,,,,,,857 Wall St,,Minto,49.8909604,-97.1820841,Winnipeg,MB,R3G 2T9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-100,Madison Memorial Lodge,55+ Community,,(204) 956 4344,,,,,,,,210 Evanson St,,Wolseley,49.8836193,-97.1708188,Winnipeg,MB,R3G 3K9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-101,Kirby Terrace,55+ Community,,(204) 942 2554,,,,,,,,393 Kennedy St,,Downtown,49.895494,-97.149948,Winnipeg,MB,R3B 3H2,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-102,Keystone Senior Citizens Housing,55+ Community,,(204) 489 9510,,,,,,,,224 Colony St,,West Broadway,49.8874518,-97.1514548,Winnipeg,MB,R3C 3X9,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-103,Kelly House,55+ Community,,(204) 956 1221,,,,,,,,15 Carlton St,,Downtown,49.8847287,-97.1412339,Winnipeg,MB,R3C 1N8,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-104,Fort Garry Place I,55+ Community,,(204) 940 3478,,,,,55garry@edisonproperties.ca,www.edisonpropertis.ca,,55 Garry St,,Downtown,49.8865762,-97.1364334,Winnipeg,MB,R3C 4H4,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-105,Fort Garry Place III,55+ Community,,(240) 940 3475,,,,,20fort@edisonproperties.ca,www.edisonproperties.ca,,20 Fort St,,Downtown,49.8869254,-97.1356759,Winnipeg,MB,R3C 4L3,Canada
Canada-MB-22-SeniorHousing-22-SeniorHousing-NORMALIZED-106,Ellice Place (assisted Living),55+ Community,,(204) 948 2328,,,,,Ellice.SHAL@gov.mb.ca,,,555 Ellice Ave,,Spence,49.8929989,-97.1564468,Winnipeg,MB,R3B 3C4,Canada
