row_id,﻿Facility Name,Facility Type(s),Address1,Address2,City,Zip,State,Phone,Fax,Website,Country
USA-KS-89-KS-AssistedLiving-output-20,Bonner Springs Nursing & Rehab Center,Nursing Facility,520 E Morse Ave,,Bonner Springs,66012-1911,KS,913-441-2515,913-441-7313,www.BonnerSpringsNursing&Rehab.com,US
USA-KS-89-KS-AssistedLiving-output-21,Life Care Center of Burlington,Nursing Facility,601 Cross St,,Burlington,66839-1105,KS,620-364-2117,620-364-2013,lifecarecenterofburlington.com,US
USA-KS-89-KS-AssistedLiving-output-22,The Meadows,Assisted Living,1201 Martindale St,,Burlington,66839-2400,KS,620-364-8861,620-364-5504,www.coffeyhealth.org/LongtermCare/TheMeadows,US
USA-KS-89-KS-AssistedLiving-output-23,Guest Home Estates,RHCF,400 S McGee,,Caney,67333-2157,KS,620-879-5199,620-879-5291,www.guesthomeestates.com/guest-home-estates-i-ii,US
USA-KS-89-KS-AssistedLiving-output-24,Diversicare of Chanute,Nursing Facility,530 W 14th St,,Chanute,66720-2877,KS,620-431-4940,620-431-4147,diversicareofchanute.com,US
USA-KS-89-KS-AssistedLiving-output-25,Guest Home Estates II,RHCF,1202 S Plummer,,Chanute,66720,KS,620-431-9509,620-431-0471,www.guesthomeestates.com/guest-home-ii,US
USA-KS-89-KS-AssistedLiving-output-26,Guest Home Estates III,RHCF,7440 220th Rd,,Chanute,66720,KS,620-431-7115,620-431-0402,www.guesthomeestates.com/guest-home-estates-iii,US
USA-KS-89-KS-AssistedLiving-output-27,Heritage Health Care Center,Nursing Facility,1630 W 2nd St,,Chanute,66720-1930,KS,620-431-4151,620-431-6928,www.americareusa.net/skilled_nursing_facility/Chanute_KS/zip_66720/americare/1349,US
USA-KS-89-KS-AssistedLiving-output-28,Cheney Golden Age Home Plus,Home Plus,802 North Main Street,,Cheney,67025-0370,KS,316-540-3691,316-542-0165,,US
USA-KS-89-KS-AssistedLiving-output-29,Cherryvale Nursing and Rehabilitation Center,Nursing Facility,1001 W Main St, PO Box 366,Cherryvale,67335-0366,KS,620-336-2102,620-336-2236,www.cherryvalecare.com,US
USA-KS-89-KS-AssistedLiving-output-30,Chetopa Manor,Nursing Facility,814 Walnut St, PO Box 167,Chetopa,67336-0167,KS,620-236-7248,620-236-7919,www.woodworthhealthcare.com/chetopa.html,US
USA-KS-89-KS-AssistedLiving-output-31,Medicalodges Clay Center,Nursing Facility; RHCF,715 Liberty St, PO Box 517,Clay Center,67432-0517,KS,785-632-5696,785-632-2855,www.medicalodgesclaycenter.com,US
USA-KS-89-KS-AssistedLiving-output-32,Clearwater Nursing & Rehabilitation Center,Nursing Facility,620 E Wood St,,Clearwater,67026-9757,KS,620-584-2271,620-584-4583,,US
USA-KS-89-KS-AssistedLiving-output-33,Clearwater Village,Assisted Living,440 N Fourth,,Clearwater,67026,KS,620-584-4183,620-584-4575,,US
USA-KS-89-KS-AssistedLiving-output-34,Assisted Living at Windsor Place,Assisted Living,2904 W 8th St,,Coffeyville,67337,KS,620-251-0214,620-251-5345,www.windsorplace.net,US
USA-KS-89-KS-AssistedLiving-output-35,Medicalodges Coffeyville,Nursing Facility,720 W 1st St,,Coffeyville,67337-3854,KS,620-251-3705,620-251-2410,www.medicalodgescoffeyville.com,US
USA-KS-89-KS-AssistedLiving-output-36,Colby Health & Rehabilitation,Nursing Facility,105 E College Dr,,Colby,67701-3701,KS,785-462-6721,785-460-2136,colbyhealthandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-37,Medicalodges Columbus,Nursing Facility; RHCF,101 N Lee Ave,,Columbus,66725-0351,KS,620-429-2134,620-429-8956,www.medicalodgescolumbus.com,US
USA-KS-89-KS-AssistedLiving-output-38,Spring View Manor,Nursing Facility,412 S 8th St, PO Box 98,Conway Springs,67031-0098,KS,620-456-2285,620-456-2323,www.springviewmanorinc.com,US
USA-KS-89-KS-AssistedLiving-output-39,"Chase County Care & Rehabilitation Center, LLC",Nursing Facility,612 Walnut St,,Cottonwood Falls,66845-9798,KS,620-273-6360,620-273-8536,,US
USA-KS-89-KS-AssistedLiving-output-40,Diversicare of Council Grove,Nursing Facility,400 Sunset Dr, PO Box 319,Council Grove,66846-0319,KS,620-767-5172,620-767-6622,diversicareofcouncilgrove.com,US
USA-KS-89-KS-AssistedLiving-output-41,Hilltop Manor,Nursing Facility,403 S Valley, PO Box 8,Cunningham,67035-0008,KS,620-298-2781,620-298-3437,www.americareusa.net/skilled_nursing_facility/Cunningham_KS/zip_67035/americare/10512,US
USA-KS-89-KS-AssistedLiving-output-42,Hillside Village of DeSoto,Assisted Living; Nursing Facility,33600 W 85th St,,DeSoto,66018-8118,KS,913-583-1260,913-585-1225,www.hillsidedesoto.com,US
USA-KS-89-KS-AssistedLiving-output-43,Avita Senior Living at Derby,Assisted Living,719 N Klein,,Derby,67037,KS,316-260-4447,316-440-4093,derbyassistedliving.com,US
USA-KS-89-KS-AssistedLiving-output-44,Derby Health and Rehabilitation LLC,Nursing Facility,731 Klein Ct,,Derby,67037,KS,316-719-2400,316-440-9587,derbyhealthandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-45,Homestead of Derby,Assisted Living,1701 E Walnut Grove Rd,,Derby,67037-3527,KS,316-788-9600,316-788-8963,,US
USA-KS-89-KS-AssistedLiving-output-46,Diamond View Estates,Assisted Living,775 Diamond View Dr,,Dighton,67839,KS,620-397-5111,620-397-5119,,US
USA-KS-89-KS-AssistedLiving-output-47,Medicalodges Douglass,Nursing Facility,619 S HWY 77,,Douglass,67039-0479,KS,316-747-2157,316-747-2084,www.medicalodgesdouglass.com,US
USA-KS-89-KS-AssistedLiving-output-48,"Downs Care & Rehabilitation Center, LLC",Nursing Facility,1218 Kansas St,,Downs,67437-1404,KS,785-454-3321,785-454-3980,,US
USA-KS-89-KS-AssistedLiving-output-49,Country Care Inc,Nursing Facility,515 Dawson Rd,,Easton,66020,KS,913-773-5517,913-773-5562,countrycare.org,US
USA-KS-89-KS-AssistedLiving-output-50,"Edwardsville Care & Rehabilitation , LLC",Nursing Facility,751 Blake St,,Edwardsville,66111-1338,KS,913-441-1900,913-441-0410,,US
USA-KS-89-KS-AssistedLiving-output-51,"Kaw River Care & Rehabilitation Center, LLC",Nursing Facility,750 Blake St,,Edwardsville,66111-1339,KS,913-422-5832,913-441-6223,,US
USA-KS-89-KS-AssistedLiving-output-52,"Parkway Care & Rehabilitation Center, LLC",Nursing Facility,749 Blake St,,Edwardsville,66111-1338,KS,913-422-5952,913-442-2044,,US
USA-KS-89-KS-AssistedLiving-output-53,"El Dorado Care & Rehabilitation Center, LLC",Nursing Facility,900 Country Club Ln,,El Dorado,67042-4206,KS,316-321-4444,316-321-4513,,US
USA-KS-89-KS-AssistedLiving-output-54,Homestead of El Dorado,Assisted Living,1650 E 12th Ave,,El Dorado,67042,KS,316-321-7777,316-321-6115,www.vintageplaceeldorado.com,US
USA-KS-89-KS-AssistedLiving-output-55,"LakePoint El Dorado, LLC",Assisted Living; Nursing Facility,1313 S High St,,El Dorado,67042-3751,KS,316-321-4140,316-321-7690,www.omegasrliving.com,US
USA-KS-89-KS-AssistedLiving-output-56,Woodhaven Care Center,Nursing Facility,510 W 7th St,,Ellinwood,67526-1101,KS,620-564-2337,620-564-3527,www.woodhavencarecenter.com,US
USA-KS-89-KS-AssistedLiving-output-57,Emporia Place,Assisted Living,1200 W 12th Ave,,Emporia,66801-2557,KS,620-342-1000,620-342-2762,,US
USA-KS-89-KS-AssistedLiving-output-58,Guest Home Estates VIII,RHCF,114 E Marshall St,,Erie,66733,KS,620-244-5301,620-244-5482,www.guesthomeestates.com/guest-home-estates-viii,US
USA-KS-89-KS-AssistedLiving-output-59,"Eskridge Care & Rehabilitation Center, LLC",Nursing Facility,505 N Main St,,Eskridge,66423-9618,KS,785-449-2294,785-449-2285,,US
USA-KS-89-KS-AssistedLiving-output-60,Medicalodges Eudora,Nursing Facility,1415 Maple St,,Eudora,66025-0400,KS,785-542-2176,785-542-2177,www.medicalodgeseudora.com,US
USA-KS-89-KS-AssistedLiving-output-61,Eureka Nursing Center,Nursing Facility,1020 N School St,,Eureka,67045-1106,KS,620-583-7418,620-583-6621,www.americareusa.net/skilled_nursing_facility/Eureka_KS/zip_67045/americare/1347,US
USA-KS-89-KS-AssistedLiving-output-62,Medicalodges Fort Scott,Nursing Facility,915 Horton St, PO Box 510,Fort Scott,66701-0510,KS,620-223-0210,620-223-0244,wwww.medicalodgesfortscott.com,US
USA-KS-89-KS-AssistedLiving-output-63,Medicalodges Frontenac,Nursing Facility,206 S Dittman St,,Frontenac,66763-2299,KS,620-231-7340,620-231-3955,www.medicalodgesfrontenac.com,US
USA-KS-89-KS-AssistedLiving-output-64,Galena Nursing & Rehab Center,Nursing Facility,1220 E 8th St,,Galena,66739-0186,KS,620-783-1383,620-783-5354,www.americareusa.net/skilled_nursing_facility/Galena_KS/zip_66739/americare/1348,US
USA-KS-89-KS-AssistedLiving-output-65,The Homestead Health & Rehab Center,Nursing Facility,2308 N 3rd St, PO Box 955,Garden City,67846-0955,KS,620-276-7643,620-276-8717,www.midwest-health.com/homestead-health-rehab,US
USA-KS-89-KS-AssistedLiving-output-66,The Homestead of Garden City,Assisted Living,2414 N Henderson Dr,,Garden City,67846,KS,620-272-9800,620-272-0555,www.midwest-health.com/garden-city,US
USA-KS-89-KS-AssistedLiving-output-67,Marjorie’s Home LLC GP,Home Plus,524 N Main,,Garden Plain,67050,KS,316-213-9816,316-977-8809,,US
USA-KS-89-KS-AssistedLiving-output-68,Meadowbrook Rehabilitation Hospital,Nursing Facility,427 W Main St,,Gardner,66030-1183,KS,913-856-8747,913-856-8339,www.meadowbrookrehab.com,US
USA-KS-89-KS-AssistedLiving-output-69,Medicalodges Gardner,Nursing Facility,223 Bedford St,,Gardner,66030-1167,KS,913-856-6520,913-856-7570,www.medicalodgesgardner.com,US
USA-KS-89-KS-AssistedLiving-output-70,Vintage Park at Gardner LLC,Assisted Living,869 Juniper Terr,,Gardner,66030,KS,913-856-7643,913-884-4582,www.gracemanagement.com,US
USA-KS-89-KS-AssistedLiving-output-71,Anderson County Hospital LTCU,Nursing Facility,421 S Maple St, PO Box 309,Garnett,66032-1334,KS,785-448-3131,785-448-6361,www.saintlukeshealthsystem.org,US
USA-KS-89-KS-AssistedLiving-output-72,Guest Home Estates VII,RHCF,806 W 4th,,Garnett,66032-2415,KS,785-448-6884,785-448-3377,www.guesthomeestates.com/guest-home-estates-vii-viii,US
USA-KS-89-KS-AssistedLiving-output-73,Parkview Heights Skilled Nursing & Rehabilitation,Nursing Facility,101 N Pine St,,Garnett,66032-1199,KS,785-448-2434,785-448-6524,www.parkviewheights.com,US
USA-KS-89-KS-AssistedLiving-output-74,Medicalodges Girard,Nursing Facility,511 N Western Ave,,Girard,66743-0066,KS,620-724-8288,620-724-4713,www.medicalodgesgirard.com,US
USA-KS-89-KS-AssistedLiving-output-75,Medicalodges Goddard,Nursing Facility; RHCF,501 Easy St,,Goddard,67052-9235,KS,316-794-8635,316-794-3476,www.medicalodgesgoddard.com,US
USA-KS-89-KS-AssistedLiving-output-76,Wheat Ridge Acres Assisted Living,Assisted Living; RHCF,707 Wheat Ridge Circle,,Goodland,67735-2259,KS,785-899-0100,785-899-0277,www.heritagehealthcaremanagement.com,US
USA-KS-89-KS-AssistedLiving-output-77,"Almost Home, Inc",Home Plus,1919 Van Buren,,Great Bend,67530-2136,KS,620-617-1634,620-792-6447,,US
USA-KS-89-KS-AssistedLiving-output-78,River Bend Assisted Living,Assisted Living,3820 Broadway,,Great Bend,67530,KS,620-792-7017,620-792-7117,www.americareusa.net/assisted_living/Great_Bend_KS/zip_67530/americare/1296,US
USA-KS-89-KS-AssistedLiving-output-79,Halstead Health & Rehabilitation Center,Nursing Facility,915 McNair St,,Halstead,67056,KS,316-835-3535,316-835-4848,www.midwest-health.com/halstead-health-rehab,US
USA-KS-89-KS-AssistedLiving-output-80,The Homestead of Halstead,Assisted Living,715 W 6th St,,Halstead,67056,KS,316-830-2424,316-830-3030,www.midwest-health.com/halstead,US
USA-KS-89-KS-AssistedLiving-output-81,Haven House,Home Plus,410 North Reno Ave,,Haven,67543,KS,620-465-2421,620-465-2643,,US
USA-KS-89-KS-AssistedLiving-output-82,Haviland Health & Rehabilitation,Nursing Facility,200 North Main St,,Haviland,67059-9525,KS,620-862-5291,620-862-5233,www.havilandcarecenter.com,US
USA-KS-89-KS-AssistedLiving-output-83,Cedarview Assisted Living,Assisted Living,2929 Sternberg Dr,,Hays,67601,KS,785-628-3200,785-628-9992,www.cedarviewassistedliving.com,US
USA-KS-89-KS-AssistedLiving-output-84,Diversicare of Haysville,Nursing Facility,215 N Lamar Ave,,Haysville,67060-1266,KS,316-524-3211,316-524-7470,diversicareofhaysville.com,US
USA-KS-89-KS-AssistedLiving-output-85,Legacy at Herington,Assisted Living; Nursing Facility,2 E Ash St,,Herington,67449-1662,KS,785-258-2283,785-258-3769,,US
USA-KS-89-KS-AssistedLiving-output-86,Highland Healthcare & Rehab Center,Nursing Facility,402 South Ave, PO Box 117,Highland,66035-0117,KS,785-442-3217,785-442-3733,,US
USA-KS-89-KS-AssistedLiving-output-87,Medicalodges Jackson County,Nursing Facility,1121 W 7th St,,Holton,66436-1123,KS,785-364-3164,785-364-3778,www.medicalodgesjacksoncounty.com,US
USA-KS-89-KS-AssistedLiving-output-88,"The Pines, Inc.",Home Plus,725 Iowa Avenue,,Holton,66436,KS,785-364-3314,,,US
USA-KS-89-KS-AssistedLiving-output-89,Diversicare of Hutchinson,Nursing Facility,1202 E 23rd Ave,,Hutchinson,67502-5699,KS,620-669-9393,620-669-0817,diversicareofhutchinson.com,US
USA-KS-89-KS-AssistedLiving-output-90,Hutchinson Health & Rehabilitation,Nursing Facility,2301 N Severance St,,Hutchinson,67502-4301,KS,620-662-0597,620-662-6157,hutchinsonhealthandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-91,Waldron Place,Assisted Living; RHCF,1700 E 23rd,,Hutchinson,67502,KS,620-662-4114,620-662-9002,www.americareusa.net/assisted_living/Hutchinson_KS/zip_67502/americare/10609,US
USA-KS-89-KS-AssistedLiving-output-92,Gran Villas Independence,RHCF,621 S 2nd St,,Independence,67301-4311,KS,620-331-2260,620-331-7082,www.granvillasindependence.com,US
USA-KS-89-KS-AssistedLiving-output-93,Medicalodges Independence,Nursing Facility,1000 W Mulberry St,,Independence,67301-2026,KS,620-331-8789,620-331-6895,www.medicalodgesindependence.com,US
USA-KS-89-KS-AssistedLiving-output-94,Montgomery Place Nursing Center,Nursing Facility,614 S 8th St,,Independence,67301-4299,KS,620-331-2577,620-331-2544,www.americareusa.net/skilled_nursing_facility/Independence_KS/zip_67301/americare/5105,US
USA-KS-89-KS-AssistedLiving-output-95,Brookdale Junction City,Assisted Living,1022 Caroline Ave,,Junction City,66441-5206,KS,785-762-3123,785-762-6222,www.brookdale.com,US
USA-KS-89-KS-AssistedLiving-output-96,Kansas City Transitional Care Center,Nursing Facility,3910 Rainbow Blvd 400,,Kansas City,66103,KS,913-901-8462,913-362-0623,,US
USA-KS-89-KS-AssistedLiving-output-97,Life Care Center of Kansas City,Nursing Facility,3231 N 61st St,,Kansas City,66104-1415,KS,913-299-1770,913-299-1539,lifecarecenterofkansascity.com,US
USA-KS-89-KS-AssistedLiving-output-98,Medicalodges Post Acute Care Center,Nursing Facility,6500 Greeley Ave,,Kansas City,66104-2647,KS,913-334-0200,913-334-4050,www.medicalodgespostacutecare.com,US
USA-KS-89-KS-AssistedLiving-output-99,Providence Place LTCU,Nursing Facility,8909 Parallel Pkwy,,Kansas City,66112-1685,KS,913-596-4200,913-596-4901,www.providence-health.org,US
USA-KS-89-KS-AssistedLiving-output-100,The Healthcare Resort of Kansas City,Nursing Facility,8900 Parallel Parkway,,Kansas City,66112,KS,913-788-2100,,,US
USA-KS-89-KS-AssistedLiving-output-101,Victory Hills Senior Living Community,Assisted Living,1900 N 70th,,Kansas City,66102,KS,913-299-1166,913-299-9474,www.victoryhillsseniorliving.com,US
USA-KS-89-KS-AssistedLiving-output-102,Medicalodges Kinsley,Nursing Facility; RHCF,620 Winchester Ave,,Kinsley,67547-9500,KS,620-659-2156,620-659-2043,www.medicalodgeskinsley.com,US
USA-KS-89-KS-AssistedLiving-output-103,"Lansing Care & Rehabilitation Center, LLC",Nursing Facility,210 N Plaza Drive, PO Box 250,Lansing,66043,KS,913-727-1284,913-727-1859,,US
USA-KS-89-KS-AssistedLiving-output-104,Twin Oaks Assisted Living,Assisted Living,657 Eisenhower Rd,,Lansing,66043-1913,KS,913-727-6100,913-727-1722,www.midwest-health.com/twin-oaks,US
USA-KS-89-KS-AssistedLiving-output-105,Twin Oaks Health & Rehabilitation,Nursing Facility,757 W Eisenhower Rd,,Lansing,66043,KS,913-534-8336,913-250-0522,www.midwest-health.com/twin-oaks-health-rehab,US
USA-KS-89-KS-AssistedLiving-output-106,Diversicare of Larned,Nursing Facility; RHCF,1114 W 11th St,,Larned,67550-1941,KS,620-285-6914,620-285-6173,diversicareoflarned.com,US
USA-KS-89-KS-AssistedLiving-output-107,Brandon Woods at Alvamar,Assisted Living; Nursing Facility; RHCF,1501 Inverness Dr,,Lawrence,66047-1825,KS,785-838-8000,785-312-7233,www.brandonwoods.com,US
USA-KS-89-KS-AssistedLiving-output-108,Neuvant House of Lawrence,Assisted Living,1216 Biltmore Dr,,Lawrence,66049,KS,785-856-7900,785-856-7901,www.neuvanthouse.com,US
USA-KS-89-KS-AssistedLiving-output-109,Pioneer Ridge Assisted Living,Assisted Living,4851 Harvard Rd,,Lawrence,66049,KS,785-749-4200,,www.midwest-health.com/pioneer-ridge,US
USA-KS-89-KS-AssistedLiving-output-110,Pioneer Ridge Retirement Community,Assisted Living; Nursing Facility,4851 Harvard Rd,,Lawrence,66049-3964,KS,785-749-2000,785-344-1199,www.midwest-health.com/pioneer-ridge-health-rehab,US
USA-KS-89-KS-AssistedLiving-output-111,Medicalodges Leavenworth,Nursing Facility,1503 Ohio St,,Leavenworth,66048-2932,KS,913-772-1844,913-772-1968,www.medicalodgesleavenworth.com,US
USA-KS-89-KS-AssistedLiving-output-112,The Homestead of Leavenworth,Assisted Living,5150 Hughes Rd,,Leavenworth,66048-5022,KS,913-727-9600,913-727-9604,www.midwest-health.com/leavenworth,US
USA-KS-89-KS-AssistedLiving-output-113,The Healthcare Resort of Leawood,Nursing Facility,5401 West 143rd St,,Leawood,66224,KS,913-249-3600,,,US
USA-KS-89-KS-AssistedLiving-output-114,The Homestead of Leawood,Assisted Living,12720 Stateline Rd,,Leawood,66209-1619,KS,913-663-3351,913-663-2357,www.midwest-health.com/leawood,US
USA-KS-89-KS-AssistedLiving-output-115,The Homestead of Lenexa,Assisted Living,8740 Caenen Lake Rd,,Lenexa,66215,KS,913-894-0014,913-894-1504,www.midwest-health.com/lenexa,US
USA-KS-89-KS-AssistedLiving-output-116,Brookdale Liberal Springs,Assisted Living,1500 N Terrace Ave,,Liberal,67901,KS,620-624-8000,620-624-8035,www.brookdale.com,US
USA-KS-89-KS-AssistedLiving-output-117,Homestead Estates Home Plus,Home Plus,1140 S Pershing Ave,,Liberal,67901,KS,620-626-5672,,,US
USA-KS-89-KS-AssistedLiving-output-118,Louisburg Healthcare & Rehab Center,Nursing Facility,1200 S Broadway St, PO Box 339,Louisburg,66053-0339,KS,913-837-2916,913-837-5782,,US
USA-KS-89-KS-AssistedLiving-output-119,Vintage Park at Louisburg LLC,Assisted Living,202 S Rogers St,,Louisburg,66053,KS,913-837-5133,913-837-5169,www.gracemanagement.com,US
USA-KS-89-KS-AssistedLiving-output-120,Stoneybrook Assisted Living,Assisted Living,2029 Little Kitten Ave,,Manhattan,66503-7545,KS,785-537-1065,785-537-0835,www.midwest-health.com,US
USA-KS-89-KS-AssistedLiving-output-121,Stoneybrook Retirement Community,Assisted Living; Nursing Facility,2025 Little Kitten Ave,,Manhattan,66503-7545,KS,785-776-0065,785-776-6825,www.midwest-health.com/stoneybrook-health-rehab,US
USA-KS-89-KS-AssistedLiving-output-122,The Homestead of Manhattan,Assisted Living,1923 Little Kitten Ave,,Manhattan,66503-7545,KS,785-776-1772,785-565-9707,www.midwest-health.com/manhattan,US
USA-KS-89-KS-AssistedLiving-output-123,Cambridge Place,Nursing Facility; RHCF,1100 N 16th St,,Marysville,66508-1126,KS,785-562-5321,785-562-5398,www.bluevalleyhealthcare.com,US
USA-KS-89-KS-AssistedLiving-output-124,Country Place Senior Living of Marysville,Assisted Living,1149 Country Place Dr.,,Marysville,66508,KS,785-562-4001,785-562-4002,,US
USA-KS-89-KS-AssistedLiving-output-125,McPherson Health & Rehabilitation,Nursing Facility,1601 N Main St,,McPherson,67460-1601,KS,620-241-1276,620-241-5364,mcphersonhealthandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-126,Kelly House of Meriden North,Home Plus,6313 Highway K-4,,Meriden,66512,KS,785-430-5500,,www.midwest-health.com/kelly-house-meriden,US
USA-KS-89-KS-AssistedLiving-output-127,Kelly House of Meriden South,Home Plus,3566 62nd St,,Meriden,66512,KS,785-430-5500,785-484-0100,www.midwest-health.com/kelly-house-meriden,US
USA-KS-89-KS-AssistedLiving-output-128,Trinity Nursing & Rehab Center Inc,Nursing Facility,9700 W 62nd St,,Merriam,66203-3282,KS,913-384-0800,913-384-0709,www.trinitynursingandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-129,Bickford at Mission Springs I,Assisted Living; RHCF,5300 W 61st Place,,Mission,66205,KS,913-831-7700,913-831-7733,www.enrichinghappiness.com/branch/bickford-at-mission-springs,US
USA-KS-89-KS-AssistedLiving-output-130,Bickford at Mission Springs II,Assisted Living,5350 W 61st Pl,,Mission,66205,KS,913-831-7700,913-831-7733,www.enrichinghappiness.com/branch/bickford-at-mission-springs,US
USA-KS-89-KS-AssistedLiving-output-131,Moran Manor,Nursing Facility,3940 US Hwy 54,,Moran,66755,KS,620-237-4300,620-237-4446,www.americareusa.net/skilled_nursing_facility/Moran_KS/zip_66755/americare/1350,US
USA-KS-89-KS-AssistedLiving-output-132,"Neodesha Care & Rehabilitation Center, LLC",Nursing Facility,1626 N 8th St,,Neodesha,66757-1239,KS,620-325-3088,620-325-3369,,US
USA-KS-89-KS-AssistedLiving-output-133,Whispering Pines,Assisted Living,200 Whispering Pines,,Norton,67654,KS,785-874-5500,785-874-5501,www.whisperingpinesks.com,US
USA-KS-89-KS-AssistedLiving-output-134,Azria Health Olathe,Nursing Facility,201 E Flaming Rd,,Olathe,66061-5343,KS,913-829-2273,913-829-0386,Azriahealtholathe.com,US
USA-KS-89-KS-AssistedLiving-output-135,Nottingham Health and Rehabilitation,Nursing Facility,14200 W 134th Pl,,Olathe,66062-6140,KS,913-322-3111,,www.nottinghamhealthandrehab.com,US
USA-KS-89-KS-AssistedLiving-output-136,Pinnacle Ridge Nursing & Rehab Center,Nursing Facility,400 S Rogers Rd,,Olathe,66062-1706,KS,913-782-3350,913-782-1732,www.pinnacleridgerehabilitation.com,US
USA-KS-89-KS-AssistedLiving-output-137,The Healthcare Resort of Olathe,Nursing Facility,21250 West 151st Street,,Olathe,66061,KS,913-390-0444,,,US
USA-KS-89-KS-AssistedLiving-output-138,The Homestead of Olathe North,Assisted Living,791 N Somerset Terr,,Olathe,66062,KS,913-829-1403,913-829-4064,www.midwest-health.com/olathe,US
USA-KS-89-KS-AssistedLiving-output-139,The Homestead of Olathe South,Assisted Living,751 N Somerset Terr,,Olathe,66062-5450,KS,913-829-4663,913-829-6495,www.midwest-health.com/olathe,US
USA-KS-89-KS-AssistedLiving-output-140,Onaga Health & Rehabilitation,Nursing Facility,500 Western St,,Onaga,66521-9424,KS,785-889-4227,785-889-4847,onagahealthandrehab.com,US
