Field Name,Type,Notes,,Type Categories
CYCLE_3_HEALTH_DEFICIENCY_SCORE,"Complaints, Deficiencies, and Fines",,,
CYCLE_3_HEALTH_REVISIT_SCORE,Scoring & Evaluations,,,
CYCLE_3_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_3_NUMBER_OF_HEALTH_REVISITS,"Complaints, Deficiencies, and Fines",,,
CYCLE_3_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_3_STANDARD_HEALTH_SURVEY_DATE,"Complaints, Deficiencies, and Fines",,,
CYCLE_3_TOTAL_HEALTH_SCORE,Scoring & Evaluations,,,
CYCLE_3_TOTAL_NUMBER_OF_FIRE_SAFETY_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
CYCLE_3_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES,"Complaints, Deficiencies, and Fines",,,
DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES,Insurance/Welfare,,,
DATE_OF_POSSESSION,To Be Investigated,,,
DATEPROBATIONARYISSUED,To Be Investigated,,,
DATEREGULARISSUED,To Be Investigated,,,
DEEMED_STATUS,To Be Investigated,,,
DEFICIENCY_CORRECTED,"Complaints, Deficiencies, and Fines",,,
DEFICIENCY_DESCRIPTION,"Complaints, Deficiencies, and Fines",,,
DEFICIENCY_PREFIX,"Complaints, Deficiencies, and Fines",,,
DEFICIENCY_TAG_NUMBER,"Complaints, Deficiencies, and Fines",,,
DEPARTMENT,To Be Investigated,,,
DESCRIPTION,To Be Investigated,,,
DEVELOPMENTALLY_DISABLED,Specializations,,,
DHEC_LICENSE,To Be Investigated,,,
DIR._GENERAL,To Be Investigated,,,
DQA_REGION,Address,,,
DQA_REGION_CATEGORY,Address,,,
DSGNE_FIRST_NAME,Contact Information,,,
DSGNE_LAST_NAME,Contact Information,,,
ELIGIBILITY,Admittance Information,,,
ELIGIBILITY_CRITERIA,Admittance Information,,,
EMAIL,Contact Information,,,
EMAIL_ADDRESS,Contact Information,,,
EMOTIONALLY_DISTURBED/MENTAL_ILLNESS,Specializations,,,
ENHANCED_ALR_BEDS,Capacity,,,
ESRD_STATIONS,To Be Investigated,,,
ESTABLISH_DATE,Building Information,,,
EVAL_DATE,Certification/Licensing Information,,,
EXPECTED_CNA_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
EXPECTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
EXPECTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
EXPECTED_SCORE,Scoring & Evaluations,,,
EXPECTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY,Staffing Information,,,
EXPIRATION_DATE,Certification/Licensing Information,,,
EXPIRES,Certification/Licensing Information,,,
EXTENSION_TO_DATE,Certification/Licensing Information,,,
FAC._CONTACT_EMAIL,Contact Information,,,
FAC_CITY,Address,,,
FAC_ID,Address,,,
FACEBOOK,Address,,,
FACID,Administration Info,,,
FACILITIES,Facilities,,,
FACILITY_ADDRESS,Address,,,
FACILITY_ADMINISTRATOR,Contact Information,,,
FACILITY_CAPACITY,Capacity,,,
FACILITY_CITY,Address,,,
FACILITY_EMAIL,Contact Information,,,
FACILITY_FAX,Contact Information,,,
FACILITY_ID,Administration Info,,,
FACILITY_MEDICARE_NUMBER,Administration Info,,,
FACILITY_NAME,Contact Information,,,
FACILITY_NUMBER,Administration Info,,,
FACILITY_OPCERT,Certification/Licensing Information,,,
FACILITY_PHONE,Contact Information,,,
FACILITY_STATE,Address,,,
FACILITY_STATUS,Administration Info,,,
FACILITY_TELEPHONE_NUMBER,Contact Information,,,
FACILITY_TYPE,Facility Type,,,
FACILITY_TYPE(S),Facility Type,,,
FACILITY_ZIP,Address,,,
FACTYPE,To Be Investigated,,,
FAX,Contact Information,,,
FAX_#,Contact Information,,,
FAXPHONE,Contact Information,,,
FEDERAL_PROVIDER_NUMBER,Administration Info,,,
FIFTH_QUINTILE,Statistics,,,
FINE_AMOUNT,"Complaints, Deficiencies, and Fines",,,
FINE_AMOUNT_IN_DOLLARS,"Complaints, Deficiencies, and Fines",,,
FIRE_SAFTEY_SURVEY_DATE,Certification/Licensing Information,,,
FIRST_ISSUE_DATE,Certification/Licensing Information,,,
FIRST_QUINTILE,Statistics,,,
FLOORING_TYPE,Building Information,,,
FOOTNOTE_FOR_FOUR_QUARTER_AVERAGE_SCORE,Scoring & Evaluations,,,
FOOTNOTE_FOR_Q1_MEASURE_SCORE,Scoring & Evaluations,,,
FOOTNOTE_FOR_Q2_MEASURE_SCORE,Scoring & Evaluations,,,
FOOTNOTE_FOR_Q3_MEASURE_SCORE,Scoring & Evaluations,,,
FOOTNOTE_FOR_Q4_MEASURE_SCORE,Scoring & Evaluations,,,
FOOTNOTE_FOR_SCORE,Scoring & Evaluations,,,
FOUR_QUARTER_AVERAGE_SCORE,Scoring & Evaluations,,,
FOURTH_QUINTILE,Statistics,,,
FUNDING_METHOD,Administration Info,,,
FUNDING_SOURCE,Administration Info,,,
GENDER,Admittance Information,"Refers to the genders allowed in the residence (i.e. ""M/F"" indicates both males and females may use the facility)",,
HANDICAP_ACCESSIBLE,Accessibility,,,
HEALTH_AUTHORITY,Scoring & Evaluations,,,
HEALTH_INSPECTION_RATING,Scoring & Evaluations,,,
HEALTH_INSPECTION_RATING_FOOTNOTE,Scoring & Evaluations,,,
HEALTH_REGION,Administration Info,,,
HEALTH_SURVEY_DATE,Certification/Licensing Information,,,
HIGHRATE,Cost/Rent,"refers to the highest and lowest monthly rents for residence (ex. ""3000/1200"")",,
HOME_AND_COMMUNITY_BASED_SERVICES,Services,,,
HOSPITAL_AUTHORIZED_BED_CAPACITY,Capacity,,,
HOUSE,To Be Investigated,,,
HOUSING_TYPE,Administration Info,,,
INCLUDED_UTILITIES,Facilities,,,
INCONCLUSIVE_ALLEGATIONS,"Complaints, Deficiencies, and Fines",,,
INCORPPORATION,Administration Info,,,
INITIAL_LICENSE,Certification/Licensing Information,,,
INSPECT_TYPEA,Scoring & Evaluations,,,
INSPECT_TYPEB,Scoring & Evaluations,,,
INSPECTION_CYCLE,Scoring & Evaluations,,,
INSPECTION_VISIT_DATES,Scoring & Evaluations,,,
INSPECTION_VISITS,Scoring & Evaluations,,,
IRREVERSIBLE_DEMENTIA/ALZHEIMER'S,Specializations,,,
ISLAND,To Be Investigated,,,
LANGUAGE,Admittance Information,,,
LAST_VISIT_DATE,To Be Investigated,,,
LAST_VISIT_TYPE,To Be Investigated,,,
LATITUDE,Lat/Long,,,
LAUNDRY_TYPE,To Be Investigated,,,
LAW,Administration Info,,,
LEGAL_BUSINESS_NAME,Administration Info,,,
LEGAL_NAME,Administration Info,,,
LEGALNAME,Administration Info,,,
LIC_TYPE,Certification/Licensing Information,,,
LICENCE_#,Certification/Licensing Information,,,
LICENCE_EXPIRY_DATE,Certification/Licensing Information,,,
LICENCE_ISSUE_DATE,Certification/Licensing Information,,,
LICENCE_TYPE,Certification/Licensing Information,,,
LICENSE,Certification/Licensing Information,,,
LICENSE_#,Certification/Licensing Information,,,
LICENSE_EFFECTIVE,Certification/Licensing Information,,,
LICENSE_EFFECTIVE_DATE,Certification/Licensing Information,,,
LICENSE_EXP.,Certification/Licensing Information,,,
LICENSE_EXPIRATION,Certification/Licensing Information,,,
LICENSE_EXPIRATION_DATE,Certification/Licensing Information,,,
LICENSE_FIRST_DATE,Certification/Licensing Information,,,
LICENSE_LEVEL,Certification/Licensing Information,,,
LICENSE_NUM,Certification/Licensing Information,,,
LICENSE_NUMBER,Certification/Licensing Information,,,
LICENSE_RENEWAL_FEE_DUE,Certification/Licensing Information,,,
LICENSE_STATUS,Certification/Licensing Information,,,
LICENSE_TYPE,Certification/Licensing Information,,,
LICENSED_BEDS,Capacity,,,
LICENSED_FROM,Certification/Licensing Information,,,
LICENSED_TO,Certification/Licensing Information,,,
LICENSEE,Certification/Licensing Information,,,
LICENSEE_CITY,Certification/Licensing Information,,,
LICENSEE_CONTACT,Certification/Licensing Information,,,
LICENSEE_COUNTRY,Certification/Licensing Information,,,
LICENSEE_FIRST_NAME,Certification/Licensing Information,,,
LICENSEE_LAST_NAME,Certification/Licensing Information,,,
LICENSEE_NAME,Certification/Licensing Information,,,
LICENSEE_PHONE,Certification/Licensing Information,,,
LICENSEE_POSTAL_CODE,Certification/Licensing Information,,,
LICENSEE_PROVINCE,Certification/Licensing Information,,,
LICENSEE_STREET_ADDRESS,Certification/Licensing Information,,,
LICENSEEPHONE,Certification/Licensing Information,,,
LICENSING_SERVICES,Certification/Licensing Information,,,
LICENSURE,Certification/Licensing Information,,,
LICENSURE_EFFECTIVE,Certification/Licensing Information,,,
LICENSURE_EXPIRATION,Certification/Licensing Information,,,
LICENSURE_STATUS,Certification/Licensing Information,,,
LICISSUED,Certification/Licensing Information,,,
LICSENING_INFORMATION,Certification/Licensing Information,,,
LINK,Contact Information,,,
LINK_TO_DETAILS,To Be Investigated,,,
LINK_TO_INSPECTION_DETAILS,Scoring & Evaluations,,,
LOCAL_AUTHORITY,To Be Investigated,,,
LOCATION,To Be Investigated,,,
LONGITUDE,Lat/Long,,,
LOW_HIGH_RATE,Cost/Rent,,,
LOWRATE,Cost/Rent,,,
M_CITY,Address,,,
M_ZIP_CODE,Address,,,
MAIL_CO_CITY,Contact Information,"""MAIL_CO_*"" refers to facilities which have a mail c/o attached to the contact information of the residence. Check out http://blog.cardsdirect.com/greetingcards/how-to-use-c-o-in-an-address/",,
MAIL_CO_COMPANY,Contact Information,,,
MAIL_CO_PO_BOX,Contact Information,,,
MAIL_CO_POSTAL_CODE,Contact Information,,,
MAIL_CO_PROVINCE,Contact Information,,,
MAIL_CO_STREET_ADDRESS,Contact Information,,,
MAILING_ADDRESS,Contact Information,,,
MAILING_ADDRESS_LINE_2,Contact Information,,,
MAILING_ADDRESS1,Contact Information,,,
MAILING_ADDRESS2,Contact Information,,,
MAILING_CITY,Contact Information,,,
MAILING_CONTACT_FIRST_NAME,Contact Information,,,
MAILING_CONTACT_LAST_NAME,Contact Information,,,
MAILING_COUNTRY,Contact Information,,,
MAILING_COUNTY,Contact Information,,,
MAILING_NAME,Contact Information,,,
MAILING_PO_BOX,Contact Information,,,
MAILING_POSTAL_CODE,Contact Information,,,
MAILING_PROVINCE,Contact Information,,,
MAILING_STATE,Contact Information,,,
MAILING_STREET_ADDRESS,Contact Information,,,
MAILING_ZIP,Contact Information,,,
MAILINGCITY,Contact Information,,,
MAILINGSTATE,Contact Information,,,
MAILINGSTREET,Contact Information,,,
MAILINGZIP,Contact Information,,,
MAINE_CARE_AVAILABLE,Insurance/Welfare,Check out http://www.maine.gov/dhhs/mainecare.shtml,,
MANAGED_BY,Administration Info,,,
MANAGEMENT_COMPANY_NAME,Administration Info,,,
MANAGEMENT_COMPANY_PHONE,Administration Info,,,
MAP_INDICATOR,To Be Investigated,,,
MAXIMUM_RATE_$,Cost/Rent,,,
MCAID_CERT,Insurance/Welfare,,,
MCARE,Insurance/Welfare,,,
MEASURE_CODE,To Be Investigated,,,
MEASURE_DESCRIPTION,To Be Investigated,,,
MEASURE_FULL_NAME,To Be Investigated,,,
MEASURE_ID_NUMBER,To Be Investigated,,,
MEASURE_PERIOD,To Be Investigated,,,
MEASURE_SHORT_NAME,To Be Investigated,,,
MEASUREMENT_YEAR,To Be Investigated,,,
MEDICAID_#,Insurance/Welfare,,,
MEDICARE_#,Insurance/Welfare,,,
MEMBER_OF_AN_ASSOCIATION,To Be Investigated,,,
MINIMUM_RATE_$,Cost/Rent,,,
MINISTERIAL_DESIGNATION,To Be Investigated,,,
MISSION(S),To Be Investigated,,,
MOST_RECENT_HEALTH_INSPECTION_MORE_THAN_2_YEARS_AGO,Scoring & Evaluations,,,
MRC,To Be Investigated,,,
MULTILEVEL,To Be Investigated,,,
MUNICIPALITY,To Be Investigated,,,
N_BLOCK,To Be Investigated,,,
N_LAT,Lat/Long,,,
N_LCODE,To Be Investigated,,,
N_LON,Lat/Long,,,
N_MCODE,To Be Investigated,,,
NAME,Facility Name,,,
NAME_OF_HOME,Facility Name,,,
NUMBER_OF_BEDS,Capacity,,,
NUMBER_OF_CERTIFIED_BEDS,Capacity,,,
NUMBER_OF_FACILITY_REPORTED_INCIDENTS,"Complaints, Deficiencies, and Fines",,,
NUMBER_OF_FINES,"Complaints, Deficiencies, and Fines",,,
NUMBER_OF_FLOORS,Building Information,,,
NUMBER_OF_PAYMENT_DENIALS,Statistics,,,
NUMBER_OF_RENTAL_UNITS,Capacity,,,
NUMBER_OF_RENTAL_UNITS_IN_PRIVATE_RESIDENCE_FOR_SENIORS,Capacity,,,
NUMBER_OF_RESIDENTS_IN_CERTIFIED_BEDS,Statistics,,,
NUMBER_OF_SUBSTANTIATED_COMPLAINTS,"Complaints, Deficiencies, and Fines",,,
NUMBER_OF_SUITES,Capacity,,,
NUMBER_OF_SUITES_WITH_AUTOMATIC_SPRINKLERS,Statistics,,,
NUMBER_OF_UNITS,Capacity,,,
NUMERIC_VALUE,To Be Investigated,,,
OBSERVED_SCORE,Scoring & Evaluations,,,
OFFERED_SERVICES,Services,,,
OMBUDSMAN_PHONE,Contact Information,,,
OPERATOR,Administration Info,,,
ORIGINAL_ISSUE_DATE,Certification/Licensing Information,,,
OTHER,To Be Investigated,,,
OTHER_TYPEA,To Be Investigated,,,
OTHER_TYPEB,To Be Investigated,,,
OTHER_VISIT_DATES,To Be Investigated,,,
OTHER_VISITS,To Be Investigated,,,
OVERALL_RATING,Scoring & Evaluations,,,
OVERALL_RATING_FOOTNOTE,Scoring & Evaluations,,,
OWNCATDESC,To Be Investigated,,,
OWNCOMP,To Be Investigated,,,
OWNEDBY,Administration Info,,,
OWNEND,Administration Info,,,
OWNER,Administration Info,,,
OWNER/AGENCY,Administration Info,,,
OWNER_ADDRESS1,Administration Info,,,
OWNER_ADDRESS2,Administration Info,,,
OWNER_CITY,Administration Info,,,
OWNER_FAX,Administration Info,,,
OWNER_NAME,Administration Info,,,
OWNER_PHONE,Administration Info,,,
OWNER_SINCE,Administration Info,,,
OWNER_STATE,Administration Info,,,
OWNER_TYPE,Administration Info,,,
OWNER_ZIP,Administration Info,,,
OWNEROFDESC,Administration Info,,,
OWNERSHIP,Administration Info,,,
OWNERSHIP_PERCENTAGE,Administration Info,,,
OWNERSHIP_TYPE,Administration Info,,,
P_CITY,Address,,,
P_ZIP_CODE,Address,,,
PARKING_NOTES,Services,,,
PARTICIPATION,Insurance/Welfare,"In format of ""Medicare; Medicaid"", or ""Medicare""",,
PAYMENT_DENIAL_LENGTH_IN_DAYS,"Complaints, Deficiencies, and Fines",,,
PAYMENT_DENIAL_START_DATE,"Complaints, Deficiencies, and Fines",,,
PENALTY_DATE,"Complaints, Deficiencies, and Fines",,,
PENALTY_TYPE,"Complaints, Deficiencies, and Fines",,,
PERCENTAGE_OF_HIGH_RISK_LONG_STAY_RESIDENTS_WITH_PRESSURE_ULCERS,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_ASSESSED_AND_APPROPRIATELY_GIVEN_THE_PNEUMOCOCCAL_VACCINE,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_ASSESSED_AND_APPROPRIATELY_GIVEN_THE_SEASONAL_INFLUENZA_VACCINE,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_EXPERIENCING_ONE_OR_MORE_FALLS_WITH_MAJOR_INJURY,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHO_HAVE_DEPRESSIVE_SYMPTOMS,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHO_LOSE_TOO_MUCH_WEIGHT,Statistics,,,
PERCENTAGE_OF_LONG_STAY_RESIDENTS_WHO_RECEIVED_AN_ANTIANXIETY_OR_HYPNOTIC_MEDICATION,Statistics,,,
