row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Website,Health Authority,Publicly subsidized units,Private-pay units,Total Assisted Living units,country,type
Canada-BC-29-BC-AssistedLiving-output-22,Berwick Comox Valley,1700 Comox Avenue,Comox,V9M 4H4,BC,250-339-1690,250-339-1789,www.berwickrc.com,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-23,Bevan Village,33386 Bevan Avenue,Abbotsford,V2S 5G6,BC,604-850-5416,604-850-5418,www.bevanvillage.ca,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-24,Brookdale House,30961 Brookdale Crt,Abbotsford,V2T 5S3,BC,604-853-2035,604-853-0036,www.brookdale.house,,0,6,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-25,Hallmark on the Park,3055 Princess Street,Abbotsford,V2T 4A8,BC,604-859-0053,604-859-4678,www.hallmarkretirement.ca,Fraser Health Authority,22,47,69,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-26,Menno Assisted Living,2021 Primrose Street,Abbotsford,V2S 2Y9,BC,604-851-4004,604-851-4015,www.mennoplace.ca,Fraser Health Authority,41,54,95,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-27,Tabor Court,31954 Sunrise Crescent,Abbotsford,V2T 1N6,BC,604-859-8718,604-859-8713,www.taborhome.org,Fraser Health Authority,88,16,104,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-28,Birchwood Retirement Suites & Cottages,45650 Patten Avenue,Chilliwack,V2P 1S4,BC,604-792-8793,604-792-8164,www.chartwellreit.ca,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-29,Sto:lo Elders Lodge,7519 Topaz Drive,Chilliwack,V2R 0E8,BC,604-858-5591,604-858-5499,www.stolonation.bc.ca/services-and-programs/elders-lodge/elders-lodge.htm,Fraser Health Authority,15,0,15,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-30,Sunset Manor,8920-2 Broadway St,Chilliwack,V2P 5W1,BC,604 702-0457,604-7030433,www.sunsetmanor.ca,,0,15,15,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-31,The Cascades,45586 McIntosh Drive,Chilliwack,V2P 7W8,BC,604-795-7297,604-795-7291,www.balticproperties.ca,Fraser Health Authority,45,3,48,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-32,Waverly Seniors Village,8445 Young Road,Chilliwack,V2P 4P2,BC,604-792-6340,604-702-5611,n/a,Fraser Health Authority,40,10,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-33,Blue Heron Villa,9509 Main Street,Lake Country,V4V 2N3,BC,250-766-1660,250-766-1658,www.blueheronvilla.com,Interior Health Authority,25,0,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-34,Boundary Lodge Assisted Living,7130 9th Street,Grand Forks,V0H 1H4,BC,250-443-0006,250-443-0015,n/a,Interior Health Authority,17,1,18,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-35,Braehaven Assisted Living,137 Blain Road,Salt Spring Island,V8K 0A1,BC,250-537-5520,250-537-1124,www.greenwoodseldercare.com,Vancouver Island Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-36,A Better Place,9885/9887 138th St,Surrey,V3T5E3,BC,778-889-8555,n/a,www.abetterplacetransitionhousing.ca,,0,10,10,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-37,Amenida Seniors Community,13855 - 68th Avenue,Surrey,V3W 2G9,BC,604-597-9333,604-597-8032,www.homecareliving.ca,,0,20,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-38,Clover Heights Retirement Home,6209 - 184th Street,Surrey,V3S 8B1,BC,604-372-1131,604-372-3226,www.cloverheight.com,,0,11,11,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-39,Crescent Gardens,1222 King George Highway,Surrey,V4A 9W6,BC,604-541-8861,604-541-8871,www.chartwell.com,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-40,Elim Village - Emerald Building,9080 159th Street,Surrey,V4N 5T6,BC,604-584-7587,604-587-6465,www.elimvillage.com,Fraser Health Authority,53,56,109,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-41,Fleetwood Villa,16028  83rd Avenue,Surrey,V4N 0N2,BC,604-590-2889,604-590-2887,www.reveraliving.com/fleetwood,Fraser Health Authority,60,30,90,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-42,Freedom Place,10342  148th Street,Surrey,V3R 3X3,BC,604-634-3300,n/a,www.howesound.net,Fraser Health Authority,20,0,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-43,Imperial Place Retirement Residence,13853 102nd Ave,Surrey,V3T5P6,BC,604-581-1555,604-583-3243,www.chartwellreit.ca,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-44,Pacific Carlton,15366 17th Avenue,Surrey,V4A 1T9,BC,604-531-1160,604-542-8400,www.unicarehomes.com,,0,12,12,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-45,PICS Assisted Living,12075 - 75A Avenue,Surrey,V3W 1S8,BC,604-596-0052,604-596-7217,www.pics.bc.ca,Fraser Health Authority,49,0,49,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-46,Rosemary Heights Seniors Village,15240- 34th Ave,Surrey,V3S 2J9,BC,778-545-5000,778-545-5050,n/a,Fraser Health Authority,42,21,63,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-47,Sunnyside Manor,15340 17th Avenue,Surrey,V4A 1T9,BC,604-531-7470,604-542-8399,www.unicarehomes.com,,0,20,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-48,The English Manor,16963 22nd Avenue,Surrey,V3S 9Z3,BC,604-541-9697,n/a,www.assistedlivingwhiterockbc.com/,,0,6,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-49,The Gateway,13787 - 100 Avenue,Surrey,V3T 5X7,BC,604-585-2906,604-495-4560,www.gatewayassistedliving.ca,Fraser Health Authority,60,0,60,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-50,The Residence at Morgan Heights,15955 - 27th Avenue,Surrey,V3Z 3W3,BC,604-535-1118Ext 101,604-535-7718,www.morganheightscare.ca,Fraser Health Authority,36,4,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-51,The Royale Pacifica,2525 King George Blvd.,Surrey,V4P 0C8,BC,604-535-9194,604-535-1663,www.siennaliving.ca,,0,50,50,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-52,The Royale Peninsula Resort Retirement Living,2088 - 152 Street,Surrey,V4A 9Z4,BC,604-538-2033,604-538-2031,www.peninsulaliving.ca,,0,45,45,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-53,Whitecliff Retirement Residence,15501 - 16th Avenue,Surrey,V4A 9M5,BC,604-538-7227,604-538-4919,www.reveraliving.com/whitecliff,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-54,Carefree Manor,"812 Cariboo Trail, Box 217",100 Mile House,V0K 2E0,BC,250-395-4807,250-395-4847,www.carefreemanor.ca,Interior Health Authority,17,3,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-55,Carrington House,32679 6th Ave,Mission,V2V 1Y8,BC,604-826-4747,604-814-3016,www.chartwellreit.ca,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-56,The Cedars (Mission),7380 Hurd Street,Mission,V2V 3H5,BC,604-826-2194,604-826-2102,www.missionseniors.ca,Fraser Health Authority,40,18,58,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-57,Carrington Place,4651 - 4751 - 23rd Street,Vernon,V1T 4K7,BC,250-545-5704,250-545-5793,www.chartwell.com,,0,55,55,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-58,Creekside Landing,6190 Okanagan Landing Road,Vernon,V1H 1M3,BC,250-549-9550,250-549-9334,www.kaigo.ca,Interior Health Authority,24,14,38,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-59,Heritage Square,3904-27th Street,Vernon,V1T 4X7,BC,250-545-2060,250-545-4060,www.kaigo.ca/our-communities/heritage-square/,Interior Health Authority,23,2,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-60,Heron Grove,4900 - 20th Street,Vernon,V1T 9W3,BC,250-542-6101,250-542-6227,www.gss.org,Interior Health Authority,38,2,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-61,Casa Loma Seniors Village,4646 Headquarter Road,Courtenay,V9N 7J3,BC,250-897-1033,250-897-1038,n/a,Vancouver Island Health Authority,26,40,66,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-62,Comox Valley Seniors Village,4640 Headquarters Road,Courtenay,V9N 7J3,BC,250-331-1183,250-331-4100,n/a,Vancouver Island Health Authority,58,25,83,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-63,Castle Wood Village,525 Columbia Street,Castlegar,V1N 1G7,BC,250-365-6686,250-365-6647,www.goldenlifemanagement.ca/index.php/villages/castlewood-village/overview,Interior Health Authority,15,28,43,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-64,Cedar Garden Assisted Living,1250 Cedar Village Close,North Vancouver,V7J 3P3,BC,604-904-6409,604-904-6411,www.vch.ca/EN/find_services/find_services/?&program_id=10569,Vancouver Coastal Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-65,Churchill House,150 West 29th Street,North Vancouver,V7N 2J8,BC,604-904-1199,604-904-1191,www.chartwell.com/locations/churchill-house-retirement-community/index.php,Vancouver Coastal Health Authority,37,22,59,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-66,Lynn Valley House,1070 Lynn Valley Road,North Vancouver,V7J 1Z8,BC,604-982-3725,604-988-0814,www.vch.ca/assisted/ns/lynn.htm,,0,15,15,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-67,Chestnut Place,453 Winnipeg Street,Penticton,V2A 5M7,BC,250-490-0200,250-493-4636,www.pdscl.org,Interior Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-68,Pentoka Companion Care,168 Kirkpatrick Avenue,Penticton,V2A 3P5,BC,250-492-2616,250-492-2680,n/a,,0,7,7,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-69,The Concorde Assisted Living Residence,3235 Skaha Lake Road,Penticton,V2A 6G5,BC,250-490-8800,250-490-8810,www.verveseniorliving.com,Interior Health Authority,23,19,42,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-70,The Hamlets at Penticton,103 Duncan Avenue West,Penticton,V2A 2Y3,BC,250-490-8503,250-490-8523,www.thehamletsatpenticton.com/index.html,,0,53,53,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-71,Village By the Station,270 Hastings Avenue,Penticton,V2A 2V6,BC,250-490-4949,250-490-9733,www.gss.org,Interior Health Authority,35,0,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-72,Christenson Village,585 Shaw Road,Gibsons,V0N 1V8,BC,604-886-8747Ext 3,604-886-8790,www.vch.ca/EN/find_services/find_services/?&program_id=10567,Vancouver Coastal Health Authority,60,0,60,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-73,Cokely Manor,266A Moilliet Street,Parksville,V9P 1M9,BC,250-947-9777,250-248-4813,www.arrowsmithlodge.ca,Vancouver Island Health Authority,30,0,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-74,Stanford Seniors Village,250 Craig Street,Parksville,V9P 0A7,BC,250-951-0811,250-951-0812,n/a,Vancouver Island Health Authority,30,22,52,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-75,Coldstream Meadows Retirement Community,9104 Mackie Drive,Coldstream,V1B 1G9,BC,250-542-5661,250-542-5675,www.coldstreammeadows.com,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-76,Amica at Arbutus Manor,2125 Eddington Drive,Vancouver,V6L 3A9,BC,604-736-8936,604-731-8933,www.amica.ca,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-77,Chalmers Lodge,1450 West 12th Avenue,Vancouver,V6H 1M9,BC,604-731-3178,604-731-3140,www.chalmerslodge.ca,,0,115,115,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-78,Clarendon Court,6404 Clarendon Street,Vancouver,V5S 4X9,BC,604-3254-6230,604-324-6224,www.baptisthousing.org/communities/clarendon-court,Vancouver Coastal Health Authority,56,3,59,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-79,Cooper Place,306 East Cordova Street,Vancouver,V6A 1L5,BC,604-684-2545,604-684-2575,www.cccares.org,Vancouver Coastal Health Authority,69,0,69,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-80,Crofton Manor,2803 West 41st Avenue,Vancouver,V6N 4B4,BC,604-263-0921,604-263-7719,www.reveraliving.com,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-81,Granville Gardens Retirement,"Suite 100, 1550 W 49 Ave",Vancouver,V6M 2R6,BC,604-563-3540,n/a,www.granvillegardens.net,,0,30,30,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-82,Harmony House - Vancouver,580 Shanghai Alley,Vancouver,V6B 1N8,BC,604-648-0012,604-648-0056,www.vch.ca/EN/find_services/find_services/?&program_id=10574,Vancouver Coastal Health Authority,33,0,33,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-83,Haro Park,1233 Haro Street,Vancouver,V6E 3Y5,BC,604-687-5584,604-687-0645,www.haropark.org/,Vancouver Coastal Health Authority,28,0,28,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-84,Honoria Conway at St. Vincent's Heather,4875 Heather Street,Vancouver,V5Z 0A7,BC,604-876-7191,604-876-7196,www.providencehealthcare.org/hospitals-residences/st-vincents-honoria-conway-heather,Vancouver Coastal Health Authority,60,0,60,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-85,Icelandic Harbour,2020 Harrison Drive,Vancouver,V5P 2P6,BC,604-321-3812,604-321-3863,www.vch.ca/EN/find_services/find_services/?&program_id=10563,Vancouver Coastal Health Authority,67,0,67,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-86,Legacy Senior Living - The Leo Wertman Residence,611 West 41 Ave,Vancouver,V5Z 0C7,BC,604-240-8550,604-683-0355,www.legacyseniorliving.com,,0,20,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-87,Millennium Tower,1175 Broughton Street,Vancouver,V6G 3K9,BC,604-408-9897,604-408-9868,www.vch.ca/EN/find_services/find_services/?&program_id=10558,Vancouver Coastal Health Authority,40,0,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-88,Southview Heights,7252 Kerr Street,Vancouver,V5S 3V2,BC,604-438-3367,604-438-0262,www.salvationarmy.ca/britishcolumbia/southviewterraceandheights/,Vancouver Coastal Health Authority,53,0,53,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-89,Tapestry at Arbutus Walk,2799 Yew Street,Vancouver,V6K4W2,BC,604-736-1640,604-736-1679,www.discovertapestry.com,,0,45,45,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-90,Tapestry at Wesbrook Village,338 Wesbrook Mall,Vancouver,V6S 0A6,BC,604-225-5000,604-225-5002,n/a,,0,35,35,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-91,Terraces on 7th,1570 West 7th Avenue,Vancouver,V6J 5M1,BC,604-738-8380,604-738-8386,www.retirementconcepts.com/homes/terraces/,Vancouver Coastal Health Authority,20,21,41,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-92,The Cedars at Beulah Gardens,3355 East 5th Avenue,Vancouver,V5M 0A1,BC,604-251-4114,604-251-4116,www.vch.ca/EN/find_services/find_services/?&program_id=10559,,0,0,0,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-93,The Harry and Jeanette Weinberg (of Baltimore) Residence,5650 Osler Street,Vancouver,V6M 2W9,BC,604-261-9622,604-261-9644,www.weinbergresidence.com/assisted.html,Vancouver Coastal Health Authority,12,28,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-94,Columbia Garden Village,"800-10th Avenue, PO Box 578",Invermere,V0A 1K0,BC,250-341-3350,250-341-3340,www.goldenlifemanagement.ca/index.php/villages/columbia-garden-village/overview-2,Interior Health Authority,8,32,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-95,Cottonwood Manor,2261 Copeland Avenue,Houston,V0J 1Z0,BC,250-845-3770,250-845-3775,n/a,Northern Health Authority,6,0,6,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-96,Courtyard Terrace,3730 Burke Street,Burnaby,V5H 1A3,BC,604-437-6262,604-430-5131,www.parkplaceseniorsliving.com,Fraser Health Authority,40,7,47,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-97,Dania Manor,4155 Norland Avenue,Burnaby,V5G 3Z6,BC,604-299-1379,604-299-0179,www.dania.bc.ca,Fraser Health Authority,40,0,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-98,Liberty Place,7899 17th Avenue,Burnaby,V3N 1M1,BC,604-526-9933,604-526-2207,www.howesound.net,Fraser Health Authority,20,0,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-99,Nikkei Home,6680 Southoaks Crescent,Burnaby,V5E 4N3,BC,604-777-5000,604-777-5050,www.nikkeiplace.org,Fraser Health Authority,59,0,59,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-100,Rideau Retirement Residence,1850 Rosser Avenue,Burnaby,V5C 5E1,BC,604-291-1792,604-291-2151,n/a,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-101,Seton Villa,3755 McGill Street,Burnaby,V5C 1M2,BC,604-291-0607,604-291-1871,www.setonvilla.com,Fraser Health Authority,28,50,78,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-102,Swedish Assisted Living Residence,7230 Halifax Street,Burnaby,V5A 0B2,BC,604-420-3222,604-420-3234,n/a,Fraser Health Authority,46,10,56,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-103,Crest View Village,"800 Cavell St, RR4",Creston,V0B 1G4,BC,250-428-9986,250-428-9968,www.goldenlifemanagement.ca/index.php/villages/crest-view-village/overview-3,Interior Health Authority,23,9,32,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-104,Dale Manor,5402/5404 Dale Ave,Powell River,V8A 3W3,BC,604-414-9460,604-414-0636,n/a,,0,8,8,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-105,Kiwanis Garden Manor,4923 Kiwanis Avenue,Powell River,V8A 5H5,BC,604-485-5210,604-485-5250,www.kiwanishousing.com,Vancouver Coastal Health Authority,40,0,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-106,Delta King Place,701 Mountainview Square,Kitimat,V8C 2N1,BC,250-632-6535,250-632-6705,www.deltakingplace.ca/,Fraser Health Authority,15,0,15,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-107,Dovehill House,3326 Creegan Drive,Chemainus,V0R 1K2,BC,250-416-0332,250-416-0494,www.dovehillhouse.com/,,0,10,10,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-108,The Steeples,9910 Esplanade Street,Chemainus,V0R 1K1,BC,250-246-1805,250-246-1826,www.viha.ca/hcc/assisted/locations/the_steeples.htm,Vancouver Island Health Authority,16,0,16,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-109,Eagle Valley Manor,319 Gordon Mackie Lane,Sicamous,V0E 2V1,BC,250-836-2314,250-836-2382,www.sicamousseniorshousing.com,Interior Health Authority,12,0,12,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-110,Esquimalt Lions Grafton Lodge,506 Grafton Street,Esquimalt,V9A 7P8,BC,250-384-3500,n/a,www.greatervichousing.org,Vancouver Island Health Authority,12,0,12,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-111,Evergreen Heights,1501 Everall Street,White Rock,V4B 0A1,BC,604-541-3817,604-541-3810,www.evergreen-home.com,Fraser Health Authority,84,1,85,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-112,Amica at Beechwood Village,2315 Mills Road,Sidney,V8L 5W6,BC,250-655-0849,250-655-4076,www.amica.ca,,0,20,20,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-113,Shoal Centre Assisted Living,"Suite 330, 10030 Resthaven Drive",Sidney,V8L 3G4,BC,250-656-5537Ext 111,250-656-9974,www.beaconcs.ca/pages/shoal.html,Vancouver Island Health Authority,25,0,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-114,The Peninsula,2290 Henry Ave,Sidney,V8L 2B2,BC,250-656-8827,250-656-8810,www.peninsulaatnorgarden.com,,0,25,25,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-115,Evergreen Timbers,5464 - 203rd Street,Langley,V3A 0A4,BC,604-530-7171,604-530-7104,www.llschs.com,Fraser Health Authority,58,0,58,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-116,Harrison Landing,20899 Douglas Cresent,Langley,V3A 9L3,BC,604-530-7075,604-533-7059,www.harrisonlanding.com,,0,36,36,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-117,Harrison Pointe,21616  52nd Avenue,Langley,V2Y 1L7,BC,604-530-1101,604-530-1105,www.harrisonpointe.ca,,0,40,40,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-118,Langley Gardens Retirement Community,8888 - 202 Street,Langley,V1M 4A7,BC,604-888-0228,604-881-8179,www.chartwell.com,,0,85,85,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-119,Langley Seniors Village,20363-65th Ave,Langley,V2Y 3E3,BC,604-539-9934,604-539-3300,n/a,Fraser Health Authority,64,26,90,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-120,Forest Glen,"Box 833, 1783 St. Jacques Blvd.",Ucluelet,V0R 3A0,BC,250-726-2789,250-726-2780,www.viha.ca/hcc/assisted/locations/forest_glen.htm,Vancouver Island Health Authority,3,0,3,Canada,Assisted Living
Canada-BC-29-BC-AssistedLiving-output-121,Garden View Village,280 4th Avenue,Kimberley,V1A 2R6,BC,250-427-4014,250-427-4013,www.goldenlifemanagement.ca/index.php/villages/garden-view-village/overview-4,Interior Health Authority,13,27,40,Canada,Assisted Living
