row_id,Facility Name,Region,Address1,Address2,City,Province,Postal Code,Contact,Phone,Language,Space,Country,facility_type
Canada-NB-9-SpecialCareHomes-output-27,RESIDENCE MCGRAW LTEE,CHALEUR,60  RIVERSIDE DRIVE,,BATHURST,NB,E2A 2M6,NATHALIE BLANCHARD,(506) 546-2483,BILINGUAL,44,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-28,RESIDENCE ROSS,CHALEUR,50 RUE JEAN-LOUIS ,,TREMBLAY,NB,E8J 3B7,SONIA ANNE ROSS,(506) 783-8847,BILINGUAL,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-29,RESIDENCE ROSS-BATHURST,CHALEUR,250  OCEAN RIDGE STREET,,BATHURST,NB,E2A 4R7,SONIA ANNE ROSS,(506) 350-1772,BILINGUAL,24,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-30,RESIDENCE STEVER,CHALEUR,143  ALCIDA ROAD,,ALCIDA,NB,E8J 2C2,CLAUDIA STEVER,(506) 430-0515,BILINGUAL,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-31,RESIDENCE VERO,CHALEUR,224 ROAD ALCIDA ,,ALCIDA,NB,E8J 2B4,SUSIE PITRE,(506) 783-9115,FRENCH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-32,RESIDENCE VIENNEAU INC.,CHALEUR,00 RUE CHALEUR ,,BATHURST,NB,E2A 3J2,KEVIN VIENNEAU,(506) 544-5185,BILINGUAL,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-33,SOUTHERN COMFORT VILLA,CHALEUR,394  KING AVENUE,,BATHURST,NB,E2A 1S8,LILLIAN DRAPEAU,(506) 350-9000,BILINGUAL,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-34,ANNE DIONNE,EDMUNDSTON, RUE ST JOSEPH ,,ST-ANNE -DE MADAWASKA,NB,E7E1L1,ANNE DIONNE,(506) 445-2755,FRENCH,17,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-35,AUBERGE DES GOUVERNEURS,EDMUNDSTON,3 RUE DES GOUVERNEURS ,,EDMUNDSTON,NB,E3V 4E8,MICHAEL KIRBY,(506) 735-5727,FRENCH,74,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-36,AUBERGE LE MONTAGNARD,EDMUNDSTON,5 RUE LE MONTAGNARD ,,EDMUNDSTON,NB,E3V 0B2,MICHAEL KIRBY,(506) 737-4120,FRENCH,60,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-37,BARD SOLANGE,EDMUNDSTON, RUE DES ORMES ,,BAKER BROOK,NB,E7A 1T4,SOLANGE BARD,(506) 258-1994,FRENCH,1,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-38,BERUBE DANNY ET SYLVIE,EDMUNDSTON,355 ROUTE 205 ,,CLAIR,NB,E7A 1Y1,SYLVIE BERUBE,(506) 992-2646,FRENCH,24,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-39,BLAQUIERE PARISE,EDMUNDSTON,4 RUE PRINCIPALE ,,SAINT-JACQUES,NB,E7B 1V7,PARISE BLAQUIERE,(506) 735-7715,FRENCH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-40,BOUCHARD DIANE,EDMUNDSTON,9 CHEMIN LEVASSEUR ,,CLAIR,NB,E7A 1Y9,DIANE BOUCHARD,(506) 992-2566,FRENCH,7,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-41,CARON YVON,EDMUNDSTON,01 AVENUE 2E ,,GRAND-SAULT,NB,E3Z 1A2,HUGUETTE CARON,(506) 473-5235,FRENCH,5,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-42,CHEZ SOI,EDMUNDSTON,61 RUE PRINCIPALE ,,SAINT-BASILE,NB,E7C 1K9,ALLEN BOUCHARD,(506) 263-5542,FRENCH,12,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-43,CORMIER THERESE,EDMUNDSTON,35 CHEMIN PRICE ,,DRUMMOND,NB,E3Y 2A7,THERESE CORMIER,(506) 473-4434,FRENCH,5,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-44,COUTURIER DORIANNE,EDMUNDSTON,68 RUE RINGUETTE ,,SAINT-BASILE,NB,E7C 2G6,DORIANNE COUTURIER,(506) 263-8713,FRENCH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-45,CYR KARINE,EDMUNDSTON,308 ROUTE 17 ,,SAINT-LEONARD PARENT,NB,E7E 2N8,KARINE CYR,(506) 423-6910,FRENCH,16,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-46,DENISE LEVESQUE,EDMUNDSTON,10 RUE LEVESQUE ,,SAINT-ANDRE,NB,E3Y 3C7,DENISE LEVESQUE,(506) 473-5756,FRENCH,2,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-47,FOYER A. RINGUETTE INC.,EDMUNDSTON,73 RUE PRINCIPALE ,,SAINTE-ANNE-DE-MADAWASKA,NB,E7E 1B1,LISE CYR ET LINDA RINGUETTE,(506) 445-2168,FRENCH,31,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-48,FOYER BERTIN BOSSE,EDMUNDSTON,30 RUE PRINCIPAL ,,ST-JACQUES,NB,E7B1V9,BERTIN BOSSE,(506) 739-8202,FRENCH,15,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-49,FOYER BRENDA PELLETIER,EDMUNDSTON,9 CHEMIN DESPRES ,,SAINT-ANDRE,NB,E3Y 2Y8,BRENDA PELLETIER,(506) 473-2143,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-50,FOYER CHEZ MÉLANIE,EDMUNDSTON,1 RUE DU PARC ,,SAINT-BASILE,NB,E7C 1R9,MELANIE MICHAUD,(506) 735-4418,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-51,FOYER CINDY ROY,EDMUNDSTON,94 CHEMIN TOBIQUE ,,GRAND-SAULT,NB,E3Y 1E9,CINDY ROY,(506) 473-2337,FRENCH,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-52,FOYER DENISE PAGE,EDMUNDSTON,07 RUE STEPHEN ,,GRAND-SAULT,NB,E3Z 3B2,DENISE PAGE,(506) 473-2735,FRENCH,5,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-53,FOYER JACINTHE LECLERC,EDMUNDSTON,13 RUE VICTORIA ,,GRAND-SAULT,NB,E3Z 3C3,JACINTHE LECLERC,(506) 473-5194,BILINGUAL,11,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-54,FOYER L & L LAFORGE NO 2,EDMUNDSTON,78 AVENUE 3E ,,GRAND-SAULT,NB,E3Z 1A4,LISA ET LUC LAFORGE,(506) 475-8846,FRENCH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-55,FOYER L'OASIS DE PAIX,EDMUNDSTON, RUE MONTREUIL ,,RIVIERE-VERTE,NB,E7C2S6,JANIE BOSSÉ-MORIN,(506) 263-8511,FRENCH,15,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-56,FOYER MARC MICHAUD,EDMUNDSTON,5 RUE BELAIR ,,GRAND-SAULT,NB,E3Z 3E9,MARC MICHAUD,(506) 473-5457,FRENCH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-57,FOYER MARIETTE LADOUCEUR,EDMUNDSTON,6 CHEMIN DESJARDINS ,,SAINT-ANDRE,NB,E3Y 3A2,MARIETTE LADOUCEUR,(506) 473-5763,FRENCH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-58,FOYER SONIA LISA INC,EDMUNDSTON,741 RUE PRINCIPALE ,,BAKER BROOK,NB,E7A 2A5,SONIA THIBODEAU,(506) 258-3322,BILINGUAL,19,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-59,FOYER ST JACQUES,EDMUNDSTON, RUE DEMERS ,,ST JACQUES,NB,E7B 1E8,LINE LEMIEUX SIROIS,(506) 735-5765,FRENCH,21,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-60,FOYER SYLVIE AUBUT,EDMUNDSTON,5830  ROUTE 105 ,,DSL DE DRUMMOND,NB,E3Y 2H6,,(506) 473-8101,FRENCH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-61,GRONDIN RAYMONDE,EDMUNDSTON,6 CHEMIN RIVIERE-A-LA-TRUITE ,,SAINT-JACQUES,NB,E7B 1Y5,RAYMONDE GRONDIN,(506) 735-4970,FRENCH,6,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-62,LE PAVILLON LE ROYER,EDMUNDSTON,29 RUE PRINCIPALE ,,ST BASILE,NB,E7C1J2,MME MANON SOUCY,(506) 263-9023,FRENCH,27,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-63,LECLERC PAGE GINETTE A,EDMUNDSTON,351 CHEMIN TOBIQUE ,,DRUMMOND,NB,E3Y 2P4,GINETTE A PAGE LECLERC,(506) 473-3305,FRENCH,5,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-64,MAISON BELLE VUE,EDMUNDSTON,  AVENUE BATEMAN AVENUE,,EDMUNDSTON,NB,E3V4A9,GUY LONG,(506) 739-3663,BILINGUAL,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-65,MAISON LEMIEUX,EDMUNDSTON,5 RUE DES GOUVERNEURS ,,EDMUNDSTON,NB,E3V 4E8,MICHAEL KIRBY,(506) 735-8098,FRENCH,48,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-66,MANOIR ANNE LEMIEUX,EDMUNDSTON,5 RUE DES GOUVERNEURS ,,EDMUNDSTON,NB,E3V 4E8,MICHAEL KIRBY,(506) 739-0103,FRENCH,36,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-67,MANOIR BELLE VUE INC,EDMUNDSTON,  AVENUE BATEMAN AVENUE,,EDMUNDSTON,NB,E3V4A9,GUY LONG,(506) 739-3663,BILINGUAL,61,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-68,MICHAUD LYNN,EDMUNDSTON,98 AVENUE 2E ,,GRAND-SAULT,NB,E3Z 1A4,LYNN MICHAUD,(506) 473-6041,FRENCH,4,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-69,OUELLETTE MONIQUE,EDMUNDSTON,56 RUE ANDRE SUD ,,SAINT-ANDRE,NB,E3Y 2V9,MONIQUE OUELLETTE,(506) 473-5307,FRENCH,1,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-70,PAULETTE ALBERT,EDMUNDSTON,85 CHEMIN CHEMIN DE L'ÉGLISE ,,LAC BAKER,NB,E7A 1L1,PAULETTE ALBERT,(506) 992-2330,FRENCH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-71,PAVILLON BELLE VUE,EDMUNDSTON, AVENUE AVENUE BATEMAN ,,EDMUNDSTON,NB,E3V4A9,GUY LONG,(506) 739-3663,BILINGUAL,30,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-72,RÉSIDENCE DU BONHEUR,EDMUNDSTON,89 CHEMIN OLD ROUTE 2 ,,DSL DE SAINT-ANDRE,NB,E3Y 3S5,APRIL ROUSSIE,(506) 473-7272,BILINGUAL,60,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-73,RESIDENCE ROLANDE LONG,EDMUNDSTON,20 CHEMIN CANADA ,,EDMUNDSTON,NB,E3V 1W4,ROLANDE LONG,(506) 735-4276,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-74,RESIDENCES ISABELLE,EDMUNDSTON,17 AVENUE 39E ,,EDMUNDSTON,NB,E3V 2X4,ISABELLE OUELLET,(506) 736-0891,FRENCH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-75,THERIAULT DENISE,EDMUNDSTON,15 RUE LAFRANCE ,,GRAND SAULT,NB,E3Z 1B1,DENISE THERIAULT,(506) 473-5772,FRENCH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-76,ALL NEEDS SPECIAL CARE HOME,FREDERICTON,52  DOUGLAS AVENUE,,FREDERICTON,NB,E3A 2N9,,(506) 459-2186,ENGLISH,7,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-77,ALLEIRA FREDERICTON,FREDERICTON,1  HAROLD DOHERTY COURT ,,FREDERICTON,NB,E3A 5P2,KATHY ARSENEAU,(506) 459-2273,ENGLISH,54,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-78,B&T COUNTRY HAVEN INC,FREDERICTON,816 ROUTE RTE 105 ,,MILL COVE,NB,E4C 3A6,TARA BEALE,(506) 488-2017,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-79,BARRIE'S SPECIAL CARE HOME LTD,FREDERICTON,459 ROUTE 101 ,,NASONWORTH,NB,E3C 2C8,RENEE BOWERING,(506) 454-8177,ENGLISH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-80,BARTLETT GARDENS CARE HOME,FREDERICTON,4  CRAIG STREET ,,RICHIBUCTO ROAD,NB,E3A6S9,WENDY SYMONDS,(506) 206-1111,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-81,BIRCH HAVEN SPECIAL CARE HOME,FREDERICTON,263 ROUTE 560 ,,LAKEVILLE,NB,E7K 1T5,DARLENE OR BRIAN MURRAY,(506) 392-1801,ENGLISH,9,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-82,BOONE HOME,FREDERICTON,  MCGANN ROAD,,LIMESTONE,NB,E7N 2S9,LORRAINE BOONE,(506) 277-6328,ENGLISH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-83,BRUNSWICK HALL,FREDERICTON,5  PATIENCE LANE,,FREDERICTON,NB,E3B 0K4,BOWEN PAMELA,(506) 460-8803,ENGLISH,60,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-84,BURPEE RESIDENTIAL CENTER,FREDERICTON,45 ROUTE 560 ,,JACKSONVILLE,NB,E7M 3H4,LELAH BURPEE,(506) 328-6827,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-85,COLFORDS SENIOR CARE,FREDERICTON,126 ROUTE ROUTE 148 ,,NASHWAAK VILLAGE,NB,E6C 1L2,WILLIAMS ELISHA,(506) 459-7494,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-86,COZY INN SPECIAL CARE HOME,FREDERICTON,200  CENTRAL HAINESVILLE ROAD ROAD,,UPPER HAINESVILLE,NB,E6E 1K1,COLLEEN BROSNAN,(506) 463-6244,ENGLISH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-87,CRESCENT GARDEN GUEST HOME,FREDERICTON,1  CRESCENT GARDEN ,,HARTLAND,NB,E7P 1L9,DALE SHAW,(506) 375-9113,ENGLISH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-88,CURTIS SPECIAL CARE HOME,FREDERICTON,73  CARLISLE ROAD,,DOUGLAS,NB,E3G 7M7,MICHELLE CURTIS,(506) 450-3957,ENGLISH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-89,DIANE'S VILLA SPECIAL CARE HOME LTD.,FREDERICTON,587 ROUTE 109 ,,THREE BROOKS,NB,E7G 2W6,DIANE MURPHY,(506) 356-8327,ENGLISH,19,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-90,DICKINSON RESIDENCE,FREDERICTON,1  CLIFFORD STREET,,MCADAM,NB,E6J 1J7,HAROLD DICKINSON,(506) 784-2630,ENGLISH,2,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-91,DONNELLY HOME,FREDERICTON,9  JAFFREY STREET,,FREDERICTON,NB,E3A 2R2,TANYA DONNELLY,(506) 472-1504,ENGLISH,6,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-92,DOWNING PLACE,FREDERICTON,1  DOWNING STREET ,,FREDERICTON,NB,E3A4M8,SAMANTHA DAVENPORT,(506) 452-1996,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-93,DOW'S SPECIAL CARE HOME,FREDERICTON,09  SCOTT SIDING ROAD ROAD,,SCOTT SIDING,NB,E6H 1W3,CARA ENGLISH,(506) 279-2963,ENGLISH,5,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-94,EDEN'S GARDEN SPECIAL CARE HOME LTD,FREDERICTON,001  ROUTE 620 ,,TAY CREEK,NB,E6B 1J7,RENEE BOWERING,(506) 367-3342,ENGLISH,12,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-95,EMILY'S SPECIAL CARE HOME,FREDERICTON,4  TITUS DRIVE,,PERTH-ANDOVER,NB,E7H 5B1,EMILY PELKEY,(506) 273-2190,ENGLISH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-96,GAGETOWN SPECIAL CARE HOME (2007) LTD,FREDERICTON,42  TILLEY ROAD ,,GAGETOWN,NB,E5M 1H6,MARTY HOOD,(506) 488-2620,ENGLISH,5,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-97,HANWELL SPECIAL CARE & SENIORS HOME,FREDERICTON,434  HIGHWAY 640 HIGHWAY,,HANWELL,NB,E3E 2C7,KARLA ROBERTS,(506) 451-9814,ENGLISH,20,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-98,HEARNE STREET RESIDENCE,FREDERICTON,10  HEARNE STREET,,FREDERICTON,NB,E3B 6M3,SMITH MELINDA,(506) 450-0909,ENGLISH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-99,HILLSIDE LODGE,FREDERICTON,55  TILLEY DRIVE DRIVE,,FREDERICTON,NB,E3B 5L2,SARAH JENKINS,(506) 450-7600,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-100,HILLSLEY CARE HOME,FREDERICTON,34  DOBIE STREET ,,FREDERICTON,NB,E3A 2Z4,GILLIES  GLENNA,(506) 457-1953,ENGLISH,7,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-101,KEETCH'S SPECIAL CARE HOME,FREDERICTON,4  LOCKWOOD ROAD,,MILL COVE,NB,E4C 3E2,SHERRY KEETCH,(506) 488-3319,ENGLISH,14,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-102,KOZE CORNER SPECIAL CARE HOME,FREDERICTON,92 ROUTE 605 ,,TEMPERANCE VALE,NB,E6G 2C4,ADA SHARPE,(506) 575-2902,ENGLISH,8,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-103,LANG LODGE GRAFTON,FREDERICTON,495 ROUTE 585 ,,GRAFTON,NB,E7N 1H7,LYDIA LANG,(506) 328-4699,ENGLISH,10,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-104,LANSDOWNE SPECIAL CARE HOME,FREDERICTON,56  MELVILLE ROAD,,LANSDOWNE,NB,E7L 3W5,LORRAINE THOMAS,(506) 375-4229,ENGLISH,9,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-105,LASKEY HOME,FREDERICTON,95  HOULTON ROAD,,WOODSTOCK,NB,E7M 6B7,CATHY LASKEY,(506) 328-3422,ENGLISH,3,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-106,LOHNES SPECIAL CARE HOME,FREDERICTON,34  SMYTHE STREET,,FREDERICTON,NB,E3B 3C8,FRANCES LOHNES,(506) 455-4744,ENGLISH,7,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-107,LOIS'S SPECIAL CARE,FREDERICTON,4  EATON COURT,,HANWELL,NB,E3C 1M7,LOIS PELKEY,(506) 458-5718,ENGLISH,6,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-108,MAPLE VILLA SPECIAL CARE HOME,FREDERICTON,88 ROUTE 605 ,,TEMPERANCE VALE,NB,E6G 2C8,CINDY BOONE,(506) 575-8260,ENGLISH,6,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-109,MCKAY RESIDENCE,FREDERICTON,19  CANADA STREET,,FREDERICTON,NB,E3A 4A3,GLADYS MCKAY,(506) 472-8499,ENGLISH,4,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-110,MERCY'S RESIDENCE,FREDERICTON,4  KING STREET ,,MINTO,NB,E4B 3N5,,(506) 327-3394,ENGLISH,6,Canada,Special Care Home
Canada-NB-9-SpecialCareHomes-output-111,MOSS RESIDENCE,FREDERICTON,0  LOCKWOOD ROAD,,MILLCOVE,NB,E4C 3E2,JEAN MOSS,(506) 488-3132,ENGLISH,9,Canada,Special Care Home
