row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,street_address,po_box,city,province,postal_code,country
Canada-MB-20-LongTermCare-20-LongTermCare-17,VIP Home Care Inc.,,,,,,,,,,www.viphomecare.ca,,Cori WestraClient Care Manager,(204) 504-4077,,(204)954-9598,cwestra@viphomecare.ca,144-99 Scurfield Blvd,,Winnipeg,MB,R3Y 1M6,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-18,Reliable Home Care Agency Inc.,,,,,,,,,,www.reliablehomecare.ca,,,(204) 415-3471(204) 415-3472,,(204) 415-3576,info@reliablehomecare.ca,1320 Portage Avenue,,Winnipeg,MB,R3G 0V2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-19,"McCare Global Healthcare Services, Inc.",,,,,,,,,,www.mccareglobal.com,,,(204) 480-4086,,(204)691-2557,contact@mccareglobal.com,1380 Notre Dame Ave,,Winnipeg,MB,R3E 0P7,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-20,LifeTime Home Care,,,,,,,,,,www.lifetimehomecare.ca,,,(204) 615-0300,,,info@lifetimecare.ca,300-330 St Mary Ave,,Winnipeg,MB,R3C 3Z5,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-21,Golden Healthcare Resources,,,,,,,,,,www.goldenhr.ca,,Eamon O'BrienMarketing Coordinator,(204)772-4499,,(204)772-4583,,,,,MB,,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-22,Thorvaldson Care Centre,,,,,,,,,,www.thorcare.ca.,,,(204) 452-4044,,(204) 452-4054,thorcare@shaw.ca,495 Stradbrook Avenue,,Winnipeg,MB,R3L 0K2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-23,Jocelyn House,,,,,,,,,,www.jocelynhouse.ca,,Jackie StephenExecutive DirectorJocelyn House HospiceJocelyn Hutton Foundation,(204) 253-5898,(204) 781-2828,,,177 Egerton Road,,Winnipeg,MB,R2M 2W7,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-24,Brummitt-Feasby ALS House,,,,,,,,,,www.alsmb.ca/als-manitoba/services,,,(204) 888-7319,,,,,,,MB,,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-25,Vista Park Lodge,,,,,,,,,,www.extendicarevistaparklodge.com,,,(204) 257-6688,,(204) 257-0446,HNgawaDjomo@extendicare.com,144 Novavista Drive,,Winnipeg,MB,R2N 1P8,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-26,Valleyview Care Centre,,,,,,,,,,www.reveraliving.com,,,(204) 728-2030,,(204) 578-3423,valleyview@reveraliving.com,3015 Victoria Avenue,,Brandon,MB,R7B 2K2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-27,Tuxedo Villa,,,,,,,,,,www.extendicaretuxedovilla.com,,,(204) 889-2650,,(204) 896-0258,CNH_Tuxedovilla@extendicare.com,2060 Corydon Ave,,Winnipeg,MB,R3P 0N3,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-28,Tudor House,,,,,,,,,,www.geriatricare.ca,,,(204) 482-6601,,(204) 482-4369,jamartyniw@geriatricare.ca,800 Manitoba Avenue,,Selkirk,MB,R1A 2C9,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-29,River East Personal Care Home,,,,,,,,,,www.rivereast.ca;Email,,,(204) 668-7460,,(204) 668-7456,krohm@extendicare.com,1375 Molson Street,,Winnipeg,MB,R2K 4K8,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-30,Red River Place,,,,,,,,,,www.extendicareredriverplace.com,,,(204) 482-3036,,(204) 482-9499,lpalmer@extendicare.com,133 Manchester Avenue,,Selkirk,MB,R1A 0B5,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-31,Poseidon Care Centre,,,,,,,,,,www.reveraliving.com/long-term-care/locations/poseidon,,,(204) 452-6204,,(204) 474-2173,poseidon@reveraliving.com,,,,MB,,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-32,St. Norbert Personal Care Home,,,,,,,,,,www.wrha.mb.ca/st-norbert,,,(204) 269-4538,,(204) 269-6374,snpch@mts.net,50 St Pierre Street,,Winnipeg,MB,R3V 1J6,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-33,Nisichawayasihk (Nelson House) Personal Care Home,,,,,,,,,,http://nisichawayasihkpersonalcarehome.org/,,,(204) 484-2350,,(204) 484-2011,nhpchome@mts.net,,Box 460,Nelson House,MB,R0B 1A0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-34,Parkview Place Care Centre,,,,,,,,,,personalcarehome.org,,,(204) 942-5291,,(204) 947-1969,parkviewplace@reveraliving.com,440 Edmonton Street,,Winnipeg,MB,R3B 2M4,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-35,Ochekwi Sipi Cree Nation Personal Care Home,,,,,,,,,,,,Gloria Cook,(204) 645-2811,,,direcpch@mymts.net,,P.O. Box 366,Koostatak,MB,R0C 1S0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-36,Oakview Place,,,,,,,,,,www.extendicareoakviewplace.com,,,(204) 888-3005,,(204) 831-8101,,2395 Ness Avenue,,Winnipeg,MB,R3J 1A5,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-37,Hillcrest Place,,,,,,,,,,www.extendicare.com,,,(204) 728-6690,,(204) 726-0089,rbooth-navid@extendicare.com,930 26th Street,,Brandon,MB,R7B 2B8,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-38,Heritage Lodge,,,,,,,,,,www.reveraliving.com/long-term-care/locations/heritage-lodge,,,(204) 888-7940,,(204) 832-6544,heritagelodge@reveraliving.com,3555 Portage Ave,,Winnipeg,MB,R3K 0X2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-39,Heritage Life Personal Care Home,,,,,,,,,,www.heritagecentre.ca/pch,,,(204) 388  5000,,(204) 388  7316,reception@hlpch.ca,100A Herit,,age Trail Niverville,MB,R0A-0A1,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-40,Golden Door Geriatric Centre,,,,,,,,,,www.goldendoor.ca,,,(204) 269-6308,,(204) 269-5626,info@goldendoor.ca,1679 Pembina Highway,,Winnipeg,MB,R3T 2G6,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-41,Maples Personal Care Home,,,,,,,,,,www.reveraliving.com/long-term-care/locations/maples,,,(204) 632-8570,,(204) 697-0249,maples@reveraliving.com,500 Mandalay Drive,,Winnipeg,MB,R2P 1V4,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-42,George Colon Memorial Home,,,,,,,,,,,,Margaret Colin,204-538-2560,,,mcgcmh@mymts.net,,PO Box 261,Oxford House,MB,R0B 1C0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-43,Dinsdale Personal Care Home,,,,,,,,,,www.dinsdalepch.ca,,,(204) 727-3636,,(204) 727-2103,stodd@dinsdalepch.ca,510-6th Street,,Brandon,MB,R7A 3N9,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-44,Kildonan Personal Care Centre,,,,,,,,,,www.reveraliving.com/long-term-care/locations/kildonan,,,(204) 334-4633,,(204) 334-4632,kildonan@reveraliving.com,1970 Henderson Highway,,Winnipeg,MB,R2G 1P4,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-45,Charleswood Care Centre,,,,,,,,,,www.reveraliving.com/long-term-care/locations/charleswood-care-centre,,,(204) 888-3363,,(204) 896-4763,charleswood@reveraliving.com,5501 Roblin Boulevard,,Winnipeg,MB,R3R 0G8,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-46,Betel Home - Selkirk,,,,,,,,,,www.betelhome; foundation.ca/selkirk.html,,Angela Eyjolfson,(204) 482-5469,,(204)-642-7243,aeyjolfson@ierha.ca,212 Manchester Ave,,Selkirk,MB,R1A 0B6,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-47,Betel Home - Gimli,,,,,,,,,,www.betelhomefoundation.ca,,,(204) 642-5556,,(204 642-7243,aeyjolfson@ierha.ca,Angela Eyjolfson CEO,Box 10,Gimli,MB,R0C 1B0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-48,Lions Supportive Housing,,,,,,,,,,www.lhc.ca,,,(204) 784-2730,,(204) 784-1241,mcoquete@lhc.ca,320 Sherbrook Street,,Winnipeg,MB,R3B 2W6,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-49,Irene Baron Eden Centre,,,,,,,,,,www.ib-ec.ca,,,(204) 667-7747,,(204) 667-9424,dlemieux@extendicare.com,1385 Molson Street,,Winnipeg,MB,R2K 4K8,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-50,Harmony Court at Riverwood Square,,,,,,,,,,www.riverwoodsquare.com,,,(204) 275-7632,,(204) 261-3484,lsherrin@riverwoodsquare.com,1778 Pembina Highway,,Winnipeg,MB,R3T 1R2,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-51,Greendale Estate,,,,,,,,,,www.greendaleestate.ca,,,(204) 434-6928,,(204) 434-9217,Dave Claringbouldalshous@mymts.net,231 Park Street,,Grunthal,MB,R0A 0R0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-52,The Gardens on Tenth Inc.,,,,,,,,,,www.gardensontenth.ca,,"Laurie Schellenberg, Managing Director",(204) 324-8945,,,laurie@gardensontenth.ca,140 10th Ave,Box 900,NE Altona,MB,R0G 0B0,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-53,Fred Douglas Heritage House,,,,,,,,,,www.freddouglassociety.com/supportive-housing/,,,(204) 949-9027,,(204) 947-2687,admin@fdl.mb.ca,100 the Promenade,,,MB,R3B 2H9,Canada
Canada-MB-20-LongTermCare-20-LongTermCare-54,Chez Nous,,,,,,,,,,www.actionmarguerite.ca,,,(204) 233-3692Ext. 554,,(204) 233-6803,tparisien@actionmarguerite.ca,187 avenue de la Cathedrale,,Winnipeg,MB,R2H 3C6,Canada
