row_id,Facility Name,Address,City,Postal Code,Province,Country,Accommodation Type,Number of Units,Funding Source,Operator,Contact Phone,Fax,Last Visit Date,Last Visit Type,Original Issue Date,Licence Issue Date,Licence Expiry Date,Licence Type,ASL Facility ID
Canada-AB-27-AB-SupportiveLiving-output-14,EMMANUEL HOME,13425 57 Street,EDMONTON,T5A 2G1,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,146,Unique Homes,CHRISTIAN SENIOR CITIZENS HOMES SOCIETY OF NORTHERN ALBERTA,(780) 478-2051,(780) 473-0970,24-Oct-16,Inspection Visit,12-May-08,1-Nov-16,31-Oct-18,2 Year - Full,70039736
Canada-AB-27-AB-SupportiveLiving-output-15,WATERFORD OF SUMMERLEA (THE),9395 172 Street,EDMONTON,T5T 5S6,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,142,Health,CHANTELLE MANAGEMENT LTD.,(780) 444-4545,(780) 487-8443,17-Nov-16,Mini Inspection Visit,1-Jun-08,1-Dec-14,30-Nov-17,3 Year - Full,70039765
Canada-AB-27-AB-SupportiveLiving-output-16,PROVIDENCE PLACE,6120 51 Avenue,DAYSLAND,T0B 1A0,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,16,Health,DAYSLAND & DISTRICT AGING IN PLACE FOUNDATION,(780) 374-2527,(780) 374-2529,22-Feb-17,Inspection Visit,18-Mar-08,20-Mar-17,28-Feb-18,Full,70039778
Canada-AB-27-AB-SupportiveLiving-output-17,VILLA MARGUERITE SENIORS COMMUNITY PARTNERSHIP,9810 165 Street,EDMONTON,T5P 3S7,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,239,Health,VILLA MARGUERITE SENIORS COMMUNITY PARTNERSHIP,(780) 983-2010,(780) 431-3699,6-Jun-17,Inspection Visit,23-Apr-08,1-Jul-17,30-Jun-19,2 Year - Full,70039781
Canada-AB-27-AB-SupportiveLiving-output-18,SUMMERLEA INTERNATIONAL CARE HOME INC.,8727 207 Street,EDMONTON,T5T 6Y1,AB,Canada,Supportive Living Accommodation - Group Home,6,Health,SUMMERLEA INTERNATIONAL CARE HOME INC.,(780) 974-0678,N/A,7-Jun-17,Inspection Visit,7-Feb-08,1-Jul-17,30-Jun-20,3 Year - Full,70039841
Canada-AB-27-AB-SupportiveLiving-output-19,MARTHA'S HOUSE,950 14 Street South,LETHBRIDGE,T1J 2Y8,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,118,,COVENANT LIVING,(403) 327-2090,N/A,6-Sep-17,Inspection Visit,2-Sep-10,1-Oct-14,30-Sep-17,3 Year - Full,70039854
Canada-AB-27-AB-SupportiveLiving-output-20,WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,1110 1 Avenue,WAINWRIGHT,T9W 1S5,AB,Canada,Supportive Living Accommodation - Group Home,4,Persons with Developmental Disabilities (PDD),WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,(780) 842-6863,N/A,11-Apr-17,Mini Inspection Visit,15-Feb-08,1-May-16,30-Apr-19,3 Year - Full,70039870
Canada-AB-27-AB-SupportiveLiving-output-21,WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,1112 1 Avenue,WAINWRIGHT,T9W 1S5,AB,Canada,Supportive Living Accommodation - Group Home,4,Persons with Developmental Disabilities (PDD),WAINWRIGHT ASSOCIATION FOR COMMUNITY LIVING,(780) 842-3798,N/A,11-Apr-17,Mini Inspection Visit,15-Feb-08,1-May-16,30-Apr-18,2 Year - Full,70039883
Canada-AB-27-AB-SupportiveLiving-output-22,GARNEAU HALL,10923 82 Avenue,EDMONTON,T6G 2N9,AB,Canada,Supportive Living Accommodation - Assisted Living Accommodation,97,,UNICARE HOMES INC.,(780) 989-7900,N/A,20-Apr-17,Inspection Visit,1-May-08,1-May-17,30-Apr-18,Full,70039896
Canada-AB-27-AB-SupportiveLiving-output-23,RGC HEALTH CARE 2,26 Sherwood Gardens NW,CALGARY,T3R 1M9,AB,Canada,Supportive Living Accommodation - Group Home,4,Health,RGC HEALTH CARE INC.,(403) 202-3992,N/A,16-Dec-16,Mini Inspection Visit,20-Jun-08,1-Dec-14,30-Nov-17,3 Year - Full,70040113
Canada-AB-27-AB-SupportiveLiving-output-24,CATHOLIC SOCIAL SERVICES,8815 99 Street,EDMONTON,T6E 3V3,AB,Canada,Supportive Living Accommodation - Group Home,4,Persons with Developmental Disabilities (PDD),CATHOLIC SOCIAL SERVICES,(780) 842-9129,N/A,8-May-17,Mini Inspection Visit,17-Apr-08,1-Jun-16,31-May-18,2 Year - Full,70040139
Canada-AB-27-AB-SupportiveLiving-output-25,MAYFAIR CARE CENTRE,8240 Collicut Street SW,CALGARY,T2V 2X1,AB,Canada,Long Term Care Accommodation,142,Health,TRAVOIS HOLDINGS LTD.,(403) 252-4445,N/A,15-Jun-17,Inspection Visit,11-Jun-09,10-Aug-17,30-Jun-18,Full,70035030
Canada-AB-27-AB-SupportiveLiving-output-26,BRENTWOOD CARE CENTRE,2727 16 Avenue NW,CALGARY,T2N 3Y6,AB,Canada,Long Term Care Accommodation,226,Health,INTERCARE CORPORATE GROUP INC.,(403) 289-2576,(403) 282-7027,6-Mar-17,Mini Inspection Visit,9-Jun-09,1-Apr-16,31-Mar-19,3 Year - Full,70035174
Canada-AB-27-AB-SupportiveLiving-output-27,GOOD SAMARITAN SOCIETY SOUTH RIDGE VILLAGE (THE),550 Spruce Way SE,MEDICINE HAT,T1B 4P1,AB,Canada,Long Term Care Accommodation,80,Health,THE GOOD SAMARITAN SOCIETY (A LUTHERAN SOCIAL SERVICE ORGANIZATION),(403) 528-5050,(403) 504-2520,10-Aug-17,Inspection Visit,1-Mar-10,1-Sep-17,31-Oct-17,Conditional,70022602
Canada-AB-27-AB-SupportiveLiving-output-28,COALDALE HEALTH CENTRE,2100 11 Street,COALDALE,T1M 1L2,AB,Canada,Long Term Care Accommodation,40,Health,ALBERTA HEALTH SERVICES,(403) 345-3075,N/A,15-Aug-17,Inspection Visit,22-Mar-10,1-Sep-17,31-Oct-17,Conditional,70036957
Canada-AB-27-AB-SupportiveLiving-output-29,TABER HEALTH CENTRE,4326 50 Avenue,TABER,T1G 1N9,AB,Canada,Long Term Care Accommodation,10,Health,ALBERTA HEALTH SERVICES,(403) 223-7211,(403) 223-1703,5-May-17,Inspection Visit,22-Mar-10,1-Sep-17,30-Sep-17,Conditional,70036973
Canada-AB-27-AB-SupportiveLiving-output-30,RAYMOND HEALTH CENTRE,150 N 4 Street East,RAYMOND,T0K 2S0,AB,Canada,Long Term Care Accommodation,5,Health,ALBERTA HEALTH SERVICES,(403) 752-5406,(403) 752-3554,16-Mar-17,Inspection Visit,22-Jul-09,1-Apr-17,31-Mar-18,Full,70036986
Canada-AB-27-AB-SupportiveLiving-output-31,CARDSTON HEALTH CENTRE,144 2 Street West,CARDSTON,T0K 0K0,AB,Canada,Long Term Care Accommodation,12,Health,ALBERTA HEALTH SERVICES,(403) 653-5254,(403) 308-6720,1-Aug-17,Mini Inspection Visit,1-Mar-10,1-Sep-16,31-Aug-19,3 Year - Full,70037007
Canada-AB-27-AB-SupportiveLiving-output-32,MILK RIVER HEALTH CENTRE,517 Centre Avenue East,MILK RIVER,T0K 1M0,AB,Canada,Long Term Care Accommodation,22,Health,ALBERTA HEALTH SERVICES,(403) 647-5506,(403) 647-2337,14-Feb-17,Mini Inspection Visit,1-Dec-09,1-Mar-15,28-Feb-18,3 Year - Full,70037023
Canada-AB-27-AB-SupportiveLiving-output-33,CROWSNEST PASS HEALTH CENTRE,2001 107 Street,BLAIRMORE,T0K 0E0,AB,Canada,Long Term Care Accommodation,53,Health,ALBERTA HEALTH SERVICES,(403) 562-5016,N/A,15-Jun-17,Inspection Visit,22-Mar-10,1-Jul-17,30-Jun-18,Full,70037036
Canada-AB-27-AB-SupportiveLiving-output-34,ST. MICHAEL'S HEALTH CENTRE (COVENANT HEALTH),1400 9 Avenue South,LETHBRIDGE,T1J 4V5,AB,Canada,Long Term Care Accommodation,60,Health,COVENANT HEALTH,(403) 382-6464,N/A,14-Aug-17,Follow-Up Visit,16-Mar-10,14-Aug-17,30-Sep-17,Conditional,70037049
Canada-AB-27-AB-SupportiveLiving-output-35,EXTENDICARE FORT MACLEOD,654 29 Street,FORT MACLEOD,T0L 0Z0,AB,Canada,Long Term Care Accommodation,49,Health,EXTENDICARE (CANADA) INC.,(403) 553-3955,N/A,23-Aug-17,Inspection Visit,1-Jul-09,1-Sep-17,31-Oct-17,Conditional,70037081
Canada-AB-27-AB-SupportiveLiving-output-36,EDITH CAVELL CARE CENTRE,1255 5 Avenue South,LETHBRIDGE,T1J 0V6,AB,Canada,Long Term Care Accommodation,120,Health,CHANTELLE MANAGEMENT LTD.,(403) 328-6631,N/A,1-Aug-17,Complaint Investigation,1-Jan-10,1-Mar-17,28-Feb-18,Full,70037094
Canada-AB-27-AB-SupportiveLiving-output-37,ATHABASCA HEALTHCARE CENTRE,3100 48 Avenue,ATHABASCA,T9S 1M9,AB,Canada,Long Term Care Accommodation,23,Health,ALBERTA HEALTH SERVICES,(780) 675-6032,N/A,23-May-17,Follow-Up Visit,9-Jun-09,1-Sep-17,30-Sep-17,Conditional,70037109
Canada-AB-27-AB-SupportiveLiving-output-38,EXTENDICARE ATHABASCA,4517 53 Street,ATHABASCA,T9S 1K4,AB,Canada,Long Term Care Accommodation,50,Health,EXTENDICARE (CANADA) INC.,(780) 675-2291,(780) 675-3833,17-Jan-17,Inspection Visit,1-Oct-09,1-Feb-17,31-Jan-20,3 Year - Full,70037112
Canada-AB-27-AB-SupportiveLiving-output-39,DR. W. R. KEIR - BARRHEAD CONTINUING CARE CENTRE,5336 59 Avenue,BARRHEAD,T7N 1L2,AB,Canada,Long Term Care Accommodation,99,Health,ALBERTA HEALTH SERVICES,(780) 674-4506,N/A,14-Mar-17,Inspection Visit,6-Jul-09,3-May-17,31-Mar-18,Full,70037125
Canada-AB-27-AB-SupportiveLiving-output-40,BONNYVILLE HEALTHCARE CENTRE,5001 Lakeshore Drive,BONNYVILLE,T9N 2J7,AB,Canada,Long Term Care Accommodation,30,Health,COVENANT HEALTH,(780) 826-3311,(780) 826-6526,7-Dec-16,Mini Inspection Visit,9-Jun-09,1-Jan-16,31-Dec-18,3 Year - Full,70037138
Canada-AB-27-AB-SupportiveLiving-output-41,EXTENDICARE BONNYVILLE,4602 47 Avenue,BONNYVILLE,T9N 2E8,AB,Canada,Long Term Care Accommodation,50,Health,EXTENDICARE (CANADA) INC.,(780) 826-3341,(780) 826-4890,8-Dec-16,Inspection Visit,8-Jan-10,1-Jan-17,31-Dec-18,2 Year - Full,70037141
Canada-AB-27-AB-SupportiveLiving-output-42,COLD LAKE HEALTHCARE CENTRE,314 25 Street,COLD LAKE,T9M 1G6,AB,Canada,Long Term Care Accommodation,30,Health,ALBERTA HEALTH SERVICES,(780) 639-6552,N/A,6-Dec-16,Inspection Visit,20-Jul-09,1-Sep-17,31-Oct-17,Conditional,70037154
Canada-AB-27-AB-SupportiveLiving-output-43,ELK POINT HEALTHCARE CENTRE,5221 - 52 Avenue,ELK POINT,T0A 1A0,AB,Canada,Long Term Care Accommodation,30,Health,ALBERTA HEALTH SERVICES,(780) 724-6334,(780) 624-3085,8-Feb-17,Mini Inspection Visit,1-Feb-10,1-Mar-16,28-Feb-19,3 Year - Full,70037170
Canada-AB-27-AB-SupportiveLiving-output-44,WILLIAM J. CADZOW - LAC LA BICHE HEALTHCARE CENTRE,9110 93 Street,LAC LA BICHE,T0A 2C0,AB,Canada,Long Term Care Accommodation,39,Health,ALBERTA HEALTH SERVICES,(780) 623-6229,N/A,12-Jul-17,Follow-Up Visit,31-Mar-10,1-Sep-17,30-Sep-17,Conditional,70037196
Canada-AB-27-AB-SupportiveLiving-output-45,EXTENDICARE MAYERTHORPE,4706 54 Street,MAYERTHORPE,T0E 1N0,AB,Canada,Long Term Care Accommodation,50,Health,EXTENDICARE (CANADA) INC.,(780) 786-2211,(780) 786-4710,10-Aug-17,Inspection Visit,22-Jan-10,1-Sep-17,31-Aug-18,Full,70037214
Canada-AB-27-AB-SupportiveLiving-output-46,MAYERTHORPE HEALTHCARE CENTRE,4417 45 Street,MAYERTHORPE,T0E 1N0,AB,Canada,Long Term Care Accommodation,30,Health,ALBERTA HEALTH SERVICES,(780) 786-2245,N/A,11-Jul-17,Inspection Visit,8-Oct-09,1-Aug-17,30-Sep-17,Conditional,70037227
Canada-AB-27-AB-SupportiveLiving-output-47,RADWAY CONTINUING CARE CENTRE,"Hwy 28, Range Road 205",RADWAY,T0A 2V0,AB,Canada,Long Term Care Accommodation,28,Health,ALBERTA HEALTH SERVICES,(780) 736-3740,(780) 736-2353,2-Feb-17,Mini Inspection Visit,9-Jun-09,1-Mar-16,28-Feb-18,2 Year - Full,70037230
Canada-AB-27-AB-SupportiveLiving-output-48,SLAVE LAKE HEALTHCARE CENTRE,309 6 Street NE,SLAVE LAKE,T0G 2A2,AB,Canada,Long Term Care Accommodation,19,Health,ALBERTA HEALTH SERVICES,(780) 805-3542,N/A,22-Sep-16,Inspection Visit,9-Jun-09,21-Nov-16,30-Sep-17,Full,70037243
Canada-AB-27-AB-SupportiveLiving-output-49,GEORGE MCDOUGALL - SMOKY LAKE HEALTHCARE CENTRE,4212 55 Avenue,SMOKY LAKE,T0A 3C0,AB,Canada,Long Term Care Accommodation,23,Health,ALBERTA HEALTH SERVICES,(780) 645-3396,N/A,24-Aug-17,Inspection Visit,9-Jun-09,1-Sep-17,30-Sep-17,Conditional,70037256
Canada-AB-27-AB-SupportiveLiving-output-50,SMOKY LAKE CONTINUING CARE CENTRE,4607 52 Avenue,SMOKY LAKE,T0A 3C0,AB,Canada,Long Term Care Accommodation,27,Health,ALBERTA HEALTH SERVICES,(780) 623-6229,N/A,2-Aug-17,Inspection Visit,9-Jun-09,1-Sep-17,30-Sep-17,Conditional,70037269
Canada-AB-27-AB-SupportiveLiving-output-51,EXTENDICARE ST. PAUL,4614 47 Avenue,ST. PAUL,T0A 3A3,AB,Canada,Long Term Care Accommodation,76,Health,EXTENDICARE (CANADA) INC.,(780) 645-3375,(780) 645-4290,22-Mar-17,Inspection Visit,25-Jun-09,1-Apr-17,31-Mar-19,2 Year - Full,70037272
Canada-AB-27-AB-SupportiveLiving-output-52,ST. THERESE - ST. PAUL HEALTHCARE CENTRE,4713 48 Avenue,ST. PAUL,T0A 3A3,AB,Canada,Long Term Care Accommodation,29,Health,ALBERTA HEALTH SERVICES,(780) 645-3331,N/A,23-Mar-17,Mini Inspection Visit,9-Jun-09,1-Apr-16,31-Mar-18,2 Year - Full,70037285
Canada-AB-27-AB-SupportiveLiving-output-53,WESTLOCK CONTINUING CARE CENTRE,10203 96 Street,WESTLOCK,T7P 2R2,AB,Canada,Long Term Care Accommodation,112,Health,ALBERTA HEALTH SERVICES,(780) 349-3306,(780) 349-5647,23-Jun-17,Follow-Up Visit,1-Oct-09,1-Nov-16,31-Oct-18,2 Year - Full,70037298
Canada-AB-27-AB-SupportiveLiving-output-54,NORTHERN LIGHTS REGIONAL HEALTH CENTRE,7 Hospital Street,FORT MCMURRAY,T9H 1P2,AB,Canada,Long Term Care Accommodation,30,Health,NORTHERN LIGHTS REGIONAL HEALTH CENTRE,(780) 791-6251,N/A,11-Jul-17,Inspection Visit,9-Jun-09,30-Aug-17,31-Jul-18,Full,70037316
Canada-AB-27-AB-SupportiveLiving-output-55,ST. THERESA GENERAL HOSPITAL,4506 46 Avenue,FORT VERMILION,T0H 1N0,AB,Canada,Long Term Care Accommodation,8,Health,ALBERTA HEALTH SERVICES,(780) 927-6423,N/A,9-Mar-17,Inspection Visit,9-Jun-09,13-Jul-17,31-Mar-18,Full,70037329
Canada-AB-27-AB-SupportiveLiving-output-56,NORTHWEST HEALTH CENTRE,11202 100 Avenue,HIGH LEVEL,T0H 1Z0,AB,Canada,Long Term Care Accommodation,10,Health,ALBERTA HEALTH SERVICES,(780) 841-3269,(780) 926-7379,8-Mar-17,Inspection Visit,9-Jun-09,21-Aug-17,31-Mar-18,Full,70037332
Canada-AB-27-AB-SupportiveLiving-output-57,LA CRETE CONTINUING CARE CENTRE,10603 100 Avenue,LA CRETE,T0H 2H0,AB,Canada,Long Term Care Accommodation,21,Health,ALBERTA HEALTH SERVICES,(780) 928-6811,N/A,10-Mar-17,Inspection Visit,9-Jun-09,1-Apr-17,31-Mar-18,Full,70037345
Canada-AB-27-AB-SupportiveLiving-output-58,BASSANO HEALTH CENTRE,608 5 Avenue,BASSANO,T0J 0B0,AB,Canada,Long Term Care Accommodation,8,Health,ALBERTA HEALTH SERVICES,(403) 793-6660,(403) 501-3362,28-Sep-16,Mini Inspection Visit,13-Jul-09,1-Nov-15,31-Oct-17,2 Year - Full,70037421
Canada-AB-27-AB-SupportiveLiving-output-59,BOW ISLAND HEALTH CENTRE,"938 Centre Street, PO Bag 3990",BOW ISLAND,T0K 0G0,AB,Canada,Long Term Care Accommodation,20,Health,ALBERTA HEALTH SERVICES,(403) 545-3208,(403) 545-3214,20-Jun-17,Inspection Visit,1-Jul-09,1-Jul-17,30-Sep-17,Conditional,70037434
Canada-AB-27-AB-SupportiveLiving-output-60,BROOKS HEALTH CENTRE,440 Third Street East,BROOKS,T1R 0X8,AB,Canada,Long Term Care Accommodation,15,Health,ALBERTA HEALTH SERVICES,(403) 793-6660,(403) 501-3362,27-Sep-16,Inspection Visit,10-Mar-10,1-Nov-16,31-Oct-17,Full,70037447
Canada-AB-27-AB-SupportiveLiving-output-61,BIG COUNTRY HOSPITAL,312 3 Avenue East,OYEN,T0J 2J0,AB,Canada,Long Term Care Accommodation,30,Health,ALBERTA HEALTH SERVICES,(403) 664-4309,N/A,5-Oct-16,Inspection Visit,9-Jun-09,18-Nov-16,31-Oct-17,Full,70037463
Canada-AB-27-AB-SupportiveLiving-output-62,RIVERVIEW CARE CENTRE/CENTRAL PARK LODGE,603 Prospect Drive SW,MEDICINE HAT,T1A 4C2,AB,Canada,Long Term Care Accommodation,118,Health,REVERA LONG TERM CARE INC.,(403) 527-5531,(403) 504-8759,20-Sep-16,Inspection Visit,3-Mar-10,24-Nov-16,31-Oct-17,Full,70037492
Canada-AB-27-AB-SupportiveLiving-output-63,SUNNYSIDE CARE CENTRE (SOUTH COUNTRY VILLAGE),1720 Bell Street SW,MEDICINE HAT,T1A 5G1,AB,Canada,Long Term Care Accommodation,100,Health,SUNNYSIDE NURSING HOME SOCIETY,(403) 527-3838,(403) 529-9309,12-Jul-17,Inspection Visit,1-Mar-10,1-Aug-17,30-Sep-17,Conditional,70037536
Canada-AB-27-AB-SupportiveLiving-output-64,THE VALLEYVIEW SUPPORTIVE LIVING,65 Valleyview Drive SW,MEDICINE HAT,T1A 7K5,AB,Canada,Long Term Care Accommodation,30,Health,AGE CARE INVESTMENTS LTD.,(403) 526-7000,N/A,9-Feb-17,Mini Inspection Visit,10-Sep-09,1-Mar-16,28-Feb-19,3 Year - Full,70022995
Canada-AB-27-AB-SupportiveLiving-output-65,BETHANY CARE CENTRE AIRDRIE,1736 1 Avenue NW,AIRDRIE,T4B 2C4,AB,Canada,Long Term Care Accommodation,74,Health,BETHANY CARE SOCIETY,(403) 948-8426,(403) 671-8420,7-Sep-16,Mini Inspection Visit,1-Oct-09,1-Oct-15,30-Sep-17,2 Year - Full,50013629
Canada-AB-27-AB-SupportiveLiving-output-66,BETHANY CALGARY,916 18A Street NW,CALGARY,T2N 1C6,AB,Canada,Long Term Care Accommodation,445,Health,BETHANY CARE SOCIETY,(403) 210-4603,N/A,9-Sep-16,Inspection Visit,1-Oct-09,1-Oct-16,30-Sep-17,Full,50005898
Canada-AB-27-AB-SupportiveLiving-output-67,BETHANY CARE CENTRE COCHRANE,1000-32 Quigley Drive,COCHRANE,T4C 1X9,AB,Canada,Long Term Care Accommodation,78,Health,BETHANY CARE SOCIETY,(403) 932-8425,N/A,30-Aug-17,Inspection Visit,1-Oct-09,1-Oct-14,30-Sep-17,3 Year - Full,50013645
Canada-AB-27-AB-SupportiveLiving-output-68,BETHANY CARE CENTRE - HARVEST HILLS,19 Harvest Gold Manor NE,CALGARY,T3K 4Y1,AB,Canada,Long Term Care Accommodation,60,Health,BETHANY CARE SOCIETY,(403) 226-8202,N/A,29-Aug-17,Inspection Visit,1-Oct-09,1-Oct-15,30-Sep-17,2 Year - Full,70037612
Canada-AB-27-AB-SupportiveLiving-output-69,BEVERLY CENTRE GLENMORE,1729 90 Avenue SW,CALGARY,T2V 4S1,AB,Canada,Long Term Care Accommodation,214,Health,AGE CARE INVESTMENTS LTD.,(403) 640-8745,N/A,22-Jun-17,Inspection Visit,1-Jul-09,1-Jul-17,30-Jun-18,Full,70037625
Canada-AB-27-AB-SupportiveLiving-output-70,BEVERLY CENTRE LAKE MIDNAPORE/BEVERLY ESTATE,500 Midpark Way SE,CALGARY,T2X 3S3,AB,Canada,Long Term Care Accommodation,270,Health,AGE CARE INVESTMENTS LTD.,(403) 873-2603,N/A,7-Feb-17,Inspection Visit,9-Jun-09,1-Mar-17,28-Feb-19,2 Year - Full,70037641
Canada-AB-27-AB-SupportiveLiving-output-71,CAREWEST COLONEL BELCHER,1939 Veterans Way NW,CALGARY,T3B 5Y8,AB,Canada,Long Term Care Accommodation,174,Health,CAREWEST,(403) 944-0118,N/A,17-Nov-16,Inspection Visit,1-Oct-09,1-Dec-16,30-Nov-17,Full,70037772
Canada-AB-27-AB-SupportiveLiving-output-72,HARDISTY HEALTH CENTRE,4531 47 Avenue,HARDISTY,T0B 1V0,AB,Canada,Long Term Care Accommodation,14,Health,ALBERTA HEALTH SERVICES,(780) 888-8302,N/A,5-Jul-17,Inspection Visit,9-Jul-09,24-Aug-17,30-Sep-17,Conditional,70037845
Canada-AB-27-AB-SupportiveLiving-output-73,PROVOST HEALTH CENTRE,5002 54 Avenue,PROVOST,T0B 3S0,AB,Canada,Long Term Care Accommodation,46,Health,ALBERTA HEALTH SERVICES,(780) 753-2291,(780) 753-2293,8-Mar-17,Mini Inspection Visit,9-Jun-09,1-Apr-16,31-Mar-19,3 Year - Full,70037858
Canada-AB-27-AB-SupportiveLiving-output-74,TWO HILLS HEALTH CENTRE,4401 53 Avenue,TWO HILLS,T0B 4K0,AB,Canada,Long Term Care Accommodation,56,Health,ALBERTA HEALTH SERVICES,(780) 657-3053,(780) 657-2508,21-Jun-17,Inspection Visit,1-Jul-09,1-Jul-17,30-Jun-18,Full,70037861
