row_id,license_num,initial_license,Expires,name,street_address,city,postal_code,county,#AZ,#Reg,#FL ,Total,adult_day_care_facility,alzheimer_facility,,facility_type
USA-IL-64-AssistedLiving-64-AssistedLiving-11,5105181,2016-12-28T00:00:00,2017-12-28T00:00:00,Anchor of River to River Comm of Marion,1501 Sandbar Drive,Marion,62959,Williamson,39,,,39,No,Yes,6189641205,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-12,5200453,2017-02-16T00:00:00,2018-02-16T00:00:00,"Angel Acres, Inc.",8380 Worleys Mill Rd,Marion,62959,Williamson,,14,,14,No,No,6189988570,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-13,5104499,2015-08-16T00:00:00,2017-08-16T00:00:00,Apostolic Christian Skylines,7023 N. E. Skyline Dr,Peoria,61614,Peoria,,20,16,36,No,No,3096918091,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-14,5105835,2017-04-27T00:00:00,2017-08-27T00:00:00,Arboria of Long Grove LLC,2300 IL Route 53,Long Grove,60047,Lake,40,60,,100,No,Yes,8473836737,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-15,5201519,2016-08-07T00:00:00,2017-08-07T00:00:00,Arbor Rose of Arcola,106 East 2nd South Street,Arcola,61910,Douglas,8,,,8,Yes,Yes,2175181105,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-16,5201600,2017-04-21T00:00:00,2017-11-19T00:00:00,Arbor Rose of Charleston,1911 18th Street,Charleston,60920,Coles,9,,,9,Yes,Yes,2175122814,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-17,5201626,2016-11-30T00:00:00,2017-11-30T00:00:00,Arbor Rose of Monticello,1009 South Irving,Monticello,61856,Piatt,8,,,8,Yes,Yes,2176006101,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-18,5201618,2016-11-26T00:00:00,2017-11-26T00:00:00,Arbor Rose of Robinson,500 S. Reed Street,Robinson,62454,Crawford,8,,,8,Yes,Yes,6184691244,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-19,5201634,2016-11-18T00:00:00,2017-11-18T00:00:00,Arbor Rose of Tolono,503 S. Bourne St,Tolono,61880,Champaign,8,,,8,Yes,Yes,2174853030,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-20,5104754,2016-12-20T00:00:00,2017-12-20T00:00:00,"Arbors at Adams Pointe, The",201 North 48th Street,Quincy,62305,Adams,16,,,16,Yes,Yes,2172286494,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-21,5105132,2016-11-14T00:00:00,2017-11-14T00:00:00,"Arbors at Centennial Pointe, The",3430 Hedley Road,Springfield,62712,Sangamon,16,,,16,Yes,Yes,2175469016,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-22,5201048,2017-01-27T00:00:00,2018-01-27T00:00:00,Arbors at Parkway Gardens (The),375 Fountains Parkway,Fairview Heights,62208,St Clair,16,,,16,Yes,Yes,6186221988,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-23,5105058,2016-09-12T00:00:00,2017-09-12T00:00:00,Asbury Court,1750 Elmhurst Road,Des Plaines,60018,Cook,,1,161,162,No,No,8472281500,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-24,5201121,2016-12-02T00:00:00,2017-12-02T00:00:00,Aspen Creek of Sullivan,411 N. West Street,Sullivan,61951,Moultrie,12,,,12,No,Yes,2177282092,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-25,5201238,2016-10-08T00:00:00,2018-10-08T00:00:00,Aspen Creek of Troy,1924 SRA Bradley Smith Dr.,Troy,62264,Madison,12,,,12,No,Yes,6186672003,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-26,5102816,2016-07-04T00:00:00,2017-07-04T00:00:00,Assisi HC Center at Clare Oaks,829 Carillon Dr.,Bartlett,60103,Cook,16,17,,33,Yes,Yes,6304834742,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-27,5102634,2017-02-28T00:00:00,2019-02-28T00:00:00,Assisted Living at Silver Creek,1227 Winding Oaks Ln,Mascoutah,62258,St. Clair,,33,,33,No,No,6185664100,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-28,5102980,2016-11-12T00:00:00,2017-11-12T00:00:00,Assisted Living at Victory Lakes,1065 Victory Dr,Lindenhurst,60046,Lake,15,45,,60,No,Yes,8473564800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-29,5101248,2016-08-21T00:00:00,2017-08-21T00:00:00,Atria Park of Glen Ellyn,95 Carleton Avenue,Glen Ellyn,60137,DuPage,20,65,,85,No,Yes,6304695555,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-30,5104853,2017-02-27T00:00:00,2018-02-27T00:00:00,"Atrium, The",2885 McFarland Road,Rockford,61107,Winnebago,40,,,40,No,Yes,8152823340,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-31,5100125,2017-01-12T00:00:00,2019-01-12T00:00:00,"Autumn Accolade, Inc.",13516 Townline Rd,Green Valley,61534,Tazewell,,40,,40,No,No,3093481548,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-32,5103897,2017-01-30T00:00:00,2019-01-30T00:00:00,Autumn Fields Adult Community,325 E. Orange St.,Hoopeston,60942,Vermilion,,51,,51,No,No,2172832120,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-33,5104820,2017-03-19T00:00:00,2018-03-19T00:00:00,Autumn Fields of Savoy,66 East Airport Road,Savoy,61874,Champaign,,46,,46,No,No,2173551990,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-34,5103996,2017-05-01T00:00:00,2017-09-11T00:00:00,Autumn Green at Midway Village,6700 S. Keating,Chicago,60629,Cook,,24,20,44,No,No,7735822888,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-35,5103988,2016-09-11T00:00:00,2017-09-11T00:00:00,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,Chicago,60634,Cook,,25,10,35,No,No,7732023388,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-36,5105165,2017-03-08T00:00:00,2017-09-08T00:00:00,Autumn Leaves of Arlington Heights,1625 S. Arlington Heights Rd,Arlington Heights,60005,Cook,42,,,42,No,Yes,8477256700,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-37,5104283,2017-02-20T00:00:00,2018-02-20T00:00:00,Autumn Leaves of Bolingbrook,351 Lily Cache Lane,Bolingbrook,60440,DuPage,36,,,36,No,Yes,6307590797,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-38,5102865,2016-09-12T00:00:00,2017-09-12T00:00:00,Autumn Leaves of Crystal Lake,495 Alexandra Blvd,Crystal Lake,60014,McHenry,36,,,36,No,Yes,8154597800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-39,5104960,2017-03-04T00:00:00,2018-03-04T00:00:00,Autumn Leaves of Glen Ellyn,190 Geneva Road,Glen Ellyn,60137,DuPage,44,,,44,No,Yes,6309090101,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-40,5105363,2016-07-17T00:00:00,2017-07-17T00:00:00,Autumn Leaves of Gurnee,505 N. Hunt Club Road,Gurnee,60031,Lake,42,,,42,No,Yes,8886628886,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-41,5103293,2016-10-24T00:00:00,2017-10-24T00:00:00,Autumn Leaves of Orland Park,8021 151st Street,Orland Park,60462,Cook,36,,,36,No,Yes,7084032400,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-42,5103962,2016-06-07T00:00:00,2017-06-07T00:00:00,Autumn Leaves of Oswego,900 Douglas Rd.,Oswego,60543,Kendall,40,,,40,Yes,Yes,3314547540,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-43,5104762,2016-11-18T00:00:00,2017-11-18T00:00:00,Autumn Leaves of South Barrington,215 Bartlett Road,South Barrington,60010,Cook,38,,,38,No,Yes,2242233710,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-44,5103970,2016-06-07T00:00:00,2017-06-07T00:00:00,Autumn Leaves of St. Charles,10 N. Peck St.,St. Charles,60174,Kane,40,,,40,Yes,Yes,6304854510,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-45,5102949,2016-12-24T00:00:00,2017-12-24T00:00:00,Autumn Leaves of Vernon Hills,500 Atrium Dr,Vernon Hills,60061,Lake,36,,,36,No,Yes,8479961000,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-46,5100133,2017-04-10T00:00:00,2018-04-10T00:00:00,Avonlea Cottage #1/Quad Cities,2021 E. 1st St,Milan,61264,Rock Island,30,,,30,No,Yes,3097560755,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-47,5100141,2017-04-10T00:00:00,2018-04-10T00:00:00,Avonlea Cottage #2/Quad Cities,2025 E. 1st St,Milan,61264,Rock Island,,16,,16,No,No,3097562257,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-48,5104838,2016-07-19T00:00:00,2017-07-19T00:00:00,Avonlea Cottage of Dixon,503 Countryside Lane,Dixon,61021,Lee,16,,,16,No,Yes,8152886044,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-49,5100158,2016-08-09T00:00:00,2017-08-09T00:00:00,Avonlea Cottage/Sterling,2201 E. LeFevre Rd,Sterling,61081,Whiteside,,30,,30,No,Yes,8156265439,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-50,5102881,2016-07-03T00:00:00,2017-07-03T00:00:00,Axelson Assisted Living,2195 Foxglove Dr,Northbrook,60062,Cook,,58,,58,No,No,8474806350,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-51,5104481,2017-05-15T00:00:00,2018-05-15T00:00:00,Bell Tower Retirement LLC,430 Sidney Street,East Dubuque,61025,JoDaviess,14,34,,48,No,Yes,8157476701,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-52,5104242,2016-03-30T00:00:00,2017-03-30T00:00:00,Belmont Village Buffalo Grove,500 McHenry Rd,Buffalo Grove,60089,Lake,24,90,,114,No,Yes,8475375000,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-53,5101396,2015-10-06T00:00:00,2017-10-06T00:00:00,Benedale Ctr-Villa St. Benedict,1920 Maple Ave,Lisle,60532,DuPage,14,51,,65,No,Yes,6307257000,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-54,5100208,2016-12-29T00:00:00,2018-12-29T00:00:00,Bethel Place-AZ Establishment,6901 N. Galena Rd,Peoria,61614,Peoria,20,,,20,No,Yes,3096899658,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-55,5100240,2017-04-17T00:00:00,2018-04-17T00:00:00,Bickford - Bloomington,14 Heartland Dr,Bloomington,61704,McLean,16,,55,71,No,No,3096610094,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-56,5100257,2016-05-16T00:00:00,2017-05-16T00:00:00,Bickford - Bourbonnais House,100 Jones Dr,Bourbonnais,60914,Kankakee,,,50,50,Yes,No,8159369500,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-57,5100232,2016-10-04T00:00:00,2017-10-04T00:00:00,Bickford - Champaign Cottage,1002 S. Staley Rd,Champaign,61822,Champaign,16,28,,44,No,Yes,2174031900,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-58,5103210,2016-09-09T00:00:00,2017-09-09T00:00:00,Bickford Cottage - St. Charles,2875 Campton Hills Rd,St.Charles,60175,Kane,12,64,,76,No,Yes,6305878800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-59,5102956,2016-05-14T00:00:00,2017-05-14T00:00:00,Bickford - Crystal Lake Cottage,717 McHenry Ave,Crystal Lake,60014,McHenry,14,42,,56,Yes,Yes,8154774200,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-60,5100224,2015-11-16T00:00:00,2017-11-16T00:00:00,Bickford - Macomb Cottage,1600 Maple Ave,Macomb,61455,McDonough,,28,,28,Yes,No,3098369700,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-61,5101883,2017-02-03T00:00:00,2018-02-03T00:00:00,Bickford - Moline Cottage,3650 41st St,Moline,61265,Rock Island,,28,,28,No,No,3097360700,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-62,5105934,2017-05-08T00:00:00,2017-09-08T00:00:00,Bickford of Aurora,7 South Orchard Road,Aurora,60506,Kane,16,44,,60,No,No,6306315555,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-63,5105579,2017-05-22T00:00:00,2017-11-22T00:00:00,Bickford of Tinley Park,17301 80th Ave.,Tinley Park,60477,Cook,16,44,,60,No,Yes,7088455490,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-64,5102998,2017-05-14T00:00:00,2018-05-14T00:00:00,Bickford - Oswego Cottage,3712 Grove Rd,Oswego,60543,Kendall,14,42,,56,No,Yes,6305548811,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-65,5100273,2017-04-19T00:00:00,2018-04-19T00:00:00,Bickford - Peoria I House,1920 W. Willow Knolls Dr,Peoria,61614,Peoria,,,60,60,No,No,3096895400,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-66,5102469,2017-04-19T00:00:00,2018-04-19T00:00:00,Bickford - Peoria II Cottage,2000 W. Willow Knolls Dr.,Peoria,61614,Peoria,32,,,32,Yes,Yes,3095890800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-67,5101909,2016-10-21T00:00:00,2018-10-21T00:00:00,Bickford - Quincy Bickford Cottage,4221 Maine,Quincy,62305,Adams,7,39,,46,Yes,Yes,2172280800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-68,5100265,2016-11-11T00:00:00,2018-11-11T00:00:00,Bickford - Rockford House,960 N. Mulford Rd,Rockford,61107,Winnebago,,,65,65,No,No,8153977100,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-69,5101891,2015-09-07T00:00:00,2017-09-07T00:00:00,Bickford - Springfield House,2451 W. White Oak Dr,Springfield,62704,Sangamon,,,55,55,No,No,2177879000,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-70,5100307,2017-01-16T00:00:00,2018-01-16T00:00:00,"Birches, LLC (The)",215 55th St,Clarendon Hills,60514,DuPage,32,58,,90,No,Yes,6307891135,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-71,5201501,2017-03-08T00:00:00,2017-07-08T00:00:00,Blackberry Cottage,904-B Estates Drive,Jerseyville,62052,Jersey,10,,,10,No,Yes,6189209898,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-72,5103483,2016-07-29T00:00:00,2017-07-29T00:00:00,Bradford Place,1463 Benchmark Ct,Swansea,62226,St Clair,8,31,,39,No,Yes,6186240683,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-73,5200362,2016-10-01T00:00:00,2018-10-01T00:00:00,"Bradford Villa, LLC-I",1122 Koch's Ln,Quincy,62305,Adams,,8,,8,No,No,2172283379,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-74,5200560,2016-10-01T00:00:00,2018-10-01T00:00:00,"Bradford Villa, LLC-II",1122 Koch's Ln,Quincy,62305,Adams,,8,,8,No,No,2172283379,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-75,5200693,2016-10-01T00:00:00,2018-10-01T00:00:00,"Bradford Villa, LLC-III",1122 Koch's Ln,Quincy,62305,Adams,,8,,8,No,No,2172283379,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-76,5201220,2016-10-01T00:00:00,2018-10-01T00:00:00,Bradford Villa LLC-IV,1122 Koch's Lane,Quincy,62305,Adams,,8,,8,No,No,2172283379,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-77,5104978,2017-04-30T00:00:00,2018-04-30T00:00:00,Bridgeway Assisted Living,303 East Washington Street,Bensenville,60106,DuPage,17,10,50,77,No,Yes,6307660605,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-78,5105355,2017-01-30T00:00:00,2018-01-30T00:00:00,Bridle Brook Assisted Living,1505 Patton Drive,Mahomet,61853,Champaign,30,48,,78,No,Yes,2175863200,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-79,5104986,2016-11-15T00:00:00,2017-11-15T00:00:00,Bright Oaks of Aurora,1340 River Street,Aurora,60506,Kane,24,36,,60,No,Yes,6308928800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-80,5101560,2017-01-18T00:00:00,2018-01-18T00:00:00,Brighton Gardens of St. Charles,600 Dunham Rd,St. Charles,60174,Kane,39,65,,104,No,Yes,6305876120,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-81,5101636,2017-01-27T00:00:00,2018-01-27T00:00:00,Brighton Gardens of Wheaton,831 E. Butterfield Rd,Wheaton,60189,DuPage,39,78,,117,No,Yes,6306811234,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-82,5101743,2016-10-15T00:00:00,2017-10-15T00:00:00,Brookdale Des Plaines,800 S River Rd,Des Plaines,60016,Cook,,29,21,50,No,No,8472940100,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-83,5100976,2016-08-21T00:00:00,2017-08-21T00:00:00,Brookdale Glen Ellyn,60 N. Nicoll Way,Glen Ellyn,60137,DuPage,,63,,63,No,No,6304461600,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-84,5101768,2016-10-15T00:00:00,2017-10-15T00:00:00,Brookdale Hawthorne Lakes AL,10 E. Hawthorne Pkwy,Vernon Hills,60061,Lake,,50,12,62,No,No,8473672516,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-85,5101750,2015-10-15T00:00:00,2017-10-15T00:00:00,Brookdale Hoffman Estates,1515 Barrington Rd,Hoffman Estates,60169,Cook,,30,,30,No,No,8474905800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-86,5102378,2017-03-21T00:00:00,2018-03-21T00:00:00,Brookdale Lake Shore Drive,2960 N. Lake Shore,Chicago,60657,Cook,,20,50,70,No,No,7738802960,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-87,5101776,2016-10-15T00:00:00,2017-10-15T00:00:00,Brookdale Lake View,3121 N. Sheridan Rd,Chicago,60657,Cook,,41,16,57,No,No,7734049800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-88,5101735,2016-10-15T00:00:00,2017-10-15T00:00:00,Brookdale Lisle IL/AL,1700 Robin Ln,Lisle,60532,DuPage,,56,8,64,No,No,6309631880,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-89,5101131,2015-07-08T00:00:00,2017-07-08T00:00:00,Brookdale Northbrook,4501 Concord Ln,Northbrook,60062,Cook,,44,16,60,No,No,8478037100,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-90,5100786,2016-08-22T00:00:00,2017-08-22T00:00:00,Brookdale Oak Park,1111 Ontario St,Oak Park,60302,Cook,,18,18,36,No,No,7083831111,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-91,5105470,2017-04-06T00:00:00,2017-10-17T00:00:00,Brookdale Olympia Fields,3633 Breakers Drive,Olympia Fields,60461,Cook,,25,6,31,No,No,7087473333,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-92,5103574,2017-01-06T00:00:00,2018-01-06T00:00:00,Brookdale Orland Park,16051 S. LaGrange Rd,Orland Park,60467,Cook,24,80,,104,No,Yes,7084032001,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-93,5100349,2016-10-25T00:00:00,2017-10-25T00:00:00,Brookdale Urbana,1706 E Amber Ln,Urbana,61802,Champaign,9,91,,100,No,Yes,2173283150,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-94,5103798,2016-12-30T00:00:00,2017-12-30T00:00:00,Brookdale Vernon Hills,145 N. Milwaukee Ave.,Vernon Hills,60061,Lake,,56,43,99,No,No,8477932470,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-95,5105009,2017-04-19T00:00:00,2018-04-19T00:00:00,Brookstone Estates of Charleston,300 Lincoln Highway,Charleston,61920,Coles,16,,,16,No,Yes,2173486500,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-96,5104994,2017-04-21T00:00:00,2018-04-21T00:00:00,Brookstone Estates of Olney,1110 North East Street,Olney,62450,Richland,,46,,46,No,No,6183925870,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-97,5201172,2017-02-15T00:00:00,2018-02-15T00:00:00,Burge House,720 W. 7th St.,Flora,62839,Clay,,10,,10,No,No,6186625607,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-98,5105496,2016-12-08T00:00:00,2017-06-08T00:00:00,"Caledonian House, The",2800 S Des Plaines Avenue,North Riverside,60546,Cook,20,,,20,No,Yes,7084475092,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-99,5105611,2016-11-05T00:00:00,2017-11-05T00:00:00,Carriage Crossing Champaign,1701 Congressional Way,Champaign,61822,Champaign,18,42,,60,No,Yes,2173038840,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-100,5104366,2015-11-20T00:00:00,2016-11-20T00:00:00,Carriage Crossing Senior Living,909 Green Mill Rd,Arcola,61910,Douglas,14,42,,56,No,Yes,2172683516,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-101,5100356,2015-10-21T00:00:00,2017-10-21T00:00:00,Casita Catherine AL,1510 N 10th St,Quincy,62301,Adams,,10,,10,No,No,2172244850,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-102,5105330,2017-01-01T00:00:00,2018-01-01T00:00:00,Cedarhurst of Collinsville,1207 Vandalia Avenue,Collinsville,62234,Madison,15,51,,66,No,Yes,6183430800,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-103,5104606,2016-08-12T00:00:00,2017-08-12T00:00:00,Cedarhurst of Edwardsville,7108 Marine Road,Edwardsville,62025,Madison,54,,,54,No,Yes,6186599112,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-104,5105652,2017-01-06T00:00:00,2018-01-06T00:00:00,Cedarhurst of Jacksonville,2225 W. Morton Ave,Jacksonville,62650,Morgan,18,50,,68,No,Yes,2172452996,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-105,5103558,2017-02-28T00:00:00,2019-02-28T00:00:00,Cedarhurst of Shiloh,429 S. Main St,Shiloh,62269,St. Clair,31,56,,87,No,Yes,6186229890,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-106,5104713,2016-05-30T00:00:00,2017-05-30T00:00:00,Cedarhurst of Sparta,211 N. Market Street,Sparta,62286,Randolph,,50,,50,No,No,6184432600,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-107,5105397,2016-02-01T00:00:00,2017-02-01T00:00:00,Cedar Lake Assisted Living &amp; Memory Care,777 Church Street,Lake Zurich,60047,Will,24,62,,86,No,Yes,8478474425,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-108,5102758,2017-04-19T00:00:00,2017-08-19T00:00:00,Cedar Trails Senior Living,490 Urbana Drive,Freeburg,62243,St Clair,,45,,45,No,No,6185399190,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-109,5105124,2016-11-14T00:00:00,2017-11-14T00:00:00,"Centennial Pointe

Assisted Living",3440 Hedley Road,Springfield,62712,Sangamon,,28,,28,Yes,No,2175469301,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-110,5100364,2017-05-15T00:00:00,2018-05-15T00:00:00,Central Baptist Village,4747 N Canfield Ave,Norridge,60706,Cook,,96,,96,No,No,7085838500,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-111,5200867,2017-04-14T00:00:00,2018-04-14T00:00:00,Century Assisted Living I,701 South Lewis Lane,Carbondale,62901,Jackson,12,,,12,No,Yes,6185499898,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-112,5200875,2017-04-14T00:00:00,2018-04-14T00:00:00,Century Assisted Living II,703 Lewis Lane,Carbondale,62901,Jackson,14,,,14,No,Yes,6185499898,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-113,5105686,2016-12-31T00:00:00,2017-06-30T00:00:00,Cherryvale Place,1545 Temple Lane,Rockford,61112,Winnebago,22,71,4,97,No,Yes,8153328484,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-114,5200602,2017-02-20T00:00:00,2018-02-20T00:00:00,Chippewa House,306 W. Mill Street,Carbondale,62901,Jackson,,6,,6,No,No,6185293060,Assisted Living
USA-IL-64-AssistedLiving-64-AssistedLiving-115,5200925,2017-03-31T00:00:00,2019-03-31T00:00:00,Christian Garden Villa I,3406 W. Washington St,Springfield,62711,Sangamon,,10,,10,No,No,2177879600,Assisted Living
