row_id,Licence #,First Issue Date,Licensee Name,Address Line 1,Address Line 2,city,Postal Code,Province,Country,Contact Phone,Fax,Primary Contact,Website,Email,Services Available,Resident Capacity,Automatic Sprinklers in All Suites?,Number of Suites with Automatic Sprinklers,Sprinkler Locations,facility_type
Canada-ON-1-ON-AssistedLiving-output-11,S0028,11/23/2012,Services for Assisted & Independent Living Limited,81 Baseline Road W.,Unit 101,London,N6J 4Y5,ON,Canada,+1 519-675-0500,+1 519-657-0781,Ms. Joy  Birch,http://www.inspiritres.com,info@inspiritres.com,"[True, True, True, True, True, True, True, True, False, True, False, False, True]",86,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-12,T0187,3/27/2013,The Toronto Aged Men's and Women's Home,55 Belmont Street,,Toronto,M5R 1R1,ON,Canada,+1 416-964-9231,+1 416-964-1448,Mrs. Maria Elias,http://www.belmonthouse.com,information@belmonthouse.com,"[True, True, False, False, False, False, True, True, False, True, True, True, True]",87,Yes,81,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-13,N0412,4/11/2016,2503106 Ontario Inc.,992 Pine Valley Circle,,Mississauga,L5W 1Z1,ON,Canada,+1 613-443-1690,+1 613-443-1283,N/A,http://www.lepavillon.ca,,"[False, True, True, False, False, True, True, True, False, True, True, True, True]",76,Yes,64,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Emergency Exits, Boiler Room, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-14,S0094,11/7/2012,Tri-County Mennonite Homes,200 Boullee Street,,New Hamburg,N3A 2K4,ON,Canada,+1 519-273-4662,+1 519-273-1458,N/A,http://www.greenwoodcourt.com,,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",22,Yes,18,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-15,S0007,11/14/2012,Pioneer Elder Care Inc.,37 Royal York Road,,St. Catharines,L2N 2N7,ON,Canada,+1 289-362-6028,+1 289-362-6028,Ms. Mary Spear,http://www.pioneereldercare.com,pioneeronlakeshore@live.ca,"[True, True, True, True, True, True, True, True, True, True, True, True, True]",10,Yes,10,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-16,N0256,5/28/2013,HCN-Revera Lessee (Queenswood Villa) LP,55 Standish Court,8th Floor,Mississauga,L5R 4B2,ON,Canada,+1 613-830-2633,+1 613-830-9910,Ms. Shana Bond,http://reveraliving.comqueenswood,QueenswoodVilla@reveraliving.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",57,Yes,57,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-17,N0123,3/15/2013,Jarlette Ltd.,711 Yonge Street,,Midland,L4R 2E1,ON,Canada,705-526-4238,+1 705-527-8784, Julia King,http://www.jarlette.com,nmaurice@jarlette.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",46,Some,2,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-18,S0402,7/15/2016,Pioneer Elder Care Inc.,37 Royal York Road,,St. Catharines,L2N 2N7,ON,Canada,289-362-2521,+1 905-397-7786,Ms. Mary Spear,http://www.pioneereldercare.com,info@pioneereldercare.com,"[True, True, True, True, True, True, True, True, True, True, True, True, True]",20,Yes,20,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Basement, Attic, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-19,N0171,9/25/2012,1499413 Ontario Inc.,99 Walford Road,,Sudbury,P3E 6K3,ON,Canada,+1 807-345-2511,+1 807-345-2644,Mr. Tony  Guidoccio,http://www.thewalford.com,thewalford@tbaytel.net,"[True, False, True, False, False, False, True, True, False, False, True, False, True]",100,Yes,97,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-20,T0192,5/8/2013,Livewell Seniors House Inc.,611 Dunbar Road,,Cambridge,N3H 2T4,ON,Canada,+1 519-219-5483x84,+1 519-219-6682,Mr. Pedro Meneses,http://www.livewell2.ca,livewell2@rogers.com,"[True, False, True, False, False, True, True, True, False, True, False, False, True]",40,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-21,T0426,3/31/2015,HCN-Revera Lessee (Bradgate Arms) LP,55 Standish Court,8th floor,Mississauga,L5R 4B2,ON,Canada,+1 416-968-1331,+1 416-968-0959,Ms. Shana Bond,http://reveraliving.com/bradgate,bradgatearms@reveraliving.com,"[True, True, True, True, True, True, True, True, False, True, True, True, True]",81,Yes,81,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-22,S0175,11/14/2012,Revera Long Term Care Inc.,5015 Spectrum Way,Unit 600,Mississauga,L4W 0E4,ON,Canada,+1 519-442-4411,+1 519-442-6724,N/A,,telferplace@reveraliving.com,"[True, True, True, True, False, True, True, True, False, False, True, True, True]",68,Yes,67,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-23,T0067,11/29/2012,Fairview Mennonite Homes Inc.,799 Concession Road,,Cambridge,N3H 4L1,ON,Canada,+1 519-653-5719,+1 519-650-1242,N/A,,info@fairviewmh.com,"[True, True, False, False, False, False, True, True, False, True, True, True, True]",52,Yes,46,"Hallways, Common Resident Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-24,T0484,8/1/2016,Revera Retirement Genpar Inc.,5015 Spectrum Way,Unit 600,Mississauga,L4W 0E4,ON,Canada,+1 519-624-1212,+1 519-624-1216,Ms. Shana Bond,http://www.dunfieldcambridge.com,jpilato@dunfieldcambridge.com,"[True, True, True, True, False, True, True, True, True, True, False, False, True]",142,Yes,132,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Garbage Room, ",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-25,T0253,1/1/2013,Steeves and Rozema Enterprises Limited,265 North Front Street,Unit 200,Sarnia,N7T 7X1,ON,Canada,+1 519-743-0121,+1 519-743-8901,N/A,http://kitchener.ontarioretirementcommunity.com/default.htm,,"[True, True, True, False, False, False, True, True, False, True, True, True, True]",120,Some,40,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-26,S0244,1/27/2014,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,905-318-0384,N/A, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, True, True, True, False, True]",211,Yes,119,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-27,S0345,5/1/2014,Lifetimes Limited Partnership,3200 Dufferin Street,Unit 407,Toronto,M6A 3B2,ON,Canada,+1 519-485-0305,+1 519-485-6254,N/A,,,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",92,Yes,47,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-28,S0020,9/12/2012,Kingsway Lodge (St. Marys) Limited,310 Queen Street E.,RR 6,St. Marys,N4X 1C8,ON,Canada,+1 519-284-2921,+1 519-284-4468,Mrs. Theresa Wakem,http://www.kingswaylodge.com,info@kingswaylodge.com,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",27,Yes,16,"Kitchen, Hallways, Dining Room",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-29,T0096,9/12/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 519-749-2888,+1 519-749-1674, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",91,Yes,89,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-30,N0449,1/28/2017,Huronia Retirement Homes Inc.,P.O. Box 238,175 Walnut Street,Waubaushene,L0K 2C0,ON,Canada,705-510-0101,N/A,N/A,,sushicollingwood61@gmail.com,"[True, True, True, True, False, False, True, True, False, True, True, True, True]",36,Yes,31,"Basement, Mechanical/Electrical Rooms, Laundry Rooms, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-31,T0089,9/5/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 905-683-7321,+1 905-427-5846, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",53,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-32,S0061,8/29/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 905-632-5072,N/A, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",73,Yes,71,"Kitchen, Hallways, Laundry Rooms, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-33,T0035,1/18/2013,Greenwood Retirement Communities Incorporated,2200 Yonge Street,Unit 805,Toronto,M4S 2C6,ON,Canada,+1 705-749-1500,+1 705-749-1991,Mrs. Miriam Koller,http://www.applewoodrr.com,neila@applewoodrr.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",140,Yes,128,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Parking Garage, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-34,T0291,9/26/2014,2249000 Ontario Ltd.,4 Partridge Lane,,Scarborough,M1T 3C6,ON,Canada,+1 416-293-9289,N/A,N/A,,,"[True, True, True, True, False, True, True, True, False, True, True, True, True]",10,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-35,N0154,12/1/2014,1055594 Ontario Inc.,17 Rue Genier,,St. Albert,K0A 3C0,ON,Canada,+1 613-987-2983,+1 613-987-2985,N/A,,villa.st-albert@sympatico.ca,"[True, False, False, False, False, False, True, True, False, False, True, True, True]",50,Yes,50,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Offices",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-36,S0036,8/29/2012,Devonshire Erin Mills Inc.,1295 Riverbend Road,Unit 300,London,N6K 0G2,ON,Canada,+1 519-472-1115,+1 519-472-1132,Mrs. Dale Pineau,http://longworth.sifton.com,Carey.mcinnis@longworth.sifton.com,"[True, True, True, False, False, False, True, True, False, True, True, True, True]",140,Yes,126,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-37,T0058,9/12/2012,DCMS GP (Dufferin-Steeles) inc.,2121 Argentia Road,Unit 301,Mississauga,L5N 2X4,ON,Canada,+1 905-738-0905,+1 905-738-6719,Mr. David Bird,http://www.verveseniorliving.com,gm.fe@verveseniorliving.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",220,Yes,160,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-38,N0163,3/27/2013,Carefor Health & Community Services,425 Cecelia Street,,Pembroke,K8A 1S7,ON,Canada,+1 613-838-9356,+1 613-838-8317,Mr. Steve Perry,http://www.carefor.ca,info@carefor.ca,"[True, True, False, False, False, True, True, True, True, True, True, True, True]",16,Yes,16,Common Resident Areas,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-39,N0417,5/11/2016,V!VA Retirement Communities Inc.,3845 Bathurst Street,Unit 206,Toronto,M3H 3N2,ON,Canada,613-823-0220,N/A,Ms. Michelle Chisholm,http://www.vivalife.ca,brian.bruni@vivalife.ca,"[True, True, True, False, False, False, True, True, False, True, True, True, True]",320,Yes,145,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Par",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-40,T0144,12/17/2015,Amica Mature Lifestyles Inc. / Style de Vie Amica Inc.,20 Queen Street W.,Unit 2700,Toronto,M5H 3R4,ON,Canada,+1 905-264-9119,+1 905-264-9157,Ms. Andrea Prashad,http://www.amica.ca,villadavinci@amica.ca,"[True, True, True, True, True, True, True, True, False, True, True, True, True]",130,Yes,124,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-41,N0055,8/22/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 705-645-1431,+1 707-645-1431, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",87,Yes,73,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-42,S0003,8/1/2012,Vision '74 Inc.,229 Wellington Street,,Sarnia,N7T 1G9,ON,Canada,+1 519-336-6551,+1 519-336-5878,Ms. Heather Martin,http://www.vision74.com,hmartin@vision74.com,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",46,Some,7,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-43,S0375,3/31/2015,HCN-Revera Lessee (Lundy Manor) LP,55 Standish Court,,Mississauga,L5R 4B2,ON,Canada,+1 905-356-1511,+1 905-356-1736,Ms. Shana Bond,http://reveraliving.comlundy,lundymanor@reveraliving.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",95,Yes,95,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-44,N0231,8/31/2012,BayBridge (Perth) Inc.,20 Queen Street W.,Unit 2700,Toronto,M5H 3R4,ON,Canada,+1 613-267-7000,+1 613-267-7975,N/A,http://www.carolinasuites.ca,,"[True, True, True, True, True, True, True, True, False, True, True, False, True]",168,Yes,139,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-45,N0188,9/18/2012,Seasons Retirement Communities (Trenton) GP Inc.,1315 North Service Road E.,Unit 200,Oakville,L6H 1A7,ON,Canada,+1 613-965-1717,+1 613-965-1716,Mr. Michael Lavallee,http://www.seasonsretirement.com,mlavallee@seasonsretirement.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",150,Yes,125,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-46,T0393,5/1/2014,Lifetimes Limited Partnership,3200 Dufferin Street,Unit 407,Toronto,M6A 3B2,ON,Canada,+1 705-748-5343,+1 705-748-4741,N/A,,,"[True, True, True, False, False, True, True, True, True, True, True, True, True]",115,Some,33,"Hallways, Dining Room, Common Resident Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-47,S0045,11/23/2012,1280685 Ontario Limited,3700 Billings Court,,Burlington,L7N 3N6,ON,Canada,+1 905-371-2743,+1 905-371-2747,Mr. Neil Simon,http://www.queenstonplace.com,belinda@queenstonplace.com,"[True, True, True, False, False, False, True, True, False, True, True, True, True]",80,Yes,67,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-48,T0459,3/1/2016,Streetsville Retirement Partnership,2121 Argentia Road,Unit 301,Mississauga,L5N 2X4,ON,Canada,905-812-9191,N/A,Mr. David Bird,http://www.verveseniorliving.com,gm.creditriver@verveseniorliving.com,"[True, True, True, True, True, True, True, True, True, True, True, True, True]",266,Yes,133,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Gar",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-49,S0180,11/14/2012,Revera Long Term Care Inc.,5015 Spectrum Way,Unit 600,Mississauga,L4W 0E4,ON,Canada,+1 519-364-4320,+1 519-364-6953,N/A,,thevillagesrscomm@reveraliving.com,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",86,Yes,86,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-50,T0329,6/22/2015,IMO'S Sunnyside Lodge Inc.,97 Curtis Drive,,Brampton,L6Y 2J6,ON,Canada,905-796-8353,+1 905-452-8560,N/A,,isunnysidelodge@gmail.com,"[True, True, True, True, False, True, True, True, False, True, False, False, True]",6,Yes,6,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Parking Garage, Garbage Room",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-51,S0128,9/5/2012,Steeves and Rozema Enterprises Limited,265 North Front Street,Unit 200,Sarnia,N7T 7X1,ON,Canada,+1 519-733-4870,+1 519-733-6294,Mr. Clarke Boddy,http://kingsville.ontarioretirementcommunity.com,southgate_residence@srgroup.ca,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",64,Yes,55,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Parking G",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-52,N0067,7/25/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 613-284-8080,+1 613-284-8290, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, False, True, False, True, True, False, True]",78,Yes,58,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-53,N0166,3/27/2013,1278391 Ontario Inc.,53 Long Sault Drive,,Long Sault,K0C 1P0,ON,Canada,+1 613-534-2307,+1 613-534-4115,Mr. Henri Lecours,http://www.sunsetcoveretirement.com,kim@sunsetcoveretirement.com,"[True, True, False, False, True, False, True, True, False, True, False, True, True]",49,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-54,N0378,3/31/2015,HCN-Revera Lessee (Westwood) LP,55 Standish Court,8th floor,Mississauga,L5R 4B2,ON,Canada,613-820-7333,+1 613-820-6815,Ms. Shana Bond,http://reveraliving.comwestwood,thewestwood@reveraliving.com,"[True, True, True, True, False, True, True, True, True, True, True, True, True]",230,Yes,225,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-55,N0444,1/5/2017,Royal Brock Retirement Living Inc.,35 Auriga Drive,,Ottawa,K2E 8B7,ON,Canada,844-767-6925,N/A, Tom Gallivan,http://www.royalbrockretirement.com,info@royalbrockretirement.com,"[True, True, True, False, True, True, True, True, False, True, True, True, True]",120,Yes,77,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Gar",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-56,N0424,6/1/2016,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 613-230-9900,+1 613-230-6161, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",140,Yes,127,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-57,N0044,10/31/2012,Empire Living Centre Inc.,1673 Richmond Street,Unit 11,London,N6G 2N3,ON,Canada,705-474-9555,+1 705-474-9827,Mr. Rodney Mitchell,http://www.theempire.ca,cboston@retirementlivingcentres.com,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",170,Yes,157,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Basement, Boiler Room, Attic, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offic",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-58,N0386,8/15/2015,M2 Developments Inc.,18 O'Brien Avenue,,Stouffville,L4A 1G6,ON,Canada,705-746-8558,+1 705-771-9771,Mr. Shael Simon,http://www.gardensofparrysound.ca,info@gardensofparrysound.ca,"[True, True, True, True, True, True, True, True, False, True, True, False, True]",93,Yes,70,"Kitchen, Hallways, Dining Room, Common Resident Areas, Staff Areas, Stairways, Emergency Exits, Boiler Room, Elevator/Elevator Shaft, Mechanical/Electrical Rooms, Laundry Rooms, Offices, Garbage Room",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-59,N0183,6/14/2013,Valley Garden Retirement Centre Inc.,4152 County Road 34,,Green Valley,K0C 1L0,ON,Canada,+1 613-525-2999,+1 613-525-0399,N/A,,greenvalleyresidence@bellnet.ca,"[True, True, True, False, False, False, True, True, False, True, True, True, True]",48,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-60,S0352,11/10/2014,Pearl & Pine St. Facility Inc.,22 St. Clair Avenue E.,Unit 1200,Toronto,M4T 2S3,ON,Canada,905-633-8300,N/A,N/A,http://www.pearlandpineretirement.com,,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",145,Yes,125,"Kitchen, Common Resident Areas, Staff Areas, Storage Areas",Assisted Living
Canada-ON-1-ON-AssistedLiving-output-61,T0032,9/25/2012,Caressant Care Nursing and Retirement Homes Limited,264 Norwich Avenue,,Woodstock,N4S 3V9,ON,Canada,+1 519-848-3795,+1 519-848-2273,N/A,http://www.caressantcare.com,,"[True, False, False, False, False, False, True, True, False, False, True, True, True]",41,No,0,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-62,T0022,9/18/2012,Woodhall Park Estates Limited,10250 Kennedy Road,,Brampton,L6Z 4N7,ON,Canada,+1 905-846-1441,+1 905-846-1451,Mr. Andrew Post,http://www.woodhallpark.ca,postmaster@woodhallpark.ca,"[True, True, True, False, True, True, True, True, True, True, True, True, True]",85,Yes,71,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-63,N0069,7/25/2012,Chartwell Master Care Corporation,100 Milverton Drive,Unit 700,Mississauga,L5R 4H1,ON,Canada,+1 705-521-1443,+1 705-521-0322, Cheryl Clausen,http://www.chartwell.com,info@chartwell.com,"[True, True, True, False, False, True, True, True, False, True, True, False, True]",94,Yes,81,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-64,N0239,11/14/2012,1350844 Ontario Inc.,PO BOX 1926,,Cornwall,K6H 3N7,ON,Canada,+1 613-932-3707,N/A,Mrs. Tracy Jones,http://www.riverdaleterrace.ca,tracy.jones@riverdaleterrace.ca,"[True, True, True, False, False, True, True, True, False, True, True, True, True]",110,Yes,95,None,Assisted Living
Canada-ON-1-ON-AssistedLiving-output-65,S0017,8/29/2012,1528402 Ontario Limited,7835 Confederation Line,,Watford,N0M 2S0,ON,Canada,+1 519-876-3452,+1 519-876-3453,Mr. Todd White,http://www.brooksideretirementliving.com,brooksiderl@icloud.com,"[True, True, True, False, True, True, True, True, False, True, True, False, True]",64,Yes,55,None,Assisted Living
