row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,address_line_1,address_line_2,city,province,postal_code,country,latitude,longitude,neighborhood,addr_valid
USA-WI-50-All-50-All-27,DAYBREAK I,,REGULAR,,BARRON COUNTY OFFICE ON AGING,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4519927&keyb=-1,SHELLIE LYSTE,(715) 234-7224,,,,,Government-County,15,,Adult Day Care,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; PUBLIC FUNDING,,,,,12 WEST HUMBIRD STREET,,RICE LAKE,WI,54868,USA,45.5049944,-91.7343436,Historic Rice Lake,True
USA-WI-50-All-50-All-28,CCC HOMES BARKER HOUSE,,REGULAR,,CCC HOMES,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524407&keyb=-1,JASON JASICKI,,,,,,Corporation - Business,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,510 E BARKER,,RICE LAKE,WI,54868,USA,45.489828,-91.7255656,,True
USA-WI-50-All-50-All-29,AUTUMN LEAVES ASSISTED LIVING ESTATES,,REGULAR,,AUTUMN LEAVES ASSISTED LIVING ESTATES INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4526215&keyb=-1,LAVERN WENGER,(715) 296-9127,,,,,Corporation - Non profit,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S,,,,,1515 LLOYD ST,,CUMBERLAND,WI,54829,USA,45.521015,-92.030043,,True
USA-WI-50-All-50-All-30,CCC HOMES LTD NELSON HOME,,REGULAR,,CCC HOMES,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524622&keyb=-1,JASON JASICKI,(715) 790-7800,,,,,Corporation - Business,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,831 NELSON DRIVE,,RICE LAKE,WI,54868,USA,45.4911249,-91.721348,,True
USA-WI-50-All-50-All-31,CIRCLE OF HOPE INC,,REGULAR,,CIRCLE OF HOPE INC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4521529&keyb=-1,PAT CHUCHWAR,(715) 455-1883,,,,,Corporation - Non profit,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED,,,,,180 WAYNE ST EAST,,PRAIRIE FARM,WI,54762,USA,45.2345951,-91.9809082,,True
USA-WI-50-All-50-All-32,JUST LIKE HOME,,REGULAR,,SONIA & TED KOTZ,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4520984&keyb=-1,SONIA OR TED KOTZ,(715) 924-3632,,,,,Partnership,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S,,,,,1117 W STOUT STREET,,CHETEK,WI,54728,USA,45.3154929,-91.662853,,True
USA-WI-50-All-50-All-33,INTEGRICARE BARRON,,REGULAR,,"INTEGRICARE, INC",,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525195&keyb=-1,SUE HANSON,(715) 537-1640,,,,,Corporation - Business,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS; PUBLIC FUNDING,,,,,25 S EIGHTH STREET,,BARRON,WI,54812,USA,45.4008899,-91.847746,,True
USA-WI-50-All-50-All-34,WILLOW PINES,,REGULAR,,DEBORAH CARPENTER,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4519362&keyb=-1,DEBORAH CARPENTER,(715) 357-3824,,,,,Proprietorship,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED,,,,,1058-6TH STREET,,ALMENA,WI,54805,USA,45.361045,-92.033633,,True
USA-WI-50-All-50-All-35,SUE HANSONS GROUP HOME,,REGULAR,,SUSAN HANSON,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525901&keyb=-1,SUE HANSON,(715) 790-4727,,,,,Other,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,1372 24 3/8 ST,,CAMERON,WI,54822,USA,45.404775,-91.757485,,True
USA-WI-50-All-50-All-36,MITCHELLS FAMILY HOME,,REGULAR,,STEPHEN MITCHELL,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4517883&keyb=-1,STEPHEN MITCHELL,(715) 205-8091,,,,,Other,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,103 HILLTOP DR,,RICE LAKE,WI,54868,USA,45.4999101,-91.7511831,,True
USA-WI-50-All-50-All-37,REBECCAS ADULT FAMILY HOME,,REGULAR,,REBECCA HANSEN,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4524215&keyb=-1,REBECCA HANSEN,(715) 418-9417,,,,,Proprietorship,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; EMOTIONALLY DISTURBED/MENTAL ILLNESS,,,,,1121 14 1/2 ST,,BARRON,WI,54812,USA,45.369631,-91.858202,,True
USA-WI-50-All-50-All-38,CCC HOMES KERN HOUSE,,REGULAR,,CCC HOMES,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525874&keyb=-1,CINDY JASICKI,(715) 475-1081,,,,,Corporation - Business,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; PUBLIC FUNDING,,,,,730 KERN AVENUE,,RICE LAKE,WI,54868,USA,45.492113,-91.7252309,,True
USA-WI-50-All-50-All-39,WE CARE ASSISTED LIVING,,REGULAR,,SADIE DAVIS,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4526015&keyb=-1,SADIE DAVIS,(715) 456-0631,,,,,Proprietorship,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED; TRAUMATIC BRAIN INJURY,,,,,2852 20TH ST,,RICE LAKE,WI,54868,USA,45.618893,-91.747539,,True
USA-WI-50-All-50-All-40,THOMPSONS AFH,,REGULAR,,PAMELA THOMPSON,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4518985&keyb=-1,PAMELA THOMPSON,(715) 924-4141,,,,,Proprietorship,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED,,,,,565 25 1/4 STREET,,NEW AUBURN,WI,54757,USA,45.2875159,-91.635899,,True
USA-WI-50-All-50-All-41,JB SIGNATURE HOMES LLC,,REGULAR,,JB SIGNATURE HOMES LLC,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4525927&keyb=-1,JEFFREY BEYREIS,(715) 296-5415,,,,,Limited Liability Company,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVELOPMENTALLY DISABLED; IRREVERSIBLE DEMENTIA/ALZHEIMER'S; EMOTIONALLY DISTURBED/MENTAL ILLNESS; PUBLIC FUNDING,,,,,619 W MARSHALL ST,,RICE LAKE,WI,54868,USA,45.504496,-91.744881,,True
USA-WI-50-All-50-All-42,LEWALLEN ADULT FAMILY HOME,,REGULAR,,MELISSA LEWALLEN,,,,,,,https://www.forwardhealth.wi.gov/WIPortal/Subsystem/Public/DQAProviderDetails.aspx?key=4523454&keyb=-1,MELISSA LEWALLEN,(715) 924-3332,,,,,Proprietorship,4,,Adult Family Home,Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED AGED; DEVELOPMENTALLY DISABLED; PHYSICALLY DISABLED,,,,,2630 8 1/4 AVENUE,,CHETEK,WI,54728,USA,45.328652,-91.616652,,True
