row_id,Facility Name,Address1,Address2,City,Zip,State,Administrator,Phone,Fax,License Number,License Exp.,Country,facility_type
USA-IN-86-IN-ResidentialCare(NF)-output-23,CLEARVISTA LAKE HEALTH CAMPUS,8405 CLEARVISTA PLACE,,INDIANAPOLIS,46256,IN,TAMARA TINSLEY,(317)578-7500,,17-013019-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-24,COBBLESTONE CROSSINGS HEALTH CAMPUS,1850 E HOWARD WAYNE DR,,TERRE HAUTE,47802,IN,NICOLE GRIFFITH,(812)232-0406,(812)232-0433,16-000906-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-25,COMMUNITY NORTHVIEW CARE CENTER,1235 W CROSS ST,,ANDERSON,46011,IN,JACK GERARD SCHAEFER,(765)298-2540,(765)298-4936,16-000562-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-26,COMMUNITY PARKVIEW HEALTH AND LIVING,2300 PARKVIEW LN,,ELWOOD,46036,IN,DOUGLAS HURLBUT,(765)552-9884,(765)552-2670,16-000372-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-27,COPPER TRACE HEALTH & LIVING COMMUNITY,1250 W 146TH STREET,,WESTFIELD,46074,IN,STEPHANIE INGRAM,(317)844-5050,(812)334-0853,17-013556-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-28,COVERED BRIDGE HEALTH CAMPUS,1675 W TIPTON ST,,SEYMOUR,47274,IN,ANGELA SHORT,(812)523-6405,(812)523-6066,16-003342-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-29,CREASY SPRINGS HEALTH CAMPUS,1750 S CREASY LN,,LAFAYETTE,47905,IN,JUSTIN RIFE,(765)447-6600,(765)447-6602,16-012285-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-30,CROWN POINT CHRISTIAN VILLAGE,6685 E 117TH AVE,,CROWN POINT,46307,IN,AMY S MAURICE,(219)662-0642,(219)663-4260,17-001198-1,2/28/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-31,CUMBERLAND POINTE HEALTH CAMPUS,1051 CUMBERLAND AVE,,WEST LAFAYETTE,47906,IN,GAIL BALDWIN,(765)463-2571,(765)463-9401,17-000547-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-32,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,1925 REEVES ROAD,,PLAINFIELD,46168,IN,THOMAS MULLINS,(317)838-7070,(812)334-0853,16-013455-3,9/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-33,DIVERSICARE OF PROVIDENCE,4915 CHARLESTOWN RD,,NEW ALBANY,47150,IN,AMY DENISE BROWN,(812)945-5221,(812)945-2614,17-001144-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-34,DYER NURSING AND REHABILITATION CENTER,601 SHEFFIELD AVE,,DYER,46311,IN,NATHAN WOLF,(219)322-2273,(219)322-9212,17-000125-1,2/28/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-35,EVANSVILLE PROTESTANT HOME INC,3701 WASHINGTON AVE,,EVANSVILLE,47714,IN,ANNA PERRY,(812)476-3360,(812)475-2062,17-001125-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-36,EVERGREEN CROSSING AND THE LOFTS,5404 GEORGETOWN ROAD,,INDIANAPOLIS,46254,IN,MICHAEL OLSON,(317)291-5404,(309)829-5477,17-013280-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-37,EXCEPTIONAL LIVING CENTER OF BRAZIL,501 S MURPHY AVE,,BRAZIL,47834,IN,LINDSEY WILSON,(812)446-2636,(812)448-2537,17-000514-1,5/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-38,FLATROCK RIVER LODGE,904 E 11TH ST,,RUSHVILLE,46173,IN,DOUGLAS DAUDELIN,(765)932-2974,(765)938-1333,17-001126-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-39,FOREST PARK HEALTH CAMPUS,2401 SOUTH L ST,,RICHMOND,47374,IN,GARY GRIFFIN,(765)966-5705,(765)966-5713,17-011387-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-40,FORUM AT THE CROSSING,8505 WOODFIELD CROSSING BLVD,,INDIANAPOLIS,46240,IN,REBECCA STACY,(317)466-2020,(317)466-2024,17-000191-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-41,FOUR SEASONS RETIREMENT CENTER,1901 TAYLOR RD,,COLUMBUS,47203,IN,REBECCA STENNER,(812)372-8481,(812)378-6184,17-000543-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-42,FRANKLIN UNITED METHODIST COMMUNITY RES & COM CARE,1070 W JEFFERSON ST,,FRANKLIN,46131,IN,ANJELA BROWN,(317)736-7185,(317)736-1150,17-001127-1,3/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-43,FRIENDS FELLOWSHIP COMMUNITY,2030 CHESTER BLVD,,RICHMOND,47374,IN,JEFFREY BAXTER,(765)962-6546,(765)962-9188,16-001128-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-44,GLEN OAKS HEALTH CAMPUS,601 W CR 200 S,,NEW CASTLE,47362,IN,TAMMY NELSON,(765)529-5796,(765)529-7175,17-011187-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-45,GOLDEN YEARS HOMESTEAD,3136 GOEGLEIN RD,,FORT WAYNE,46815,IN,STEVEN SCHAAF,(260)749-9655,(260)749-9656,17-000282-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-46,GOOD SAMARITAN HOME HEALTH CENTER AND RESIDENTIAL,601 N BOEKE RD,,EVANSVILLE,47711,IN,MARK MCELWEE,(812)476-4912,(812)474-4442,16-000439-1,9/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-47,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,2515 NEWTON ST,,JASPER,47547,IN,DIANE P ECKERT,(812)482-1722,(812)634-2793,16-000180-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-48,GRACE VILLAGE HEALTH CARE FACILITY,337 GRACE VILLAGE DR,,WINONA LAKE,46590,IN,KEVIN MCKEEVER,(574)372-6100,(574)372-6558,17-000501-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-49,GREENLEAF HEALTH CAMPUS,1201 E BEARDSLEY,,ELKHART,46514,IN,CHARLES SYER JR,(574)206-0086,(574)266-3673,17-002661-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-50,GREENWOOD VILLAGE SOUTH,295 VILLAGE LANE,,GREENWOOD,46143,IN,PAMELA SEEGERS,(317)859-4444,(317)859-4423,16-000010-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-51,HAMILTON GROVE,31869 CHICAGO TR,,NEW CARLISLE,46552,IN,DAVID THOMPSON,(574)654-2200,(574)654-2219,16-000427-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-52,HAMILTON POINTE HEALTH AND REHAB,3800 ELI PLACE,,NEWBURGH,47630,IN,SHAWN CATES,(812)858-5300,,17-012966-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-53,HAMILTON TRACE OF FISHERS,11851 CUMBERLAND RD,,FISHERS,46037,IN,BENJY GRZYCH,(317)813-4444,(317)334-0853,16-012644-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-54,HAMPTON OAKS HEALTH CAMPUS,966 N WILSON RD,,SCOTTSBURG,47170,IN,BRANDY ROYALTY,(812)752-2694,(812)752-5713,17-004902-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-55,HANOVER NURSING CENTER,410 W LAGRANGE RD,,HANOVER,47243,IN,CHIRAG PATEL,(812)866-2625,(812)866-5540,16-000115-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-56,HARBOUR MANOR HEALTH & LIVING COMMUNITY,1667 SHERIDAN RD,,NOBLESVILLE,46060,IN,JUSTIN VOGT,(317)773-9205,(317)776-5950,17-000551-1,5/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-57,HARRISON SPRINGS HEALTH CAMPUS,871 PACER DRIVE NW,,CORYDON,47112,IN,CARLA SIECKERT,(812)738-0317,(812)738-0318,17-013702-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-58,HARRISON'S CROSSING HEALTH CAMPUS,395 8TH AVENUE,,TERRE HAUTE,47804,IN,STACY BLUE,(812)234-7111,(812)234-7333,17-013335-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-59,HEARTHSTONE HEALTH CAMPUS,3043 NORTH LINTEL DRIVE,,BLOOMINGTON,47404,IN,JANET LEDLOW,(812)333-7622,(812)333-7653,16-012974-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-60,HERITAGE HOUSE OF SHELBYVILLE,2309 S MILLER ST,,SHELBYVILLE,46176,IN,TWYLA SHAW,(317)398-9781,(317)398-6840,17-000009-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-61,"HERITAGE OF FORT WAYNE, THE",5250 HERITAGE PARKWAY,,FORT WAYNE,46835,IN,LINDA SHUTTLEWORTH,(260)209-6279,(260)203-4087,17-012931-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-62,HERITAGE OF HUNTINGTON,1180 W 500 N,,HUNTINGTON,46750,IN,JODIE STANLEY,(260)355-2750,(260)355-2759,17-002910-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-63,HERITAGE PARK,2001 HOBSON RD,,FORT WAYNE,46805,IN,KIMILY HUGHES,(260)484-9557,(260)471-4495,17-000038-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-64,HERITAGE POINTE,801 N HUNTINGTON AVE,,WARREN,46792,IN,BRENDA JOHNS,(260)375-2201,(260)375-3327,17-000542-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-65,HOLY CROSS VILLAGE AT NOTRE DAME INC,PO BOX 303,,NOTRE DAME,46556,IN,JACK MUELLER,(574)287-1838,(574)289-7277,17-002668-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-66,HOMEWOOD HEALTH CAMPUS,2494 N LEBANON ST,,LEBANON,46052,IN,JAMES PERRY DAUGHERTY,(765)482-2076,(765)482-2082,17-002703-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-67,HOOSIER VILLAGE,9875 CHERRYLEAF DR,,INDIANAPOLIS,46268,IN,MINDY KANTZ,(317)873-3349,(317)873-8224,17-000548-1,8/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-68,HUBBARD HILL ESTATES INC,28070 CR 24,,ELKHART,46517,IN,TERRY SCHOLLMEIER,(574)295-6260,(574)295-5852,17-001131-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-69,LODGE OF THE WABASH,723 E RAMSEY RD,,VINCENNES,47591,IN,GREGORY MATHEIS,(812)882-8787,(812)886-5357,17-001138-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-70,LUTHERAN COMMUNITY HOME,111 W CHURCH AVE,,SEYMOUR,47274,IN,KARYN FLEETWOOD,(812)522-5927,(812)522-2748,17-000347-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-71,LUTHERAN LIFE VILLAGES,6701 S ANTHONY BLVD,,FORT WAYNE,46816,IN,JAMES SCHMIDT,(260)447-1591,(260)447-7369,17-000283-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-72,MANOR CARE HEALTH SERVICES SUMMER TRACE,12999 N PENNSYLVANIA ST,,CARMEL,46032,IN,DAVID DUVALL,(317)848-2448,(317)848-1535,17-001149-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-73,MARION REHABILITATION AND ASSISTED LIVING CENTER,614 WEST 14TH STREET,,MARION,46953,IN,DEE ANN EILAR EHRHARDT,(765)662-3701,(765)662-3703,17-012809-1,8/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-74,MARQUETTE,8140 TOWNSHIP LINE RD,,INDIANAPOLIS,46260,IN,JEFFREY LYLE COX,(317)875-9700,(317)524-6576,17-000105-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-75,MEADOW LAKES,200 MEADOW LAKE DR,,MOORESVILLE,46158,IN,BOB COMPTON,(317)834-1791,(317)834-1893,17-004831-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-76,MILL POND HEALTH CAMPUS,1014 MILL POND LN,,GREENCASTLE,46135,IN,RACHEL FRYE,(765)653-4397,(765)653-4514,17-004550-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-77,MILLER'S MERRY MANOR,635 OAKHILL AVE,,PLYMOUTH,46563,IN,ALAN GROSSNICKLE JR,(574)936-9981,(574)936-9307,17-000041-1,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-78,MILLER'S MERRY MANOR,505 N BRADNER AVE,,MARION,46952,IN,JOHN VELASQUEZ,(765)662-3981,(765)662-3987,16-000089-1,9/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-79,MILLERS MERRY MANOR,612 E 11TH ST,,RUSHVILLE,46173,IN,PENNY BUSALD,(765)932-4127,(765)932-3054,17-000018-1,2/28/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-80,MILNER COMMUNITY HEALTH CARE,370 E MAIN ST,,ROSSVILLE,46065,IN,RICHARD JACKSON,(765)379-2112,(765)379-2942,16-000299-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-81,"MILTON HOME, THE",206 E MARION ST,,SOUTH BEND,46601,IN,KEVIN BAKER,(574)233-0165,(574)237-9818,16-001141-2,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-82,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,950 N LAKEVIEW DR,,GREENSBURG,47240,IN,HOLLY H WITKEMPER,(812)662-7778,(812)663-7500,17-011039-1,3/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-83,MORRISON WOODS HEALTH CAMPUS,4100 N MORRISON RD,,MUNCIE,47304,IN,ANTHONY WILSON,(765)286-9066,(765)286-9033,17-011596-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-84,MULBERRY HEALTH & REHABILITATION CENTER,502 W JACKSON ST,,MULBERRY,46058,IN,MARK WOLFSCHLAG,(765)296-2911,(765)296-9216,17-000470-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-85,NEW ALBANY NURSING AND REHABILITATION CENTER,201 E ELM ST,,NEW ALBANY,47150,IN,BLOSSOM STEWART,(812)945-9517,(812)981-3303,17-001145-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-86,NORTH RIDGE VILLAGE NURSING & REHAB CENTER,600 TRAIL RIDGE RD,,ALBION,46701,IN,MARK GEPHART,(260)636-1000,(260)636-7954,17-011296-1,4/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-87,NORTH RIVER HEALTH CAMPUS,811 E BASELINE ROAD,,EVANSVILLE,47725,IN,VICKY HARPENAU,(812)867-7256,(812)867-7257,17-013703-2,6/30/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-88,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,221 W DIVISION ST,,DEMOTTE,46310,IN,ROSEMARY WEEKS,(219)987-7005,(219)987-7401,17-010823-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-89,OAKWOOD HEALTH CAMPUS,1143 23RD ST,,TELL CITY,47586,IN,ANDREW RUSSELL,(812)547-2333,(812)547-2312,16-002512-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-90,ORCHARD POINTE HEALTH CAMPUS,702 SAWYER ROAD,,KENDALLVILLE,46755,IN,JESSICA ANN SLONE,(260)347-3333,(260)347-3303,17-013704-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-91,PARKER HEALTH CARE & REHABILITATION CENTER,359 RANDOLPH ST,,PARKER CITY,47368,IN,MELISSA HUSER,(765)468-8280,(765)468-8580,17-000419-1,3/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-92,PARKVIEW HAVEN,101 CONSTITUTION DR,,FRANCESVILLE,47946,IN,GLENN WAGNER,(219)567-9149,(219)567-2646,17-000539-1,8/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-93,PEABODY RETIREMENT COMMUNITY,400 W SEVENTH ST,,NORTH MANCHESTER,46962,IN,SARAH LOPEZ,(260)982-8616,(260)982-8657,16-000485-1,9/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-94,PRAIRIE LAKES HEALTH CAMPUS,9730 PRAIRIE LAKES BLVD E,,NOBLESVILLE,46060,IN,MATTHEW HENSEL,(317)770-3644,(502)412-0407,16-012305-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-95,PRESENCE SACRED HEART HOME,515 N MAIN ST,,AVILLA,46710,IN,,(260)897-2841,(260)897-3724,17-000404-2,8/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-96,PROVIDENCE HEALTH CARE CENTER,1 SISTERS OF PROVIDENCE,,SAINT MARY OF THE WO,47876,IN,MANDY LYNCH,(812)535-1050,(812)535-4727,16-003624-1,11/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-97,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,300 J H WALKER DR,,PENDLETON,46064,IN,KEARY DYE,(765)778-7501,(765)778-0366,17-000248-1,5/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-98,"RETREAT AT THE STRATFORD, THE",2460 GLEBE ST,,CARMEL,46032,IN,SCHEREE EADS,(317)733-9560,(317)733-4421,16-011151-1,9/30/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-99,RIDGEWOOD HEALTH CAMPUS,181 CAMPUS DR,,LAWRENCEBURG,47025,IN,GWEN REVERMAN,(812)537-5700,(502)412-0407,16-012523-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-100,RIPLEY CROSSING,1200 WHITLATCH WAY,,MILAN,47031,IN,TRINA JOHNSON,(812)654-2231,(812)654-2240,17-000420-1,3/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-101,RIVER POINTE HEALTH CAMPUS,3001 GALAXY DR,,EVANSVILLE,47715,IN,ADAM L STRICKLAND,(812)475-2822,(812)475-9140,16-002280-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-102,RIVER TERRACE HEALTH CAMPUS,120 PRESBYTERIAN AVE,,MADISON,47250,IN,BRITTAN MEFFORD,(812)265-0080,(812)265-0082,17-013535-1,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-103,RIVER TERRACE HEALTH CARE CENTER,400 CAYLOR BLVD,,BLUFFTON,46714,IN,DAVID MCMAHAN,(260)824-8940,(260)824-8951,17-003575-1,1/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-104,RIVEROAKS HEALTH CAMPUS,1244 VAIL ST,,PRINCETON,47670,IN,SHANNON GRAVES,(812)385-0794,(812)385-3612,16-004130-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-105,SAINT ANNE HOME,1900 RANDALLIA DR,,FORT WAYNE,46805,IN,DAVID DEFFENBAUGH,(260)484-5555,(260)482-8929,17-000240-1,8/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-106,SANCTUARY AT ST PAUL'S,3602 S IRONWOOD DR,,SOUTH BEND,46614,IN,SHARI BINKLEY,(574)284-9000,(574)291-0858,17-000104-2,7/31/2018,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-107,SILVER OAKS HEALTH CAMPUS,2011 CHAPA STREET,,COLUMBUS,47203,IN,DAVID ASHBAUGH,(812)373-0787,(812)373-0792,16-002955-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-108,SOUTHFIELD VILLAGE,6450 MIAMI CIR,,SOUTH BEND,46614,IN,JOSEPH DORAN,(574)231-1000,(574)231-5566,16-002662-1,10/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-109,SPRENGER HEALTH CARE OF MISHAWAKA,60257 BODNAR BLVD,,MISHAWAKA,46544,IN,KEVIN KAUFFMAN,(574)222-1234,(574)222-1235,17-013017-1,12/31/2017,US,Nursing Home
USA-IN-86-IN-ResidentialCare(NF)-output-110,SPRING MILL HEALTH CAMPUS,101 W 87TH AVE,,MERRILLVILLE,46410,IN,MUHAMMAD MIRZA,(219)756-0744,(219)756-0745,17-010739-2,6/30/2018,US,Nursing Home
