row_id,Facility Name,Address1,Address2,City,Zip,State,County,Contact Phone,Mailing Address1,Mailing Address2,Mailing City,Mailing Zip,Mailing State,Mailing County,Website,Space,Source,Country,facility_type
USA-FL-61-FL-HealthFinder-output-14,COVE MANOR RETIREMENT,521 EAST BEACH DRIVE,,PANAMA CITY,32401,FL,Bay,(850) 763-3655,521 E BEACH DR,,PANAMA CITY,32401,FL,Bay,,35,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1041,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-15,SOUTHERN LIVING FOR SENIORS,765 NE DELPHINIUM DRIVE,,MADISON,32340,FL,Madison,(850) 973-6892,765 NE DELPHINIUM DRIVE,,MADISON,32340,FL,Madison,,30,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1044,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-16,LISENBY ON LAKE CAROLINE,1400 WEST ELEVENTH STREET,,PANAMA CITY,32401,FL,Bay,(850) 785-6121,1890 STATE ROAD 436,STE 300,WINTER PARK,32792-2285,FL,Seminole,http://www.lisenbyretirement.com,78,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1045,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-17,GARDEN VIEW ALF,526 N. MARY ELLA AVE.,,PANAMA CITY,32404,FL,Bay,(850) 871-1611,526 N. MARY ELLA AVE.,,PANAMA CITY,32404,FL,Bay,,40,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1047,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-18,BAYSHORE MANOR,5200 COLLEGE ROAD,,KEY WEST,33040,FL,Monroe,(305) 294-4966,5200 COLLEGE ROAD,,KEY WEST,33040,FL,Monroe,http://www.monroecounty-fl.gov,16,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1050,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-19,BEL-AIR HOUSE,5550 RIVER ROAD,,NEW PORT RICHEY,34652,FL,Pasco,(727) 845-1100,15836 LYLE CIRCLE,,HUDSON,34667,FL,Pasco,,11,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1059,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-20,HOLMES CREEK ASSISTED LIVING FACILITY INC.,3732 ROCHE AVENUE,,VERNON,32462,FL,Washington,(850) 535-1160,P.O. BOX 390,,VERNON,32462,FL,Washington,,42,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1062,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-21,NANCY LEE'S MANOR,3461 64TH STREET NORTH,,SAINT PETERSBURG,33710,FL,Pinellas,(727) 347-2979,3461 64TH STREET NORTH,,SAINT PETERSBURG,33710,FL,Pinellas,,6,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1066,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-22,PEMBROOK PLACE II INC.,1623 ROBINHOOD LANE,,CLEARWATER,33764,FL,Pinellas,(727) 539-6872,1623 ROBINHOOD LANE,,CLEARWATER,33764,FL,Pinellas,,12,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1068,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-23,HERITAGE HOUSE RETIREMENT HOME,1810 S BELCHER RD,,CLEARWATER,33764-6602,FL,Pinellas,(727) 531-2236,1810 S BELCHER RD,,CLEARWATER,33764-6602,FL,Pinellas,http://www.heritagehouseassistedliving.com,24,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1076,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-24,NEW HORIZON SENIOR CITIZEN HOME,1745 FOREST DRIVE,,INVERNESS,34453,FL,Citrus,(352) 726-5466,1745 FOREST DRIVE,,INVERNESS,34453,FL,Citrus,http://www.newhorizonretirementcommunities.com,68,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1077,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-25,SOMERSET,2450 DORA AVENUE,,TAVARES,32778,FL,Lake,(352) 343-4464,2450 DORA AVENUE,,TAVARES,32778,FL,Lake,,60,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1078,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-26,FINNISH-AMERICAN VILLAGE,1800 SOUTH DR,,LAKE WORTH,33461-6133,FL,Palm Beach,(561) 588-4333,1800 SOUTH DR,,LAKE WORTH,33461-6133,FL,Palm Beach,,120,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1081,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-27,FLORIDA BAPTIST RETIREMENT CENTER,1006 33RD STREET,,VERO BEACH,32960,FL,Indian River,(772) 567-5248,1006 33RD STREET,,VERO BEACH,32960,FL,Indian River,http://fbrcvero.org,17,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1082,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-28,MRM BOARDING HOME,6035 72ND AVE N,,PINELLAS PARK,33781-4143,FL,Pinellas,(727) 546-4739,6035 72ND AVE N,,PINELLAS PARK,33781-4143,FL,Pinellas,,8,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1084,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-29,MASONIC HOME OF FLORIDA,3201 1ST ST NE,,ST PETERSBURG,33704-2205,FL,Pinellas,(727) 822-3499,3201 1ST ST NE,,ST PETERSBURG,33704-2205,FL,Pinellas,http://www.masonichomefl.com,102,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1085,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-30,"APOLLO GARDENS RETIREMENT RESIDENCE CARE, INC.",2718 JOHNSON ST,,HOLLYWOOD,33020-3824,FL,Broward,(954) 923-5553,2718 JOHNSON ST,,HOLLYWOOD,33020-3824,FL,Broward,,57,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1089,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-31,"BROWARD HOUSE, INC.",417 SE 18TH CT,,FT LAUDERDALE,33316-2831,FL,Broward,(954) 468-1290,1726 SE 3RD AVE,,FT LAUDERDALE,33316-2514,FL,Broward,http://www.browardhouse.org,60,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1096,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-32,COVENANT VILLAGE OF FLORIDA,9211 WEST BROWARD BLVD,,PLANTATION,33324,FL,Broward,(954) 916-6479,9215 W BROWARD BLVD,STE 100,PLANTATION,33324-2407,FL,Broward,http://https://www.covenantflorida.org/assisted-living-plantation-florida,55,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1097,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-33,2065INC FORT LAUDERDALE RETIREMENT HOME ANNEX,420 SE 12TH COURT,,FORT LAUDERDALE,33316,FL,Broward,(954) 524-3312,420 SE 12TH COURT,,FORT LAUDERDALE,33316,FL,Broward,,28,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1102,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-34,FORT LAUDERDALE RETIREMENT HOME,401 SE 12TH COURT,,FORT LAUDERDALE,33316,FL,Broward,(954) 524-3312,401 SE 12TH COURT,,FORT LAUDERDALE,33316,FL,Broward,,81,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1103,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-35,PACIFICA SENIOR LIVING FOREST TRACE,5500 NW 69TH AVENUE,,LAUDERHILL,33319,FL,Broward,(954) 572-4700,5500 NW 69TH AVENUE,,LAUDERHILL,33319,FL,Broward,http://www.pacificaforesttrace.com,96,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1104,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-36,INDEPENDENCE HALL,1639 NE 26TH STREET,,WILTON MANORS,33305,FL,Broward,(954) 563-6232,1639 NE 26TH STREET,,WILTON MANORS,33305,FL,Broward,http://www.marrinson.com,125,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1111,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-37,FIVE STAR PREMIER RESIDENCES OF PLANTATION,8600 WEST SUNRISE BLVD,,PLANTATION,33322,FL,Broward,(954) 476-9500,400 CENTRE STREET,,NEWTON,2458,MA,Not Available,,70,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1112,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-38,"JOHN KNOX VILLAGE OF FLORIDA, INC.",840 LAKESIDE CIR,,POMPANO BEACH,33060-3720,FL,Broward,(954) 783-4050,840 LAKESIDE CIR,,POMPANO BEACH,33060-3720,FL,Broward,http://www.johnknoxvillage.com,64,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1114,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-39,LINCOLN MANOR,2144 LINCOLN STREET,,HOLLYWOOD,33022,FL,Broward,(954) 922-1995,P.O. BOX 221650,,HOLLYWOOD,33022,FL,Broward,,56,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1116,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-40,WILLOW BAY SENIOR RESORT,4001 WEST HILLSBORO BLVD.,,DEERFIELD BEACH,33442,FL,Broward,(954) 426-9700,4001 WEST HILLSBORO BLVD.,,DEERFIELD BEACH,33442,FL,Broward,http://www.willowbayalf.com,130,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1117,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-41,"MARGATE MANOR, INC.",1189 W RIVER DR,,MARGATE,33063-3578,FL,Broward,(954) 972-0200,1189 W RIVER DR,,MARGATE,33063-3578,FL,Broward,http://www.marrinson.com,64,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1120,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-42,HORIZON ALF,1490 NW 21ST ST,,FT LAUDERDALE,33311-3522,FL,Broward,(954) 523-1543,1490 NW 21ST ST,,FT LAUDERDALE,33311-3522,FL,Broward,,47,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1121,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-43,MERRIMENT MANOR RETIREMENT HOME,1835 WILSON STREET,,HOLLYWOOD,33020,FL,Broward,(954) 921-4059,1835 WILSON STREET,,HOLLYWOOD,33020,FL,Broward,,50,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1123,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-44,MIDTOWN MANOR,2001 POLK STREET,,HOLLYWOOD,33020,FL,Broward,(954) 927-2001,2001 POLK STREET,,HOLLYWOOD,33020,FL,Broward,http://www.majesticcare.org,105,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1124,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-45,NORTH LAKE RETIREMENT HOME INC,1222 NORTH 16TH AVENUE,,HOLLYWOOD,33020,FL,Broward,(954) 922-2643,1222 NORTH 16TH AVENUE,,HOLLYWOOD,33020,FL,Broward,,114,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1127,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-46,COLONY CLUB ALF (THE),3799 PINE ISLAND ROAD,,SUNRISE,33351,FL,Broward,(954) 748-0509,3799 PINE ISLAND ROAD,,SUNRISE,33351,FL,Broward,http://www.thecolonyclubsunrise.com,110,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1128,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-47,LAUDERHILL MANOR LLC,2801 NW 55TH AVENUE,,LAUDERHILL,33313,FL,Broward,(954) 484-1960,2801 NW 55TH AVENUE,,LAUDERHILL,33313,FL,Broward,,105,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1129,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-48,"ST JOSEPH RESIDENCE, INC.",3485 NW 30TH STREET,,LAUDERDALE LAKES,33311,FL,Broward,(954) 739-1483,3485 NW 30TH STREET,,LAUDERDALE LAKES,33311,FL,Broward,http://www.catholichealthservices.org,90,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1133,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-49,GOLDEN AGE MANOR ALF,1110 SW 40TH AVE,,PLANTATION,33317-4527,FL,Broward,(954) 583-3321,1110 SW 40TH AVE,,PLANTATION,33317-4527,FL,Broward,,29,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1134,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-50,"V I P CARE PAVILION, LTD.",6810 SW 7TH STREET,,MARGATE,33068,FL,Broward,(954) 971-2286,6810 SW 7TH STREET,,MARGATE,33068,FL,Broward,http://vipmemorycare.com,111,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1135,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-51,"AVALON PARK RETIREMENT RESIDENCE, INC.",604 NORTH 62ND AVENUE,,HOLLYWOOD,33024,FL,Broward,(954) 981-4822,604 NORTH 62ND AVENUE,,HOLLYWOOD,33024,FL,Broward,,60,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1138,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-52,WILLIAMSBURG LANDING,1776 NE 26TH ST,,WILTON MANORS,33305-1429,FL,Broward,(954) 566-1775,1776 NE 26TH ST,,WILTON MANORS,33305-1429,FL,Broward,http://www.marrinson.com,100,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1141,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-53,WINDSOR PLACE RETIREMENT HOME,1850 NE 26TH STREET,,WILTON MANORS,33305,FL,Broward,(954) 565-5858,1850 NE 26TH STREET,,WILTON MANORS,33305,FL,Broward,,80,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1143,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-54,WIRICK (THE),434 4TH ST N,,ST PETERSBURG,33701-2804,FL,Pinellas,(727) 823-2139,434 4TH ST N,,ST PETERSBURG,33701-2804,FL,Pinellas,http://www.thewirick.com,41,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1145,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-55,ATRIA WINDSOR WOODS,13707 DALLAS DRIVE,,HUDSON,34667-7114,FL,Pasco,(727) 869-3533,300 E MARKET ST STE 100,,LOUISVILLE,40202-1959,KY,Not Available,http://www.atriawindsorwoods.com,210,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1146,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-56,WINDSOR HOUSE,411 HAMILTON CRES,,CLEARWATER,33756-5330,FL,Pinellas,(727) 230-9637,411 HAMILTON CRES,,CLEARWATER,33756-5330,FL,Pinellas,,25,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1147,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-57,UNION HOUSE,1930 UNION ST,,CLEARWATER,33763-2249,FL,Pinellas,(727) 734-0594,1930 UNION ST,,CLEARWATER,33763-2249,FL,Pinellas,,14,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1149,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-58,TOUCHED BY FAITH INC,2600 4TH ST S,,ST PETERSBURG,33705-3128,FL,Pinellas,(813) 380-9843,2600 4TH ST S,,ST PETERSBURG,33705-3128,FL,Pinellas,,12,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1151,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-59,GRAND VILLA OF DUNEDIN,880 PATRICIA AVENUE,,DUNEDIN,34698,FL,Pinellas,(727) 734-4696,13770 58TH STREET NORTH STE 312,,CLEARWATER,33760,FL,Pinellas,,120,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1152,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-60,TWIN OAKS ALF,2143 NE COACHMAN RD,,CLEARWATER,33765-2633,FL,Pinellas,(727) 442-2971,PO BOX 8071,,CLEARWATER,33758-8071,FL,Pinellas,,7,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1154,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-61,TYRONE MANOR,2192 74TH STREET,NORTH,SAINT PETERSBURG,33710,FL,Pinellas,(727) 914-4592,2192 74TH STREET,NORTH,SAINT PETERSBURG,33710,FL,Pinellas,http://stpetealf.com,6,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1155,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-62,ST MARK VILLAGE INC,2655 NEBRASKA AVE,,PALM HARBOR,34684,FL,Pinellas,(727) 785-2577 ext: 2000,2655 NEBRASKA AVE,,PALM HARBOR,34684,FL,Pinellas,http://www.stmarkvillage.org,88,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1156,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-63,ST MARK ASSISTED LIVING CENTER,880 HIGHLANDS BLVD,,PALM HARBOR,34684-2827,FL,Pinellas,(727) 785-2577 ext: 3003,880 HIGHLANDS BLVD,,PALM HARBOR,34684-2827,FL,Pinellas,http://www.stmarkvillage.org,75,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1157,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-64,"WESTMINSTER SHORES, INC.",125 56TH AVENUE,SOUTH,SAINT PETERSBURG,33705,FL,Pinellas,(727) 867-2131,125 56TH AVENUE,SOUTH,SAINT PETERSBURG,33705,FL,Pinellas,http://www.westminsterretirement.com,103,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1158,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-65,SUMMIT AT NEW PORT RICHEY,5539 CHARLES ST,,NEW PRT RCHY,34652-3705,FL,Pasco,(727) 848-4459,299 PARK AVE STE 613,,NEW YORK,10171-0002,NY,Not Available,http://www.Pslgroupllc.com,100,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1161,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-66,SHARONDALE (THE),1743 SHARONDALE DRIVE,,CLEARWATER,33755,FL,Pinellas,(727) 461-5907,1743 SHARONDALE DRIVE,,CLEARWATER,33755,FL,Pinellas,,6,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1163,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-67,WESTMINSTER SUNCOAST,1095 PINELLAS POINT DR S,,SAINT PETERSBURG,33705,FL,Pinellas,(727) 867-1131,1095 PINELLAS POINT DR S,,SAINT PETERSBURG,33705,FL,Pinellas,http://westministerretirement.com,60,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1167,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-68,SUNSET VILLA RETIREMENT HOME,2308 AMERICUS DR,,CLEARWATER,33763-4503,FL,Pinellas,(727) 799-6595,2308 AMERICUS DRIVE,,CLEARWATER,33763,FL,Pinellas,,8,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1168,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-69,"SUNSHINE CHRISTIAN HOMES, INC.",5250 WHIPPOORWILL DRIVE,,HOLIDAY,34690,FL,Pasco,(727) 934-8052 ext: 214,5250 WHIPPOORWILL DRIVE,,HOLIDAY,34690,FL,Pasco,http://www.sunshinechristianhomes.org/,108,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1169,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-70,CARING ANGELS,6405 40TH AVENUE,NORTH,SAINT PETERSBURG,33709,FL,Pinellas,(727) 384-4739,6405 40TH AVENUE,NORTH,SAINT PETERSBURG,33709,FL,Pinellas,http://none,10,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1170,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-71,BROOKDALE PINECREST,1150 8TH AV,S.W.,LARGO,33770,FL,Pinellas,(727) 581-8142,1150 8TH AV,S.W.,LARGO,33770,FL,Pinellas,http://www.brookdale.com,120,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1171,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-72,NORMANDY MANOR,1103 NORMANDY RD,,CLEARWATER,33764-4825,FL,Pinellas,(727) 797-9461,1654 MIDNIGHT PASS WAY,,CLEARWATER,33765,FL,Pinellas,,13,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1184,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-73,"OAKS OF CLEARWATER, THE",420 BAY AVENUE,,CLEARWATER,33756,FL,Pinellas,(727) 445-4700,420 BAY AVENUE,,CLEARWATER,33756,FL,Pinellas,http://www.theoaksofclearwater.com,175,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1189,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-74,OAK MANOR SENIOR LIVING COMMUNITY,3600 OAK MANOR LANE,,LARGO,33774,FL,Pinellas,(727) 581-9427,3600 OAK MANOR LANE,,LARGO,33774,FL,Pinellas,http://www.oakmanorliving.com,150,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1190,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-75,OAKWOOD EAST RETIREMENT CENTER,1210 EAST OAKWOOD,,TARPON SPRINGS,34689,FL,Pinellas,(727) 942-1411,1210 EAST OAKWOOD,,TARPON SPRINGS,34689,FL,Pinellas,,10,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1191,US,Assisted Living
USA-FL-61-FL-HealthFinder-output-76,DOGWOOD INNS ASSISTED LIVING FACILITY INC.,108 WAGNER ROAD,,BONIFAY,32425,FL,Holmes,(850) 547-3891,108 WAGNER ROAD,,BONIFAY,32425,FL,Holmes,,30,http://www.floridahealthfinder.gov/FacilityLocator/FacilityProfilePage.aspx?id=1192,US,Assisted Living
