name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country
ABBEVILLE HEALTHCARE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,206 MAIN STREET EAST,,,ABBEVILLE,,,GA,,31001,US
"AGAPE HEALTH & REHAB OF MOULTRIE, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,"101 COBBLESTONE TRACE, SE",,,MOULTRIE,,,GA,,31768,US
ALTAMAHA HEALTHCARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1311 WEST CHERRY STREET,,,JESUP,,,GA,,31545,US
AMARA HEALTH CARE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2021 SCOTT ROAD,,,AUGUSTA,,,GA,,30906,US
ANDERSON MILL HEALTH AND REHABILITATION CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2130 ANDERSON MILL RD,,,AUSTELL,,,GA,,30106,US
ANSLEY PARK HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,450 NEWNAN LAKES BLVD,,,NEWNAN,,,GA,,30263,US
APPLING NURSING AND REHABILITATION PAVILION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,163 EAST TOLLISON STREET,,,BAXLEY,,,GA,,31513,US
ARROWHEAD HEALTH AND REHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,239 ARROWHEAD BOULEVARD,,,JONESBORO,,,GA,,30236,US
AUTUMN BREEZE HEALTH CARE CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1480 SANDTOWN ROAD,,,MARIETTA,,,GA,,30008,US
AVALON HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,120 SPRING STREET,,,NEWNAN,,,GA,,30263,US
AZALEA HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,300 CEDAR ROAD,,,METTER,,,GA,,30439,US
AZALEA TRACE NURSING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,910 TALBOTTON RD,,,COLUMBUS,,,GA,,31904,US
AZALEALAND NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2040 COLONIAL DRIVE,,,SAVANNAH,,,GA,,31406,US
BAINBRIDGE HEALTH AND REHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1155  WEST COLLEGE STREET,,,BAINBRIDGE,,,GA,,39819,US
"BAPTIST VILLAGE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2650 CARSWELL AVE,,,WAYCROSS,,,GA,,31502,US
BAYVIEW NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,12884 CLEVELAND STREET WEST,,,NAHUNTA,,,GA,,31553,US
"BELL MINOR HOME, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2200 OLD HAMILTON PLACE NE,,,GAINESVILLE,,,GA,,30507,US
BERRIEN NURSING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,405 LAUREL AVE.,,,NASHVILLE,,,GA,,31639,US
BOLINGREEN HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,529 BOLINGREEN DRIVE,,,MACON,,,GA,,31210,US
BONTERRA NURSING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2801 FELTON DRIVE,,,EAST POINT,,,GA,,30344,US
BOSWELL-PARKER HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1211 SILOAM ROAD,,,GREENSBORO,,,GA,,30642,US
BRANDON WILDE PAVILION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,4275 OWENS ROAD,,,EVANS,,,GA,,30809,US
BRENTWOOD HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,115 BRENTWOOD DRIVE,,,WAYNESBORO,,,GA,,30830,US
BRIAN CENTER HEALTH & REHABILITATION/CANTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,150 HOSPITAL CIRCLE N.W.,,,CANTON,,,GA,,30114,US
BRIARCLIFF HAVEN HEALTHCARE AND REHAB CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1000 BRIARCLIFF ROAD,,,ATLANTA,,,GA,,30306,US
"BRIGHTMOOR HEALTH CARE, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3235 NEWMAN ROAD,,,GRIFFIN,,,GA,,30224,US
BROWN'S HEALTH & REHAB CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,226 SOUTH COLLEGE STREET,,,STATESBORO,,,GA,,30458,US
BRYAN COUNTY HLTH & REHAB CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,127 CARTER ST,,,RICHMOND HILL,,,GA,,31324,US
BRYANT HEALTH AND REHABILITATION CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,601 SIXTH STREET,,,COCHRAN,,,GA,,31014,US
BUDD TERRACE AT WESLEY WOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,"1833 CLIFTON ROAD, NE",,,ATLANTA,,,GA,,30329,US
"CALHOUN HEALTH CARE CTR, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1387 HIGHWAY 41 NORTH,,,CALHOUN,,,GA,,30701,US
CALHOUN NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,265 TURNER STREET,,,EDISON,,,GA,,39846,US
CAMELLIA GARDENS OF LIFE CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,804 SOUTH BROAD STREET BOX 1959,,,THOMASVILLE,,,GA,,31792,US
CAMELLIA HEALTH & REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,700 EAST LONG STREET,,,CLAXTON,,,GA,,30417,US
CANDLER SKILLED NURSING UNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,5353 REYNOLDS STREET,,,SAVANNAH,,,GA,,31405,US
CANTERBURY COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3750 PEACHTREE ROAD NE,,,ATLANTA,,,GA,,30319,US
CANTON NURSING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,321 HOSPITAL ROAD,,,CANTON,,,GA,,30114,US
CARLYLE PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,5300 ZEBULON ROAD,,,MACON,,,GA,,31210,US
"CARROLLTON MANOR, INCORPORATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2455 OAK GROVE CHURCH ROAD,,,CARROLLTON,,,GA,,30117,US
CARROLLTON NURSING & REHAB CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2327 NORTH HIGHWAY 27,,,CARROLLTON,,,GA,,30117,US
CARTERSVILLE HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,78 OPAL STREET,,,CARTERSVILLE,,,GA,,30120,US
CEDAR SPRINGS HEALTH AND REHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,148 CASON ROAD,,,CEDARTOWN,,,GA,,30125,US
CEDAR VALLEY NSG & REHAB CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,225 PHILPOT STREET,,,CEDARTOWN,,,GA,,30125,US
CHAPLINWOOD NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,325 ALLEN MEMORIAL DRIVE SW,,,MILLEDGEVILLE,,,GA,,31061,US
CHATSWORTH HEALTH CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,102 HOSPITAL DRIVE,,,CHATSWORTH,,,GA,,30705,US
CHATUGE REGIONAL NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,386 BELAIRE DRIVE,,,HIAWASSEE,,,GA,,30546,US
CHERRY BLOSSOM HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3520 KENNETH DRIVE,,,MACON,,,GA,,31206,US
CHESTNUT RIDGE NSG & REHAB CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,125 SAMARITAN DRIVE,,,CUMMING,,,GA,,30040,US
CHRISTIAN CITY REHABILITATION CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,7300 LESTER ROAD,,,UNION CITY,,,GA,,30291,US
CHULIO HILLS HEALTH AND REHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1170 CHULIO ROAD,,,ROME,,,GA,,30161,US
CHURCH HOME REHABILITATION AND HEALTHCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2470 HWY 41 N,,,FORT VALLEY,,,GA,,31030,US
CLINCH HEALTHCARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,390 SWEAT STREET,,,HOMERVILLE,,,GA,,31634,US
COASTAL MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,128 COASTAL MANOR DRIVE SE,,,LUDOWICI,,,GA,,31316,US
COBB HEALTH CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2430 PAOLI ROAD,,,COMER,,,GA,,30629,US
COLLEGE PARK HEALTH CARE CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1765 TEMPLE AVENUE,,,COLLEGE PARK,,,GA,,30337,US
COOK SENIOR LIVING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,706 NORTH PARRISH AVE .,,,ADEL,,,GA,,31620,US
CORDELE HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1106 NORTH 4TH STREET,,,CORDELE,,,GA,,31015,US
COUNTRYSIDE HEALTH CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,233 CARROLLTON  STREET,,,BUCHANAN,,,GA,,30113,US
CRISP REGIONAL NSG & REHAB CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,902 BLACKSHEAR ROAD,,,CORDELE,,,GA,,31015,US
CROSSVIEW CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,402 E. BAY ST,,,PINEVIEW,,,GA,,31071,US
CUMMING NURSING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,2775 CASTLEBERRY ROAD,,,CUMMING,,,GA,,30041,US
"D SCOTT HUDGENS CENTER FOR SKILLED NURSING, THE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3500 ANNANDALE LANE,,,SUWANEE,,,GA,,30024,US
DADE HEALTH AND REHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1234 HIGHWAY 301 SOUTH,,,TRENTON,,,GA,,30752,US
DAWSON HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,1159 GEORGIA  AVE. S.E.,,,DAWSON,,,GA,,39842,US
DELMAR GARDENS OF GWINNETT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3100 CLUB DRIVE,,,LAWRENCEVILLE,,,GA,,30044,US
DELMAR GARDENS OF SMYRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,404 KING SPRINGS VILLAGE PKWY,,,SMYRNA,,,GA,,30082,US
DOUGLASVILLE NURSING AND REHABILITATION CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,4028 HWY 5,,,DOUGLASVILLE,,,GA,,30135,US
DUBLINAIR HEALTH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,300 INDUSTRIAL BLVD,,,DUBLIN,,,GA,,31040,US
EAGLE HEALTH & REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,405 S COLLEGE ST,,,STATESBORO,,,GA,,30458,US
EARLY MEMORIAL NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,11740 COLUMBIA ROAD,,,BLAKELY,,,GA,,39823,US
EAST LAKE ARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,304  FIFTH  AVENUE,,,DECATUR,,,GA,,30030,US
EASTMAN HEALTHCARE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,556 CHESTER HIGHWAY,,,EASTMAN,,,GA,,31023,US
EASTVIEW NURSING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3020 JEFFERSONVILLE ROAD,,,MACON,,,GA,,31217,US
EATONTON HEALTH AND REHABILITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,125 SPARTA HIGHWAY 16 EAST,,,EATONTON,,,GA,,31024,US
EFFINGHAM CO EXTENDED CARE FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,459 HIGHWAY 119 S,,,SPRINGFIELD,,,GA,,31329,US
ELBERTA HEALTH CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,419 ELBERTA ROAD,,,WARNER ROBINS,,,GA,,31093,US
EMANUEL COUNTY NURSING HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,117 KITE ROAD,,,SWAINSBORO,,,GA,,30401,US
ETOWAH LANDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,809 SOUTH BROAD ST,,,ROME,,,GA,,30161,US
EVERGREEN HEALTH & REHABILITATION CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,"139 MORAN LAKE ROAD, NE",,,ROME,,,GA,,30161,US
"FAIRBURN HEALTH CARE CTR, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,178 WEST CAMPBELLTON STREET,,,FAIRBURN,,,GA,,30213,US
FAMILY LIFE ENRICHMENT CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,3450 NEW HIGH SHOALS RD,,,HIGH SHOALS,,,GA,,30645,US
FIFTH AVENUE HEALTH CARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,505 NORTH FIFTH  AVENUE,,,ROME,,,GA,,30165,US
FLORENCE HAND HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,200 MEDICAL DRIVE,,,LAGRANGE,,,GA,,30240,US
FOLKSTON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,36261 NORTH OKEFENOKEE DRIVE,,,FOLKSTON,,,GA,,31537,US
FORT GAINES HEALTH AND REHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Home,,,,,"101 HARTFORD ROAD, WEST",,,FORT GAINES,,,GA,,39851,US
