row_id,Facility Name,Address,City,Zip Code,Beds,Type
USA-GA-79-GA-All-output-31,PEREGRINE'S LANDING AT PEACHTREE CREEK,4375 BEECH HAVEN TRAIL SE,SMYRNA,30080,64,Assisted Living Community
USA-GA-79-GA-All-output-32,RENAISSANCE ON PEACHTREE,3755 PEACHTREE RD NE,ATLANTA,30319,63,Assisted Living Community
USA-GA-79-GA-All-output-33,SOMERBY OF ALPHARETTA,100 SOMERBY DRIVE,ALPHARETTA,30009,106,Assisted Living Community
USA-GA-79-GA-All-output-34,SOUTHERN CARE ASSISTED LIVING,1934 WHIDDON MILL ROAD,TIFTON,31794,26,Assisted Living Community
USA-GA-79-GA-All-output-35,ST MARYS HIGHLAND HILLS VILLAGE,1660 JENNINGS ROAD,BOGART,30622,59,Assisted Living Community
USA-GA-79-GA-All-output-36,STERLING ESTATES SENIOR LIVING COMMUNITY,4220 LOWER ROSWELL ROAD,MARIETTA,30067,110,Assisted Living Community
USA-GA-79-GA-All-output-37,SUMMERSET,3711 BENJAMIN E MAYS DRIVE SW,ATLANTA,30331,180,Assisted Living Community
USA-GA-79-GA-All-output-38,SUNRISE AT HUNTCLIFF SUMMIT,8480 ROSWELL ROAD,ATLANTA,30350,94,Assisted Living Community
USA-GA-79-GA-All-output-39,SUNRISE AT WEBB GIN,1375 WEBB GIN HOUSE ROAD,LAWRENCEVILLE,30045,100,Assisted Living Community
USA-GA-79-GA-All-output-40,SUNRISE OF DECATUR,920 CLAIRMONT AVENUE,DECATUR,30030,100,Assisted Living Community
USA-GA-79-GA-All-output-41,SUNRISE OF EAST COBB,1551 JOHNSON FERRY ROAD NE,MARIETTA,30062,100,Assisted Living Community
USA-GA-79-GA-All-output-42,SUNRISE OF IVEY RIDGE,2950 OLD ALABAMA ROAD,ALPHARETTA,30022,119,Assisted Living Community
USA-GA-79-GA-All-output-43,SUNRISE OF JOHNS CREEK,11405 MEDLOCK BRIDGE ROAD,JOHNS CREEK,30097,95,Assisted Living Community
USA-GA-79-GA-All-output-44,THOMAS KELLY SENIOR LIVING COMMUNITY,4083 BUSINESS HWY 27,BUCHANAN,30113,60,Assisted Living Community
USA-GA-79-GA-All-output-45,WOODLAND RIDGE SENIOR LIVING,4005 SOUTH COBB DRIVE,SMYRNA,30080,96,Assisted Living Community
USA-GA-79-GA-All-output-46,A.G. RHODES HOME WESLEY WOODS,"1819 CLIFTON ROAD, N.E.",ATLANTA,30329,150,Nursing Home
USA-GA-79-GA-All-output-47,"A.G. RHODES HOME, INC - COBB",900 WYLIE ROAD,MARIETTA,30067,130,Nursing Home
USA-GA-79-GA-All-output-48,"A.G. RHODES HOME, INC, THE","350 BOULVARD, S.E.",ATLANTA,30312,138,Nursing Home
USA-GA-79-GA-All-output-49,ABBEVILLE HEALTHCARE ,206 MAIN STREET EAST,ABBEVILLE,31001,101,Nursing Home
USA-GA-79-GA-All-output-50,"AGAPE HEALTH & REHAB OF MOULTRIE, LLC","101 COBBLESTONE TRACE, SE",MOULTRIE,31768,59,Nursing Home
USA-GA-79-GA-All-output-51,ALTAMAHA HEALTHCARE CENTER,1311 WEST CHERRY STREET,JESUP,31545,62,Nursing Home
USA-GA-79-GA-All-output-52,AMARA HEALTH CARE ,2021 SCOTT ROAD,AUGUSTA,30906,213,Nursing Home
USA-GA-79-GA-All-output-53,ANDERSON MILL HEALTH AND REHABILITATION CENTER,2130 ANDERSON MILL RD,AUSTELL,30106,170,Nursing Home
USA-GA-79-GA-All-output-54,ANSLEY PARK HEALTH AND REHABILITATION,450 NEWNAN LAKES BLVD,NEWNAN,30263,66,Nursing Home
USA-GA-79-GA-All-output-55,APPLING NURSING AND REHABILITATION PAVILION,163 EAST TOLLISON STREET,BAXLEY,31513,101,Nursing Home
USA-GA-79-GA-All-output-56,ARROWHEAD HEALTH AND REHAB,239 ARROWHEAD BOULEVARD,JONESBORO,30236,115,Nursing Home
USA-GA-79-GA-All-output-57,AUTUMN BREEZE HEALTH CARE CTR,1480 SANDTOWN ROAD,MARIETTA,30008,109,Nursing Home
USA-GA-79-GA-All-output-58,AVALON HEALTH AND REHABILITATION,120 SPRING STREET,NEWNAN,30263,117,Nursing Home
USA-GA-79-GA-All-output-59,AZALEA HEALTH AND REHABILITATION,300 CEDAR ROAD,METTER,30439,89,Nursing Home
USA-GA-79-GA-All-output-60,AZALEA TRACE NURSING CENTER,910 TALBOTTON RD,COLUMBUS,31904,110,Nursing Home
USA-GA-79-GA-All-output-61,AZALEALAND NURSING HOME,2040 COLONIAL DRIVE,SAVANNAH,31406,107,Nursing Home
USA-GA-79-GA-All-output-62,BAINBRIDGE HEALTH AND REHAB,1155  WEST COLLEGE STREET,BAINBRIDGE,39819,100,Nursing Home
USA-GA-79-GA-All-output-63,"BAPTIST VILLAGE, INC.",2650 CARSWELL AVE,WAYCROSS,31502,254,Nursing Home
USA-GA-79-GA-All-output-64,BAYVIEW NURSING HOME,12884 CLEVELAND STREET WEST,NAHUNTA,31553,63,Nursing Home
USA-GA-79-GA-All-output-65,"BELL MINOR HOME, THE",2200 OLD HAMILTON PLACE NE,GAINESVILLE,30507,104,Nursing Home
USA-GA-79-GA-All-output-66,BERRIEN NURSING CENTER,405 LAUREL AVE.,NASHVILLE,31639,108,Nursing Home
USA-GA-79-GA-All-output-67,BOLINGREEN HEALTH AND REHABILITATION,529 BOLINGREEN DRIVE,MACON,31210,121,Nursing Home
USA-GA-79-GA-All-output-68,BONTERRA NURSING CENTER,2801 FELTON DRIVE,EAST POINT,30344,118,Nursing Home
USA-GA-79-GA-All-output-69,BOSWELL-PARKER HEALTH AND REHABILITATION,1211 SILOAM ROAD,GREENSBORO,30642,29,Nursing Home
USA-GA-79-GA-All-output-70,BRANDON WILDE PAVILION,4275 OWENS ROAD,EVANS,30809,65,Nursing Home
USA-GA-79-GA-All-output-71,BRENTWOOD HEALTH AND REHABILITATION,115 BRENTWOOD DRIVE,WAYNESBORO,30830,103,Nursing Home
USA-GA-79-GA-All-output-72,BRIAN CENTER HEALTH & REHABILITATION/CANTON,150 HOSPITAL CIRCLE N.W.,CANTON,30114,100,Nursing Home
USA-GA-79-GA-All-output-73,BRIARCLIFF HAVEN HEALTHCARE AND REHAB CENTER,1000 BRIARCLIFF ROAD,ATLANTA,30306,128,Nursing Home
USA-GA-79-GA-All-output-74,"BRIGHTMOOR HEALTH CARE, INC",3235 NEWMAN ROAD,GRIFFIN,30224,133,Nursing Home
USA-GA-79-GA-All-output-75,BROWN'S HEALTH & REHAB CENTER,226 SOUTH COLLEGE STREET,STATESBORO,30458,63,Nursing Home
USA-GA-79-GA-All-output-76,BRYAN COUNTY HLTH & REHAB CTR,127 CARTER ST,RICHMOND HILL,31324,100,Nursing Home
USA-GA-79-GA-All-output-77,BRYANT HEALTH AND REHABILITATION CENTER,601 SIXTH STREET,COCHRAN,31014,75,Nursing Home
USA-GA-79-GA-All-output-78,BUDD TERRACE AT WESLEY WOODS,"1833 CLIFTON ROAD, NE",ATLANTA,30329,250,Nursing Home
USA-GA-79-GA-All-output-79,"CALHOUN HEALTH CARE CTR, INC",1387 HIGHWAY 41 NORTH,CALHOUN,30701,100,Nursing Home
USA-GA-79-GA-All-output-80,CALHOUN NURSING HOME,265 TURNER STREET,EDISON,39846,60,Nursing Home
USA-GA-79-GA-All-output-81,CAMELLIA GARDENS OF LIFE CARE,804 SOUTH BROAD STREET BOX 1959,THOMASVILLE,31792,83,Nursing Home
USA-GA-79-GA-All-output-82,CAMELLIA HEALTH & REHABILITATION,700 EAST LONG STREET,CLAXTON,30417,87,Nursing Home
USA-GA-79-GA-All-output-83,CANDLER SKILLED NURSING UNIT,5353 REYNOLDS STREET,SAVANNAH,31405,11,Nursing Home
USA-GA-79-GA-All-output-84,CANTERBURY COURT,3750 PEACHTREE ROAD NE,ATLANTA,30319,44,Nursing Home
USA-GA-79-GA-All-output-85,CANTON NURSING CENTER,321 HOSPITAL ROAD,CANTON,30114,100,Nursing Home
USA-GA-79-GA-All-output-86,CARLYLE PLACE,5300 ZEBULON ROAD,MACON,31210,40,Nursing Home
USA-GA-79-GA-All-output-87,"CARROLLTON MANOR, INCORPORATED",2455 OAK GROVE CHURCH ROAD,CARROLLTON,30117,100,Nursing Home
USA-GA-79-GA-All-output-88,CARROLLTON NURSING & REHAB CTR,2327 NORTH HIGHWAY 27,CARROLLTON,30117,159,Nursing Home
USA-GA-79-GA-All-output-89,CARTERSVILLE HEIGHTS,78 OPAL STREET,CARTERSVILLE,30120,118,Nursing Home
USA-GA-79-GA-All-output-90,CEDAR SPRINGS HEALTH AND REHAB,148 CASON ROAD,CEDARTOWN,30125,116,Nursing Home
USA-GA-79-GA-All-output-91,CEDAR VALLEY NSG & REHAB CTR,225 PHILPOT STREET,CEDARTOWN,30125,100,Nursing Home
USA-GA-79-GA-All-output-92,CHAPLINWOOD NURSING HOME,325 ALLEN MEMORIAL DRIVE SW,MILLEDGEVILLE,31061,100,Nursing Home
USA-GA-79-GA-All-output-93,CHATSWORTH HEALTH CARE CENTER,102 HOSPITAL DRIVE,CHATSWORTH,30705,120,Nursing Home
USA-GA-79-GA-All-output-94,CHATUGE REGIONAL NURSING HOME,386 BELAIRE DRIVE,HIAWASSEE,30546,112,Nursing Home
USA-GA-79-GA-All-output-95,CHERRY BLOSSOM HEALTH AND REHABILITATION,3520 KENNETH DRIVE,MACON,31206,82,Nursing Home
USA-GA-79-GA-All-output-96,CHESTNUT RIDGE NSG & REHAB CTR,125 SAMARITAN DRIVE,CUMMING,30040,150,Nursing Home
USA-GA-79-GA-All-output-97,CHRISTIAN CITY REHABILITATION CENTER,7300 LESTER ROAD,UNION CITY,30291,200,Nursing Home
USA-GA-79-GA-All-output-98,CHULIO HILLS HEALTH AND REHAB,1170 CHULIO ROAD,ROME,30161,100,Nursing Home
USA-GA-79-GA-All-output-99,CHURCH HOME REHABILITATION AND HEALTHCARE,2470 HWY 41 N,FORT VALLEY,31030,59,Nursing Home
USA-GA-79-GA-All-output-100,CLINCH HEALTHCARE CENTER,390 SWEAT STREET,HOMERVILLE,31634,92,Nursing Home
USA-GA-79-GA-All-output-101,COASTAL MANOR,128 COASTAL MANOR DRIVE SE,LUDOWICI,31316,108,Nursing Home
USA-GA-79-GA-All-output-102,COBB HEALTH CARE CENTER,2430 PAOLI ROAD,COMER,30629,116,Nursing Home
USA-GA-79-GA-All-output-103,COLLEGE PARK HEALTH CARE CTR,1765 TEMPLE AVENUE,COLLEGE PARK,30337,100,Nursing Home
USA-GA-79-GA-All-output-104,COOK SENIOR LIVING CENTER,706 NORTH PARRISH AVE .,ADEL,31620,95,Nursing Home
USA-GA-79-GA-All-output-105,CORDELE HEALTH AND REHABILITATION,1106 NORTH 4TH STREET,CORDELE,31015,100,Nursing Home
USA-GA-79-GA-All-output-106,COUNTRYSIDE HEALTH CENTER,233 CARROLLTON  STREET,BUCHANAN,30113,62,Nursing Home
USA-GA-79-GA-All-output-107,CRISP REGIONAL NSG & REHAB CTR,902 BLACKSHEAR ROAD,CORDELE,31015,143,Nursing Home
USA-GA-79-GA-All-output-108,CROSSVIEW CARE CENTER,402 E. BAY ST,PINEVIEW,31071,102,Nursing Home
USA-GA-79-GA-All-output-109,CUMMING NURSING CENTER,2775 CASTLEBERRY ROAD,CUMMING,30041,87,Nursing Home
USA-GA-79-GA-All-output-110,"D SCOTT HUDGENS CENTER FOR SKILLED NURSING, THE",3500 ANNANDALE LANE,SUWANEE,30024,32,Nursing Home
USA-GA-79-GA-All-output-111,DADE HEALTH AND REHAB,1234 HIGHWAY 301 SOUTH,TRENTON,30752,71,Nursing Home
USA-GA-79-GA-All-output-112,DAWSON HEALTH AND REHABILITATION,1159 GEORGIA  AVE. S.E.,DAWSON,39842,74,Nursing Home
USA-GA-79-GA-All-output-113,DELMAR GARDENS OF GWINNETT,3100 CLUB DRIVE,LAWRENCEVILLE,30044,67,Nursing Home
USA-GA-79-GA-All-output-114,DELMAR GARDENS OF SMYRNA,404 KING SPRINGS VILLAGE PKWY,SMYRNA,30082,120,Nursing Home
USA-GA-79-GA-All-output-115,DOUGLASVILLE NURSING AND REHABILITATION CENTER,4028 HWY 5,DOUGLASVILLE,30135,246,Nursing Home
USA-GA-79-GA-All-output-116,DUBLINAIR HEALTH ,300 INDUSTRIAL BLVD,DUBLIN,31040,149,Nursing Home
USA-GA-79-GA-All-output-117,EAGLE HEALTH & REHABILITATION,405 S COLLEGE ST,STATESBORO,30458,99,Nursing Home
USA-GA-79-GA-All-output-118,EARLY MEMORIAL NURSING HOME,11740 COLUMBIA ROAD,BLAKELY,39823,117,Nursing Home
USA-GA-79-GA-All-output-119,EAST LAKE ARBOR,304  FIFTH  AVENUE,DECATUR,30030,103,Nursing Home
USA-GA-79-GA-All-output-120,EASTMAN HEALTHCARE ,556 CHESTER HIGHWAY,EASTMAN,31023,100,Nursing Home
USA-GA-79-GA-All-output-121,EASTVIEW NURSING CENTER,3020 JEFFERSONVILLE ROAD,MACON,31217,92,Nursing Home
USA-GA-79-GA-All-output-122,EATONTON HEALTH AND REHABILITATION,125 SPARTA HIGHWAY 16 EAST,EATONTON,31024,104,Nursing Home
USA-GA-79-GA-All-output-123,EFFINGHAM CO EXTENDED CARE FAC,459 HIGHWAY 119 S,SPRINGFIELD,31329,105,Nursing Home
USA-GA-79-GA-All-output-124,ELBERTA HEALTH CARE,419 ELBERTA ROAD,WARNER ROBINS,31093,66,Nursing Home
USA-GA-79-GA-All-output-125,EMANUEL COUNTY NURSING HOME,117 KITE ROAD,SWAINSBORO,30401,49,Nursing Home
USA-GA-79-GA-All-output-126,ETOWAH LANDING,809 SOUTH BROAD ST,ROME,30161,100,Nursing Home
USA-GA-79-GA-All-output-127,EVERGREEN HEALTH & REHABILITATION CENTER,"139 MORAN LAKE ROAD, NE",ROME,30161,100,Nursing Home
USA-GA-79-GA-All-output-128,"FAIRBURN HEALTH CARE CTR, INC",178 WEST CAMPBELLTON STREET,FAIRBURN,30213,120,Nursing Home
USA-GA-79-GA-All-output-129,FAMILY LIFE ENRICHMENT CTR,3450 NEW HIGH SHOALS RD,HIGH SHOALS,30645,100,Nursing Home
USA-GA-79-GA-All-output-130,FIFTH AVENUE HEALTH CARE,505 NORTH FIFTH  AVENUE,ROME,30165,100,Nursing Home
USA-GA-79-GA-All-output-131,FLORENCE HAND HOME,200 MEDICAL DRIVE,LAGRANGE,30240,150,Nursing Home
USA-GA-79-GA-All-output-132,FOLKSTON PARK,36261 NORTH OKEFENOKEE DRIVE,FOLKSTON,31537,92,Nursing Home
USA-GA-79-GA-All-output-133,FORT GAINES HEALTH AND REHAB,"101 HARTFORD ROAD, WEST",FORT GAINES,39851,60,Nursing Home
USA-GA-79-GA-All-output-134,FORT VALLEY HEALTH AND REHAB,604 BLUEBIRD BOULEVARD,FORT VALLEY,31030,75,Nursing Home
USA-GA-79-GA-All-output-135,FOUNTAINVIEW CTR FOR ALZHEIMER,2631 NORTH DRUID HILLS ROAD N E,ATLANTA,30329,120,Nursing Home
USA-GA-79-GA-All-output-136,FOUR COUNTY HEALTH AND REHABILITATION,124 OVERBY DRIVE,RICHLAND,31825,85,Nursing Home
USA-GA-79-GA-All-output-137,FOX GLOVE CENTER,2850 SPRINGDALE ROAD SW,ATLANTA,30315,109,Nursing Home
USA-GA-79-GA-All-output-138,FRIENDSHIP HEALTH AND REHAB,161 FRIENDSHIP ROAD,CLEVELAND,30528,89,Nursing Home
USA-GA-79-GA-All-output-139,GATEWAY HEALTH AND REHAB,3201 WESTMORELAND ROAD,CLEVELAND,30528,60,Nursing Home
USA-GA-79-GA-All-output-140,GEORGIA REGIONAL ATLANTA LTC,"3073 PANTHERSVILLE RD, SNF BLDG. #17",DECATUR,30034,66,Nursing Home
USA-GA-79-GA-All-output-141,GEORGIA WAR VETERANS NSG HOME,1101 15TH STREET,AUGUSTA,30901,192,Nursing Home
USA-GA-79-GA-All-output-142,GIBSON HEALTH AND REHABILITATION,434 BEALL SPRINGS ROAD,GIBSON,30810,104,Nursing Home
USA-GA-79-GA-All-output-143,GILMER NURSING HOME,1362 SOUTH MAIN STREET,ELLIJAY,30540,100,Nursing Home
USA-GA-79-GA-All-output-144,GLENN-MOR NURSING HOME,10629  U.S. HIGHWAY 19 SOUTH,THOMASVILLE,31792,64,Nursing Home
USA-GA-79-GA-All-output-145,GLENVUE HEALTH AND REHABILITATION,721 NORTH VETERANS BLVD,GLENNVILLE,30427,160,Nursing Home
USA-GA-79-GA-All-output-146,GLENWOOD HEALTHCARE,303 NORTH 5TH AVENUE,GLENWOOD,30428,62,Nursing Home
USA-GA-79-GA-All-output-147,GOLD CITY CONVALESCENT CENTER,222 MOORE DRIVE,DAHLONEGA,30533,102,Nursing Home
USA-GA-79-GA-All-output-148,GOLDEN LIVINGCENTER - AUGUSTA,1600 ANTHONY ROAD,AUGUSTA,30907,99,Nursing Home
USA-GA-79-GA-All-output-149,GOLDEN LIVINGCENTER - BRIARWOOD,3888 LAVISTA ROAD,TUCKER,30084,100,Nursing Home
USA-GA-79-GA-All-output-150,GOLDEN LIVINGCENTER - DECATUR,2787 NORTH DECATUR ROAD,DECATUR,30033,73,Nursing Home
USA-GA-79-GA-All-output-151,GOLDEN LIVINGCENTER - DUNWOODY,"5470 MERIDIAN MARK ROAD, BLDG E",ATLANTA,30342,240,Nursing Home
USA-GA-79-GA-All-output-152,GOLDEN LIVINGCENTER - GLENWOOD,4115 GLENWOOD RD,DECATUR,30032,225,Nursing Home
USA-GA-79-GA-All-output-153,GOLDEN LIVINGCENTER - JESUP,1090 W ORANGE ST,JESUP,31545,90,Nursing Home
USA-GA-79-GA-All-output-154,GOLDEN LIVINGCENTER - KENNESTONE,613 ROSELANE STREET,MARIETTA,30064,137,Nursing Home
USA-GA-79-GA-All-output-155,GOLDEN LIVINGCENTER - ROME,1345 REDMOND ROAD,ROME,30165,100,Nursing Home
USA-GA-79-GA-All-output-156,GOLDEN LIVINGCENTER - THOMASTON,310 AVENUE F,THOMASTON,30286,119,Nursing Home
USA-GA-79-GA-All-output-157,GOLDEN LIVINGCENTER - THOMASVILLE,930 SOUTH BROAD ST.,THOMASVILLE,31792,68,Nursing Home
USA-GA-79-GA-All-output-158,GOLDEN LIVINGCENTER - TIFTON,1451 NEWTON DRIVE,TIFTON,31794,100,Nursing Home
USA-GA-79-GA-All-output-159,GOLDEN LIVINGCENTER - WINDERMERE,3618 J DEWEY GRAY CIRCLE,AUGUSTA,30909,120,Nursing Home
USA-GA-79-GA-All-output-160,GOODWILL HEALTH AND REHAB,4373 HOUSTON AVE.,MACON,31206,172,Nursing Home
USA-GA-79-GA-All-output-161,GORDON HEALTH AND REHABILITATION,1280 MAULDIN ROAD NE,CALHOUN,30703,117,Nursing Home
USA-GA-79-GA-All-output-162,GRACE HEALTHCARE OF TUCKER,2165 IDLEWOOD ROAD,TUCKER,30084,136,Nursing Home
USA-GA-79-GA-All-output-163,GRACEMORE NURSING AND REHAB,2708 LEE STREET,BRUNSWICK,31520,60,Nursing Home
USA-GA-79-GA-All-output-164,GRACEWOOD NSG FACILITY(UNIT 9),"100 MYRTLE BLVD., EAST CENTRAL REG HOSP",GRACEWOOD,30812,56,Nursing Home
USA-GA-79-GA-All-output-165,GRANDVIEW HEALTH CARE CENTER,618 GENNETT DRIVE,JASPER,30143,60,Nursing Home
USA-GA-79-GA-All-output-166,GRAY HEALTH AND REHABILITATION,156 DOLLY STREET,GRAY,31032,58,Nursing Home
USA-GA-79-GA-All-output-167,GREEN ACRES HEALTH AND REHABILITATION,"313 ALLEN MEMORIAL DRIVE,SW",MILLEDGEVILLE,31061,98,Nursing Home
USA-GA-79-GA-All-output-168,GREENE POINT HEALTH AND REHABILITATION,1321 WASHINGTON HIGHWAY,UNION POINT,30669,71,Nursing Home
USA-GA-79-GA-All-output-169,GWINNETT EXTENDED CARE CENTER,650 PROFESSIONAL DRIVE,LAWRENCEVILLE,30046,89,Nursing Home
USA-GA-79-GA-All-output-170,HABERSHAM HOME,"HIGHWAY 441 NORTH, BOX 37",DEMOREST,30535,84,Nursing Home
USA-GA-79-GA-All-output-171,HAMILTON HOUSE NURSING AND REHABILITATION CENTER,1911 5TH AVENUE,COLUMBUS,31907,128,Nursing Home
USA-GA-79-GA-All-output-172,HARALSON NSG & REHAB CENTER,315 FIELD STREET,BREMEN,30110,120,Nursing Home
USA-GA-79-GA-All-output-173,HART CARE CENTER,261 FAIRVIEW AVENUE,HARTWELL,30643,117,Nursing Home
USA-GA-79-GA-All-output-174,HARTWELL HEALTH CARE CENTER,94 CADE STREET,HARTWELL,30643,92,Nursing Home
USA-GA-79-GA-All-output-175,HAZELHURST CENTER,180 BURKETT FERRY ROAD,HAZLEHURST,31539,73,Nursing Home
USA-GA-79-GA-All-output-176,HEARDMONT NURSING HOME,1043 LONGSTREET ROAD,ELBERTON,30635,60,Nursing Home
USA-GA-79-GA-All-output-177,HEART OF GEORGIA NURSING HOME,815 LEGION DRIVE,EASTMAN,31023,100,Nursing Home
USA-GA-79-GA-All-output-178,HERITAGE INN HEALTH AND REHABILITATION,307 JONES MILL ROAD,STATESBORO,30458,92,Nursing Home
USA-GA-79-GA-All-output-179,HERITAGE INN OF BARNESVILLE HEALTH AND REHAB,946 VETERANS PARKWAY,BARNESVILLE,30204,117,Nursing Home
USA-GA-79-GA-All-output-180,HERITAGE INN OF SANDERSVILLE HEALTH AND REHAB,652 FERNCREST DRIVE,SANDERSVILLE,31082,60,Nursing Home
USA-GA-79-GA-All-output-181,HILL HAVEN NURSING HOME,880 RIDGEWAY ROAD,COMMERCE,30529,70,Nursing Home
USA-GA-79-GA-All-output-182,HUTCHESON MED CTR SUBACUTE UNI,100 GROSS CRESCENT CIRCLE,FORT OGLETHORPE,30742,125,Nursing Home
USA-GA-79-GA-All-output-183,JAMES B CRAIG CENTER,CENTRAL STATE HOSPITAL,MILLEDGEVILLE,31062,255,Nursing Home
USA-GA-79-GA-All-output-184,JEFFERSONVILLE HEALTH ,113 SPRING VALLEY DRIVE,JEFFERSONVILLE,31044,131,Nursing Home
USA-GA-79-GA-All-output-185,JESUP HEALTH AND REHAB,3100 SAVANNAH HIGHWAY,JESUP,31545,72,Nursing Home
USA-GA-79-GA-All-output-186,JOE-ANNE BURGIN NURSING HOME,203 RANDOLPH STREET,CUTHBERT,39840,80,Nursing Home
USA-GA-79-GA-All-output-187,JONESBORO NURSING AND REHABILITATION CENTER,2650 HIGHWAY 138 SE,JONESBORO,30236,129,Nursing Home
USA-GA-79-GA-All-output-188,KENTWOOD NURSING FACILITY,1227 WEST WHEELER PARKWAY,AUGUSTA,30909,80,Nursing Home
USA-GA-79-GA-All-output-189,KEYSVILLE NURSING HOME & REHAB CENTER,1005 HWY. 88 NORTH,KEYSVILLE,30816,64,Nursing Home
USA-GA-79-GA-All-output-190,KINDRED TRANSITIONAL CARE AND REHAB - ABERCORN,11800 ABERCORN STREET,SAVANNAH,31419,100,Nursing Home
