License Number,Legal Name,Short Name,Address,PO Box,Municipality,Postal Code,Country,Phone,Health Region,Territory CLSC,MRC,Circ. Provincial Election,Licensing Services,Fax,Dir. General,Chairman of the Board,Complaints and Quality of Service Commissioner,Status,Law,Incorpporation,Mission(s),Ministerial designation,Local authority,Funding method,facility_type
1256-2179,MAISON ELIZABETH,MAISON ELIZABETH,"2131, avenue de Marlowe",,Montréal (66023),H4A 3L4,Canada,(514) 482-2488,Montréal (06),Notre-Dame-de-Grâce - Montréal-Ouest (06212),Montréal (660),Notre-Dame-de-Grâce (401),CRMDA    Services externes; CRMDA    Centre de jour; CRMDA   18 Place(s) en internat - unité de vie,(514) 482-9467,,,"Pusztai, Elizabeth",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
1258-2292,CENTRE MIRIAM,CENTRE MIRIAM,"8160, chemin Royden",,Mont-Royal (66072),H4P 2T2,Canada,(514) 681-9256,Montréal (06),Mont-Royal (06222),Montréal (660),Mont-Royal (419),CRDI   150 Place(s) en centre d'activités de jour; CRDI    Services externes,(514) 345-8965,,,"Amzallag, Marie",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5560-3351,CENTRE D'HÉBERGEMENT CAMILLE-LEFEBVRE,CENTRE D'HÉBERGEMENT CAMILLE-LEFEBVRE,"637, 13e Avenue",,Montréal (66023),H8S 4K4,Canada,(514) 637-2351,Montréal (06),Lachine (06121),Montréal (660),Marquette (407),CHSLD   134 Lit(s) d'hébergement permanent,(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5123-5638,CENTRE DE SERVICES AMBULATOIRES DE MAISONNEUVE,CENTRE SERV. AMB. DE MAISONNEUVE,"5252, boulevard de Maisonneuve",,Montréal (66023),H4A 3S9,Canada,(514) 934-1934,Montréal (06),Notre-Dame-de-Grâce - Montréal-Ouest (06212),Montréal (660),Notre-Dame-de-Grâce (401),CHSGS    Consultations externes,(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5122-8310,HÔPITAL DE LACHINE,HÔPITAL DE LACHINE,"650, 16e Avenue",,Montréal (66023),H8S 3N5,Canada,(514) 637-2351,Montréal (06),Lachine (06121),Montréal (660),Marquette (407),CHSGS   56 Lit(s) de santé physique; CHSGS    Urgence; CHSGS    Consultations externes,(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
1259-9213,HOPITAL GENERAL DE MONTREAL,HOPITAL GENERAL DE MONTREAL,"1650, avenue Cedar",,Montréal (66023),H3G 1A4,Canada,(514) 937-6011,Montréal (06),Métro (06225),Montréal (660),Westmount--Saint-Louis (391),CHSGS   200 Lit(s) de santé physique; CHSGS   15 Lit(s) de gériatrie; CHSGS   42 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes,(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5122-3287,HOPITAL NEUROLOGIQUE DE MONTREAL,HOPITAL NEUROLOGIQUE DE MONTREAL,"3801, rue University",,Montréal (66023),H3A 2B4,Canada,(514) 398-6644,Montréal (06),Métro (06225),Montréal (660),Westmount--Saint-Louis (391),CHSGS   75 Lit(s) de santé physique; CHSGS    Consultations externes,(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5122-3295,HOPITAL ROYAL VICTORIA,HOPITAL ROYAL VICTORIA,"687, avenue des Pins Ouest",,Montréal (66023),H3A 1A1,Canada,(514) 934-1934,Montréal (06),Métro (06225),Montréal (660),Westmount--Saint-Louis (391),"CHSGS    Consultations externes; CHSGS    Hôpital de jour, santé mentale",(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5122-3279,L'HOPITAL DE MONTREAL POUR ENFANTS,L'HOPITAL DE MONTREAL POUR ENFANTS,"2300, rue Tupper",,Montréal (66023),H3H 1P3,Canada,(514) 412-4400,Montréal (06),Métro (06225),Montréal (660),Westmount--Saint-Louis (391),CHSGS    Consultations externes,(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5123-5406,SITE GLEN,SITE GLEN,"1001, rue Décarie",,Montréal (66023),H4A 3J1,Canada,(514) 934-1934,Montréal (06),Notre-Dame-de-Grâce - Montréal-Ouest (06212),Montréal (660),Notre-Dame-de-Grâce (401),"CHSGS   52 Lit(s) de néonatalogie; CHSGS   440 Lit(s) de santé physique; CHSGS   8 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes; CHSGS    Hôpital de jour, santé mentale",(514) 284-5086,,,"Casgrain, Lynne",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CH CHSLD,Centre Hospitalier Universitaire,Non,RUIS Université McGill (3),Assisted Living
5149-5869,RÉSIDENCE DES FILLES ET/OU GARÇONS (HAVRE-JEUNESSE),RÉSIDENCE DES FILLES ET/OU GARÇONS (HAVRE-JEUNESSE),"1019, avenue Moffat",,Montréal (66023),H4H 1Z1,Canada,(514) 769-2122,Montréal (06),Verdun (06313),Montréal (660),Verdun (397),CRJDA   7 Place(s) en foyer de groupe,(514) 769-3510,,,"McNamee, Colm, monsieur",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
5149-5877,RÉSIDENCE DES GARÇONS ET/OU FILLES (HAVRE-JEUNESSE),RÉSIDENCE DES GARÇONS ET/OU FILLES (HAVRE-JEUNESSE),"4360, boulevard Lasalle",,Montréal (66023),H4G 2A8,Canada,(514) 769-5050,Montréal (06),Verdun (06313),Montréal (660),Verdun (397),CRJDA   8 Place(s) en foyer de groupe,(514) 769-3510,,,"McNamee, Colm, monsieur",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CR,,Non,Budget,Assisted Living
1265-3192,CHSLD HEATHER I,CHSLD HEATHER I,"3931, Lakeshore Drive",,Rawdon (62037),J0K 1S0,Canada,(450) 834-3070,Lanaudière (14),-14012,Matawinie (620),Rousseau (515),CHSLD   115 Lit(s) d'hébergement permanent,(450) 834-5805,,,"Gagnon, Carole",Privé,"L.R.Q., chapitre S-4.2 (Loi 120)",Partie 1A de la Loi des cies,CHSLD,,Non,Conventionné,Assisted Living
1268-5608,HÔPITAL GÉNÉRAL JUIF,HÔPITAL GÉNÉRAL JUIF,"3755, chemin de la Côte-Sainte-Catherine",,Montréal (66023),H3T 1E2,Canada,(514) 340-8222,Montréal (06),Côte-des-Neiges (06224),Montréal (660),Mont-Royal (419),"CHSGS   34 Lit(s) de néonatalogie; CHSGS   461 Lit(s) de santé physique; CHSGS   28 Lit(s) de gériatrie; CHSGS   48 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes; CHSGS    Groupe de médecine de famille universitaire; CHSGS    Hôpital de jour, santé mentale; CHSLD   100 Lit(s) d'hébergement transitoire",(514) 340-7510,,,"Steinberg, Rosemary",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD,Centre Affilié Universitaire,Non,Budget,Assisted Living
5123-3013,HÔPITAL GÉNÉRAL JUIF,HÔPITAL GÉNÉRAL JUIF,"4335, chemin de la Côte-Sainte-Catherine",,Montréal (66023),H3T 1E4,Canada,(514) 340-8222,Montréal (06),Côte-des-Neiges (06224),Montréal (660),Mont-Royal (419),"CHSGS    Consultations externes; CHSGS    Hôpital de jour, santé mentale",(514) 340-7510,,,"Steinberg, Rosemary",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD,Centre Affilié Universitaire,Non,Budget,Assisted Living
5122-4061,CENTRE DE READAPTATION MARIE ENFANT,CENTRE DE READAPTATION MARIE ENFANT,"5200, rue Bélanger",,Montréal (66023),H1T 1C9,Canada,(514) 374-1710,Montréal (06),Rosemont (06531),Montréal (660),Rosemont (379),CHSLD   20 Lit(s) d'hébergement permanent; CHSLD   12 Lit(s) d'hébergement temporaire; CRDPM    Service d'aides techniques; CRDPM    Services externes; CRDPM    Centre de jour; CRDPM   35 Lit(s) en unité de réadaptation fonctionnelle intensive,(514) 345-4808,,,"Normand, Andrée",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD CR,Centre Hospitalier Universitaire,Non,Budget,Assisted Living
5123-3070,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,"5757, avenue Decelles",,Montréal (66023),H3S 2C3,Canada,(514) 345-4931,Montréal (06),Côte-des-Neiges (06224),Montréal (660),Mont-Royal (419),CHSGS    Consultations externes,(514) 345-4808,,,"Normand, Andrée",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD CR,Centre Hospitalier Universitaire,Non,Budget,Assisted Living
5122-2800,CHU SAINTE-JUSTINE,CHU SAINTE-JUSTINE,"3175, chemin de la Côte-Sainte-Catherine",,Montréal (66023),H3T 1C5,Canada,(514) 345-4931,Montréal (06),Côte-des-Neiges (06224),Montréal (660),Mont-Royal (419),"CHSGS   65 Lit(s) de néonatalogie; CHSGS   333 Lit(s) de santé physique; CHSGS   19 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes; CHSGS    Hôpital de jour, santé mentale; CRDPM    Service d'aides techniques",(514) 345-4808,,,"Normand, Andrée",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD CR,Centre Hospitalier Universitaire,Non,Budget,Assisted Living
1270-4573,LA RESIDENCE DE LACHUTE,LA RESIDENCE DE LACHUTE,"377, rue Principale",,Lachute (76020),J8H 1Y1,Canada,(450) 562-5203,Laurentides (15),Argenteuil (15141),Argenteuil (760),Argenteuil (535),CHSLD   52 Lit(s) d'hébergement permanent,(450) 562-4156,,,"Crisante, Rita",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Troisième partie de la loi sur les cies,CHSLD,,Non,Budget,Assisted Living
5122-4525,CENTRE DE READAPTATION SAPUMMIVIK,CENTRE DE READAPTATION SAPUMMIVIK,Case postale 39,,Salluit (99135),J0M 1S0,Canada,(819) 255-1188,Nunavik (17),Baie D'Hudson (17011),Administration régionale Kativik (992),Ungava (793),CRJDA   15 Place(s) en internat - unité de vie,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
1273-0628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,Kuujjuaq,case postale 149,Kuujjuaq (99095),J0M 1C0,Canada,(819) 964-2905,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CHSGS   15 Lit(s) de santé physique; CHSLD   10 Lit(s) d'hébergement permanent; CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-3599,DISPENSAIRE D'AUPALUK,DISPENSAIRE D'AUPALUK,Aupaluk,,Aupaluk (99105),J0M 1X0,Canada,(819) 491-7077,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-3557,DISPENSAIRE DE KANGIQSUALUJJUAQ,DISPENSAIRE DE KANGIQSUALUJJUAQ,Kangiqsualujjuaq,,Kangiqsualujjuaq (99090),J0M 1N0,Canada,(819) 337-5312,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-3607,DISPENSAIRE DE KANGIQSUJUAQ,DISPENSAIRE DE KANGIQSUJUAQ,Kangiqsujuaq,,Kangiqsujuaq (99130),J0M 1K0,Canada,(819) 338-3303,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-3581,DISPENSAIRE DE KANGIRSUK,DISPENSAIRE DE KANGIRSUK,Kangirsuk,,Kangirsuk (99110),J0M 1A0,Canada,(819) 935-4255,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-3532,DISPENSAIRE DE QUAQTAQ,DISPENSAIRE DE QUAQTAQ,Quaqtaq,,Quaqtaq (99115),J0M 1J0,Canada,(819) 492-9977,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-3615,DISPENSAIRE DE TASIUJAQ,DISPENSAIRE DE TASIUJAQ,Tasiujaq,,Tasiujaq (99100),J0M 1T0,Canada,(819) 633-9977,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CLSC; CPEJ,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5420-5273,FOYER DE GROUPE (CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA),FOYER DE GROUPE (CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA,Kuujjuaq,,Kuujjuaq (99095),J0M 1C0,Canada,(819) 964-2919,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CRJDA   8 Place(s) en foyer de groupe,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-5364,FOYER DE GROUPE DE KUUJJUAQ,FOYER DE GROUPE DE KUUJJUAQ,House 2030,,Kuujjuaq (99095),J0M 1C0,Canada,(819) 964-0308,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CRJDA   4 Place(s) en foyer de groupe,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-5356,FOYER DE GROUPE DE KUUJJUARAAPIK,FOYER DE GROUPE DE KUUJJUARAAPIK,House 669 Kuujjuaraapik Road,,Kuujjuarapik (99075),J0M 1G0,Canada,(819) 929-3223,Nunavik (17),Baie D'Hudson (17011),Administration régionale Kativik (992),Ungava (793),CRJDA   4 Place(s) en foyer de groupe,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5420-5315,MAISON DE TRANSIT (CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA),MAISON DE TRANSIT (CENTRE DE SANTÉ TULATTAVIK DE L'UNGA,Kuujuuaq,,Kuujjuaq (99095),J0M 1C0,Canada,(819) 964-2905,Nunavik (17),Ungava (17012),Administration régionale Kativik (992),Ungava (793),CHSGS   22 Lit(s) d'hôtellerie,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-5646,ULLURIAQ,ULLURIAQ,Building 780,,Inukjuak (99085),J0M 1M0,Canada,(819) 964-2905,Nunavik (17),Baie D'Hudson (17011),Administration régionale Kativik (992),Ungava (793),CRJDA   8 Place(s) en internat - unité de vie,(819) 964-2653,,,"Gordon, Kitty",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
1274-5725,CENTRE HOSPITALIER DE ST. MARY,CENTRE HOSPITALIER DE ST. MARY,"3830, avenue Lacombe",,Montréal (66023),H3T 1M5,Canada,(514) 345-3511,Montréal (06),Côte-des-Neiges (06224),Montréal (660),Outremont (421),CHSGS   207 Lit(s) de santé physique; CHSGS   15 Lit(s) de gériatrie; CHSGS   29 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes; CHSLD   65 Lit(s) d'hébergement transitoire,(514) 734-2636,,,"Trudeau, Sarah-Beth",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD,Centre Affilié Universitaire,Non,Budget,Assisted Living
5123-6263,GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE ET CENTRE DE SERVICES AMBULATOIRES DE ST. MARY,GMFU ET CENTRE SERV. AMB. DE ST. MARY,"3777, rue Jean-Brillant",,Montréal (66023),H3T 1M5,Canada,(000) 000-0000,Montréal (06),Côte-des-Neiges (06224),Montréal (660),Outremont (421),CHSGS    Consultations externes; CHSGS    Groupe de médecine de famille universitaire,(514) 734-2636,,,"Trudeau, Sarah-Beth",Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi spéciale,CH CHSLD,Centre Affilié Universitaire,Non,Budget,Assisted Living
