row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,county,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,street_address,po_box,city,province,postal_code,country
USA-CO-74-All-74-All-31,ELDERHAUS MINDSET CREATIVE COMMUNITY RESOURCES,,,,,,,,,,,,MS JOANNE JOHNSEN,(970)221-0406,,(970)221-9965,,,,,,,LARIMER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,6813 S COLLEGE AVE,,FORT COLLINS,CO,80525,USA
USA-CO-74-All-74-All-32,FLATIRONS ADULT DAY CARE,,,,,,,,,,,,VAGAN MOTEVOSYANTS,(720)532-4235,,(303)325-7406,,,LIMITED LIABILITY,,,,BOULDER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1480 W MIDWAY BLVD UNIT 1,,BROOMFIELD,CO,80020,USA
USA-CO-74-All-74-All-33,GOLDEN TIME ADULT DAY SERVICES,,,,,,,,,,,,Ms NARINE GAZARIAN,(303)369-6680,,(303)369-6681,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,7808 E CHERRY CREEK SOUTH DRIVE #411,,DENVER,CO,80231,USA
USA-CO-74-All-74-All-34,GRADUATE ACTIVITIES PROGRAM,,,,,,,,,,,,Ms DIANA HOLLAND,(303)989-9830,,(303)988-1659,,,DISTRICT,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,3636 S INDEPENDENCE ST,,LAKEWOOD,CO,80235,USA
USA-CO-74-All-74-All-35,GREELEY CENTER FOR INDEPENDENCE HOPE APARTMENTS,,,,,,,,,,,,MR ROB RABE,(970)339-2444,,(970)339-0033,,,CORPORATE NON-PROFIT,,,,WELD COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program/Brain Injury  - Medicaid Certified,,,,2778  RESERVOIR ROAD,,GREELEY,CO,80634,USA
USA-CO-74-All-74-All-36,GREEN LAKEVIEW ADULT DAY CARE LLC,,,,,,,,,,,,Mr IVAN MUZYCHENKO,(303)421-2914,,(303)421-2915,,,LIMITED LIABILITY,,,,JEFFERSON COUNTY,,,,,GREEN LAKEVIEW ADULT CARE LLC,9999 W. 60TH AVE.,,ARVADA,CO,80004,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,9999 W 60TH AVENUE,,ARVADA,CO,80004,USA
USA-CO-74-All-74-All-37,HAPPY LIVING AND WELLNESS LLC,,,,,,,,,,,,Ms CHRISTINA GUO,(720)390-5697,,(720)368-5216,,,LIMITED LIABILITY,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,12201 E MISSISSIPPI #101,,AURORA,CO,80012,USA
USA-CO-74-All-74-All-38,HIGHPOINTE SERVICES LTD,,,,,,,,,,,,KEN ZIEL,(303)221-3222,,(303)221-0067,,,PROFIT-CORPORATION,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,7313 SOUTH ALTON WAY,,CENTENNIAL,CO,80112,USA
USA-CO-74-All-74-All-39,"HILLTOP COMMUNITY RESOURCES, INC.",,,,,,,,,,,,Ms LISA VEGA,(970)245-3952,,(970)242-6609,,,CORPORATE NON-PROFIT,,,,MESA COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1405 WELLINGTON,,GRAND JUNCTION,CO,81501,USA
USA-CO-74-All-74-All-40,"JOURNEY BRAIN INJURY COMMUNITY SERVICES LLC, THE",,,,,,,,,,,,CHERYL CATSOULIS,(970)576-8100,,(970)000-0000,,,LIMITED LIABILITY,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,9423 W 64TH AVENUE,,ARVADA,CO,80004,USA
USA-CO-74-All-74-All-41,KUPALINKA ADULT DAY CARE CENTER LLC,,,,,,,,,,,,IRINA MURZHUK,(720)277-5910,,,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,12597 E MISSISSIPPI AVE #300,,AURORA,CO,80012,USA
USA-CO-74-All-74-All-42,LANA ADULT DAY CARE INC,,,,,,,,,,,,Mr IGOR ABRAMOVICH,(720)309-3953,,(303)745-7934,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,7808 E CHERRY CREEK SOUTH DRIVE,,DENVER,CO,80231,USA
USA-CO-74-All-74-All-43,LARADON HALL,,,,,,,,,,,,Mr MARK COWELL,(303)296-2400,,(303)296-4012,,,,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,5100 LINCOLN STREET,,DENVER,CO,80216,USA
USA-CO-74-All-74-All-44,LIFTING SPIRITS LLC,,,,,,,,,,,,SONJA SEARCH,(719)488-1415,,(719)488-1419,,,,,,,EL PASO COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,"755 HWY 105, #C",,PALMER LAKE,CO,80133,USA
USA-CO-74-All-74-All-45,MAIRIK ADULT DAY CARE,,,,,,,,,,,,IRINA MATEVOSYANTS,(303)736-2466,,(303)736-2195,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,7255 S HAVANA STREET UNIT 130,,CENTENNIAL,CO,80112,USA
USA-CO-74-All-74-All-46,MESA VISTA ASSISTED LIVING,,,,,,,,,,,,Ms KATHY GERMANO,(970)285-1844,,(970)285-6351,,,CORPORATE NON-PROFIT,,,,GARFIELD COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,72 E SIPPRELLE DR,,PARACHUTE,CO,81635,USA
USA-CO-74-All-74-All-47,MONACO ADULT DAY CARE INC,,,,,,,,,,,,MS MARINA FRENKEL,(303)333-2299,,(303)333-3094,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,6825 EAST TENNESSEE AVENUE #175,,DENVER,CO,80224,USA
USA-CO-74-All-74-All-48,MORNING STAR SENIOR DAY PROGRAM,,,,,,,,,,,,LORI SANCHEZ,(303)326-8320,,(303)326-8321,,,PROFIT-CORPORATION,,,,DENVER COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1016 BOSTON ST,,DENVER,CO,80230,USA
USA-CO-74-All-74-All-49,MOSAIC,,,,,,,,,,,,Ms LORRAINE DENISON,(719)380-0451,,(719)380-7055,,,,,,,EL PASO COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,888 GARDEN OF THE GODS ROAD #100,,COLORADO SPRINGS,CO,80907,USA
USA-CO-74-All-74-All-50,MOUNTAIN COMMUNITY PATHWAYS LLC,,,,,,,,,,,,JOAN WILSON,(720)583-0440,,(720)479-8439,,,IN COMMUNITY PATHWAYS LLC,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,28628 BUFFALO PARK ROAD,,EVERGREEN,CO,80437,USA
USA-CO-74-All-74-All-51,NOOR ADULT DAYCARE LLC,,,,,,,,,,,,Mr EKHLAS KHALAF,(720)401-6718,,,,,LIMITED LIABILITY,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1641 S PARKER RD,,DENVER,CO,80231,USA
USA-CO-74-All-74-All-52,NORTH RECREATION AND LEISURE CENTER,,,,,,,,,,,,TINA ARGUS,(719)635-4483,,,,,,,,,EL PASO COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2360-A MONTEBELLO SQUARE DRIVE,,COLORADO SPRINGS,CO,80918,USA
USA-CO-74-All-74-All-53,PARADISE LLC,,,,,,,,,,,,Mr BORIS SMORODA,(303)632-6794,,(303)632-6794,,,SE LLC,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,10691 E BETHANY DRIVE,,AURORA,CO,80014,USA
USA-CO-74-All-74-All-54,POSSIBILITIES,,,,,,,,,,,,TAMARA FRENCH,(719)635-4483,,(719)574-5713,,,CORPORATE NON-PROFIT,,,,EL PASO COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1460 GARDEN OF THE GODS ROAD,,COLORADO SPRINGS,CO,80907,USA
USA-CO-74-All-74-All-55,PRIMA 2 ADULT DAY CARE,,,,,,,,,,,,MARINA REMAN,(303)420-7201,,(720)898-1098,,,,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,5370 CARR STREET,,ARVADA,CO,80002,USA
USA-CO-74-All-74-All-56,PRIMA ADULT DAY SERVICES LLC,,,,,,,,,,,,DR EDWARD RUVINS,(303)691-9999,,(303)691-9994,,,LIMITED LIABILITY,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,6630 E HAMPDEN AVE,,DENVER,CO,80224,USA
USA-CO-74-All-74-All-57,RELAX ADULT DAYCARE CORP,,,,,,,,,,,,Mr GEORGE NAZRYAN,(303)758-0871,,(303)758-0199,,,PROFIT-CORPORATION,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2283 S MONACO PKWY UNIT 107 -108,,DENVER,CO,80222,USA
USA-CO-74-All-74-All-58,RIVERSIDE ADULT DAY PROGRAM LLC,,,,,,,,,,,,MS LAURIE STOVER,(970)249-1590,,(970)765-2654,,,PROFIT-CORPORATION,,,,MONTROSE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,16935 6450 RD,,MONTROSE,CO,81403,USA
USA-CO-74-All-74-All-59,ROCKY MOUNTAIN ADULT DAY CARE,,,,,,,,,,,,M. KHEIRANDISH,(303)691-2373,,(303)691-2383,,,,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2200 SOUTH JASMINE STREET,,DENVER,CO,80222,USA
USA-CO-74-All-74-All-60,ROCKY MOUNTAIN HEALTH CARE SERVICES,,,,,,,,,,,,VALERIE TORRES,(719)520-5656,,(719)520-9570,,,CORPORATE NON-PROFIT,,,,EL PASO COUNTY,,,,,ROCKY MOUNTAIN HEALTH CARE SERVICES,310 S 14TH STREET,,COLORADO SPRINGS,CO,80904,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2502 E PIKES PEAK AVENUE SUITE 400,,COLORADO SPRINGS,CO,80909,USA
USA-CO-74-All-74-All-61,ROCKY MOUNTAIN MULTIPLE SCLEROSIS CENTER,,,,,,,,,,,,Ms MICHELLE KING,(303)433-6887,,(303)433-7806,,,CORPORATE NON-PROFIT,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program/Brain Injury  - Medicaid Certified,,,,8845 WAGNER STREET,,WESTMINSTER,CO,80031,USA
USA-CO-74-All-74-All-62,ROYAL ADULT DAY CENTER,,,,,,,,,,,,Ms UJU NNANNA,(303)307-4483,,(303)307-9964,,,,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,2020 WADSWORTH BLVD#15,,LAKEWOOD,CO,80214,USA
USA-CO-74-All-74-All-63,SENIOR DAYBREAK AT HILLTOP,,,,,,,,,,,,Ms LORI SOMMERS,(970)241-7798,,(970)243-4646,,,,,,,MESA COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,1620 HERMOSA AVENUE #64,,GRAND JUNCTION,CO,81506,USA
USA-CO-74-All-74-All-64,"SENIOR HUB'S ADULT DAY SERVICE, THE",,,,,,,,,,,,NANCY KINGSBURY,(303)287-2400,,(303)287-0572,,,,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,10190 BANNOCK STREET #104,,NORTHGLENN,CO,80260,USA
USA-CO-74-All-74-All-65,SENIORS CHOICE,,,,,,,,,,,,DOUG BONINO,(303)360-6600,,(303)341-0382,,,CORPORATE NON-PROFIT,,,,ARAPAHOE COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,11111 EAST MISSISSIPPI,,AURORA,CO,80012,USA
USA-CO-74-All-74-All-66,SENIORS' RES CTR ADULT DAY RESPITE SER-CENT SITE,,,,,,,,,,,,MS LINDA JOHNSTON,(303)238-8151,,(303)235-6978,,,CORPORATE NON-PROFIT,,,,ADAMS COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program/Brain Injury  - Medicaid Certified,,,,3227 CHASE STREET,,DENVER,CO,80212,USA
USA-CO-74-All-74-All-67,SENIORS' RES CTR ADULT DAY RESPITE SER-EVERGREEN,,,,,,,,,,,,Ms MARILYN HERRS,(303)674-2843,,(303)674-1298,,,S' RES CTR ADULT DAY &amp; RESPITE SER-CENT SITE,,,,JEFFERSON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADC,,Adult Day Program  - Medicaid Certified,,,,5120 HWY 73,,EVERGREEN,CO,80439,USA
