row_id,Facility Name,Type,Address,City,Province,Country,Postal Code,Contact Phone,Link to Details,type
Canada-National-35-CAN-RetirementHomes-output-24,Crofton Manor,"Assisted Living, Independent Living",2803 West 41st Ave,Vancouver,BC,Canada,V6N 4B4,604-263-0921,http://www.reveraliving.com/retirement-living/locations/crofton-manor,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-25,Don Mills Seniors' Apartments,Seniors' Apartments,1055/1057 Don Mills Rd,Toronto,ON,Canada,M3C 1W9,416-445-5532,http://www.reveraliving.com/retirement-living/locations/don-mills,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-26,Donway Place,"Assisted Living, Independent Living",8 The Donway E,Toronto,ON,Canada,M3C 3R7,416-445-7555,http://www.reveraliving.com/retirement-living/locations/donway-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-27,Evergreen,"Assisted Living, Independent Living, Memory Care",2220 162 Ave SW,Calgary,AB,Canada,T2Y 5E4,(403) 201-3555,http://www.reveraliving.com/retirement-living/locations/Evergreen,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-28,Fergus Place,Independent Living,164 Fergus Ave,Kitchener,ON,Canada,N2A 2H2,519-894-9600,http://www.reveraliving.com/retirement-living/locations/fergus-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-29,Fleetwood Villa,"Assisted Living, Independent Living",16028  83rd Ave,Surrey,BC,Canada,V4N 0N2,604-590-2889,http://www.reveraliving.com/retirement-living/locations/fleetwood-villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-30,Forest Hill Place,"Assisted Living, Independent Living, Seniors' Apartments",645 Castlefield Ave,Toronto,ON,Canada,M5N 3A5,416-785-1511,http://www.reveraliving.com/retirement-living/locations/forest-hill-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-31,Garrison Place,Independent Living,373 Garrison Rd,Fort Erie,ON,Canada,L2A 1N1,905-871-6410,http://www.reveraliving.com/retirement-living/locations/garrison-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-32,Glynnwood,"Assisted Living, Independent Living",7700 Bayview Ave,Thornhill,ON,Canada,L3T 5W1,905-881-9475,http://www.reveraliving.com/retirement-living/locations/glynnwood,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-33,Grand Wood Park,"Independent Living, Seniors' Apartments",81 Grand Avenue,London,ON,Canada,N6C 1M2,(519) 432-1162,http://www.reveraliving.com/retirement-living/locations/Grand-Wood-Park,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-34,Granite Landing,"Assisted Living, Independent Living, Memory Care",30 Light Drive,Cambridge,ON,Canada,N1T 0B9,(519) 624-1212,http://www.reveraliving.com/retirement-living/locations/Granite-Landing,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-35,Green Falls Landing,,3850 Green Falls Drive,Regina,SK,Canada,S4V 3N5,1-844-573-8372,http://www.reveraliving.com/retirement-living/locations/Green-Falls-Landing,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-36,Greenway,"Assisted Living, Independent Living",100 Ken Whillans Drive,Brampton,ON,Canada,L6V 0A4,(905) 799-7273,http://www.reveraliving.com/retirement-living/locations/Greenway,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-37,Harold & Grace Baker Centre,"Independent Living, Memory Care",1 Northwestern Ave,Toronto,ON,Canada,M6M 2J7,416-654-2889,http://www.reveraliving.com/retirement-living/locations/harold-grace-baker-centre,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-38,Heritage Lodge,Independent Living,48 Wall St,Vankleek Hill,ON,Canada,K0B 1R0,613-678-2690,http://www.reveraliving.com/retirement-living/locations/heritage-lodge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-39,Highland Place,Independent Living,20 Fieldgate St,Kitchener,ON,Canada,N2M 5K3,519-741-0221,http://www.reveraliving.com/retirement-living/locations/highland-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-40,Hilltop Place,Independent Living,1000 Elgin Mills Rd E,Richmond Hill,ON,Canada,L4S 1M4,905-884-9248,http://www.reveraliving.com/retirement-living/locations/hilltop-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-41,Hollyburn House,"Assisted Living, Independent Living",2095 Marine Dr,West Vancouver,BC,Canada,V7V 4V5,604-922-7616,http://www.reveraliving.com/retirement-living/locations/hollyburn-house,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-42,Horizon Place,Independent Living,760 Horizon Dr,London,ON,Canada,N6H 5G3,519-641-6330,http://www.reveraliving.com/retirement-living/locations/horizon-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-43,Hunt Club Manor,Independent Living,1351 Hunt Club Rd,Ottawa,ON,Canada,K1V 1A6,613-733-4776,http://www.reveraliving.com/retirement-living/locations/hunt-club-manor,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-44,Iler Lodge,"Assisted Living, Independent Living",111 Iler Ave,Essex,ON,Canada,N8M 1T6,519-776-9482,http://www.reveraliving.com/retirement-living/locations/iler-lodge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-45,Inglewood,"Assisted Living, Independent Living",10 Inglewood Drive,Red Deer,AB,Canada,T4R 0L2,(403) 346-1134,http://www.reveraliving.com/retirement-living/locations/Inglewood,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-46,King Gardens,"Assisted Living, Independent Living, Memory Care",85 King St E,Mississauga,ON,Canada,L5A 4G6,905-566-4545,http://www.reveraliving.com/retirement-living/locations/king-gardens,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-47,Kingsway,"Independent Living, Memory Care",4251 Dundas Street West,Etobicoke,ON,Canada,M8X 2Z5,416-236-7575,http://www.reveraliving.com/retirement-living/locations/kingsway,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-48,La ClairiÌ¬re du BoisÌ©,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","481, Boul. PÌ¬re-LeliÌ¬vre",QuÌ©bec,QC,Canada,G1M 0A9,418-478-2600 ,http://www.reseau-selection.com/residences/15/la-clairiere-du-boise,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-49,Landmark Court,Independent Living,140 Darlington Private,Ottawa,ON,Canada,K1V 0X7,613-526-4533,http://www.reveraliving.com/retirement-living/locations/landmark-court,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-50,Le BoisÌ© Vanier,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","479, boul. PÌ¬re-LeliÌ¬vre",QuÌ©bec,QC,Canada,G1M 0A3,418-683-5757 ,http://www.reseau-selection.com/residences/1/le-boise-vanier,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-51,Le BorÌ©al,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","111, rue Sylvestre",Val-dOr,QC,Canada,J9P 0J4,819-874-7484 ,http://www.reseau-selection.com/residences/14/le-boreal,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-52,Le Cambridge,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","340, boulevard Hymus",Pointe-Claire,QC,Canada,H9R 6B3,514-694-8383,http://www.reseau-selection.com/residences/20/le-cambridge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-53,Le Coin St-Paul,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","1400, rue Saint-Paul",Trois-RiviÌ¬res,QC,Canada,G9A 0B4,819-375-2626 ,http://www.reseau-selection.com/residences/2/le-coin-st-paul,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-54,Le Havre de l‰ÛªEstuaire,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","85, boul. RenÌ©-Lepage Est",Rimouski,QC,Canada,G5L 0C7,418-722-6666 ,http://www.reseau-selection.com/residences/13/le-havre-de-lestuaire,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-55,Le Havre des Cantons,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","231, rue Dollard",Magog,QC,Canada,J1X 0G7,819-868-1010 ,http://www.reseau-selection.com/residences/4/le-havre-des-cantons,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-56,Le Jardin des Sources,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","300, chemin de la CÌ«te-Saint-Louis Ouest",Sainte-ThÌ©rÌ¬se,QC,Canada,J7E 5T6,450-971-4500 ,http://www.reseau-selection.com/residences/5/le-jardin-des-sources,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-57,Le SÌ©lection Laval,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","3300, boul. Le Carrefour",Laval,QC,Canada,H7T 0A1,450-687-3300 ,http://www.reseau-selection.com/residences/11/le-selection-laval,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-58,Le SÌ©lection LÌ©vis,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","1111, boul. Alphonse-Desjardins",LÌ©vis,QC,Canada,G6V 0B4,418-837-8883 ,http://www.reseau-selection.com/residences/7/le-selection-levis,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-59,Le Waldorf,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments",7400 chemin CÌ«te Saint-Luc,CÌ«te Saint-Luc,QC,Canada,H4W 3J4,514-369-1000,http://www.reseau-selection.com/residences/24/le-waldorf,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-60,Leaside,"Assisted Living, Independent Living, Memory Care",10/14 William Morgan Dr,Toronto,ON,Canada,M4H 1E7,416-425-3722,http://www.reveraliving.com/retirement-living/locations/leaside,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-61,Les Cours du Moulin,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","158, rue Saint-Eustache",Saint-Eustache,QC,Canada,J7R 7K2,450-974-9944 ,http://www.reseau-selection.com/residences/3/les-cours-du-moulin,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-62,Les Jardins d‰ÛªItalie,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","5650, rue du Hautbois",St-LÌ©onard,QC,Canada,H1S 1G4,514-253-5650 ,http://www.reseau-selection.com/residences/6/les-jardins-ditalie,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-63,Les Marronniers,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments",22 rue Charles-Edouard,LÌ©vis,QC,Canada,G6V 8E9,418-835-3765,http://www.reseau-selection.com/residences/25/les-marronniers,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-64,Les Tours Angrignon,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments","1500 boul. Angrignon, Tour A",Arrondissement LaSalle,QC,Canada,H8N 3H8,514-364-5111 ,http://www.reseau-selection.com/residences/12/les-tours-angrignon,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-65,Lundy Manor,Independent Living,7860 Lundy's Lane,Niagara Falls,ON,Canada,L2H 1H1,905-356-1511,http://www.reveraliving.com/retirement-living/locations/lundy-manor,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-66,Lynwood Park,Independent Living,1 Eaton Street,Nepean,ON,Canada,K2H 9P1,(613) 596-6969,http://www.reveraliving.com/retirement-living/locations/Lynwood-Park,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-67,Manoir Sainte-GeneviÌ¬ve,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments",16375 Gouin ouest,Ste. GeneviÌ¬ve,QC,Canada,H9H 5L3,514-626-0404,http://www.reseau-selection.com/residences/23/manoir-sainte-genevieve,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-68,Maplecrest,Independent Living,85 Main St,Grimsby,ON,Canada,L3M 1N6,905-945-7044,http://www.reveraliving.com/retirement-living/locations/maplecrest-village,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-69,Marian Chateau,Independent Living,3651 Albert St,Regina,SK,Canada,S4S 0A3,306-584-3030,http://www.reveraliving.com/retirement-living/locations/marian-chateau,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-70,McConachie Gardens,"Assisted Living, Independent Living, Memory Care",66 St NW & 170 Ave NW,Edmonton,AB,Canada,T6K 0A3,1-844-573-8372,http://www.reveraliving.com/retirement-living/locations/McConachie-Gardens,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-71,McKenzie Towne,"Assisted Living, Independent Living, Memory Care",20 Promenade Park SE,Calgary,AB,Canada,T2Z 4A5,403-257-9331,http://www.reveraliving.com/retirement-living/locations/mckenzie-towne,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-72,Meadowlands,"Assisted Living, Independent Living, Memory Care",223 Park Meadows Dr SE,Medicine Hat,AB,Canada,T1B 4K7,403-504-5123,http://www.reveraliving.com/retirement-living/locations/meadowlands,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-73,Ogilvie Villa,Independent Living,1345 Ogilvie Rd,Gloucester,ON,Canada,K1J 7P5,613-742-6524,http://www.reveraliving.com/retirement-living/locations/ogilvie-villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-74,Parkwood Court,,3000 Shelbourne St,Victoria,BC,Canada,V8R 4M8,250-598-1575,http://www.reveraliving.com/retirement-living/locations/parkwood-court,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-75,Parkwood Manor,Independent Living,1142 Dufferin St,Coquitlam,BC,Canada,V3B 6V4,604-941-7651,http://www.reveraliving.com/retirement-living/locations/parkwood-manor,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-76,Parkwood Place,Independent Living,3051 Shelbourne St,Victoria,BC,Canada,V8R 6T2,250-598-1565,http://www.reveraliving.com/retirement-living/locations/parkwood-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-77,Pine Villa,Independent Living,1035 Eglinton Ave W,Toronto,ON,Canada,M6C 2C8,416-787-5626,http://www.reveraliving.com/retirement-living/locations/pine-villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-78,Plymouth Cordage,Independent Living,110 First Street,Welland,ON,Canada,L3B 4S2,(905) 735-3322,http://www.reveraliving.com/retirement-living/locations/Plymouth-Cordage,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-79,Port Perry Villa,Independent Living,15987 Simcoe Street,Port Perry,ON,Canada,L9L 1N5,(905) 985-3312,http://www.reveraliving.com/retirement-living/locations/Port-Perry-Villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-80,Portobello,"Assisted Living, Independent Living",691 Valin Street,OrlÌ©ans,ON,Canada,K4A 0G3,(613) 824-6909,http://www.reveraliving.com/retirement-living/locations/Portobello,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-81,Portsmouth,Independent Living,125 Portsmouth Blvd,Winnipeg,MB,Canada,R3P 2M3,204-284-5432,http://www.reveraliving.com/retirement-living/locations/portsmouth,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-82,Prince of Wales,"Assisted Living, Independent Living, Memory Care",22 Barnstone Drive,Nepean,ON,Canada,K2G 2P9,613-843-9887,http://www.reveraliving.com/retirement-living/locations/prince-of-wales,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-83,Queenswood Villa,Independent Living,370 Kennedy Lane E,OrlÌ©ans,ON,Canada,K1E 3X5,613-830-2633,http://www.reveraliving.com/retirement-living/locations/queenswood-villa,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-84,Rayoak Place,Independent Living,1340 York Mills Rd,Toronto,ON,Canada,M3A 3R1,416-391-0633,http://www.reveraliving.com/retirement-living/locations/rayoak-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-85,Renaissance,Independent Living,1801 McIntyre Street,Regina,SK,Canada,S4P 4W8,(306) 525-8686,http://www.reveraliving.com/retirement-living/locations/Renaissance,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-86,RÌ©sidence LaSalle,"Assisted Living, Independent Living, Memory Care, Seniors' Apartments",1070 boul Shevchenko,LaSalle,QC,Canada,H8N 1N6,514-368-0000,http://www.reseau-selection.com/residences/26/residence-lasalle,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-87,River Ridge,"Assisted Living, Independent Living, Memory Care",78C McKenney Ave.,St. Albert,AB,Canada,T8N 7M3,780-470-3700,http://www.reveraliving.com/retirement-living/locations/river-ridge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-88,Riverbend,"Assisted Living, Independent Living, Memory Care",103 Rabbit Hill Crt NW,Edmonton,AB,Canada,T6R 2V3,780-438-2777,http://www.reveraliving.com/retirement-living/locations/riverbend,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-89,Riverbend Place,"Independent Living, Memory Care, Seniors' Apartments",650 Coronation Blvd,Cambridge,ON,Canada,N1R 7S6,519-740-3820,http://www.reveraliving.com/retirement-living/locations/riverbend-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-90,Robertson House,"Assisted Living, Independent Living, Memory Care",1 Mill Hill Rd,Nepean,ON,Canada,K2H 9L6,613-721-0886,http://www.reveraliving.com/retirement-living/locations/robertson-house,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-91,Rosewood,Memory Care,857 Wilkes Ave,Winnipeg,MB,Canada,R3P 2M2,204-487-9600,http://www.reveraliving.com/retirement-living/locations/rosewood,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-92,Scenic Acres,"Assisted Living, Independent Living, Memory Care",150 Scotia Landing NW,Calgary,AB,Canada,T3L 2K1,403-208-0338,http://www.reveraliving.com/retirement-living/locations/scenic-acres,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-93,St. Lawrence Place,Independent Living,181 Ontario St,Kingston,ON,Canada,K7L 5M1,613-544-5900,http://www.reveraliving.com/retirement-living/locations/st-lawrence-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-94,Stittsville,"Independent Living, Seniors' Apartments",1354 Stittsville Main St,Stittsville,ON,Canada,K2S 1V4,613-836-2216,http://www.reveraliving.com/retirement-living/locations/stittsville,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-95,Stone Lodge,Independent Living,165 Cole Rd,Guelph,ON,Canada,N1G 4N9,519-767-0880,http://www.reveraliving.com/retirement-living/locations/stone-lodge,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-96,Summit Place,"Independent Living, Seniors' Apartments",850 4th St E,Owen Sound,ON,Canada,N4K 6A3,519-376-3212,http://www.reveraliving.com/retirement-living/locations/summit-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-97,Sunwood,Independent Living,12241-224th Street,Maple Ridge,BC,Canada,V2X 8Y8,(604) 463-5527,http://www.reveraliving.com/retirement-living/locations/Sunwood,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-98,Telfer Place,"Independent Living, Memory Care, Seniors' Apartments",245 Grand River St N,Paris,ON,Canada,N3L 3V8,519-442-4411,http://www.reveraliving.com/retirement-living/locations/telfer-place,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-99,Terrace Gardens,"Assisted Living, Independent Living",3705 Bathurst St,North York,ON,Canada,M6A 2E8,416-789-7670,http://www.reveraliving.com/retirement-living/locations/terrace-gardens,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-100,The Annex,Independent Living,123 Spadina Rd,Toronto,ON,Canada,M5R 2T1,416-961-6446,http://www.reveraliving.com/retirement-living/locations/annex,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-101,The Beechwood,"Assisted Living, Independent Living, Seniors' Apartments",1500 Rathburn Rd E,Mississauga,ON,Canada,L4W 4L7,905-238-0800,http://www.reveraliving.com/retirement-living/locations/the-beechwood,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-102,The Bentley Hillsdale,Independent Living,3105 Hillsdale Street,Regina,SK,Canada,S4S 7K8,306-584-3333,http://www.reveraliving.com/retirement-living/locations/the-bentley-hillsdale-regina,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-103,The Bentley Moose Jaw,Independent Living,425 4th Ave. NW,Moose Jaw,SK,Canada,S6H 8B7,306-692-7161,http://www.reveraliving.com/retirement-living/locations/the-bentley-moose-jaw,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-104,The Bentley Saskatoon,Independent Living,1622B Acadia Drive,Saskatoon,SK,Canada,S7H 5H7,306-477-1555,http://www.reveraliving.com/retirement-living/locations/the-bentley-saskatoon,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-105,The Bentley Swift Current,Independent Living,301 Macoun Dr,Swift Current,SK,Canada,S9H 0A1,306-773-5690,http://www.reveraliving.com/retirement-living/locations/bentley-swift-current,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-106,The Bentley Yorkton,Independent Living,94 Russell Dr,Yorkton,SK,Canada,S3N 3W2,306-782-5552,http://www.reveraliving.com/retirement-living/locations/the-bentley-yorkton,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-107,The Churchill,"Assisted Living, Independent Living",10015 103rd Ave,Edmonton,AB,Canada,T5J 0H1,780-420-1222,http://www.reveraliving.com/retirement-living/locations/the-churchill,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-108,The Claremont,Independent Living,305 Balliol St,Toronto,ON,Canada,M4S 3H5,416-440-0012,http://www.reveraliving.com/retirement-living/locations/the-claremont,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-109,The Dorchester,Independent Living,863 Leon Ave,Kelowna,BC,Canada,V1Y 9V4,250-860-0725,http://www.reveraliving.com/retirement-living/locations/the-dorchester,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-110,The Edgemont,"Assisted Living, Independent Living, Memory Care",80 Edenwold Dr NW,Calgary,AB,Canada,T3A 5R9,403-241-8990,http://www.reveraliving.com/retirement-living/locations/the-edgemont,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-111,The Edinburgh,"Independent Living, Memory Care",10 Vaughan St,Ottawa,ON,Canada,K1M 2H6,613-747-2233,http://www.reveraliving.com/retirement-living/locations/the-edinburgh,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-112,The Franklin,Independent Living,220 24th St E,Saskatoon,SK,Canada,S7K 8E9,306-664-6366,http://www.reveraliving.com/retirement-living/locations/the-franklin-saskatoon,Retirement Home
Canada-National-35-CAN-RetirementHomes-output-113,The Heartland,"Assisted Living, Independent Living, Seniors' Apartments",47 Riverside Gate,Okotoks,AB,Canada,T1S 0J2,403-938-4448,http://www.reveraliving.com/retirement-living/locations/the-heartland,Retirement Home
