row_id,Facility Name,Address1,Address2,City,Zip,State,Phone,Fax,Mailing Address1,Mailing Address2,Mailing City,Mailing Zip,Mailing State,Licensed Beds,Country,facility_type
USA-GA-78-GA-All-output-20,"ARC HOUSE, THE",315 SMYRNA  POWDER SPRINGS RD,,MARIETTA,30060,GA,7703190796,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-21,TOUCHING LIVES,6859 CAVALIER COURT,,STONE MOUNTAIN,30087,GA,6784760458,4049632068,6859 CAVALIER COURT,,STONE MOUNTAIN,30087,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-22,"BUTTERFIELD HOUSE, THE",1391 PAIR ROAD,,MARIETTA,30006,GA,6785569936,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-23,JENNINGS WAY,1680 JENNINGS WAY,,NORCROSS,30093,GA,7705829575,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-24,NORTHSIDE #1,2013 NORTHSIDE DRIVE,,VALDOSTA,31602,GA,2292479754,,2110 N. PATTERSON ST,SUITE A,VALDOSTA,31602,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-25,KNIGHTS BRIDGE,3823 KNIGHTS BRIDGE,,LILBURN,30047,GA,7709781490,7709081360,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-26,ZEMORY,1708 ZEMORY DRIVE,,TUCKER,30084,GA,7709341709,,2296 HENDERSON MILL RAOD,SUITE 203,ATLANTA,30345,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-27,RADBURY LANE,2379 RADBURY LANE,,SNELLVILLE,30078,GA,7709723925,,3300 NE EXPRESSWAY,BLDG.9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-28,TYNDALL #1,2802 TYNDALL DRIVE,,VALDOSTA,31602,GA,2292420406,,2110 N. PATTERSON ST,SUITE A,VALDOSTA,31602,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-29,RAYS,1152 RAYS ROAD,,STONE MOUNTAIN,30083,GA,4045010132,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-30,WORLEY,3270 MAYFLOWER DRIVE,,MARIETTA,30066,GA,7705909411,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-31,WEST 500,500 WEST 5TH STREET,,ADEL,31620,GA,2298963239,2298963239,2110 NORTH PATTERSON STREET,,VALDOSTA,31602,GA,5,US,Nursing Home
USA-GA-78-GA-All-output-32,NOTTINGHAM,1100 NOTTINGHAM DRIVE,,MACON,31211,GA,4787435927,4784718221,3300 NE EXPRESSWAY BLDG. 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-33,OSWOOD,4625 OSWOOD COURT,,TUCKER,30084,GA,7709349336,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-34,WINDSOR,852 WINDSOR ROAD,,MACON,31204,GA,4784059619,4784718221,3300 NE EXPRESSWAY BLDG. 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-35,WETHERSFIELD,7774 WETHERSFIELD DRIVE,,JONESBORO,30236,GA,7704788827,,3300 NE EXPESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-36,61 ROSE COURT,61 ROSE COURT,PIGEON BLUFF APTS,MANCHESTER,31816,GA,7068462880,,P.O. BOX 690,,GREENVILLE,30222,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-37,CEDAR MILL,2340 CEDAR MILL DRIVE,,CONYERS,30094,GA,7709293823,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-38,SUMAC,2986 SUMAC DRIVE,,ATLANTA,30360,GA,7708280277,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-39,36 ROSE COURT,36 ROSE COURT,PIGEON CREEK APTS,MANCHESTER,31816,GA,7068465565,,P. O. BOX 690,,GREENVILLE,30222,GA,2,US,Nursing Home
USA-GA-78-GA-All-output-40,DUSTY RIDGE,5615 DUSTY RIDGE TRAIL,,BUFORD,30518,GA,7706147259,,2296 HENDERSON MILL ROAD,SUITE 203,ATLANTA,30345,GA,2,US,Nursing Home
USA-GA-78-GA-All-output-41,KIERNAN GROUP HOME,5593 KIERNAN DRIVE,,MACON,31217,GA,4787433966,,5593 KIERNAN DRIVE,,MACON,31217,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-42,"OWL'S RETREAT, THE",2858 SANTA BARBARA DRIVE,,DECATUR,30032,GA,4042884782,,2858 SANTA BARBARA DRIVE,,DECATUR,30032,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-43,PERCH,3240 PERCH DRIVE,,MARIETTA,30008,GA,7704393707,,2296 HENDERSON MILL ROAD,SUITE 203,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-44,OWLS RETREAT CLA II,3024 DONAVAN WAY,,DECATUR,30034,GA,4042840053,,3024 DONAVAN WAY,,DECATUR,30034,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-45,JENNA LANE,2585 JENNA LANE,,LITHIA SPRINGS,30122,GA,7709470761,,2296 HENDERSON MILL ROAD,SUITE 202,ATLANTA,30345,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-46,DUNCAN WALK,7110 DUNCAN WALK,,MCDONOUGH,30252,GA,6784328174,,3300 NE EXPRESSWAY,BLDG 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-47,EDGEWOOD,2206 EDGEWOOD DRIVE,,AUGUSTA,30904,GA,7066670102,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-48,FISHER,8004 FISHER DRIVE,,JONESBORO,30236,GA,6784793956,,3300 NE EXPRESSWAY BLDG. 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-49,1360 NEW HUTCHINSON MILL ROAD,1360 NEW HUTCHINSON MILL ROAD,,LAGRANGE,30240,GA,7068849447,,1710 SHOREWOOD DRIVE,,LAGRANGE,30240,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-50,GENERAL WINSHIP,2187 GENERAL WINSHIP,,MACON,31204,GA,4787440630,4787440630,330 NE EXPRESSWAY BLDG. 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-51,CATRINA COURT,649 CATRINA COURT,,STONE MOUNTAIN,30087,GA,7704134143,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-52,CHIMNEY HILL,650 CHIMNEY HILL CIRCLE,,EVANS,30809,GA,7068603420,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-53,CHATHAM VIEW,4279 CHATHAM VIEW DRIVE,,BUFORD,30518,GA,7709452756,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-54,COUNTRY PLACE,2045 COUNTRY PLACE DRIVE,,AUGUSTA,30906,GA,7067929433,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-55,CHRISTINE'S HOUSE,5546 DOWNS COURT,,LITHONIA,30058,GA,7708089201,,5546 DOWNS COURT,,LITHONIA,30058,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-56,DUKE,1014 DUKE DRIVE,,CONYERS,30013,GA,7708600715,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-57,GARDNERS MILL,140 GARDNERS MILL,,AUGUSTA,30907,GA,7068607243,,3300 NE EXPRESSWAY,BLDG.9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-58,FOX HALL,2954 FOX HALL CIRCLE,,AUGUSTA,30907,GA,7062103356,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-59,SUSSEX COURT,2275 SUSSEX CT,,SNELLVILLE,30078,GA,7709825108,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-60,HIGHFIELD DRIVE,1257 HIGHFIELD DRIVE,,LAWRENCEVILLE,30043,GA,7709620987,,3300 NE EXPESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-61,EASTMAN HOUSE,5555 PATILLO WAY,,LITHONIA,30058,GA,7704697731,7705723687,5555 PATILLO WAY,,LITHONIA,30058,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-62,HARWOOD,2819 HARWOOD STREET,,HEPHZIBAH,30815,GA,7067710487,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-63,FRANKS,4054 FRANKS DRIVE,,TUCKER,30084,GA,7709089885,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-64,SAND HILL DRIVE,3593 SANDHILL DRIVE,,CONYERS,30094,GA,7707857122,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-65,GLENWOODS,8273 GLENWOODS DRIVE,,RIVERDALE,30274,GA,7704730615,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-66,TRUE COMFORT CARE HOME,1155 HELICAN SPRING ROAD,,ATHENS,30601,GA,7063456827,,1155 HELICAN SPRING ROAD,,ATHENS,30601,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-67,TANYARD,140 TANYARD COURT,,NEWBORN,30056,GA,7707870670,,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-68,FLINTLOCK DRIVE,3486 FLINTLOCK DRIVE,,COLUMBUS,31907,GA,7065658594,7063226576,P.O. BOX 5328,,COLUMBUS,31906,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-69,SUSSEX ROAD,3008 SUSSEX ROAD,,AUGUSTA,30909,GA,7067389525,,3300 NE EXPRESSWAY,BLDG.9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-70,SWEETWATER,3922 SWEETWATER DRIVE,,VALDOSTA,31602,GA,2292417359,2292417359,3300 NE EXPRESSWAY,BLDG. 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-71,CREEKSIDE DRIVE,6072 CREEKSIDE DRIVE,,COLUMBUS,31907,GA,7065680123,7063226576,P.O. BOX 5238,,COLUMBUS,31906,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-72,CELIA DRIVE,1837 CELIA DRIVE,,COLUMBUS,31907,GA,7065636093,7063226576,P. O. BOX 5328,,COLUMBUS,31906,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-73,DEMBURE CLA V,2331 BERMUDA RUN COURT,,DECATUR,30035,GA,6786444435,,5305 SNAPFINGER WOODS,,DECATUR,30035,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-74,"HOUSE ON GREENBROOK CIRCLE, THE",6171 GREENBROOK CIRCLE,,AUSTELL,30168,GA,7707453572,,1945 CLIFF VALLEY WAY SUITE 220,,ATLANTA,30329,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-75,STAFFED FACILITY II,318 BURG ROAD,,JENKINSBURG,30234,GA,7709542398,,PO BOX 1320,,GRIFFIN,30224,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-76,LAUREL I,221 LAUREL STREET,,GRIFFIN,30224,GA,7704120550,,PO BOX 1320,,GRIFFIN,30224,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-77,WATSON STREET,180 WATSON STREET,,JACKSON,30233,GA,7705040115,,PO BOX 1320,,GRIFFIN,30224,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-78,ROSEBRIER GROUP HOME,2420 ROSEBRIER AVENUE,,ALBANY,31705,GA,2298882971,2298886875,P.O. BOX 71026,,ALBANY,31708,GA,6,US,Nursing Home
USA-GA-78-GA-All-output-79,ROYALWYN DRIVE,1679 ROYALWYN DRIVE,,MACON,31220,GA,4787577199,4787577199,105 PRESTON COURT,SUITE A,MACON,13210,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-80,BRIERWOOD MALE GROUP HOME,2405 BRIERWOOD DRIVE,,ALBANY,31705,GA,2298831895,,P.O. BOX 71026,,ALBANY,31708,GA,5,US,Nursing Home
USA-GA-78-GA-All-output-81,BRIERWOOD FEMALE GROUP HOME,2407 BRIERWOOD DRIVE,,ALBANY,31705,GA,2294356885,,P.O. BOX 71026,,ALBANY,31708,GA,5,US,Nursing Home
USA-GA-78-GA-All-output-82,LIVE OAK COMMUNITY LIVING ARRANGEMENT,879 LIVE OAK LANE,,MACON,31220,GA,4784717883,4784717883,9901 LINN STATION ROAD,,LOUISVILLE,40223,KY,3,US,Nursing Home
USA-GA-78-GA-All-output-83,HOLLY GROUP HOME,400 HOLLY DRIVE,,ALBANY,31705,GA,2294367187,2298886875,P. O. BOX 71026,,ALBANY,31708,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-84,DEMBURE CLA I,2100 S HAIRSTON ROAD,,DECATUR,30032,GA,7703225542,,2100 S HAIRSTON ROAD,,DECATUR,30032,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-85,RUFUS COODY HOME FOR WOMEN,310 COLLIER STREET,,VIENNA,31092,GA,2292686546,2292686763,1212 JENKINS STREET,,VIENNA,31092,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-86,DEMBURE CLA III,1520 S HAIRSTON ROAD,,STONE MOUNTAIN,30088,GA,7705931240,,1520 S HAIRSTON ROAD,,STONE MOUNTAIN,30088,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-87,PARTRIDGE GROUP HOME,2817 PARTRIDGE LANE,,ALBANY,31721,GA,2298882970,,P.O. BOX  71026,,ALBANY,31708,GA,6,US,Nursing Home
USA-GA-78-GA-All-output-88,DEMBURE CLA II,2057 PANOLA ROAD,,LITHONIA,30058,GA,7709878964,,2057 PANOLA ROAD,,LITHONIA,30058,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-89,NEW DOMUS,2650 COLONIAL DRIVE,,COLLEGE PARK,30337,GA,4042099296,,2650 COLONIAL DRIVE,,COLLEGE PARK,30337,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-90,ENABLE / EAST HEMBREE,805 EAST HEMBREE CROSSING,,ROSWELL,30076,GA,7707511428,,1200 OLD ELLIS ROAD,SUITE A,ROSWELL,30076,GA,5,US,Nursing Home
USA-GA-78-GA-All-output-91,302 N RAILROAD STREET,302 N RAILROAD STREET,,GLENNVILLE,30427,GA,9126544791,,6600 ABERCORN STREET,SUITE 107,GLENNVILLE,30427,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-92,FRED'S HOUSE,507 WATSON MILL ROAD,,COMER,30629,GA,7067834664,,507 WATSON MILL ROAD,,COMER,30629,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-93,OWLS RETREAT CLA III,515 N HAIRSTON ROAD,,STONE MOUNTAIN,30083,GA,7705594544,,515 N HAIRSTON ROAD,,STONE MOUNTAIN,30083,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-94,JEWELL'S PLACE,527 WATSON MILL ROAD,,COMER,30629,GA,7067833242,,527 WATSON MILL ROAD,,COMER,30629,GA,2,US,Nursing Home
USA-GA-78-GA-All-output-95,MONICA EVELYN,1761 RIDGECREST DRIVE,,MONROE,30655,GA,7702678053,,1761 RIDGECREST DRIVE,,MONROE,30655,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-96,LEXINGTON II,8856 LEXINGTON DRIVE,,JONESBORO,30238,GA,6784796052,,8856 LEXINGTON DRIVE,,JONESBORO,30238,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-97,WHEATON PLACE,1300 RICHARDSON STREET,,SAVANNAH,31406,GA,9126512887,9122382959,700 COASTAL VILLAGE DR,,BRUNSWICK,31520,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-98,LIBERTY GROUP HOME #A,760-A SOUTH MAIN STREET,,HINESVILLE,31313,GA,9123687472,,700 COASTAL VILLEGE DRIVE,,BRUNSWICK,31520,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-99,SUDBURY GROUP HOME,780 SUDBURY ROAD,,ATLANTA,30310,GA,7703520297,,780 SUDBURY ROAD,,ATLANTA,30310,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-100,ROSE PARK I,1625 ROSWELL ROAD APT 824,,MARIETTA,30062,GA,7709732677,,1945 CIIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,2,US,Nursing Home
USA-GA-78-GA-All-output-101,ROSE PARK II,1625 ROSWELL ROAD APT 907,,MARIETTA,30062,GA,7709778318,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,2,US,Nursing Home
USA-GA-78-GA-All-output-102,LAKEVIEW ROAD,1506 LAKEVIEW ROAD,,GRAYSON,30017,GA,7709826748,,3300 NE EXPESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-103,HEARTEASE CLA,1545 KELLEYS CLOSE,,STONE MOUNTAIN,30088,GA,7708796888,,1545 KELLEYS CLOSE,,STONE MOUNTAIN,30088,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-104,CASTLEWOOD COURT,4301 CASTLEWOOD COURT,,COLUMBUS,31907,GA,7065630565,7065630565,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-105,JASON COURT,1340 JASON COURT,,COLUMBUS,31904,GA,7063171905,7063171905,3300 NE EXPRESSWAY BUILDING 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-106,1432 QUEENSBURY STREET,1432 QUEENSBURY STREET,,SAVANNAH,31406,GA,9126910416,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-107,ANN ST CLA,44 ANN STREET,,TALLAPOOSA,30176,GA,7705749496,,44 ANN STREET,,TALLAPOOSA,30176,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-108,BEAVER RUN DRIVE,9 BEAVER RUN DRIVE,,SAVANNAH,31419,GA,9129615754,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-109,OLD MILL COURT,13 OLD MILL COURT,,SAVANNAH,31419,GA,9129617087,,3300 NE EXPRESSWAY,BUILDING 9,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-110,HAPPY TRAIL,1393 HAPPY TRAIL,,MACON,31220,GA,4784751899,4784751899,9901 LINN STATION ROAD,,LOUISVILLE,40223,KY,3,US,Nursing Home
USA-GA-78-GA-All-output-111,ALBANY MENTOR COMMUNITY HOUSE,2318 WEST ALBERSON DRIVE,,ALBANY,31721,GA,2294390272,2294356075,2302 PARKLAKE DRIVE,,ATLANTA,30345,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-112,SPECTRUM HABILITATION SVCS #3,1747 DANRICH DRIVE,,DECATUR,30032,GA,4042862136,,175 GEORGIA AVE E,,FAYETTEVILLE,30214,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-113,SPECTRUM HABILITATION SVCS #2,2339 TILSON CIRCLE,,DECATUR,30032,GA,4042431230,,175 GEORGIA AVE E,,FAYETTEVILLE,30214,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-114,ALTERNATIVE RESIDENTIAL OPTION,101 OWENS LANE,BLDG 400,BARNESVILLE,30204,GA,7703588242,,1435 NORTH EXPRESSWAY,SUITE 301,GRIFFIN,30224,GA,9,US,Nursing Home
USA-GA-78-GA-All-output-115,HARBINSVIEW II,880 HARBINSVIEW DRIVE,,DACULA,30019,GA,7709630760,,734 STRATTON COURT,,DACULA,30019,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-116,SPECTRUM HABILITATION SVCS #5,1 BRADDOCK COURT,,COLUMBUS,31907,GA,7062214546,7709969442,175 GEORGIA AVE E,,FAYETTEVILLE,30214,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-117,DIAMOND COMMUNITY LIVING HOME 1,112 MAGAZINE STREET,,DALLAS,30157,GA,7705053467,,112 MAGAZINE STREET,,DALLAS,30157,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-118,NEW HEIGHTS #2,509 POTTERSTONE SQUARE,,POOLER,31322,GA,9127486871,,419 FLINT DRIVE,,RINCON,31326,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-119,CANTERBURY LANE,13112 CANTERBURY LANE,,SAVANNAH,31419,GA,9129257635,,3300 NE EXPRESSWAY BLDG 9,,ATLANTA,30341,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-120,BRYANA CARE,3702 ROCKBRIDGE ROAD,,STONE MOUNTAIN,30083,GA,4043431304,,3702 ROCKBRIDGE ROAD,,STONE MOUNTAIN,30083,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-121,NEW HEIGHTS #3,511 POTTERSTONE SQUARE,,POOLER,31322,GA,9127489626,,419 FLINT DRIVE,,RINCON,31326,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-122,DEMBURE CLA IV,5416 BIFFLE ROAD,,STONE MOUNTAIN,30088,GA,6786444435,,5416 BIFFLE ROAD,,STONE MOUNTAIN,30088,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-123,SOUTH GORDON ROAD,5884 GORDON ROAD,,AUSTELL,30168,GA,6784643879,,1945 CILFF VALLEY WAY,,ATLANTA,30329,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-124,ROSE PARK III,1625 ROSWELL ROAD APT #303,,MARIETTA,30062,GA,7705798955,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,3,US,Nursing Home
USA-GA-78-GA-All-output-125,EAST COBB HAMPTONS APT 636,1523 ROSWELL ROAD APT 636,,MARIETTA,30062,GA,7709734138,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,2,US,Nursing Home
USA-GA-78-GA-All-output-126,POWELL HOUSE,902 COLEMAN ROAD,,MARIETTA,30064,GA,6785815933,,1945 CLIFF VALLEY WAY,SUITE 220,ATLANTA,30329,GA,4,US,Nursing Home
USA-GA-78-GA-All-output-127,SAINT PETER'S CLA,1175 OLD HARRIS ROAD,SUITE 1013,DALLAS,30157,GA,7704858703,7705565500,5200 DALLAS HWY,SUITE 200-210,POWDER SPRINGS,30127,GA,4,US,Nursing Home
