row_id,Name of Home,License #,Extension To Date,Licensed To,Licensed From,Lic Type,Type Res,# Res,Owner/Agency,Adm First Name,Adm Last Name,Dsgne First Name,Dsgne Last Name,Website Phone #,Fax #,email address,Mailing Address,M City,M ZIP Code,Physical Address,P City,P ZIP Code,Sprinkler,facility_type
USA-AK-70-AK-AssistedLiving-output-11,Advantage Senior Care LLC,100853,,31-Jul-19,1-Aug-17,Biennial,SS,2,Mary D. Troup,Mary D.,Troup,Candace,Bishop,345-3416,,nursemate43@yahoo.com,9639 Musket Ball Circle,Anchorage,99507,2060 Brigadier,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-12,Aimaagvik Assisted Living,101209,,30-Sep-17,29-Feb-16,Provisional,SS,12,Arctic Slope Native Association,Richard,Hall,Kimberlee,Head,852-0272,,diane.nosbisch@arcticslope.org,PO Box 29,Utqiagvik,99723,5452 North Star Street,Utqiagvik,99723,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-13,"AK Care, Comfort and Company",297,,31-Dec-17,1-Jan-16,Biennial,SS,5,Irene E De Leon,Irene,De Leon,Eddie,Adrayann,929-1234,,alaskacare@gci.net,PO Box 240704,Anchorage,99524,1419 Annapolis Drive,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-14,AK Holly Haven,100645,,30-Sep-19,1-Sep-17,Biennial,DD/MH,4,Kelly Godwin,Kelly,Barrett-Godwin,Scott,Godwin,727-3442,,kellygalaska35@gmail.com,15700 E. Clark Rd,Palmer,99645,4253 N. Clark WolverineRd,Palmer,99645,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-15,AK Nurtured Living,101120,,30-Sep-18,1-Oct-16,Biennial,DD/MH,5,AK Nurtured Living,Kelly,Macon,Carrie,Lofgreen,754-3550,,Kellyscott96@yahoo.com,17350 Dorismae Circle,Plamer,99645,17350 Dorismae Circle,Palmer,99645,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-16,Alaska Care Assisted Living,101221,,28-Feb-18,1-Mar-17,Provisional,SS,5,"Alaska Care Assisted Living, LLC",Kristel,Talley,Angela,Greenleaf,227-5306,,kristelstout@gmail.com,11950 Suncrest Drive,Anchorage,99515,3120 W. 79th Ave,Anchorage,99502,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-17,Alaska Care Home,101196,,31-Jul-18,3-Aug-17,Provisional,DU,5,Julie Fiess,Julie,Fiess,Tamera,Thumma,903-3619,,juliedf@gmail.com,5511 W. Montclaire Ave,Wasilla,99623,5511 W. Montclaire Avenue,Wasilla,99623,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-18,Alaska Helps Assisted Living Home,100850,,31-May-19,1-Jun-17,Biennial,DD/MH,5,Ann Neavill,Ann,Neavill,Annie,Neavill,727-3057,522-6457,akhelps1@gmail.com,PO Box 243601,Anchorage,99524,4861 Southpark Bluff Drive,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-19,"Alaska Olive Care II, LLC",101151,,30-Apr-19,1-May-17,Biennial,DU,16,Alaska Olive Care LLC,Mark,Raiter,Lucy,Bauer,440-1084,245-3472,lucyb1127@yahoo.com,PO Box 1111587,Anchorage,99511,708 N. Bunn St.,Anchorage,99508,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-20,Alaska Olive Care LLC,101102,,30-Apr-18,1-May-16,Biennial,DU,16,Alaska Olive Care LLC,Mark,Raiter,Lucy,Bauer,440-1084,,spankyventura@aol.com,PO Box 1111587,Anchorage,99511,702 N. Bunn St.,Anchorage,99508,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-21,Alaska Premier Assisted Living LLC,101226,,31-Mar-18,27-Apr-17,Provisional,DD/MH,2,Alaska Premier Assisted Living LLC,Andre,Walker,Ariana,Jackson,907.382.0991,,alaskapremierassistedliving@gmail.com,9119 Little Brook St,Anchorage,99507,4635 E. 4th Ave,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-22,Alaska Quality Care,101091,,31-Dec-17,1-Jan-16,Biennial,DD/MH,16,"Alaska Quality Care, LLC",Lucy,Bauer,Mark,Raiter,433-9189,866-536-5825,lucyb1127@yahoo.com,PO Box 1111587,Anchorage,99511,8811 Cordell Circle,Anchorage,99502,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-23,"Alaska Quality Care II, LLC",101138,,31-Jan-19,1-Feb-17,biennial,DD/MH,16,Alaska Quality Care II LLC,Lucy,Bauer,Mark,Raiter,907-433-9189,,lucyb1127@yahoo.com,PO Box 1111587,Anchorage,99511,4010 E. 8th Ave,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-24,Alaska Veterans' and Pioneers' Home,77,,31-Aug-18,1-Sep-16,Biennial,SS,79,State of Alaska,Joshua,Shaver,Karen,Atherton,745-4241,,joshua.shaver@alaska.gov,250 E. Fireweed,Palmer,99645,250 E. Fireweed,Palmer,99645,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-25,Alaskan Folks,101153,,31-May-19,1-Jun-17,Biennial,SS,2,Marjory & David Leckwold,Marjory,Leckwold,David,Leckwold,376-8320,,marjory@mtaonline.net,PO Box 877835,Wasilla,99687,8320 S. Kingfisher Dr.,Wasilla,99654,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-26,"Alaskan Red Assisted Living, LLC",101207,,31-Dec-18,2-Jan-17,Provisional,DD/MH,3,Malannie Vongxay,Malannie,Vongxay,Alexis,Rodriguez,891-3827,,alaskanredassistedlivingllc@gmail.com,PO box 141782,Anchorage,99514,6291 Gross Drive,Anchorage,99514,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-27,Alaskan Ruby ALH,100722,,31-Oct-17,1-Nov-15,Biennial,SS,5,Virginia Rafael,Virginia,Rafael,Rudolfo,Rafael,350-7781,339-9403,virginiarafael70@yahoo.com,1130 Contrary Court,Anchorage,99515,1130 Contrary Court,Anchorage,99515,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-28,Aldergrove Assisted Living,100978,,30-Nov-19,1-Aug-17,Biennial,SS,5,Brian Sherbondy,Brian,Sherbondy,Elizabeth,Moore,435-3938,,aldergroveassistedliving@hotmail.com,P.O. Box 1954,Homer,99603,41045 Denny Lane,Homer,99603,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-29,Alfredo Bolivar Assisted Living Home,100363,,31-Aug-18,1-Sep-16,Biennial,DD/MH,5,Alfredo Bolivar,Alfredo,Bolivar,Justin,Parson,868-7548,868-5155,ALFREDOBOLIVAR@gci.net,2425 Marian Bay Circle,Anchorage,99515,2425 Marian Bay Circle,Anchorage,99515,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-30,Alkamba Assisted Living Home,100960,,31-May-19,1-Jun-17,Biennial,DD/MH,3,Sidat & Fatou Marenah,Sidat,Marenah,Fatou,Marenah,278-1754,677-9211,sidatmarenah@aol.com,"1545 Demeure Place, Apt A",Anchorage,99508,"1545 Demeure Place, Apt A",Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-31,"All About Care I, Inc.",100418,,31-Oct-17,1-Nov-15,Biennial,SS,5,All About Care Inc.,Mercy,Sullivan,Maria,McLinn-Davison,339-9688,,allaboutcare@gci.net,9300 Aphrodite Dr.,Anchorage,99515,9300 Aphrodite Drive,Anchorage,99515,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-32,"All About Care II, Inc.",100611,,30-Nov-17,1-Dec-15,Biennial,SS,5,All About Care Inc.,Mercy,Sullivan,Maria,McLinn-Davison,339-9683,,allaboutcare@gci.net,9300 Aphrodite Dr.,Anchorage,99515,2517 Azurite Circle,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-33,"All About Care III, Inc.",100696,,30-Nov-17,27-Nov-15,Biennial,SS,5,All About Care Inc.,Mercy,Sullivan,Maria,McLinn-Davison,339-0482,,allaboutcare@gci.net,9300 Aphrodite Dr.,Anchorage,99515,2515 Azurite Circle,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-34,"All About Care IV, Inc",100776,,30-Jun-18,1-Jul-16,Biennial,SS,5,All About Care Inc.,Mercy,Sullivan,Maria,McLinn-Davison,339-0492,,allaboutcare@gci.net,9300 Aphrodite Dr.,Anchorage,99515,2505 Azurite Circle,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-35,Alpenglow Short Term Assisted Living,101113,,31-Aug-18,1-Sep-16,biennial,SS,9,"ALF, LLC",Christina,Morgan,Megan,Hensley,562-5080,562-5081,allaboutcare@gci.net,"3801 Lake Otis Parkway, Suite 250",Anchorage,99508,"3801 Lake Otis Parkway, Suite 250",Anchorage,99508,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-36,Alpha-Omega,100922,,30-Sep-18,21-Oct-16,Biennial,SS,5,Young Han Ji and Stefanie Halls,Young Han,Ji,Victor,Bolotaolo,245-7405,,djkoolji@yahoo.com,1023 State St. Unit B,Anchorage,99504,1023 State St. Unit B,Anchorage,99504,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-37,Alpine ALH,100450,,31-Aug-18,22-Aug-16,Biennial,SS,5,Helena Ogarro,Helena,Ogarro,Jeanice,Ogarro,947-3795,,hregiste@yahoo.com,7951 Alpine View,Anchorage,99507,3811 Gardner Street,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-38,"Althea Assisted Living Home, LLC",101172,,30-Sep-17,29-Sep-16,Provisional,DU,5,"Althea Assisted Living Home, LLC",Daine,Vivit,Mae Dawn,Coloma,322-3032,322-3031,altheaALH@yahoo.com,2634-B Carroll Place,Anchorage,99508,2634-B Carroll Place,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-39,Ambassador For Christ (AFC) Div. Svcs.,101117,,30-Sep-18,6-Jun-17,Biennial,DD/MH,3,Cynthia Revels,Cynthia,Revels,Lamont,Madrey,575-9709,,afcnq1@gci.net,7201 Biglerville Circle,Anchorage,99507,7201 Biglerville Circle,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-40,Amber Drive,101082,,31-Oct-17,13-Apr-16,Biennial,DD/MH,4,Gentle Care Services Inc.,Jerry,Isolokwu,Jeanne,Owen,907-631-3078,907-631-3518,jeanne.owen@genacta.com,591 N. Knik St. Ste E & F,Wasilla,99654,5545 S. Irwin Drive #3,Wasilla,99654,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-41,Ananda House,100964,,31-May-19,5-Jul-17,Biennial,DD/MH,2,Kate Gibbs,Kate,Gibbs,Eldon,Prater,982-7897,,kategibbs.prater@gmail.com,PO Box 877462,Wasilla,99687,3550 S. Valley View Drive,Wasilla,99623,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-42,Anchor House,100728,,30-Jun-18,1-Jul-16,Biennial,DU,63,Hallelujah Corporation LLC,Sk,Son,Tony,Braden,274-7391,,SK@anchor-house.biz,PO Box 241465,Anchorage,99524-1465,1058 W. 27th Avenue,Anchorage,99503,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-43,Anchorage Manor #1,100755,,31-May-18,1-Jun-16,Biennial,SS,5,"Judith A. Celario, Cresencia M. David, Jun Mark Robinson",Judith A.,Celario,Cresencia M. 317-1454,David,334-9986,334-1980,jcnewhaven@gci.net,3109 West 62nd Avenue,Anchorage,99502,2121 E. 73rd Avenue #1,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-44,Anchor'Care Assisted Living Home,100672,,31-Jan-18,1-Feb-16,Biennial,SS,4,Nelson Aniel,Nelson,Aniel,Leilanie,Corpus,720-9914,332-1122,nhaniel@alaska.net,"5225 East 22nd Ave., Unit B",Anchorage,99508,"5225 E. 22nd Ave., Unit B",Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-45,"Anchored Abode Assisted Living, LLC.",100936,,30-Nov-18,1-Dec-16,Biennial,DD/MH,5,Anchored Abode Assisted Living Home LLC,Daniel,Stanton,Irene,Sebastian,538-5858,334-3382,daniel.ray.stanton@gmail.com,"3909 Turnagain Blvd. East, Suite 1",Anchorage,99517,"3909 Turnagain Blvd. East, Suite 1",Anchorage,99517,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-46,Anderson-Smith Assisted Living Home,285,,31-Jan-19,1-Feb-17,Biennial,DD/MH,3,Deborah J. Anderson-Smith,Deborah J.,Anderson-Smith,Rosemary,Fitchett,694-1586,,debbie.debbie.andersonsmith1@gmail.com,26031 Log Cabin Circle,Eagle River,99577,26031 Log Cabin Circle,Eagle River,99577,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-47,Aoki House,101193,,30-Jun-18,1-Jul-17,Provisional,DD/MH,3,"All Good Homes, LLC",Jennifer,Downs,Jessica,Hager,631-3042,631-3046,jennifer@allgoodhomesllc.com,3551 North Aoki Drive,Wasilla,99654,3551 North Aoki Drive,Wasilla,99654,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-48,APC - Cormorant Cove,101049,,31-Mar-19,1-Apr-17,Biennial,SS,8,"Alaska Premium Care, Inc.",Kristel,Talley,Vaoiiva,Totua,222-6100,,,8431 Cormorant Cove Circle,Anchorage,99507,8431 Cormorant Cove Circle,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-49,APC - Wesleyan House,100941,,31-Jan-19,1-Feb-17,Biennial,SS,10,"Alaska Premium Care, Inc.",Kristel,Talley,Mary Lou,Vahinui,677-9000,334-3003,,2683 Wesleyan Drive,Anchorage,99508,2683 Wesleyan Drive,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-50,"Aphrodite Assisted Living Home II, Inc",100548,,31-Aug-18,1-Mar-17,Biennial,DU,2,Jun Mark J. Robinson,Jun Mark J.,Robinson,Judith,Celario,344-9442,,,11320 Willene Drive,Anchorage,99516,1610 Woo Blvd.,Anchorage,99515,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-51,"Aphrodite Assisted Living, Inc",271,,31-Jan-18,1-Mar-17,Biennial,DU,5,Jun Mark J. Robinson,Jun Mark J.,Robinson,Judith,Robinson,907-230-8486,907-868-1599,aphroditealh@gmail.com,11320 Willene Drive,Anchorage,99516,9101 Toloff Street,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-52,Aqqaimmuk House,101191,,30-Jun-18,1-Jul-17,Provisional,DD/MH,5,Maniilaq Association,Bree,Swanson,Stevan,Hulley,442-2224,,bree.swanson@maniilaq.org,PO Box 256,Kotzebue,99752,843 Turf St.,Kotzebue,99752,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-53,Arc - 2210 Unit #2,100969,,31-Jul-19,1-Aug-17,Biennial,DD/MH,3,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,777-0133,,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,2210 Arca Drive Unit #2,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-54,Arc - Aldona,100881,,31-Oct-17,1-Nov-15,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,6299 Aldona Cr.,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-55,Arc - Camelot A,100411,,31-Mar-19,1-Apr-17,Biennial,DD/MH,1,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,"5417 Camelot Drive, #A",Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-56,Arc - Camelot B,100198,,30-Apr-19,1-May-17,Biennial,DD/MH,1,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,"5419 Camelot Drive, #B",Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-57,Arc - Camrose,100199,,30-Apr-19,1-May-17,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,6100 Camrose Drive,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-58,Arc - Castle Court,361359,,30-Nov-18,1-Dec-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,4939 Castle Court,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-59,Arc - Collie Hill Way,100084,,31-Jan-18,1-Feb-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,2636 Collie Hill Way,Anchorage,99504,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-60,Arc - E. 67th,101031,,30-Nov-18,1-Dec-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,4070 E. 67th Avenue,Anchorage,99507,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-61,Arc - Elmore,100918,,30-Sep-18,1-Oct-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,4095 E. 68th Street,Anchorage,99507,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-62,Arc - Greendale,100146,,30-Nov-17,1-Dec-15,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,1720 Greendale Drive,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-63,Arc - H Street,100889,,31-Jan-18,1-Feb-16,Biennial,DD/MH,2,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,1033 H Street,Anchorage,99501,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-64,Arc - Jay Circle,354441,,30-Nov-18,1-Dec-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,810 Jay Circle,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-65,Arc - Kuskokwim,100999,,31-Jan-18,1-Feb-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,1830 Kuskokwim Street,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-66,Arc - Lionheart,358194,,31-Jan-19,1-Feb-17,Biennial,DD/MH,3,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,5256 Lionheart Drive,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-67,Arc - Lionheart B,100775,,30-Jun-18,1-Jul-16,Biennial,DD/MH,3,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,"5256 Lionheart Drive, Unit B",Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-68,Arc - Melody Place,100201,,31-May-19,1-Jun-17,Biennial,DD/MH,3,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,247 Melody Place,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-69,Arc - Old Harbor,100731,,31-Jan-18,1-Feb-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,7718 Old Harbor Road,Anchorage,99504,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-70,Arc - Park Strip,100178,,30-Nov-18,1-Dec-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,1033 H Street,Anchorage,99501,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-71,Arc - Warwick,100203,,31-Jan-19,1-Feb-17,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,4271 Warwick Drive,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-72,Arc - Wesleyan,100917,,30-Sep-18,1-Oct-16,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,3719 Wesleyan Drive,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-73,Arc - Winterhaven,100195,,31-Dec-18,1-Jan-17,Biennial,DD/MH,4,The Arc of Anchorage,Stephanie,Wheeler,Leah,Solberg,277-6677,272-2161,brath@thearcofanchorage.org,2211 Arca Drive,Anchorage,99508,840 Winter Haven Street,Anchorage,99504,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-74,Arctic Haven ALH I,239,,31-Dec-18,1-Jan-17,Biennial,SS,3,"Arctic Haven Assisted Living Home, Inc.",Herminigilda,Cayabyab,Myla G.C.,"Gatpandan, R.N.",258-0197,,mylagracia@gmail.com; gatpandan@hotmail.com,3300 E. 15th. Avenue #2,Anchorage,99508,3300 E. 15th. Avenue #1,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-75,Arctic Haven ALH II,274,,31-Jan-18,1-Feb-16,Biennial,SS,3,"Arctic Haven Assisted Living Home, Inc.",Herminigilda,Cayabyab,Myla G.C.,"Gatpandan, R.N.",258-0197,,gatpandan@hotmail.com,3300 E. 15th. Avenue #2,Anchorage,99508,3300 E. 15th Avenue #2,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-76,Arctic Haven ALH III,291,,30-Sep-18,1-Oct-16,Biennial,SS,5,"Arctic Haven Assisted Living Home, Inc.",Herminigilda,Cayabyab,Myla G.C.,"Gatpandan, R.N.",258-0197,,gatpandan@hotmail.com,3300 E. 15th. Avenue #2,Anchorage,99508,1504 Rosemary Street,Anchorage,99508,FALSE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-77,"Ariana ALH, LLC",100902,,30-Apr-19,1-May-17,Biennial,SS,5,Robert Pentecostes,Robert,Pentecostes,Julie Elaine,Pentecostes,,929-3494,arianahome_llc@yahoo.com,2337 East 72nd Ave.,Anchorage,99507,2337 East 72nd Ave.,Anchorage,99507,TRUE,Assisted Living
USA-AK-70-AK-AssistedLiving-output-78,Ark of Caring Assisted Living Home,100994,,30-Sep-17,13-Dec-16,Biennial,SS,5,Lawana Johnson,Lawana,Johnson,Julianne,Hildebrand,250-0708,,lawana_johnson@hotmail.com,7326 Kidron Street,Anchorage,99502,7326 Kidron Street,Anchorage,99502,TRUE,Assisted Living
