row_id,name,typeofcare,description,primary_phone,primary_phone_extension,secondary_phone,secondary_phone_extension,fax,email,website,low_rate,address_line_1,address_line_2,latitude,longitude,city,province,postal_code,country,neighborhood
USA-AK-70-AK-AssistedLiving-output-21,Alaska Premier Assisted Living Llc,Assisted Living,,(907) 382 0991,,,,,alaskapremierassistedliving@gmail.com,,,4635 E. 4th Ave,,61.2189936,-149.7939702,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-22,Alaska Quality Care,Assisted Living,,433 9189,,,,(866) 536 5825,lucyb1127@yahoo.com,,,8811 Cordell Circle,,61.1406863,-149.9428999,Anchorage,,99502,,Sand Lake
USA-AK-70-AK-AssistedLiving-output-23,"Alaska Quality Care II, Llc",Assisted Living,,(907) 433 9189,,,,,lucyb1127@yahoo.com,,,4010 E. 8th Ave,,25.8593176,-80.2669944,Anchorage,,99508,,
USA-AK-70-AK-AssistedLiving-output-24,Alaska VETERANS' And Pioneers' Home,Dementia Care;Assisted Living,,745 4241,,,,,joshua.shaver@alaska.gov,,,250 E. Fireweed,,61.596472,-149.113092,Palmer,,99645,,
USA-AK-70-AK-AssistedLiving-output-25,Alaskan Folks,Dementia Care;Assisted Living,,376 8320,,,,,marjory@mtaonline.net,,,8320 S. Kingfisher Dr.,,61.487294,-149.661833,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-26,"Alaskan Red Assisted Living, Llc",Assisted Living,,891 3827,,,,,alaskanredassistedlivingllc@gmail.com,,,6291 Gross Drive,,61.1641618,-149.8238619,Anchorage,,99514,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-27,Alaskan Ruby Alh,Dementia Care;Assisted Living,,350 7781,,,,339 9403,virginiarafael70@yahoo.com,,,1130 Contrary Court,,61.1359207,-149.8603994,Anchorage,,99515,,Bayshore / Klatt
USA-AK-70-AK-AssistedLiving-output-28,Aldergrove Assisted Living,Dementia Care;Assisted Living,,435 3938,,,,,aldergroveassistedliving@hotmail.com,,,41045 Denny Lane,,59.6769308,-151.6892425,Homer,,99603,,
USA-AK-70-AK-AssistedLiving-output-29,Alfredo Bolivar Assisted Living Home,Assisted Living,,868 7548,,,,868 5155,ALFREDOBOLIVAR@gci.net,,,2425 Marian Bay Circle,,33.8962953,-79.2934345,Anchorage,,99515,,
USA-AK-70-AK-AssistedLiving-output-30,Alkamba Assisted Living Home,Assisted Living,,278 1754,,,,677 9211,sidatmarenah@aol.com,,,"1545 Demeure Place, Apt A",,61.2071365,-149.8088005,Anchorage,,99508,,Airport Heights Community Council
USA-AK-70-AK-AssistedLiving-output-31,"All About Care I, INC.",Dementia Care;Assisted Living,,339 9688,,,,,allaboutcare@gci.net,,,9300 Aphrodite Drive,,61.1364568,-149.9140863,Anchorage,,99515,,Bayshore / Klatt
USA-AK-70-AK-AssistedLiving-output-32,"All About Care II, INC.",Dementia Care;Assisted Living,,339 9683,,,,,allaboutcare@gci.net,,,2517 Azurite Circle,,61.1459758,-149.8353557,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-33,"All About Care III, INC.",Dementia Care;Assisted Living,,339 0482,,,,,allaboutcare@gci.net,,,2515 Azurite Circle,,61.1465348,-149.8350426,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-34,"All About Care IV, INC",Dementia Care;Assisted Living,,339 0492,,,,,allaboutcare@gci.net,,,2505 Azurite Circle,,61.1462547,-149.8353812,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-35,Alpenglow Short Term Assisted Living,Dementia Care;Assisted Living,,562 5080,,,,562 5081,allaboutcare@gci.net,,,"3801 Lake Otis Parkway, Suite 250",,61.1857062,-149.8373635,Anchorage,,99508,,U-MED District
USA-AK-70-AK-AssistedLiving-output-36,Alpha-omega,Dementia Care;Assisted Living,,245 7405,,,,,djkoolji@yahoo.com,,,1023 State St. Unit B,,41.0989482,-112.0107997,Anchorage,,99504,,
USA-AK-70-AK-AssistedLiving-output-37,Alpine Alh,Dementia Care;Assisted Living,,947 3795,,,,,hregiste@yahoo.com,,,3811 Gardner Street,,61.1860126,-149.7822684,Anchorage,,99507,,U-MED District
USA-AK-70-AK-AssistedLiving-output-38,"Althea Assisted Living Home, Llc",Dementia Care;Assisted Living,,322 3032,,,,322 3031,altheaALH@yahoo.com,,,2634-B Carroll Place,,61.1963066,-149.7836015,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-39,Ambassador For Christ (afc) Div. Svcs.,Assisted Living,,575 9709,,,,,afcnq1@gci.net,,,7201 Biglerville Circle,,61.1553933,-149.8235514,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-40,Amber Drive,Assisted Living,,(907) 631 3078,,,,(907) 631 3518,jeanne.owen@genacta.com,,,5545 S. Irwin Drive #3,,61.519493,-149.618257,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-41,Ananda House,Assisted Living,,982 7897,,,,,kategibbs.prater@gmail.com,,,3550 S. Valley View Drive,,61.542181,-149.608022,Wasilla,,99623,,
USA-AK-70-AK-AssistedLiving-output-42,Anchor House,Dementia Care;Assisted Living,,274 7391,,,,,SK@anchor-house.biz,,,1058 W. 27th Avenue,,61.1959718,-149.9031542,Anchorage,,99503,,North Star
USA-AK-70-AK-AssistedLiving-output-43,Anchorage Manor #1,Dementia Care;Assisted Living,,334 9986,,,,334 1980,jcnewhaven@gci.net,,,2121 E. 73rd Avenue #1,,61.1549579,-149.8425289,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-44,Anchor'care Assisted Living Home,Dementia Care;Assisted Living,,720 9914,,,,332 1122,nhaniel@alaska.net,,,"5225 E. 22nd Ave., Unit B",,61.2009598,-149.7831729,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-45,"Anchored Abode Assisted Living, Llc.",Assisted Living,,538 5858,,,,334 3382,daniel.ray.stanton@gmail.com,,,"3909 Turnagain Blvd. East, Suite 1",,61.1850689,-149.9348611,Anchorage,,99517,,Turnagain
USA-AK-70-AK-AssistedLiving-output-46,Anderson-smith Assisted Living Home,Assisted Living,,694 1586,,,,,debbie.debbie.andersonsmith1@gmail.com,,,26031 Log Cabin Circle,,61.284984,-149.396632,Eagle River,,99577,,Eagle River
USA-AK-70-AK-AssistedLiving-output-47,Aoki House,Assisted Living,,631 3042,,,,631 3046,jennifer@allgoodhomesllc.com,,,3551 North Aoki Drive,,61.6203154,-149.3833957,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-48,Apc - Cormorant Cove,Dementia Care;Assisted Living,,222 6100,,,,,,,,8431 Cormorant Cove Circle,,61.1442245,-149.7897873,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-49,Apc - Wesleyan House,Dementia Care;Assisted Living,,677 9000,,,,334 3003,,,,2683 Wesleyan Drive,,61.1962573,-149.7880937,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-50,"Aphrodite Assisted Living Home II, INC",Dementia Care;Assisted Living,,344 9442,,,,,,,,1610 Woo Blvd.,,41.9109405,-87.672886,Anchorage,,99515,,West Town
USA-AK-70-AK-AssistedLiving-output-51,"Aphrodite Assisted Living, INC",Dementia Care;Assisted Living,,(907) 230 8486,,,,(907) 868 1599,aphroditealh@gmail.com,,,9101 Toloff Street,,61.138286,-149.841033,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-52,Aqqaimmuk House,Assisted Living,,442 2224,,,,,bree.swanson@maniilaq.org,,,843 Turf St.,,66.902939,-162.5839353,Kotzebue,,99752,,
USA-AK-70-AK-AssistedLiving-output-53,Arc - 2210 Unit #2,Assisted Living,,777 0133,,,,,brath@thearcofanchorage.org,,,2210 Arca Drive Unit #2,,61.200538,-149.819776,Anchorage,,99508,,Airport Heights Community Council
USA-AK-70-AK-AssistedLiving-output-54,Arc - Aldona,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,6299 Aldona Cr.,,61.1887434,-149.7639023,Anchorage,,99508,,U-MED District
USA-AK-70-AK-AssistedLiving-output-55,Arc - Camelot A,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,"5417 Camelot Drive, #A",,61.220577,-149.780341,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-56,Arc - Camelot B,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,"5419 Camelot Drive, #B",,61.2205494,-149.7803341,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-57,Arc - Camrose,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,6100 Camrose Drive,,61.1964718,-149.7658022,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-58,Arc - Castle Court,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,4939 Castle Court,,40.127117,-82.63694,Anchorage,,99508,,
USA-AK-70-AK-AssistedLiving-output-59,Arc - Collie Hill Way,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,2636 Collie Hill Way,,61.1962868,-149.774522,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-60,Arc - E. 67th,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,4070 E. 67th Avenue,,61.1598444,-149.8062223,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-61,Arc - Elmore,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,4095 E. 68th Street,,61.1593093,-149.806251,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-62,Arc - Greendale,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,1720 Greendale Drive,,61.2053364,-149.7268377,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-63,Arc - H Street,Assisted Living,,277 6677,,,,,brath@thearcofanchorage.org,,,1033 H Street,,61.2119826,-149.8969908,Anchorage,,99501,,
USA-AK-70-AK-AssistedLiving-output-64,Arc - Jay Circle,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,810 Jay Circle,,41.5357417,-87.4194734,Anchorage,,99504,,
USA-AK-70-AK-AssistedLiving-output-65,Arc - Kuskokwim,Assisted Living,,277 6677,,,,,brath@thearcofanchorage.org,,,1830 Kuskokwim Street,,61.203705,-149.830917,Anchorage,,99508,,Airport Heights Community Council
USA-AK-70-AK-AssistedLiving-output-66,Arc - Lionheart,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,5256 Lionheart Drive,,61.2203311,-149.7827007,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-67,Arc - Lionheart B,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,"5256 Lionheart Drive, Unit B",,61.2203311,-149.7827007,Anchorage,,99508,,Russian Jack Park
USA-AK-70-AK-AssistedLiving-output-68,Arc - Melody Place,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,247 Melody Place,,61.2213186,-149.7378046,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-69,Arc - Old Harbor,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,7718 Old Harbor Road,,61.2137073,-149.7361825,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-70,Arc - Park Strip,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,1033 H Street,,61.2119826,-149.8969908,Anchorage,,99501,,
USA-AK-70-AK-AssistedLiving-output-71,Arc - Warwick,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,4271 Warwick Drive,,61.1818641,-149.8461024,Anchorage,,99508,,Tudor Area
USA-AK-70-AK-AssistedLiving-output-72,Arc - Wesleyan,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,3719 Wesleyan Drive,,61.1871526,-149.7918829,Anchorage,,99508,,U-MED District
USA-AK-70-AK-AssistedLiving-output-73,Arc - Winterhaven,Assisted Living,,277 6677,,,,272 2161,brath@thearcofanchorage.org,,,840 Winter Haven Street,,61.2140429,-149.7540408,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-74,Arctic Haven Alh I,Dementia Care;Assisted Living,,258 0197,,,,,mylagracia@gmail.com;;gatpandan@hotmail.com,,,3300 E. 15th. Avenue #1,,61.2077341,-149.8199185,Anchorage,,99508,,Airport Heights Community Council
USA-AK-70-AK-AssistedLiving-output-75,Arctic Haven Alh II,Dementia Care;Assisted Living,,258 0197,,,,,gatpandan@hotmail.com,,,3300 E. 15th Avenue #2,,61.2077341,-149.8199185,Anchorage,,99508,,Airport Heights Community Council
USA-AK-70-AK-AssistedLiving-output-76,Arctic Haven Alh III,Dementia Care;Assisted Living,,258 0197,,,,,gatpandan@hotmail.com,,,1504 Rosemary Street,,61.207652,-149.819214,Anchorage,,99508,,Airport Heights Community Council
USA-AK-70-AK-AssistedLiving-output-77,"Ariana Alh, Llc",Dementia Care;Assisted Living,,,,,,929 3494,arianahome_llc@yahoo.com,,,2337 East 72nd Ave.,,61.155805,-149.838799,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-78,Ark Of Caring Assisted Living Home,Dementia Care;Assisted Living,,250 0708,,,,,lawana_johnson@hotmail.com,,,7326 Kidron Street,,61.1545432,-149.9904496,Anchorage,,99502,,Sand Lake
USA-AK-70-AK-AssistedLiving-output-79,Assisted Living Transitions I,Assisted Living,,727 2206,,,,,alttransitions@gmail.com,,,3154 Campbell Airstrip Rd.,,61.1922578,-149.7692094,Anchorage,,99504,,U-MED District
USA-AK-70-AK-AssistedLiving-output-80,Assisted Living Transitions II,Assisted Living,,727 2206,,,,,alttransitions@gmail.com,,,204 Patterson St.,,61.222025,-149.7490213,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-81,Assisted Living Transitions III,Assisted Living,,727 2206,,,,,alttransitions@gmail.com,,,2637 Kenmore Circle,,61.1955906,-149.7702178,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-82,Assisted Living Transitions IV,Assisted Living,,727 2206,,,,929 4900,alttransitions@gmail.com,,,9022 Sahalee Drive,,61.1390852,-149.7931331,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-83,Assisted Living Transitions V,Assisted Living,,,,,,,alttransitions@gmail.com,,,6121 Trappers Trail Road,,61.1152536,-149.7690946,Anchorage,,99516,,Mid-Hillside
USA-AK-70-AK-AssistedLiving-output-84,Atlas Home Care Assisted Living Home,Dementia Care;Assisted Living,,350 3606,,,,868 1588,ilbjosheran@yahoo.com,,,1825 Adonis Drive,,61.1329416,-149.9140121,Anchorage,,99515,,Bayshore / Klatt
USA-AK-70-AK-AssistedLiving-output-85,"Aumavae Cares, Llc.",Assisted Living,,602 5274,,,,,aumavaecares@gmail.com,,,4320 E. Cobblestone Drive,,61.655673,-149.340544,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-86,Aurora Assisted Living Home,Assisted Living,,382 2697,,,,,aalh@gci.net;;marz32@yahoo.com,,,7020 Scalero Circle,,61.1570324,-149.8226699,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-87,"Autumn Morningstar Alh, Llc",Dementia Care;Assisted Living,,351 0569,,,,(888) 291 5028,candis24@yahoo.com,,,16502 Baird Circle,,61.3405843,-149.5755074,Eagle River,,99577,,Eagle River
USA-AK-70-AK-AssistedLiving-output-88,Autumn Sunrise Assisted Living Home,Dementia Care;Assisted Living,,762 0800,,,,,candis24@yahoo.com,,,19216 Citation Road,,61.3141051,-149.5242237,Eagle River,,99577,,Eagle River
USA-AK-70-AK-AssistedLiving-output-89,Avelina's Assisted Living Home #2,Dementia Care;Assisted Living,,333 6649,,,,,vladrido@yahoo.com,,,285 Flower Steet,,61.2258184,-149.8062146,Anchorage,,99508,,Mountain View
USA-AK-70-AK-AssistedLiving-output-90,Baka's House,Assisted Living,,376 4190,,,,,eva.ingersoll@outlook.com,,,1100 McKee Street,,61.5886295,-149.4220132,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-91,Bayview Terrace Assisted Living Facility,Dementia Care;Assisted Living,,481 1607,,,,,bayviewalf@gci.net,,,309 Erskine Avenue,,57.7900467,-152.4013374,Kodiak,,99615,,
USA-AK-70-AK-AssistedLiving-output-92,Beaudion House,Assisted Living,,835 2110,,,,,,,,623 South Glacier Drive,,61.1342448,-146.3729425,VALDEZ,,99686,,
USA-AK-70-AK-AssistedLiving-output-93,Bella Home Care Llc,Dementia Care;Assisted Living,,830 3178,,,,,Becare@gci.net,,,8621 Kushtaka Circle,,61.1845469,-149.7205864,Anchorage,,99504,,Scenic Foothills
USA-AK-70-AK-AssistedLiving-output-94,"Benedict Assisted Living Home, Llc.",Assisted Living,,770 7008,,,,770 7008,bc14_@live.com,,,3511 Alamosa Drive,,61.141444,-149.945474,Anchorage,,99502,,Sand Lake
USA-AK-70-AK-AssistedLiving-output-95,Best Care Assisted Living,Dementia Care;Assisted Living,,344 4457,,,,344 4561,elmaong@hotmail.com,,,7120 Scalero Circle,,61.1561709,-149.82234,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-96,Best Care Assisted Living 2,Dementia Care;Assisted Living,,344 4561,,,,344 4561,elmaong@hotmail.com,,,11510 Tulin Park Loop,,61.1173751,-149.8320679,Anchorage,,99516,,Huffman / O' Malley
USA-AK-70-AK-AssistedLiving-output-97,Betel Alh,Assisted Living,,301 8108,,,,,betel_alh@hotmail.com,,,5901 E. 6th Ave #153,,61.2187562,-149.7670581,Anchorage,,99504,,Northeast Anchorage
USA-AK-70-AK-AssistedLiving-output-98,Bethel Assisted Living Home,Dementia Care;Assisted Living,,644 1055,,,,,jimeneztone@gmail.com,,,8401 Berry Patch Drive,,61.1464806,-149.9126861,Anchorage,,99502,,Sand Lake
USA-AK-70-AK-AssistedLiving-output-99,Betty J. VICKERS,Assisted Living,,301 8043,,,,,vic8531@aol.com,,,8531 E. 11th Court,,36.1480628,-95.8809583,Anchorage,,99504,,Mingo Valley
USA-AK-70-AK-AssistedLiving-output-100,Big Lake Country Club I,Assisted Living,,892 6944,,,,,lplettner@biglakementalhealthservices.com,,,12528 Hawk Lane,,61.583314,-149.7657649,Houston,,99694,,
USA-AK-70-AK-AssistedLiving-output-101,Big Lake Country Club II,Assisted Living,,892 6944,,,,,lplettner@biglakementalhealthservices.com,,,12528 Hawk Lane,,61.583314,-149.7657649,Houston,,99694,,
USA-AK-70-AK-AssistedLiving-output-102,Big Lake Country Club III,Assisted Living,,892 6944,,,,,lplettner@biglakementalhealthservices.com,,,14016 W. Hughes Homestead Rd.,,61.531585,-149.803688,Big Lake,,99652,,
USA-AK-70-AK-AssistedLiving-output-103,Big Lake Country Club IV,Assisted Living,,892 6944,,,,,lplettner@biglakementalhealthservices.com,,,14060 W. Hughes Homestead Rd.,,61.532342,-149.804671,Big Lake,,99652,,
USA-AK-70-AK-AssistedLiving-output-104,Big Lake Country Club VI,Assisted Living,,892 6944,,,,,lplettner@biglakementalhealthservices.com,,,12528 Hawk Lane,,61.583314,-149.7657649,Houston,,99694,,
USA-AK-70-AK-AssistedLiving-output-105,Birchtree Residential- Winding Brook House,Assisted Living,,745 4423,,,,,russwhitney@yahoo.com,,,1220 N winding brook loop,,61.595608,-149.250026,Palmer,,99645,,Gateway
USA-AK-70-AK-AssistedLiving-output-106,"Blessing Alh, Llc",Dementia Care;Assisted Living,,770 2958,,,,770 7959,blessing_alh@yahoo.com,,,9700 Poseidon Drive,,61.1327274,-149.914145,Anchorage,,99515,,Bayshore / Klatt
USA-AK-70-AK-AssistedLiving-output-107,Blueberry Lodge Assisted Living Group Home,Assisted Living,,463 5886,,,,,judyfay@alaskan.com,,,9436 N Douglas Hwy,,58.3407,-134.561,Juneau,,99801,,North Douglas
USA-AK-70-AK-AssistedLiving-output-108,"Boutsomsi Care, Llc",Dementia Care;Assisted Living,,227 6706,,,,,Cindy@boutsomsicare.com,,,1641 Cara Loop,,61.1019601,-149.8502599,Anchorage,,99515,,Old Seward / Oceanview
USA-AK-70-AK-AssistedLiving-output-109,Bread & Roses Alh,Assisted Living,,929 7941,,,,,Dreamachiever42@hotmail.com,,,7774 Cherrywood Circle,,61.1508309,-149.8451641,Anchorage,,99507,,Abbott Loop
USA-AK-70-AK-AssistedLiving-output-110,Bright Horizon Alh,Assisted Living,,232 6624,,,,,brighthorizonhomes@gmail.com,,,1453 Kanabec Drive,,61.560662,-149.486518,Wasilla,,99654,,
USA-AK-70-AK-AssistedLiving-output-111,Bright Horizon Homes II,Assisted Living,,232 6624,,,,,bhhomes21@gmail.com,,,7038 S. Hood Ct.,,61.5003893,-149.663962,Wasilla,,99623,,
USA-AK-70-AK-AssistedLiving-output-112,Bundle Of Joy Alh,Dementia Care;Assisted Living,,942 1090,,,,,lisaa823@yahoo.com,,,7612 Cherrywood Circle,,,,Anchorage,,99507,,
USA-AK-70-AK-AssistedLiving-output-113,Bunny Lope Homes,Assisted Living,,360 0169,,,,,reznitskyp@gmail.com,,,2616 Frigate Circle,,61.125031,-149.929003,Anchorage,,99515,,Bayshore / Klatt
USA-AK-70-AK-AssistedLiving-output-114,Bunny's Assisted Living,Dementia Care;Assisted Living,,868 1913,,,,(907) 868 8820,bunnyshome4u@yahoo.com,,,1531 Harriet Court,,61.1024944,-149.8533928,Anchorage,,99515,,Old Seward / Oceanview
USA-AK-70-AK-AssistedLiving-output-115,Burke's Assisted Living Home,Assisted Living,,229 4629,,,,,lindasburke@hotmail.com,,,8523 Lassen Circle,,61.297344,-149.5677473,Eagle River,,99577,,Eagle River
USA-AK-70-AK-AssistedLiving-output-116,Campbell Creek House,Dementia Care;Assisted Living,,754 9050,,,,754 9099,campbellcreekhouse@gmail.com,,,4745 Piper Street,,61.1775364,-149.8224944,Anchorage,,99507,,Campbell Park
USA-AK-70-AK-AssistedLiving-output-117,Campbell Lake Assisted Living Home,Dementia Care;Assisted Living,,245 7283,,,,,campbelllake@me.com,,,4120 Tahoe Dr.,,61.133184,-149.9568623,Anchorage,,99502,,Sand Lake
USA-AK-70-AK-AssistedLiving-output-118,Carel Assisted Living Home Llc,Dementia Care;Assisted Living,,351 7519,,,,677 2546,epentecostes@gmail.com,,,5058 Bryn Mawr Court,,61.1939034,-149.7874607,Anchorage,,99508,,U-MED District
USA-AK-70-AK-AssistedLiving-output-119,Carel II Assisted Living Home Llc,Dementia Care;Assisted Living,,677 2645,,,,677 2546,epentecostes@gmail.com,,,5420 Avila Court,,61.1908839,-149.7807164,Anchorage,,99508,,U-MED District
