name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country
TWIN PORTS HEALTH SERVICES,,,PEGGY RAHKONEN,,,(715) 392-1406,,,,,,,,,,,,(715) 392-5144,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1612 N 37TH ST,,,SUPERIOR,DOUGLAS,Northern,WI,,54880,USA
VILLA MARINA HEALTH AND REHABILITATION CENTER,,,LORI RANDA,,,(715) 392-9660,,,,,,,,,,,,(715) 392-3300,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,35 N 28TH ST,,,SUPERIOR,DOUGLAS,Northern,WI,,54880,USA
COLFAX HEALTH AND REHABILITATION CENTER,,,JILL GENGLER,,,(715) 962-3639,,,,,,,,,,,,(715) 962-3186,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,110 PARK DRIVE,,,COLFAX,DUNN,Western,WI,,54730,USA
AMERICAN LUTHERAN HOME -  MENOMONIE UNIT,,,TARA NENAHLO,,,(715) 235-2289,,,,,,,,,,,,(715) 235-9041,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,915 ELM AVE,,,MENOMONIE,DUNN,Northern,WI,,54751,USA
THE NEIGHBORS - CENTRAL NEIGHBORHOOD,,,ANTHONY MANZELLA,,,(715) 232-4010,,,,,,,,,,,,(715) 232-2661,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2901 FORBES AVE,,,MENOMONIE,DUNN,Western,WI,,54751,USA
THE NEIGHBORS - WEST NEIGHBORHOOD,,,ANTHONY MANZELLA,,,(715) 232-4010,,,,,,,,,,,,(715) 232-2661,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,651 HOWISON CIRCLE,,,MENOMONIE,DUNN,Western,WI,,54751,USA
THE NEIGHBORS -EAST NEIGHBORHOOD,,,ANTHONY MANZELLA,,,(715) 232-4010,,,,,,,,,,,,(715) 232-2661,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,658 HOWISON CIRCLE,,,MENOMONIE,DUNN,Western,WI,,54751,USA
GRACE LUTHERAN COMMUNITIES - RIVER PINES,,,RANDALL RENNOCK,,,(715) 598-7999,,,,,,,,,,,,(715) 598-7800,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,206 N WILLSON DR,,,ALTOONA,EAU CLAIRE,Northern,WI,,54720,USA
GRACE LUTHERAN COMMUNITIES-PRAIRIE POINTE REHAB SUITES,,,RANDALL RENNOCK,,,(715) 598-7998,,,,,,,,,,,,(715) 598-7800,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,286 N WILLSON DR,,,ALTOONA,EAU CLAIRE,Northern,WI,,54720,USA
OAKWOOD VILLA,,,REBECCA ROUSE,,,(715) 833-0546,,,,,,,,,,,,(715) 833-0400,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2512 NEW PINE DR,,,ALTOONA,EAU CLAIRE,Western,WI,,54720,USA
AUGUSTA HEALTH AND REHABILITATION,,,JAHN BRADLEY,,,(715) 286-2653,,,,,,,,,,,,(715) 286-2266,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,901 BRIDGE CREEK LANE,,,AUGUSTA,EAU CLAIRE,Northern,WI,,54722,USA
CLEARWATER CARE CENTER,,,"RAYMOND FRESON, JR",,,(715) 832-8367,,,,,,,,,,,,(715) 832-1681,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2120 HEIGHTS DR,,,EAU CLAIRE,EAU CLAIRE,Western,WI,,54701,USA
DOVE HEALTHCARE-SOUTH,,,JEREMY KILEY,,,(715) 552-4567,,,,,,,,,,,,(715) 552-1035,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,3656 MALL DRIVE,,,EAU CLAIRE,EAU CLAIRE,Western,WI,,54701,USA
DOVE HEALTHCARE-WEST,,,KENDALL ROSEMEYER,,,(715) 552-1033,,,,,,,,,,,,(715) 552-1030,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1405 TRUAX BLVD,,,EAU CLAIRE,EAU CLAIRE,Western,WI,,54703,USA
MARSHFIELD CLINIC COMFORT AND RECOVERY-EAU CLAIRE,,,JENNIFER COHEN,,,,,,,,,,,,,,,(715) 836-1200,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2116 CRAIG RD,,,EAU CLAIRE,EAU CLAIRE,Northern,WI,,54701,USA
SYVERSON LUTHERAN HOME,,,TONYA LISOWSKI,,,(715) 832-5336,,,,,,,,,,,,(715) 832-1644,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,816 PORTER AVE,,,EAU CLAIRE,EAU CLAIRE,Northern,WI,,54701,USA
FLORENCE HEALTH SERVICES,,,SUSANNE MATTSON,,,(715) 528-4988,,,,,,,,,,,,(715) 528-4833,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,5778 CHAPIN ST,,,FLORENCE,FLORENCE,Northeastern,WI,,54121,USA
ALL ABOUT LIFE REHABILITATION CENTER,,,MIRANDA SEGHERS,,,(920) 923-6967,,,,,,,,,,,,(920) 923-7040,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,115 E ARNDT ST,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
FOND DU LAC LUTHERAN HOME,,,CARLY CLINE,,,(920) 921-0819,,,,,,,,,,,,(920) 921-9520,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,244 N MACY ST,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
GRANCARE NURSING AND REHABILITATION CENTER,,,ASHLEY OSTROWSKI,,,(920) 921-6875,,,,,,,,,,,,(920) 921-6800,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,517 E DIVISION ST,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
HARBOR HAVEN HEALTH AND REHABILITATION,,,MARK RADMER,,,(920) 929-7046,,,,,,,,,,,,(920) 929-3500,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,459 E FIRST STREET,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
MANORCARE HEALTH SERVICES,,,STACY NIES,,,(920) 922-4737,,,,,,,,,,,,(920) 922-7342,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,265 S NATIONAL AVE,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
ST FRANCIS HOME,,,DOUGLAS TROST,,,(920) 923-7995,,,,,,,,,,,,(920) 923-7980,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,33 EVERETT ST,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
TRANSITIONAL CARE UNIT,,,JENNA FLOBERG,,,(920) 926-4849,,,,,,,,,,,,(920) 926-6037,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,430 E DIVISION ST,,,FOND DU LAC,FOND DU LAC,Northeastern,WI,,54935,USA
VILLA LORETTO NURSING HOME,,,JENNA FLOBERG,,,(920) 753-3100,,,,,,,,,,,,(920) 753-3211,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,N8114 COUNTY WW,,,MOUNT CALVARY,FOND DU LAC,Northeastern,WI,,53057,USA
FOUNTAIN VIEW CARE CENTER,,,LINZI GAZGA PARISH,,,(920) 748-5613,,,,,,,,,,,,(920) 748-5638,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,50 WOLVERTON AVE,,,RIPON,FOND DU LAC,Northeastern,WI,,54971,USA
"NU ROC COMMUNITY HEALTHCARE, INC",,,PAUL NEWTON,,,(715) 674-4016,,,,,,,,,,,,(715) 674-4477,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,3576A NU ROC LN,,,LAONA,FOREST,Northeastern,WI,,54541,USA
CARE AND REHAB - BOSCOBEL,,,TRACY ATKINSON,,,(608) 375-6358,,,,,,,,,,,,(608) 375-6342,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,207 PARKER ST,,,BOSCOBEL,GRANT,Southern,WI,,53805,USA
EPIONE PAVILION,,,LISA TRANEL,,,(608) 744-2963,,,,,,,,,,,,(608) 744-2161,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,808 S WASHINGTON ST,,,CUBA CITY,GRANT,Southern,WI,,53807,USA
GOOD SAMARITAN SOCIETY-FENNIMORE,,,GRANT NERISON,,,(608) 822-3011,,,,,,,,,,,,(608) 822-6100,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1850 11TH ST,,,FENNIMORE,GRANT,Southern,WI,,53809,USA
ST DOMINIC VILLA,,,KRIS DOYLE,,,(608) 748-9945,,,,,,,,,,,,(608) 748-9814,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,2375 SINSINAWA RD,,,HAZEL GREEN,GRANT,Southern,WI,,53811,USA
ATRIUM POST ACUTE CARE OF LANCASTER,,,LONA ELLIS,,,(608) 723-7278,,,,,,,,,,,,(608) 723-4143,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1350 S MADISON ST,,,LANCASTER,GRANT,Southern,WI,,53813,USA
ORCHARD MANOR,,,CAROL SCHWARTZ,,,(608) 723-2210,,,,,,,,,,,,(608) 723-2113,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,8800 HWY 61,,,LANCASTER,GRANT,Southern,WI,,53813,USA
DYCORA TRANSITIONAL HEALTH - RIVERDALE,,,CORY NUGENT,,,(608) 739-3486,,,,,,,,,,,,(608) 739-3186,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1000 N WISCONSIN AVE,,,MUSCODA,GRANT,Southern,WI,,53573,USA
GRAY'S NURSING HOME,,,KATHERINE HUDSON,,,(608) 349-6005,,,,,,,,,,,,(608) 349-6741,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,555 N CHESTNUT ST,,,PLATTEVILLE,GRANT,Southern,WI,,53818,USA
MANORCARE HEALTH SERVICES-PLATTEVILLE,,,CLAY STOLTZ,,,(608) 348-2944,,,,,,,,,,,,(608) 348-2453,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1300 N WATER ST,,,PLATTEVILLE,GRANT,Southern,WI,,53818,USA
MONROE MANOR NURSING AND REHABILITATION CENTER,,,JAMES WILSON,,,(608) 329-6594,,,,,,,,,,,,(608) 325-9141,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,516 26TH AVE,,,MONROE,GREEN,Southern,WI,,53566,USA
PLEASANT VIEW NURSING HOME,,,TERRY SNOW,,,(608) 325-1352,,,,,,,,,,,,(608) 325-2171,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,N3150 HWY 81  PO BOX 768,,,MONROE,GREEN,Southern,WI,,53566,USA
"NEW GLARUS HOME, INC",,,ERIN FRANCOIS,,,(608) 527-5365,,,,,,,,,,,,(608) 527-2126,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,600 2ND AVE,,,NEW GLARUS,GREEN,Southern,WI,,53574,USA
BLOOMFIELD HEALTHCARE AND REHABILITATION CENTER,,,TODD GREENEWAY,,,(608) 937-0553,,,,,,,,,,,,(608) 935-3321,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,3151 CTY RD CH,,,DODGEVILLE,IOWA,Southern,WI,,53533,USA
UPLAND HILLS NURSING AND REHABILITATION,,,MICHELLE CARVER,,,(608) 930-7271,,,,,,,,,,,,(608) 930-7600,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,800 COMPASSION WAY,,,DODGEVILLE,IOWA,Southern,WI,,53533,USA
ATRIUM POST ACUTE CARE OF MINERAL POINT,,,PATRICIA REYNOLDS,,,(608) 987-2365,,,,,,,,,,,,(608) 987-2381,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,109 N IOWA ST,,,MINERAL POINT,IOWA,Southern,WI,,53565,USA
SKY VIEW NURSING CENTER,,,JASON HELLEN,,,(715) 561-5448,,,,,,,,,,,,(715) 561-5646,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,309 IRON ST,,,HURLEY,IRON,Northern,WI,,54534,USA
VILLA MARIA HEALTH AND REHABILITATION CENTER,,,LAWRENCE KUTZ,,,(715) 561-5556,,,,,,,,,,,,(715) 561-3200,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,300 VILLA DR,,,HURLEY,IRON,Northern,WI,,54534,USA
ATRIUM POST ACUTE CARE OF BLACK RIVER FALLS,,,THERESA HAWLEY,,,(715) 284-9580,,,,,,,,,,,,(715) 284-4396,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1311 TYLER ST,,,BLACK RIVER FALLS,JACKSON,Southern,WI,,54615,USA
PINE VIEW CARE CENTER,,,BRANDI SHEA,,,(715) 284-1502,,,,,,,,,,,,(715) 284-5396,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,400 COUNTY RD R,,,BLACK RIVER FALLS,JACKSON,Southern,WI,,54615,USA
DYCORA TRANSITIONAL HEALTH - FORT ATKINSON,,,REBECCA KERN,,,(920) 563-5965,,,,,,,,,,,,(920) 563-5533,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,430 WILCOX ST,,,FORT ATKINSON,JEFFERSON,Southeastern,WI,,53538,USA
ALDEN ESTATES OF JEFFERSON,,,ERICA DALZIEL,,,(920) 674-6075,,,,,,,,,,,,(920) 674-3170,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,1130 COLLINS ROAD,,,JEFFERSON,JEFFERSON,Southeastern,WI,,53549,USA
WILLOWBROOK NURSING & REHABILITATION CENTER,,,CHRISTINA SAID,,,(920) 648-3441,,,,,,,,,,,,(920) 648-8344,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,901 MULBERRY ST,,,LAKE MILLS,JEFFERSON,Southeastern,WI,,53551,USA
HERITAGE MANOR,,,JAMES LAINE,,,(608) 462-5088,,,,,,,,,,,,(608) 462-8491,,,,,Administrator,,,,,,,,,,,NH,Nursing Home,,,,307 ROYALL AVE  PO BOX 167,,,ELROY,JUNEAU,Southern,WI,,53929,USA
