Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Accessibility,Service hours,Eligibility,country
Churchill Retirement Community ,10015 103 Avenue,Edmonton,T5J 0H1,AB,780-420-1222 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Citadel Care Centre,25 Erin Ridge Road,St. Albert,T8N 7K8,AB,780-458-3044,780-458-8563,Wheel chair access available.,,,Canada
Citadel Mews West,15 Erin Ridge Road,St. Albert,T8N 0G6,AB,780-458-2657 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Clearview Lodge,4730 50 Avenue,Taber,T1G 1N6,AB,403-223-2822 (switchboard),,Wheel chair access available.; We are able to accommodate seniors who are hearing impaired and/or visually impaired.,Office hours are 8:30a.m. - 4:30p.m. Monday to Frida,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Clearwater Centre ,5615 60 Street,Rocky Mountain House,T4T 1W2,AB,403-845-6033 (Switchboard),,Wheel chair access available.; Hours of operation are for information on service delivery and Reception.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 p,,Canada
Coaldale Health Centre,2100 11 Street,Coaldale,T1M 1L2,AB,403-345-3075 (Switchboard),403-345-6489),Wheel chair access available.; Washrooms are wheelchair accessible,,,Canada
Cold Lake Healthcare Centre,314 25 Street,Cold Lake,T9M 1G6,AB,780-639-3322 (Switchboard),780-639-2255 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,Adults 18 years of age and older.,Canada
Columbia Assisted Living,785 Columbia Boulevard,Lethbridge,T1K 4T8,AB,403-320-9363 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Copper Sky Lodge,100 McLaughlin Drive,Spruce Grove,T7X 0A6,AB,780-571-8100 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Country Cottage Seniors Residence,75 Cranford Way,Sherwood Park,T8H 2B9,AB,587-745-0494,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Crowsnest Pass Health Centre,2001 107 Street,Blairmore,T0K 0E0,AB,403-562-5011 (Switchboard),403-562-8992 (Switchboard),Wheel chair access available.,Visiting hours Monday - Friday 2:00 pm to 8:00 pm; Saturday - Sunday 11:00 am to 8:00 p,The use of the assessment tool will indicate the level of care required.,Canada
Cypress View,722 Bassett Crescent,Medicine Hat,T1A 7W8,AB,403-527-8755 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Devon General Hospital,101 Erie Street,Devon,T9G 1A6,AB,780-987-8200 (Switchboard),780-987-8232 (Switchboard),Wheel chair access available.; All cay programs operate out of wheelchair accessible facilities.,Visiting Hours Monday - Sunday 9:00 am to 8:00 p,Adults (young adults under 18 may be considered),Canada
Devonshire Care Centre,1808 Rabbit Hill  Road,Edmonton,T6R 3H2,AB,780-665-8050 (switchboard),,Wheel chair access available.,,,Canada
Devonshire Manor,1718 Rabbit Hill Road,Edmonton,T6R 3N6,AB,780-432-9251 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
"Dianne and Irving Kipnes Centre for Veterans, The",4470 McCrae  Avenue,Edmonton,T5E 6M8,AB,780-442-5700 (press 0 for reception),780-442-5711,Wheel chair access available.; PaidÊParking,Clients attend once or twice weekly from 9:00 am to 3:00 p,"To access the program, people must:Ê",Canada
Dr. Cooke Extended Care Centre,3915 56 Avenue,Lloydminster,T9V 1N9,AB,780-871-7900,780-875-3505,Wheel chair access available.,,,Canada
Dr. W. R. KEIR - Barrhead Continuing Care Centre,5336 59 Avenue,Barrhead,T7N 1L2,AB,780-674-4506,780-674-3003,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
Eau Claire Retirement Residence,301 7 Street,Calgary,T2P 1Y6,AB,403-269-3114 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Eckville Manor House,5111 51 Avenue,Eckville,T0M 0X0,AB,403-746-2661 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Edgemont Retirement Residence,80 Edenworld Drive,Calgary,T3A 5R9,AB,403-241-8990 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Edith Cavell Care Centre,1255 5 Avenue,Lethbridge,T1J 0V6,AB,,,Wheel chair access available.,,The use of the assessment tool will indicate the level of care required.,Canada
Edmonton 9304 103A Avenue,9304 103A Avenue,Edmonton,T5H 4R4,AB,,,,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Edmonton Chinatown Care Centre,9539 102A Avenue,Edmonton,T5H 0G2,AB,780-429-0888 (Switchboard),,Wheel chair access available.,,,Canada
Edmonton General Continuing Care Centre,11111 Jasper Avenue,Edmonton,T5K 0L4,AB,780-482-8111 (Switchboard),780-482-8035,"Wheel chair access available.; Entrance, hallways, changerooms, washrooms and training areas fully wheelchair accessible.",There are no set times for visiting hours for this facilit,This service is provided to Alberta Health Services staff.,Canada
Edmonton People In Need #4 - Batoma House,10303 96 Street,Edmonton,T5H 2H2,AB,780-424-6733 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Edson Healthcare Centre,3837 6 Avenue,Edson,T7E 0C5,AB,780-723-3331 (Switchboard),780-723-7787 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 8:00 ,,Canada
Elk Point Healthcare Centre,5310 50 Avenue,Elk Point,T0A 1A0,AB,780-724-3847,780-724-3085,Wheel chair access available.,,"Services isÊtargeted primarily for residents residing in continuing care andÊacute care patients waiting placement; otherwise, it isÊonly available on a consultative basisÊfor individuals in the communities who require this service due to medical reasons.",Canada
Elk Point Heritage Lodge,5338 50 Avenue,Elk Point,T0A 1A0,AB,780-724-4449 (switchboard),780-724-3102,Wheel chair access available.,"Admin, Mon-Fri, 8 - 4:30, closed stats and weeken",To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Emmanuel Home,13425 57 Street,Edmonton,T5A 2G1,AB,780-478-2051 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Evansburg Health Centre,5225 50 Street,Evansburg,T0E 0T0,AB,780-727-2288,,Wheel chair access available.,Closed statutory holiday,Adults (young adults under 18 may be considered),Canada
Evanston Grand Village,40 Evanston Way,Calgary,T1X 1E1,AB,403-274-6416 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Extendicare Cedars Villa,3330 8 Avenue,Calgary,T3C 0E7,AB,403-249-8915 (switchboard),403-246-7561,Wheel chair access available.,Business Office Hours: Monday to Friday: 07:30 AM to 05:00 P,,Canada
Extendicare Eaux Claires,16503 95 Street,Edmonton,T5Z 0G7,AB,780-472-1106 (Switchboard),,Wheel chair access available.,Caregivers are on staff 24,,Canada
Extendicare Fairmont Park,115 Fairmont Boulevard,Lethbridge,T1K 5V2,AB,403-320-1479 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Extendicare Fort Macleod,654 29 Street,Fort Macleod,T0L 0Z0,AB,403-553-3955,403-553-2812,Wheel chair access available.,,The use of the assessment tool will indicate the level of care required.,Canada
Extendicare Hillcrest ,1512 8 Avenue,Calgary,T2N 1C1,AB,403-289-0236,403-289-2350,Wheel chair access available.,,,Canada
Extendicare Holyrood,8008 95  Avenue,Edmonton,T6C 2T1,AB,780-469-1307,780-469-5196,Wheel chair access available.,,,Canada
Extendicare Leduc,4309 50 Street,Leduc,T9E 6K6,AB,780-986-2245,780-986-0669,Wheel chair access available.,Caregivers are on staff 24,,Canada
Extendicare Lethbridge,115 Fairmont Boulevard,Lethbridge,T1K 5V2,AB,403-320-1479,403-327-0083,Wheel chair access available.,,The use of the assessment tool will indicate the level of care required.,Canada
Extendicare Mayerthorpe,4706 54 Street,Mayerthorpe,T0E 1N0,AB,780-786-2211,780-786-4710,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
Extendicare St. Paul,4614 47 Avenue,St. Paul,T0A 3A3,AB,780-645-3375,780-645-4290,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
Extendicare Viking ,5020 57  Avenue,Viking,T0B 4N0,AB,780-336-4790,780-336-4004,Wheel chair access available.,,,Canada
Extendicare Vulcan,715 2 Avenue,Vulcan,T0L 2B0,AB,403-485-2022,403-485-2879,Wheel chair access available.,,,Canada
Fairview Health Complex,10628 110 Street,Fairview,T0H 1L0,AB,780-835-6100 (Switchboard),780-835-5789 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,Adults 18 years of age and older.,Canada
Faith House,4832 54 Street,Camrose,T4V 2A4,AB,780-679-5427 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Father Lacombe Care Centre,332 146 Avenue,Calgary,T2X 2A3,AB,403-256-4641,,Wheel chair access available.,,Must be a Home Care client over the age of 65.Ê,Canada
Fishing Lake Metis Settlement Community Health Services,,Fishing Lake Metis Settlement,T0A 1A0,AB,780-943-3058,780-943-2575,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 p,Breastfeeding women,Canada
Garneau Hall,10923 82 Avenue,Edmonton,T6G 2N9,AB,780-433-3177 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
George Hennig Place,4808 57 Avenue,Stony Plain,T7Z 2J9,AB,,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
George McDougall - Smoky Lake Healthcare Centre,4212 55 Avenue,Smoky Lake,T0A 3C0,AB,780-656-3034 (Switchboard),780-656-5010 (Switchboard),Wheel chair access available.,"Visiting Hours Monday - Sunday 11:30 am to 8:00 pm.
Emergency department open 24 hour",,Canada
Glamorgan Care Centre,105 Galbraith Drive,Calgary,T3E 4Z5,AB,403-242-5911,403-242-7613,Wheel chair access available.,,,Canada
Glastonbury Village,1585 Glastonbury Boulevard,Edmonton,T5T 2W5,AB,780-436-2980 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Golden Acres Lodge,1615 13 Street,Lethbridge,T1H 2V2,AB,403-329-3027 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
"Good Samaritan Dr. Gerald Zetter Care Centre, The",9649 71 Avenue,Edmonton,T6E 5J2,AB,780-431-3600,780-431-3699,Wheel chair access available.,,For adults 60 years and older:,Canada
Good Samaritan Garden Vista,37 East 2 Avenue,Magrath,T0K 1J9,AB,403-758-6149 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Good Samaritan Good Shepherd Lutheran Home,4702 Northmount Drive,Wetaskiwin,T9A 3T3,AB,780-352-3628 (Switchboard),,Wheel chair access available.,Monday: 8:30 am - 4:00 pm.Tuesday: 8:30 am - 4:00 pm.Wednesday: 8:30 am - 4:00 pm.Thursday: 8:30 am - 4:00 pm.Friday: 8:30 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Good Samaritan Lee Crest,989 1 Street,Cardston,T0K 0K0,AB,,,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
"Good Samaritan Mill Woods Centre, The",101 Youville Drive,Edmonton,T6L 7A4,AB,780-413-3501,780-462-8850,Wheel chair access available.,,,Canada
Good Samaritan Park Meadows Village,1511 15 Avenue,Lethbridge,T1H 1W2,AB,403-328-9404 (switchboard),,Wheel chair access available.; We are able to accommodate both hearing impaired and visually impaired individuals.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Good Samaritan South Ridge Village,550 Spruce Way,Medicine Hat,T1B 4P1,AB,403-528-5050(switchboard),403-504-2520,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
"Good Samaritan Southgate Care Centre, The",4225 107 Street,Edmonton,T6J 2P1,AB,780-431-3854(switchboard),,Wheel chair access available.,Caregivers are on staff 24,,Canada
Good Samaritan Stony Plain Care Centre,4800 55 Avenue,Stony Plain,T7Z 1P9,AB,780-963-2261 (Switchboard),,Wheel chair access available.,,,Canada
Good Samaritan Vista Village ,1240 Ken Thornton Boulevard,Pincher Creek,T0K 1W0,AB,403627-1900 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Good Samaritan Wedman House,10525 19 Avenue,Edmonton,T6J 6X9,AB,780-413-3520 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Good Samaritan West Highlands,2687 Garry Drive,Lethbridge,T1J 5A3,AB,403-380-6275 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Grand Manor,10766 97 Street,Edmonton,T5H 4R2,AB,,,,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Grande Cache Community Health Complex,10200 Shand Avenue,Grande Cache,T0E 0Y0,AB,780-827-3701 (Switchboard),780-827-2859 (Switchboard),Wheel chair access available.,There are no set times for visiting hours for this facilit,"Adults 18 years and older with a chronic disease or at risk of developing a chronic disease and able to participate in a group environment, and their families or caregivers.",Canada
Grande Prairie and Area - Information / Registration / Appointments,,Grande Prairie,T8V 2V4,AB,,,,,Generally Grade 9 students. Some locations are open to other grades. Call Program Coordinator for further information.,Canada
Grimshaw / Berwyn and District Community Health Centre,5621 50 Avenue,Grimshaw,T0H 1W0,AB,780-332-6500 (Switchboard),780-332-1177,Wheel chair access available.,,,Canada
Hardisty Care Centre,6420 101 Avenue,Edmonton,T6A 0H5,AB,780-466-9267,,Wheel chair access available.,,,Canada
Heimstaed Lodge,9802 105 Street,La Crete,T0H 2H0,AB,780-928-4348 (Switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Heritage House,4570 Maple Street,Vegreville,T9C 1X2,AB,780-603-0853 (Switchboard),,Wheel chair access available.,Monday: 8:30 am - 4:00 pm.Tuesday: 8:30 am - 4:00 pm.Wednesday: 8:30 am - 4:00 pm.Thursday: 8:30 am - 4:00 pm.Friday: 8:30 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
High Prairie Health Complex,5101 38th Street,High Prairie,T0G 1E0,AB,780-523-6440 (Switchboard),780-523-6642,Wheel chair access available.,Visiting Hours Monday - Sunday 2:00 pm to 8:00 p,,Canada
High River General Hospital,560 9 Avenue,High River,T1V 1B3,AB,403-652-2200 (Switchboard),403-652-0199,Wheel chair access available.,Services scheduled as neede,,Canada
Hillview Lodge,696 6 Avenue,Drumheller,T0J 0Y5,AB,403-823-3290 (switchboard),403-823-3777,Wheel chair access available.,,Clients are assessed to make sure theyÕre placed in the residential care setting that can best meet their needs.,Canada
Holy Cross Manor,70  Evanspark Manor,Calgary,T3P 0N4,AB,587-230-7070 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Hythe Continuing Care Centre,10307 100  Street,Hythe,T0H 2C0,AB,780-356-3818,780-356-3633,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Canada
Intercare - Brentwood Care Centre,2727 16 Avenue,Calgary,T2N 3Y6,AB,403-289-2576,403-282-7027,Wheel chair access available.,,,Canada
Intercare - Chinook Care Centre,1261 Glenmore  Trail,Calgary,T2V 4Y8,AB,403-252-0141,403-253-0292,Wheel chair access available.,,,Canada
Intercare - Millrise Care Centre,14911 5 Street,Calgary,T2Y 3E2,AB,403-410-9155,403-590-1524,,,,Canada
Intercare - Southwood Care Centre,211  Heritage  Drive,Calgary,T2H 1M9,AB,403-252-1194,,Wheel chair access available.,,,Canada
Islay Assisted Living,5016 53 Street,Islay,T0B 2J0,AB,780-744-3795 (switchboard),,Wheel chair access available.,Food available 24 hours in kitchenette for use by residen,,Canada
Jasper Place Continuing Care Centre,8903 168 Street,Edmonton,T5R 2V6,AB,780-489-4931,,Wheel chair access available.,,,Canada
Jubilee Lodge Nursing Home,10333 76 Street,Edmonton,T6A 3A8,AB,780-469-4456,,Wheel chair access available.,Caregivers are on staff 24,,Canada
Kipohtakawmik Elders Lodge ,"P.O. Box 3419, STN: Main",Alexander,T8R 1S3,AB,780-939-5887 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
La Crete Community Health Centre,10601 100 Avenue,La Crete,T0H 2H0,AB,780-928-3733,780-928-3080,Wheel chair access available.,,Adults 18 years of age and older.,Canada
Lacombe Hospital and Care Centre,5430 47 Avenue,Lacombe,T4L 1G8,AB,403-782-3336 (Switchboard),403-782-2818,Wheel chair access available.; Ambulance Bay,Visiting hours Monday - Sunday 12:00 pm to 8:00 p,,Canada
Lamont Health Care Centre,5216 53  Street,Lamont,T0B 2R0,AB,780-895-2211,780-895-7305,Wheel chair access available.; Ambulance Bay,"Emergency Room Hours:  8:00 am to 8:00 pm, 7 days a week.
Visiting Hours:  11:00 am - 8:00 ",,Canada
Laurel Heights,3110 22 Avenue,Edmonton,T6T 0R2,AB,780-465-2273 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
