row_id,Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Accessibility,Service hours,Eligibility,facility_type,country
Canada-AB-28-AB-ContinuingAndLongTermCare-output-19,Breton Health Centre,4919 49 Avenue,Breton,T0C 0P0,AB,780-696-4713,,Wheel chair access available.,"Statutory hours of operation: 9:00 a.m. - 2:30 p.m.Breakfast, coffee breaks and lunch available only to staff.Supper: available to staff and visitors by pre-ordering from patient menu through Food Services department.Menu Description: Patient men",,Cafeteria Services; Continuing Care Counselling; Continuing Care Services; Health Information - Access and Disclosure; Health Information / Records Management; Laboratory Services; Occupational Therapy - Children's Rehabilitation Services; Occupational Therapy Acute Care Services; Occupational Therapy Services Continuing Care; Palliative Care; Patient Food Services; Physical Therapy - Children's Rehabilitation Services; Physical Therapy Acute Care / Outpatient Services; Respiratory Therapy Pediatric Services; Speech Language Pathology - Children's Rehabilitation Services; Speech Language Pathology - Community Pediatric; Speech Language Pathology - Continuing Care; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-20,Brooks Health Centre,440 3 Street,Brooks,T1R 0G5,AB,403-501-3232 (Switchboard),403-362-6039 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 12:00 pm to 8:00 p,,"Alberta Healthy Living Program - South Zone; Best Babies; Building Blocks; Computed Tomography; Continuing Care Services (East); Diagnostic Imaging Services; Emergency Services; Endoscopy; Environmental Public Health - Disease: Communicable, Rabies, Food Borne Illness; Environmental Public Health - Drinking Water; Environmental Public Health - Education; Environmental Public Health - Housing and Illegal Drug Operations; Environmental Public Health - New Business and Plan Approval; Environmental Public Health - Orders, Disclosure and Legal Activity; Environmental Public Health - Personal Services; Environmental Public Health - Recreational Water; Environmental Public Health - Risks: Indoor Air, Outdoor Air, Contaminated Sites; Environmental Public Health - Safe Food; Environmental Public Health - Social Care; Environmental Public Health - Work Camps; Environmental Public Health Program; Health Information - Access and Disclosure; Health Information / Records Management; Hospitals; Laboratory Services; Labour Delivery and Maternal Child Services; Nutrition Counselling (Dietitian) - Alberta Healthy Living Program; Nutrition Counselling - Adult and Pediatric; Occupational Therapy; Outpatient Dietitian; Outpatient Dietitian Counselling - Pediatric Weight Management Services; Patient Food Services; Patient Information; Pediatric Services - Acute Care; Physical Therapy; Physical Therapy Acute Care Services; Regional Outpatient Respiratory Services; Registration; Respiratory Inpatient Services; Sexual and Reproductive Health; Surgical Suite; Switchboard; Therapeutic Recreation; Ultrasound; Volunteer Resources",Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-21,Brooks Home Care,311 9 Street,Brooks,T1R 1B7,AB,403-362-7766,403-362-7778,Wheel chair access available.,"Monday: 8:00 am - 4:30 pm.Tuesday: 8:00 am - 4:30 pm.Wednesday: 8:00 am - 4:30 pm.Thursday: 8:00 am - 4:30 pm.Friday: 8:00 am - 4:30 pm.Office is closed from 12:00 noon until 1:00 p.m. for lunch.
Registered Nurse is on call from 4:30 p.m. until 10:00 p.m. Monday to Friday, and from 8:00 a.m. until 10:00 p.m. Saturday and Sunday and Statutory Holiday",,Home Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-22,Canmore General Hospital,1100 Hospital Place,Canmore,T1W 1N2,AB,403-678-5536 (Switchboard),403-678-9874 (Switchboard),Wheel chair access available.,,Must be a Home Care client over the age of 65. ,"Adult Day Support Program; Aids to Daily Living; Anaesthesia Services; Cafeteria Services; Calgary Rural Children's Rehabilitation Program; Calgary Rural Community Physiotherapy; Calgary Rural Diabetes Clinics; Cardiac Diagnostics - Holter Monitoring; Cardiology - Electrocardiogram Services; Cardiology - Outpatients; Community Cancer Centre, Bow Valley; Computed Tomography; Continuing Care Services; Diagnostic Imaging Services; Emergency Services; Endoscopy Services; General Medicine - Inpatients; General Radiography (X-Ray); General Surgery - Inpatient; Gift Shops - Canmore Tuck Shop; GLA:D? Canada in Alberta; Gynecological Surgery; Health Information - Access and Disclosure; Health Information / Records Management; Home Parenteral Therapy Program; Hospitals; Indigenous Hospital Liaison Services; Laboratory Services; Labour and Delivery Services and Newborn Care; Lactation Services; Lost and Found Services; Medical Cardiology - Inpatients; Mental Health Urgent Care; Nutrition Counselling - Adult; Obstetrics / Gynecology Outpatient Services; Occupational Therapy - Outpatients; Orthopedic Services - Inpatients; Parking Services; Patient Email Well Wishes; Patient Food Services; Patient Information; Pharmacy Services - Inpatients; Plastic Surgery; Recreation Therapy; Registration; Respiratory Therapy - Rural; Short Stay Surgical Unit; Social Work Services; Speech Language Pathology - Acute Care; Spiritual Care Services; Switchboard; Ultrasound; Volunteer Resources; Walk-in Crisis Service",Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-23,CapitalCare CHOICE Dickinsfield,14225 94 Street,Edmonton,T5E 6C6,AB,780-371-6642(Switchboard),780-476-4585,Wheel chair access available.,Client's attend once or twice weekly from 9:30 am to 3:30 p,"To access the program, people must: ",Adult Day Support Program; CHOICE; Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-24,CapitalCare Grandview,6215 124 Street,Edmonton,T6H 3V1,AB,780-496-7100 (Switchboard),780-496-7150,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-25,CapitalCare Lynnwood,8740 165 Street,Edmonton,T5R 2R8,AB,780-341-2300 (switchboard),780-483-0720,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-26,CapitalCare Strathcona,12 Brower  Drive,Sherwood Park,T8H 1V3,AB,780-467-3366 (Switchboard),,Wheel chair access available.,Clients attend once or twice weekly from 9:00 am to 3:00 p,"To access the program, people must: ",Adult Day Support Program; Care Housing; Continuing Care Services; Designated Supportive Living Level 4,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-27,Cardston Health Centre,144 2 Street,Cardston,T0K 0K0,AB,403-653-5234 (Switchboard),403-653-4399 or 403-653-4115,Wheel chair access available.; Wheelchair accessible washroom located near laboratory.,Visiting Hours Monday - Sunday 10:00 am to 8:00 p,The use of the assessment tool will indicate the level of care required.,Continuing Care Services (West); Diagnostic Imaging Services; Emergency Services; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Hospitals; Laboratory Services; Occupational Therapy; Patient Food Services; Patient Information; Physical Therapy; Registration; Rural Outpatient and Community Respiratory Therapy Services; Speech Language Pathology - Adult; Switchboard; Therapeutic Recreation; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-28,Carewest Colonel Belcher,1939  Veterans Way,Calgary,T3B 5Y8,AB,403-944-7800 (switchboard),,Wheel chair access available.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services; Designated Supportive Living Level 4; Respite Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-29,Carewest Dr. Vernon Fanning Centre,722 16 Avenue,Calgary,T2E 6V7,AB,403-230-6900,,Wheel chair access available.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services; Hemodialysis - Southern Alberta Renal Program; Respite Care; Transition Services - Acute Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-30,Carewest Garrison Green,3108  Don Ethell Boulevard,Calgary,T3E 6Z5,AB,403-944-0100 (Switchboard),403-944-0180,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-31,Carewest George Boyack ,1203 Centre Avenue,Calgary,T2E 0A5,AB,403-267-2750(switchboard),403-267-2757,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-32,Carewest Glenmore Park,6909 14 Street,Calgary,T2V 1P8,AB,403-258-7650,,Wheel chair access available.,Wednesday hour are for the Living With Dementia progra,Adults 65 years and older.,Day Hospital; Geriatric Mental Health Rehabilitation and Recovery Unit; Transition Services - Acute Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-33,Carewest Nickle House,950  Robert  Road,Calgary,T2E 7T4,AB,403-520-6735 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-34,Carewest Royal Park,4222 Sarcee Road,Calgary,T3E 7J8,AB,403-240-7475(switchboard),403-240-7476,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-35,Carewest Sarcee ,3504  Sarcee Road,Calgary,T3E 4T4,AB,403-686-8100 (switchboard),403-686-8104,Wheel chair access available.,,,Continuing Care Services; Hospice Access; Transition Services - Acute Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-36,Carewest Signal Pointe,6363 Simcoe Road,Calgary,T3H 4M3,AB,403-240-7950,403-240-7958,Wheel chair access available.,,Must be a Home Care client over the age of 65. ,Adult Day Support Program; Continuing Care Services; Respite Care,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-37,Central Peace Health Complex,5010 45 Avenue,Spirit River,T0H 3G0,AB,780-864-3993 (Switchboard),780-864-3495 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 9:00 am to 9:00 p,,"Ambulatory Services; Continuing Care Services; Diagnostic Imaging Services; Eating Disorder Services; Emergency Services; Facilities Maintenance & Engineering, Grande Prairie & Area; General Radiography (X-Ray); Health Information - Access and Disclosure; Hospitals; Laboratory Services; Linen & Environmental Services; Medical Device Reprocessing; Newborn Hearing Screening Program; Nutrition Counselling - Adult and Pediatric; Outpatient Dietitian Counselling - Pediatric Weight Management Services; Palliative and End of Life Care; Pastoral Care Services; Patient Food Services; Pharmacy Services; Physical Therapy Services; Regional Collaborative Service Delivery - School based and school linked mental health teams; Respite Care; Volunteer Resources",Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-38,Chateau Lac St. Anne,5123 49 Avenue,Onoway,T0E 1V0,AB,780-967-0475 (switchboard),,Wheel chair access available.,,To access a designated living option a referral is made through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the client to review their healthcare needs and complete an assessment to determine eligibility.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-39,Chateau Three Hills,920 Main Street,Three Hills,T0M 2A0,AB,403-442-2121 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure they’re placed in the residential care setting that can best meet their needs.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-40,Chinook Lodge,451 3 Street,Cardston,T0K 0K0,AB,403-653-4251 (switchboard),,Wheel chair access available.; Visually impaired persons.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-41,Churchill Retirement Community ,10015 103 Avenue,Edmonton,T5J 0H1,AB,780-420-1222 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4; Designated Supportive Living Level 4 Dementia,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-42,Citadel Care Centre,25 Erin Ridge Road,St. Albert,T8N 7K8,AB,780-458-3044,780-458-8563,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-43,Citadel Mews West,15 Erin Ridge Road,St. Albert,T8N 0G6,AB,780-458-2657 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-44,Clearview Lodge,4730 50 Avenue,Taber,T1G 1N6,AB,403-223-2822 (switchboard),,Wheel chair access available.; We are able to accommodate seniors who are hearing impaired and/or visually impaired.,Office hours are 8:30a.m. - 4:30p.m. Monday to Frida,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-45,Clearwater Centre ,5615 60 Street,Rocky Mountain House,T4T 1W2,AB,403-845-6033 (Switchboard),,Wheel chair access available.; Hours of operation are for information on service delivery and Reception.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 p,,Continuing Care Services; Designated Supportive Living Level 3; Designated Supportive Living Level 4; Designated Supportive Living Level 4 Dementia,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-46,Coaldale Health Centre,2100 11 Street,Coaldale,T1M 1L2,AB,403-345-3075 (Switchboard),403-345-6489),Wheel chair access available.; Washrooms are wheelchair accessible,,,Advanced Ambulatory Care; Continuing Care Services (West); Diagnostic Imaging Services; Fluoride Protection for Toddlers; General Radiography (X-Ray); Health Information / Records Management; Hospitals; Laboratory Services; Occupational Therapy; Patient Food Services; Physical Therapy; Public Health Nursing; Rural Outpatient and Community Respiratory Therapy Services; School Oral Health Services; Speech Language Pathology - Adult; Therapeutic Recreation; Travel Health Services; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-47,Cold Lake Healthcare Centre,314 25 Street,Cold Lake,T9M 1G6,AB,780-639-3322 (Switchboard),780-639-2255 (Switchboard),Wheel chair access available.,Visiting Hours Monday - Sunday 11:00 am to 8:00 p,Adults 18 years of age and older.,"Adult Mental Health Treatment Services; Ambulatory Services; Cafeteria Services; Children's Mental Health Treatment Services; Computed Tomography; Continuing Care Services; Day Surgery Services & Recovery; Diagnostic Imaging Services; Eating Disorder Services; Emergency Services; Fluoroscopy; General Medicine; General Radiography (X-Ray); Gift Shops - North Zone; Health Information - Access and Disclosure; Hospitals; Laboratory Services; Linen & Environmental Services; Magnetic Resonance Imaging; Medical Device Reprocessing; Mental Health Diversion Program; Mental Health Information, Promotion and Prevention; Mental Health Services; Nutrition Counselling - Adult and Pediatric; Obstetrics; Occupational Therapy Services; Outpatient Dietitian Counselling - Pediatric Weight Management Services; Palliative and End of Life Care; Pastoral Care Services; Patient Food Services; Patient Information; Pediatrics; Pharmacy Services; Physical Therapy Services; Regional Collaborative Service Delivery - School based and school linked mental health teams; Registration; Respiratory Health Program; Respiratory Therapy; Respite Care; Social Work; Special Care Unit; Switchboard; Therapeutic Recreation Services; Ultrasound",Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-48,Columbia Assisted Living,785 Columbia Boulevard,Lethbridge,T1K 4T8,AB,403-320-9363 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-49,Copper Sky Lodge,100 McLaughlin Drive,Spruce Grove,T7X 0A6,AB,780-571-8100 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4; Designated Supportive Living Level 4 Dementia,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-50,Country Cottage Seniors Residence,75 Cranford Way,Sherwood Park,T8H 2B9,AB,587-745-0494,,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-51,Crowsnest Pass Health Centre,2001 107 Street,Blairmore,T0K 0E0,AB,403-562-5011 (Switchboard),403-562-8992 (Switchboard),Wheel chair access available.,Visiting hours Monday - Friday 2:00 pm to 8:00 pm; Saturday - Sunday 11:00 am to 8:00 p,The use of the assessment tool will indicate the level of care required.,Continuing Care Services (West); Diagnostic Imaging Services; Emergency Services; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Hemodialysis - Southern Alberta Renal Program; Hospitals; Laboratory Services; Nutrition Counselling (Dietitian) - Alberta Healthy Living Program; Nutrition Counselling - Adult and Pediatric; Occupational Therapy; Outpatient Dietitian Counselling - Pediatric Weight Management Services; Patient Food Services; Patient Information; Physical Therapy; Registration; Rural Outpatient and Community Respiratory Therapy Services; Therapeutic Recreation; Volunteer Resources,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-52,Cypress View,722 Bassett Crescent,Medicine Hat,T1A 7W8,AB,403-527-8755 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Designated Supportive Living Level 3,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-53,Devon General Hospital,101 Erie Street,Devon,T9G 1A6,AB,780-987-8200 (Switchboard),780-987-8232 (Switchboard),Wheel chair access available.; All cay programs operate out of wheelchair accessible facilities.,Visiting Hours Monday - Sunday 9:00 am to 8:00 p,Adults (young adults under 18 may be considered),"Addiction and Mental Health - Suburban Community Assessment and Treatment Services, Adult; Adult Day Support Program; Cafeteria Services; Child Health Clinics Community; Continuing Care Services; Diagnostic Imaging Services; Drop In for New Mothers / Families and Infants; Emergency Services; Fluoride Protection for Toddlers; General Radiography (X-Ray); Health Information - Access and Disclosure; Health Information / Records Management; Healthy Beginnings Postpartum Program; Healthy Beginnings Postpartum Program; Hospitals; Immunization - Adult and Seniors Services; Immunization - Infant and Preschool Services; Immunization - School Services; Laboratory Services; Lost and Found; Nutrition Counselling - Adult; Patient Email Well Wishes; Patient Food Services; Patient Information; Public Health Centres; Registration; School Dental Services; School Health Services; School Oral Health Services; Social Work; Spiritual Care; Switchboard; Tuberculosis Testing; Volunteer Resources",Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-54,Devonshire Care Centre,1808 Rabbit Hill  Road,Edmonton,T6R 3H2,AB,780-665-8050 (switchboard),,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-55,Devonshire Manor,1718 Rabbit Hill Road,Edmonton,T6R 3N6,AB,780-432-9251 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-56,"Dianne and Irving Kipnes Centre for Veterans, The",4470 McCrae  Avenue,Edmonton,T5E 6M8,AB,780-442-5700 (press 0 for reception),780-442-5711,Wheel chair access available.; Paid Parking,Clients attend once or twice weekly from 9:00 am to 3:00 p,"To access the program, people must: ",Adult Day Support Program; Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-57,Dr. Cooke Extended Care Centre,3915 56 Avenue,Lloydminster,T9V 1N9,AB,780-871-7900,780-875-3505,Wheel chair access available.,,,Continuing Care Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-58,Dr. W. R. KEIR - Barrhead Continuing Care Centre,5336 59 Avenue,Barrhead,T7N 1L2,AB,780-674-4506,780-674-3003,Wheel chair access available.,"Continuing Care Access phone number available Monday to Friday 8:15 a.m. to 8:15 p.m. and Saturday, Sunday and Holidays 9:00 a.m. to 5:15 p.",,Continuing Care Services; Health Information - Access and Disclosure; Linen & Environmental Services; Occupational Therapy Services; Patient Food Services; Patient Information; Registration; Respite Care; Social Work; Switchboard; Therapeutic Recreation Services,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-59,Eau Claire Retirement Residence,301 7 Street,Calgary,T2P 1Y6,AB,403-269-3114 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Designated Supportive Living Level 4; Designated Supportive Living Level 4 Dementia,Canada
Canada-AB-28-AB-ContinuingAndLongTermCare-output-60,Eckville Manor House,5111 51 Avenue,Eckville,T0M 0X0,AB,403-746-2661 (switchboard),,Wheel chair access available.,,Clients are assessed to make sure they’re placed in the residential care setting that can best meet their needs.,Designated Supportive Living Level 3,Canada
