row_id,LICENSE NUMBER,name,STREET,PO BOX,CITYSTZIP,BEDS,COUNTY,REGION,TELEPHONE,ADMINISTRATOR,CERTIFICATION,FAXPHONE,OWNCOMP,OWNEROFDESC,OWNCATDESC,OWNEND,MCARE,FAC_CITY,OWNER,LICISSUED,LICENSURE,facility_type
USA-WI-48-Facilities-48-NursingHomes-12,Lic. 3103,GOLDEN YEARS HEALTH CENTER,270 RIDGE ROAD,,"WALWORTH, WI  53184",28 Beds,WALWORTH,Southeastern,(262) 275-6103,Administrator: JONATHAN STANKEVITZ,525677,FAX: (262) 275-6106,GOLDEN YEARS NURSING HOME INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF,WALWORTH,FOR PROFIT CORPORATION,19-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-13,Lic. 1035,ATTIC ANGEL PLACE HEALTH CENTER,8301 OLD SAUK RD,,"MIDDLETON, WI  53562",44 Beds,DANE,Southern,(608) 662-8842,Administrator: DEREK BUCKLEY,525644,FAX: (608) 662-8800,ATTIC ANGEL ASSOCIATION, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF,MIDDLETON,NONPROFIT CORPORATION,10-Apr-00,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-14,Lic. 5045,MARSHFIELD CLINIC COMFORT AND RECOVERY-MARSHFIELD,1000 OAK AVE,,"MARSHFIELD, WI  54449",20 Beds,WOOD,Southern,(715) 221-5000,Administrator: TODD RAMLET,525722,FAX: (715) 221-5032,GRACE LUTHERAN FOUNDATION INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF,MARSHFIELD,NONPROFIT CORPORATION,16-Nov-15,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-15,Lic. 5017,SARAH CHUDNOW CAMPUS,10995 N MARKET ST,,"MEQUON, WI  53092",25 Beds,OZAUKEE,Southeastern,(262) 478-1501,Administrator: JOHN LAWSON,525682,FAX: (262) 478-1510,MEQUON JEWISH CAMPUS INC, HEALTH CARE OP, NON PROFIT-CHU,,Title 18 SNF,MEQUON,NONPROFIT CHURCH/CORP,6-Apr-05,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-16,Lic. 5046,MARSHFIELD CLINIC COMFORT AND RECOVERY-WAUSAU,2727 PLAZA DR,,"WAUSAU, WI  54401",12 Beds,MARATHON,Northern,(715) 847-1831,Administrator: JENNIFER COHEN,525723,,GRACE LUTHERAN FOUNDATION INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF,WAUSAU,NONPROFIT CORPORATION,9-Dec-15,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-17,Lic. 5044,MARSHFIELD CLINIC COMFORT AND RECOVERY-EAU CLAIRE,2116 CRAIG RD,,"EAU CLAIRE, WI  54701",12 Beds,EAU CLAIRE,Northern,(715) 836-1200,Administrator: JENNIFER COHEN,525721,,GRACE LUTHERAN FOUNDATION INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF,EAU CLAIRE,NONPROFIT CORPORATION,16-Nov-15,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-18,Lic. 5005,GRANDE PRAIRIE HEALTH AND REHABILITATION CENTER,10330 PRAIRIE RIDGE BLVD,,"PLEASANT PRAIRIE, WI  53158",118 Beds,KENOSHA,Southeastern,(262) 612-2800,Administrator: DENISE JOHNSON,525659,FAX: (262) 612-2850,SSC PLEASANT PRAIRIE OPERATING COMPANY LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,PLEASANT PRAIRIE,LIMITED LIABILITY COMPANY,31-Jul-00,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-19,Lic. 2911,GREEN BAY HEALTH SERVICES,1640 SHAWANO AVE,,"GREEN BAY, WI  54303",125 Beds,BROWN,Northeastern,(920) 499-5177,Administrator: AMY BRAUER,525342,FAX: (920) 499-6035,NSH GREEN BAY LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,GREEN BAY,LIMITED LIABILITY COMPANY,9-Mar-70,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-20,Lic. 2443,UPLAND HILLS NURSING AND REHABILITATION,800 COMPASSION WAY,,"DODGEVILLE, WI  53533",44 Beds,IOWA,Southern,(608) 930-7600,Administrator: MICHELLE CARVER,525376,FAX: (608) 930-7271,UPLAND HILLS HEALTH INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,DODGEVILLE,NONPROFIT CORPORATION,1-Feb-74,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-21,Lic. 2875,WISCONSIN DELLS HEALTH SERVICES,300 RACE ST,,"WISCONSIN DELLS, WI  53965",90 Beds,COLUMBIA,Southern,(608) 254-2574,Administrator: SCOTT ARNESON,525391,FAX: (608) 253-7411,NSH WISCONSIN DELLS LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,WISCONSIN DELLS,LIMITED LIABILITY COMPANY,28-Nov-72,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-22,Lic. 2922,ST FRANCIS HEALTH SERVICES,1915 E TRIPOLI AVE,,"SAINT FRANCIS, WI  53235",34 Beds,MILWAUKEE,Southeastern,(414) 483-3611,Administrator: ANN LOPEZ,525477,FAX: (414) 483-1139,NSH SOUTH SHORE LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,SAINT FRANCIS,LIMITED LIABILITY COMPANY,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-23,Lic. 3235,ATRIUM POST ACUTE CARE OF APPLETON,601 N BRIARCLIFF DR,,"APPLETON, WI  54915",82 Beds,OUTAGAMIE,Northeastern,(920) 739-4466,Administrator: DAVID MUELLER,525407,FAX: (920) 739-2103,"601 BRIARCLIFF DRIVE OPERATING COMPANY, LLC", HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,APPLETON,LIMITED LIABILITY COMPANY,1-Sep-72,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-24,Lic. 2604,"OREGON MANOR, LTD",354 N MAIN ST,,"OREGON, WI  53575",45 Beds,DANE,Southern,(608) 835-3535,Administrator: THOMAS GRAVES,525536,FAX: (608) 835-3890,"GRAVES ENTERPRISES, INC.", HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,OREGON,FOR PROFIT CORPORATION,1-Oct-75,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-25,Lic. 3078,ATRIUM POST ACUTE CARE OF MINERAL POINT,109 N IOWA ST,,"MINERAL POINT, WI  53565",30 Beds,IOWA,Southern,(608) 987-2381,Administrator: PATRICIA REYNOLDS,525354,FAX: (608) 987-2365,MINERAL POINT CARE CENTER LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,MINERAL POINT,LIMITED LIABILITY COMPANY,15-May-72,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-26,Lic. 2900,TWIN PORTS HEALTH SERVICES,1612 N 37TH ST,,"SUPERIOR, WI  54880",90 Beds,DOUGLAS,Northern,(715) 392-5144,Administrator: PEGGY RAHKONEN,525370,FAX: (715) 392-1406,NSH SUPERIOR LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,SUPERIOR,LIMITED LIABILITY COMPANY,20-Feb-70,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-27,Lic. 2929,WATER'S EDGE,11040 NORTH STATE RD 77,,"HAYWARD, WI  54843",50 Beds,SAWYER,Northern,(715) 934-4321,Administrator: HEATHER SHEEHAN,525632,FAX: (715) 934-4270,MEDICAL SERVICES INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,HAYWARD,NONPROFIT CORPORATION,23-Nov-70,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-28,Lic. 3062,LADYSMITH NURSING HOME,1001 E 11TH ST N,,"LADYSMITH, WI  54848",32 Beds,RUSK,Northern,(715) 532-5546,Administrator: JENNIFER ABERNATHY,525592,FAX: (715) 532-5498,LADYSMITH NURSING HOME, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,LADYSMITH,FOR PROFIT CORPORATION,1-Apr-91,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-29,Lic. 2349,LADYSMITH CARE & REHAB,900 COLLEGE AVE W,,"LADYSMITH, WI  54848",50 Beds,RUSK,Northern,(715) 532-5015,Administrator: ANN NOVAK,525416,FAX: (715) 532-0296,"SENIOR MANAGEMENT, INC.", HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,LADYSMITH,FOR PROFIT CORPORATION,22-Aug-73,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-30,Lic. 2086,GOOD SAMARITAN SOCIETY-LODI,700 CLARK ST,,"LODI, WI  53555",50 Beds,COLUMBIA,Southern,(608) 592-3241,Administrator: JACOB KUBIK,525520,FAX: (608) 592-3293,EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,LODI,NONPROFIT CORPORATION,1-Sep-68,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-31,Lic. 2973,LINDENGROVE MENOMONEE FALLS,W180 N8071 TOWN HALL RD,,"MENOMONEE FALLS, WI  53051",130 Beds,WAUKESHA,Southeastern,(262) 253-2700,Administrator: AMBER DONOVAN,525421,FAX: (262) 253-2283,LINDENGROVE  INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,MENOMONEE FALLS,NONPROFIT CORPORATION,20-Feb-89,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-32,Lic. 3146,ATRIUM POST ACUTE CARE OF ELLSWORTH,403 N MAPLE ST,,"ELLSWORTH, WI  54011",60 Beds,PIERCE,Western,(715) 273-5821,Administrator: RHONDA BLODGETT,525483,FAX: (715) 273-6182,ELLSWORTH CARE CENTER LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,ELLSWORTH,LIMITED LIABILITY COMPANY,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-33,Lic. 2972,LINDENGROVE WAUKESHA,425 N UNIVERSITY DR,,"WAUKESHA, WI  53188",89 Beds,WAUKESHA,Southeastern,(262) 524-6400,Administrator: SUZANNE WHITTY,525422,FAX: (262) 524-9233,LINDENGROVE  INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,WAUKESHA,NONPROFIT CORPORATION,21-Feb-89,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-34,Lic. 1176,COLFAX HEALTH AND REHABILITATION CENTER,110 PARK DRIVE,,"COLFAX, WI  54730",40 Beds,DUNN,Western,(715) 962-3186,Administrator: JILL GENGLER,525691,FAX: (715) 962-3639,"COLFAX HEALTH AND REHABILITATION CENTER, INC.", HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,COLFAX,NONPROFIT CORPORATION,3-Jan-66,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-35,Lic. 2659,"GOOD SHEPHERD SERVICES, LTD",607 BRONSON RD,,"SEYMOUR, WI  54165",50 Beds,OUTAGAMIE,Northeastern,(920) 833-6856,Administrator: DEBORAH CAPTAIN,525509,FAX: (920) 833-1846,GOOD SHEPHERD SERVICES LTD, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,SEYMOUR,LIMITED LIABILITY COMPANY,27-Apr-81,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-36,Lic. 2650,FAIR VIEW NURSING AND REHABILITATION CENTER,1050 DIVISION ST,,"MAUSTON, WI  53948",60 Beds,JUNEAU,Southern,(608) 847-6161,Administrator: JAMES O'KEEFE,525437,FAX: (608) 847-6017,MILE BLUFF MEDICAL CENTER INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,MAUSTON,NONPROFIT CORPORATION,1-Jul-76,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-37,Lic. 3099,SSM HEALTH ST CLARE MEADOWS CARE CENTER,1414 JEFFERSON ST,,"BARABOO, WI  53913",102 Beds,SAUK,Southern,(608) 356-4838,Administrator: RONNIE SCHAETZL,525317,FAX: (608) 356-5441,SSM HEALTH CARE OF WISCONSIN INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,BARABOO,NONPROFIT CORPORATION,14-Dec-73,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-38,Lic. 3050,BROOKFIELD REHAB AND SPECIALTY CARE CENTER,18740 W BLUEMOUND RD,,"BROOKFIELD, WI  53045",224 Beds,WAUKESHA,Southeastern,(262) 782-0230,Administrator: JAMES WEIBELER,525424,FAX: (262) 797-8306,FIVE STAR QUALITY CARE-WI LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,BROOKFIELD,LIMITED LIABILITY COMPANY,6-Jan-71,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-39,Lic. 2249,MAPLEWOOD OF SAUK PRAIRIE,245 SYCAMORE ST,,"SAUK CITY, WI  53583",120 Beds,SAUK,Southern,(608) 643-3383,Administrator: PAUL FISCUS,525462,FAX: (608) 643-2629,NURSING HOMES INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,SAUK CITY,FOR PROFIT CORPORATION,7-May-71,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-40,Lic. 1002,FOUR WINDS MANOR,303 S JEFFERSON ST,,"VERONA, WI  53593",44 Beds,DANE,Southern,(608) 845-6465,Administrator: M LYNN HOWARD,525656,FAX: (608) 848-8315,"FOUR WINDS MANOR, INC.", HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,VERONA,FOR PROFIT CORPORATION,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-41,Lic. 1139,SCHMITT WOODLAND HILLS,1400 W SEMINARY ST,,"RICHLAND CENTER, WI  53581",50 Beds,RICHLAND,Southern,(608) 647-8931,Administrator: JACQUELINE CARLEY,525671,FAX: (608) 647-8050,SCHMITT WOODLAND HILLS INC, HEALTH CARE OP, NON PROFIT-OTH,,Title 18 SNF    Title 19 NF,RICHLAND CENTER,NONPROFIT OTHER,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-42,Lic. 2470,GREENWAY MANOR,501 S WINSTED  PO BOX 759,,"SPRING GREEN, WI  53588",60 Beds,SAUK,Southern,(608) 588-2586,Administrator: MARK SCOLES,525396,FAX: (608) 588-7410,RIVER VALLEY NH INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,SPRING GREEN,FOR PROFIT CORPORATION,25-Jul-74,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-43,Lic. 2693,GENEVA LAKE MANOR,211 S CURTIS ST,,"LAKE GENEVA, WI  53147",60 Beds,WALWORTH,Southeastern,(262) 248-3145,Administrator: EMILY KARLS,525565,FAX: (262) 248-3564,WISCONSIN ILLINOIS SENIOR HOUSING INC, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,LAKE GENEVA,NONPROFIT CORPORATION,15-Mar-82,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-44,Lic. 2944,HEARTLAND COUNTRY VILLAGE,634 CENTER ST,,"BLACK EARTH, WI  53515",50 Beds,DANE,Southern,(608) 767-2572,Administrator: CHERI MCCORMICK,525521,FAX: (608) 767-2565,BENCHMARK HEALTHCARE OF DANE CO INC, HEALTH CARE OP, NON PROFIT-OTH,,Title 18 SNF    Title 19 NF,BLACK EARTH,NONPROFIT OTHER,2-Jun-75,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-45,Lic. 852,"GLENHAVEN, INC",612 E OAK ST,,"GLENWOOD CITY, WI  54013",44 Beds,SAINT CROIX,Western,(715) 265-4555,Administrator: DAVID PRISSEL,525602,FAX: (715) 265-7344,"GLENHAVEN, INC", HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,GLENWOOD CITY,NONPROFIT CORPORATION,1-Feb-60,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-46,Lic. 2852,HERITAGE MANOR,307 ROYALL AVE  PO BOX 167,,"ELROY, WI  53929",80 Beds,JUNEAU,Southern,(608) 462-8491,Administrator: JAMES LAINE,525452,FAX: (608) 462-5088,EDGEWOOD CARE CENTER INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,ELROY,FOR PROFIT CORPORATION,28-Jun-84,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-47,Lic. 2729,GRAY'S NURSING HOME,555 N CHESTNUT ST,,"PLATTEVILLE, WI  53818",20 Beds,GRANT,Southern,(608) 349-6741,Administrator: KATHERINE HUDSON,525530,FAX: (608) 349-6005,GRAYS NURSING HOME INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,PLATTEVILLE,FOR PROFIT CORPORATION,1-Oct-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-48,Lic. 5031,DOVE HEALTHCARE-SOUTH,3656 MALL DRIVE,,"EAU CLAIRE, WI  54701",50 Beds,EAU CLAIRE,Western,(715) 552-1035,Administrator: JEREMY KILEY,525701,FAX: (715) 552-4567,"TRANSITIONS AT OAKWOOD, LLC", HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,EAU CLAIRE,LIMITED LIABILITY COMPANY,11-Sep-09,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-49,Lic. 1039,FAIRHAVEN CORPORATION,435 W STARIN RD,,"WHITEWATER, WI  53190",84 Beds,WALWORTH,Southeastern,(262) 473-2140,Administrator: LYNN BINNIE,525587,FAX: (262) 473-5468,FAIRHAVEN CORPORATION, HEALTH CARE OP, NON PROFIT-COR,,Title 18 SNF    Title 19 NF,WHITEWATER,NONPROFIT CORPORATION,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-50,Lic. 934,LUTHER MANOR,4545 N 92ND ST,,"MILWAUKEE, WI  53225",210 Beds,MILWAUKEE,Southeastern,(414) 464-3880,Administrator: JULIE JOLITZ,525588,FAX: (414) 464-9050,UNITED LUTHERAN PROGRAM FOR THE AGING INC, HEALTH CARE OP, NON PROFIT-CHU,,Title 18 SNF    Title 19 NF,MILWAUKEE,NONPROFIT CHURCH/CORP,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-51,Lic. 952,CARE AND REHAB - CUMBERLAND,1100 7TH AVE,,"CUMBERLAND, WI  54829",50 Beds,BARRON,Western,(715) 822-7050,Administrator: TERESA SIMPSON,525712,FAX: (715) 822-2740,"CUMBERLAND CARE AND REHAB, INC", HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,CUMBERLAND,FOR PROFIT CORPORATION,1-Jan-65,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-52,Lic. 2921,SHEBOYGAN HEALTH SERVICES,3129 MICHIGAN AVE,,"SHEBOYGAN, WI  53082",64 Beds,SHEBOYGAN,Northeastern,(920) 458-1155,Administrator: KATHERINE CLINTON,525456,FAX: (920) 458-1173,NSH SHEBOYGAN LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,SHEBOYGAN,LIMITED LIABILITY COMPANY,1-Apr-69,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-53,Lic. 3172,HALES CORNERS CARE CENTER,9449 W FOREST HOME AVE,,"HALES CORNERS, WI  53130",62 Beds,MILWAUKEE,Southeastern,(414) 529-6888,Administrator: CYNTHIA BERG,525596,FAX: (414) 529-1271,REGENCY TERRACE SOUTH INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,HALES CORNERS,FOR PROFIT CORPORATION,26-Mar-96,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-54,Lic. 2225,ATRIUM POST ACUTE CARE OF TWO RIVERS,1 HAMILTON DR,,"TWO RIVERS, WI  54241",80 Beds,MANITOWOC,Northeastern,(920) 793-2261,Administrator: MICHAEL SPITZER,525664,FAX: (920) 794-6934,HAMILTON CARE CENTER LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,TWO RIVERS,LIMITED LIABILITY COMPANY,2-Nov-70,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-55,Lic. 3089,VILLA PINES LIVING CENTER,"201 PARK ST, PO BOX 130",,"FRIENDSHIP, WI  53934",75 Beds,ADAMS,Southern,(608) 339-3361,Administrator: LAURIE CARLSON,525351,FAX: (608) 339-9468,VILLA PINES FACILITIES LLC, HEALTH CARE OP,,,Title 18 SNF    Title 19 NF,FRIENDSHIP,LIMITED LIABILITY COMPANY,18-Dec-72,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-56,Lic. 3061,PREMIER REHAB AND SKILLED NURSING,2121 PIONEER DR,,"BELOIT, WI  53511",120 Beds,ROCK,Southern,(608) 365-9526,Administrator: SUSAN VIKEN,525663,FAX: (608) 365-9761,LJ III HEALTH MANAGEMENT INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,BELOIT,FOR PROFIT CORPORATION,31-Aug-73,Skilled Care,Nursing Home
USA-WI-48-Facilities-48-NursingHomes-57,Lic. 3171,PLUM CITY CARE CENTER,301 CHERRY AVENUE WEST,,"PLUM CITY, WI  54761",50 Beds,PIERCE,Western,(715) 647-2401,Administrator: CARLA HUTTER,525440,FAX: (715) 647-2054,EAU CLAIRE MANOR INC, HEALTH CARE OP, FOR PROFIT - C,,Title 18 SNF    Title 19 NF,PLUM CITY,FOR PROFIT CORPORATION,23-Jun-87,Skilled Care,Nursing Home
