row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,reg_name,TRAUMATIC BRAIN INJURY,TERMINALLY ILL,PUBLIC FUNDING,PHYSICALLY DISABLED,IRREVERSIBLE DEMENTIA/ALZHEIMER'S,EMOTIONALLY DISTURBED/MENTAL ILLNESS,DEVELOPMENTALLY DISABLED,ALCOHOL/DRUG DEPENDENT,ADVANCED AGED,facility_type
USA-WI-48-Facilities-48-AdultDayCare-11,16132,ANOTHER CHANCE 2 ADULT DAY CARE LLC,3916 N 24TH PLACE,MILWAUKEE,WI,53206,4147360462,MILWAUKEE           ,HAMPTON,NICOLE,,LEWIS,VALERIE,SANIFORD,GWEN,3916 N 24TH PLACE,MILWAUKEE,WI,53206,4147360462,ADC                           ,B,6,,,,5-Aug-16,SOUTHEASTERN REGION      ,,,,1,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-12,14106,APTITUDES,426 MC MILLEN ST              ,FORT ATKINSON       ,WI,53538,9205638554,JEFFERSON           ,KLITZKIE,CHRISTINE,ABILITIES INC                                               ,KLITZKIE,CHRISTINE,KLITZKIE,CHRISTINE,PO BOX 84                     ,FORT ATKINSON       ,WI,53538,9205638554,ADC                           ,B,50,,,,1-Aug-12,SOUTHERN REGION          ,,,1,1,,,1,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-13,16723,ASPIRUS LANGLADE ADULT DAY CENTER,519 FLIGHT RD,ANTIGO,WI,54409,7156270657,LANGLADE            ,SCHNEIDER,DAVE,LANGLADE HOSPITAL,RENFRO,JENNY,MATZ,KERRI,112 E 5TH AVE,ANTIGO,WI,54409,7156232331,ADC                           ,B,7,,,,18-Jul-17,WESTERN REGION           ,,,,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-14,12361,ASPIRUS PLEASANT VIEW REGENCY ADULT DAY CTR,615 PETERSON AVENUE           ,PHILLIPS            ,WI,54555,7153396285,PRICE               ,KOZIK,RHONDA,ASPIRUS EXTENDED SERVICES INC                               ,,,KOZIK,RHONDA,595 PETERSON DRIVE,PHILLIPS,WI,54555,7158472116,ADC                           ,B,16,,,,1-Apr-08,WESTERN REGION           ,1,,1,1,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-15,10892,AURORA MEDICAL CENTER ADULT DAY SERVICES,1022 E SELL DR                ,HARTFORD            ,WI,53027,2626705105,WASHINGTON          ,BIALAS,KAREN,AURORA MEDICAL CENTER                                       ,SCHWARTZ,MARK,BIALAS,KAREN,1032 E SUMNER ST              ,HARTFORD            ,WI,53027,2626732300,ADC                           ,B,20,,,,23-Jun-05,NORTHEASTERN REGION      ,,,1,1,,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-16,15861,BEKUS ADULT DAY PROGRAM LLC,4425 N 63RD ST,MILWAUKEE,WI,53218,4143667309,MILWAUKEE           ,ROBERTSON,ETTA,,ROBERTSON,ETTA,ROBERTSON,ETTA,4425 N 63RD ST,MILWAUKEE,WI,53218,4143667309,ADC                           ,B,6,,,,12-Oct-16,SOUTHEASTERN REGION      ,,1,,,1,1,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-17,16794,BENEVOLENCE ADULT DAY CARE,914 LAURIE DR,MADISON,WI,53711,6084420253,DANE                ,BROWN,HAL,,TAZIFUA,MELVIS,TAZIFUA,MELVIS,914 LAURIE DR,MADISON,WI,53711,6084420253,ADC                           ,B,6,,,,29-Aug-17,SOUTHERN REGION          ,1,,,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-18,16110,BETHESDA SENIOR CENTER,2845 W FOND DU LAC AVE,MILWAUKEE,WI,53210,4144453019,MILWAUKEE           ,BATES,HOSEA,BETHESDA SENIOR CENTER,BATES,HOSEA,BATES,HOSEA,2845 W FOND DU LAC AVE,MILWAUKEE,WI,53210,4144453019,ADC                           ,B,50,,,,7-Jul-16,SOUTHEASTERN REGION      ,,1,,1,,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-19,15003,BLOOMER ADULT DAY SERVICES                        ,917 15TH AVENUE               ,BLOOMER             ,WI,54724,7155681000,CHIPPEWA            ,PETERSON,BETH,BLOOMER ADULT DAY SERVICES                                  ,PETERSON,BETH,PETERSON,BETH,917 15TH AVENUE               ,BLOOMER             ,WI,54724,7159672697,ADC                           ,B,12,,,,4-Mar-14,WESTERN REGION           ,1,,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-20,15389,CAHOOTS 2 ADULT DAY SERVICE,1035 10351/2 ROYALTON ST,WAUPACA,WI,54981,7158244341,WAUPACA             ,HAAS JAKUSZ,LAURIE,,HAAS JAKUSZ/MARSHALL,LAURIE/BRIANNA,HAAS JAKUSZ,LAURIE,PO BOX 313,AMHERST,WI,54406,7158244341,ADC                           ,,20,,,,11-Dec-14,NORTHEASTERN REGION      ,1,1,1,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-21,15020,CAHOOTS ADULT DAY SERVICE,137-147 N MAIN ST             ,AMHERST             ,WI,54406,7158244341,PORTAGE             ,HAAS JAKUSZ,LAURIE,,HAASJAKUSZ/MARSHALL,LAURIE/BRIANNA,HAAS JAKUSZ,LAURIE,PO BOX 313                    ,AMHERST             ,WI,54406,7158244341,ADC                           ,B,15,,,,3-Apr-14,NORTHEASTERN REGION      ,1,1,1,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-22,11744,CAPABILITIES,N2489 WENHAM RD PO BOX 84     ,FORT ATKINSON       ,WI,53538,9205689705,JEFFERSON           ,HANSEN,TROY,ABILITIES INC                                               ,KLITZKIE,CHRISTINE,KLITZKIE,CHRISTINE,PO BOX 84                     ,FORT ATKINSON       ,WI,53538,9205638554,ADC                           ,B,21,,,,1-Feb-07,SOUTHERN REGION          ,1,,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-23,8857,CARE COVE ADULT DAY CARE,620 SOUTH GARFIELD AVE        ,VIROQUA             ,WI,54665,6086376369,VERNON              ,STOUT TEWALT,DEBRA,BETHEL HOME & SERVICES INC                                  ,STOUT TEWALT,DEBRA,STOUT TEWALT,DEBRA,614 SOUTH ROCK AVE            ,VIROQUA             ,WI,54665,6086372171,ADC                           ,B,16,,,,22-Feb-00,WESTERN REGION           ,,,1,,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-24,300037,CARING PLACE (THE)                                ,810 N EAST AVE                ,WAUKESHA            ,WI,53186,2625426388,WAUKESHA            ,WETZEL,LORI,CARING PLACE INC (THE)                                      ,,,WETZEL,LORI,810 N EAST AVE                ,WAUKESHA            ,WI,53186,2625426388,ADC                           ,B,23,0,0,,25-Jun-90,SOUTHERN REGION          ,,,1,1,,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-25,9917,CARING TREE ADULT CENTER (THE),512 CALDWELL AVENUE           ,OCONTO FALLS        ,WI,54154,9208488885,OCONTO              ,ARNDT,DEBBIE,HOME RESPITE CARE INC                                       ,,,ARNDT,DEBBIE,855 SOUTH MAIN STREET         ,OCONTO FALLS        ,WI,54154,9208486368,ADC                           ,B,16,,,,26-Dec-02,NORTHEASTERN REGION      ,,,1,,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-26,16356,CATHOLIC CHARITIES ADULT DAY CENTER,5401 FEN OAK DR,MADISON,WI,53718,6086637117,DANE                ,FONDER,JACKSON,CATHOLIC CHARITIES,,,HESSELBERG,CRICKET,5401 FEN OAK DR,MADISON,WI,53718,6088268000,ADC                           ,B,120,,,,16-Dec-16,SOUTHERN REGION          ,1,1,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-27,300012,CATHOLIC CHARITIES ADULT DAY SERVICES,1919 N 60TH ST                ,MILWAUKEE           ,WI,53208,4147716063,MILWAUKEE           ,JANKOWSKI,ANNETTE,CATHOLIC CHARITIES OF THE ARCH OF MILW INC                  ,DOLAN,REV TIMOTHY,JANKOWSKI,ANNETTE,1919 N 60th Street,Milwaukee,WI,53209,4147712881,ADC                           ,B,40,0,0,,23-Nov-91,SOUTHEASTERN REGION      ,,,1,,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-28,15103,CEDAR SHORES FAMILY ADULT DAY CARE,518 SCHOFIELD STREET,CHETEK              ,WI,54728,7157900491,BARRON              ,HELMS,NANCY,,HELMS,NANCY,HELMS,NANCY,518 SCHOFIELD STREET ,CHETEK              ,WI,54728,7157900491,ADC                           ,B,4,,,,26-May-14,WESTERN REGION           ,,,,,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-29,10711,CENTER FOR HEALTHY AGING,2020 W WELLS ST               ,MILWAUKEE           ,WI,53233,4149372035,MILWAUKEE           ,BANDKOWSKI,AMANDA,MILWAUKEE CENTER FOR INDEPENDENCE                           ,GARBER,DR HOWARD,GARBER,DR HOWARD,2020 W WELLS ST               ,MILWAUKEE           ,WI,53233,4149372035,ADC                           ,B,67,,,,24-Sep-04,SOUTHEASTERN REGION      ,1,,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-30,15170,CHONG TOUS ELDERLY CENTER LLC,2221 GRAND AVENUE,WAUSAU,WI,54403,7155518762,MARATHON            ,LO,LEE,CHONG TOUS ELDERLY CENTER LLC,LO,LEE,LO,LEE,10725 ROLLING MEADOWS LANE,WAUSAU,WI,54401,7152122192,ADC                           ,B,50,,,,10-Jul-15,WESTERN REGION           ,,,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-31,13549,CHURCH STREET COMMUNITY CLUB,13197 CHURCH STREET           ,PIGEON FALLS        ,WI,54760,7159832293,TREMPEALEAU         ,THESING,ROSEMARIE,TREMPEALEAU COUNTY HEALTH CARE CENTER                       ,,,THESING,ROSEMARIE,PO BOX 310                    ,PIGEON FALLS        ,WI,54760,7155384312,ADC                           ,B,8,,,,5-Nov-10,WESTERN REGION           ,,,1,1,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-32,8702,CLEMENT MANOR ADULT DAY SERVICES,3939 S 92ND ST                ,GREENFIELD          ,WI,53228,4145467366,MILWAUKEE           ,FERGER,DENNIS,CLEMENT MANOR INC                                           ,FERGER,DENNIS,FERGER,DENNIS,3939 S 92ND ST                ,GREENFIELD          ,WI,53228,4145467366,ADC                           ,B,45,,,,21-Jul-99,SOUTHEASTERN REGION      ,,,,1,,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-33,100010,COLONIAL CLUB SENIOR ACTIVITY CENTER INC          ,301 BLANKENHEIM LA            ,SUN PRAIRIE         ,WI,53590,6088374611,DANE                ,POWER,ROBERT,COLONIAL CLUB SENIOR ACTIVITY CENTER                        ,BAILEY,BARBARA,POWER,ROBERT,301 BLANKENHEIM LA            ,SUN PRAIRIE         ,WI,53590,6088374611,ADC                           ,B,28,0,0,,31-Jan-91,SOUTHERN REGION          ,,,1,1,,1,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-34,14189,COMMUNITY CARE ADULT DAY HEALTH,1801 DOLPHIN DR               ,WAUKESHA            ,WI,53186,2629538500,WAUKESHA            ,JOHNSON,SIMONA,COMMUNITY CARE INC                                          ,,,AHLBORN,JAMIE,1801 DOLPHIN DR   ,WAUKESHA,WI,53186,4143856600,ADC                           ,B,40,,,,7-Jun-12,SOUTHERN REGION          ,,,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-35,11732,COMPANION DAY SERVICES,905 TINY TIGERS COURT         ,MARSHFIELD          ,WI,54449,7153842115,WOOD                ,SOYK,SHANNON,,SOYK,SHANNON,SOYK,SHANNON,905 TINY TIGERS COURT         ,MARSHFIELD          ,WI,54449,7153942115,ADC                           ,B,20,,,,20-Mar-07,NORTHEASTERN REGION      ,,,1,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-36,13552,COULEE REGION ADULT DAY CENTER,1062 OAK FOREST DR SUITE 160  ,ONALASKA            ,WI,54650,6085192306,LACROSSE            ,JORDAN,KRISTY,,KEPLER,AMY,KEPLER,AMY,1062 OAK FOREST DR  STE 160   ,ONALASKA            ,WI,54650,6084750006,ADC                           ,B,50,,,,18-Mar-11,WESTERN REGION           ,,,1,1,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-37,15121,COULEE REGION ADULT DAY CENTER SPARTA,777 NORTH STREET              ,SPARTA              ,WI,54656,6085192306,MONROE              ,KEPLER,AMY,COULEE REGION ADULT DAY CENTER                              ,KEPLER,AMY,KEPLER,AMY,1062 OAK FOREST DR STE 160    ,ONALASKA       ,WI,54650,6084750006,ADC                           ,B,16,,,,27-Aug-14,WESTERN REGION           ,,,1,1,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-38,300058,CURATIVE SENIOR CARE CENTER,149 WISCONSIN AVE             ,WAUKESHA            ,WI,53186,2625749147,WAUKESHA            ,RICHTER,NICOLE,CURATIVE CARE NETWORK                                       ,,,RICHTER,NICOLE,149 WISCONSIN AVENUE          ,WAUKESHA            ,WI,53186,4142591414,ADC                           ,B,40,0,0,,24-Nov-98,SOUTHERN REGION          ,,,1,1,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-39,15053,CURTIS CENTER,344-346 S CURTIS RD           ,WEST ALLIS          ,WI,53214,4147274414,MILWAUKEE           ,NAGOETTE,NICCI,ADULT DAY SERVICES OF SOUTHEAST WISCONSIN LLC               ,,,TESCH,MICHAEL J,344-346 S CURTIS RD           ,WEST ALLIS          ,WI,53214,4147274412,ADC                           ,B,50,,,,14-Apr-14,SOUTHEASTERN REGION      ,1,,1,1,,1,1,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-40,15845,DAY BREAK ADULT CENTER INC,105 N 1ST ST,EAGLE RIVER,WI,54521,7156170584,VILAS               ,THORPE,LINDA,DAY BREAK ADULT CENTER INC,,,THORPE,LINDA,PO BOX 644,EAGLE RIVER,WI,54521,,ADC                           ,,10,,,,28-Oct-15,WESTERN REGION           ,,,1,1,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-41,500017,DAYBREAK I,12 WEST HUMBIRD STREET        ,RICE LAKE           ,WI,54868,7152347224,BARRON              ,LYSTE,SHELLIE,BARRON COUNTY OFFICE ON AGING                               ,VAUGHN,GLORIA,SCHMIDT,MARGARET,335 E MONROE AVE  RM 112      ,BARRON              ,WI,54812,7155376225,ADC                           ,B,15,0,0,,17-Mar-97,WESTERN REGION           ,,,1,,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-42,500018,DAYBREAK II,154 MEMORIAL DRIVE            ,BARRON              ,WI,54812,7155373229,BARRON              ,LYSTE,SHELLIE,BARRON COUNTY OFFICE ON AGING                               ,VAUGHN,GLORIA,SCHMIDT,MARGARET,335 E MONROE AVE RM 112      ,BARRON              ,WI,54812,7155376225,ADC                           ,B,15,0,0,,17-Mar-97,WESTERN REGION           ,,,1,,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-43,12209,DISABILITIES UNLIMITED DAY PROGRAM SERVICES       ,3808 W ELM ST                 ,MILWAUKEE           ,WI,53209,4145406479,MILWAUKEE           ,DIAAB,ABDUL RASHAD,DISABILITIES UNLIMITED                                      ,WILDER,SCOTT,WILDER,SCOTT,3808 W ELM ST                 ,MILWAUKEE           ,WI,53209,4145406479,ADC                           ,B,50,,,,4-Feb-08,SOUTHEASTERN REGION      ,,,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-44,14248,EAST SHORE INDUSTRIES INC,813 RABAS ST                  ,ALGOMA              ,WI,54201,9204873541,KEWAUNEE            ,NELSON,TRACY,EAST SHORE INDUSTRIES INC,OPICKA,RON,NELSON,TRACY,813 RABAS ST                  ,ALGOMA              ,WI,54201,9204873541,ADC                           ,B,15,,,,15-Oct-12,NORTHEASTERN REGION      ,,,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-45,12623,EASTER SEALS ADULT DAY SERV AT KENOSHA YMCA,7101 53RD ST                  ,KENOSHA             ,WI,53144,2626549622,KENOSHA             ,MATT,RACHEL,EASTER SEALS SOUTHEAST WISCONSIN                            ,GLOWACKI,ROBERT,GLOWACKI,ROBERT,2222 S 114TH STREET           ,WEST ALLIS          ,WI,53172,4144494444,ADC                           ,B,37,,,,22-Jan-09,SOUTHEASTERN REGION      ,1,,1,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-46,11998,EASTER SEALS SOUTHEAST WI ADULT DAY SERV PROG,7111 W CENTER ST              ,WAUWATOSA           ,WI,53213,4145369050,MILWAUKEE           ,MATT,RACHEL,EASTER SEALS SOUTHEAST WISCONSIN                            ,GLOWACKI,ROBERT,GLOWACKI,ROBERT,2222 S 114TH STREET           ,WEST ALLIS          ,WI,53227,6081234567,ADC                           ,B,45,,,,19-Jul-07,SOUTHEASTERN REGION      ,,,1,,,,1,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-47,14547,EASTER SEALS SOUTHEAST WI WEST ALLIS-ADS,2222 S 114TH STREET           ,WEST ALLIS          ,WI,53227,4144494444,MILWAUKEE           ,GLOWACKI,BOB,EASTER SEALS SOUTHEAST WISCONSIN                            ,GLOWACKI,BOB,GLOWACKI,ROBERT,2222 S 114TH STREET           ,WEST ALLIS          ,WI,53227,6081234567,ADC                           ,B,35,,,,22-Mar-13,SOUTHEASTERN REGION      ,1,,1,,1,,1,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-48,15759,EASTER SEALS WAUKESHA,201 W WISCONSIN AVE,WAUKESHA,WI,53186,2629532260,WAUKESHA            ,MATT,RACHEL,EASTER SEALS SOUTHEAST WISCONSIN,GLOWACKI,ROBERT,MATT,RACHEL,2222 S 114th ST,WEST ALLIS,WI,53227,4144494444,ADC                           ,B,40,,,,3-Sep-15,SOUTHERN REGION          ,1,,1,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-49,13519,ELITE DAY SERVICES LLC                            ,1101 S GROVE AVE              ,JEFFERSON           ,WI,53549,9209882524,JEFFERSON           ,RENNHACK,KAY,ELITE DAY SERVICES LLC                                      ,RENNHACK,KAY,RENNHACK,KAY,1101 S GROVE AVE              ,JEFFERSON           ,WI,53549,9209882524,ADC                           ,B,20,,,,15-Nov-10,SOUTHERN REGION          ,1,,,1,1,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-50,9858,EMMCA ADULT DAY CENTER,4142 MONONA DR                ,MADISON             ,WI,53716,6082233100,DANE                ,ANDERSON,MICHELLE,EAST MADISON MONONA COALITION OF THE AGING                  ,LINDQUIST,SONYA,LINDQUIST,SONYA,4142 MONONA DR                ,MADISON             ,WI,53716,6082233100,ADC                           ,B,14,,,,9-Dec-02,SOUTHERN REGION          ,,,1,,,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-51,13651,ENDEAVORS ADULT DEVELOPMENT CENTER INC            ,101 150TH ST                  ,BALSAM LAKE         ,WI,54810,7154858764,POLK                ,CLARK,KATHLEEN,ENDEAVORS ADULT DEVELOPMENT CENTER INC                      ,,,CLARK,KATHLEEN,101 150TH ST                  ,BALSAM LAKE         ,WI,54810,7154858764,ADC                           ,B,19,,,,9-Nov-11,WESTERN REGION           ,,,1,,1,,,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-52,15934,FOUR SEASONS,1326 35TH STREET,KENOSHA,WI,53140,,KENOSHA             ,,,,ERICKSON,STEVE,ERICKSON,STEVEN,31020 93RD STREET,BURLINGTON,WI,53105,,ADC                           ,B,55,,,,9-Feb-16,SOUTHEASTERN REGION      ,1,1,,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-53,12905,GATHERING PLACE (THE),730 COUNTY RD PPP             ,SHEBOYGAN FALLS     ,WI,53085,9206276847,SHEBOYGAN           ,ZEHEL,LEAH,ST PAUL LUTHERAN CHURCH                                     ,,,ZEHEL,LEAH,730 COUNTY RD PPP             ,SHEBOYGAN FALLS     ,WI,53085,9204676449,ADC                           ,B,20,,,,23-Jul-09,NORTHEASTERN REGION      ,,,,,1,,,,,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-54,13801,GENERATIONS ADULT DAY CENTER,1402 CLARK ST                 ,MANITOWOC           ,WI,54220,9206829500,MANITOWOC           ,MCCARTHY,STEVE,NEW CURATIVE REHABILITATION INC                             ,,,MCCARTHY,STEVE,PO BOX 8027                   ,GREEN BAY           ,WI,54308,9205933576,ADC                           ,B,20,,,,1-Aug-11,NORTHEASTERN REGION      ,1,,1,1,1,1,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-55,100026,GOLDEN CARE ADULT DAY CENTER,N8053 HWY 33                  ,BEAVER DAM          ,WI,53916,9208854144,DODGE               ,IGL,ELLEN J,                                                ,IGL,ELLEN J,IGL,ELLEN J,N8053 HWY 33                  ,BEAVER DAM          ,WI,53916,9208854144,ADC                           ,B,17,0,0,,2-May-96,SOUTHERN REGION          ,,,1,,,,1,,1,Adult Day Care
USA-WI-48-Facilities-48-AdultDayCare-56,14138,GOLDEN PEARL LLC                                  ,138 S FOSTER DR               ,SAUKVILLE           ,WI,53080,2622681100,OZAUKEE             ,PERELSHTEIN,LISA,,PERELSHTEIN,LISA,PERELSHTEIN,LISA,138 S FOSTER DR               ,SAUKVILLE           ,WI,53080,2623764222,ADC                           ,,30,,,,10-Apr-12,NORTHEASTERN REGION      ,1,,,1,1,1,1,,1,Adult Day Care
