row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,Region,PUBLIC FUNDING,EMOTIONALLY DISTURBED/MENTAL ILLNESS,<>,facility_type
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-11,10290,ARBOR VILLAGE OF GENEVA CROSSING,201 TOWNLINE RD               ,LAKE GENEVA         ,WI,53147,2622484558,WALWORTH            ,WATROUS,LAURIE,LAKE GENEVA ASSISTED LIVING OPERATING CO LLC                ,,,KERWIN,ANDY,201 TOWNLINE ROAD             ,LAKE GENEVA         ,WI,53147,2622484558,CERTIFIED                     ,B,36,4100,5600,,1-Jul-03,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-12,10296,ARBORETUM V LLC (THE),W180 N7890 TOWN HALL RD       ,MENOMONEE FALLS     ,WI,53051,2622530909,WAUKESHA            ,D'AMICO,MARIE,ARBORETUM V LLC (THE)                                       ,WEISS,KEVIN,ANDERSON,BETH,1805 KENSINGTON DR            ,WAUKESHA            ,WI,53188,2625485965,CERTIFIED                     ,B,115,3310,3910,,28-Dec-01,SOUTHERN REGION          ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-13,12659,ARBORWOOD LODGE,1175 BLUE IRIS CT             ,WISCONSIN RAPIDS    ,WI,54494,7157121299,WOOD                ,BLENKER,KARLA,CRYSTAL FOUNTAINS ASSISTED LIVING LLC                       ,,,ARNOLD,PATRICIA J,4824 INDUSTRIAL PARK RD       ,STEVENS POINT       ,WI,54481,7153429100,CERTIFIED                     ,B,48,3100,4115,,22-Dec-08,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-14,14420,ARTISAN FOND DU LAC SUITES (THE),597 KINGSWOOD AVE             ,FOND DU LAC         ,WI,54935,9209245715,FOND DU LAC         ,KRAMER,VICKIE,MOSAIC MANAGEMENT GROUP LLC                                 ,,,MCCOOK,KRISTA,15400 W CAPITOL DR STE 100    ,BROOKFIELD          ,WI,53005,2627544800,CERTIFIED                     ,B,40,3200,4600,,1-Feb-13,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-15,12360,ASPIRUS DUROY TERRACE,585 PETERSON DRIVE            ,PHILLIPS            ,WI,54555,7153393113,PRICE               ,KOZIK,RHONDA,ASPIRUS EXTENDED SERVICES INC                               ,,,KOZIK,RHONDA,595 PETERSON DRIVE,PHILLIPS,WI,54555,7158472116,CERTIFIED                     ,B,20,1517,2206,,1-Apr-08,WESTERN REGION           ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-16,15337,ASTER ASSISTED LIVING OF CLINTONVILLE,38 N MAIN ST,CLINTONVILLE,WI,54929,7158234344,WAUPACA             ,ROTH,DEBRA,ASHFORD MARTIN CORPORATION,MARTIN,PATRICIA,MARTIN,PATRICIA,1500 N CASALOMA DR STE 402,APPLETON,WI,54913,9208328094,CERTIFIED                     ,B,63,2925,3900,,2-Dec-14,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-17,12237,ASTER ASSISTED LIVING OF COTTAGE GROVE,139 E REYNOLDS ST             ,COTTAGE GROVE       ,WI,53527,6088398085,DANE                ,HAESSLY,CAITLIN,ASHFORD MARTIN CORPORATION                                  ,MARTIN,PATRICIA M,ZIMMERMAN,SUANNE,111 E REYNOLDS AVE,COTTAGE GROVE,WI,53527,6088395884,CERTIFIED                     ,B,70,2700,4395,,8-Jan-08,SOUTHERN REGION          ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-18,12240,ASTER ASSISTED LIVING OF MARSHFIELD,305 S CHESTNUT AVENUE         ,MARSHFIELD          ,WI,54449,7153846611,WOOD                ,TRUDEN,JUDI,ASHFORD MARTIN CORP                                         ,,,MARTIN,PATRICIA,1500 N CASALOMA DR. STE 402   ,APPLETON            ,WI,549138220,9208328094,CERTIFIED                     ,B,53,3475,4325,,7-Jan-08,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-19,12238,ASTER ASSISTED LIVING OF MONROE,616 8TH AVE                   ,MONROE              ,WI,53566,6083282339,GREEN               ,GERBER,AMANDA,ASHFORD MARTIN CORPORATION                                  ,MARTIN,PATRICIA M,MARTIN,PATRICIA M,111 E REYNOLDS AVE  ,COTTAGE GROVE,WI,53527,9208328094,CERTIFIED                     ,B,62,3425,4425,,8-Jan-08,SOUTHERN REGION          ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-20,16638,ATHENIAN LIVING RCAC,716 CAROLINE STREET,ATHENS,WI,54411,7152572053,MARATHON            ,YOUNG,LISA,ATHENIAN LIVING LLC,YOUNG,LISA,YOUNG,LISA,716 CAROLINE STREET,ATHENS,WI,54411,7152572053,CERTIFIED                     ,B,14,700,1700,,4-May-17,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-21,12646,ATRIUM SEN LIV OF STEVENS POINT AT RIVER VIEW LODG,1800B SHERMAN AVENUE          ,STEVENS POINT       ,WI,54481,9209966854,PORTAGE             ,SCHULTZ,JENNIFER,SPRVL LLC                                                   ,PARKINS,ROBERT,PARKINS,ROBERT,1726 N BALLARD ROAD           ,APPLETON            ,WI,54911,9209966854,REGISTERED                    ,B,51,1875,2575,,5-Feb-09,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-22,13477,ATRIUM SEN LIV OF WILLIAMS BAY AT SHERWOOD LODGE,116 CHERRY ST                 ,WILLIAMS BAY        ,WI,53191,9209919072,WALWORTH            ,HUEBSCHER,DEB,SHERWOOD LODGE LLC                                         ,PARKINS,ROBERT,PARKINS,ROBERT,1726 N BALLARD RD          ,APPLETON            ,WI,54911,9209919072,REGISTERED                    ,B,39,2650,4400,,11-Oct-10,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-23,16039,ATRIUM SENIOR LIVING OF BLOOMER RCAC,1900 PRIDDY ST,BLOOMER ,WI,54724,9733398892,CHIPPEWA            ,FRAZER,CRYSTAL A,"1840 PRIDDY STREET OPERATING COMPANY, LLC",BRESLIN,KEVIN P,FRAZER,CRYSTAL,1900 PRIDDY STREET,BLOOMER ,WI,54724,9733398899,CERTIFIED                     ,,18,3425,5775,,1-Mar-16,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-24,16139,ATRIUM SENIOR LIVING OF CHETEK,708 TAINTER ST,CHETEK,WI,54728,7159244891,BARRON              ,FAULKNER,DYLAN,725 KNAPP ST OPERATING COMPANY LLC,BRESLIN,KEVIN,FAULKNER,DYLAN,708 TAINTER STREET,CHETEK,WI,54728,9733398892,CERTIFIED                     ,B,14,1500,3600,,4-Apr-16,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-25,15537,ATRIUM SENIOR LIVING OF PLYMOUTH AT SOUTH HORIZON,930 E CLIFFORD ST,PLYMOUTH,WI,53073,9208934777,SHEBOYGAN           ,VANDYKE,JEFF,PLYMOUTH HOUSING LLC,GERING,LISA,GERING,LISA,930 E CLIFFORD ST,PLYMOUTH,WI,53073,9208932485,REGISTERED                    ,B,32,3000,3000,,2-Apr-15,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-26,11648,ATRIUM SENIOR LIVING OF TWO RIVERS AT NORTHLAND LO,2500 GARFIELD ST              ,TWO RIVERS          ,WI,54241,9207946922,MANITOWOC           ,MOTT,CARRIEANNE,TR HOUSING LLC                                              ,,,MOTT,CARRIEANNE,2500 GARFIELD ST              ,TWO RIVERS          ,WI,54241,9209919072,REGISTERED                    ,B,39,1400,3000,,12-Sep-06,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-27,15279,ATRIUM SENIOR LIVING OF WIS RAPIDS AT RIVER RUN,1400 RIVER RUN DR,WISCONSIN RAPIDS,WI,54494,7154211400,WOOD                ,KOWALESKI,MELISSA,WISCONSIN RAPIDS HOUSING LLC,GERING,LISA,GERING,LISA,930 E CLIFFORD ST,PLYMOUTH,WI,53073,7154211400,REGISTERED                    ,B,39,2850,3775,,8-Dec-14,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-28,12985,ATTIC ANGEL PLACE                                 ,8301 OLD SAUK RD              ,MIDDLETON           ,WI,53562,6086628842,DANE                ,BUCKLEY,DEREK,ATTIC ANGEL PLACE INC                                       ,,,BUCKLEY,DEREK,8301 OLD SAUK RD              ,MIDDLETON           ,WI,53562,6086628842,CERTIFIED                     ,B,130,1494,7524,,9-Sep-09,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-29,13043,AUTUMN VILLAGE,915 ELM AVENUE E              ,MENOMONIE           ,WI,54751,7152353697,DUNN                ,ROWE,DIANE,AMERICAN LUTHERAN COMMUNITY SERVICES INC                    ,,,CHRISTENSEN,MIKE,P O BOX 287                   ,EAU CLAIRE          ,WI,547020287,7152353697,CERTIFIED                     ,B,40,2850,4275,,19-Nov-09,WESTERN REGION           ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-30,12841,AVALON ASSISTED LIVING COMMUNITY,2879 FISH HATCHERY RD         ,MADISON             ,WI,53713,6082744350,DANE                ,RIDDLE,CHERI,MADISON ASSISTED LIVING LLC                                ,McGLADE,CHUCK,RIDDLE,CHERI,2879 FISH HATCHERY RD         ,MADISON             ,WI,53713,9717172475,CERTIFIED                     ,B,42,2192,2595,,10-Jun-09,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-31,11712,AVALON SQUARE                                     ,222 PARK PL                   ,WAUKESHA            ,WI,53186,2624469300,WAUKESHA            ,AJACK,KARI,PRESBYTERIAN HOMES & SERVICES                               ,,,AJACK,KARI,222 PARK PL                   ,WAUKESHA            ,WI,53186,6516316100,CERTIFIED                     ,B,50,2850,4080,,22-Jan-07,SOUTHERN REGION          ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-32,16136,BAY POINTE AT THE ATRIUM,3950 N MAIN STREET,RACINE,WI,53402,2626391100,RACINE              ,LIBBY,MICHAEL,THE ATRIUM OF RACINE INC,LIBBY,MICHAEL,LIBBY,MICHAEL,3950 N MAIN STREET,RACINE,WI,53402,2626391100,CERTIFIED                     ,B,40,3249,4078,,18-Jul-16,SOUTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-33,13909,BECHER TERRACE                                    ,1800 W BECHER ST              ,MILWAUKEE           ,WI,53215,4142574350,MILWAUKEE           ,SPRENGER,SALLY,ANEW MANAGEMENT LLC                                         ,SPRENGER,SALLY,SPRENGER,SALLY,7425 HARWOOD AVE              ,WAUWATOSA           ,WI,532132626,4144757788,CERTIFIED                     ,B,45,535,690,,27-Oct-11,SOUTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-34,14668,BELLA VISTA,631 HAZEL ST                  ,OSHKOSH             ,WI,54901,9202336667,WINNEBAGO           ,DAVIS,MICHAEL,SL HAZEL OSHKOSH LLC                                        ,,,DAVIS,MICHAEL,631 HAZEL ST                  ,OSHKOSH             ,WI,54901,3126734333,CERTIFIED                     ,B,96,2140,4680,,10-Jul-13,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-35,14671,BELLEVUE,1660 HOFFMAN RD               ,GREEN BAY           ,WI,54311,9203370771,BROWN               ,ROGALA,MARY,SL BELLEVUE LLC                                             ,,,ROGALA,MARY,1660 HOFFMAN RD               ,GREEN BAY           ,WI,54311,3126734333,REGISTERED                    ,B,126,3295,4370,,10-Jul-13,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-36,16279,BELOIT SENIOR LIVING LLC,2250 WEST HART RD,BELOIT,WI,53511,2625344800,ROCK                ,GIESE,MEGHAN,BELOIT SENOIR LIVING LLC ,SHADEL,SCOTT,SHADEL,SCOTT,2916 N HALL RD,WHITEWATER,WI,53190,6083122370,REGISTERED                    ,B,42,,,,1-Aug-16,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-37,10258,BENEDICTINE VILLA ASSISTED LIVING,2904 EAST AVENUE SOUTH        ,LACROSSE            ,WI,54601,6087887489,LACROSSE            ,BECK,ASHLEY,CATHOLIC RESIDENTIAL SERVICES INC                           ,,,BECK,ASHLEY,2904 EAST AVENUE SOUTH        ,LACROSSE            ,WI,54601,6087845323,REGISTERED                    ,,45,1500,2500,,24-Nov-98,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-38,11373,BETHANY HEIGHTS ASSISTED LIVING,112 JUNIPER LANE              ,HOLMEN              ,WI,54636,6085262635,LACROSSE            ,MONAHAN,TRACY,BETHANY LUTHERAN HOMES INC                                  ,OLSON,ELIZABETH,OLSON,BETSY,2555 S 7TH ST                 ,LACROSSE            ,WI,54601,6084063978,CERTIFIED                     ,B,16,2517,2837,,20-Jun-06,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-39,10447,BETHANY ON CASS,1315 CASS STREET              ,LACROSSE            ,WI,54601,6087961091,LACROSSE            ,SEEBACH,JESSICA,BETHANY LUTHERAN HOMES INC                                  ,OLSON,ELIZABETH,OLSON,BETSY,2575 S 7TH ST                 ,LACROSSE            ,WI,54601,6084063978,CERTIFIED                     ,B,46,1883,4132,,4-Nov-03,WESTERN REGION           ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-40,10360,BETHANY PINES,50 SHADOW WOODS LANE          ,WAUPACA             ,WI,54981,7152585521,WAUPACA             ,DARLING,PAULINE,BETHANY HOME INC                                            ,,,DARLING,PAULINE,50 SHADOW WOODS LANE          ,WAUPACA             ,WI,54981,7152585521,REGISTERED                    ,,40,717,1797,,1-Feb-98,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-41,14850,BIRCH HAVEN NORTH RCAC,320 SUPERIOR AVENUE           ,WASHBURN            ,WI,54891,7153730078,BAYFIELD            ,KELM,DALE,,KELM,DALE,KELM,DALE,218 22ND AVE W                ,ASHLAND             ,WI,54806,7153319148,CERTIFIED                     ,B,13,2400,4800,,23-Dec-13,WESTERN REGION           ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-42,10248,BIRCHWOOD APARTMENTS,1600 BIRCHWOOD DRIVE          ,BALDWIN             ,WI,54002,7156844552,ST CROIX            ,LAFAVOR,EILEEN,BALDWIN CARE CENTER IN                                      ,JAMES,MIRANDA,JAMES,MIRANDA,1600 BIRCHWOOD DRIVE          ,BALDWIN             ,WI,54002,7156843231,CERTIFIED                     ,,23,1070,1540,,1-Sep-98,WESTERN REGION           ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-43,10308,BRADFORD TERRACE                                  ,2429 E BRADFORD AVE           ,MILWAUKEE           ,WI,53211,4149638471,MILWAUKEE           ,GOZDOWIAK,MARGE,MILWAUKEE PROTESTANT HOME FOR THE AGED INC                  ,,,GOZDOWIAK,MARGE,2505 E BRADFORD AVE           ,MILWAUKEE           ,WI,53211,4143328610,REGISTERED                    ,,36,1000,1855,,25-Mar-97,SOUTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-44,11336,BRENTWOOD SENIOR LIVING INC,633 CAMERON RD                ,RICE LAKE           ,WI,54868,7157367400,BARRON              ,RUNDHAUG,KEVIN,,BARTA,DAVID,BARTA,DAVID,P O BOX 155                   ,BARRON              ,WI,54812,7155373393,CERTIFIED                     ,B,28,2595,3945,,3-Mar-06,WESTERN REGION           ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-45,11318,BROLEN PARK                                       ,2191 CHURCH ST                ,EAST TROY           ,WI,53120,2626429955,WALWORTH            ,READ,MARY,MI VIDA BONITA LLC                                          ,,,READ,MARY,2191 CHURCH ST                ,EAST TROY           ,WI,53120,2623759929,CERTIFIED                     ,B,20,2950,3150,,27-Jul-06,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-46,12328,BROOKDALE LACROSSE,3141 EAST AVE S               ,LACROSSE            ,WI,54601,6087881964,LACROSSE            ,PETERSON,JENNIFER,BROOKDALE SENIOR LIVING COMMUNITIES INC                     ,LESKOWICZ,JOANNE,PETERSON,JENNIFER,3141 EAST AVE S,LACROSSE,WI,54601,4149185000,CERTIFIED                     ,,20,3530,4393,,1-Jul-08,WESTERN REGION           ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-47,15136,BROOKDALE STEVENS POINT,5625 SANDPIPER DR             ,STEVENS POINT       ,WI,54481,7153437376,PORTAGE             ,WILLIAMS,JACQUELINE,S-H OPCO OAKRIDGE LLC                                       ,LESKOWICZ,JOANNE,GELY,TYESHA,6737 W WASHINGTON ST STE 2300,MILWAUKEE,WI,53214,9494070700,CERTIFIED                     ,B,75,2495,4235,,29-Aug-14,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-48,15436,BROOKVIEW MEADOWS,1740 CONDOR LN,GREEN BAY,WI,54313,9723088397,BROWN               ,HUTCHISON,KIRSTEN,CSL GREEN BAY LLC,BEATHARD,DAVID,HARTMAN,CHERYL,7100 S WILKINSON WAY,PERRYBURG,OH,43551,9723088387,REGISTERED                    ,B,77,2995,5275,,13-Jan-15,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-49,10301,CAPITOL LAKES,333 W MAIN ST                 ,MADISON             ,WI,53703,6082832137,DANE                ,CONROY,TIM,CAPITOL LAKES INC                                           ,POSSIN,CHARLES E,CONROY,TIM,333 W MAIN ST                 ,MADISON             ,WI,53703,6082832000,REGISTERED                    ,B,40,1150,2716,,1-Mar-02,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-50,12943,CASA DEL MARE,3508 7TH AVE                  ,KENOSHA             ,WI,53140,2626531234,KENOSHA             ,CASSELL,NICHOLAS,"ST CATHERINE COMMONS II, LLC                                ",,,CHOBAN,GLEN,20875 CROSSROADS CIR SUITE 400,WAUKESHA            ,WI,53186,2627981224,CERTIFIED                     ,,45,2900,5200,,16-Feb-12,SOUTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-51,13487,CECELIA PLACE,1061 CECELIA DRIVE            ,PEWAUKEE            ,WI,53072,4143221434,WAUKESHA            ,KALLAS,GERALD J.,CECELIA SENIOR HOMES OF WEST ALLIS INC,KALLAS,GERALD / CAROL,KALLAS,GERALD J.,1437 N. SUMMIT AVE            ,OCONOMOWOC          ,WI,53066,2624684910,CERTIFIED                     ,B,57,3350,6000,,30-Sep-10,SOUTHERN REGION          ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-52,12455,CEDAR BAY AT ELKHART LAKE,101 CEDAR LN                  ,ELKHART LAKE        ,WI,53020,9208764050,SHEBOYGAN           ,SIMPSON,KATHLYNN,BENEVOLENT CORPORATION-CEDAR COMMUNITY                      ,,,SIMPSON,KATHLYNN,101 CEDAR LN                  ,ELKHART LAKE        ,WI,53020,2623062100,CERTIFIED                     ,B,27,3750,4075,,16-Sep-08,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-53,10311,CEDAR BAY EAST                                    ,5577 HOME DRIVE               ,WEST BEND           ,WI,53095,2623062100,WASHINGTON          ,WILLIAMS,JIM,BENEVOLENT CORPORATION CEDAR COMMUNITY                      ,,,WILLIAMS,JIM,5577 HOME DRIVE               ,WEST BEND           ,WI,53095,2623062100,REGISTERED                    ,,54,745,1345,,4-Dec-02,NORTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-54,10312,CEDAR BAY WEST                                    ,5555 CEDAR BAY DR             ,WEST BEND           ,WI,53095,2623062130,WASHINGTON          ,MEYER,AMY,BENEVOLENT CORPORATION CEDAR COMMUNITY                      ,,,MEYER,AMY,5555 CEDAR BAY DR             ,WEST BEND           ,WI,53095,2623062100,CERTIFIED                     ,B,96,3415,4990,,1-Oct-02,NORTHEASTERN REGION      ,2,,,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-55,10302,CEDAR CREST WATERFORD PLACE APARTMENTS,1702 SOUTH RIVER RD           ,JANESVILLE          ,WI,53546,6083736301,ROCK                ,TANCK,DAVID,CEDAR CREST INC                                             ,,,TANCK,DAVID,1702 SOUTH RIVER RD           ,JANESVILLE          ,WI,53546,6087560344,REGISTERED                    ,,107,465,1195,,1-Jul-02,SOUTHERN REGION          ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-56,14239,CELEBRE PLACE                                     ,1870 27TH AVE                 ,KENOSHA             ,WI,53140,2627822770,KENOSHA             ,ENDSLEY,COLLEEN,FRESH COAST PARTNERS                                        ,,,ENDSLEY,COLLEEN,14585 W FIELDPOINTE DR        ,NEW BERLIN          ,WI,53151,2627822770,CERTIFIED                     ,B,18,625,895,,1-Jul-12,SOUTHEASTERN REGION      ,,,0,Residential Care
USA-WI-48-Facilities-48-ResidentialCareApartmentComplex-57,10313,CHAI POINT,1400 N PROSPECT AVE           ,MILWAUKEE           ,WI,53202,4142899600,MILWAUKEE           ,TRISH,COHN,PROSPECT CONGREGATE HOUSING INC,,,COHN,TRISH,1400 N PROSPECT AVE           ,MILWAUKEE           ,WI,53202,4142899600,CERTIFIED                     ,,41,660,4563,,1-Oct-02,SOUTHEASTERN REGION      ,,,0,Residential Care
