row_id,Facility ID,Facility Name,Street,City,State,Zip,Phone,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,MailingStreet,MailingCity,MailingState,MailingZip,LicenseePhone,Class,Gender,Capacity,LowRate,HighRate,DateProbationaryIssued,DateRegularIssued,Region,WAIVER CERTIFIED INDEPENDENT CBRF APTS,TRAUMATIC BRAIN INJURY,TERMINALLY ILL,PUBLIC FUNDING,PREGNANT WOMEN/COUNSELLING,PHYSICALLY DISABLED,IRREVERSIBLE DEMENTIA/ALZHEIMER'S,EMOTIONALLY DISTURBED/MENTAL ILLNESS,DEVELOPMENTALLY DISABLED,CORRECTIONAL CLIENTS,ALCOHOL/DRUG DEPENDENT,ADVANCED AGED,facility_type
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-11,11483,ABUNDANT LIFE MANOR,1904 E BELLEVIEW PL           ,MILWAUKEE           ,WI,53211,4149623200,MILWAUKEE           ,GLEESON,MARJORIE,ABUNDANT LIFE MINISTRY INC                                  ,GLEESON,MARJORIE,GLEESON,MARJORIE,1904 E BELLEVIEW PL           ,MILWAUKEE           ,WI,53211,4149623200,CLASS CNA (NONAMBULATORY)     ,B,42,5055,5500,10-May-06,1-Nov-06,SOUTHEASTERN REGION      ,,,,6,,,,6,,,6,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-12,15578,ABUNDANT LIFE MANOR WEST,2354 N 120TH STREET,WAUWATOSA,WI,53226,,MILWAUKEE           ,GLEESON,MARJORIE,"ABUNDANT LIFE MINISTRY, INC",GLEESON,MARJORIE,GLEESON,MARJORIE,1904 EAST BELLEVIEW PLACE,MILWAUKEE,WI,53211,4149623200,CLASS CS (SEMIAMBULATORY)     ,B,8,5050,6000,1-Jul-15,1-Jul-16,SOUTHEASTERN REGION      ,,6,6,,,6,6,6,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-13,14907,ACS CLINICAL SERVICES LLC APPLETON,2 BRIGHTON CIRCLE             ,APPLETON            ,WI,54915,9203649335,CALUMET             ,MANN,DEBRA,ACS CLINICAL SERVICES LLC                  ,TREBIAN,VICKI,MANN,DEBRA,2 BRIGHTON CIRCLE,APPLETON            ,WI,54915,6082230017,CLASS AS (SEMIAMBULATORY)     ,F,10,3500,3500,13-Mar-15,,NORTHEASTERN REGION      ,,,,,6,,,,,6,6,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-14,11996,ACS GREEN BAY                                     ,2670 UNIVERSITY AVE           ,GREEN BAY           ,WI,54311,9204692569,BROWN               ,NELSON,KATRINA,ACS CLINICAL SERVICES LLC                                   ,,,NELSON,KATRINA,PO BOX 1685                   ,GREEN BAY           ,WI,543051685,6082230017,CLASS AS (SEMIAMBULATORY)     ,B,20,2374,2629,,31-Aug-07,NORTHEASTERN REGION      ,,,,6,,,,,,6,6,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-15,13144,ADAMS AVENUE GROUP HOME,613 W 11TH ST                 ,MARSHFIELD          ,WI,54449,7153892720,WOOD                ,JAMES,SUSAN,CLARITY CARE                                                ,,,NELSON,RAYNE,424 WASHINGTON AVE            ,OSHKOSH             ,WI,54901,9202366560,CLASS CNA (NONAMBULATORY)     ,B,6,4625,7150,,1-Jan-10,NORTHEASTERN REGION      ,,,,6,,6,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-16,14163,ADARE I,1645 CENTURY OAKS CT          ,MENASHA             ,WI,54952,9209158793,WINNEBAGO           ,PETERSON,MICHELE,MATTHEWS SENIOR HOUSING LLC                                 ,OSTROM,THOMAS,OSTROM,THOMAS,700 N GREEN ST UNIT 401       ,CHICAGO             ,IL,60643,3126230884,CLASS CNA (NONAMBULATORY)     ,B,9,2910,6500,15-Jun-12,1-Jul-13,NORTHEASTERN REGION      ,,6,6,,,6,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-17,14164,ADARE II,1650 CENTURY OAKS CT          ,MENASHA             ,WI,54952,9209158793,WINNEBAGO           ,PETERSON,MICHELE,MATTHEWS SENIOR HOUSING LLC                                 ,OSTROM,THOMAS,OSTROM,THOMAS,700  N GREEN ST UNIT 401      ,CHICAGO             ,IL,60643,3126230884,CLASS CNA (NONAMBULATORY)     ,B,8,2910,6000,15-Jun-12,1-Jul-13,NORTHEASTERN REGION      ,,6,6,,,6,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-18,14165,ADARE III,1665 CENTURY OAKS CT          ,MENASHA             ,WI,54952,9209158793,WINNEBAGO           ,PETERSON,MICHELE,MATTHEWS SENIOR HOUSING LLC                                 ,OSTROM,THOMAS,OSTROM,THOMAS,700 N GREEN ST UNIT 401       ,CHICAGO             ,IL,60643,3136230884,CLASS CNA (NONAMBULATORY)     ,B,8,2910,6000,15-Jun-12,1-Jul-13,NORTHEASTERN REGION      ,,6,6,,,6,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-19,14166,ADARE IV,1670 CENTURY OAKS CT          ,MENASHA             ,WI,54952,9209158793,WINNEBAGO           ,PETERSON,MICHELE,MATTHEWS SENIOR HOUSING LLC                                 ,OSTROM,THOMAS,OSTROM,THOMAS,700 N GREEN ST UNIT 401       ,CHICAGO             ,IL,60643,3126230884,CLASS CNA (NONAMBULATORY)     ,B,8,2910,6000,15-Jun-12,1-Jul-13,NORTHEASTERN REGION      ,,6,6,,,6,6,6,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-20,15999,ADDISON OF PLEASANT PRAIRIE (THE),9651 PRAIRIE RIDGE BOULEVARD ,PLEASANT PRAIRIE ,WI,53158,2624557050,KENOSHA             ,PATRICIA ANN,DOLNIK,SHI-II SLD PLEASANT PRAIRIE LLC ,LEVY J,STEPHEN,LEVY J,STEPHEN,303 E WACKER DRIVE SUITE 2400,CHICAGO,IL,60601,3126734333,CLASS CNA (NONAMBULATORY)     ,B,120,3450,6480,28-Apr-16,,SOUTHEASTERN REGION      ,,,,,,,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-21,15112,ADELAIDE PLACE,478 W ARNDT ST                ,FOND DU LAC         ,WI,54935,9209336304,FOND DU LAC         ,MILLER,MICHELLE,LIBERTY FRONTIDA INC                                        ,MILLER,CRYSTAL J,SCHULTZ,CARIN,PO BOX 580254,PLEASANT PRAIRIE,WI,53158,2629259302,CLASS CNA (NONAMBULATORY)     ,B,50,3200,6000,21-Jul-14,1-Aug-15,NORTHEASTERN REGION      ,,,6,6,,6,6,6,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-22,12373,ADVOCATE HOMES LLC                                ,6555 PERSHING BLVD            ,KENOSHA             ,WI,53142,2626523536,KENOSHA             ,BLAA,SHERI,ADVOCATE HOMES LLC                                          ,,,BLAA,SHERI,755 DARNELL LN                ,GURNEE              ,IL,60031,8475652522,CLASS AA (AMBULATORY)         ,B,8,4665,4800,,8-May-08,SOUTHEASTERN REGION      ,,6,,,,6,,6,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-23,510031,AFFINITY HOUSE,3042 KILBOURNE AVENUE         ,EAU CLAIRE          ,WI,54703,7158330436,EAU CLAIRE          ,KUSTER,ANITA,LUTHERAN SOC SERV OF WI & UPPER MI INC                      ,,,UPP,PAULA,3003 N RICHMOND ST,APPLETON            ,WI,54911,7158342046,CLASS AA (AMBULATORY)         ,F,18,1598,1598,1-Apr-88,1-Aug-88,WESTERN REGION           ,,,,,,,,,,6,6,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-24,410537,AGAPE 2 SILVER SPUR,15 SILVER SPUR                ,APPLETON            ,WI,54915,9207317010,OUTAGAMIE           ,JOHNSON-GARCIA,ANGIE,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS AA (AMBULATORY)         ,F,8,4681,4681,,1-Jan-98,NORTHEASTERN REGION      ,,,,6,,,,6,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-25,410039,AGAPE 3 12TH ST,412 E 12TH ST                 ,KAUKAUNA            ,WI,54130,9207669776,OUTAGAMIE           ,KRAUSE,KASSI,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS CS (SEMIAMBULATORY)     ,B,7,6456,6456,1-Nov-86,1-Nov-87,NORTHEASTERN REGION      ,,,,6,,,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-26,410044,AGAPE 4 GREENFIELD,343 E GREENFIELD ST           ,APPLETON            ,WI,54911,9207334891,OUTAGAMIE           ,JOHNSON,SCOTT,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS CA (AMBULATORY)         ,B,8,4138,4138,24-Jan-88,24-Feb-89,NORTHEASTERN REGION      ,,,,6,,,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-27,410130,AGAPE 6 TILLMAN ST,3013 W TILLMAN ST             ,APPLETON            ,WI,54914,9207387145,OUTAGAMIE           ,CAPTAIN,AMANDA,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS CA (AMBULATORY)         ,M,6,7738,7738,1-May-87,30-Sep-87,NORTHEASTERN REGION      ,,,,6,,,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-28,410189,AGAPE 7 FIELDCREST,3003 FIELDCREST               ,KAUKAUNA            ,WI,54130,9207660516,OUTAGAMIE           ,MENDOZA,FELICIA,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS CNA (NONAMBULATORY)     ,B,8,5975,5975,20-Nov-89,20-Nov-89,NORTHEASTERN REGION      ,,,,6,,6,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-29,410260,AGAPE 8 CHEROKEE ST,2237 W CHEROKEE ST            ,APPLETON            ,WI,54914,9208328198,OUTAGAMIE           ,ARMBRUSTER,KRISTINA,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS AA (AMBULATORY)         ,M,6,5031,5031,14-Jun-91,1-Nov-92,NORTHEASTERN REGION      ,,,,6,,6,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-30,410380,AGAPE 9 KINGFISHER,N500 KINGFISHER CT            ,APPLETON            ,WI,54915,9206870522,OUTAGAMIE           ,ZIMMERMAN,GWEN,AGAPE OF APPLETON INC                                       ,BISHOP,LEE,WITT,DAN,7 TRI-PARK WAY                ,APPLETON            ,WI,549141661,9207349871,CLASS CNA (NONAMBULATORY)     ,B,8,5747,5747,1-Sep-95,1-Sep-96,NORTHEASTERN REGION      ,,,,6,,,,,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-31,11150,AGAPE ACRES LLC,3737 BLUEBERRY RD             ,WARRENS             ,WI,54666,6083784054,MONROE              ,EWERT,TAMMY,TAMMY M EWERT                                               ,EWERT,TAMMY,EWERT,TAMMY,3737 BLUEBERRY RD             ,WARRENS             ,WI,54666,6083785054,CLASS CNA (NONAMBULATORY)     ,B,15,2400,3600,21-Dec-05,1-Jul-06,WESTERN REGION           ,,,6,6,,,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-32,10453,AGAPE SUPPORTIVE LIVING SERVICES II,4035 N 68TH ST                ,MILWAUKEE           ,WI,53216,4142139095,MILWAUKEE           ,HARRIS,KATIE,AGAPE SUPPORTIVE LIVING SERVICES LLC                        ,HARRIS,KATIE,HARRIS,KATIE,P O BOX 100594                ,MILWAUKEE           ,WI,53210,4142139095,CLASS AA (AMBULATORY)         ,B,8,2907,3412,16-Feb-04,1-Sep-04,SOUTHEASTERN REGION      ,,,,,,,,,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-33,9653,AGAPE SUPPORTIVE LIVING SERVICES LLC,2977 N 52ND ST                ,MILWAUKEE           ,WI,53210,4144446181,MILWAUKEE           ,HARRIS,KATIE,AGAPE SUPPORTIVE LIVING SERVICES LLC                        ,HARRIS,KATIE,HARRIS,KATIE,P O BOX 100594                ,MILWAUKEE           ,WI,53210,4142139095,CLASS AA (AMBULATORY)         ,B,6,2907,3009,16-Sep-02,1-Apr-03,SOUTHEASTERN REGION      ,,,,,,,,,6,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-34,15795,AGGIES COUNTRY LIVING LLC,14135 150TH AVENUE,BLOOMER,WI,54724,7155593625,CHIPPEWA            ,FRANSWAY,SHEENA,AGGIES COUNTRY LIVING LLC,FRANSWAY,SHEENA,FRANSWAY,SHEENA,14135 150TH AVENUE,BLOOMER,WI,54724,7155593625,CLASS CNA (NONAMBULATORY)     ,B,13,3800,6700,12-Oct-15,1-Oct-16,WESTERN REGION           ,,,,6,,,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-35,510341,AIN DAH ING INC                                   ,704 N RIVER ST                ,SPOONER             ,WI,54801,7156358720,WASHBURN            ,DECOTEAU,FREDERICKA,AIN DAH ING INC                                             ,,,DECOTEAU,FREDERICKA,P O BOX 386                   ,SHELL LAKE          ,WI,548710386,7154682928,CLASS AA (AMBULATORY)         ,B,15,0,0,1-Apr-80,1-Apr-81,WESTERN REGION           ,,,,,,,,,,,6,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-36,310150,ALEXIAN VILLAGE OF MILWAUKEE COURTYARD,9301 N 76TH ST                ,MILWAUKEE           ,WI,53223,4143559300,MILWAUKEE           ,HENSEL,CARRIE,ALEXIAN VILLAGE OF MILWAUKEE INC                            ,MOHN,GARY,HENSEL,CARRIE,9301 N 76TH ST                ,MILWAUKEE           ,WI,53223,4143559300,CLASS CNA (NONAMBULATORY)     ,B,29,5481,8350,1-Dec-91,1-Dec-92,SOUTHEASTERN REGION      ,,,,6,,,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-37,8627,ALEXIAN VILLAGE SQUARE                            ,9301 N 76TH ST                ,MILWAUKEE           ,WI,53223,4143559300,MILWAUKEE           ,HENSEL,CARRIE,ALEXIAN VILLAGE OF MILWAUKEE INC                            ,MOHN,GARY,HENSEL,CARRIE,9301 N 76TH ST                ,MILWAUKEE           ,WI,53223,4143559300,CLASS CNA (NONAMBULATORY)     ,B,64,5481,7810,22-Jul-99,1-Feb-00,SOUTHEASTERN REGION      ,,,,6,,,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-38,12409,ALL SAINTS ASSISTED LIVING AND MEMORY CARE,8210 HIGHVIEW DRIVE           ,MADISON             ,WI,53719,6088272990,DANE                ,SAALSAA,JESSICA,ELDERSPAN MANAGEMENT LLC                                    ,GRIFFIN,GREGORY,GRIFFIN,DAVID R,"2445 DARWIN ROAD, STE 109",MADISON             ,WI,53704,6082438800,CLASS CNA (NONAMBULATORY)     ,B,60,6150,6450,16-Jul-08,1-Sep-09,SOUTHERN REGION          ,,,6,6,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-39,16266,ALL SAINTS ASSISTED LIVING CENTER INC,519 COMMERCE DR,MADISON,WI,53719,6088272990,DANE                ,STRINGHAM,HEIDI,ELDERSPAN MANAGEMENT LLC,GRIFFIN,DAVID,ARMSTRONG,DARLA,2445 DARWIN RD STE 109,MADISON,WI,53704,6082438800,CLASS CNA (NONAMBULATORY)     ,B,63,5460,6060,16-Aug-16,1-Sep-17,SOUTHERN REGION          ,,,6,,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-40,15841,ALLOUEZ PARKSIDE  VILLAGE 2,1901 LIBAL STREET,GREEN BAY ,WI,54301,9204323322,BROWN               ,STRAH,ANN,ASSISTED LIVING  BY HILLCREST ,DOOLITTLE,AMY,DOOLITTLE,AMY,1901 LIBAL STREET ,GREEN BAY,WI,54301,9203372450,CLASS CNA (NONAMBULATORY)     ,B,64,4900,5500,29-Oct-15,30-Nov-16,NORTHEASTERN REGION      ,,,6,,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-41,13195,ALLOUEZ PARKSIDE VILLAGE,1901 LIBAL ST                 ,GREEN BAY           ,WI,54301,9204308500,BROWN               ,STRAH,ANN,HILLCREST PROPERTIES LTD                                    ,,,DOOLITTLE,AMY,2986 COUNTY RD PP             ,DE PERE             ,WI,54115,9203372450,CLASS CNA (NONAMBULATORY)     ,B,65,3500,4800,,26-Mar-10,NORTHEASTERN REGION      ,,,6,,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-42,13267,ALMOST HOME AGAIN LLC                             ,N3531 ELDER DR                ,GILMAN              ,WI,54433,7159651686,TAYLOR              ,ELLIS,ALEXANDRA,,ELLIS,ALEXANDRA,ELLIS,ALEXANDRA,N3531 ELDER DR                ,GILMAN              ,WI,54433,7154475574,CLASS CS (SEMIAMBULATORY)     ,B,8,3991.25,3991.25,7-Jun-10,13-Apr-11,WESTERN REGION           ,,,,,,,,6,,6,6,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-43,16253,ALORIA  MILWAUKEE,312 E WISCONSIN AVE ,MILWAUKEE,WI,53202,8448019529,MILWAUKEE           ,EKELMAN,MARGARITA,,KLEIN,BENJAMIN,EKELMAN,MARGARITA,312 E WISCONSIN AVE FLOOR 3,MILWAUKEE,WI,53202,8473294100,CLASS AA (AMBULATORY)         ,B,50,960,1200,8-Dec-16,,SOUTHEASTERN REGION      ,,,,,,,,6,,,,,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-44,13802,ALPHA SENIOR CONCEPTS,2723 LINEVILLE RD             ,GREEN BAY        ,WI,54313,9203934531,BROWN               ,MARKS,REBECCA,AVIEW SENIOR LIVING INC                          ,HOWARD,JEAN,HOWARD,JEAN,1543 FIELD CT    ,SUAMICO             ,WI,54173,9203666221,CLASS CNA (NONAMBULATORY)     ,B,39,4300,5900,7-Oct-11,1-Oct-12,NORTHEASTERN REGION      ,,,6,6,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-45,15697,ALPHA SENIOR CONCEPTS SUAMICO,13320 VELP AVE,SUAMICO,WI,54313,9207704601,BROWN               ,MARKS,REBECCA,ALPHA SENIOR CONCEPTS SUAMICO INC,HOWARD,JEAN,HOWARD,JEAN,1543 FIELD CT,SUAMICO,WI,54173,9207704601,CLASS CNA (NONAMBULATORY)     ,B,25,4200,6500,,29-Jul-15,NORTHEASTERN REGION      ,,6,6,,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-46,13951,ALTEN HAUS TRADITIONS,1091 JACOBSEN RD              ,NEENAH              ,WI,54956,9204709040,WINNEBAGO           ,ALTENHOFEN KRAUSE,ANNE,ALTEN HAUS LLC                                              ,ALTENHOFEN KRAUSE,ANNE,KRAUSE,ANNE,4640 GRAND MEADOWS            ,APPLETON            ,WI,54914,9204709040,CLASS CNA (NONAMBULATORY)     ,B,15,3500,4500,27-Jan-12,1-Feb-13,NORTHEASTERN REGION      ,,,,,,,6,,6,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-47,16336,AMERICAN GRAND ASSISTED LIVING SUITES,795 TARRAGON DRIVE,KAUKAUNA,WI,54130,9207590609,OUTAGAMIE           ,SKORUPSKI,BRIANA,MS AC KAUKAUNA SENIOR LIVING LLC,CASTLEBURY,DANIEL,CASTLEBERRY,DANIEL,1300 SPRING STREET SUITE 205,SILVER SPRING ,WI,20910,2405956065,CLASS CNA (NONAMBULATORY)     ,B,26,2850,14000,7-Oct-16,1-Oct-17,NORTHEASTERN REGION      ,,,6,6,,6,6,,,,,6,Residential Care
USA-WI-48-Facilities-48-CommunityBasedResidentialFacility-48,16351,AMERICAN GRAND ASSISTED LIVING SUITES,900 MEADOW LN,NEENAH,WI,54956,9207073091,WINNEBAGO           ,SKENANDORE,TIFFANY,AMERICAN GRAND ASSISTED LIVING SUITE INC,ZIOLKOWSKI,JEFF,ZIOLKOWSKI,JEFF,130 KUETTEL CT,NEENAH,WI,54956,9207073091,CLASS CNA (NONAMBULATORY)     ,B,34,3500,9000,30-Aug-16,21-Jun-17,NORTHEASTERN REGION      ,,6,6,6,,,6,,6,,,6,Residential Care
